narrow endemic,victoria,tasmania,forest,family,species name,ht (m),ll (mm),lw (mm),leaf form,habit,notes,notes2,Tasmania,Tassie_no_climbers,Victoria_forest,Victoria_no_climbers,in_Tasmania,in_Victoria,sites
0,0,1,0,Ericaceae,Leptecophylla abietina,2,15,2.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Leptecophylla pogonocalyx,1.2,12,1.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Leucopogon stuartii,0.3,8,3,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Pentachondra ericaefolia,0.6,6,2,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,0,Ericaceae,Planocarpa nitida,0.3,7,2.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Planocarpa petiolaris,0.3,7,2.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Planocarpa sulcata,0.3,7,2.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Richea acerosa,1.2,14,6,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Ericaceae,Richea alpina,0.7,140,20,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Fabaceae,Phyllota diffusa,0.5,8,0.8,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,0,Fabaceae,Stonesiella selaginoides,2,10,2,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Gyrostemonaceae,Gyrostemon thesioides,0.8,70,2,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Malvaceae,Lasiopetalum discolor,1.5,80,10,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Myrtaceae,Baeckea leptocaulis,2,12,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Myrtaceae,Melaleuca pustulata,2.5,8,1.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Podocarpaceae,Microcachrys tetragona,0.3,1,1,scale,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Proteaceae,Conospermum hookeri,2,30,1.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Proteaceae,Hakea megadenia,3,75,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Proteaceae,Persoonia moscalii,0.2,8,4,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Rhamnaceae,Cryptandra alpina,0.4,4,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Rhamnaceae,Cryptandra exilis,0.4,8,1,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Rhamnaceae,Stenanthemum pimeleoides,0.1,6,6,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Rutaceae,Boronia rhomboidea,0.9,12,8,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Rutaceae,Leionema montanum,0.4,12,1.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Rutaceae,Leionema oldfieldii,0.9,15,4,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Santalaceae,Exocarpos humifusus,0.4,0.5,0.5,scale,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Santalaceae,Leptomeria glomerata,0.3,1,1,scale,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Thymeleaceae,Pimelea filiformis,0.1,15,4,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Thymeleaceae,Pimelea milliganii,0.5,12,8,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,0,Thymeleaceae,Pimelea sericea,0.7,12,8,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,0,Tremandraceae,Tetratheca gunnii,0.3,5.5,2.5,simple,shrub,NA,NA,NA,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Araliaceae,Polyscias aff.,6,70,25,compound,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Asteraceae,Brachyglottis brunonis,5,90,15,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Odixia angusta,3,9,1.5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Olearia archeri,3,65,15,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Olearia ericoides,1,5,1,scale,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Olearia persoonioides,3,5,2.2,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Olearia pinifolia,3,45,4,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Olearia tasmanica,1,20,8,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Ozothamnus antennaria,1.5,30,10,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Ozothamnus costatifructus,3,30,1.5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Ozothamnus lycopodioides,1,7,1.1,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Asteraceae,Ozothamnus purpurascens,2,18,1.5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Elaeocarpaceae,Aristotelia peduncularis,4,70,35,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Archeria eriocarpa,4,9,4,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Archeria hirtella,6,10,5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Archeria serpyllifolia,0.6,8,4,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Cyathodes platystoma,4,65,10,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Cyathodes straminea,1.2,15,4,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Dracophyllum milliganii,1.8,1000,30,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Epacris acuminata,1,10,7,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Ericaceae,Epacris apsleyensis,1.1,12,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Ericaceae,Epacris barbata,1.2,10,5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Ericaceae,Epacris exserta,1,7,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Epacris franklinii,1.4,12,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Epacris glabella,1,10,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Epacris heteronema,1.5,12,8,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Epacris marginata,1.4,15,5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Epacris serpyllifolia,1,5,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Epacris virgata,0.6,6,2,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Leptecophylla divaricata,0.9,10,1,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Leptecophylla pendulosa,1.5,12,1.5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Pentachondra involucrata,2,18,6,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Richea gunnii,1,40,15,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Richea milliganii,2.5,45,12,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Richea procera,3,35,12,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Richea scoparia,3,60,15,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Richea sprengelioides,1.2,12,8,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Trochocarpa cunninghamii,1,10,4,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Trochocarpa disticha,4,20,5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Trochocarpa gunnii,3,10,4,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Ericaceae,Trochocarpa thymifolia,0.9,2,1,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Euphorbiaceae,Bertya tasmanica,3,25,1.5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Fabaceae,Hovea tasmanica,3,50,7,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Lamiaceae,Westringia angustifolia,3,35,2,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Lamiaceae,Westringia brevifolia,1,10,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Lamiaceae,Westringia rubiaefolia,1,12,2,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Malvaceae,Lasiopetalum micranthum,0.5,60,15,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Myrtaceae,Callistemon viridiflorus,2,30,7,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Myrtaceae,Eucalyptus barberi,5,125,25,simple,shrub,NA,size of adult leaves,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Myrtaceae,Eucalyptus vernicosa,4,50,25,simple,shrub,NA,size of adult leaves,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Myrtaceae,Leptospermum grandiflorum,5,20,5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Myrtaceae,Leptospermum riparium,4,25,4,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Myrtaceae,Leptospermum rupestre,1.5,8,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Nothofagaceae,Nothofagus gunnii,8,20,20,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Picrodendraceae,Micrantheum serpentinum,3,8,2,compound,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Podocarpaceae,Phaerosphaera hookeriana,2.5,1,1,scale,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Agastachys odorata,8,80,15,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Bellendena montana,0.6,30,25,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Hakea epiglottis,4,100,1,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Proteaceae,Lomatia tasmanica,5,40,15,compound,shrub,compound/deeply lobed,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Lomatia tinctoria,1.5,70,5,compound,shrub,compound/deeply lobed,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Orites acicularis,1.5,30,1,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Orites milliganii,2.5,30,20,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Orites revoluta,2,20,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Persoonia gunnii,3,30,10,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Proteaceae,Telopea truncata,8,180,40,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Rhamnaceae,Spyridium gunnii,4,35,15,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Rhamnaceae,Spyridium lawrencei,0.6,4,2,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Rhamnaceae,Spyridium obcordatum,0.4,10,6,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Rhamnaceae,Spyridium ulicinum,3,10,3,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Rutaceae,Boronia citriodora,0.6,15,1.5,compound,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Rutaceae,Boronia elisabethiae,0.7,8,1,compound,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Rutaceae,Boronia gunnii,1.2,17,2.5,compound,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Rutaceae,Boronia hemichiton,1.2,8,1,compound,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Rutaceae,Boronia hippopala,2.5,9,1.75,compound,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
1,0,1,1,Rutaceae,Boronia rozefeldsii,1,12,2,compound,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
0,0,1,1,Rutaceae,Phebalium daviesii,2,15,2.5,simple,shrub,NA,NA,Tasmania,Tassie_no_climbers,NA,NA,Tasmania,,Tasmania
