taxon_name,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Asparagus racemosus,climber_vine,scrambling,,perennial,,,
Sansevieria,,,,,,,
Sansevieria trifasciata,,,,,,,
Sowerbaea,,,,,,,
Sowerbaea alliacea,herb,,,perennial,,,
Thysanotus,,,,,,,
Thysanotus banksii,,,,,,,
Thysanotus chinensis,herb,,,annual,,,
Thysanotus exiliflorus,,,,,,,
Tricoryne,,,,,,,
Tricoryne elatior,,,,perennial,,,
Wurmbea,,,,,,,
Wurmbea centralis,,,,,,,
Wurmbea deserticola,,open,,,,,
Butomopsis,,,,,,,
Butomopsis latifolia,herb,,,,,,
,lithophyte fern epiphyte,,,,,terrestrial epiphyte lithophyte,
Lindsaea,fern epiphyte,,,,,terrestrial epiphyte,
Lindsaea brachypoda,,,,,rhizome,,
Lindsaea ensifolia,,,,,,,
Lindsaea media,,,,,rhizome,,
Lindsaea walkerae,,,,,rhizome,,
,,,,,,,
Fagraea,,,,,,,
Utania racemosa,tree,,,,,,
Orianthera centralis,subshrub shrub,erect,,perennial,,,
Mitrasacme,,,,,,,
Mitrasacme aggregata,herb,erect,,annual perennial,,,
Mitrasacme ambigua,herb,erect,,annual,,,
Mitrasacme brachystemonea,herb,erect,,annual,,,
Mitrasacme connata,herb,erect,,annual,,,
Mitrasacme elata,herb,erect,,annual,,,
Mitrasacme epigaea,herb,prostrate mat_forming,,annual,,,
Mitrasacme exserta,herb,erect,,annual perennial,,,
Mitrasacme floribunda,herb,erect,,annual,,,
Mitrasacme geniculosa,herb,,,perennial,,,
Mitrasacme gentianea,herb,erect,,annual,,,
Mitrasacme glaucescens,herb,erect,,annual,,,
Mitrasacme inornata,herb,decumbent,,annual,,,
Mitrasacme laevis,herb,erect,,annual,,,
Mitrasacme laricifolia,herb,erect,,annual,,,
Mitrasacme latiflora,herb,erect,,annual perennial,,,
Mitrasacme lutea,herb,erect,,annual,,,
Mitrasacme micrantha,herb,erect,,annual,,,
Mitrasacme multicaulis,herb,erect,,annual,,,
Mitrasacme nidulifera,herb,erect,,ephemeral,,,
Mitrasacme nudicaulis,herb,erect,,annual,,,
Mitrasacme nummularia,herb,prostrate erect,,annual,,,
Mitrasacme patens,herb,erect,,annual,,,
Mitrasacme prolifera,herb,erect,,annual,,,
Mitrasacme retroloba,herb,erect,,ephemeral,,,
Mitrasacme scrithicola,herb,erect,,annual,,,
Mitrasacme secedens,aquatic_herb,prostrate mat_forming,,annual,,aquatic,
Mitrasacme squamigera,herb,erect,,annual,,,
Mitrasacme stellata,herb,erect,,annual,,,
Mitrasacme subvolubilis,herb,erect decumbent,,annual,,,
Mitrasacme troglodytica,herb,erect,,ephemeral,,,
Mitreola,,,,,,,
Mitreola petiolata,herb,,,,,,
Strychnos lucida,tree,spreading,,,,,
Strychnos minor,climber_woody,,,,,,
,,,,,,,
Amyema,,,,,,,
Amyema benthamii,,,,,,,
Amyema bifurcata,,,,,,,
Amyema conspicua,,,,,,,
Amyema conspicua,,,,,,,
Amyema sp. Alligator,,,,,,,
Amyema gibberula,,,,,,,
Amyema haematodes,,,,,,,
Amyema herbertiana,,,,,,,
Amyema hilliana,,,,,,,
Amyema mackayensis,,,,,,,
Amyema mackayensis,,,,,,,
Amyema maidenii,,,,,,,
Amyema maidenii,,,,,,,
Amyema miquelii,,,,,,,
Amyema miraculosa,,,,,,,
Amyema miraculosa,,,,,,,
Amyema preissii,,,,,,,
Amyema quandang,,,,,,,
Amyema quandang,,,,,,,
Amyema sanguinea,,erect,,,,,
Amyema sanguinea,,,,,,,
Amyema sanguinea,,erect,,,,,
Amyema subcapitata,,,,,,,
Amyema thalassia,,,,,,,
Amyema tridactyla,,,,,,,
Amyema villiflora,,,,,,,
Amyema villiflora,,,,,,,
Amyema villiflora,,,,,,,
Decaisnina,,,,,,,
Decaisnina brittenii,,,,,,,
Decaisnina brittenii,,,,,,,
Decaisnina angustata,,,,,,,
Decaisnina signata,,,,,,,
Decaisnina signata,,,,,,,
Decaisnina signata,,,,,,,
Dendrophthoe,,,,,,,
Dendrophthoe acacioides,,,,,,,
Dendrophthoe acacioides,,,,,,,
Dendrophthoe acacioides,,,,,,,
Dendrophthoe glabrescens,,,,,,,
Dendrophthoe odontocalyx,,,,,,,
Diplatia,,,,,,,
Diplatia furcata,,,,,,,
Diplatia grandibractea,,,,,,,
Lysiana,,,,,,,
Lysiana exocarpi,,,,,,,
Lysiana exocarpi,,,,,,,
Lysiana maritima,shrub,erect spreading,parasitic,,,,
Lysiana murrayi,,,,,,,
Lysiana spathulata,,,,,,,
Lysiana spathulata,,,,,,,
Lysiana subfalcata,,,,,,,
,lithophyte epiphyte herb,,,perennial,,terrestrial epiphyte lithophyte,
Lycopodiella,,,,,,terrestrial,
Lycopodiella cernua,,trailing,,,,,
,tree shrub herb,,,,,,
Ammannia,herb,,,annual,,,
Ammannia auriculata,,,,,,,
Ammannia baccifera,herb,,,,,,
Ammannia multiflora,herb,,,,,,
Ammannia triflora,herb,prostrate,,annual,,,
Lythrum,,,,,,,
Lythrum hyssopifolia,,,,,,,
Lythrum paradoxum,herb,,,short_lived_perennial annual,,,
Lythrum wilsonii,herb,,,short_lived_perennial annual,,,
Sersalisia,,,,,,,
Ammannia arnhemica,,,,,,,
Ammannia crinipes,,,,,,,
Ammannia muelleri,herb,,,annual,,,
Ammannia fitzgeraldii,,,,,,,
Ammannia striatiflora,herb,erect,,annual,,,
Pemphis,,,,,,,
Pemphis acidula,tree shrub,,,,,,
Rotala,aquatic_herb,,,annual perennial,,terrestrial aquatic,
Rotala diandra,herb,erect,,annual,,,
Rotala mexicana,aquatic_herb,,,annual,,terrestrial aquatic,
Rotala occultiflora,herb,erect,,annual,,,
Rotala rosea,herb,erect,,annual,,,
Rotala tripartita,,,,,,,
,,,,,,,
Abelmoschus,subshrub herb,,,,,,
Abelmoschus ficulneus,shrub,,,annual,,,
Abelmoschus manihot,shrub,,,perennial,,,
Abelmoschus moschatus,shrub,erect decumbent,,annual,,,
Abelmoschus moschatus,shrub,erect decumbent,,annual,,,
Abutilon,shrub herb,,,annual perennial,,,
Abutilon cryptopetalum,subshrub herb,,,perennial,,,
Abutilon cunninghamii,,,,,,,
Abutilon sp. viscid,,,,,,,
Abutilon fraseri,,,,,,,
Abutilon halophilum,,,,,,,
Abutilon indicum,,,,,,,
Abutilon indicum,shrub,,,perennial,,,
Abutilon lepidum,subshrub herb,,,,,,
Abutilon leucopetalum,subshrub shrub herb,bushy,,,,,
Abutilon macrum,subshrub herb,,,perennial,,,
Abutilon malvifolium,subshrub herb,prostrate erect spreading,,short_lived_perennial annual,,,
Abutilon otocarpum,subshrub herb,,,short_lived_perennial,,,
Abutilon theophrasti,shrub herb,,,,,,
Hibiscus cravenii,shrub,,,,,,
Alyogyne pinoniana,shrub,,,,,,
Decaschistia,tree shrub,,,,,,
Decaschistia byrnesii,,,,,,,
Decaschistia byrnesii,shrub,,,perennial,,,
Gossypium,subshrub shrub,,,,,,
Gossypium australe,shrub,,,,,,
Gossypium bickii,shrub,,,,,,
Gossypium cunninghamii,subshrub,erect decumbent,,annual,,,
Gossypium hirsutum,shrub,,,perennial,,,
Gossypium nelsonii,shrub,,,,,,
Gossypium sturtianum,shrub,,,,,,
Gossypium sturtianum,shrub,,,,,,
Herissantia,subshrub herb,,,,,,
Herissantia crispa,herb,prostrate sprawling,,,,,
Hibiscus,tree herb,,,,,,
Hibiscus arenicola,,,,,,,
Hibiscus arnhemensis,shrub,,,perennial,,,
Hibiscus brachysiphonius,herb,erect spreading decumbent,,annual perennial,,,
Hibiscus brennanii,shrub,,,short_lived_perennial,,,
Hibiscus burtonii,subshrub shrub,open,,,,,
Hibiscus byrnesii,shrub,,,perennial,,,
Hibiscus geranioides,,,,,,,
Hibiscus krichauffianus,subshrub shrub,,,,,,
Hibiscus leptocladus,shrub,,,,,,
Hibiscus lobatus,herb,,,annual,,,
Hibiscus menzeliae,,,,,,,
Hibiscus meraukensis,shrub,,,annual perennial,,,
Hibiscus panduriformis,shrub,,,,,,
Hibiscus austrinus,,,,,,,
Hibiscus pentaphyllus,,,,,,,
Hibiscus sabdariffa,shrub,,,annual,,,
Hibiscus solanifolius,subshrub,spindly,,perennial,,,
Hibiscus sturtii,,,,,,,
Hibiscus sturtii,,,,,,,
Hibiscus sturtii,subshrub,erect decumbent,,perennial,,,
Hibiscus sturtii,subshrub shrub,,,,,,
Hibiscus sturtii,subshrub,spreading,,perennial,,,
Hibiscus sturtii,subshrub shrub,spreading open,,,,,
Hibiscus symonii,,,,,,,
Hibiscus tiliaceus,tree shrub,,,,,,
Hibiscus vitifolius,shrub,,,short_lived_perennial annual,,,
Hibiscus zonatus,shrub,,,perennial,,,
Lawrencia,,,,,,,
Lawrencia glomerata,subshrub herb,,,,,,
Lawrencia squamata,subshrub shrub,,,perennial,,,
Lawrencia viridigrisea,,,,,,,
Malachra,shrub,,,annual,,,
Malachra capitata,shrub,,,annual,,,
Malachra fasciata,,,,,,,
Malachra fasciata,shrub,,,annual,,,
Malva,,,,,,,
Malva parviflora,herb,prostrate erect,,perennial,,,
Malvastrum,subshrub herb,,,annual,,,
Malvastrum americanum,herb,,,short_lived_perennial annual,,,
Malvastrum coromandelianum,herb,,,annual,,,
Radyera farragei,,,,,,,
Sida,shrub herb,prostrate erect,,annual perennial,,,
Sida sp. Horseshoe Bend,,,,,,,
Sida sp. Ambalindum,subshrub herb,spreading,,perennial,,,
Sida sp. Suplejack Station,,,,,,,
Sida sp. Bond Springs,subshrub herb,prostrate decumbent,,perennial,,,
Sida sp. golden calyces,subshrub shrub,,,perennial,,,
Sida sp. Petermann Ranges,,,,,,,
Sida sp. pindan,subshrub,dense compact,,perennial,,,
Sida sp. Wakaya Desert,subshrub herb,spreading decumbent,,perennial,,,
Sida sp. Western sand dunes,subshrub shrub,spindly,,perennial,,,
Sida sp. Hale River,subshrub shrub,spindly,,,,,
Sida sp. Rabbit Flat,subshrub herb,,,perennial,,,
Sida sp. Walhallow Station,herb,,,,,,
Sida sp. limestone,subshrub herb,spreading,,perennial,,,
Sida sp. Rainbow Valley,subshrub herb,spreading,,perennial,,,
Sida acuta,subshrub,,,,,,
Sida ammophila,subshrub herb,,,perennial,,,
Sida arenicola,,,,,,,
Sida argillacea,subshrub herb,spreading,,perennial,,,
Sida brachypoda,,,,,,,
Sida calyxhymenia,,,,,,,
Sida cardiophylla,subshrub shrub,,,,,,
Sida cleisocalyx,,,,,,,
Sida cordifolia,subshrub shrub herb,,,,,,
Sida cunninghamii,subshrub herb,prostrate spreading decumbent,,perennial,,,
Sida sp. Mt Bundey,shrub,,,,,,
Sida sp. Huckitta,subshrub shrub herb,,,perennial,,,
Sida everistiana,subshrub shrub,,,perennial,,,
Sida fibulifera,subshrub herb,erect spreading,,perennial,,,
Sida filiformis,,,,,,,
Sida goniocarpa,subshrub herb,,,perennial,,,
Sida intricata,,,,,,,
Sida laevis,subshrub herb,,,perennial,,,
Sida macropoda,,,,,,,
Sida phaeotricha,subshrub shrub,spindly,,perennial,,,
Sida platycalyx,subshrub shrub,prostrate erect,,perennial,,,
Sida pusilla,herb,prostrate,,perennial,,,
Sida rhombifolia,subshrub,,,perennial,,,
Sida rohlenae,,,,,,,
Sida spinosa,herb,decumbent,,annual,,,
Sida trichopoda,subshrub herb,spreading sprawling,,perennial,,,
Thespesia,tree shrub,,,,,,
Thespesia populneoides,tree shrub,dense,,,,,
Thespesia thespesioides,shrub,,,annual perennial,,,
Urena,shrub,,,annual perennial,,,
Urena armitiana,shrub,,,annual,,,
Urena armitiana,shrub,,,annual,,,
Urena australiensis,shrub,,,,,,
Urena lobata,shrub,,,annual,,,
,,,,,,,
Angiopteris,,,,,,terrestrial,
Angiopteris evecta,,,,,,,
,semiaquatic fern aquatic,,,,rhizome,semiaquatic,
Marsilea,,,,,rhizome,,
Marsilea angustifolia,,tufted,,,rhizome,,
Marsilea crenata,,,,,rhizome,,
Marsilea drummondii,,,,,rhizome,,
Marsilea exarata,,,,,,,
Marsilea hirsuta,,,,,rhizome,,
Marsilea mutica,,,,,rhizome,,
,,,,,,,
Melastoma,,,,,,,
Memecylon,,,,,,,
Memecylon arnhemensis,,,,,,,
Memecylon pauciflorum,tree shrub,,,,,,
Osbeckia,,,,,,,
Osbeckia australiana,shrub,,,perennial,,,
Osbeckia chinensis,,,,,,,
Osbeckia chinensis,,,,,,,
Aglaia,,,,,,,
Aglaia brownii,,,,,,,
Aglaia sapindina,tree,,,,,,
Azadirachta indica,,,,,,,
Dysoxylum,,,,,,,
Dysoxylum acutangulum,,,,,,,
Dysoxylum acutangulum,tree,,,,,,
Dysoxylum latifolium,,,,,,,
Melia,,,,,,,
Melia azedarach,tree,,,,,,
Owenia,,,,,,,
Owenia acidula,,,,,,,
Owenia reticulata,,,,,,,
Owenia vernicosa,,,,,,,
Turraea,tree shrub,,,,,,
Turraea pubescens,tree shrub,,,,,,
Vavaea,,,,,,,
Vavaea amicorum,tree,,,,,,
Xylocarpus,,,,,,,
Xylocarpus granatum,tree,spreading,,,,,
Xylocarpus moluccensis,tree,,,,,,
,,,,,,,
Hypserpa,climber_woody,,,,,,
Hypserpa decumbens,,,,,,,
Hypserpa polyandra,climber,,,,,,
Pachygone,climber_woody,,,,,,
Pachygone ovata,climber,,,,,,
Stephania,climber_herb climber_woody,,,,,,
Stephania japonica,,,,,,,
Stephania japonica,,,,,,,
Tiliacora,climber_woody,scandent,,,,,
Tiliacora australiana,climber_vine_woody,scandent,,,,,
Tinospora,climber_woody,,,,,,
Tinospora esiangkara,climber_woody,,,,,,
Tinospora smilacina,climber_woody,,,,,,
,aquatic_herb,stoloniferous,,annual perennial,stolon,aquatic,
Nymphoides,aquatic_herb,stoloniferous,,annual perennial,stolon,,
Nymphoides aurantiaca,herb,stoloniferous,,annual perennial,stolon,,
Nymphoides crenata,herb,stoloniferous,,annual perennial,stolon,,
Nymphoides exiliflora,herb,,,annual,,,
Nymphoides furculifolia,herb,,,annual,,,
Nymphoides indica,herb,,,annual perennial,,,
Nymphoides minima,herb,,,annual,,,
Nymphoides parvifolia,herb,,,annual,,,
Nymphoides planosperma,herb,,,annual,,,
Nymphoides quadriloba,herb,,,annual perennial,,,
Nymphoides spongiosa,herb,,,annual,,,
Nymphoides subacuta,herb,,,annual perennial,,,
Acacia,tree shrub,,,,,,
Acacia sp. Krichauff Range,,,,,,,
Acacia abbreviata,,,,,,,
Acacia abrupta,shrub,,,,,,
Acacia acradenia,shrub,,,,,,
Acacia adoxa,,,,,,,
Acacia adoxa,,,,,,,
Acacia adsurgens,shrub,,,,,,
Acacia alleniana,tree shrub,,,,,,
Acacia amentifera,,,,,,,
Acacia ammobia,,,,,,,
Acacia ampliceps,,,,,,,
Acacia ancistrocarpa,,,,,,,
Acacia aneura,,,,,,,
Acacia pteraneura,,,,,,,
Acacia arafurica,,,,,,,
Acacia argyraea,shrub,,,,,,
Acacia armitii,,,,,,,
Acacia asperulacea,,,,,,,
Acacia auricoma,,,,,,,
Acacia auriculiformis,tree,,,,,,
Acacia basedowii,shrub,spreading,,,,,
Acacia bivenosa,shrub,,,,,,
Acacia brockii,,,,,,,
Acacia calcicola,tree shrub,spreading,,,,,
Acacia cambagei,,,,,,,
Acacia cataractae,,,,,,,
Senegalia chundra,tree shrub,,,,,,
Acacia chippendalei,shrub,spreading,,,,,
Acacia chisholmii,,,,,,,
Acacia colei,,,,,,,
Acacia conjunctifolia,,,,,,,
Acacia conspersa,tree shrub,spindly,,,,,
Acacia convallium,,,,,,,
Acacia cowleana,tree shrub,,,,,,
Acacia cuthbertsonii,,,,,,,
Acacia cyperophylla,,,,,,,
Acacia sp. Jim Jim Falls,,,,,,,
Acacia sp. El Sharana,shrub,,,perennial,,,
Acacia sp. Gove,tree,,,,,,
Acacia sp. Gimbat,,,,,,,
Acacia citriodora,,,,,,,
Acacia delicatula,,,,,,,
Acacia desmondii,,,,,,,
Acacia dictyophleba,shrub,,,,,,
Acacia difficilis,tree shrub,,,,,,
Acacia dimidiata,tree shrub,,,,,,
Acacia dolichophylla,shrub,,,,,,
Acacia drepanocarpa,,,,,,,
Acacia drepanocarpa,,,,,,,
Acacia drepanocarpa,,,,,,,
Acacia dunnii,tree shrub,,,,,,
Acacia echinuliflora,,,,,,,
Acacia estrophiolata,tree,,,,,,
Acacia filipes,,,,,,,
Acacia froggattii,,,,,,,
Acacia galioides,,,,,,,
Acacia georginae,tree shrub,spreading,,,,,
Acacia gonocarpa,shrub,,,,,,
Acacia gonoclada,,,,,,,
Acacia gracilenta,,,,,,,
Acacia grasbyi,,,,,,,
Acacia hammondii,,,,,,,
Acacia helicophylla,shrub,spindly,,,,,
Acacia helmsiana,,,,,,,
Acacia hemignosta,tree shrub,,,,,,
Acacia hemsleyi,shrub,,,,,,
Acacia hilliana,shrub,spreading,,,,,
Acacia hippuroides,,,,,,,
Acacia holosericea,shrub,,,,,,
Acacia humifusa,shrub,spreading,,,,,
Acacia hyaloneura,,,,,,,
Acacia inaequilatera,tree shrub,,,,,,
Acacia jasperensis,,,,,,,
Acacia jennerae,,,,,,,
Acacia jensenii,,,,,,,
Acacia kelleri,shrub,,,perennial,,,
Acacia kempeana,shrub,,,,,,
Acacia laccata,,,,,,,
Acacia lacertensis,,,,,,,
Acacia latescens,tree,,,,,,
Acacia latifolia,,,,,,,
Acacia latzii,tree shrub,,,,,,
Acacia leptocarpa,tree,,,,,,
Acacia leptophleba,,,,,,,
Acacia ligulata,shrub,,,,,,
Acacia limbata,,,,,,,
Acacia linarioides,,,,,,,
Acacia longipedunculata,,,,,,,
Acacia lycopodiifolia,,,,,,,
Acacia lysiphloia,,,,,,,
Acacia macdonnellensis,,,,,,,
Acacia macdonnellensis,tree shrub,,,,,,
Acacia macdonnellensis,,,,,,,
Acacia maconochieana,tree,,,,,,
Acacia maitlandii,shrub,compact,,,,,
Acacia malloclada,,,,,,,
Acacia megalantha,,,,,,,
Acacia melleodora,shrub,compact,,,,,
Acacia mimula,tree,,,,,,
Acacia minutifolia,shrub,spreading,,,,,
Acacia minyura,shrub,dense,,,,,
Acacia monticola,tree shrub,,,,,,
Acacia mountfordiae,shrub,,,,,,
Acacia multisiliqua,shrub,prostrate,,,,,
Acacia multistipulosa,,,,,,,
Acacia murrayana,tree shrub,,,,,,
Acacia neurocarpa,,,,,,,
Vachellia nilotica,tree,,,,,,
Acacia nuperrima,shrub,spreading,,,,,
Acacia nyssophylla,shrub,dense,,,,,
Acacia olgana,,,,,,,
Acacia oligoneura,shrub,open,,,,,
Acacia oncinocarpa,tree shrub,spreading,,,,,
Acacia orthocarpa,,,,,,,
Acacia orthotricha,,,,,,,
Acacia oswaldii,,,,,,,
Acacia pachyacra,,,,,,,
Acacia pachycarpa,,,,,,,
Acacia paraneura,tree shrub,,,,,,
Acacia pellita,tree shrub,,,,,,
Acacia perryi,shrub,spreading,,,,,
Acacia peuce,tree,,,,,,
Acacia phlebocarpa,,,,,,,
Acacia pickardii,,,,,,,
Acacia platycarpa,tree shrub,,,,,,
Acacia plectocarpa,tree shrub,,,,,,
Acacia plectocarpa,,,,,,,
Acacia plectocarpa,,,,,,,
Acacia praelongata,tree,,,,,,
Acacia praetermissa,shrub,,,,,,
Acacia prainii,,,,,,,
Acacia producta,,,,,,,
Acacia proiantha,,,,,,,
Acacia pruinocarpa,tree shrub,,,,,,
Acacia ptychophylla,,,,,,,
Acacia ramulosa,,,,,,,
Acacia retivenea,shrub,,,,,,
Acacia rhodophloia,tree shrub,,,,,,
Acacia richardsii,,,,,,,
Acacia rigescens,,,,,,,
Acacia salicina,tree shrub,,,,,,
Acacia scopulorum,,,,,,,
Acacia sericoflora,,,,,,,
Acacia setulifera,shrub,bushy,,,,,
Acacia shirleyi,,,,,,,
Acacia simsii,,,,,,,
Acacia spondylophylla,shrub,spreading,,,,,
Acacia stenophylla,,,,,,,
Acacia stigmatophylla,,,,,,,
Acacia stipuligera,,,,,,,
Acacia sibirica,shrub,,,,,,
Acacia strongylophylla,shrub,,,,,,
Acacia sublanata,shrub,,,,,,
Acacia subternata,,,,,,,
Acacia symonii,,,,,,,
Acacia tenuissima,shrub,,,,,,
Acacia tephrina,,,,,,,
Acacia tetragonophylla,tree shrub,,,,,,
Acacia thomsonii,shrub,,,,,,
Acacia tolmerensis,shrub,,,,,,
Acacia torulosa,tree shrub,,,,,,
Acacia translucens,,,,,,,
Acacia tropica,,,,,,,
Acacia tumida,,,,,,,
Acacia umbellata,tree shrub,,,,,,
Acacia undoolyana,tree shrub,,,,,,
Acacia validinervia,shrub,,,,,,
Acacia victoriae,tree shrub,,,,,,
Acacia wickhamii,,,,,,,
Acacia wiseana,,,,,,,
Acacia yirrkallensis,shrub,,,,,,
Adenanthera,,,,,,,
Adenanthera pavonina,tree,,,,,,
Albizia,tree shrub,,,,,,
Albizia canescens,tree,,,,,,
Albizia lebbeck,tree,,,,,,
Albizia procera,,,,,,,
Cathormion,,,,,,,
Cathormion umbellatum,tree shrub,dense,,,,,
Cathormion umbellatum,tree shrub,dense,,,,,
Desmanthus,,,,,,,
Dichrostachys spicata,shrub,,,,,,
Entada,,,,,,,
Entada rheedii,climber_liana,,,,,,
Leucaena,,,,,,,
Leucaena leucocephala,tree shrub,,,,,,
Mimosa,tree shrub herb,,,,,,
Mimosa pigra,shrub,,,,,,
Mimosa pudica,shrub herb,erect trailing,,,,,
Neptunia,aquatic_herb,,,,,terrestrial,
Neptunia dimorphantha,herb,prostrate,,,,,
Neptunia gracilis,shrub,prostrate,,perennial,,,
Neptunia gracilis,,,,,,,
Neptunia gracilis,,,,,,,
Neptunia major,herb,shrubby,,perennial,,,
Neptunia monosperma,herb,,,,,,
,,,,,,,
Glinus,herb,,,annual perennial,,,
Glinus lotoides,herb,prostrate,,annual perennial,,,
Glinus oppositifolius,herb,prostrate,,annual,,,
Glinus orygioides,herb,,,perennial,,,
Macarthuria,,,,,,,
Mollugo,herb,,,annual perennial,,,
Hypertelis cerviana,herb,,,annual ephemeral,,,
Trigastrotheca molluginea,herb,erect sprawling,,perennial,,,
Mollugo pentaphylla,herb,erect,,annual,,,
,,,,,,,
Antiaris,tree,,,,,,monoecious
Antiaris toxicaria,,,,,,,
Antiaris toxicaria,tree,,,,,,
Artocarpus,tree,,,,,,monoecious
Artocarpus glaucus,tree,,,,,,
Fatoua,herb,,,,,,monoecious
Fatoua villosa,herb,,,,,,
Ficus,tree shrub,,,,,terrestrial,
Ficus adenosperma,tree,,,,,,dioecious
Ficus benjamina,tree lithophyte hemiepiphyte,,,,,lithophyte hemiepiphyte,monoecious
Ficus congesta,tree,,,,,,dioecious
Ficus coronulata,tree,,,,,,dioecious
Ficus carpentariensis,tree,,,,,,dioecious
Ficus hispida,tree,,,,,,dioecious
Ficus platypoda,tree lithophyte,,,,,lithophyte,monoecious
Ficus racemosa,tree,,,,,,monoecious
Ficus scobina,tree,,,,,,dioecious
Ficus subpuberula,tree lithophyte,,,,,lithophyte,monoecious
Ficus henneana,tree lithophyte hemiepiphyte,,,,,terrestrial lithophyte hemiepiphyte,monoecious
Ficus virens,tree lithophyte hemiepiphyte,,,,,terrestrial lithophyte hemiepiphyte,monoecious
Ficus virens,tree lithophyte hemiepiphyte,,,,,terrestrial lithophyte hemiepiphyte,monoecious
Ficus virens,tree lithophyte hemiepiphyte,,,,,terrestrial lithophyte hemiepiphyte,monoecious
Eremophila,,,,,,,
Eremophila prostrata,shrub,prostrate erect,,,,,
Eremophila sp. Arookara Range,,,,,,,
Eremophila alternifolia,shrub,,,,,,
Eremophila battii,,,,,,,
Eremophila bignoniiflora,tree shrub,,,,,,
Eremophila christophori,shrub,,,,,,
Eremophila clarkei,,,,,,,
Eremophila cordatisepala,,,,,,,
Eremophila acrida,shrub,,,,,,
Eremophila dalyana,,,,,,,
Eremophila duttonii,shrub,,,,,,
Eremophila elderi,shrub,compact,,,,,
Eremophila forrestii,,,,,,,
Eremophila freelingii,shrub,,,,,,
Eremophila gibsonii,,,,,,,
Eremophila gilesii,,,,,,,
Eremophila glabra,,,,,,,
Eremophila goodwinii,,,,,,,
Eremophila goodwinii,,,,,,,
Eremophila hughesii,,,,,,,
Eremophila latrobei,,,,,,,
Eremophila latrobei,shrub,,,,,,
Eremophila longifolia,tree shrub,,,,,,
Eremophila macdonnellii,shrub,prostrate dense compact,,,,,
Eremophila maculata,shrub,,,,,,
Eremophila maculata,,,,,,,
Eremophila neglecta,,,,,,,
Eremophila obovata,,,,,,,
Eremophila obovata,,,,,,,
Eremophila obovata,,,,,,,
Eremophila ovata,shrub,,,,,,
Eremophila paisleyi,,,,,,,
Eremophila platythamnos,,,,,,,
Eremophila polyclada,,,,,,,
Eremophila rotundifolia,,,,,,,
Eremophila serrulata,,,,,,,
Eremophila sturtii,shrub,,,,,,
Eremophila willsii,,,,,,,
Eremophila willsii,shrub,,,,,,
Eremophila willsii,shrub,,,,,,
Eremophila youngii,,,,,,,
Eremophila youngii,,,,,,,
Myoporum,,,,,,,
Myoporum montanum,tree shrub,dense,,,,,
,,,,,,,
Horsfieldia,tree,,,,,,dioecious
Horsfieldia australiana,tree,,,,,,dioecious
Myristica,tree,,,,,,dioecious
Myristica insipida,,,,,,,
Myristica lancifolia,climber_liana,,,,,,
Myristica lancifolia,tree,,,,,,
Aegiceras,tree shrub,,,,,,
Aegiceras corniculatum,tree shrub,,,,,,
Ardisia,tree shrub herb,,,,,,
Embelia,shrub climber_vine,,,,,,dioecious
Embelia curvinervia,shrub climber_vine,scandent,,,,,
Myrsine,tree shrub,,,,,,dioecious
Myrsine benthamiana,tree shrub,spreading,,,,,
Myrsine pedicellata,tree shrub,,,,,,
,,,,,,,
Allosyncarpia,,,,,,,
Allosyncarpia ternata,,,,,,,
Seorsus intratropicus,,,,,,,
Asteromyrtus,,,,,,,
Asteromyrtus arnhemica,,,,,,,
Asteromyrtus lysicephala,,,,,,,
Baeckea,,,,,,,
Rinzia polystemona,shrub,,,,,,
Calytrix,tree shrub,,,,,,
Calytrix achaeta,shrub,dense,,,,,
Calytrix arborescens,tree shrub,,,,,,
Calytrix brownii,shrub,,,,,,
Calytrix carinata,shrub,,,,,,
Calytrix decussata,,,,,,,
Calytrix exstipulata,shrub,,,,,,
Calytrix faucicola,,,,,,,
Calytrix inopinata,shrub,erect spindly,,,,,
Calytrix megaphylla,,,,,,,
Calytrix micrairoides,,,,,,,
Calytrix mimiana,,,,,,,
Calytrix rupestris,,,,,,,
Calytrix surdiviperana,,,,,,,
Calytrix verticillata,,,,,,,
Eucalyptus,tree mallee,,,,,,
Eucalyptus sp. Montejinni Station,,,,,,,
Eucalyptus alba,tree,,,,,,
Eucalyptus apodophylla,tree,,,,,,
Eucalyptus barklyensis,,,,,,,
Eucalyptus bigalerita,tree,,,,,,
Eucalyptus brachyandra,tree mallee shrub,,,,,,
Eucalyptus brevifolia,tree,,,,,,
Eucalyptus camaldulensis,,,,,,,
Eucalyptus chlorophylla,tree mallee,,,,,,
Eucalyptus coolabah,tree,,,,,,
Eucalyptus cupularis,tree,,,,,,
Eucalyptus cyanoclada,,,,,,,
Eucalyptus distans,tree,,,,,,
Eucalyptus gamophylla,mallee,,,,,,
Eucalyptus gigantangion,tree,,,,,,
Eucalyptus gillenii,tree mallee,,,,,,
Eucalyptus glomericassis,tree,,,,,,
Eucalyptus gongylocarpa,tree,,,,,,
Eucalyptus helenae,,,,,,,
Eucalyptus herbertiana,tree mallee,,,,,,
Eucalyptus intertexta,tree mallee,,,,,,
Eucalyptus jensenii,tree,,,,,,
Eucalyptus koolpinensis,tree,,,,,,
Eucalyptus leucophloia,tree,,,,,,
Eucalyptus limitaris,mallee,,,,,,
Eucalyptus lucens,mallee,,,,,,
