site,Species,SLA,leaf thickness (mm),leaf N (mg/g),leaf P (mg/g),LMA,Leaf Area (mm2)
Merridin & other wheatbelt_70,Hakea invaginata,18.0,0.948,5.07,0.22,554.0,252.7
Merridin & other wheatbelt_70,Hakea minyma,27.8,0.453,8.53,0.25,360.0,369.8
Merridin & other wheatbelt_70,Hakea multilineata,30.3,0.453,3.24,0.24,330.5,833.0
Merridin & other wheatbelt_70,Hakea loranthifolia,35.2,0.245,5.94,0.22,283.9,646.4
Merridin & other wheatbelt_70,Hakea aculeata,33.2,0.278,3.45,0.35,301.2,101.0
Millbrook Reserve & nearby_70,Hakea drupacea,24.1,1.615,4.42,0.21,414.3,311.8
Millbrook Reserve & nearby_70,Hakea elliptica,52.0,0.363,6.37,0.39,192.5,1332.5
Millbrook Reserve & nearby_70,Hakea ferruginea,58.3,0.290,3.88,0.2,171.5,363.8
Millbrook Reserve & nearby_70,Hakea lasiantha,41.9,0.400,4.68,0.09,238.5,355.4
Millbrook Reserve & nearby_70,Hakea laurina,35.5,0.460,6.58,0.37,281.5,949.5
Millbrook Reserve & nearby_70,Hakea preissii,14.1,1.980,4.53,0.41,709.5,48.6
Millbrook Reserve & nearby_70,Hakea ruscifolia,44.7,0.410,5.39,0.27,223.6,63.2
Millbrook Reserve & nearby_70,Hakea sulcata,19.1,1.245,4.42,0.24,523.1,86.7
Millbrook Reserve & nearby_70,Hakea tuberculata,42.4,0.453,4.8,0.23,236.0,23.2
Stirling Ranges_70,Hakea ambigua,40.1,0.338,6.04,0.23,249.5,427.6
Stirling Ranges_70,Hakea baxteri,16.7,0.830,3.88,0.15,600.1,1232.6
Stirling Ranges_70,Hakea corymbosa,13.7,0.805,3.68,0.18,732.3,156.8
Stirling Ranges_70,Hakea cucullata,30.9,0.443,6.58,0.2,323.9,1043.2
Stirling Ranges_70,Hakea denticulata,27.4,0.760,4.81,0.17,365.4,383.6
Stirling Ranges_70,Hakea pandicarpa crassifolia,14.0,0.960,3.75,0.16,716.5,428.7
Stirling Ranges_70,Hakea pritzelii,28.4,0.635,6.8,0.25,351.7,264.7
Stirling Ranges_70,Hakea prostrata S,36.1,0.543,4.39,0.57,276.8,807.4
Stirling Ranges_70,Hakea trifurcata (broad),27.1,0.570,,,368.7,236.7
Stirling Ranges_70,Hakea trifurcata (needle),21.4,1.068,,,467.7,78.4
Stirling Ranges_70,Hakea varia,23.7,1.020,3.38,0.13,422.1,34.6
Walpole_70,Hakea amplexicaulis,40.7,0.615,3.59,0.13,245.8,2221.9
Walpole_70,Hakea falcata,64.6,0.278,,,154.8,420.5
Walpole_70,Hakea florida,30.4,0.558,5,0.18,329.3,89.6
Walpole_70,Hakea linearis,28.1,0.580,5.94,0.21,356.2,75.2
Walpole_70,Hakea oleifolia,31.6,0.478,5.11,0.26,316.8,167.2
Walpole_70,Hakea prostrata,23.8,0.653,4.39,0.57,419.3,414.0
Watheroo_70,Hakea brownii,16.4,0.868,3.24,0.1,610.3,982.9
Watheroo_70,Hakea candolleana,20.6,0.403,5.61,0.32,485.6,90.7
Watheroo_70,Hakea circumalata,39.6,0.810,,,252.5,28.6
Watheroo_70,Hakea cygna cygna,20.8,0.655,4.32,0.21,481.0,134.3
Watheroo_70,Hakea gilbertii,27.4,0.793,3.34,0.14,365.6,30.7
Watheroo_70,Hakea obliqua parviflora,21.4,1.108,2.8,0.15,468.0,70.0
Watheroo_70,Hakea platysperma,14.6,1.748,3.34,0.14,683.3,191.7
Watheroo_70,Hakea polyanthema,24.8,0.953,4.42,0.12,403.6,59.6
Watheroo_70,Hakea recurva arida,13.8,1.773,6.04,0.24,723.6,93.6
Watheroo_70,Hakea recurva recurva,8.4,2.390,5.29,0.22,1185.8,231.2
Watheroo_70,Hakea scoparia scoparia,21.6,1.380,4.32,0.17,463.3,350.2
