species,Fruit.Type.Botany,Fruit.Type.Specific,Fruit.Type.Function,Adaptive.Trait,Fruit.Length (mm),Fruit.Diameter (mm),Seed.Length (mm),Seed.Diameter (mm),Flowering time
Acacia angusta,dry,pod,fleshy,aril,,,,,
Acacia anomala,dry,pod,fleshy,aril,,,,,
Acacia anthochaera,dry,pod,dry,,,,,,
Acacia aphanoclada,dry,pod,fleshy,aril,,,,,
Acacia aphylla,dry,pod,fleshy,aril,,,,,
Acacia applanata,dry,pod,fleshy,aril,,,,,
Acacia aprepta,dry,pod,dry,,,,,,`10-1
Acacia aprica,dry,pod,fleshy,aril,,,,,
Acacia arafurica,dry,pod,fleshy,aril,,,,,`4-5
Acacia araneosa,dry,pod,fleshy,aril,,,,,
Acacia arbiana,dry,pod,dry,,45,12,,,`7-8
Acacia arcuatilis,dry,pod,fleshy,aril,,,,,
Acacia argutifolia,dry,pod,fleshy,aril,,,,,
Acacia argyraea,dry,pod,fleshy,aril,,,,,
Acacia argyrodendron,dry,pod,dry,,,,,,
Acacia argyrophylla,dry,pod,dry,,,,,,
Acacia argyrotricha,dry,pod,fleshy,aril,,,,,`9-10
Acacia arida,dry,pod,fleshy,aril,,,,,`5-10
Acacia aristulata,dry,pod,fleshy,aril,,,,,
Acacia armillata,dry,pod,fleshy,aril,,,,,
Acacia armitii,dry,pod,dry,,,,,,
Acacia arrecta,dry,pod,fleshy,aril,,,,,`12-8
Acacia ascendens,dry,pod,fleshy,aril,,,,,
Acacia asepala,dry,pod,fleshy,aril,,,,,
Acacia ashbyae,dry,pod,fleshy,aril,,,,,
Acacia asparagoides,dry,pod,dry,,,,,,
Acacia aspera,dry,pod,fleshy,aril,,,,,
Acacia asperulacea,dry,pod,dry,,,,,,
Acacia assimilis,dry,pod,fleshy,aril,,,,,
Acacia ataxiphylla,dry,pod,dry,,,,,,
Acacia atkinsiana,dry,pod,fleshy,aril,,,,,`5-8
Acacia atopa,dry,pod,dry,,,,,,
Acacia attenuata,dry,pod,fleshy,aril,,,,,
Acacia aulacocarpa,dry,pod,dry,,,,,,`2-8
Acacia aulacophylla,dry,pod,fleshy,aril,,,,,
Acacia auratiflora,dry,pod,dry,,,,,,
Acacia aureocrinita,dry,pod,dry,,,,,,
Acacia auricoma,dry,pod,fleshy,aril,,,,,
Acacia auriculiformis,dry,pod,fleshy,aril,,,,,`2-8
Acacia auripila,dry,pod,dry,,65,5.25,,,
Acacia auronitens,dry,pod,fleshy,aril,,,,,
Acacia ausfeldii,dry,pod,fleshy,aril,,,,,
Acacia awestoniana,dry,pod,fleshy,aril,,,,,
Acacia axillaris,dry,pod,fleshy,aril,,,,,`9-10
Acacia ayersiana,dry,pod,fleshy,aril,,,,,
Acacia baeuerlenii,dry,pod,fleshy,aril,,,,,
Acacia baileyana,dry,pod,dry,,,,,,`6-9
Acacia bakeri,dry,pod,dry,,,,,,
Acacia balsamea,dry,pod,fleshy,aril,,,,,
Acacia bancroftiorum,dry,pod,fleshy,aril,,,,,
Acacia barattensis,dry,pod,fleshy,aril,,,,,
Acacia barbinervis,dry,pod,fleshy,aril,,,,,`11-2
Acacia barringtonensis,dry,pod,fleshy,aril,,,,,
Acacia basedowii,dry,pod,dry,,,,,,
Acacia baueri,dry,pod,fleshy,aril,,,,,
Acacia baxteri,dry,pod,fleshy,aril,,,,,`1-12
Acacia beauverdiana,dry,pod,fleshy,aril,,,,,
Acacia beckleri,dry,pod,fleshy,aril,,,,,
Acacia benthamii,dry,pod,dry,,,,,,
Acacia betchei,dry,pod,fleshy,aril,,,,,
Acacia bidentata,dry,pod,fleshy,aril,,,,,
Acacia bidwillii,dry,pod,dry,,,,,,`11-12
Acacia bifaria,dry,pod,fleshy,aril,,,,,
Acacia biflora,dry,pod,fleshy,aril,,,,,
Acacia binata,dry,pod,fleshy,aril,,,,,
Acacia binervata,dry,pod,fleshy,aril,,,,,
Acacia binervia,dry,pod,dry,,,,,,`9-10
Acacia bivenosa,dry,pod,fleshy,aril,,,,,
Acacia blakei,dry,pod,dry,,,,,,
Acacia blakelyi,dry,pod,fleshy,aril,,,,,
Acacia blaxellii,dry,pod,fleshy,aril,,,,,
Acacia blayana,dry,pod,dry,,,,,,`9-10
Acacia boormanii,dry,pod,fleshy,aril,,,,,
Acacia botrydion,dry,pod,fleshy,aril,,,,,
Acacia brachybotrya,dry,pod,fleshy,aril,,,,,
Acacia brachycarpa,dry,pod,dry,,,,,,
Acacia brachyclada,dry,pod,fleshy,aril,,,,,
Acacia brachyphylla,dry,pod,fleshy,aril,,,,,
Acacia brachypoda,dry,pod,fleshy,aril,,,,,
Acacia brachystachya,dry,pod,fleshy,aril,,,,,
Acacia bracteolata,dry,pod,fleshy,aril,,,,,
Acacia brassii,dry,pod,dry,,,,,,`6-7
Acacia brockii,dry,pod,dry,,,,,,`4-5
Acacia browniana,dry,pod,dry,,,,,,
Acacia brownii,dry,pod,dry,,,,,,`7-11
Acacia brumalis,dry,pod,fleshy,aril,,,,,`5-9
Acacia brunioides,dry,pod,fleshy,aril,,,,,
Acacia bulgaensis,dry,pod,dry,,,,,,`9-3
Acacia burbidgeae,dry,pod,fleshy,aril,,,,,
Acacia burrowii,dry,pod,dry,,,,,,`7-10
Acacia buxifolia,dry,pod,fleshy,aril,,,,,
Acacia bynoeana,dry,pod,fleshy,aril,,,,,
Acacia caerulescens,dry,pod,fleshy,aril,,,,,
Acacia caesariata,dry,pod,fleshy,aril,,,,,
Acacia caesiella,dry,pod,fleshy,aril,,,,,
Acacia calamifolia,dry,pod,fleshy,aril,,,,,
Acacia calantha,dry,pod,fleshy,aril,,,,,
Acacia calcarata,dry,pod,fleshy,aril,,,,,
Acacia calcicola,dry,pod,fleshy,aril,,,,,
Acacia caleyi,dry,pod,dry,,,,,,
Acacia calyculata,dry,pod,fleshy,aril,,,,,`1-12
Acacia cambagei,dry,pod,fleshy,aril,,,,,
Acacia camptoclada,dry,pod,dry,,,,,,
Acacia campylophylla,dry,pod,fleshy,aril,,,,,
Acacia cana,dry,pod,dry,,,,,,
Acacia cangaiensis,dry,pod,dry,,,,,,`1-3
Acacia capillaris,dry,pod,dry,,,,,,`5
Acacia cardiophylla,dry,pod,dry,,,,,,`8-11
Acacia carens,dry,pod,fleshy,aril,,,,,
Acacia carneorum,dry,pod,fleshy,aril,,,,,
Acacia carnosula,dry,pod,dry,,,,,,
Acacia caroleae,dry,pod,dry,,,,,,`8-10
Acacia cassicula,dry,pod,fleshy,aril,,,,,
Acacia cataractae,dry,pod,fleshy,aril,,,,,`12-7
Acacia catenulata,dry,pod,fleshy,aril,,,,,
Acacia cavealis,dry,pod,fleshy,aril,,,,,
Acacia cedroides,dry,pod,fleshy,aril,,,,,
Acacia celastrifolia,dry,pod,fleshy,aril,,,,,
Acacia cerastes,dry,pod,dry,,,,,,
Acacia chalkeri,dry,pod,fleshy,aril,,,,,`10-1
Acacia chamaeleon,dry,pod,fleshy,aril,,,,,
Acacia chapmanii,dry,pod,fleshy,aril,,,,,
Acacia chartacea,dry,pod,fleshy,aril,,,,,
Acacia cheelii,dry,pod,dry,,,,,,`8-10
Acacia chinchillensis,dry,pod,dry,,,,,,`7-9
Acacia chippendalei,dry,pod,dry,,,,,,
Acacia chisholmii,dry,pod,dry,,,,,,`5-8
Acacia chrysella,dry,pod,fleshy,aril,,,,,`12-8
Acacia chrysocephala,dry,pod,fleshy,aril,,,,,
Acacia chrysochaeta,dry,pod,dry,,,,,,`5-6
Acacia chrysopoda,dry,pod,dry,,,,,,
Acacia chrysotricha,dry,pod,dry,,,,,,`7-8
Acacia cincinnata,dry,pod,fleshy,aril,,,,,`5-6
Acacia citrinoviridis,dry,pod,dry,,,,,,`4-6
Acacia clandullensis,dry,pod,dry,,,,,,
Acacia clelandii,dry,pod,fleshy,aril,,,,,
Acacia clunies-rossiae,dry,pod,fleshy,aril,,,,,
Acacia clydonophora,dry,pod,fleshy,aril,,,,,
Acacia cochlearis,dry,pod,fleshy,aril,,,,,
Acacia cochlocarpa,dry,pod,fleshy,aril,,,,,
Acacia cognata,dry,pod,fleshy,aril,,,,,
Acacia colei,dry,pod,fleshy,aril,,,,,
Acacia colletioides,dry,pod,fleshy,aril,,,,,
Acacia comans,dry,pod,fleshy,aril,,,,,
Acacia complanata,dry,pod,dry,,,,,,
Acacia concolorans,dry,pod,fleshy,aril,,,,,
Acacia concurrens,dry,pod,dry,,,,,,`7-9
Acacia conferta,dry,pod,fleshy,aril,,,,,`4-8
Acacia confluens,dry,pod,fleshy,aril,,,,,
Acacia congesta,dry,pod,fleshy,aril,,,,,
Acacia conjunctifolia,dry,pod,fleshy,aril,,,,,`5-9
Acacia conniana,dry,pod,dry,,,,,,`9-10
Acacia consanguinea,dry,pod,fleshy,aril,,,,,
Acacia consobrina,dry,pod,fleshy,aril,,,,,
Acacia conspersa,dry,pod,dry,,,,,,`4-10
Acacia constablei,dry,pod,dry,,,,,,`6-8
Acacia continua,dry,pod,fleshy,aril,,,,,
Acacia convallium,dry,pod,fleshy,aril,,,,,`4-5
Acacia coolgardiensis,dry,pod,fleshy,aril,,,,,
Acacia coriacea,dry,pod,fleshy,aril,,,,,
Acacia costata,dry,pod,fleshy,aril,,,,,
Acacia costiniana,dry,pod,fleshy,aril,,,,,
Acacia courtii,dry,pod,fleshy,aril,,,,,`11-1
Acacia covenyi,dry,pod,fleshy,aril,,,,,
Acacia cowaniana,dry,pod,fleshy,aril,,,,,
Acacia cowleana,dry,pod,fleshy,aril,,,,,`6-8
Acacia cracentis,dry,pod,fleshy,aril,,,,,
Acacia craspedocarpa,dry,pod,fleshy,aril,,,,,
Acacia crassa,dry,pod,dry,,,,,,`7-10
Acacia crassicarpa,dry,pod,dry,,,,,,`5-8
Acacia crassistipula,dry,pod,fleshy,aril,,,,,
Acacia crassiuscula,dry,pod,fleshy,aril,,,,,
Acacia crassuloides,dry,pod,fleshy,aril,,,,,
Acacia cremiflora,dry,pod,dry,,,,,,
Acacia crenulata,dry,pod,fleshy,aril,,,,,
Acacia cretacea,dry,pod,fleshy,aril,,,,,
Acacia cretata,dry,pod,dry,,,,,,`7-9
Acacia crispula,dry,pod,fleshy,aril,,,,,
Acacia crombiei,dry,pod,dry,,,,,,
Acacia cultriformis,dry,pod,fleshy,aril,,,,,
Acacia cummingiana,dry,pod,fleshy,aril,,,,,
Acacia cuneifolia,dry,pod,fleshy,aril,,,,,
Acacia cupularis,dry,pod,fleshy,aril,,,,,
Acacia curranii,dry,pod,dry,,,,,,`8-9
Acacia curvata,dry,pod,fleshy,aril,,,,,
Acacia curvinervia,dry,pod,dry,,,,,,`5-7
Acacia cuspidifolia,dry,pod,dry,,,,,,
Acacia cuthbertsonii,dry,pod,fleshy,aril,,,,,
Acacia cyclops,dry,pod,dry,,,,,,
Acacia cylindrica,dry,pod,fleshy,aril,,,,,
Acacia cyperophylla,dry,pod,dry,,,,,,
Acacia dacrydioides,dry,pod,dry,,,,,,`3-5
Acacia dallachiana,dry,pod,fleshy,aril,,,,,`9-12
Acacia dangarensis,dry,pod,dry,,,,,,`8-9
Acacia daviesioides,dry,pod,fleshy,aril,,,,,
Acacia daweana,dry,pod,fleshy,aril,,,,,
Acacia dawsonii,dry,pod,fleshy,aril,,,,,
Acacia dealbata,dry,pod,dry,,,,,,
Acacia deanei,dry,pod,dry,,,,,,
Acacia debilis,dry,pod,dry,,,,,,`7-9
Acacia declinata,dry,pod,fleshy,aril,,,,,
Acacia decora,dry,pod,fleshy,aril,,,,,
Acacia decurrens,dry,pod,dry,,,,,,`7-9
Acacia deficiens,dry,pod,dry,,,,,,
Acacia deflexa,dry,pod,fleshy,aril,,,,,
Acacia delibrata,dry,pod,dry,,,,,,`4-6
Acacia delicatula,dry,pod,fleshy,aril,,,,,
Acacia delphina,dry,pod,fleshy,aril,,,,,
Acacia deltoidea,dry,pod,fleshy,aril,,,,,
Acacia demissa,dry,pod,fleshy,aril,,,,,
Acacia dempsteri,dry,pod,fleshy,aril,,,,,
Acacia densiflora,dry,pod,fleshy,aril,,,,,
Acacia denticulosa,dry,pod,fleshy,aril,,,,,
Acacia dentifera,dry,pod,fleshy,aril,,,,,
Acacia depressa,dry,pod,dry,,,,,,`12-1
Acacia dermatophylla,dry,pod,fleshy,aril,,,,,
Acacia desertorum,dry,pod,fleshy,aril,,,,,
Acacia desmondii,dry,pod,dry,,,,,,`7-11
Acacia deuteroneura,dry,pod,fleshy,aril,,,,,
Acacia diaphana,dry,pod,dry,,,,,,
Acacia diaphyllodinea,dry,pod,fleshy,aril,,,,,
Acacia dictyoneura,dry,pod,fleshy,aril,,,,,
Acacia dictyophleba,dry,pod,fleshy,aril,,,,,
Acacia didyma,dry,pod,fleshy,aril,,,,,
Acacia dielsii,dry,pod,dry,,,,,,
Acacia dietrichiana,dry,pod,dry,,,,,,
Acacia difficilis,dry,pod,dry,,,,,,`4-10
Acacia difformis,dry,pod,fleshy,aril,,,,,
Acacia dilatata,dry,pod,fleshy,aril,,,,,
Acacia dimidiata,dry,pod,dry,,,,,,`7-10
Acacia diminuta,dry,pod,dry,,,,,,
Acacia dissona,dry,pod,fleshy,aril,,,,,
Acacia distans,dry,pod,fleshy,aril,,,,,
Acacia disticha,dry,pod,fleshy,aril,,,,,
Acacia ditricha,dry,pod,dry,,,,,,`1
Acacia divergens,dry,pod,fleshy,aril,,,,,
Acacia dodonaeifolia,dry,pod,fleshy,aril,,,,,
Acacia dolichophylla,dry,pod,fleshy,aril,,,,,
Acacia donaldsonii,dry,pod,fleshy,aril,,,,,
Acacia doratoxylon,dry,pod,dry,,,,,,`8-11
Acacia dorothea,dry,pod,dry,,,,,,
Acacia dorsenna,dry,pod,dry,,,,,,
Acacia drepanocarpa,dry,pod,fleshy,aril,,,,,
Acacia drepanophylla,dry,pod,fleshy,aril,,,,,
Acacia drewiana,dry,pod,dry,,,,,,
Acacia drummondii,dry,pod,dry,,,,,,
Acacia dunnii,dry,pod,fleshy,aril,,,,,
Acacia dura,dry,pod,fleshy,aril,,,,,
Acacia durabilis,dry,pod,fleshy,aril,,,,,
Acacia duriuscula,dry,pod,fleshy,aril,,,,,
Acacia echinula,dry,pod,dry,,,,,,
Acacia echinuliflora,dry,pod,fleshy,aril,,,,,`6-8
Acacia effusa,dry,pod,dry,,,,,,`5-9
Acacia elachantha,dry,pod,fleshy,aril,,,,,`5-8
Acacia elata,dry,pod,dry,,,,,,`12-3
Acacia elongata,dry,pod,fleshy,aril,,,,,
Acacia empelioclada,dry,pod,dry,,,,,,
Acacia enervia,dry,pod,fleshy,aril,,,,,
Acacia ensifolia,dry,pod,dry,,,,,,
Acacia enterocarpa,dry,pod,fleshy,aril,,,,,
Acacia epacantha,dry,pod,dry,,,,,,
Acacia epedunculata,dry,pod,fleshy,aril,,,,,
Acacia ephedroides,dry,pod,fleshy,aril,,,,,
Acacia eremaea,dry,pod,dry,,,,,,
Acacia eremophila,dry,pod,fleshy,aril,,,,,
Acacia eremophiloides,dry,pod,fleshy,aril,,,,,
Acacia ericifolia,dry,pod,fleshy,aril,,,,,
Acacia ericksoniae,dry,pod,fleshy,aril,,,,,
Acacia erinacea,dry,pod,fleshy,aril,,,,,
Acacia erioclada,dry,pod,fleshy,aril,,,,,
Acacia eriopoda,dry,pod,dry,,,,,,`4-8
Acacia errabunda,dry,pod,fleshy,aril,,,,,
Acacia estrophiolata,dry,pod,dry,,,,,,
Acacia euthyphylla,dry,pod,dry,,,,,,
Acacia evenulosa,dry,pod,fleshy,aril,,,,,
Acacia everistii,dry,pod,dry,,,,,,
Acacia excelsa,dry,pod,dry,,,,,,
Acacia excentrica,dry,pod,dry,,,,,,
Acacia exilis,dry,pod,fleshy,aril,,,,,
Acacia exocarpoides,dry,pod,fleshy,aril,,,,,
Acacia extensa,dry,pod,fleshy,aril,,,,,
Acacia fagonioides,dry,pod,dry,,,,,,
Acacia falcata,dry,pod,fleshy,aril,,,,,
Acacia falciformis,dry,pod,fleshy,aril,,,,,
Acacia farinosa,dry,pod,fleshy,aril,,,,,
Acacia fasciculifera,dry,pod,dry,,,,,,
Acacia fauntleroyi,dry,pod,fleshy,aril,,,,,
Acacia ferocior,dry,pod,fleshy,aril,,,,,
Acacia filamentosa,dry,pod,fleshy,aril,,,,,
Acacia filicifolia,dry,pod,dry,,,,,,`7-10
Acacia filifolia,dry,pod,fleshy,aril,,,,,
Acacia filipes,dry,pod,fleshy,aril,,,,,
Acacia fimbriata,dry,pod,fleshy,aril,,,,,
Acacia flabellifolia,dry,pod,fleshy,aril,,,,,
Acacia flagelliformis,dry,pod,fleshy,aril,,,,,
Acacia flavescens,dry,pod,fleshy,aril,,,,,
Acacia flavipila,dry,pod,dry,,,,,,
Acacia fleckeri,dry,pod,fleshy,aril,,,,,
Acacia flexifolia,dry,pod,fleshy,aril,,,,,
Acacia flocktoniae,dry,pod,fleshy,aril,,,,,
Acacia floribunda,dry,pod,fleshy,aril,,,,,
Acacia floydii,dry,pod,fleshy,aril,,,,,
Acacia formidabilis,dry,pod,dry,,,,,,
Acacia forrestiana,dry,pod,dry,,,,,,
Acacia forsythii,dry,pod,fleshy,aril,,,,,
Acacia fragilis,dry,pod,fleshy,aril,,,,,
Acacia frigescens,dry,pod,fleshy,aril,,,,,
Acacia froggattii,dry,pod,fleshy,aril,,,,,
Acacia fulva,dry,pod,dry,,,,,,`11-6
Acacia galeata,dry,pod,fleshy,aril,,,,,
Acacia galioides,dry,pod,dry,,,,,,
Acacia gardneri,dry,pod,dry,,,,,,`6-7
Acacia gelasina,dry,pod,dry,,,,,,
Acacia gemina,dry,pod,fleshy,aril,,,,,
Acacia genistifolia,dry,pod,fleshy,aril,,,,,
Acacia georgensis,dry,pod,dry,,,,,,`8-10
Acacia georginae,dry,pod,dry,,,,,,
Acacia gibbosa,dry,pod,fleshy,aril,,,,,
Acacia gilbertii,dry,pod,dry,,,,,,
Acacia gilesiana,dry,pod,dry,,,,,,
Acacia gillii,dry,pod,fleshy,aril,,,,,
Acacia gittinsii,dry,pod,dry,,,,,,
Acacia gladiiformis,dry,pod,fleshy,aril,,,,,
Acacia glandulicarpa,dry,pod,fleshy,aril,,,,,
Acacia glaucissima,dry,pod,fleshy,aril,,,,,
Acacia glaucocaesia,dry,pod,dry,,,,,,
Acacia glaucocarpa,dry,pod,dry,,,,,,`2-7
Acacia glaucoptera,dry,pod,fleshy,aril,,,,,
Acacia gloeotricha,dry,pod,fleshy,aril,,,,,`6
Acacia glutinosissima,dry,pod,fleshy,aril,,,,,
Acacia gnidium,dry,pod,dry,,,,,,
Acacia gonocarpa,dry,pod,fleshy,aril,,,,,`10-2
Acacia gonoclada,dry,pod,dry,,,,,,`5-7
Acacia gonophylla,dry,pod,fleshy,aril,,,,,
Acacia gordonii,dry,pod,fleshy,aril,,,,,
Acacia gracilenta,dry,pod,dry,,,,,,
Acacia gracilifolia,dry,pod,fleshy,aril,,,,,
Acacia gracillima,dry,pod,dry,,,,,,`5-7
Acacia grandifolia,dry,pod,dry,,,,,,`9
Acacia granitica,dry,pod,dry,,,,,,`7-10
Acacia graniticola,dry,pod,fleshy,aril,,,,,
Acacia grasbyi,dry,pod,dry,,,,,,`3-10
Acacia gregorii,dry,pod,fleshy,aril,,,,,
Acacia grisea,dry,pod,dry,,,,,,
Acacia guinetii,dry,pod,dry,,,,,,
Acacia gunnii,dry,pod,dry,,,,,,
Acacia guymeri,dry,pod,dry,,,,,,`1
Acacia hadrophylla,dry,pod,fleshy,aril,,,,,
Acacia hakeoides,dry,pod,fleshy,aril,,,,,
Acacia halliana,dry,pod,fleshy,aril,,,,,
Acacia hamersleyensis,dry,pod,fleshy,aril,,,,,
Acacia hamiltoniana,dry,pod,fleshy,aril,,,,,
Acacia hammondii,dry,pod,dry,,,,,,`5-8
Acacia handonis,dry,pod,fleshy,aril,,,,,`7-9
Acacia harpophylla,dry,pod,dry,,,,,,
Acacia harveyi,dry,pod,fleshy,aril,,,,,
Acacia hastulata,dry,pod,fleshy,aril,,,,,
Acacia havilandiorum,dry,pod,fleshy,aril,,,,,
Acacia helicophylla,dry,pod,dry,,,,,,`3-8
Acacia helmsiana,dry,pod,dry,,,,,,
Acacia hemignosta,dry,pod,dry,,,,,,
Acacia hemiteles,dry,pod,dry,,,,,,
Acacia hemsleyi,dry,pod,dry,,,,,,`6-9
Acacia heterochroa,dry,pod,fleshy,aril,,,,,
Acacia heteroclita,dry,pod,fleshy,aril,,,,,
Acacia heteroneura,dry,pod,fleshy,aril,,,,,
Acacia hexaneura,dry,pod,fleshy,aril,,,,,
Acacia hilliana,dry,pod,fleshy,aril,,,,,`1-12
Acacia hippuroides,dry,pod,dry,,,,,,
Acacia hispidula,dry,pod,fleshy,aril,,,,,
Acacia hockingsii,dry,pod,fleshy,aril,,,,,
Acacia holosericea,dry,pod,fleshy,aril,,,,,
Acacia holotricha,dry,pod,dry,,,,,,
Acacia homaloclada,dry,pod,fleshy,aril,,,,,`11-12
Acacia horridula,dry,pod,fleshy,aril,,,,,
Acacia howittii,dry,pod,fleshy,aril,,,,,
Acacia hubbardiana,dry,pod,dry,,,,,,
Acacia huegelii,dry,pod,fleshy,aril,,,,,
Acacia humifusa,dry,pod,dry,,,,,,`2-9
Acacia hyaloneura,dry,pod,dry,,,,,,
Acacia hylonoma,dry,pod,fleshy,aril,,,,,
Acacia hypermeces,dry,pod,dry,,,,,,`6
Acacia hystrix,dry,pod,fleshy,aril,,,,,
Acacia idiomorpha,dry,pod,fleshy,aril,,,,,
Acacia imbricata,dry,pod,fleshy,aril,,,,,
Acacia imitans,dry,pod,fleshy,aril,,,,,
Acacia imparilis,dry,pod,fleshy,aril,,,,,
Acacia implexa,dry,pod,fleshy,aril,,,,,
Acacia improcera,dry,pod,fleshy,aril,,,,,
Acacia inaequilatera,dry,pod,dry,,,,,,
Acacia inaequiloba,dry,pod,fleshy,aril,,,,,
Acacia inamabilis,dry,pod,fleshy,aril,,,,,
Acacia incanicarpa,dry,pod,fleshy,aril,,,,,
Acacia inceana,dry,pod,fleshy,aril,,,,,
Acacia incongesta,dry,pod,fleshy,aril,,,,,
Acacia incrassata,dry,pod,fleshy,aril,,,,,
Acacia incurva,dry,pod,dry,,,,,,
Acacia ingramii,dry,pod,fleshy,aril,,,,,
Acacia ingrata,dry,pod,fleshy,aril,,,,,
Acacia inophloia,dry,pod,fleshy,aril,,,,,
Acacia inops,dry,pod,dry,,,,,,
Acacia insolita,dry,pod,fleshy,aril,,,,,
Acacia intorta,dry,pod,fleshy,aril,,,,,
Acacia intricata,dry,pod,fleshy,aril,,,,,
Acacia irrorata,dry,pod,dry,,,,,,
Acacia islana,dry,pod,fleshy,aril,,,,,
Acacia isoneura,dry,pod,fleshy,aril,,,,,
Acacia iteaphylla,dry,pod,fleshy,aril,,,,,
Acacia ixiophylla,dry,pod,fleshy,aril,,,,,
Acacia ixodes,dry,pod,fleshy,aril,,,,,
Acacia jackesiana,dry,pod,dry,,,,,,
Acacia jacksonioides,dry,pod,fleshy,aril,,,,,
Acacia jamesiana,dry,pod,fleshy,aril,,,,,
Acacia jasperensis,dry,pod,dry,,,,,,
Acacia jennerae,dry,pod,fleshy,aril,,,,,`1-8
Acacia jensenii,dry,pod,dry,,,,,,
Acacia jibberdingensis,dry,pod,fleshy,aril,,,,,
Acacia johannis,dry,pod,fleshy,aril,,,,,
Acacia johnsonii,dry,pod,fleshy,aril,,,,,
Acacia jonesii,dry,pod,dry,,,,,,`7-10
Acacia jucunda,dry,pod,fleshy,aril,,,,,
Acacia julifera,dry,pod,dry,,,,,,`3-8
Acacia juncifolia,dry,pod,dry,,,,,,
Acacia kalgoorliensis,dry,pod,fleshy,aril,,,,,
Acacia kelleri,dry,pod,fleshy,aril,,,,,`3-8
Acacia kempeana,dry,pod,dry,,,,,,
Acacia kenneallyi,dry,pod,fleshy,aril,,,,,
Acacia kerryana,dry,pod,dry,,,,,,
Acacia kettlewelliae,dry,pod,fleshy,aril,,,,,
Acacia kimberleyensis,dry,pod,fleshy,aril,,,,,
Acacia kingiana,dry,pod,dry,,,,,,
Acacia kochii,dry,pod,fleshy,aril,,,,,
Acacia kybeanensis,dry,pod,fleshy,aril,,,,,
Acacia kydrensis,dry,pod,fleshy,aril,,,,,
Acacia laccata,dry,pod,dry,,,,,,`5-9
Acacia lacertensis,dry,pod,fleshy,aril,,,,,`6-7
Acacia lachnophylla,dry,pod,fleshy,aril,,,,,
Acacia lanceolata,dry,pod,fleshy,aril,,,,,
Acacia lanei,dry,pod,fleshy,aril,,,,,
Acacia lanigera,dry,pod,fleshy,aril,,,,,
Acacia lanuginophylla,dry,pod,fleshy,aril,,,,,
Acacia laricina,dry,pod,fleshy,aril,,,,,
Acacia lasiocalyx,dry,pod,fleshy,aril,,,,,
