taxon_name,fire_response_LCR,fire_response_NL,seedlings_first_observed,first_flowering_resp,first_flowering_seed,first_flowering_unknown,first_fruiting_resp,first_fruiting_seed,first_fruiting_unknown,primary_juvenile_period,secondary_juvenile_period,page,peak_flowering_resp,peak_flowering_seed,peak_flowering_unknown,peak_fruiting_resp,peak_fruiting_seed,peak_fruiting_unknown,notes,advanced_seedlings,fire intensity,large_prop_flowering
Hydrocotyle peduncularis,R,,15w,10w,,,16w,,,,,17,,,,,,,,,,
Platysace lanceolata,R,R,15w,56w,,,63w,,,,63w,17,(prob.pk.pf.flower.c.3-5y),,,,,,,,,
Platysace linearifolia,R/k,R,24w,63w,,,64w-imm,,,,,17,(prob.pk.pf.flower.c.2-3y),,,,,,,,,
Platysace stephensonii,,R,17w,,,,,,,,,17,,,,,,,,,,
Trachymene incisa,,R,,35w,,,35w,,,,35+w-(shd),17,,,,,,,,,,
Xanthosia pilosa,K/r,K,22w,,85w,,,,,,,17,,(prob.pk.pf.fi.flower.c.4y),,,,,,,,
Xanthosia tridentata,K,20w,,,,,,,,,,17,,,,,,,,,,
Apocynaceae,,,,,,,,,,,,17,,,,,,,,,,
*Nerium oleander,R,R,,150w,,,,,,,,17,,,,,,,,,,
Parsonsia straminea,,K/R,,,,,,,,,,17,,,,,,,,,,
*Vinca major,R,,,36w,,,,,,,,17,,,,,,,,,,
Araliaceae,,,,,,,,,,,,17,,,,,,,,,,
Astrotricha floccosa,,K,13w,,,,,,,,,17,,,,,,,,,,
Astrotricha latifolia,K,,44w,,146w,,,,,,,17,,,,,,,,,,
Astrotricha longifolia,K/r,,43w,,,92w,,,101w-imm,c.2-3y,,17,,,(prob.pk.pf.flower.c.3y),,,,,,,
*Hedera helix,R,,,,,,,,,,,17,,,,,,,,,,
Polyscias sambucifolia,,,,101w,,,,,,,,,,,,,,,,,,
Polyscias sambucifolia,R,,38w,51w,,,114w-ri,,,,c.2-3y,17,,,,,,,,,,
Asclepiadaceae,,,,,,,,,,,,17,,,,,,,,,,
*Araujia sericifera,R,R,10w,,,,,,61w-(grn),,,17,,,,,,,,,,
*Gomphocarpus ?fruticosus,,,,,,38w(buds),,,,,,17,,,,,,,,,,
Marsdenia suaveolens,R,R,,10w,,,32w,,,,32+w,17,,,,,,,,,,
Tylophora barbata,R,,,43w,,,,,,,,17,,,,,,,,,,
Asteraceae,,,,,,,,,,,,17,,,,,,,,,,
*Ageratina adenophora,R,R,42w,38w,,,44w,,,,44w-(shd),17,,,,,,,,,,
*Ageratina riparia,R,,63w,34w,,,38w,,,,40w-(shd),17,,,,,,,,,,
*Ageratum houstonianum,,?K,,,38w,,,,,,,17,,,,,,,,,,
*Ambrosia artemesiifolia,,?R,,,,13w(1),,,,,,17,,,,,,,,,,
*Arctotheca calendula,,,,,,38w,,,,,,17,,,,,,,,,,
*Aster subulatus,,,,,,61w,,,63w-(shd),,,17,,,,,,,,,,
*Bidens pilosa,pK,pK,7w,,13w,,,19w,,19w-(shd),,17,,,,,,,,,,
*Bidens subalternans,pK,,12w,,12w,,,16w-grn.,,,,18,,,,,,,,,,
*Bidens tripartita,pK,,,,15w,,,15w,,,,18,,,,,,,,,,
Brachyscome angustifolia var. angustifolia,pR,,,11w,,,16w-(shd),,,,16w-(shd),18,,,,,,,,,,
Cassinia aculeata,K,,,,,,,136w,,c.3y(shd),,18,,,,,,,,,,
Cassinia denticulata,K,,,,,,,,,,,18,,,,,,,,,,
Cassinia longifolia,,,,,,202w(buds),,,,,,18,,,,,,,,,,
*Chrysanthemoides monilifera subsp. monilifera,K,,19w,,88w,,,101w,,c.2y(shd),,18,,,,,,,,,,
*Cirsium vulgare,,,,,,38w,,,51w-(shd),,,,,,,,,,,,,
*Cirsium vulgare,?R,,,,,26w,,,46w,,,18,,,,,,,,,,
*Conyza bonariensis,pK,,,,38w,,,50w,,61w-(shd),,18,,,,,,,,,,
*Coreopsis lanceolata,,R,10w,,,42w,,,,,,18,,,(prob.pk.pf.flower.c.2-3y),,,,,,,
Cotula australis,pK,,,,,,,15w,,,,18,,,,,,,,,,
*Crassocephalum crepidioides,pK,,15w,,15w,,,15w,,39w,,18,,,,,,,,,,
*Delairea odorata,pK,,,,,125w,,,,,,18,,,,,,,,,,
*Dimorphotheca pluvialis,,,,,,36w,,,,,,18,,,,,,,,,,
*Dittrichia graveolens,,,,,,63w,,,,,,18,,,,,,,,,,
*Erechtites valerianifolia,pK,,,,28w,,,30w,,39w,,18,,,,,,,,,,
*Erigeron karvinskianus,R,,,10w,,,27w,,,,27w-(shd),18,,,,,,,,,,
Euchiton sphaericus,,,,,,43w,,,43w,,,18,,,,,,,,,,
*Facelis retusa,,,,,,,,,43w-(shd),,,18,,,,,,,,,,
*Galinsoga parviflora,pK,,7w,,12w,,,15w,,15w,,18,,,,,,,,,,
*Gamochaeta americana,K/R,,,,,,10w,,,,10w-(shd),18,,,,,,,,,,
*Gamochaeta pensylvanica,pK,,15w,,15w,,,15w,,15w,,18,,,,,,,,,,
*Gamochaeta spicata,pK,,,,,,,27w,,27w-(shd),,18,,,,,,,,,,
*Helianthus annuus,,,,,12w,,,,,,,18,,,,,,,,,,
Helichrysum elatum,?K,pK,,,87w,,,97w,,c.2y(shd),,18,,(prob.pk.pf.flower.c.3y),,,,,,,,
Helichrysum rutidolepis,R,,,18w,,,18w,,,,,18,,,,,,,,,,
Helichrysum scorpioides,R,,,16w,,,23w,,,,43w-(shd),18,,,,,,,,,,
*Hypochaeris radicata,R,,,10w,,,10w,,,,10w,18,,,,,,,,,,
*Lactuca serriola,?K,,,,50w,,,50w,,,,18,,,,,,,,,,
Lagenifera gracilis,R,,,9w,,,12w,,,,12w-(shd),18,,,,,,,,,,
Olearia microphylla,K/r,,,,85w,,,94w,,c.2-3y(shd),,18,,(prob.pk.pf.flower.c.4-5y),,,,,,,,
Olearia tomentosa,,K/r,35w,,,,,,,,,18,,,,,,,,,,
Ozothamnus diosmifolius,K/r,,36w,,100w,,,104w,,c.2y(shd),,18,,(prob.pk.pf.flower.c.3-4y),,,,,,,,
Pseudognaphalium luteoalbum,,,,,41w,,,43w,,43w-(shd),,18,,,,,,,,,,
*Roldana petasitis,R,R,,,,,38w,,,,,18,,,,,,,,,,
Senecio hispidulus var. hispidulus,pK,,,,38w,,,44w,,44w-(shd),,18,,,,,,,,,,
*Senecio madagascariensis,pK,,,,15w,,,20w,,26w-(shd),,18,,,,,,,,,,
Senecio minimus,,,,,43w-buds,,,,,,,18,,,,,,,,,,
*Senecio pterophorus,,,,,,154w,,,,,,18,,,,,,,,,,
Sigesbeckia orientalis,pK,,11w,,11w,,,16w,,16w-ri.,,18,,,,,,,,,,
*Solidago canadensis,R,,,16w,,,33w,,,,33w-(shd),18,,,,,,,,,,
*Soliva sessilis,,,,,,,,,43w(grn),,,18,,,,,,,,,,
*Sonchus oleraceus,pK,,8w,,15w,,,15w,,15w,,18,,,,,,,,,,
*Tagetes minuta,,pK,,,20w,,,20w,,20w,,18,,,,,,,,,,
*Taraxacum officianale,R,,,11w,,,25w,,,,25w-(shd),18,,,,,,,,,,
*Xanthium occidentale,K,,,,,,,,,,,18,,,,,,,,,,
Avicenniaceae,,,,,,,,,,,,18,,,,,,,,,,
Avicennia marina  var. australasica,R/K,,,,,,,,,,,18,,,,,,,,,,
Balsaminaceae,,,,,,,,,,,,18,,,,,,,,,,
*Impatiens walleriana,pK,,18w,,18w,,,,,,,18,,,,,,,,,,
Basellaceae,,,,,,,,,,,,19,,,,,,,,,,
*Anredera cordifolia,pR,R,19w(1),,,,,,,,,19,,,,,,,Note: aerial tubers forming within 39w of fire.,,,
Baueraceae,,,,,,,,,,,,19,,,,,,,,,,
Bauera ?microphylla,,R,,,,,,,,,,19,,,,,,,,,,
Bauera rubioides,K,K/r,23w,,90w,,,198w,,c.4y,,19,,,,,,,,,,
Bignoniaceae,,,,,,,,,,,,19,,,,,,,,,,
Pandorea pandorana,R,,,26w,,,50w,,,,c.1y-(shd),19,,,,,,,,,,
Boraginaceae,,,,,,,,,,,,19,,,,,,,,,,
*Echium plantagineum,,,,,,38w,,,38w(grn),,,19,,,,,,,,,,
Brassicaceae,,,,,,,,,,,,19,,,,,,,,,,
*Brassica fruticulosa,pK,,12w,,12w,,,28w,,28w-(shd),,19,,,,,,,,,,
*Brassica juncea,pK,,,,43w,,,,,,,19,,,,,,,,,,
*Brassica tournefortii,,?K,,,42w,,,,,,,19,,,,,,,,,,
*Capsella bursa-pastoris,,pK,20w,,20w,,,20w,,20w-grn,,19,,,,,,,,,,
*Cardamine flexuosa,pK,,15w,,,,,15w,,15w-(shd),,19,,,,,,,,,,
*Cardamine hirsuta,pK,,,,24w,,,24w,,24w,,19,,,,,,,,,,
*Coronopus didymus,pK,,15w,,,,,15w,,15w,,19,,,,,,,,,,
*Lobularia maratima,pK,,,,23w,,,,,,,19,,,,,,,,,,
Rorippa gigantea,,,,,38w,,,38w-imm,,,,19,,,,,,,,,,
*Rorippa nasturtium-aquaticum ?K,,,,,,,,43w-imm,,,,19,,,,,,,,,,
Buddlejaceae,,,,,,,,,,,,19,,,,,,,,,,
*Buddleja davidii,R,R,,51w,,,,,,,,19,,,,,,,,,,
*Buddleja madagascariensis,,R,,38w,,,,,,,,19,,,,,,,,,,
Campanulaceae,,,,,,,,,,,,19,,,,,,,,,,
Wahlenbergia communis (s.lat.),,,,,,38w,,,43w-grn.,,,19,,,,,,,,,,
Wahlenbergia gracilis,?K,,24w,,,15w,,,23w-(shd),,,19,,,,,,,,,,
Caprifoliaceae,,,,,,,,,,,,19,,,,,,,,,,
*Lonicera japonica,R,R,,,,,,,,,,19,,,,,,,,,,
Caryophyllaceae,,,,,,,,,,,,19,,,,,,,,,,
*Cerastium glomeratum,pK,,23w,,23w,,,23w,,23w-(shd),,19,,,,,,,,,,
*Petrorhagia velutina,,pK,,,38w,,,38w,,44w-(shd),,19,,,,,,,,,,
*Polycarpon tetraphyllum,pK,,,,43w,,,44w,,44w,,19,,,,,,,,,,
*Silene gallica var. gallica,pK,,,,36w,,,38w,,38w-grn,,19,,,,,,,,,,
*Stellaria media,pK,,,,,,,15w,,15w-(shd),,19,,,,,,,,,,
Casuarinaceae,,,,,,,,,,,,19,,,,,,,,,,
Allocasuarina distyla,,K,17w,,86w,,,167w,,,,19,,,,,,,,,,
Allocasuarina littoralis,K/r,,10w,124w,,,,179w,,,,19,,,,,,,,,,
Allocasuarina torulosa,R,R,,,,,,,,,,19,,,,,,,,,,
Casuarina glauca,R,R,,,,,,,,,,19,,,,,,,,,,
Celastraceae,,,,,,,,,,,,19,,,,,,,,,,
Maytenus silvestris,R,R,,,,,124w-ri,,,,c.2-3y,19,,,,,,,,,,
Chenopodiaceae,,,,,,,,,,,,19,,,,,,,,,,
*Atriplex ?prostrata,pK,,10w,,,,,,,,,19,,,,,,,,,,
*Chenopodium album,pK,pK,,,,,,20w,,,,19,,,,,,,,,,
Chloanthaceae,,,,,,,,,,,,19,,,,,,,,,,
Chloanthes stoechadis,,pK,10w,,42w-(1),,,,,,,19,,,,,,,,,,
Clusiaceae,,,,,,,,,,,,19,,,,,,,,,,
Hypericum gramineum,R,,,11w,,,38w,,,,38w-(shd),19,,,,,,,,,,
*Hypericum perforatum,R,,,43w,,,50w,,,,63w-(shd),19,,,,,,,,,,
Convolvulaceae,,,,,,,,,,,,19,,,,,,,,,,
Calystegia marginata,pK,,9w,,41w,,,46w,,46w-grn,,19,,,,,,,,,,
Convolvulus erubescens,,,,,,,,,51w-(shd),,,19,,,,,,,,,,
Dichondra repens (s.lat.),,,9w,,,,,,18w(1),,,19,,,,,,,,,,
*Ipomoea cairica,,R,,,,,,,,,,19,,,,,,,,,,
*Ipomoea indica,R,R,,15w,,,,,,,,19,,,,,,,,,,
Polymeria calycina,pR,R,,38w,,,56w,,,,,20,,,,,,,,,,
Crassulaceae,,,,,,,,,,,,20,,,,,,,,,,
*Crassula multicava,,pR,,38w,,,,,,,,20,,,,,,,,,,
Crassula sieberiana,pK,pK,13w,,26w,,,26w,,,,20,,,,,,,,,,
Cunoniaceae,,,,,,,,,,,,20,,,,,,,,,,
Callicoma serratifolia,R,,15w,91w,,,108w,,,,c.2y(shd),20,(poss.pk.pf.flower.c.3+y),,,,,,,,,
Ceratopetalum apetalum,R,,,,,,,,,,,20,,,,,,,,,,
Ceratopetalum gummiferum,R,R,101w,50w,,,,,,,c.2-3y,20,,,,,,,,,,
Schizomeria ovata,R,R,,,,,,,,,,20,,,,,,,,,,
Dilleniaceae,,,,,,,,,,,,20,,,,,,,,,,
Hibbertia aspera,R,,,50w,,,,,,,,20,,,,,,,,,,
Hibbertia bracteata,R,R,,38w,,,,,,,,20,,,,,,,,,,87w
Hibbertia cistiflora,pK,,,,,,,,,,,20,,,,,,,,,,
Hibbertia dentata,R,,39w,38w,,,,,,,,20,(prob.pk.pf.flower.c.4-5y),,,,,,,,,
Hibbertia diffusa,R,,,23w-buds,,,,,,,,20,,,,,,,,,,
Hibbertia fasciculata,pK,,51w,,56w,,,,,,,20,,(prob.pk.pf.flower.c.3-5y),,,,,,,,87w
Hibbertia linearis,K,K,26w,,72w,,,,,,,20,,(prob.pk.pf.flower.c.4-6y),,,,,,,,86w
Hibbertia nitida,K,,135w-adv,,,,,,,,,20,,,,,,,,advanced seedlings,,
Hibbertia riparia (s.lat.),R,,,89w,,,108w,,,,,20,,,,,,,,,,
Hibbertia scandens,R,R,,,,,,,,,,20,,,,,,,,,,
Hibbertia serpyllifolia,,R,,,,,,,,,,20,,,,,,,,,,
Droseraceae,,,,,,,,,,,,20,,,,,,,,,,
Drosera auriculata,pR,pR,,26w,,,26w,,,,26w-(shd),20,,,,,,,,,,
Drosera binata,R,R,,17w,,,,,,,,20,,,,,,,,,,
Drosera peltata,pR,pR,,17w,,,32w,,,,32w-(shd),20,,,,,,,,,,
Drosera spatulata,pR,pR,,41w,,,63w,,,,63w-(shd),20,,,,,,,,,,
Elaeocarpaceae,,,,,,,,,,,,20,,,,,,,,,,
Elaeocarpus reticulatus,R,R,,201w,,,,,c.5y-grn,,c.5y-a few fruit,20,,,,,,,,,,
Ericaceae,,,,,,,,,,,,20,,,,,,,,,,
Styphelioideae,,,,,,,,,,,,20,,,,,,,,,,
Acrotriche divaricata,,K,,,,,,,,,,20,,,,,,,,,,
Brachyloma daphnoides,R,R,,40w,,,,,,,,20,(prob.pk.pf.flower.c.3-5y),,,,,,,,,86w
Dracophyllum secundum,K,K,67w,,,,,c.3y,,c.3-4y,,20,,,,,,,,,,
Epacris crassifolia,K,K,20w,,,,,,,,,20,,,,,,,,,,
Epacris longiflora,K,K,88w-adv,,124w,,,,,,,20,,,,,,,,advanced seedlings,,
Epacris microphylla,K,K,61w,,86w,,,,,,,20,,(prob.pk.pf.flower.c.4-6y),,,,,,,,
Epacris obtusifolia,K,,38w(1),,,,,,,,,20,,,,,,,,,,
Epacris pulchella,K,K,,,120w,,,122w,,c.2-3y(shd),,20,,,,,,,,,,
Epacris purpurascens var. purpurascens,K,,,,c.3-4y,,,,,,,20,,,,,,,,,,
Leucopogon amplexicaulis,pK,K,63w,,87w-(1),,,142w,,c.3-4y,,20,,,,,,,,,,
Leucopogon appressus,K,K,75w-adv,,108w,,,,,,,20,,(poss.pk.pf.flower.c.5+y),,,,,,advanced seedlings,,
Leucopogon ericoides,K,,,,135w,,,143w,,c.3y,,20,,(prob.pk.pf.flower.c.4-6y),,,,,,,,
Leucopogon esquamatus,pK,K,,,,,,196w,,c.4y,,20,,,,,,,,,,
Leucopogon juniperinus,K,,,,c.3-4y,,,,,,,20,,,,,,,,,,
Leucopogon lanceolatus,R,R,,88w,,,90w-grn,,,,c.2-3y,20,,,,,,,,,,
Leucopogon microphyllus,K,K,,,75w,,,,,,,20,,(prob.pk.pf.flower.c.4-6y),,,,,,,,
Leucopogon setiger,K,K,,,c.4y,,,,,,,20,,,,,,,,,,
Lissanthe strigosa subsp. ?subulata,,R,,37w-(1),,,,,,,,21,,,,,,,,,,
Melichrus procumbens,,,,,,c.3-4y(1),,,,,,21,,,,,,,,,,
Monotoca elliptica,K/r,,,,,,,,,,,21,,,,,,,,,,
Monotoca scoparia,R,R,,67w,,,,,,,,21,,,,,,,,,,
Sprengelia incarnata,,K,,,,,,,,,,21,,,,,,,,,,
Styphelia longifolia,K,,126w-(1)-adv,,186w,,,195w,,c.4y,,21,,,,,,,,advanced seedlings,,
Styphelia triflora,K,,61w,,,,,149w,,c.3y,,21,,,,,,,,,,
Styphelia tubiflora,K,K,64w,,124w,,,242w,,c.4-5y,,21,,,,,,,,,,
Trochocarpa laurina,R,R,,,,,,,,,,21,,,,,,,,,,
Woollsia pungens,K,K,72w-adv,,120w,,,,,,,21,,,,,,,,advanced seedlings,,
Euphorbiaceae,,,,,,,,,,,,21,,,,,,,,,,
Amperea xiphoclada,R,R,,16w,,,38w,,,,50w-grn,21,,,,,,,,,,
Bertya brownii,,K,13w,,,,,,,,,21,,,,,,,,,,
Breynia oblongifolia,R,R,,46w,,,63w,,,,63w,21,(poss.pk.pf.flower.c.3-4y),,,,,,,,,
*Chamaesyce supina,pK,,,,,,,9w,,,,21,,,,,,,,,,
*Euphorbia depauperata var. pubescens,pK,,,,43w,,,,,,,21,,,,,,,,,,
*Euphorbia peplus,pK,,7w,,,,,9w,,9w,,21,,,,,,,,,,
Glochidion ferdinandi,R,R,,,,,76w,,,,c.2-3y,21,,,,,,,,,,
Micrantheum ericoides,K,K,30w,,85w,,,86w,,c.2-3y,,21,,(prob.pk.pf.fruit.c.5-6y),,,,,,,,
Monotaxis linifolia,,pK,,,,,,,,,,21,,,,,,,,,,
Omalanthus populifolius,R,,6w,,,,,,,,,21,,,,,,,,,,
Phyllanthus hirtellus,R,R,26w,23w,,,38w,,,,43w-grn.,21,,,,,,,,,,
*Phyllanthus tenellus,pK,,,,18w,,,,,,,21,,,,,,,,,,
Poranthera corymbosa,pK,,,,94w,,,,,,,21,,,,,,,,,,
Poranthera ericifolia,pK,K,38w,,38w,,,43w,,50w,,21,,,,,,,,,,
Poranthera microphylla,pK,pK,15w,,18w,,,18w,,18-39w,,21,,,,,,,,,,
Ricinocarpos pinifolius,R,R,133w-adv,86w,,,94w,,,,c.2y,21,,,,,,,,advanced seedlings,,
*Ricinus communis,pK,pK,8w,,25w,,,25w,,25-38w,,21,,,,,,,,,,
Eupomatiaceae,,,,,,,,,,,,21,,,,,,,,,,
Eupomatia laurina,,R,,,,,,,,,,21,,,,,,,,,,
Fabaceae,,,,,,,,,,,,21,,,,,,,,,,
Caesalpinioideae,,,,,,,,,,,,21,,,,,,,,,,
*Senna pendula,R,R,7w,61w,,,85w,,,,c.2y,21,,,,,,,,,,
Faboideae,,,,,,,,,,,,21,,,,,,,,,,
Bossiaea heterophylla,pK,?r,10w,,67w,,,97w,,c.2y(shd),,21,,,,,,,,,,
Bossiaea obcordata,R,,,36w,,,100w,,,,c.2y-(shd),21,(poss.pk.pf.fruit.c.4-5y),,,,,,,,,
Bossiaea scolopendria,R,K,?63w?,86w,,,104w,,,,c.2y-(shd),21,,,,,,,,,,
Daviesia alata,,?K,,,,,,,,,,21,,,,,,,,,,
Daviesia ulicifolia,?K,?K,37w,,37w,,,c.4y,,,,21,,,,,,,,,,
Desmodium ?gunnii,R,,,11w,,,,,,,,21,,,,,,,,,,
Desmodium rhytidophyllum,,R,,13w,,,13w,,,,,21,,,,,,,,,,
Dillwynia floribunda var. floribunda,pK,K,63w,,90w,,,,,,,21,,,,,,,,,,
Dillwynia retorta,K,K,10w,,85w,,,150w,,c.3y(shd),,21,,(prob.pk.pf.flower.c.5y),,,,,,,,
Dillwynia rudis,K,pK,,,,,,90w,,c.2y,,21,,,,,,,,,,
*Dipogon lignosus,R,,10w,38w,,,50w,,,,c.1y-(shd),21,,,,,,,,,,
*Erythrina crista-galli,R,R,,13w,,,,,,,,21,,,,,,,,,,
*Erythrina x sykesii,R,R,,38w,,,,,,,,21,,,,,,,,,,
*Genista monspessulana,K,,11w,,86w,,,104w,,2y,,21,,,,,,,,,,
Glycine clandestina,R,pR,,35w,,,,,,,,21,,,,,,,,,,
Glycine tabacina,R,pR,8w,10w,,,30w,,,,30w-(shd),21,,,,,,,,,,
Gompholobium glabratum,pK,,23w,,,,,89w,,c.2y,,22,,,,,,,,,,
