SPECIES,growth form,plant longevity,extreme min height (m),min height (m),max height (m),extreme max height (m),flowering start (month),flowering finish (month),leaf type (compound/simple),leaf longevity (evergreen/deciduous)
Allocasuarina fibrosa,shrub,perennial assumed,,0.5,1.5,,JUL,AUG,,
Allocasuarina fraseriana,tree,perennial assumed,,5,15,,MAY,OCT,,
Allocasuarina globosa,shrub,perennial assumed,,,1.5,,,,,
Allocasuarina grevilleoides,shrub,perennial assumed,,0.15,0.4,,,,,
Allocasuarina helmsii,shrub,perennial assumed,,1,5,,,,,
Allocasuarina huegeliana,tree,perennial assumed,,4,10,,MAY,JAN,,
Allocasuarina humilis,shrub,perennial assumed,,0.2,2,,MAY,NOV,,
Allocasuarina hystricosa,herb,,,,3,,,,,
Allocasuarina lehmanniana,shrub,perennial assumed,,0.5,4,,,,,
Allocasuarina microstachya,shrub,perennial assumed,,0.1,1,,AUG,JAN,,
Allocasuarina pinaster,shrub,perennial assumed,,1,3,,,,,
Allocasuarina ramosissima,shrub,perennial assumed,,0.3,1.2,,,,,
Allocasuarina scleroclada,shrub,perennial assumed,,1,3,6,,,,
Allocasuarina spinosissima,shrub,perennial assumed,,1,4,,,,,
Allocasuarina tessellata,shrub/tree,perennial assumed,,3,5,,,,,
Allocasuarina thuyoides,shrub,perennial assumed,,0.3,2,,JAN,DEC,,
Allocasuarina tortiramula,shrub,perennial assumed,,,1.7,,,,,
Allocasuarina trichodon,shrub,perennial assumed,,0.5,3,5,,,,
Alstonia actinophylla,shrub/tree,perennial assumed,,3,25,,AUG,OCT,,
Alstonia linearis,shrub/tree,perennial assumed,,3,10,,FEB,MAY,,
Alstonia spectabilis,shrub/tree,perennial assumed,,,20,,JAN,MAY,,
Alternanthera angustifolia,herb,annual,,0.02,0.3,,APR,AUG,,
Alternanthera denticulata,herb,,,,,,APR,AUG,,
Alternanthera nana,herb/shrub,,,0.2,0.6,,APR,SEPT,,
Alternanthera nodiflora,herb,annual,,0.02,1,,JAN,DEC,,
Aluta appressa,shrub,perennial assumed,,0.7,2,,7,9,,
Aluta aspera,shrub,perennial assumed,,0.2,3,,3,11,,
Aluta maisonneuvei,shrub,perennial assumed,,0.3,1.5,1.8,4,10,,
Aluta quadrata,shrub,perennial assumed,,0.8,2.6,,6,6,,
Aluta teres,shrub,perennial assumed,,,0.4,,9,9,,
Alyogyne cuneiformis,shrub,perennial assumed,,1,3.5,,MAY,JAN,,
Alyogyne hakeifolia,shrub,perennial assumed,,1,3,,MAY,FEB,,
Alyogyne huegelii,shrub,perennial assumed,,,4,,JUN,JAN,,
Alyogyne pinoniana,shrub,perennial assumed,0.1,0.5,3,,MAR,DEC,,
Alyxia buxifolia,shrub,perennial assumed,,1,3,,JAN,DEC,,
Alyxia spicata,climber/shrub,,,,4,,MAY,SEP,,
Alyxia tetanifolia,shrub,perennial assumed,,1,2,,MAY,NOV,,
Amaranthus clementii,herb,annual,,,0.3,,AUG,AUG,,
Amaranthus cochleitepalus,herb,annual,,,,,,,,
Amaranthus cuspidifolius,herb,,,0.3,,,AUG,SEPT,,
Amaranthus interruptus,herb,annual,,,0.9,,,,,
Amaranthus mitchellii,herb,annual,,0.15,0.5,,MAY,MAY,,
Amaranthus undulatus,herb,annual,,,1,,MAY,JULY,,
Ammannia auriculata,herb,annual,,0.05,0.4,,MAR,MAR,,
Ammannia baccifera,herb,annual,,0.1,0.6,,MAY,SEP,,
Ammannia multiflora,herb,annual,,0.1,0.6,,MAR,AUG,,
Amorphophallus galbra,herb,perennial,,0.2,1,,DEC,DEC,,
Ampelocissus acetosa,,,,,,,SEP,FEB,,
Amperea conferta,herb,perennial,,0.15,0.45,,SEP,NOV,,
Amperea ericoides,herb,perennial,,0.1,0.4,,SEP,JAN,,
Amperea micrantha,herb,perennial,,0.1,0.3,,OCT,NOV,,
Amperea protensa,herb,perennial,0.03,0.1,0.4,,NOV,JAN,,
Amperea simulans,herb,perennial,0.05,0.1,0.35,0.75,SEP,NOV,,
Amperea volubilis,herb,perennial,,0.3,1,,NOV,MAR,,
Amphibolis antarctica,herb,perennial,,,0.8,,SEP,FEB,,
Amphibolis griffithii,herb,perennial,,,0.6,,OCT,MAR,,
Amyema benthamii,shrub,perennial assumed,,,,,APR,JAN,,
Amyema bifurcata,shrub,perennial assumed,,,,,JUN,JAN,,
Amyema conspicua,shrub,perennial assumed,,,,,,,,
Amyema dolichopoda,shrub,perennial assumed,,,,,MAY,JUN,,
Amyema eburna (Amyema eburna (Barlow) Barlow ),shrub,perennial assumed,,,,,JUL,AUG,,
Amyema fitzgeraldii,shrub,perennial assumed,,,,,APR,OCT,,
Amyema gibberula,shrub,perennial assumed,,,,,APR,DEC,,
Amyema hilliana,shrub,perennial assumed,,,,,MAR,AUG,,
Amyema linophylla,shrub,perennial assumed,,,,,JAN,DEC,,
Amyema mackayensis,shrub,perennial assumed,,,,,JUN,NOV,,
Amyema maidenii,shrub,perennial assumed,,,,,JUN,SEP,,
Amyema melaleucae,shrub,perennial assumed,,,,,JAN,NOV,,
Amyema microphylla,shrub,perennial assumed,,,,,,,,
Amyema miquelii,shrub,perennial assumed,,,,,FEB,DEC,,
Amyema miraculosa,shrub,perennial assumed,,,,,AUG,OCT,,
Amyema nestor,shrub,perennial assumed,,,,,MAR,NOV,,
Amyema preissii,shrub,perennial assumed,,,,,JAN,DEC,,
Amyema pyriformis,shrub,perennial assumed,,,,,,,,
Amyema quandang,shrub,perennial assumed,,,,,APR,OCT,,
Amyema sanguinea,shrub,perennial assumed,,,,,JAN,DEC,,
Amyema thalassia,shrub,perennial assumed,,,,,APR,DEC,,
Amyema villiflora,shrub,perennial assumed,,,,,DEC,APR,,
Anarthria gracilis,herb,perennial,,0.2,0.8,,AUG,NOV,,
Anarthria humilis,herb,perennial,,0.1,0.3,,,,,
Anarthria laevis,herb,perennial,,0.25,0.45,,JUL,MAR,,
Anarthria polyphylla,herb,perennial,,,0.2,,JUN,JUN,,
Anarthria prolifera,herb,perennial,,0.25,0.6,,AUG,NOV,,
Anarthria scabra,herb,perennial,,0.35,1.5,,AUG,DEC,,
Andersonia annelsii,shrub,perennial assumed,,0.1,0.25,,OCT,OCT,,
Andersonia aristata,shrub,perennial assumed,,0.08,0.5,,SEP,OCT,,
Andersonia auriculata,shrub,perennial assumed,,0.1,0.3,0.5,APR,OCT,,
Andersonia axilliflora,shrub,perennial assumed,,0.6,2,,SEP,NOV,,
Andersonia barbata,shrub,perennial assumed,,,0.4,,NOV,NOV,,
Andersonia bifida,shrub,perennial assumed,,,0.3,,SEP,JAN,,
Andersonia brevifolia,shrub,perennial assumed,,0.1,0.6,,APR,NOV,,
Andersonia caerulea,shrub,perennial assumed,,0.05,1,,JAN,DEC,,
Andersonia carinata,shrub,perennial assumed,,0.1,0.45,0.8,AUG,OCT,,
Andersonia depressa,shrub,perennial assumed,,,0.1,,MAY,SEP,,
Andersonia echinocephala,shrub,perennial assumed,,0.3,1.5,,OCT,NOV,,
Andersonia ferricola,shrub,perennial assumed,,0.2,0.5,,OCT,OCT,,
Andersonia geniculata,shrub,perennial assumed,,0.08,0.2,,AUG,NOV,,
Andersonia gracilis,shrub,perennial assumed,,0.1,0.5,1,SEP,NOV,,
Andersonia grandiflora,shrub,perennial assumed,,0.05,0.25,,JUL,OCT,,
Andersonia hammersleyana,shrub,perennial assumed,,0.3,0.8,,AUG,OCT,,
Andersonia heterophylla,shrub,perennial assumed,,0.1,0.5,,JUN,DEC,,
Andersonia involucrata,shrub,perennial assumed,,0.1,0.5,,JUN,DEC,,
Andersonia latiflora,shrub,perennial assumed,,0.2,0.5,0.75,AUG,OCT,,
Andersonia lehmanniana,shrub,perennial assumed,,0.15,0.6,,MAY,SEP,,
Andersonia longifolia,shrub,perennial assumed,,0.1,0.6,,MAR,MAY,,
Andersonia macranthera,shrub,perennial assumed,,0.1,0.6,,MAR,OCT,,
Andersonia micrantha,shrub,perennial assumed,,0.05,0.3,,SEP,MAR,,
Andersonia parvifolia,shrub,perennial assumed,,0.1,0.5,,JUL,DEC,,
Andersonia pinaster,shrub,perennial assumed,,0.2,0.6,,JUL,NOV,,
Andersonia redolens,shrub,perennial assumed,,,0.2,,OCT,OCT,,
Andersonia setifolia,shrub,perennial assumed,,0.05,0.15,,JUN,OCT,,
Andersonia simplex,shrub,perennial assumed,,0.1,0.6,1.2,MAR,OCT,,
Andersonia sprengelioides,shrub,perennial assumed,,0.1,0.4,0.6,JUL,APR,,
Anemocarpa calcicola,herb,perennial,,0.15,0.4,,AUG,OCT,,
Angianthus acrohyalinus,herb,annual,,0.06,0.1,0.3,AUG,OCT,,
Angianthus brachypappus (Angianthus conocephalus (J.M.Black) ),herb,annual,,0.01,0.05,,AUG,OCT,,
Angianthus conocephalus,herb,annual,,0.01,0.05,,AUG,OCT,,
Angianthus cornutus,herb,annual,,0.03,0.1,,AUG,OCT,,
Angianthus cunninghamii,shrub,perennial assumed,,0.2,0.5,,FEB,DEC,,
Angianthus cyathifer,herb,annual,0.04,0.08,0.18,0.24,JUL,SEP,,
Angianthus drummondii,herb,annual,,,0.1,,OCT,DEC,,
Angianthus halophilus,herb,,,,0.05,,OCT,NOV,,
Angianthus microcephalus,herb,annual,,0.06,0.1,0.21,SEP,DEC,,
Angianthus micropodioides,herb,annual,,0.03,0.15,,NOV,FEB,,
Angianthus milnei,herb,annual,0.04,0.06,0.25,,AUG,NOV,,
Angianthus newbeyi,herb,annual,,0.03,0.05,,SEP,SEP,,
Angianthus platycephalus,herb,annual,,,0.1,,OCT,NOV,,
Angianthus preissianus,herb,annual,,0.03,0.16,,OCT,DEC,,
Angianthus prostratus,herb,annual,,,,,JUL,SEP,,
Angianthus pygmaeus,herb,annual,,,0.06,,OCT,DEC,,
Angianthus tomentosus,herb,annual,0.03,0.05,0.3,0.45,AUG,DEC,,
Angianthus uniflorus,herb,annual,,,0.07,,,,,
Anigozanthos bicolor,herb,perennial,,0.05,0.6,,AUG,OCT,,
Anigozanthos flavidus,herb,perennial,,0.5,3,,NOV,JAN,,
Anigozanthos gabrielae,herb,perennial,,0.05,0.2,,SEP,OCT,,
Anigozanthos humilis,herb,perennial,,0.1,1,,JUL,OCT,,
Anigozanthos kalbarriensis,herb,perennial,,0.1,0.2,,AUG,SEP,,
Anigozanthos manglesii,herb,perennial,,0.2,1.1,,AUG,NOV,,
Anigozanthos onycis,herb,perennial,,0.1,0.4,,SEP,OCT,,
Anigozanthos preissii,herb,perennial,,0.15,0.8,,OCT,NOV,,
Anigozanthos pulcherrimus,herb,perennial,,0.2,1,,OCT,DEC,,
Anigozanthos rufus,herb,perennial,,0.2,1,,AUG,JAN,,
Anigozanthos viridis,herb,perennial,,0.05,0.85,,AUG,OCT,,
Anisomeles malabarica,herb,perennial,0.4,1,2,,APR,NOV,,
Anthobolus foveolatus,shrub,perennial assumed,,,1.8,,AUG,OCT,,
Anthobolus leptomerioides,shrub,perennial assumed,,0.3,2.5,,MAR,SEP,,
Anthocercis anisantha,shrub,perennial assumed,0.2,0.6,3,,FEB,DEC,,
Anthocercis fasciculata,shrub,perennial assumed,,0.8,3.5,,JUL,DEC,,
Anthocercis genistoides,shrub,perennial assumed,0.5,2,3,,MAR,NOV,,
Anthocercis gracilis,shrub,perennial assumed,,,0.6,1,SEP,OCT,,
Anthocercis ilicifolia,shrub,perennial assumed,,0.5,3,4,APR,NOV,,
Anthocercis intricata,shrub,perennial assumed,,0.9,3,,JUN,SEP,,
Anthocercis littorea,shrub,perennial assumed,,0.6,3,4,JAN,DEC,,
Anthocercis sylvicola,shrub,perennial assumed,,0.45,1.3,,OCT,OCT,,
Anthocercis viscosa,shrub,perennial assumed,,0.5,3,4,MAY,FEB,,
Anthotium humile,herb,perennial,,0.05,0.2,,OCT,MAR,,
Anthotium junciforme,herb,perennial,,0.05,0.4,,NOV,MAR,,
Anthotium odontophyllum,herb,,,0.05,0.08,,NOV,DEC,,
Anthotium rubriflorum,herb,perennial,,0.05,0.2,,OCT,JAN,,
Anthotroche myoporoides,shrub,perennial assumed,,0.6,3,,AUG,JAN,,
Anthotroche pannosa,shrub,perennial assumed,,0.1,2.5,,AUG,FEB,,
Anthotroche walcottii,shrub,perennial assumed,,0.5,2,,SEP,JAN,,
Anthriscus caucalis,herb,annual,,,,,NOV,NOV,,
Anticoryne diosmoides,shrub,perennial assumed,,,1.5,,7,12,,
Anticoryne ovalifolia,shrub,perennial assumed,,,,,,,,
Antidesma ghaesembilla,shrub/tree,perennial assumed,,1,10,20,AUG,DEC,,
Apatophyllum macgillivrayi,shrub,perennial assumed,,,0.3,,DEC,DEC,,
Aphanopetalum clematideum,climber/shrub,,,,5,,JUL,OCT,,
Aphelia brizula,herb,annual,,0.03,0.06,,AUG,NOV,,
Aphelia cyperoides,herb,annual,,0.02,0.11,,SEP,APR,,
Aphelia drummondii,herb,annual,,,0.06,,SEP,DEC,,
Aphelia nutans,herb,annual,,,0.025,,SEP,OCT,,
Apium annuum,herb,annual,0.013,0.03,0.1,0.2,AUG,NOV,,
Apium graveolens,shrub,perennial assumed,,1,3,,OCT,FEB,,
Apium prostratum,herb,biennial/perennial,,0.05,1,,AUG,APRIL,,
Apodasmia ceramophila,herb,perennial,,,0.35,,SEP,OCT,,
Aponogeton elongatus (Aponogeton euryspermus ),herb,perennial,,,,,JAN,SEPT,,
Aponogeton euryspermus,herb,perennial,,,,,JAN,SEP,,
Aponogeton hexatepalus,herb,perennial,,,,,JUL,AUG,,
Aponogeton kimberleyensis,herb,perennial,,,,,MAR,MAY,,
Arabidella chrysodema,herb,annual,,,0.4,,,,,
Arabidella nasturtium,herb,annual,,,0.5,,,,,
Arabidella trisecta,shrub,perennial assumed,,0.15,0.6,,MAY,OCT,,
Argentipallium niveum,herb,perennial,,0.1,0.4,,SEP,NOV,,
Argentipallium tephrodes,herb,perennial,,0.05,0.3,,AUG,OCT,,
Argyroglottis turbinata,shrub,perennial assumed,,0.5,1.8,,,,,
Aristolochia acuminata,climber,,,,,,,,,
Arnocrinum drummondii,herb,perennial,,0.15,0.5,,SEP,DEC,,
Arnocrinum gracillimum,herb,perennial,,0.2,0.4,,OCT,NOV,,
Arnocrinum preissii,herb,perennial,,0.15,0.5,,OCT,FEB,,
Arthrochilus byrnesii,herb,,,,0.5,,JAN,FEB,,
Arthropodium curvipes,herb,perennial,,0.05,0.5,,AUG,SEP,,
Arthropodium dyeri,herb,perennial,,0.2,0.6,0.8,AUG,OCT,,
Asparagus racemosus,climber/herb,perennial,,,5,,MAY,AUG,,
Asteridea archeri,herb,,,0.2,1,,SEPT,OCT,,
Asteridea asteroides,herb,perennial,,0.05,0.3,,AUG,NOV,,
Asteridea athrixioides,herb,annual,,0.05,0.2,,JUL,NOV,,
Asteridea chaetopoda,herb,perennial,,0.05,0.3,,AUG,NOV,,
Asteridea croniniana,herb,annual,,,0.08,,,,,
Asteridea gracilis,herb,annual,,0.15,0.35,,SEP,DEC,,
Asteridea morawana,herb,annual,,,,,NOV,NOV,,
Asteridea nivea,herb/shrub,perennial,,0.1,0.6,,APR,AUG,,
Asteridea pulverulenta,herb,annual,,0.05,0.4,0.7,OCT,JAN,,
Asterolasia drummondii,shrub,perennial assumed,,0.2,0.5,,JUL,SEP,,
Asterolasia grandiflora,shrub,perennial assumed,,0.2,0.6,0.8,JUL,OCT,,
Asterolasia nivea,shrub,perennial assumed,,0.3,0.5,,AUG,OCT,,
Asterolasia pallida,herb,perennial,,0.3,1,,JUN,NOV,,
Asterolasia squamuligera,shrub,perennial assumed,,0.15,1,,AUG,NOV,,
Asteromyrtus arnhemica,shrub/tree,perennial assumed,,,5,,,,,
Astroloma baxteri,shrub,perennial assumed,,0.05,0.6,,JAN,AUG,,
Astroloma ciliatum,shrub,perennial assumed,,0.05,0.3,,MAY,OCT,,
Astroloma compactum,shrub,perennial assumed,,0.02,0.15,,JAN,DEC,,
Astroloma drummondii,shrub,perennial assumed,,0.05,0.5,,DEC,JUL,,
Astroloma epacridis,shrub,perennial assumed,,0.1,1.2,,JAN,DEC,,
Astroloma foliosum,shrub,perennial assumed,,0.2,1.3,,MAY,SEP,,
Astroloma glaucescens,shrub,perennial assumed,,0.1,0.6,,MAR,OCT,,
Astroloma macrocalyx,shrub,perennial assumed,,0.2,0.8,,APR,AUG,,
Astroloma microcalyx,shrub,perennial assumed,,0.2,0.6,,JUN,SEP,,
Astroloma microdonta,shrub,perennial assumed,,0.1,0.35,,APR,OCT,,
Astroloma microphyllum,shrub,perennial assumed,,0.05,0.2,,APR,SEP,,
Astroloma pallidum,shrub,perennial assumed,0.05,0.3,0.4,,JAN,DEC,,
Astroloma prostratum,shrub,perennial assumed,,0.05,0.3,,JAN,NOV,,
Astroloma serratifolium,shrub,perennial assumed,,0.1,1.2,,JAN,DEC,,
Astroloma stomarrhena,shrub,perennial assumed,,0.1,0.6,1,MAR,JUL,,
Astroloma tectum,shrub,perennial assumed,0.05,0.1,0.4,,JAN,JUL,,
Astroloma xerophyllum,shrub,perennial assumed,,0.25,1,,JUL,OCT,,
Astrotricha hamptonii,shrub,perennial assumed,,1,3,,OCT,NOV,,
Atalaya hemiglauca,shrub/tree,perennial assumed,,1.5,10,,MAY,OCT,,
Atalaya salicifolia,shrub/tree,perennial assumed,,1,7,10,AUG,SEP,,
Atalaya variifolia,shrub/tree,perennial assumed,,2,10,,AUG,DEC,,
Auranticarpa resinosa,tree,perennial assumed,,4.5,6,,,,,
Avicennia marina,shrub/tree,perennial assumed,,1.5,6,16,"NOV, JAN","DEC, MAR",,
Babingtonia behrii,,,,,,,,,,
Babingtonia camphorosmae,,,,,,,,,,
Backhousia gundarara,,,,,,,,,,
Bacopa floribunda,herb,annual/perennial,,0.04,0.35,,MAR,JUL,,
Baeckea blackettii,,,,,,,,,,
Baeckea crassifolia,shrub,perennial assumed,,0.3,1.3,,3,10,,
Baeckea crispiflora,shrub,perennial assumed,,0.3,2,,7,12,,
Baeckea elderiana,shrub,perennial assumed,,0.5,2,,3,11,,
Baeckea ericaea,,,,,,,,,,
Baeckea exserta,shrub,perennial assumed,,,0.4,,8,11,,
Baeckea floribunda,,,,,,,,,,
Baeckea grandibracteata,shrub,perennial assumed,,0.15,0.9,,6,12,,
Baeckea grandiflora,shrub,perennial assumed,,0.3,1,,8,12,,
Baeckea grandis,shrub,perennial assumed,,0.1,0.5,,9,12,,
Baeckea latens,shrub,perennial assumed,,0.5,1.5,,10,12,,
Baeckea leptophylla,,,,,,,,,,
Baeckea muricata,shrub,perennial assumed,,0.3,1,,10,12,,
Baeckea ochropetala,shrub,perennial assumed,,0.45,2,,7,11,,
Baeckea ovalifolia,,,,,,,,,,
Baeckea pachyphylla,shrub,perennial assumed,,0.4,1,,9,1,,
Baeckea pentagonantha,shrub,perennial assumed,,0.25,2,,7,10,,
