Species,location_name,vegetation type,Post-fire regeneration,Seedling ecology data,resprouting_capacity,bud_bank_location,post_fire_recruitment,Juvenile fire response,Reproductive maturity,Fire and establishing,Fire intensity
Myoporum montanum,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Germination after grass layer converted to leaf litter many years after fire,resprouts,stem_coppice,post_fire_recruitment,NA,NA,Germination after grass layer converted to leaf litter many years after fire,Moderate intensity fire
Myristica globosa,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Only seedlings observed,Germination after grass layer converted to leaf litter many years after fire,fire_killed,NA,post_fire_recruitment_absent,NA,NA,Germination after grass layer converted to leaf litter many years after fire,Moderate intensity fire
Myrsine variabilis,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Neolitsea dealbata,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Polyscias australiana,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment,NA,NA,NA,Moderate intensity fire
Polyscias elegans,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,"Post-fire seedlings, 56% survive being burnt in their 2nd year",resprouts,stem_coppice,post_fire_recruitment,56% survive being burnt in their 2nd year,NA,NA,Moderate intensity fire
Polyscias willmottii,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment,NA,NA,NA,Moderate intensity fire
Pouteria chartacea,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Psychotria loniceroides,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Psydrax sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Rhodomyrtus macrocarpa,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Root coppice; Coppice from base of stem; & seedlings,Germination after grass layer converted to leaf litter many years after fire,resprouts,root_coppice stem_coppice,post_fire_recruitment_absent,NA,NA,Germination after grass layer converted to leaf litter many years after fire,Moderate intensity fire
Rhodomyrtus trineura,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire & later in fire interval seedlings,resprouts,stem_coppice,post_fire_recruitment,NA,NA,Post-fire & later in fire interval seedlings,Moderate intensity fire
Rubiaceae sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Rubus moluccanus,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Sapinadaceae sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Schizomeria ovata,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem,NA,resprouts,stem_coppice,post_fire_recruitment_absent,NA,NA,NA,Moderate intensity fire
Solanum viridifolium,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,"Post-fire seedlings, 29% survive being burnt in their 2nd year",resprouts,stem_coppice,post_fire_recruitment,29% survive being burnt in their 2nd year,NA,NA,Moderate intensity fire
Syzygium endophloium,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment,NA,NA,NA,Moderate intensity fire
Syzygium oleosum,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment,NA,NA,NA,Moderate intensity fire
Terminalia sp.,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment,NA,NA,NA,Moderate intensity fire
Trema tomentosa,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,"Fire killed, abundant seedlings",Post-fire seedlings,fire_killed,NA,post_fire_recruitment,NA,NA,NA,Moderate intensity fire
Wilkiea pubescens,Wet Tropics of north-eastern Australia - rainforest,Rainforest species,Coppice from base of stem; & seedlings,Post-fire seedlings,resprouts,stem_coppice,post_fire_recruitment,NA,NA,NA,Moderate intensity fire
