origRow,site_IJW,Rain,log_rain,SoilP,log_p,family,clade,mono_di,ps_path,genus,genus spp (ian),LfSize(mm2),DryMass(mg),SLA(mm2/mg),LaminaT(um),upPalisT(um),SpongyT(um),loPalisT(um),Sclerified%,upCuticT(um),loCuticT(um),upCutEW(um),loCutEW(um),upEpiderm(um),upCutEpi(um),loEpiderm(um),loCutEpi(um),Epiderm_com,Cutic_com,CutEpi_com,upHypo(um),loHypo(um),cwfa_upr,cwfa_lwr,curv_wid,proj_wid,cwi_pwi,ts_area,ocst_ind,var00001,dmc_var,dmc_v1,dmc_v2,ts_ar_mm,pr_wi_mm,lam_d_mm,ar_1_lf,ms_1_mg,lma,var00004,leaf_typ,tot_case,tot_pal,tot_mes3,aerenchy,var00003,inn_mes,rain_con,nutr_con,stom_dis,trichome,ijw_sla,ijw_dmfm,ijw_lamd,ijw_dmc,var00006,spon_ra2,spon4,spon_rat,tpal_rat,upcs_rat,locs_rat,uhyp_rat,lhyp_rat,inms_rat,tmes_rat,var00007,tpal_ra2,case_typ,var00009,filter_$,aer_rat,check,gen spp,spec_ord,area_2,mass_2,sla,site_dhd
3,KCNP_loP,1220,3.09,105,2.02,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus haemastoma,1863.9,454.9,4.1,361,148,,148,10.8,15.1,15.6,16.5,16.9,18.8,33.9,16.6,32.2,35.4,30.8,66.1,,,36,36.3,16698,16698,1,"6,037,241.27",2.38,Euc_haem,0.68,0.6754,0.6751,6.04,16.7,0.36,"1,863.87",454.93,0.24,Euc_haem,"flat, broad",66.11,295.29,295.29,0,Euc_haem,0,1,1,amphistomatous,,4.68,0.53,492.7952,0.4336,Euc_haem,0,0,0,0.82,0.09,0.09,0,0,0,0.8171,Euc_haem,0.8171,species mean,,Selected,0,1,Eucalyptus haemastoma,Euc_haem,"3,727.74",0.9099,4.1,kcnp
4,hermidale,389,2.59,441,2.64,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus intertexta,1735.6,361.4,4.8,488,207,,207,12.9,15.4,14.5,20.6,20.2,22.8,37.2,21.7,36.1,44.5,30,74.5,,,,,19675,19675,1,"9,624,365.39",5.82,Euc_inte,0.43,0.4265,0.4257,9.62,19.67,0.49,"1,735.56",361.42,0.21,Euc_inte,"flat, broad",74.5,413.74,413.74,0,Euc_inte,0,1,1,amphistomatous,,6.9,0.4,510,0.2842,Euc_inte,0.0026,0,0,0.85,0.08,0.07,0,0,0,0.85,Euc_inte,0.8474,species mean,,Selected,0,1,Eucalyptus intertexta,Euc_inte,"3,471.12",0.7228,4.8,hermidale
5,KCNP_hiP,1231,3.09,695,2.84,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus paniculata ,1801.1,296,6.08,318,132,,132,12.4,8.2,8,11.7,11,20.7,28.5,16.6,24.7,37.3,16.2,53.6,,,,,22715,22715,1,"7,018,323.81",10.05,Euc_pani,0.52,0.5169,0.5319,7.02,22.72,0.32,"1,801.13",296,0.16,Euc_pani,"flat, broad",53.56,264.37,264.37,0,Euc_pani,0,1,1,hypostomatous,,6.99,0.56,,,Euc_pani,0.0012,0,0,0.83,0.09,0.08,0,0,0,0.8327,Euc_pani,0.8315,species mean,,Selected,0,1,Eucalyptus paniculata ,Euc_pani,"3,602.26",0.592,6.08,kcnp (wh)
6,MyallLakesNP2,1374,3.14,22,1.34,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus pilularis,2426.3,395.8,6.13,399,167,,167,7.8,10.6,9.3,14,12.2,24.3,34.9,20.4,29.6,44.6,19.9,64.5,,,,,20691,20691,1,"7,963,280.42",4.76,Euc_pilu,0.41,0.4092,0.4239,7.96,20.69,0.4,"2,426.25",395.8,0.16,Euc_pilu,"flat, broad",64.53,334.15,334.15,0,Euc_pilu,0,1,1,amphistomatous,,,,,,Euc_pilu,0,0,0,0.84,0.09,0.07,0,0,0,0.8381,Euc_pilu,0.8381,species mean,,Selected,0,1,Eucalyptus pilularis (ml2),Euc_pilu,"4,852.50",0.7916,6.13,mlnp2
7,hermidale,389,2.59,441,2.64,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus populnea,2193.5,491.4,4.46,444,189,,189,10,12.6,11.1,16.3,14.5,20.5,33.1,19.2,30.3,39.7,23.7,63.4,,,,,36938,36938,1,"15,665,250.00",5.55,Euc_popu,0.5,0.504,0.5282,15.67,36.94,0.44,"2,193.52",491.39,0.22,Euc_popu,"flat, broad",63.4,359.21,359.21,0,Euc_popu,0,1,1,amphistomatous,,,,,,Euc_popu,0.001,0,0,0.85,0.08,0.07,0,0,0,0.85,Euc_popu,0.849,species mean,,Selected,0,1,Eucalyptus populnea,Euc_popu,"4,387.04",0.9828,4.46,hermidale
8,MortonNP,1821,3.26,87,1.94,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus sclerophylla,2133.1,609.5,3.5,492,198,,198,10,17.3,16.3,24.7,23.1,31.4,48.9,31.3,47.6,62.7,33.6,96.3,,,,,18575,18575,1,"9,158,587.30",2.52,Euc_scle,0.58,0.581,0.5794,9.16,18.57,0.49,"2,133.13",609.45,0.29,Euc_scle,"flat, broad",96.35,395.37,395.37,0,Euc_scle,0,1,1,amphistomatous,,,,,,Euc_scle,-0.0004,0,0,0.8,0.1,0.1,0,0,0,0.8037,Euc_scle,0.8041,species mean,,Selected,0,1,Eucalyptus sclerophylla,Euc_scle,"4,266.26",1.2189,3.5,mnp
10,GoobangNP1,650,2.81,122,2.09,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus sideroxylon,1953.5,426.5,4.58,431,184,,184,11.6,14.8,14.1,24.2,22.6,17.7,31.4,16.5,27.5,34.2,28.9,63.1,,,,,23825,23825,1,"10,317,966.24",3.69,Euc_sid2,0.51,0.5067,0.5041,10.32,23.83,0.43,"1,953.48",426.45,0.22,Euc_sid2,"flat, broad",63.13,367.67,367.67,0,Euc_sid2,0,1,1,amphistomatous,,,,,,Euc_sid2,0.0097,0,0,0.85,0.07,0.06,0,0,0,0.8631,Euc_sid2,0.8535,"species X site ""replicate""",,Not Selected,0,1,Eucalyptus sideroxylon (gnp),Euc_sid2,"3,906.97",0.8529,4.58,gnp1
9,Talleeban,410,2.61,175,2.24,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus sideroxylon,1543.1,406.7,3.79,499,207,,207,13.1,19.1,18.8,24.4,23.1,23.6,40.9,23.3,40.3,46.9,37.9,84.8,,,,,21416,21416,1,"10,883,585.51",3.69,Euc_sid1,0.53,0.5282,0.5187,10.88,21.42,0.5,"1,543.11",406.74,0.26,Euc_sid1,"flat, broad",84.76,414.26,414.26,0,Euc_sid1,0,1,1,amphistomatous,,,,,,Euc_sid1,0.0072,0,0,0.83,0.08,0.08,0,0,0,0.8373,Euc_sid1,0.8301,"species X site ""replicate""",,Not Selected,0,1,Eucalyptus sideroxylon (tal),Euc_sid1,"3,086.22",0.8135,3.79,talleeban
12,EastCobar,341,2.53,297,2.47,Myrtaceae,Myrtaceae,dicot,C3,Eucalyptus,Eucalyptus socialis,1132.4,358.2,3.16,495,206,,206,11.7,18.4,18,21.7,21.4,25.5,43.9,22.1,40.1,47.6,36.4,84,,,,,18180,18180,1,"8,970,702.38",3.68,Euc_soci,0.64,0.6387,0.641,8.97,18.18,0.5,"1,132.41",358.17,0.32,Euc_soci,"flat, broad",84,411.19,411.19,0,Euc_soci,0,1,1,amphistomatous,,3.25,0.55,600,0.5128,Euc_soci,0,0,0,0.83,0.09,0.08,0,0,0,0.8304,Euc_soci,0.8304,species mean,,Selected,0,1,Eucalyptus socialis,Euc_soci,"2,264.82",0.7163,3.16,east cobar
90,GoobangNP3,650,2.81,271,2.43,Cyperaceae,Poales,monocot,C3,Gahnia,Gahnia aspera,1181.9,353.5,3.34,259,,,,37.5,4.3,7.7,5.6,9.4,9.1,13.4,11.4,19.1,20.5,12,32.5,,,,,4858,,,"1,256,199.73",0,Gah_aspe,1.16,1.156,,1.26,,0.26,"1,181.86",353.45,0.3,Gah_aspe,graminoid,32.51,0,226.2,0,Gah_aspe,0,1,0,epistomatous,,,,,,Gah_aspe,0.8743,226.2,0.87,0,0.05,0.07,0,0,0,0.8743,Gah_aspe,0,species mean,,Selected,0,1,Gahnia aspera,Gah_aspe,"2,363.73",0.7069,3.34,gnp3
91,MortonNP,1821,3.26,87,1.94,Cyperaceae,Poales,monocot,C3,Gahnia,Gahnia sp,1674.5,527.9,3.17,271,,,,37.9,7.9,10.7,9.5,12.7,11.3,19.2,12.5,23.2,23.8,18.6,42.4,,,,,4821,,,"1,312,365.08",0,Gah_sp.,1.16,1.1645,,1.31,,0.27,"1,674.51",527.85,0.32,Gah_sp.,graminoid,42.41,0,228.28,0,Gah_sp.,0,1,1,epistomatous,,,,,,Gah_sp.,0.8433,228.28,0.84,0,0.07,0.09,0,0,0,0.8433,Gah_sp.,0,species mean,,Selected,0,1,Gahnia sp. (mnp),Gah_sp.,"3,349.02",1.0557,3.17,mnp
30,Talleeban,410,2.61,175,2.24,Proteaceae,Proteaceae,dicot,C3,Grevillea,Grevillea anethifolia,104.2,29.5,3.53,519,52,367,43,24.6,15.6,6.7,15.4,10.7,17.1,31.3,19,25.7,36,22.4,58.4,,,31.7,42.4,1189,752,1.6,"617,749.55",7.99,Gre_anet,0.35,0.5464,0.3452,0.62,0.75,0.52,104.18,29.52,0.28,Gre_anet,recurved,58.39,94.81,460.24,0,Gre_anet,0,1,0,hypostomatous,,,,,,Gre_anet,0.7074,365.43,0.7,0.18,0.06,0.05,0,0,0,0.8902,Gre_anet,0.1828,species mean,,Selected,0,1,Grevillea anethifolia,Gre_anet,208.35,0.059,3.53,talleeban
31,CocoparraNP,455,2.66,122,2.09,Proteaceae,Proteaceae,dicot,C3,Grevillea,Grevillea floribunda,141.1,45,3.13,288,79,131,39,16.9,17.4,4.1,17.3,9.3,11.5,28,20.1,24.2,31.5,21.5,53,,,36.7,44.1,5967,2536,2.42,"1,749,638.89",0,Gre_flo1,0.46,1.1079,0.4625,1.75,2.54,0.29,141.09,45.02,0.32,Gre_flo1,recurved,52.99,118.59,235.01,0,Gre_flo1,0,1,0,hypostomatous,,,,,,Gre_flo1,0.4071,116.42,0.4,0.41,0.1,0.08,0,0,0,0.8189,Gre_flo1,0.4118,"species X site ""replicate""",,Not Selected,0,1,Grevillea floribunda (cnp),Gre_flo1,282.19,0.09,3.13,cnp
32,GoobangNP1,650,2.81,122,2.09,Proteaceae,Proteaceae,dicot,C3,Grevillea,Grevillea floribunda,242.5,36.4,6.65,275,81,115,35,11.9,10.7,2,12.1,,12.9,23.6,19.2,21.2,32.1,12.7,44.9,,,,,7280,6384,1.2,"1,415,330.28",0,Gre_flo2,0.48,0.5472,0.4812,1.99,6.38,0.27,242.49,36.44,0.15,Gre_flo2,"flat, broad",44.86,115.15,229.78,0,Gre_flo2,0,1,0,hypostomatous,,,,,,Gre_flo2,0.4174,114.62,0.42,0.42,0.09,0.08,0,0,0,0.8366,Gre_flo2,0.4193,"species X site ""replicate""",,Not Selected,0,1,Grevillea floribunda (gnp),Gre_flo2,484.98,0.0729,6.65,gnp1
34,NombinnieNR,365,2.56,175,2.24,Proteaceae,Proteaceae,dicot,C3,Grevillea,Grevillea hueglii,77.5,29.6,2.62,455,61,241,28,22.4,21.8,8.2,22.5,11.7,17.5,39.2,10.9,19.1,28.3,30,58.3,51.1,21.5,36.1,39.5,1840,1270,1.49,"823,047.45",16.75,Gre_hueg,0.59,0.8378,0.5883,0.82,1.27,0.46,77.5,29.55,0.38,Gre_hueg,recurved,130.89,88.6,324.19,0,Gre_hueg,0,1,0,hypostomatous,,,,,,Gre_hueg,0.5177,235.6,0.52,0.19,0.09,0.04,0.11,0.05,0,0.8718,Gre_hueg,0.1947,species mean,,Selected,0,1,Grevillea hueglii,Gre_hueg,155.01,0.0591,2.62,nnr
35,ShanesPark,778,2.89,105,2.02,Proteaceae,Proteaceae,dicot,C3,Grevillea,Grevillea juniperina,12.7,1.7,7.67,244,52,168,,17,4.4,,6.2,3.8,15.4,19.8,18.5,20.6,33.9,4.4,38.3,,,,,1426,1075,1.35,"353,398.41",1.61,Gre_juni,0.4,0.5357,0.3969,0.35,1.08,0.24,12.65,1.65,0.13,Gre_juni,recurved,38.28,52.24,205.22,0,Gre_juni,0,1,0,hypostomatous,,,,,,Gre_juni,0.6195,152.98,0.63,0.21,0.08,0.08,0,0,0,0.834,Gre_juni,0.2145,species mean,,Selected,0,1,Grevillea juniperina,Gre_juni,25.3,0.0033,7.93,Shane's Park
