taxon_name,ParGenTax,ParTribeTax,ParSubfamTax,ParFamTax,ParOrdTax,ParCladeTax,reference,url,pollination,wind_water_animal_pollination,wind_pollination_explicitly_tested,pollination_text,pollination_data_source,syndrome_or_system,confidence_score,pollination_reward,nectar,scent,pollination_reward_text,pollination_reward_data_source,rank_scored_at,entered_by,entry_date
Apium graveolens,Apium,NA,Apioideae,Apiaceae,Apiales,Campanulidae,"TRY- BiolFlor, The Ecological Flora Database",NA,insect,animal,no,"""beetles, flies, syrphids, wasps, medium tongued bees…insects rare…selfing the rule…insect""",explicit from the text (described as such),syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",NA,NA,NA,NA,NA,species,Ruby Stephens,28/1/2022
Azorella selago,Azorella,NA,Azorelloideae,Apiaceae,Apiales,Campanulidae,"Born, C., Le Roux, P. C., Spohr, C., McGEOCH, M. A., & Van Vuuren, B. J. (2012). Plant dispersal in the sub‐Antarctic inferred from anisotropic genetic structure. Molecular Ecology, 21(1), 184-194.",https://onlinelibrary.wiley.com/doi/epdf/10.1111/j.1365-294X.2011.05372.x,wind,wind,no,"""No pollinators or seed dispersers are known for A.  selago, suggesting that the species is wind pollinated and wind dispersed and may therefore be particularly sensitive to wind  patterns.""",explicit from the text (described as such),syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",NA,NA,NA,NA,NA,species,Lily Dun,31/3/2022
Actinotus helianthi,Actinotus,NA,Mackinlayoideae,Apiaceae,Apiales,Campanulidae,"Emery, N. J., Henwood, M. J., Offord, C. A., & Wardle, G. M. (2017). Right here, right now: Populations of Actinotus helianthi differ in their early performance traits and interactions. Austral Ecology, 42(3), 367-378.",https://onlinelibrary.wiley.com/doi/epdf/10.1111/aec.12450,insect,animal,no,"""The total number of insect visits per day to indi-vidualA. helianthiranged between 93 and 460 (aver-age 18123), and the total number of insect visitsper population ranged between 93 and 565 (average30157). Coleoptera (most commonly Curculion-idae and Mordellidae), Diptera, Hymenoptera (mostcommonly Apiodea and Formicidae) and Thysanop-tera comprised an average of 96.61.6% of thetotal abundance of visitors at each population""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",NA,NA,NA,NA,NA,species,Lily Dun,31/3/2022
Pennantia cunninghamii,Pennantia,NA,NA,Pennantiaceae,Apiales,Campanulidae,"Gardner, R. O., & de Lange, P. J. (2002). Revision of Pennantia (Icacinaceae), a small isolated genus of Southern Hemisphere trees. Journal of the Royal Society of New Zealand, 32(4), 669-695.",https://www.tandfonline.com/doi/pdf/10.1080/03014223.2002.9517715?needAccess=true,insect,animal,no,"""We have not found nectar in the flowers of P. baylisiana, P. corymbosa, or P. endlicheri.
These flowers each have a pleasant light floral scent. Thomson (1927) described those of P.
corymbosa as being ""very fragrant"" and ""evidently dependent on insects for pollination""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",NA,NA,yes,"""These flowers each have a pleasant light floral scent""",explicit from the text (described as such),species,Lily Dun,31/3/2022
Billardiera heterophylla,Billardiera,NA,NA,Pittosporaceae,Apiales,Campanulidae,iNaturalist. 2022. Billardiera heterophylla. https://www.inaturalist.org/taxa/75769-Billardiera-heterophylla,https://www.inaturalist.org/taxa/75769-Billardiera-heterophylla,insect,animal,no,NA,guessed from the illustration,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",NA,NA,NA,NA,NA,species,Lily Dun,31/3/2022
Helianthus annuus,Helianthus,Heliantheae,Asteroideae,Asteraceae,Asterales,Campanulidae,"Neff, J. L., & Simpson, B. B. (1990). The roles of phenology and reward structure in the pollination biology of wild sunflower (Helianthus annuus L., Asteraceae). Israel Journal of Botany, 39(1–2), 197–216. https://doi.org/10.1080/0021213X.1990.10677144",https://www-tandfonline-com.simsrad.net.ocs.mq.edu.au/doi/abs/10.1080/0021213X.1990.10677144,insect,animal,no,"""Throughout its range, the species is visited by a wide variety of native bees (Hurd et al., 1980). In our study area, more than 20 bee species visit Helianthus annuus. Virtually all of these bees are capable of pollinating H. annuus, but the abundances of most bee species vary widely from year to year."" TRY: ""bees, bumble bees, wasps, bombylides, syrphids""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,NA,"""Both pollen and nectar are produced only during the male phase of the protandrous disk florets""",explicit from the text (described as such),species,Ruby Stephens,28/1/2022
Tragopogon dubius,Tragopogon,Cichorieae,Cichorioideae,Asteraceae,Asterales,Campanulidae,"TRY- BiolFlor, BASECO",NA,insect,animal,no,"""bees, bumble bees, wasps, bombylides, syrphids…insects the rule…selfing at failure of outcrossing…entomogamous""",explicit from the text (described as such),syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",NA,NA,NA,NA,NA,species,Ruby Stephens,28/1/2022
Dampiera spicigera,Dampiera,NA,NA,Goodeniaceae,Asterales,Campanulidae,Florabase. 2022. Dampiera. https://florabase.dpaw.wa.gov.au/browse/profile/22140,https://florabase.dpaw.wa.gov.au/browse/profile/22140,insect,animal,no,""" Entomophilous. Pollination mechanism conspicuously specialized (involving a stylar modification for pollen presentation).""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",NA,NA,NA,NA,NA,species,Lily Dun,7/4/2022
Lonicera japonica,Lonicera,NA,Caprifolioideae,Caprifoliaceae,Dipsacales,Campanulidae,"Miyake, T., & Yahara, T. (1998). Why does the flower of Lonicera japonica open at dusk? Canadian Journal of Botany, 76(10), 1806–1811. https://doi.org/10.1139/b98-119",http://cdnsciencepub.com/doi/abs/10.1139/b98-119,bee and moth,animal,no,"""We investigated contributions of diurnal pollinators and a nocturnal pollinator to pollen transfer in Lonicera japonica (Caprifoliaceae), whose flowers have traits typical of the hawkmoth-pollination syndrome. Diurnal bees, Tetralonia nipponensis and Lasioglossum sp., delivered more pollen grains than the nocturnal hawkmoth Theretra japonica per visit, suggesting that these bees were also effective pollinators...The hawkmoth-pollination syndrome is characterized by long-tubed, white or pale, sweetly scented flowers which open at dusk and have ample thin nectar (van der Pijl 1961; Wyatt 1983; Knudsen and Tollsten 1993)...The flowers of Lonicera ja- ponica have traits typical of hawkmoth-pollinated flowers and flowering over 2 days. During daytime, bees visit them to collect pollen and (or) nectar.""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",nectar and pollen,yes,yes,"""The hawkmoth-pollination syndrome is characterized by long-tubed, white or pale, sweetly scented flowers which open at dusk and have ample thin nectar...The flowers of Lonicera japonica have traits typical of hawkmoth-pollinated flowers and flowering over 2 days. During daytime, bees visit them to collect pollen and (or) nectar.""",explicit from the text (described as such),species,Ruby Stephens,7/4/2022
Eremosyne pectinata,Eremosyne,NA,NA,Escalloniaceae,Escalloniales,Campanulidae,"Conran, J. G., & Macfarlane, T. D. (2016). Eremosynaceae. In J. W. Kadereit & V. Bittrich (Eds.), Flowering Plants. Eudicots: Aquifoliales, Boraginales, Bruniales, Dipsacales, Escalloniales, Garryales, Paracryphiales, Solanales (except Convolvulaceae), Icacinaceae, Metteniusaceae, Vahliaceae (pp. 179–183). Springer International Publishing. https://doi.org/10.1007/978-3-319-28534-4_13",https://doi.org/10.1007/978-3-319-28534-4_13,insect,animal,no,"""The flowers are visited by small bees (Halictidae and Anthophoridae), flies (Syrphidae, Bombyliidae, Muscidae) and beetles (Chrysomelidae: Hispinae and Curculionidae). The bees were seen collecting pollen actively, whereas the other visitors were in situ pollen feeders (Conran, unpubl. obs.).""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",pollen,NA,NA,"""The flowers are visited by small bees (Halictidae and Anthophoridae), flies (Syr- phidae, Bombyliidae, Muscidae) and beetles (Chrysomelidae: Hispinae and Curculionidae). The bees were seen collecting pollen actively, whereas the other visitors were in situ pollen feeders (Conran, unpubl. obs.).""",explicit from the text (described as such),species,Ruby Stephens,7/4/2022
Escallonia rubra,Escallonia,NA,NA,Escalloniaceae,Escalloniales,Campanulidae,"Aizen, M. A., & Rovere, A. E. (2010). Reproductive interactions mediated by flowering overlap in a temperate hummingbird–plant assemblage. Oikos, 119(4), 696–706. https://doi.org/10.1111/j.1600-0706.2009.17762.x",http://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0706.2009.17762.x,bird,animal,no,"""Seven ornithophilous species, all woody, occur in the study area...the shrub Escallonia rubra (Escalloniaceae)...highly dependent on animal pollination for full seed set (Riveros 1991, Riveros et al. 1996, Rovere et al. 2006)highly dependent on animal pollination for full seed set (Riveros 1991, Riveros et al. 1996, Rovere et al. 2006). All seven species have tubular red or reddish corollas, typical of hummingbird-pollinated species. The southern-most hum- mingbird in the world, Sephanoides sephaniodes, is the main flower visitor and presumably their most effective pollinator, although insects also visit some of these species (Riveros 1991, Aizen et al. 2002). This hummingbird transports pollen of all the sampled species (Riveros 1991, Ruffini 1992, Smith-Ramírez 1993, Aizen et al. 2002), and mixed pollen loads are commonly found on a hummingbird ́s beak and head (Ruffini 1992, Fraga et al. 1997).""",explicit from the text (described as such),system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,NA,NA,NA,NA,NA,species,Ruby Stephens,7/4/2022
Quintinia verdonii,Quintinia,NA,NA,Paracryphiaceae,Paracryphiales,Campanulidae,iNaturalist. (2022). Quintinia verdonii. iNaturalist. https://www.inaturalist.org/taxa/534014-Quintinia-verdonii/browse_photos?term_id=12&term_value_id=13,https://www.inaturalist.org/taxa/534014-Quintinia-verdonii/browse_photos?term_id=12&term_value_id=13,animal,animal,no,NA,guessed from the illustration,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",NA,NA,NA,NA,NA,species,Ruby Stephens,7/4/2022
Caryota mitis,Caryota,Caryoteae,Coryphoideae,Arecaceae,Arecales,Commelinidae,"Quek, Z. B. R., Chui, S. X., Lam, W. N., Fung, T. K., & Sivasothi, N. (2020). Autecology of the common fishtail palm, Caryota mitis (Arecaceae), in Singapore. Botany Letters, 167(2), 265–275. https://doi.org/10.1080/23818107.2020.1717612",https://doi.org/10.1080/23818107.2020.1717612,bee,animal,no,"""Silberbauer-Gottsberger (1990) noted that members of Caryota (including C. mitis) likely provide nectar and pollen for bees (Meliponinae) and beetles (Curculionidae and Nitidulidae), with bees as possibly the predominant pollinators...Potential pollinators of C. mitis observed to be foraging for pollen on the male flowers of C. mitis were either identified to the lowest possible taxonomic rank on site or were collected as specimens for identification...Anthesis of male flowers occurs over 2 days with approximately half of the flowers on inflorescence opening on each day, and flowers only last for 1 day (Figure S2). Eusocial bees (Insecta: Hymenoptera: Apidae) were frequent visitors to the male flowers of C. mitis: six out of the seven species of stingless bees in Singapore as of 2018 (Chui Shao Xiong, unpublished data), and the Asian honeybee Apis cerana were documented collecting pollen (Figure S4A-4C).""",interpreted from the text,system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,NA,NA,NA,NA,NA,species,Ruby Stephens,25/1/2022
Phoenix dactylifera,Phoenix,Phoeniceae,Coryphoideae,Arecaceae,Arecales,Commelinidae,"Dransfield, J., & Uhl, N. W. (1998). Palmae. In K. Kubitzki (Ed.), Flowering Plants · Monocotyledons: Alismatanae and Commelinanae (except Gramineae) (pp. 306–389). Springer. https://doi.org/10.1007/978-3-662-03531-3_35",https://doi.org/10.1007/978-3-662-03531-3_35,wind and insect,wind&animal,no,"""It is only relatively recently (Uhl and Moore 1977) that the myth (Delpino 1870) that palms are wind-pollinated has been dispelled. During the past decade, it has been shown that many palms are insect-pollinated (Henderson 1986), or, even if primarily anemophilous, that entomophily occurs, as in Aiphanes (Listabarth 1992). True anemophily does indeed occur (e.g., in Thrinax) but even the date palm, Phoenix dactylifera, may in fact be secondarily anemophil- ous. Large quantities of pollen, a feature of the syndrome of wind pollination, seem, at least in some palms, to be an adaptation to predation by insects.""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",NA,NA,NA,NA,NA,species,Ruby Stephens,25/1/2022
Nypa fruticans,Nypa,NA,Nypoideae,Arecaceae,Arecales,Commelinidae,"Straarup, M., Hoppe, L. E., Pooma, R., & Barfod, A. S. (2018). The role of beetles in the pollination of the mangrove palm Nypa fruticans. Nordic Journal of Botany, 36(9), e01967. https://doi.org/10.1111/njb.01967",http://onlinelibrary.wiley.com/doi/abs/10.1111/njb.01967,insect,animal,no,"""the inflorescences were visited by a wide variety of insect species. Ants were commonly observed on female flower heads, presumably collecting stigmatic fluid, however they were rarely spotted on male rachillae at anthe- sis. Among the beetle visitors, Epuraea sp. was clearly the most abundant one, mainly observed on male inflorescences during anthesis. This confirms that this morphotype is feed- ing on the copious amounts of pollen produced by the young male inflorescences (Roulston and Cane 2000). Although they carried relatively small amounts of pollen, individuals of Epuraea sp. were omnipresent. Those measured for pol- len loads were sampled from the female flower heads, which confírms their capability to transfer at least a small amount of pollen grains from male to female flowers. Pollen grains were mainly observed on the dorsal side of the Epuraea sp. bee- tles. Cillaeinid sp. were less frequently observed, but carried more pollen grains than the smaller Epuraea sp. Their feed- ing behavior was almost identical to that of Epuraea sp. We consider the more frequent species of nitidulid beetles capa- ble of assuring successful pollination. They show a remark- able resemblance to Epuraea sp. found by Mantequilla et al. (2016) in the nipa stands near Davao City, Philippines as shown in Fig. 4. Hoppe (2004) listed nitidulid beetles among the most frequent visitors to female flowers in the receptive phase. Both Hoppe (2004) and Mantequilla et al. (2016) reported pollen loads of nitidulid beetles to be low, however Hoppe (2004) noticed a rise in pollen load after onset of male anthesis...In contrast to several previous studies (Essig 1973, Fong 1987, Hoppe 2004, Mantequilla et al. 2016) we did not observe drosophilid visitors to the inflorescences in this study. Since Drosophila flies are almost omnipresent and highly generalist this is a surprise. We can only explain this by edge effects or perhaps the use of pesticides in the adjacent botanical garden...The role of wind as a contributor to pollination was unlikely according to Hoppe (2004). An adhesive tape test suggested that very few pollen grains were transferred to female inflorescences by wind. Essig (1973) also dismisses wind as a significant contributor to pollination due to the large, globular and sticky pollen grains.""",interpreted from the text,system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",NA,NA,NA,"""The male inflorescences of nipa emitted a characteristic coumarin smell at anthesis, which was also reported by Hoppe (2004). Azuma et al. (2002) found the aromatic β-ionone in the scent emitted by N. fruticans during flowering, a compound which is otherwise known to attract Scarab beetles (family Scarabaeideae) (Donaldson et al. 1990)...",NA,species,Ruby Stephens,25/1/2022
