"","family","taxa","spauth","infraspecauth","species3author","thousandseedweight","materialweigheddesc","seedweightnotes","weightprecision","refdesc","refshort"
"53","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.3872,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"54","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.6164,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"55","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.6012,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"56","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.6004,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"57","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.486,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"58","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.3892,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"59","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.3204,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"60","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.368,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"61","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.36,"Seed","*Seed weights reported may include minor covering structures",2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"62","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.34,"Seed","*Seed weights reported may include minor covering structures",2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"63","ALISMATACEAE","Alisma plantago-aquatica","L.",NA,NA,0.412,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"64","ALISMATACEAE","Butomopsis latifolia","(D.Don) Kunth",NA,NA,0.0684,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"65","ALISMATACEAE","Butomopsis latifolia","(D.Don) Kunth",NA,NA,0.0276,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"66","ALISMATACEAE","Butomopsis latifolia","(D.Don) Kunth",NA,NA,0.02864,"Seed","*Seed weights reported may include minor covering structures",5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"67","ALISMATACEAE","Butomopsis latifolia","(D.Don) Kunth",NA,NA,0.038,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"68","ALISMATACEAE","Caldesia oligococca","(F.Muell.) Buchanan",NA,NA,5.5368,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"69","ALISMATACEAE","Damasonium minus","(R.Br.) Buchenau",NA,NA,0.3188,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"70","ALISMATACEAE","Sagittaria brevirostra","Mack. & Bush",NA,NA,0.2872,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"71","ALSEUOSMIACEAE","Wittsteinia vacciniacea","F.Muell.",NA,NA,1.0784,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"72","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,2.03,"Seed","Seed dried to a constant weight at 40<U+00B0>C prior to weighing.",2,"Ramirez, N. 1993. Produccion y costo de frutos y semillas entre formas de vida. Biotropica, 25:46-60.","(Ramirez, 1993)"
"73","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,3.4872,"Seed",NA,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
"74","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,2.3832,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"75","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,11.4352,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"76","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,5.1384,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"77","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,4.5676,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"78","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,4.2708,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"79","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,3.8408,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"80","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,3.0084,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"81","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,2.25,"Seed","*Seed weights reported may include minor covering structures",2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"82","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,1.7728,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"83","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,1.7012,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"84","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,3.3296,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"85","AMARANTHACEAE","Achyranthes aspera","L.",NA,NA,3.1684,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"86","AMARANTHACEAE","Alternanthera angustifolia","R.Br.",NA,NA,0.718,"Diaspore","SD=0.152; weight is based upon the average of 20 individual diaspore masses; diaspores were dried at 80<U+00B0>C for 24 hours prior to weighing.",3,"Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830.","(Jurado et al., 1991)"
"87","AMARANTHACEAE","Alternanthera angustifolia","R.Br.",NA,NA,0.1796,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"88","AMARANTHACEAE","Alternanthera angustifolia","R.Br.",NA,NA,0.664,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"89","AMARANTHACEAE","Alternanthera denticulata","R.Br.",NA,NA,0.2811,"Seed",NA,4,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
"90","AMARANTHACEAE","Alternanthera denticulata","R.Br.",NA,NA,0.2736,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"91","AMARANTHACEAE","Alternanthera denticulata","R.Br.",NA,NA,0.23056,"Seed","*Seed weights reported may include minor covering structures",5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"92","AMARANTHACEAE","Alternanthera denticulata","R.Br.",NA,NA,0.2116,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"93","AMARANTHACEAE","Alternanthera denticulata","R.Br.",NA,NA,0.1012,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"94","AMARANTHACEAE","Alternanthera denticulata","R.Br.",NA,NA,0.12192,"Seed","*Seed weights reported may include minor covering structures",5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"95","AMARANTHACEAE","Alternanthera nana","R.Br.",NA,NA,0.4,"Seed","air dry",1,"Clifford, H.T. 2000. Dicotyledon seedling morphology as a correlate of seed size. Proceedings of the Royal Society of Queensland, 109:39-48.","(Clifford, 2000)"
"96","AMARANTHACEAE","Alternanthera nana","R.Br.",NA,NA,0.33464,"Seed","*Seed weights reported may include minor covering structures",5,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"97","AMARANTHACEAE","Alternanthera nodiflora","R.Br.",NA,NA,0.4016,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"98","AMARANTHACEAE","Alternanthera nodiflora","R.Br.",NA,NA,0.2996,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"99","AMARANTHACEAE","Alternanthera nodiflora","R.Br.",NA,NA,0.1708,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"100","AMARANTHACEAE","Alternanthera nodiflora","R.Br.",NA,NA,0.0316,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"101","AMARANTHACEAE","Alternanthera nodiflora","R.Br.",NA,NA,0.4876,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"102","AMARANTHACEAE","Amaranthus centralis","J.Palmer & Mowatt",NA,NA,0.5512,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"103","AMARANTHACEAE","Amaranthus cochleitepalus","Domin",NA,NA,0.232,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"104","AMARANTHACEAE","Amaranthus cuspidifolius","Domin",NA,NA,0.4232,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"105","AMARANTHACEAE","Amaranthus interruptus","R.Br.",NA,NA,0.2804,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"106","AMARANTHACEAE","Amaranthus macrocarpus","Benth.",NA,NA,0.2656,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"107","AMARANTHACEAE","Amaranthus mitchellii","Benth.",NA,NA,1.795,"Diaspore","SD=0.324; weight is based upon the average of 20 individual diaspore masses; diaspores were dried at 80<U+00B0>C for 24 hours prior to weighing.",3,"Jurado, E., Westoby, M. and Nelson, D. 1991. Diaspore weight, dispersal, growth form and perenniality of central Australian plants. Journal of Ecology, 79:811-830.","(Jurado et al., 1991)"
"108","AMARANTHACEAE","Amaranthus undulatus","R.Br.",NA,NA,0.2592,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"109","AMARANTHACEAE","Amaranthus undulatus","R.Br.",NA,NA,0.2852,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"110","AMARANTHACEAE","Atriplex acutibractea","R.H.Anderson",NA,NA,0.4988,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"111","AMARANTHACEAE","Atriplex acutiloba","R.H.Anderson",NA,NA,1.68,"Seed","*Seed weights reported may include minor covering structures",2,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"112","AMARANTHACEAE","Atriplex amnicola","Paul G.Wilson",NA,NA,0.35,"Embryo+endosperm","Dry weight.",2,"Ganade, G. and Westoby, M. 1999. Seed mass and the evolution of early-seedling etiolation. The American Naturalist, 154:469-480.","(Ganade & Westoby, 1999)"
"113","AMARANTHACEAE","Atriplex amnicola","Paul G.Wilson",NA,NA,4.052,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"114","AMARANTHACEAE","Atriplex angulata","Benth.",NA,NA,0.607,"Seed","oven dry",3,"Moles, A.T, and Westoby, M. 2003. Do large seeds suffer higher levels of pre- or post-dispersal seed predation than small seeds? Ecology, 84:3148-3161.","(Moles & Westoby, 2003)"
"115","AMARANTHACEAE","Atriplex angulata","Benth.",NA,NA,0.68,"Embryo+endosperm","Dry weight.",2,"Ganade, G. and Westoby, M. 1999. Seed mass and the evolution of early-seedling etiolation. The American Naturalist, 154:469-480.","(Ganade & Westoby, 1999)"
"116","AMARANTHACEAE","Atriplex angulata","Benth.",NA,NA,4.118,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"117","AMARANTHACEAE","Atriplex angulata","Benth.",NA,NA,5.5584,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"118","AMARANTHACEAE","Atriplex australasica","Moq.",NA,NA,0.9352,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"119","AMARANTHACEAE","Atriplex bunburyana","F.Muell.",NA,NA,1.0872,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"120","AMARANTHACEAE","Atriplex cinerea","Poir.",NA,NA,9.1564,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"121","AMARANTHACEAE","Atriplex cinerea","Poir.",NA,NA,6.3156,"Seed","*Seed weights reported may include minor covering structures",4,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"122","AMARANTHACEAE","Atriplex crassipes","J.M.Black",NA,NA,0.502,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
"123","AMARANTHACEAE","Atriplex eardleyae","Aellen",NA,NA,0.586,"Seed","*Seed weights reported may include minor covering structures",3,"RBG Kew, Wakehurst Place.","(RBG Kew, Wakehurst Place)"
