spp,Rep2,age,Rep,duplicate,Wood/bark,Sample ID,d13C_wood,C%_wood,d15N_wood,N%_wood,C:N ratio_wood,date
GrePte,A5,adult,5,2,wood,MQ291,-29.1,43.862,1.88,0.359,122,wet season (May 2011)
GrePte,S2,sapling,2,1,wood,MQ057,-29.12,45.697,2.63,0.205,223,wet season (May 2011)
GrePte,S3,sapling,3,1,wood,MQ119,-29.87,43.578,4.37,0.176,248,wet season (May 2011)
GrePte,S4,sapling,4,1,wood,MQ178,-29.77,43.259,2.21,0.137,316,wet season (May 2011)
GrePte,S6,sapling,6,1,wood,MQ254,-29.46,44.07,0.71,0.189,233,wet season (May 2011)
GrePte,S7,sapling,7,1,wood,MQ316,-28.71,45.631,1.9,0.14,326,wet season (May 2011)
LopLac,A10,adult,10,1,wood,MQ219,-27.94,41.524,-1.87,0.344,121,wet season (May 2011)
LopLac,A2,adult,2,1,wood,MQ033,-29.11,46.494,-0.64,0.337,138,wet season (May 2011)
LopLac,A20,adult,20,1,wood,MQ293,-27.71,44.263,-0.95,0.328,135,wet season (May 2011)
LopLac,A3,adult,3,1,wood,MQ096,-28.03,44.691,-1.17,0.554,81,wet season (May 2011)
LopLac,A6,adult,6,1,wood,MQ155,-29.15,46.203,-0.2,0.643,72,wet season (May 2011)
LopLac,S1,sapling,1,1,wood,MQ059,-29.32,47.012,-0.61,0.512,92,wet season (May 2011)
LopLac,S2,sapling,2,1,wood,MQ131,-27.82,44.279,1.34,0.276,160,wet season (May 2011)
LopLac,S3,sapling,3,1,wood,MQ180,-27.75,44.933,-0.2,0.295,152,wet season (May 2011)
LopLac,S4,sapling,4,1,wood,MQ256,-28.03,44.937,0.89,0.183,246,wet season (May 2011)
LopLac,S5,sapling,5,1,wood,MQ318,-28.67,47.532,-0.03,0.177,269,wet season (May 2011)
PerFal,A1,adult,1,1,wood,MQ037,-30.37,47.523,2.5,0.153,311,wet season (May 2011)
PerFal,A2,adult,2,1,wood,MQ099,-30.16,44.092,2.43,0.456,97,wet season (May 2011)
PerFal,A4,adult,4,1,wood,MQ158,-29.91,45.898,3.22,0.322,143,wet season (May 2011)
PerFal,A6,adult,6,1,wood,MQ234,-29.73,46.487,2.36,0.492,94,wet season (May 2011)
PerFal,S1,sapling,1,1,wood,MQ073,-30.52,46.746,4.69,0.391,120,wet season (May 2011)
PerFal,S10,sapling,10,1,wood,MQ331,-30.46,46.493,5.72,0.279,167,wet season (May 2011)
PerFal,S2,sapling,2,1,wood,MQ133,-29.91,43.941,4.55,0.284,155,wet season (May 2011)
PerFal,S5,sapling,5,1,wood,MQ196,-29.9,44.317,4.61,0.572,77,wet season (May 2011)
PerFal,S6,sapling,6,1,wood,MQ260,-29.44,44.926,2.82,0.396,113,wet season (May 2011)
PetPub,A1,adult,1,1,wood,MQ036,-27.56,46.815,0.98,0.159,294,wet season (May 2011)
PetPub,A2,adult,2,1,wood,MQ157,-28.65,45.549,0.35,0.325,140,wet season (May 2011)
PetPub,A3,adult,3,1,wood,MQ232,-28.39,46.683,-0.67,0.336,139,wet season (May 2011)
PetPub,A4,adult,4,1,wood,MQ233,-29.15,45.18,-0.37,0.174,260,wet season (May 2011)
PetPub,A5,adult,5,1,wood,MQ296,-29.22,43.977,0.23,0.157,280,wet season (May 2011)
PetPub,S1,sapling,1,1,wood,MQ072,-27.62,47.104,0.28,0.187,252,wet season (May 2011)
PetPub,S2,sapling,2,1,wood,MQ194,-28.23,43.341,-0.12,0.297,146,wet season (May 2011)
PetPub,S3,sapling,3,1,wood,MQ195,-27.89,44.103,0,0.168,263,wet season (May 2011)
PetPub,S4,sapling,4,1,wood,MQ259,-27.92,44.146,0.23,0.148,298,wet season (May 2011)
PetPub,S5,sapling,5,1,wood,MQ332,-28.53,46.642,-0.61,0.173,270,wet season (May 2011)
PlaCar,A1A,adult,1,1,wood,MQ011,-26.62,47.322,-3.38,0.186,254,wet season (May 2011)
PlaCar,A1b,adult,1b,1,wood,MQ074,-26.32,48.193,-3.43,0.205,235,wet season (May 2011)
PlaCar,A2,adult,2,1,wood,MQ100,-28.37,44.124,-1.34,0.343,129,wet season (May 2011)
PlaCar,A20,adult,20,1,wood,MQ197,-27.19,44.334,-0.63,0.29,153,wet season (May 2011)
PlaCar,A21,adult,21,1,wood,MQ271,-26.99,44.138,2.74,0.341,129,wet season (May 2011)
PlaCar,A3,adult,3,1,wood,MQ134,-27.99,43.832,-0.77,0.399,110,wet season (May 2011)
PlaCar,S10,sapling,10,1,wood,MQ038,-26.9,47.593,-2.49,0.263,181,wet season (May 2011)
PlaCar,S3,sapling,3,1,wood,MQ159,-28.2,46.352,-1.61,0.199,233,wet season (May 2011)
PlaCar,S4,sapling,4,1,wood,MQ235,-28.55,47.499,-2.18,0.217,219,wet season (May 2011)
PlaCar,S5,sapling,5,1,wood,MQ297,-28.05,43.262,-1.16,0.329,131,wet season (May 2011)
XanPar,A1,adult,1,1,wood,MQ012,-27.53,46.961,-1.47,0.258,182,wet season (May 2011)
XanPar,A2,adult,2,1,wood,MQ075,-27.13,46.366,-0.77,0.405,114,wet season (May 2011)
XanPar,A3,adult,3,1,wood,MQ135,-28.56,44.111,-0.18,0.161,274,wet season (May 2011)
XanPar,A4,adult,4,1,wood,MQ198,-27.92,43.468,-0.35,0.22,198,wet season (May 2011)
XanPar,A5,adult,5,1,wood,MQ272,-28.44,44.793,-2.07,0.183,245,wet season (May 2011)
XanPar,S10,sapling,10,1,wood,MQ236,-27.64,47.18,-1.37,0.317,149,wet season (May 2011)
XanPar,S2,sapling,2,1,wood,MQ039,-27.55,46.329,-1.55,0.196,236,wet season (May 2011)
XanPar,S20,sapling,20,1,wood,MQ298,-28.42,44.989,-1.31,0.487,92,wet season (May 2011)
XanPar,S3,sapling,3,1,wood,MQ160,-27.73,46.755,-0.93,0.192,244,wet season (May 2011)
XanPar,S4,sapling,4,1,wood,MQ111,-29.11,44.052,-0.65,0.261,169,wet season (May 2011)
