sample,tree,taxon,date_time,locality,locality_edited,longitude (deg),latitude (deg),collector,longitude_gda94,latitude_gda94,elevation (m),height_m,stem_density_g_per_ml,stem_mass_g,stem_volume_ml,bark_mass_g,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_wall_width_mm,fruit_diameter_mm,fruit_height_mm,seed_mass_mg,seed_mass_total_mg,number_of_seeds,leaf_notes,seed_notes,max_height_m,notes
BAX_MGN5 SM_1_stem,NA,Eucalyptus baxteri,NA,MGN5 SM,MGN5,142.4577,-37.4244,L.J. Pollock,NA,NA,NA,NA,0.73611465,11.557,15.7,0.748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_Site M_1_stem,NA,Eucalyptus baxteri,NA,Site M,Site M,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,0.5966,2.983,5,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,generic Grampians lat/lon
BAX_Site M_2_stem,NA,Eucalyptus baxteri,NA,Site M,Site M,142.4448611,-37.26125,L.J. Pollock,NA,NA,NA,NA,0.6232,1.558,2.5,0.394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,generic Grampians lat/lon
CAM_LBS1_1_stem,NA,Eucalyptus camaldulensis subsp. camaldulensis,NA,LBS1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,0.631272727,3.472,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CAM_LBS1_2_stem,NA,Eucalyptus camaldulensis subsp. camaldulensis,NA,LBS1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,0.531428571,3.72,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CAM_VV1_1_stem,NA,Eucalyptus camaldulensis subsp. camaldulensis,NA,VV1,VV1,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,0.5223,5.223,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CAM_VV1_2_stem,NA,Eucalyptus camaldulensis subsp. camaldulensis,NA,VV1,VV1,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,0.66425,2.657,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
CAM_DC1_1_stem,NA,Eucalyptus camaldulensis subsp. camaldulensis,NA,DC1,DC1,142.4113,-37.1779,L.J. Pollock,NA,NA,NA,NA,0.719333333,2.158,3,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
GON_Q7_1_stem,NA,Eucalyptus goniocalyx subsp. (goniocalyx|viridissima),NA,Q7,Q7,142.42393,-37.44278,L.J. Pollock,NA,NA,NA,NA,0.641698113,3.401,5.3,2.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
GON_Q7_2_stem,NA,Eucalyptus goniocalyx subsp. (goniocalyx|viridissima),NA,Q7,Q7,142.42393,-37.44278,L.J. Pollock,NA,NA,NA,NA,0.785,0.785,1,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
GON_Q7_3_stem,NA,Eucalyptus goniocalyx subsp. (goniocalyx|viridissima),NA,Q7,Q7,142.42393,-37.44278,L.J. Pollock,NA,NA,NA,NA,0.654545455,2.88,4.4,1.751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MEL_LBS1_1_stem,NA,Eucalyptus melliodora,NA,LBS1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,0.725363636,7.979,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MEL_LBS1_2_stem,NA,Eucalyptus melliodora,NA,LBS1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,0.783333333,2.35,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
MEL_LBS1_3_stem,NA,Eucalyptus melliodora,NA,LBS1,GLSB1,142.4164,-37.2045,L.J. Pollock,NA,NA,NA,NA,0.87275,3.491,4,1.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_MGS2_1_stem,NA,Eucalyptus obliqua,NA,MGS2,MGS2,142.4584,-37.4259,L.J. Pollock,NA,NA,NA,NA,0.720857143,10.092,14,3.437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_MGN4_1_stem,NA,Eucalyptus obliqua,NA,MGN4,MGN4,142.4578,-37.4236,L.J. Pollock,NA,NA,NA,NA,0.798111111,7.183,9,3.419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_HOR_1_stem,NA,Eucalyptus obliqua,NA,HOR,GHOR1,142.4607,-37.2531,L.J. Pollock,NA,NA,NA,NA,0.5344,2.672,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_HOR_2_stem,NA,Eucalyptus obliqua,NA,HOR,GHOR1,142.4607,-37.2531,L.J. Pollock,NA,NA,NA,NA,0.5228,2.614,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_DC5_1_stem,NA,Eucalyptus obliqua,NA,DC5,DC5,142.4593,-37.4361,L.J. Pollock,NA,NA,NA,NA,0.46225,1.849,4,0.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_DC5_2_stem,NA,Eucalyptus obliqua,NA,DC5,DC5,142.4593,-37.4361,L.J. Pollock,NA,NA,NA,NA,0.452,0.904,2,0.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OVA_campground_1_stem,NA,Eucalyptus ovata var. ovata,NA,campground,campground,142.522362,-37.130881,L.J. Pollock,NA,NA,NA,NA,0.549642857,1.539,2.8,0.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OVA_Q13_1_stem,NA,Eucalyptus ovata var. ovata,NA,Q13,Q13,142.3858,-37.47935,L.J. Pollock,NA,NA,NA,NA,0.628,3.14,5,1.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OVA_Q13_2_stem,NA,Eucalyptus ovata var. ovata,NA,Q13,Q13,142.3858,-37.47935,L.J. Pollock,NA,NA,NA,NA,0.5794,2.897,5,1.563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OVA_Q13_3_stem,NA,Eucalyptus ovata var. ovata,NA,Q13,Q13,142.3858,-37.47935,L.J. Pollock,NA,NA,NA,NA,0.632,1.58,2.5,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PAU_MT.Will_1_stem,NA,Eucalyptus pauciflora subsp. parvifructa,NA,MT.Will,GMTW1,142.5984,-37.3086,L.J. Pollock,NA,NA,NA,NA,0.58875,2.355,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
PAU_MT.Will_2_stem,NA,Eucalyptus pauciflora subsp. parvifructa,NA,MT.Will,GMTW1,142.5984,-37.3086,L.J. Pollock,NA,NA,NA,NA,0.5724,1.431,2.5,0.955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_CGS7_1_stem,NA,Eucalyptus sabulosa,NA,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,NA,NA,NA,NA,0.738636364,8.125,11,1.499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_VV1_1_stem,NA,Eucalyptus sabulosa,NA,VV1,VV1,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,0.556888889,5.012,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_VV1_2_stem,NA,Eucalyptus sabulosa,NA,VV1,VV1,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,0.604,4.832,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_VV1_3_stem,NA,Eucalyptus sabulosa,NA,VV1,VV1,142.4223,-37.2581,L.J. Pollock,NA,NA,NA,NA,0.798666667,2.396,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_HOR_1_stem,NA,Eucalyptus sabulosa,NA,HOR,GHOR1,142.4607,-37.2531,L.J. Pollock,NA,NA,NA,NA,0.648818182,7.137,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_HOR_2_stem,NA,Eucalyptus sabulosa,NA,HOR,GHOR1,142.4607,-37.2531,L.J. Pollock,NA,NA,NA,NA,0.6098,3.049,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_HEN1_1_stem,NA,Eucalyptus sabulosa,NA,HEN1,GHEN1,142.4833,-37.3001,L.J. Pollock,NA,NA,NA,NA,0.638,2.552,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_DC6_1_stem,NA,Eucalyptus sabulosa,NA,DC6,DC6,142.4016,-37.2888,L.J. Pollock,NA,NA,NA,NA,0.674375,2.158,3.2,1.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_Z31_1_stem,NA,Eucalyptus sabulosa,NA,Z31,Z31,142.5164,-37.3726,L.J. Pollock,NA,NA,NA,NA,0.555,3.885,7,1.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SAB_Z31_2_stem,NA,Eucalyptus sabulosa,NA,Z31,Z31,142.5164,-37.3726,L.J. Pollock,NA,NA,NA,NA,0.747058824,1.27,1.7,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SER_WOND 0.5_1_stem,NA,Eucalyptus serraensis,NA,WOND 0.5,GWOND1,142.5147,-37.1606,L.J. Pollock,NA,NA,NA,NA,1.001142857,3.504,3.5,1.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SER_WOND_1_stem,NA,Eucalyptus serraensis,NA,WOND,GWOND1,142.5147,-37.1606,L.J. Pollock,NA,NA,NA,NA,0.908333333,2.725,3,0.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SER_MT.Will_1_stem,NA,Eucalyptus serraensis,NA,MT.Will,GMTW1,142.5984,-37.3086,L.J. Pollock,NA,NA,NA,NA,0.610333333,3.662,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SER_MT.Will_2_stem,NA,Eucalyptus serraensis,NA,MT.Will,GMTW1,142.5984,-37.3086,L.J. Pollock,NA,NA,NA,NA,0.557647059,0.948,1.7,1.212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
SER_BARK1_1_stem,NA,Eucalyptus serraensis,NA,BARK1,BARK1,142.5051,-37.1524,L.J. Pollock,NA,NA,NA,NA,0.503,1.006,2,0.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MGN1_1_stem,NA,Eucalyptus verrucata,NA,MGN1,MGN1,142.459,-37.4224,L.J. Pollock,NA,NA,NA,NA,0.741846154,4.822,6.5,1.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MGS1_1_stem,NA,Eucalyptus verrucata,NA,MGS1,MGS1,142.4574,-37.4269,L.J. Pollock,NA,NA,NA,NA,0.791888889,7.127,9,2.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MTA4_1_stem,NA,Eucalyptus verrucata,NA,MTA4,MTA4,142.3565,-37.5923,L.J. Pollock,NA,NA,NA,NA,0.795375,6.363,8,2.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MTA2_1_stem,NA,Eucalyptus verrucata,NA,MTA2,MTA2,142.3564,-37.5925,L.J. Pollock,NA,NA,NA,NA,0.9115,1.823,2,0.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MTA1_1_stem,NA,Eucalyptus verrucata,NA,MTA1,MTA1,142.3565,-37.5926,L.J. Pollock,NA,NA,NA,NA,0.9145,1.829,2,1.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MTA3_1_stem,NA,Eucalyptus verrucata,NA,MTA3,MTA3,142.3565,-37.5923,L.J. Pollock,NA,NA,NA,NA,0.921,1.842,2,1.431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_THACK_1_stem,NA,Eucalyptus victoriana,NA,THACK,MT THACK,142.3295,-37.2916,L.J. Pollock,NA,NA,NA,NA,0.731,3.655,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_THACK_2_stem,NA,Eucalyptus victoriana,NA,THACK,MT THACK,142.3295,-37.2916,L.J. Pollock,NA,NA,NA,NA,0.581875,4.655,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_THACK_3_stem,NA,Eucalyptus victoriana,NA,THACK,MT THACK,142.3295,-37.2916,L.J. Pollock,NA,NA,NA,NA,0.654333333,1.963,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_THACK_4_stem,NA,Eucalyptus victoriana,NA,THACK,MT THACK,142.3295,-37.2916,L.J. Pollock,NA,NA,NA,NA,0.466952381,4.903,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VIC_THACK_5_stem,NA,Eucalyptus victoriana,NA,THACK,MT THACK,142.3295,-37.2916,L.J. Pollock,NA,NA,NA,NA,0.551125,4.409,8,2.597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WIL_MGN1_1_stem,NA,Eucalyptus falciformis,NA,MGN1,MGN1,142.459,-37.4224,L.J. Pollock,NA,NA,NA,NA,0.680545455,7.486,11,2.414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WIL_MGN12_1_stem,NA,Eucalyptus falciformis,NA,MGN12,MGN12,142.4574,-37.4269,L.J. Pollock,NA,NA,NA,NA,0.724666667,6.522,9,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WIL_MGN1 SM_1_stem,NA,Eucalyptus falciformis,NA,MGN1 SM,MGN1,142.459,-37.4224,L.J. Pollock,NA,NA,NA,NA,0.585333333,1.756,3,0.864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WIL_MGN3_1_stem,NA,Eucalyptus falciformis,NA,MGN3,MGN3,142.4581,-37.4228,L.J. Pollock,NA,NA,NA,NA,0.736375,5.891,8,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WIL_HUM10_1_stem,NA,Eucalyptus falciformis,NA,HUM10,GHUM10,142.3724,-37.3087,L.J. Pollock,NA,NA,NA,NA,0.558888889,5.03,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WIL_HUM10_2_stem,NA,Eucalyptus falciformis,NA,HUM10,GHUM10,142.3724,-37.3087,L.J. Pollock,NA,NA,NA,NA,0.7255,2.902,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_MGN4_NA_1_1_leaf,NA,Eucalyptus obliqua,2007-11-30T13:00:00Z,MGN4,MGN4,142.4578,-37.4236,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,6.358778626,41.65,0.655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_MGN4_NA_2_1_leaf,NA,Eucalyptus obliqua,2007-11-30T13:00:00Z,MGN4,MGN4,142.4578,-37.4236,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.1692607,64.29,1.542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_MGN4_NA_3_1_leaf,NA,Eucalyptus obliqua,2007-11-30T13:00:00Z,MGN4,MGN4,142.4578,-37.4236,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.358050847,50.58,0.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_MGN4_NA_4_1_leaf,NA,Eucalyptus obliqua,2007-11-30T13:00:00Z,MGN4,MGN4,142.4578,-37.4236,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.753309266,31.19,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_MGN4_NA_5_1_leaf,NA,Eucalyptus obliqua,2007-11-30T13:00:00Z,MGN4,MGN4,142.4578,-37.4236,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.482921084,46.55,0.849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
OBL_MGN4_NA_6_1_leaf,NA,Eucalyptus obliqua,2007-11-30T13:00:00Z,MGN4,MGN4,142.4578,-37.4236,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,6.55,26.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS1_1_1_1_leaf,BAX_CGS1_1_leaf,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS1,CGS1,142.3645,-37.572,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.850574713,14.88,0.522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS1_NA_2_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS1,CGS1,142.3645,-37.572,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.363802559,23.87,0.547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS1_NA_3_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS1,CGS1,142.3645,-37.572,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.15560166,15.21,0.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS1_NA_4_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS1,CGS1,142.3645,-37.572,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.227743271,20.42,0.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS1_NA_5_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS1,CGS1,142.3645,-37.572,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.455934195,29.41,0.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS1_NA_6_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS1,CGS1,142.3645,-37.572,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.114245416,29.17,0.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS7_NA_1_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.51552795,22.64,0.644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS7_NA_2_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.621681416,32.74,0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS7_NA_3_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.031294452,28.34,0.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS7_NA_4_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.041237113,23.52,0.582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS7_NA_5_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.818965517,35.44,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_CGS7_NA_6_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.333865815,27.13,0.626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN2_NA_1_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.274353877,21.5,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN2_NA_2_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.95890411,18.1,0.365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN2_NA_3_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,5.365030675,34.98,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN2_NA_4_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.104330709,20.85,0.508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN2_NA_5_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.42147923,43.64,0.987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
BAX_MGN2_NA_6_1_leaf,NA,Eucalyptus baxteri,2007-11-30T13:00:00Z,MGN2,MGN2,142.4587,-37.4224,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,4.096982759,38.02,0.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MGS5_4_1_1_leaf,VER_MGS5_4_leaf,Eucalyptus verrucata,2007-11-30T13:00:00Z,MGS5,MGS5,142.4574,-37.4269,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.897975709,35.79,1.235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MGS5_4_2_1_leaf,VER_MGS5_4_leaf,Eucalyptus verrucata,2007-11-30T13:00:00Z,MGS5,MGS5,142.4574,-37.4269,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.079646018,52.2,1.695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MGS5_4_3_1_leaf,VER_MGS5_4_leaf,Eucalyptus verrucata,2007-11-30T13:00:00Z,MGS5,MGS5,142.4574,-37.4269,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,3.033453423,58.94,1.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MGS5_4_4_1_leaf,VER_MGS5_4_leaf,Eucalyptus verrucata,2007-11-30T13:00:00Z,MGS5,MGS5,142.4574,-37.4269,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.579473206,28.4,1.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
VER_MGS5_4_5_1_leaf,VER_MGS5_4_leaf,Eucalyptus verrucata,2007-11-30T13:00:00Z,MGS5,MGS5,142.4574,-37.4269,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA,NA,2.924642464,53.17,1.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
