locality_consistent,site corrected,longitude corrected,latitude corrected,time corrected,,longitude (deg),latitude (deg),elevation (m),notes,date_time,collector,
DC10,,,,,,142.3943,-37.1769,252,,2008-12-11T06:09:20Z,L.J. Pollock,
DC11,,,,,,142.5085,-37.1835,514,,2008-12-11T07:06:05Z,L.J. Pollock,
DC5,,,,,,142.4016,-37.2888,250,,NA,L.J. Pollock,
DC6,,142.4016,-37.2888,12/9/2008 16:44,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
DC9,,,,,,142.4183,-37.1893,251,,2008-12-11T05:56:08Z,L.J. Pollock,
DX,D5,142.4593,-37.4361,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2009-03-31T13:00:00Z,L.J. Pollock,
E4ecotone,E4,142.4964667,-37.3559,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
eastWil,GMTW1,142.5191,-37.3285,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
FORT1A,,,,,,142.3038,-37.3091,867,,2008-12-10T05:16:27Z,L.J. Pollock,
FORT2,,,,,,142.3035,-37.3086,858,,2008-12-10T05:36:39Z,L.J. Pollock,
FORT3,,,,,,142.3032,-37.3083,855,,2008-12-10T05:45:56Z,L.J. Pollock,
GABC1,,,,,,142.5288,-37.3003,414,,2008-07-09T05:49:47Z,L.J. Pollock,
GABC2,,,,,,142.5284,-37.3006,406,,2008-07-09T06:04:14Z,L.J. Pollock,
GABC3,,,,,,142.5283,-37.301,409,,2008-07-09T06:17:44Z,L.J. Pollock,
GABC4,,,,,,142.5277,-37.3013,408,,2008-07-09T06:32:35Z,L.J. Pollock,
GBOR1,,,,,,142.4971,-37.0711,714,,2008-03-05T00:19:16Z,L.J. Pollock,
GBOR2,,,,,,142.4995,-37.0762,761,,2008-03-05T01:19:21Z,L.J. Pollock,
GBOR3,,,,,,142.502,-37.0816,799,,2008-03-05T02:03:17Z,L.J. Pollock,
GBOR4,,,,,,142.5027,-37.0857,757,,2008-03-05T02:28:37Z,L.J. Pollock,
GCHINA1,,,,,,142.4772,-37.1868,756,,2009-02-23T00:30:28Z,L.J. Pollock,
GCHINA2,,,,,,142.4757,-37.187,738,,2009-02-23T00:45:56Z,L.J. Pollock,
GCHINA3,,,,,,142.4751,-37.1871,736,,2009-02-23T01:04:57Z,L.J. Pollock,
GCHINA4,,,,,,142.4749,-37.1867,736,,2009-02-23T01:13:40Z,L.J. Pollock,
GCHINA5,,,,,,142.4779,-37.1861,722,,2009-02-23T01:49:32Z,L.J. Pollock,
GENH1,,,,,,142.4859,-37.0132,272,,2008-06-11T23:24:28Z,L.J. Pollock,
GENH10,,,,,,142.4308,-37.2161,239,,2008-06-12T01:51:46Z,L.J. Pollock,
GENH11,,,,,,142.4306,-37.2164,242,,2008-06-12T02:05:10Z,L.J. Pollock,
GENH12,,,,,,142.4307,-37.2173,239,,2008-06-12T02:23:54Z,L.J. Pollock,
GENH2,,,,,,142.4346,-37.2136,260,,2008-06-11T23:41:17Z,L.J. Pollock,
GENH3,,,,,,142.4341,-37.2136,258,,2008-06-11T23:51:10Z,L.J. Pollock,
GENH4,,,,,,142.4338,-37.2138,251,,2008-06-12T00:00:39Z,L.J. Pollock,
GENH5,,,,,,142.4338,-37.2138,260,,2008-06-12T00:22:35Z,L.J. Pollock,
GENH6,,,,,,142.4329,-37.214,243,,2008-06-12T00:44:05Z,L.J. Pollock,
GENH7,,,,,,142.4321,-37.2145,250,,2008-06-12T01:08:27Z,L.J. Pollock,
GENH8,,,,,,142.4315,-37.2149,247,,2008-06-12T01:24:00Z,L.J. Pollock,
GENH9,,,,,,142.4311,-37.2154,241,,2008-06-12T01:40:08Z,L.J. Pollock,
GFYA1,,,,,,142.5355,-37.2582,244,,2008-06-19T22:54:56Z,L.J. Pollock,
GFYA2,,,,,,142.5347,-37.2577,365,,2008-06-19T23:11:36Z,L.J. Pollock,
GFYA3,,,,,,142.5341,-37.2578,396,,2008-06-19T23:31:02Z,L.J. Pollock,
GFYA4,,,,,,142.5337,-37.2578,413,,2008-06-19T23:52:11Z,L.J. Pollock,
GFYA5,,,,,,142.5334,-37.2583,408,,2008-06-20T00:07:18Z,L.J. Pollock,
GFYA6,,,,,,142.5326,-37.2587,409,,2008-06-20T00:25:15Z,L.J. Pollock,
GGCR1,,,,,,142.3964,-37.3019,238,,2008-06-17T03:35:55Z,L.J. Pollock,
GGCR2,,,,,,142.3967,-37.3016,246,,2008-06-17T04:00:08Z,L.J. Pollock,
GGCR3,,,,,,142.3972,-37.301,254,,2008-06-17T04:22:18Z,L.J. Pollock,
GGCR4,,,,,,142.3978,-37.3009,257,,2008-06-17T04:46:34Z,L.J. Pollock,
GGCR5,,,,,,142.3976,-37.3006,253,,2008-06-17T05:05:49Z,L.J. Pollock,
GGCR6,,,,,,142.3977,-37.3002,252,,2008-06-17T05:29:11Z,L.J. Pollock,
GGCR7,,,,,,142.3972,-37.2998,247,,2008-06-17T05:45:52Z,L.J. Pollock,
GGCR8,,,,,,142.3972,-37.2992,248,,2008-06-17T06:13:06Z,L.J. Pollock,
GGLE1,,,,,,142.4398,-37.1515,379,,2008-03-05T04:12:49Z,L.J. Pollock,
GGLE2,,,,,,142.4396,-37.1511,393,,2008-03-05T04:32:24Z,L.J. Pollock,
GGLE3,,,,,,142.4436,-37.1615,286,,2008-03-05T04:46:43Z,L.J. Pollock,
GGOR1,,,,,,142.4257,-36.926,289,,2008-06-11T00:58:50Z,L.J. Pollock,
GGOR2,,,,,,142.4263,-36.9261,297,,2008-06-11T01:44:06Z,L.J. Pollock,
GGOR3,,,,,,142.4262,-36.9256,289,,2008-06-11T02:37:16Z,L.J. Pollock,
GGOR4,,,,,,142.4266,-36.9254,258,,2008-06-11T03:00:17Z,L.J. Pollock,
GGOR5,,,,,,142.4272,-36.925,247,,2008-06-11T03:25:02Z,L.J. Pollock,
GGOR6,,,,,,142.4277,-36.9246,233,,2008-06-11T03:42:22Z,L.J. Pollock,
GGOR7,,,,,,142.4277,-36.9246,207,,2008-06-11T03:55:00Z,L.J. Pollock,
GHAM1,,,,,,142.5012,-37.2737,639,,2008-05-05T04:19:22Z,L.J. Pollock,
GHAM2,,,,,,142.5006,-37.2738,617,,2008-05-05T04:59:24Z,L.J. Pollock,
GHAM3,,,,,,142.5001,-37.2738,590,,2008-05-05T05:07:53Z,L.J. Pollock,
GHAM4,,,,,,142.4991,-37.2737,546,,2008-05-05T05:29:52Z,L.J. Pollock,
GHAM5,,,,,,142.498,-37.2739,499,,2008-05-05T05:41:17Z,L.J. Pollock,
GHAM6,,,,,,142.497,-37.2738,449,,2008-05-05T05:58:42Z,L.J. Pollock,
GHAM7,,,,,,142.4954,-37.2739,382,,2008-05-05T06:24:42Z,L.J. Pollock,
GHAM8,,,,,,142.4944,-37.2739,353,,2008-05-05T06:45:49Z,L.J. Pollock,
GHEN1,,,,,,142.4833,-37.3001,314,,2008-05-04T23:41:32Z,L.J. Pollock,
GHEN2,,,,,,142.4829,-37.3,305,,2008-05-05T00:01:12Z,L.J. Pollock,
GHEN3,,,,,,142.4824,-37.2997,299,,2008-05-05T00:14:50Z,L.J. Pollock,
GHEN4,,,,,,142.4817,-37.2996,297,,2008-05-05T00:39:03Z,L.J. Pollock,
GHEN5,,,,,,142.4936,-37.2802,297,,2008-05-05T01:38:55Z,L.J. Pollock,
GHEN6,,,,,,142.4943,-37.2802,305,,2008-05-05T01:59:55Z,L.J. Pollock,
GHEN7,,,,,,142.4931,-37.2802,295,,2008-05-05T02:21:09Z,L.J. Pollock,
GHEN8,,,,,,142.4926,-37.2801,297,,2008-05-05T02:35:39Z,L.J. Pollock,
GHOR1,,,,,,142.4607,-37.2531,259,,2008-05-07T02:26:48Z,L.J. Pollock,
GHOR10,,,,,,142.4627,-37.2535,250,,2008-05-07T05:11:57Z,L.J. Pollock,
GHOR11,,,,,,142.4632,-37.2537,252,,2008-05-07T05:25:30Z,L.J. Pollock,
GHOR12,,,,,,142.4637,-37.2536,264,,2008-05-07T05:45:16Z,L.J. Pollock,
GHOR2,,,,,,142.4604,-37.2533,254,,2008-05-07T02:41:38Z,L.J. Pollock,
GHOR3,,,,,,142.4604,-37.2533,249,,NA,L.J. Pollock,
GHOR4,,,,,,142.4593,-37.2536,246,,2008-05-07T03:22:46Z,L.J. Pollock,
GHOR5,,,,,,142.4619,-37.2536,241,,2008-05-07T04:05:25Z,L.J. Pollock,
GHOR6,,,,,,142.4619,-37.254,256,,2008-05-07T04:21:21Z,L.J. Pollock,
GHOR7,,,,,,142.462,-37.2543,250,,2008-05-07T04:32:34Z,L.J. Pollock,
GHOR8,,,,,,142.4621,-37.2547,242,,2008-05-07T04:47:40Z,L.J. Pollock,
GHOR9,,,,,,142.4624,-37.2537,250,,2008-05-07T04:59:25Z,L.J. Pollock,
GHUM1,,,,,,142.3772,-37.3102,378,,2008-06-13T01:41:36Z,L.J. Pollock,
GHUM10,,,,,,142.3724,-37.3087,287,,2008-06-13T03:49:47Z,L.J. Pollock,
GHUM11,,,,,,142.3715,-37.3085,261,,2008-06-13T04:48:02Z,L.J. Pollock,
GHUM12,,,,,,142.3715,-37.3085,259,,2008-06-13T05:30:00Z,L.J. Pollock,
GHUM13,,,,,,142.3709,-37.308,257,,2008-06-13T06:08:45Z,L.J. Pollock,
GHUM2,,,,,,142.3766,-37.31,374,,2008-06-13T01:54:14Z,L.J. Pollock,
GHUM3,,,,,,142.3766,-37.31,360,,2008-06-14T02:00:00Z,L.J. Pollock,
GHUM4,,,,,,142.3756,-37.3096,345,,2008-06-13T02:22:04Z,L.J. Pollock,
GHUM5,,,,,,142.375,-37.3096,337,,2008-06-13T02:34:24Z,L.J. Pollock,
GHUM6,,,,,,142.375,-37.3096,320,,2008-06-13T02:45:00Z,L.J. Pollock,
GHUM7,,,,,,142.375,-37.3096,310,,2008-06-13T02:50:00Z,L.J. Pollock,
GHUM8,,,,,,142.3737,-37.3091,303,,2008-06-13T02:56:36Z,L.J. Pollock,
GHUM9,,,,,,142.3733,-37.3089,280,,2008-06-13T03:17:21Z,L.J. Pollock,
GLBD1,,,,,,142.5445,-37.21,318,,2008-06-17T22:43:20Z,L.J. Pollock,
GLBD2,,,,,,142.5438,-37.2098,286,,2008-06-17T23:01:52Z,L.J. Pollock,
GLBD3,,,,,,142.5436,-37.2096,308,,2008-06-17T23:21:30Z,L.J. Pollock,
GLBD4,,,,,,142.5432,-37.2089,314,,2008-06-17T23:41:02Z,L.J. Pollock,
GLBD5,,,,,,142.5425,-37.2086,323,,2008-06-17T23:59:23Z,L.J. Pollock,
GLBD6,,,,,,142.5417,-37.2079,356,,2008-06-18T00:14:45Z,L.J. Pollock,
GLBD7,,,,,,142.5411,-37.2072,391,,2008-06-18T00:45:29Z,L.J. Pollock,
GLEN,GLEN1,142.4053,-37.2319,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2008-06-30T14:00:00Z,L.J. Pollock,
GLEN1,,,,,,142.4053,-37.2319,222,,2008-06-12T05:16:52Z,L.J. Pollock,
GLEN2,,,,,,142.4058,-37.232,222,,2008-06-12T05:29:38Z,L.J. Pollock,
GLEN3,,,,,,142.4066,-37.2322,225,,2008-06-12T05:32:16Z,L.J. Pollock,
GLEN4,,,,,,142.4075,-37.2324,221,,2008-06-12T05:44:57Z,L.J. Pollock,
GLEN5,,,,,,142.4083,-37.2324,218,,2008-06-12T05:58:36Z,L.J. Pollock,
GLEN6,,,,,,142.4083,-37.2324,218,,2008-06-12T06:10:00Z,L.J. Pollock,
GLENELG,GGLE1,142.4398,-37.1515,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
Glenelg (near canal),GGLE1,142.4398,-37.1515,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
Glenelg RR,GGLE1,142.4398,-37.1515,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,
GlenelgRRT1,GGLE1,142.4398,-37.1515,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
GLSB1,,,,,,142.4164,-37.2045,231,,2008-06-16T23:38:14Z,L.J. Pollock,
GLSB2,,,,,,142.4173,-37.2043,223,,2008-06-17T00:02:57Z,L.J. Pollock,
GLSB3,,,,,,142.4178,-37.2054,236,,2008-06-17T00:26:53Z,L.J. Pollock,
GLSB4,,,,,,142.4179,-37.2058,242,,2008-06-17T00:43:39Z,L.J. Pollock,
GLSB5,,,,,,142.4185,-37.2065,253,,2008-06-17T00:55:58Z,L.J. Pollock,
GMNT1,,,,,,142.5191,-37.3285,369,,2008-05-07T23:51:26Z,L.J. Pollock,
GMNT10,,,,,,142.5227,-37.3299,382,,2008-05-08T01:33:35Z,L.J. Pollock,
GMNT12,,,,,,142.5233,-37.3302,387,,2008-05-08T02:19:42Z,L.J. Pollock,
GMNT13,,,,,,142.5237,-37.3303,391,,2008-05-08T02:40:20Z,L.J. Pollock,
GMNT14,,,,,,142.5242,-37.3304,403,,2008-05-08T02:57:17Z,L.J. Pollock,
GMNT15,,,,,,142.5247,-37.3307,393,,2008-05-08T03:11:35Z,L.J. Pollock,
GMNT16,,,,,,142.5183,-37.3281,371,,2008-05-08T04:43:59Z,L.J. Pollock,
GMNT17,,,,,,142.518,-37.328,364,,2008-05-08T04:56:08Z,L.J. Pollock,
GMNT18,,,,,,142.5177,-37.3279,366,,2008-05-08T05:10:47Z,L.J. Pollock,
GMNT19,,,,,,142.5177,-37.3279,367,,NA,L.J. Pollock,
GMNT2,,,,,,142.5195,-37.3286,379,,2008-05-08T00:05:17Z,L.J. Pollock,
GMNT20,,,,,,142.5169,-37.3276,370,,2008-05-08T05:52:15Z,L.J. Pollock,
GMNT21,,,,,,142.5166,-37.3273,366,,2008-05-08T06:10:58Z,L.J. Pollock,
GMNT22,,,,,,142.5166,-37.3273,370,,NA,L.J. Pollock,
GMNT3,,,,,,142.5199,-37.3288,376,,2008-05-08T00:14:47Z,L.J. Pollock,
GMNT4,,,,,,142.5204,-37.329,379,,2008-05-08T00:18:15Z,L.J. Pollock,
GMNT5,,,,,,142.5208,-37.3292,372,,2008-05-08T00:29:37Z,L.J. Pollock,
GMNT6,,,,,,142.5213,-37.3293,375,,2008-05-08T00:40:54Z,L.J. Pollock,
GMNT7,,,,,,142.5216,-37.3296,383,,2008-05-08T00:55:57Z,L.J. Pollock,
GMNT8,,,,,,142.5219,-37.3298,377,,2008-05-08T01:04:18Z,L.J. Pollock,
GMNT9,,,,,,142.5224,-37.3299,382,,2008-05-08T01:11:03Z,L.J. Pollock,
GMOR1,,,,,,142.4145,-37.1846,265,,2008-05-05T23:18:25Z,L.J. Pollock,
GMOR10,,,,,,142.4122,-37.1798,252,,2008-05-06T03:34:53Z,L.J. Pollock,
GMOR2,,,,,,142.4142,-37.184,268,,2008-05-05T23:41:43Z,L.J. Pollock,
GMOR3,,,,,,142.414,-37.1835,266,,2008-05-06T00:04:33Z,L.J. Pollock,
GMOR4,,,,,,142.4141,-37.1829,270,,2008-05-06T00:27:36Z,L.J. Pollock,
GMOR5,,,,,,142.4138,-37.1823,260,,2008-05-06T01:13:44Z,L.J. Pollock,
GMOR6,,,,,,142.4132,-37.1817,262,,2008-05-06T02:06:07Z,L.J. Pollock,
GMOR7,,,,,,142.4127,-37.1814,261,,2008-05-06T02:30:42Z,L.J. Pollock,
GMOR8R,,,,,,142.4127,-37.1812,250,,2008-05-06T02:53:19Z,L.J. Pollock,
GMOR9,,,,,,142.4125,-37.1803,246,,2008-05-06T03:15:37Z,L.J. Pollock,
GMT11,,,,,,142.523,-37.33,387,,2008-05-08T01:52:07Z,L.J. Pollock,
GMTHOL1,,,,,,142.3818,-36.8925,388,,2008-03-06T00:00:34Z,L.J. Pollock,
GMTHOL2,,,,,,142.3829,-36.8918,336,,2008-03-06T00:23:52Z,L.J. Pollock,
GMTHOL3,,,,,,142.3829,-36.8918,320,,NA,L.J. Pollock,
GMTHOL4,,,,,,142.3831,-36.891,296,,2008-03-06T01:54:47Z,L.J. Pollock,
GMTHOL5,,,,,,142.3831,-36.8898,264,,2008-03-06T02:39:59Z,L.J. Pollock,
GMTW1,,,,,,142.5984,-37.3086,1108,,2008-03-04T01:36:21Z,L.J. Pollock,
GMTW2,,,,,,142.5993,-37.3077,1093,,2008-03-04T02:13:48Z,L.J. Pollock,
GMTW3,,,,,,142.6004,-37.306,1101,,2008-03-04T02:28:58Z,L.J. Pollock,
GMTW4,,,,,,142.6009,-37.3051,1119,,2008-03-04T02:46:42Z,L.J. Pollock,
GMTW5,,,,,,142.6042,-37.2963,1132,,2008-03-04T03:55:30Z,L.J. Pollock,
GMTW6,,,,,,142.6034,-37.2958,1142,,2008-03-04T04:33:31Z,L.J. Pollock,
GMTW7,,,,,,142.6031,-37.2956,1146,,2008-03-04T04:48:38Z,L.J. Pollock,
GMTW8,,,,,,142.6027,-37.2951,1148,,2008-03-04T05:01:28Z,L.J. Pollock,
GNLS1,,,,,,142.4276,-37.2089,206,,2008-05-06T04:50:32Z,L.J. Pollock,
GNLS2,,,,,,142.4266,-37.2094,249,,2008-05-06T05:05:45Z,L.J. Pollock,
GNLS3,,,,,,142.4267,-37.2097,218,,2008-05-06T05:32:14Z,L.J. Pollock,
GNLS4,,,,,,142.4261,-37.2092,245,,2008-05-06T06:13:55Z,L.J. Pollock,
GNLS5,,,,,,142.4246,-37.2089,253,,2008-05-06T06:22:12Z,L.J. Pollock,
GNLS6,,,,,,142.4241,-37.2089,240,,2008-05-06T06:36:43Z,L.J. Pollock,
GNLS7,,,,,,142.4237,-37.209,247,,2008-05-06T06:42:51Z,L.J. Pollock,
GNLS8,,,,,,142.4232,-37.2086,239,,2008-05-06T06:51:21Z,L.J. Pollock,
gold,,142.55845,-37.328133,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,2009-03-31T13:00:00Z,L.J. Pollock,
GOR,GGOR1,142.4257,-36.926,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
GOR1,GGOR1,142.4257,-36.926,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
GORmid,GGOR4,142.4266,-36.9254,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
GPAD1,,,,,,142.3963,-37.1779,274,,2008-03-05T05:35:01Z,L.J. Pollock,
GPAD2,,,,,,142.3952,-37.1773,260,,2008-03-05T06:11:52Z,L.J. Pollock,
GPAD3,,,,,,142.3949,-37.1776,224,,2008-03-05T06:32:49Z,L.J. Pollock,
GPS14,,,,,,142.42479,-37.173719,255,,2007-09-29T01:38:10Z,L.J. Pollock,
GPS6,,,,,,142.561584,-37.261133,692,,2007-09-28T06:51:23Z,L.J. Pollock,
GRIFFITH,,142.241769,-37.401557,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
Griffith(top of N peak serlike),GRIFFITH,142.241769,-37.401557,,,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,
GRIN1,,,,,,142.4004,-37.4907,537,,2007-12-10T05:02:04Z,L.J. Pollock,
GRIN2,,,,,,142.3999,-37.4906,530,,2007-12-10T05:24:23Z,L.J. Pollock,
GRIN3,,,,,,142.3994,-37.4908,499,,2007-12-10T06:20:05Z,L.J. Pollock,
GRIN4,,,,,,142.3994,-37.4908,470,,2007-12-10T06:49:06Z,L.J. Pollock,
GROC1,,,,,,142.4855,-37.014,431,,2008-06-11T06:22:56Z,L.J. Pollock,
GROC2,,,,,,142.4852,-37.0137,417,,2008-06-11T06:31:36Z,L.J. Pollock,
GROC3,,,,,,142.4852,-37.0134,398,,2008-06-11T06:52:08Z,L.J. Pollock,
GROC4,,,,,,142.4858,-37.0134,379,,2008-06-11T07:11:00Z,L.J. Pollock,
GROC5,,,,,,142.4859,-37.0132,357,,2008-06-11T07:22:30Z,L.J. Pollock,
GROS1,,,,,,142.3723,-37.17,248,,2008-06-19T01:36:13Z,L.J. Pollock,
GROS2,,,,,,142.3715,-37.1701,242,,2008-06-19T01:54:06Z,L.J. Pollock,
GROS3,,,,,,142.3709,-37.17,241,,2008-06-19T02:10:18Z,L.J. Pollock,
GROS4,,,,,,142.3703,-37.1699,243,,2008-06-19T02:18:41Z,L.J. Pollock,
GROS5,,,,,,142.3696,-37.1701,240,,2008-06-19T02:31:04Z,L.J. Pollock,
GRUB1,,,,,,142.5417,-37.1973,350,,2008-05-08T23:33:22Z,L.J. Pollock,
GRUB2,,,,,,142.5413,-37.1976,295,,2008-05-08T23:42:26Z,L.J. Pollock,
GRUB3,,,,,,142.541,-37.1979,300,,2008-05-08T23:54:31Z,L.J. Pollock,
GRUB4,,,,,,142.541,-37.1979,170,,NA,L.J. Pollock,
GRUB5,,,,,,142.541,-37.1979,143,,2008-05-09T00:26:42Z,L.J. Pollock,
GTHA1,,,,,,142.3304,-37.2931,975,,2008-06-18T05:30:00Z,L.J. Pollock,
GTIP1,,,,,,142.5022,-37.3475,412,,2008-07-08T23:58:40Z,L.J. Pollock,
GTIP10,,,,,,142.5026,-37.3469,329,,2008-07-09T02:13:03Z,L.J. Pollock,
GTIP11,,,,,,142.5031,-37.3468,328,,2008-07-09T02:27:27Z,L.J. Pollock,
GTIP12,,,,,,142.5035,-37.3467,331,,2008-07-09T02:43:05Z,L.J. Pollock,
GTIP13,,,,,,142.504,-37.3465,332,,2008-07-09T02:55:00Z,L.J. Pollock,
GTIP14,,,,,,142.5045,-37.3466,333,,2008-07-09T03:09:39Z,L.J. Pollock,
GTIP2,,,,,,142.5003,-37.3473,410,,2008-07-09T00:22:16Z,L.J. Pollock,
GTIP3,,,,,,142.5004,-37.3474,390,,2008-07-09T00:30:40Z,L.J. Pollock,
GTIP4,,,,,,142.5008,-37.3473,370,,2008-07-09T00:45:13Z,L.J. Pollock,
GTIP5,,,,,,142.5013,-37.3472,370,,2008-07-09T01:02:38Z,L.J. Pollock,
GTIP6,,,,,,142.5016,-37.3471,368,,2008-07-09T01:17:54Z,L.J. Pollock,
GTIP7,,,,,,142.5017,-37.3471,352,,2008-07-09T01:36:26Z,L.J. Pollock,
GTIP8,,,,,,142.5019,-37.3471,341,,2008-07-09T01:47:04Z,L.J. Pollock,
GTIP9,,,,,,142.5023,-37.347,322,,2008-07-09T01:59:25Z,L.J. Pollock,
GVICA,,,,,,142.344792,-37.276878,858,,2008-06-18T23:09:15Z,L.J. Pollock,
GVV5,,,,,,142.4205,-37.259,229,,2008-05-07T00:54:23Z,L.J. Pollock,
GVVG1,,,,,,142.4237,-37.2572,216,,2008-05-06T23:58:52Z,L.J. Pollock,
GVVG2,,,,,,142.4231,-37.2574,233,,2008-05-07T00:05:44Z,L.J. Pollock,
GVVG6,,,,,,142.4197,-37.2592,230,,2008-05-07T01:03:54Z,L.J. Pollock,
GVVG7,,,,,,142.4186,-37.2591,228,,2008-05-07T01:16:03Z,L.J. Pollock,
