IDENT,longitude (deg),latitude (deg),elevation (m),notes,date_time,collector,PLOTID,elev,PerSlope,aspect,Soil Depth class,Rock cover %,Soil Type
Q13,142.3858,-37.47935,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GMTW1,142.5984,-37.3086,NA,,NA,L.J. Pollock,38,1093,8,8.65255,10,80,sandy loam
GHEN1,142.4833,-37.3001,NA,,NA,L.J. Pollock,61,323,13,260.920104,25,5,loamy sand
DC6,142.4016,-37.2888,NA,,NA,L.J. Pollock,359,225,2,297.584136,100,0,sandy clay loam
Z31,142.5164,-37.3726,NA,,NA,L.J. Pollock,415,324,6,184.019531,100,0,loamy sand
GWOND1,142.5147,-37.1606,NA,,NA,L.J. Pollock,34,590,3,42.168235,10,90,sandy loam
BARK1,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,348,475,36,298.977874,5,95,sandy clay loam
MGN1,142.459,-37.4224,NA,,NA,L.J. Pollock,6,509,40,275.410125,15,80,sandy loam
MGS1,142.4574,-37.4269,NA,,NA,L.J. Pollock,1,427,34,72.355957,10,60,sandy loam
MTA4,142.3565,-37.5923,NA,,NA,L.J. Pollock,33,528,29,68.656532,10,80,sandy loam
MTA2,142.3564,-37.5925,NA,,NA,L.J. Pollock,31,545,29,73.880714,10,80,sandy loam
MTA1,142.3565,-37.5926,NA,,NA,L.J. Pollock,30,536,54,74.53469,10,40,sandy loam
MTA3,142.3565,-37.5923,NA,,NA,L.J. Pollock,32,528,26,68.656532,5,80,sandy loam
MT THACK,142.3295,-37.2916,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MGN12,142.4574,-37.4269,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MGN3,142.4581,-37.4228,NA,,NA,L.J. Pollock,8,529,43,346.013092,20,40,sandy loam
GHUM10,142.3724,-37.3087,NA,,NA,L.J. Pollock,180,255,14,321.391632,25,0,sandy loam
MainRD,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Lake1,142.547808,-37.212438,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Lake2,142.547808,-37.212438,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Lake3,142.547808,-37.212438,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Lake4,142.547808,-37.212438,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Lake5,142.547808,-37.212438,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT_TH1,142.3295,-37.2916,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT_TH2,142.3295,-37.2916,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT_TH3,142.3295,-37.2916,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MtLub_Stop2,142.511743,-37.269657,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GRIN2,142.3999,-37.4906,NA,,2007-11-30T13:00:00Z,L.J. Pollock,19,436,45,258.616546,5,85,sandy loam
PIN_0.5,142.514331,-37.160098,NA,,2007-11-30T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
NA,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
LaGhn,142.426446,-36.917014,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GGLE1,142.4398,-37.1515,NA,,2007-08-31T14:00:00Z,L.J. Pollock,50,427,14,171.878189,25,0,sandy loam
VV,142.4223,-37.2581,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MGAP,142.4581,-37.4228,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
M Gappost fire,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Reeds lookout,142.447647,-37.148007,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
SITE21,142.481762,-37.417372,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
SITE22,142.481762,-37.417372,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
SITE23,142.481762,-37.417372,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
SITE24,142.481762,-37.417372,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
SITE25,142.481762,-37.417372,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
SITE26,142.481762,-37.417372,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
SITE27,142.481762,-37.417372,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
SITE28,142.481762,-37.417372,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
M GapIntermediate,142.4448611,-37.26125,NA,generic Grampians lat/lon,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT ZERO,142.370096,-36.885586000000004,NA,,2007-08-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GBOR3,142.502,-37.0816,NA,,2008-03-31T13:00:00Z,L.J. Pollock,48,738,27,94.022277,25,20,sandy loam
MT HOL,142.381343,-36.887848,NA,,2008-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GHAM1,142.5012,-37.2737,NA,,2008-03-31T13:00:00Z,L.J. Pollock,69,633,24,199.107589,10,95,sandy loam
GHAM3,142.5001,-37.2738,NA,,2008-03-31T13:00:00Z,L.J. Pollock,71,583,45,238.388717,15,90,sandy loam
GHAM5,142.498,-37.2739,NA,,2008-03-31T13:00:00Z,L.J. Pollock,73,507,43,323.812591,15,80,sandy loam
GMOR1,142.4145,-37.1846,NA,,2008-03-31T13:00:00Z,L.J. Pollock,77,251,4,339.348236,100,0,loamy sand
MT HOL1,142.381343,-36.887848,NA,,2008-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT HOL2,142.381343,-36.887848,NA,,2008-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT HOL3,142.381343,-36.887848,NA,,2008-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT HOL4,142.381343,-36.887848,NA,,2008-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT HOL5,142.381343,-36.887848,NA,,2008-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GMOR3,142.414,-37.1835,NA,,2008-03-31T13:00:00Z,L.J. Pollock,79,249,2,359.178527,100,0,loamy sand
GHEN7,142.4931,-37.2802,NA,,2008-03-31T13:00:00Z,L.J. Pollock,67,312,5,223.921188,100,0,loamy sand
GMNT1,142.5191,-37.3285,NA,,2008-03-31T13:00:00Z,L.J. Pollock,114,370,4,275.87149,100,0,sandy loam
GROC1,142.4855,-37.014,NA,,2008-06-30T14:00:00Z,L.J. Pollock,148,299,44,29.499303,25,90,loamy sand
GHUM1,142.3772,-37.3102,NA,,2008-06-30T14:00:00Z,L.J. Pollock,171,336,35,40.359596,10,80,sandy loam
GHUM5,142.375,-37.3096,NA,,2008-06-30T14:00:00Z,L.J. Pollock,175,294,28,345.626831,15,70,sandy loam
GHUM6,142.375,-37.3096,NA,,2008-06-30T14:00:00Z,L.J. Pollock,176,294,28,345.626831,70,40,sandy loam
GLEN1,142.4053,-37.2319,NA,,2008-06-30T14:00:00Z,L.J. Pollock,165,217,0,232.232772,100,0,loamy sand
ZER6,142.370096,-36.885586000000004,NA,,2008-07-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GHUM2,142.3766,-37.31,NA,,2008-07-31T14:00:00Z,L.J. Pollock,172,316,31,356.028594,5,95,sandy loam
THAK1,142.3295,-37.2916,NA,,2008-07-31T14:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GVICA,142.344792,-37.276878,NA,,2008-07-31T14:00:00Z,L.J. Pollock,426,791,53,22.588748,5,95,loamy sand
TOP,142.4448611,-37.26125,NA,generic Grampians lat/lon,2009-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
COPR2,142.4115,-36.9259,NA,,2009-03-31T13:00:00Z,L.J. Pollock,272,342,7,345.383209,100,0,sandy loam
gold,142.55845,-37.328133,NA,,2009-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
D5,142.4593,-37.4361,NA,,2009-03-31T13:00:00Z,L.J. Pollock,308,315,10,114.448524,100,0,sandy clay loam
VVrd,142.4211,-37.2586,NA,,2009-03-31T13:00:00Z,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Rosea Ldg,142.518972,-37.148174,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Z21,142.4304,-37.2138,NA,,NA,L.J. Pollock,405,247,4,239.744659,100,0,sandy clay
STOP11,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
HGAP,142.544549,-37.189412,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
STOP1,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
COPR3,142.4112,-36.9264,NA,,NA,L.J. Pollock,273,344,6,342.044616,100,0,sandy clay loam
Phillip's Island Tk,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
STOP3,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Trip1,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
N of LANG,142.521443,-37.316286,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Z5,142.3819,-37.1524,NA,,NA,L.J. Pollock,387,260,18,180.550582,100,0,sandy loam
MT ZERO Trip 1,142.370096,-36.885586000000004,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
A2,142.3599,-37.5903,NA,,NA,L.J. Pollock,289,394,24,82.235557,25,40,sandy loam
Black Range,142.736294,-37.14129,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GRIFFITH,142.241769,-37.401557,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
TBGecotone,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
THAK,142.3295,-37.2916,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
LANG stop2,142.521443,-37.316286,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT LUB summit,142.511743,-37.269657,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
ROS1,142.5065,-37.197,NA,,NA,L.J. Pollock,367,796,20,20.516403,10,95,sandy loam
MT LUB,142.511743,-37.269657,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MT DIF,142.435565,-37.017898,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Z10,142.4737,-37.3468,NA,,NA,L.J. Pollock,393,279,3,310.879089,100,0,sandy clay loam
STOP20,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GGOR1,142.4257,-36.926,NA,,NA,L.J. Pollock,141,228,8,76.200698,10,90,loamy sand
E4,142.4964667,-37.3559,NA,,NA,L.J. Pollock,312,481,63,95.72071,10,80,sandy loam
Book,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
S25,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MGAPbottom,142.4581,-37.4228,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
GGOR4,142.4266,-36.9254,NA,,NA,L.J. Pollock,144,218,7,54.149986,15,75,loamy sand
xr,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
X2,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
ZEROT1,142.370096,-36.885586000000004,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
ZERO10,142.370096,-36.885586000000004,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
COPR,142.4123,-36.9254,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
ZERO,142.370096,-36.885586000000004,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
LAKE,142.547808,-37.212438,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MGAP T1,142.4581,-37.4228,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
T1,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
VIC RANGE,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
MGAP B,142.4581,-37.4228,NA,,NA,L.J. Pollock,NA,NA,NA,NA,NA,NA,NA
Grampians,142.4448611,-37.26125,NA,generic Grampians lat/lon,NA,NA,NA,NA,NA,NA,NA,NA,NA
