sample,tree,taxon,date_time,locality,locality_edited,longitude_gda94_edited,latitude_gda94_edited,collector,longitude_gda94,latitude_gda94,altitude_m,height_m,stem_density_g_per_ml,stem_mass_g,stem_volume_ml,bark_mass_g,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_wall_width_mm,fruit_diameter_mm,fruit_height_mm,seed_mass_mg,seed_mass_total_mg,number_of_seeds,leaf_notes,seed_notes
BAX_TBGS1_1_height,BAX_TBGS1_1_height,Eucalyptus baxteri,2007-12-06T02:29:43Z,TBGS1,TBGS1,142.4958,-37.3567,L.J. Pollock,142.4958,-37.3567,530,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_TBGS2_1_height,BAX_TBGS2_1_height,Eucalyptus baxteri,2007-12-06T02:52:21Z,TBGS2,TBGS2,142.4942,-37.3589,L.J. Pollock,142.4942,-37.3589,506,8.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_TBGS3_1_height,OBL_TBGS3_1_height,Eucalyptus obliqua,2007-12-06T03:17:28Z,TBGS3,TBGS3,142.4947,-37.3575,L.J. Pollock,142.4947,-37.3575,468,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_TBGN1_1_height,VER_TBGN1_1_height,Eucalyptus verrucata,2007-12-05T23:01:32Z,TBGN1,TBGN1,142.4965,-37.3557,L.J. Pollock,142.4965,-37.3557,524,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_TBGN2_1_height,ALA_TBGN2_1_height,Eucalyptus alaticaulis,2007-12-05T23:35:03Z,TBGN2,TBGN2,142.4965,-37.3559,L.J. Pollock,142.4965,-37.3559,512,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_TBGN3_1_height,OBL_TBGN3_1_height,Eucalyptus obliqua,2007-12-06T00:19:22Z,TBGN3,TBGN3,142.4959,-37.3564,L.J. Pollock,142.4959,-37.3564,479,25.18277659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL_TBGN4_1_height,WIL_TBGN4_1_height,Eucalyptus falciformis,2007-12-06T00:51:56Z,TBGN4,TBGN4,142.4958,-37.3567,L.J. Pollock,142.4958,-37.3567,476,10.43975764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_GRIN1_1_height,VER_GRIN1_1_height,Eucalyptus verrucata,2007-12-10T05:02:04Z,GRIN1,GRIN1,142.4004,-37.4907,L.J. Pollock,142.4004,-37.4907,537,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_GRIN2_1_height,VER_GRIN2_1_height,Eucalyptus verrucata,2007-12-10T05:24:23Z,GRIN2,GRIN2,142.3999,-37.4906,L.J. Pollock,142.3999,-37.4906,530,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GRIN3_1_height,ALA_GRIN3_1_height,Eucalyptus alaticaulis,2007-12-10T06:20:05Z,GRIN3,GRIN3,142.3994,-37.4908,L.J. Pollock,142.3994,-37.4908,499,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL_GRIN4_1_height,WIL_GRIN4_1_height,Eucalyptus falciformis,2007-12-10T06:49:06Z,GRIN4,GRIN4,142.3994,-37.4908,L.J. Pollock,142.3994,-37.4908,470,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_CGS1_1_height,BAX_CGS1_1_height,Eucalyptus baxteri,2007-12-07T00:05:37Z,CGS1,CGS1,142.3645,-37.572,L.J. Pollock,142.3645,-37.572,501,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_CGS2_1_height,BAX_CGS2_1_height,Eucalyptus baxteri,2007-12-07T01:19:04Z,CGS2,CGS2,142.365,-37.5718,L.J. Pollock,142.365,-37.5718,465,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_CGS3_1_height,OBL_CGS3_1_height,Eucalyptus obliqua,2007-12-07T01:22:02Z,CGS3,CGS3,142.3652,-37.5716,L.J. Pollock,142.3652,-37.5716,454,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_CGS4_1_height,OBL_CGS4_1_height,Eucalyptus obliqua,2007-12-07T01:48:16Z,CGS4,CGS4,142.3656,-37.5714,L.J. Pollock,142.3656,-37.5714,433,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_CGS5_1_height,OBL_CGS5_1_height,Eucalyptus obliqua,2007-12-07T02:18:23Z,CGS5,CGS5,142.3666,-37.5709,L.J. Pollock,142.3666,-37.5709,410,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_CGS6_1_height,BAX_CGS6_1_height,Eucalyptus baxteri,2007-12-07T02:55:54Z,CGS6,CGS6,142.3671,-37.5696,L.J. Pollock,142.3671,-37.5696,399,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_CGS7_1_height,BAX_CGS7_1_height,Eucalyptus baxteri,2007-12-07T03:18:47Z,CGS7,CGS7,142.3673,-37.5679,L.J. Pollock,142.3673,-37.5679,391,16.42370208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_CGS8_1_height,BAX_CGS8_1_height,Eucalyptus baxteri,2007-12-07T03:56:23Z,CGS8,CGS8,142.3673,-37.5676,L.J. Pollock,142.3673,-37.5676,389,8.644280096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_MTA1_1_height,VER_MTA1_1_height,Eucalyptus verrucata,2007-12-09T23:14:40Z,MTA1,MTA1,142.3565,-37.5926,L.J. Pollock,142.3565,-37.5926,706,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_MTA2_1_height,VER_MTA2_1_height,Eucalyptus verrucata,2007-12-09T23:42:04Z,MTA2,MTA2,142.3564,-37.5925,L.J. Pollock,142.3564,-37.5925,705,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_MTA3_1_height,VER_MTA3_1_height,Eucalyptus verrucata,2007-12-10T00:18:41Z,MTA3,MTA3,142.3565,-37.5923,L.J. Pollock,142.3565,-37.5923,703,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VER_MTA4_1_height,VER_MTA4_1_height,Eucalyptus verrucata,2007-12-10T00:54:17Z,MTA4,MTA4,142.3565,-37.5923,L.J. Pollock,142.3565,-37.5923,700,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_GWOND1_1_height,SER_GWOND1_1_height,Eucalyptus serraensis,2008-03-03T06:33:17Z,GWOND1,GWOND1,142.5147,-37.1606,L.J. Pollock,142.5147,-37.1606,697,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_GWOND2_1_height,SER_GWOND2_1_height,Eucalyptus serraensis,2008-03-03T07:31:23Z,GWOND2,GWOND2,142.5138,-37.1609,L.J. Pollock,142.5138,-37.1609,690,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GWOND3_1_height,ALA_GWOND3_1_height,Eucalyptus alaticaulis,2008-03-03T07:36:42Z,GWOND3,GWOND3,142.5135,-37.1613,L.J. Pollock,142.5135,-37.1613,676,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GWOND4_1_height,ALA_GWOND4_1_height,Eucalyptus alaticaulis,2008-03-03T08:09:27Z,GWOND4,GWOND4,142.5121,-37.1633,L.J. Pollock,142.5121,-37.1633,686,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_GMTW1_1_height,SER_GMTW1_1_height,Eucalyptus serraensis,2008-03-04T01:36:21Z,GMTW1,GMTW1,142.5984,-37.3086,L.J. Pollock,142.5984,-37.3086,1108,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_GMTW2_1_height,SER_GMTW2_1_height,Eucalyptus serraensis,2008-03-04T02:13:48Z,GMTW2,GMTW2,142.5993,-37.3077,L.J. Pollock,142.5993,-37.3077,1093,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_GMTW3_1_height,SER_GMTW3_1_height,Eucalyptus serraensis,2008-03-04T02:28:58Z,GMTW3,GMTW3,142.6004,-37.306,L.J. Pollock,142.6004,-37.306,1101,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SER_GMTW4_1_height,SER_GMTW4_1_height,Eucalyptus serraensis,2008-03-04T02:46:42Z,GMTW4,GMTW4,142.6009,-37.3051,L.J. Pollock,142.6009,-37.3051,1119,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW5_1_height,PAU_GMTW5_1_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T03:55:30Z,GMTW5,GMTW5,142.6042,-37.2963,L.J. Pollock,142.6042,-37.2963,1132,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW5_2_height,PAU_GMTW5_2_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T03:55:30Z,GMTW5,GMTW5,142.6042,-37.2963,L.J. Pollock,142.6042,-37.2963,1132,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW5_3_height,PAU_GMTW5_3_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T03:55:30Z,GMTW5,GMTW5,142.6042,-37.2963,L.J. Pollock,142.6042,-37.2963,1132,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW6_1_height,PAU_GMTW6_1_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T04:33:31Z,GMTW6,GMTW6,142.6034,-37.2958,L.J. Pollock,142.6034,-37.2958,1142,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW7_1_height,PAU_GMTW7_1_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T04:48:38Z,GMTW7,GMTW7,142.6031,-37.2956,L.J. Pollock,142.6031,-37.2956,1146,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW7_2_height,PAU_GMTW7_2_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T04:48:38Z,GMTW7,GMTW7,142.6031,-37.2956,L.J. Pollock,142.6031,-37.2956,1146,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW7_3_height,PAU_GMTW7_3_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T04:48:38Z,GMTW7,GMTW7,142.6031,-37.2956,L.J. Pollock,142.6031,-37.2956,1146,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW7_4_height,PAU_GMTW7_4_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T04:48:38Z,GMTW7,GMTW7,142.6031,-37.2956,L.J. Pollock,142.6031,-37.2956,1146,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW8_1_height,PAU_GMTW8_1_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T05:01:28Z,GMTW8,GMTW8,142.6027,-37.2951,L.J. Pollock,142.6027,-37.2951,1148,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PAU_GMTW8_2_height,PAU_GMTW8_2_height,Eucalyptus pauciflora subsp. parvifructa,2008-03-04T05:01:28Z,GMTW8,GMTW8,142.6027,-37.2951,L.J. Pollock,142.6027,-37.2951,1148,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GBOR1_1_height,BAX_GBOR1_1_height,Eucalyptus baxteri,2008-03-05T00:19:16Z,GBOR1,GBOR1,142.4971,-37.0711,L.J. Pollock,142.4971,-37.0711,714,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GBOR2_1_height,ALA_GBOR2_1_height,Eucalyptus alaticaulis,2008-03-05T01:19:21Z,GBOR2,GBOR2,142.4995,-37.0762,L.J. Pollock,142.4995,-37.0762,761,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GBOR3_1_height,ALA_GBOR3_1_height,Eucalyptus alaticaulis,2008-03-05T02:03:17Z,GBOR3,GBOR3,142.502,-37.0816,L.J. Pollock,142.502,-37.0816,799,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GBOR4_1_height,ALA_GBOR4_1_height,Eucalyptus alaticaulis,2008-03-05T02:28:37Z,GBOR4,GBOR4,142.5027,-37.0857,L.J. Pollock,142.5027,-37.0857,757,9.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GGLE1_1_height,ALA_GGLE1_1_height,Eucalyptus alaticaulis,2008-03-05T04:12:49Z,GGLE1,GGLE1,142.4398,-37.1515,L.J. Pollock,142.4398,-37.1515,379,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GGLE2_1_height,ALA_GGLE2_1_height,Eucalyptus alaticaulis,2008-03-05T04:32:24Z,GGLE2,GGLE2,142.4396,-37.1511,L.J. Pollock,142.4396,-37.1511,393,12.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GGLE3_1_height,ALA_GGLE3_1_height,Eucalyptus alaticaulis,2008-03-05T04:46:43Z,GGLE3,GGLE3,142.4436,-37.1615,L.J. Pollock,142.4436,-37.1615,286,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GPAD1_1_height,BAX_GPAD1_1_height,Eucalyptus baxteri,2008-03-05T05:35:01Z,GPAD1,GPAD1,142.3963,-37.1779,L.J. Pollock,142.3963,-37.1779,274,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAM_GPAD2_1_height,CAM_GPAD2_1_height,Eucalyptus camaldulensis subsp. camaldulensis,2008-03-05T06:11:52Z,GPAD2,GPAD2,142.3952,-37.1773,L.J. Pollock,142.3952,-37.1773,260,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAB_GPAD3_1_height,SAB_GPAD3_1_height,Eucalyptus sabulosa,2008-03-05T06:32:49Z,GPAD3,GPAD3,142.3949,-37.1776,L.J. Pollock,142.3949,-37.1776,224,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GON_GMTHOL1_1_height,GON_GMTHOL1_1_height,Eucalyptus goniocalyx subsp. (goniocalyx|viridissima),2008-03-06T00:00:34Z,GMTHOL1,GMTHOL1,142.3818,-36.8925,L.J. Pollock,142.3818,-36.8925,388,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GON_GMTHOL2_1_height,GON_GMTHOL2_1_height,Eucalyptus goniocalyx subsp. (goniocalyx|viridissima),2008-03-06T00:23:52Z,GMTHOL2,GMTHOL2,142.3829,-36.8918,L.J. Pollock,142.3829,-36.8918,336,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GON_GMTHOL3_1_height,GON_GMTHOL3_1_height,Eucalyptus goniocalyx subsp. (goniocalyx|viridissima),NA,GMTHOL3,GMTHOL3,142.3829,-36.8918,L.J. Pollock,142.3829,-36.8918,320,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GON_GMTHOL4_1_height,GON_GMTHOL4_1_height,Eucalyptus goniocalyx subsp. (goniocalyx|viridissima),2008-03-06T01:54:47Z,GMTHOL4,GMTHOL4,142.3831,-36.891,L.J. Pollock,142.3831,-36.891,296,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GMTHOL5_1_height,BAX_GMTHOL5_1_height,Eucalyptus baxteri,2008-03-06T02:39:59Z,GMTHOL5,GMTHOL5,142.3831,-36.8898,L.J. Pollock,142.3831,-36.8898,264,14.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RAD_GHEN1_1_height,RAD_GHEN1_1_height,Eucalyptus radiata subsp. radiata,2008-05-04T23:41:32Z,GHEN1,GHEN1,142.4833,-37.3001,L.J. Pollock,142.4833,-37.3001,314,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OBL_GHEN2_1_height,OBL_GHEN2_1_height,Eucalyptus obliqua,2008-05-05T00:01:12Z,GHEN2,GHEN2,142.4829,-37.3,L.J. Pollock,142.4829,-37.3,305,5.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RAD_GHEN3_1_height,RAD_GHEN3_1_height,Eucalyptus radiata subsp. radiata,2008-05-05T00:14:50Z,GHEN3,GHEN3,142.4824,-37.2997,L.J. Pollock,142.4824,-37.2997,299,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RAD_GHEN4_1_height,RAD_GHEN4_1_height,Eucalyptus radiata subsp. radiata,2008-05-05T00:39:03Z,GHEN4,GHEN4,142.4817,-37.2996,L.J. Pollock,142.4817,-37.2996,297,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RAD_GHEN5_1_height,RAD_GHEN5_1_height,Eucalyptus radiata subsp. radiata,2008-05-05T01:38:55Z,GHEN5,GHEN5,142.4936,-37.2802,L.J. Pollock,142.4936,-37.2802,297,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RAD_GHEN6_1_height,RAD_GHEN6_1_height,Eucalyptus radiata subsp. radiata,2008-05-05T01:59:55Z,GHEN6,GHEN6,142.4943,-37.2802,L.J. Pollock,142.4943,-37.2802,305,8.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL_GHEN7_1_height,WIL_GHEN7_1_height,Eucalyptus falciformis,2008-05-05T02:21:09Z,GHEN7,GHEN7,142.4931,-37.2802,L.J. Pollock,142.4931,-37.2802,295,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RAD_GHEN8_1_height,RAD_GHEN8_1_height,Eucalyptus radiata subsp. radiata,2008-05-05T02:35:39Z,GHEN8,GHEN8,142.4926,-37.2801,L.J. Pollock,142.4926,-37.2801,297,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GHAM1_1_height,BAX_GHAM1_1_height,Eucalyptus baxteri,2008-05-05T04:19:22Z,GHAM1,GHAM1,142.5012,-37.2737,L.J. Pollock,142.5012,-37.2737,639,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GHAM2_1_height,BAX_GHAM2_1_height,Eucalyptus baxteri,2008-05-05T04:59:24Z,GHAM2,GHAM2,142.5006,-37.2738,L.J. Pollock,142.5006,-37.2738,617,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GHAM3_1_height,BAX_GHAM3_1_height,Eucalyptus baxteri,2008-05-05T05:07:53Z,GHAM3,GHAM3,142.5001,-37.2738,L.J. Pollock,142.5001,-37.2738,590,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GHAM4_1_height,BAX_GHAM4_1_height,Eucalyptus baxteri,2008-05-05T05:29:52Z,GHAM4,GHAM4,142.4991,-37.2737,L.J. Pollock,142.4991,-37.2737,546,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GHAM5_1_height,BAX_GHAM5_1_height,Eucalyptus baxteri,2008-05-05T05:41:17Z,GHAM5,GHAM5,142.498,-37.2739,L.J. Pollock,142.498,-37.2739,499,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GHAM6_1_height,BAX_GHAM6_1_height,Eucalyptus baxteri,2008-05-05T05:58:42Z,GHAM6,GHAM6,142.497,-37.2738,L.J. Pollock,142.497,-37.2738,449,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GHAM7_1_height,ALA_GHAM7_1_height,Eucalyptus alaticaulis,2008-05-05T06:24:42Z,GHAM7,GHAM7,142.4954,-37.2739,L.J. Pollock,142.4954,-37.2739,382,7.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALA_GHAM8_1_height,ALA_GHAM8_1_height,Eucalyptus alaticaulis,2008-05-05T06:45:49Z,GHAM8,GHAM8,142.4944,-37.2739,L.J. Pollock,142.4944,-37.2739,353,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAX_GMOR1_1_height,BAX_GMOR1_1_height,Eucalyptus baxteri,2008-05-05T23:18:25Z,GMOR1,GMOR1,142.4145,-37.1846,L.J. Pollock,142.4145,-37.1846,265,6.478272266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEL_GMOR2_1_height,MEL_GMOR2_1_height,Eucalyptus melliodora,2008-05-05T23:41:43Z,GMOR2,GMOR2,142.4142,-37.184,L.J. Pollock,142.4142,-37.184,268,7.535540501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SAB_GMOR3_1_height,SAB_GMOR3_1_height,Eucalyptus sabulosa,2008-05-06T00:04:33Z,GMOR3,GMOR3,142.414,-37.1835,L.J. Pollock,142.414,-37.1835,266,7.812856265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEL_GMOR4_1_height,MEL_GMOR4_1_height,Eucalyptus melliodora,2008-05-06T00:27:36Z,GMOR4,GMOR4,142.4141,-37.1829,L.J. Pollock,142.4141,-37.1829,270,17.87630389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VIMvim_GMOR5_1_height,VIMvim_GMOR5_1_height,Eucalyptus viminalis subsp. viminalis,2008-05-06T01:13:44Z,GMOR5,GMOR5,142.4138,-37.1823,L.J. Pollock,142.4138,-37.1823,260,20.71060628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OVA_GMOR6_1_height,OVA_GMOR6_1_height,Eucalyptus ovata var. ovata,2008-05-06T02:06:07Z,GMOR6,GMOR6,142.4132,-37.1817,L.J. Pollock,142.4132,-37.1817,262,28.75921018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
