taxon_name,ParGenTax,ParTribeTax,ParSubfamTax,ParFamTax,ParOrdTax,ParCladeTax,reference,url,pollination,wind_water_animal_pollination,wind_pollination_explicitly_tested,pollination_text,pollination_data_source,syndrome_or_system,confidence_score,pollination_reward,nectar,scent,pollination_reward_text,pollination_reward_data_source,rank_scored_at,entered_by,entry_date
Grubbia rosmarinifolia,Grubbia,NA,NA,Grubbiaceae,Cornales,Asteridae,iNaturalist. (2022). Grubbia rosmarinifolia. iNaturalist. https://www.inaturalist.org/taxa/578525-Grubbia-rosmarinifolia/browse_photos?quality_grade=any&term_id=12&term_value_id=13,https://www.inaturalist.org/taxa/578525-Grubbia-rosmarinifolia/browse_photos?quality_grade=any&term_id=12&term_value_id=13,insect,animal,no,,guessed from the illustration,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,,,species,Ruby Stephens,24/3/2022
Grubbia tomentosa,Grubbia,NA,NA,Grubbiaceae,Cornales,Asteridae,iNaturalist. (2022). Grubbia tomentosa. iNaturalist. https://www.inaturalist.org/taxa/570586-Grubbia-tomentosa/browse_photos?quality_grade=any&term_id=12&term_value_id=13,https://www.inaturalist.org/taxa/570586-Grubbia-tomentosa/browse_photos?quality_grade=any&term_id=12&term_value_id=13,insect,animal,no,,guessed from the illustration,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,,,species,Ruby Stephens,31/3/2022
Hydrangea macrophylla,Hydrangea,NA,Hydrangeoideae,Hydrangeaceae,Cornales,Asteridae,"Wong Sato, A. A., & Kato, M. (2019). Pollination-related functions of decorative sterile flowers of nine Japanese Hydrangea species (Hydrangeaceae). Botany, 97(10), 521–528. https://doi.org/10.1139/cjb-2018-0208",http://cdnsciencepub.com/doi/full/10.1139/cjb-2018-0208,insect,animal,no,"""recorded insect visits to the intact and treated inflorescences...Decorative flowers appeared to act as landing-sites for three species for which flowers represented a high proportion of the inflorescence surface area (i.e., H. scandens, H. luteovenosa, and H. macrophylla)...decorative flowers increase pollinator visitation rates, and this effect was most prominent for H. luteovenosa, H. scandens, and H. macrophylla""",interpreted from the text,system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",pollen,no,no,"""The main floral reward from visiting Hydrangea spp. was pollen. Nectar was only detected in fertile flowers of H. paniculata and H. petiolaris, with sugar concentrations of 50.0% and 31.2%, respectively. The nectar-probing be- haviour of some insects on H. scandens and H. luteovenosa flowers suggests that fertile flowers of these plant spe- cies also secrete nectar (Supplementary data, Fig. S11). Inflorescences of H. hirta, H. paniculata, and H. petiolaris had sweet odours.""",interpreted from the text,species,Ruby Stephens,31/3/2022
Fendlera rupicola,Fendlera,NA,Jamesioideae,Hydrangeaceae,Cornales,Asteridae,iNaturalist. (2022). Fendlera rupicola. iNaturalist. https://www.inaturalist.org/observations/27362728,https://www.inaturalist.org/observations/27362728,insect,animal,no,,seen explicitly on the illustration,system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,,,,,,species,Ruby Stephens,31/3/2022
Hydrostachys angustisecta,Hydrostachys,NA,NA,Hydrostachyaceae,Cornales,Asteridae,"Erbar, C., & Leins, P. (2004). Hydrostachyaceae. In K. Kubitzki (Ed.), Flowering Plants · Dicotyledons: Celastrales, Oxalidales, Rosales, Cornales, Ericales (pp. 216–220). Springer. https://doi.org/10.1007/978-3-662-07257-8_23",https://doi.org/10.1007/978-3-662-07257-8_23,wind,wind,no,"""Flowering sets in when the water level drops. The flowers elevated above the water surface are wind-pollinated (flowers apetalous and stylodia with a long, papillate stigmatic area). Although the yellow anthers in the male spikes and the gay red or (seldom) yellow stylodia in the female spikes are somewhat striking, visit by insects was never observed (Rauh and Jiiger-Ziirn 1966).""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",,,,,,genus,Ruby Stephens,31/3/2022
Hydrostachys multifida,Hydrostachys,NA,NA,Hydrostachyaceae,Cornales,Asteridae,"Erbar, C., & Leins, P. (2004). Hydrostachyaceae. In K. Kubitzki (Ed.), Flowering Plants · Dicotyledons: Celastrales, Oxalidales, Rosales, Cornales, Ericales (pp. 216–220). Springer. https://doi.org/10.1007/978-3-662-07257-8_23",https://doi.org/10.1007/978-3-662-07257-8_23,wind,wind,no,"""Fig. 72. Hydrostachyaceae. Hydrostachys multifida. A Male flower in the axil of its bract, adaxial view. B Part of female inflorescence; the flowers covered by bracts, only stylodia are visible. CAdaxial view of adult female flower with subtending bract. D Side view of female flower with silky hairs on lateral flank. (Orig.)...""",guessed from the illustration,syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",,,,,,species,Ruby Stephens,31/3/2022
Eucnide bartonioides,Eucnide,NA,NA,Loasaceae,Cornales,Asteridae,"Thompson, H. J., & Ernst, W. R. (1967). Floral biology and systematics of Eucnide (Loasaceae). Journal of the Arnold Arboretum, 48(1), 56–88.",http://www.jstor.org/stable/43781586,moth,animal,no,"""In E. bartonioides the flowers are large, with the yellow petals usually 3 cm. long and spreading away from the exserted stamens. The flowers first open in the late afternoon, at which time the already receptive stigma exceeds the anthers by a few millimeters so that in completely undisturbed flowers there is no pollina- tion and no seeds are formed. The anthers are sufficiently close to the stigma, however, so that even a slight jarring of a flower at anthesis re- sults in some self-pollination. These observations on plants growing in the greenhouse indicate that in natural populations outcrossing would be encouraged by large insect visitors that would first touch the extended stigma as they approached the flower. The same pollinator would cause selfing by bending the stigma back into the anthers, as well as by visiting different flowers of the same plant. Thus, in natural populations the in- breeding-outbreeding balance must lie well toward the inbreeding ex- treme. Although we have not observed pollination of E. bartonioides in natural populations, we can make a reasonable prediction about its polli- nator, since a model is available in the flowers of Mentzelia laevicaulis (sect. Bartonia) which are very similar in general conformation, size, color, and opening time. We know that M. laevicaulis is pollinated by hawkmoths (Sphingidae), and the similarity of the flowers suggest that E. bartonioides also is hawkmoth pollinated.""",explicit from the text (described as such),syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",,,,,,species,Ruby Stephens,31/3/2022
Mentzelia lindleyi,Mentzelia,NA,NA,Loasaceae,Cornales,Asteridae,iNaturalist. (2022). Mentzelia lindleyi. iNaturalist. https://www.inaturalist.org/observations/83104725,https://www.inaturalist.org/observations/83104725,bee,animal,no,,seen explicitly on the illustration,system,4 - Pollination system based on general observations of pollinator visitation and informed by syndrome,,,,,,species,Ruby Stephens,31/3/2022
Diplopanax stachyanthus,Diplopanax,NA,NA,Nyssaceae,Cornales,Asteridae,"Averyanov, L. V., & Hiep, N. T. (2002). Diplopanax vietnamensis, a New Species of Nyssaceae from Vietnam: One More Living Representative of the Tertiary Flora of Eurasia. Novon, 12(4), 433–436. https://doi.org/10.2307/3393114",http://www.jstor.org/stable/3393114,insect,animal,no,"""rhachis of inflorescence glabrous or sparsely pubescent in basal portion; mature flower buds before opening about 3 mm wide; flowers egg-yellow, about 8 mm diam.; disc of the flower without prominent bosses and ± smooth; style glabrous""",interpreted from the text,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",,,,,,species,Ruby Stephens,31/3/2022
Nyssa ogeche,Nyssa,NA,Nyssoideae,Nyssaceae,Cornales,Asteridae,efloras.org. (n.d.). Nyssa ogeche. Flora of North America. http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250101788,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250101788,bee,animal,no,"""Inflorescences: peduncle 1.5–2 cm, densely hairy; staminate (1–)2–5-flowered, bisexual and pistillate 1–2-flowered. Staminate pedicels absent. Flowers: ovary hairy...Thousands of hectares of Nyssa ogeche have been planted in bee farms along the lower Apalachicola River in Florida and around swamps where it grows naturally (R. M. Burns and B. H. Honkala 1990, vol. 2). Bees collect nectar from the trees to make tupelo honey..""",interpreted from the text,syndrome,"2 - Pollination syndrome based on interpretations of images or illustrations and text, and similar species, still relatively confident",nectar,yes,,"""Bees collect nectar from the trees to make tupelo honey.""",explicit from the text (described as such),species,Ruby Stephens,31/3/2022
Actinidia chinensis,Actinidia,NA,NA,Actinidiaceae,Ericales,Asteridae,"Goodwin, R., McBrydie, H., & Taylor, M. (2013). Wind and honey bee pollination of kiwifruit (Actinidia chinensis ‘HORT16A’). New Zealand Journal of Botany, 51(3), 229–240. https://doi.org/10.1080/0028825X.2013.806934",https://doi.org/10.1080/0028825X.2013.806934,wind and insect,wind&animal,yes,"""Excluding honey bees (Apis mellifera L.) significantly (p<0.05) reduced fruit set and seed number. Flowers exposed to wind pollination for 5 days produced fruit with an average of 110 seeds...In ‘Hayward’, pollen is transferred through wind (Intoppa & Piazza 1990; Costa et al. 1993; Vaissiere et al. 1993) and insect foraging (Palmer- Jones & Clinch 1974; Clinch 1984; Goodwin 1987)...",explicit from the text (described as such),system,"6 - Pollination system, wind pollination explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators tested",pollen,no,,"""There was no indication of nectar production...Both staminate and pistillate flowers produce pollen, but neither produce nectar and so are less attractive to insect visitors than flowers that produce pollen and nectar (Clinch 1990).""",explicit from the text (described as such),species,Ruby Stephens,31/3/2022
Saurauia kegeliana,Saurauia,NA,NA,Actinidiaceae,Ericales,Asteridae,"Haber, W. A., & Bawa, K. S. (1984). Evolution of Dioecy in Saurauia (Dilleniaceae). Annals of the Missouri Botanical Garden, 71(1), 289–293. https://doi.org/10.2307/2399072",http://www.jstor.org/stable/2399072,bee,animal,no,"""The flowers are pollinated by medium-sized bees (especially Melipona, Meliponinae) that collect pollen from the stamens. Neither flower morph secretes nectar...Pollen appears to be the only food reward offered to the pollinators""",explicit from the text (described as such),system,"5 - Pollination system but wind pollination not explicitly tested for, pollination rewards clear, pollination efficiency of different pollinators not explicitly tested but pollinators observed transporting pollen and effecting pollination",pollen,no,,"""The flowers are pollinated by medium-sized bees (especially Melipona, Meliponinae) that collect pollen from the stamens. Neither flower morph secretes nectar...Pollen appears to be the only food reward offered to the pollinators""",explicit from the text (described as such),genus,Ruby Stephens,31/3/2022
Impatiens repens,Impatiens,NA,NA,Balsaminaceae,Ericales,Asteridae,"Kew Science. (2022). Impatiens repens Moon ex Wight. Plants of the World Online. https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77144974-1 ; Fischer, E. (2004). Balsaminaceae. In K. Kubitzki (Ed.), Flowering Plants · Dicotyledons: Celastrales, Oxalidales, Rosales, Cornales, Ericales (pp. 20–25). Springer. https://doi.org/10.1007/978-3-662-07257-8_4",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:77144974-1,insect,animal,no,"""As far as floral diversity is concerned, Impatiens is the dicot counterpart of orchids. As in Orchidaceae, the evolutionary trend towards specialized pollination has implied abundant speciation and often accounts for high rates of endemism in different regions. Due to the strong expression of protandry, most Impatiens are functionally monoecious. During the male phase, whenthe flower just opens, the stamens are fused by their anther walls to form a ""brush"" which completely covers the pistil. The upper filaments are longer than the lower ones, and the anthers project downwards and can ""brush"" the pollinator's back or head and transmit the pollen upon the next pollinator visiting the flower. During this stage, the stigmas are non- receptive and not exposed to come into contact with the pollinator. At the end of the male phase, the stamens are shed as a single unit and the stigmas become receptive. Extra-floral nectaries, usually in the form of stipitate glands, are often present and may reward ""safety guards"" (usually ants) protecting the flowers from damage by non-pollinating animals. The pollination biology and breeding systems of the majority of species have not yet been studied, and most available studies have been conducted with the temperate species I. capensis and I. pallida. Published reports and personal field observations suggest the following animals as possible pollinators: honeybees (e.g. I. austrotanzanica, I. gomphophylla), bumblebees, solitary bees, butterflies (e.g. I. walleriana, I. hoehneliana), moths, hawkmoths (e.g. I. teitensis), flys (e.g. I. elatostemoides), and sunbirds (e.g. I. niamniamensis, I. keilii, I. paucidentata) (Arisumi 1974, 1980; Beck et al. 1974; Rust 1977, 1979; Kato 1988; Randall and Hilu 1990; Wilson 1995; Hurlbert et al. 1996).""",guessed from the illustration,syndrome,"3 - Pollination syndrome but adaptations for animal pollination (nectar, scent, staminodes, sticky pollen) or else wind pollination (very reduced perianth, feathery stigma, exposed anthers with dry powdery pollen) or abiotic pollination clearly described",nectar,yes,,"""Usually, each flower has only two reduced lateral sepals and one petal-like lower sepal, which is modified into a nectary-tipped spur""",interpreted from the text,species,Ruby Stephens,31/3/2022
