vegetation_type,Identification Source,Scientific_name,Life_form,Fire_response,Seed_storage,Management_intervention_expert_panel
Lowland Grassy Woodlands,TEC species list,Acacia mearnsii,T,OS,S,
Lowland Grassy Woodlands,TEC species list,Ajuga australis,H,OS RS,UN,
Lowland Grassy Woodlands,TEC species list,Calotis lappulacea,H,OS RS,UN,
Lowland Grassy Woodlands,TEC species list,Cassinia aculeata,S,OS,S,
Lowland Grassy Woodlands,TEC species list,Chenopodium carinatum,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Cullen microcephalum,H,OS,S,
Lowland Grassy Woodlands,TEC species list,Cynoglossum australe,H,OS RS,UN,
Lowland Grassy Woodlands,TEC species list,Dodonaea viscosa subsp. angustifolia,S,OS RS,UN,
Lowland Grassy Woodlands,TEC species list,Dysphania pumilio,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Einadia hastata,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Einadia nutans,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Einadia trigonos,H,OS,S,
Lowland Grassy Woodlands,TEC species list,Galium leiocarpum,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Lagenophora stipitata,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Lobelia purpurascens,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Ozothamnus argophyllus,S,OS,T,
Lowland Grassy Woodlands,TEC species list,Polygala japonica,H,OS,T,
Lowland Grassy Woodlands,TEC species list,Ranunculus lappaceus,H,OS,T,
Lowland Grassy Woodlands,TEC species list,Senecio hispidulus var. hispidulus,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Senecio quadridentatus,H,OS,T,
Lowland Grassy Woodlands,TEC species list,Sigesbeckia orientalis subsp. orientalis,H,OS,S,
Lowland Grassy Woodlands,TEC species list,Solanum prinophyllum,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Solanum pungetium,H,OS,UN,
Lowland Grassy Woodlands,TEC species list,Sorghum leiocladum,H,OS RS,UN,
Lowland Grassy Woodlands,Fire affected species,Acacia trachyphloia,S,OS,UN,Yes
Lowland Grassy Woodlands,Fire affected species,Boronia subulifolia,S,OS,UN,Yes
Lowland Grassy Woodlands,Fire affected species,Eucalyptus fraxinoides,T,OS,C,Yes
Lowland Grassy Woodlands,Fire affected species,Zieria caducibracteata,S/T,OS,UN,Yes
Silurian Limestone Pomaderris Shrubland,TEC species list,Asplenium trichomanes subsp. quadrivalens,H,OS,UN,
Silurian Limestone Pomaderris Shrubland,TEC species list,Irenepharsus magicus,H,OS,UN,
Silurian Limestone Pomaderris Shrubland,TEC species list,Isoetopsis graminifolia,H,OS,UN,
Silurian Limestone Pomaderris Shrubland,TEC species list,Pimelea flava,S,OS,UN,
Silurian Limestone Pomaderris Shrubland,TEC species list,Pimelea flava subsp. dichotoma,S,OS,UN,
Silurian Limestone Pomaderris Shrubland,TEC species list,Pimelea pauciflora,S,OS,S,
Silurian Limestone Pomaderris Shrubland,TEC species list,Pomaderris oraria subsp. calcicola,S,OS,S,
Silurian Limestone Pomaderris Shrubland,TEC species list,Senecio quadridentatus,H,OS,T,
Silurian Limestone Pomaderris Shrubland,TEC species list,Vittadinia tenuissima,H,OS,UN,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Acacia drummondii subsp. elegans,S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Actinotus rhomboideus,S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Adenanthos filifolius,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Andersonia axilliflora,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Andersonia echinocephala,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Aotus genistoides,S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia brownii,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia concinna,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia formosa,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia montana,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia solandri,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Banksia oreophila,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Beaufortia anisandra,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Billardiera drummondii,H,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Cassytha glabella,H,OS,UN,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Darwinia collina,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Darwinia nubigena (sp. Stirling Range),S,OS,UN,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Darwinia squarrosa,S,OS,UN,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Deyeuxia drummondii,H,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Gastrolobium leakeanum,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Hibbertia argentea,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Isopogon latifolius,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Kunzea montana,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Lambertia fairallii,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Lambertia uniflora,S,OS,C,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Latrobea colophona,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Leptomeria squarrulosa,S,OS,C,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Leucopogon atherolepis,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Leucopogon gnaphalioides,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,"Microcorys sp. Stirling
Range",S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Muiriantha hassellii,S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Persoonia micranthera,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,"Platysace sp. Stirling
Range",S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Sphenotoma drummondii,S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,"Sphenotoma sp. Stirling
Range",S,OS,S,Yes
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Spyridium montanum,S,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Stylidium bellum,H,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Stylidium keigheryi,H,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Stylidium rosulatum,H,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Stylidium sp. Bluff Knoll,H,OS,S,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Taxandria floribunda,S,OS,C,
Eastern Stirling Range Montane Heath and Thicket,TEC species list,Xyris exilis,H,OS,S,
