taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,value_type,unit,error_type,error_value,n,context,source_section,notes
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",floral_stalks_per_plant,4.0 ± 0.3 floral stalks per plant (n = 75),,mean,{count},SE,0.3,75,1999,"Results, Floral architecture and reproductive effort, p.622","Candidate trait name -- stem_count exists but is defined for vegetative stems (max allowed value 5), whereas this is specifically flowering stalks; kept as a distinct candidate."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",leaves_per_plant,16.9 ± 1.3 leaves per plant (n = 75),,mean,{count},SE,1.3,75,1999,"Results, Floral architecture and reproductive effort, p.622",Candidate trait name -- no exact match in config/traits.yml.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",proportion_umbels_setting_seed,an average of 44.9 ± 2.3% of umbels set seeds (n = 75),,mean,%,SE,2.3,75,1999,"Results, p.622; Discussion, p.624","Candidate trait name -- proportion of umbels per plant that set any seed at all, distinct from seed_set (% of ovules realised as seed within a seed-setting umbel)."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",pollen_grains_per_anther,760 ± 26.5 (n = 20) pollen grains per anther,,mean,{count},SE,26.5,20,"male-phase umbels, 1999","Results, Breeding system, p.623",Candidate trait name -- no exact match in config/traits.yml.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",pollen_ovule_ratio,pollen:ovule ratio of 1902:1,1902,raw,pollen grains/ovule,,,,,"Results, Breeding system, p.623; Abstract","Candidate trait name -- calculated from pollen grains per anther and ovules per flower, not independently counted."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_count,approximately 1153 seeds per plant,1153,raw,seeds/plant,,,,,"Discussion, p.624","Calculated estimate (40 umbels/plant x 44.9% umbels setting seed x 72 flowers/umbel x 2 ovules/flower x seed set rate), not a directly counted value. seed_count's own comments field expects seed output of a large, healthy individual (a maximum); this is instead an average-plant estimate -- moderate-confidence match, flagged for curator review."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_set,mean percentage seed set of 2.9 ± 1.6 per umbel,,mean,%,SE,1.6,3,"pollinator-excluded (nylon mesh bagged) umbels, pilot study, early 1999","Results, p.621",Candidate trait name (no seed_set/fruit_set trait found in config/traits.yml). Only 3 of 52 bagged umbels set any seed; n = 3 refers to those that set seed.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_set,mean percentage seed set of 34.6 ± 4.7 per umbel,,mean,%,SE,4.7,20,"open control umbels (left open to natural pollinators), pilot study, early 1999","Results, p.621","Candidate trait name. Of 50 tagged control umbels, 20 set seed; n = 20 refers to those that set seed."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_set,mean natural seed set per umbel of 44.6%,,mean,%,,,,"open (natural) pollination treatment, pooled across two repetitions of the 2000 hand-pollination experiment (Fig. 4)","Discussion, p.624; Fig. 4, p.623","Candidate trait name. This is the only pollination-treatment seed-set value stated as a number in the text; self-, cross-, mixed-load- and supplementary-pollination seed-set values are shown only as bar heights with significance letters (a/ab/b) in Fig. 4, with no printed data labels -- not extracted (figure-only, see chat report)."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,52.4 ± 14.1% (14.3-76.9%),,mean,%,SE,14.1,4,"self-pollinated umbels (hand-pollination), germinated on moist filter paper in Petri dishes","Results, Germination of self-, cross- and open-pollinated seeds, p.623",Range across umbels (14.3-76.9%) given alongside the mean.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,62.9 ± 10.1% (30.4-92.3%),,mean,%,SE,10.1,6,"cross-pollinated umbels (hand-pollination), germinated on moist filter paper in Petri dishes","Results, Germination of self-, cross- and open-pollinated seeds, p.623",Range across umbels (30.4-92.3%) given alongside the mean.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,59.2 ± 8.2% (29.4-86.7%),,mean,%,SE,8.2,6,"open-pollinated umbels, germinated on moist filter paper in Petri dishes","Results, Germination of self-, cross- and open-pollinated seeds, p.623",Range across umbels (29.4-86.7%) given alongside the mean.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_dry_mass,1.23 ± 0.09 mg,,mean,mg,SE,0.09,4,self-pollinated umbels,,"Results, Germination of self-, cross- and open-pollinated seeds, p.623"
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_dry_mass,1.29 ± 0.12 mg,,mean,mg,SE,0.12,6,cross-pollinated umbels,,"Results, Germination of self-, cross- and open-pollinated seeds, p.623"
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_dry_mass,1.05 ± 0.11 mg,,mean,mg,SE,0.11,6,open-pollinated umbels,,"Results, Germination of self-, cross- and open-pollinated seeds, p.623"
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,final percentage emergence... mean of 63.7 ± 5.2%,,mean,%,SE,5.2,30,"final emergence (visible shoot) in soil trays, 74 days after sowing, pooled across all 30 umbels and 10 collection-date cohorts, 1999","Results, Germination of seeds pollinated at different times during the flowering period, p.623","Measured as soil emergence, not Petri-dish germination, unlike the treatment-based seed_germination rows above; kept under the same trait pending curator review."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,ranged from 0 to 100%,0,minimum,%,,,,"final emergence, range across all 30 umbels","Results, p.623",
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,ranged from 0 to 100%,100,maximum,%,,,,"final emergence, range across all 30 umbels","Results, p.623",
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,"across the 10 cohorts ranged from 46.7 to 90%, with a mean of 63.7 ± 5.0%",,mean,%,SE,5,10,"final emergence, cohort means (n = 10 cohorts)","Results, p.623",
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,ranged from 46.7 to 90%,46.7,minimum,%,,,,"final emergence, range across 10 cohort means","Results, p.623",
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seed_germination,ranged from 46.7 to 90%,90,maximum,%,,,,"final emergence, range across 10 cohort means","Results, p.623",
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seedling_age_at_first_leaf,mean age of germinants at first leaf was 38.0 ± 0.7 days,,mean,d,SE,0.7,,"nine germinants analysed per cohort (10 cohorts, pooled across families), 1999","Results, p.623","Candidate trait name -- no exact match in config/traits.yml. n left blank: 9 germinants/cohort x 10 cohorts, not explicitly stated as a combined n."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seedling_age_at_first_leaf,ranged from 34.0 to 44.6 days across cohorts,34,minimum,d,,,,range across 10 cohorts,"Results, p.623",
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",seedling_age_at_first_leaf,ranged from 34.0 to 44.6 days across cohorts,44.6,maximum,d,,,,range across 10 cohorts,"Results, p.623",
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",umbel_female_phase_duration,the female phase begins... and lasts about 4 days,,raw,d,,,,"per umbel, female phase","Results, Floral, within-umbel and within-plant phenology, p.621",Candidate trait name -- no dedicated phenology-duration trait found in config/traits.yml.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",umbel_pollen_presentation_duration,pollen presentation in an umbel... extended over approximately 16 days,,raw,d,,,,"per umbel, male phase (pollen presentation)","Results, p.622",Candidate trait name.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",umbel_gender_phase_overlap,an overlap of 3 days in male and female phases among umbels of consecutive orders permits geitonogamous pollination,,raw,d,,,,overlap among umbels of consecutive orders on the same plant,"Abstract; Discussion, p.624",Candidate trait name -- this overlap is what permits geitonogamy within a plant.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",umbel_total_duration_field,field observations of umbels that took 20 days from bud to the female receptive and/or post-receptive phase,,raw,d,,,,"casual field observation (Y. C. Davila, pers. obs.)","Discussion, p.624","Candidate trait name. Casual field observation, not a systematically sampled measurement -- lower confidence than the laboratory-derived phenology values above."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",flowering_time,onset of population flowering delayed to about mid-December [1998]; peak flowering during March; flowering ceased at the beginning of June 1999,,,,,,,"1998-99 flowering season, following the October 1998 fire","Results, p.622","trait_value left blank -- flowering_time is recorded in AusTraits as a 12-character Y/N string by month, which the curator should encode from this prose description."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",flowering_time,onset in about October 1999 and ceasing in June 2000. Peak flowering was during February,,,,,,,1999-2000 flowering season (population flowering returned to normal),"Results, p.622",trait_value left blank -- see note on row above.
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",fire_time_from_fire_to_flowering,fire in October 1998... delaying the onset of population flowering to about mid-December,2,raw,mo,,,,resprouting population response to October 1998 fire,"Results, p.622","Approx. 2 months, estimated from the stated months (fire = October 1998, flowering onset = mid-December 1998); not an exact duration stated in the source."
Trachymene incisa subsp. incisa,population,,"Agnes Banks Nature Reserve, NSW",fire_time_from_fire_to_peak_flowering,fire in October 1998... Peak flowering in that season was during March,5,raw,mo,,,,resprouting population response to October 1998 fire,"Results, p.622","Approx. 5 months, estimated from the stated months; not an exact duration stated in the source."
