spp_abbrev,Family,Genus,Species,Growth_form,Raunkiaer_life_form,Height,Clonality,Physical_defence,Photosynthetic pathway,Specific_leaf_area,Laminar_unit_area,Leaf_phenology,Wood_density,Nutrient_uptake_strategy,Dispersal_mode,Seed_mass,Resprouting_capacity,Pollination_syndrome,Fruit_type,Lifespan,Maximum_propagule_longevity,1.1,1.2,2.1,2.2,3.1,3.2,4.2,5.2,unique families,unique. genera
Cana_viti,Burseraceae,Canarium,vitiense  ,Tall tree,Phanerophyte,40,None,None,C3,,4800,,445,Mycorrhizal ,Endozoochory,650,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Long persistent in soil (more than 5 years),0,0,0,0,1,0,0,0,Monimiaceae,Terminalia
Cara_brac,Rhizophoraceae,Carallia,brachiata  ,Tall tree,Phanerophyte,30,None,None,C3,,8160,,601,Mycorrhizal ,Endozoochory,54,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,0,0,0,0,0,1,0,,
Card_molu,Cardiopteridaceae,Cardiopteris,moluccana  ,Liana,Phanerophyte,NA,None,None,C3,,31680,,NA,NA,Wind,11,Yes,Flies,"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,NA,0,0,0,0,0,0,1,1,Myristicaceae,Pollia
Card_subl,Proteaceae,Cardwellia,sublimis  ,Tall tree,Phanerophyte,35,None,None,C3,,10710,,461,Hairy root clusters,Wind,420,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Short-lived (weeks),1,1,1,1,0,1,0,1,,Cayratia
Carr_prot,Menispermaceae,Carronia,protensa  ,Liana,Phanerophyte,NA,None,None,C3,,85470,,NA,Mycorrhizal ,Endozoochory,180,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,,Corymborkis
Case_dall,Flacourtiaceae,Casearia,dallachii  ,Shrub,Phanerophyte,8,None,None,C3,,7140,,582,Mycorrhizal ,Endozoochory,11,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,1,0,0,0,0,0,,Hibiscus
Case_Miss,Flacourtiaceae,Casearia,sp. (Mission Beach B.P.Hyland 773),Short tree,Phanerophyte,15,None,None,C3,,2400,,613,Mycorrhizal ,Endozoochory,6,Yes,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,NA,0,0,0,1,0,1,0,0,,Sida
Cast_alph,Sapindaceae,Castanospora,alphandii  ,Tall tree,Phanerophyte,45,None,None,C3,,11520,,581,Mycorrhizal ,Endozoochory,2000,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,0,0,1,0,,
Cast_aust,Fabaceae,Castanospermum,australe  ,Tall tree,Phanerophyte,35,None,None,C3,,6000,,621,Nitrogen fixer,Endozoochory,14000,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,0,0,1,1,1,1,0,,Beilschmiedia
Cayr_sapo,Vitaceae,Cayratia,saponaria  ,Liana,Phanerophyte,NA,None,None,C3,,15990,,NA,Mycorrhizal ,Endozoochory,23,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,,
Cela_subs,Celastraceae,Celastrus,subspicata  ,Liana,Phanerophyte,NA,None,None,C3,,5880,,NA,Mycorrhizal ,Endozoochory,30,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,1,0,0,1,0,Myrsinaceae,Connarus
Cent_asia,Apiaceae,Centella,asiatica  ,Short basal,Chamaephyte,0.1,Clonal aboveground,None,C3,,1200,,NA,Mycorrhizal ,Passive,0.86,No,Flies,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,1,0,0,1,1,1,0,Arecaceae,Alstonia
Cent_lapp,Poaceae,Centotheca,lappacea  ,Short basal,Hemicryptophyte,1,Clonal belowground,None,C3,,1440,,NA,Mycorrhizal ,Passive,NA,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,0,1,0,0,0,,Pronephrium
Cent_pube,Fabaceae,Centrosema,pubescens  ,Vine,Phanerophyte,NA,None,None,C3,,2835,,NA,Nitrogen fixer,Passive,8.1,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,1,1,1,1,1,0,0,,Cryptocarya
Chio_rami,Oleaceae,Chionanthus,ramiflora  ,Tall tree,Phanerophyte,20,None,None,C3,,11880,,713,Mycorrhizal ,Endozoochory,400,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),1,0,0,0,0,0,0,0,,Pouteria
Chri_dent,Thelypteridaceae,Christella,dentata  ,Short basal,Phanerophyte,1,Clonal belowground,None,C3,,2250,,NA,No obvious special uptake strategy,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,
Chro_odor,Asteraceae,Chromolaena,odorata  ,Scrambler,Phanerophyte,4,None,None,C3,,3630,,NA,Mycorrhizal ,Wind,1.5,Yes,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Perennial,Long persistent in soil (more than 5 years),0,1,0,1,0,0,0,0,Fabaceae,Diplazium
Ciss_hast,Vitaceae,Cissus,hastata  ,Liana,Phanerophyte,NA,None,None,C3,,7560,,NA,Mycorrhizal ,Endozoochory,65,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,0,1,,
Ciss_penn,Vitaceae,Cissus,penninervis  ,Liana,Phanerophyte,NA,None,None,C3,,3600,,578,Mycorrhizal ,Endozoochory,110,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,1,0,1,1,1,0,,
Clao_tene,Euphorbiaceae,Claoxylon,tenerifolium  ,Tall tree,Phanerophyte,20,None,None,C3,,17394,,331,Mycorrhizal ,Endozoochory,13,Yes,Wind,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,0,0,1,0,Strychnaceae,Crotalaria
Clem_pick,Ranunculaceae,Clematis,pickeringii  ,Liana,Phanerophyte,NA,None,None,C3,,5250,,NA,Mycorrhizal ,Wind,1.1,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,NA,0,1,0,0,1,0,0,0,,Xanthophyllum
Cleo_acul,Capparidaceae,Cleome,aculeata  ,Erect leafy,Therophyte,0.5,None,Spines or thorns,C3,,378,,NA,Mycorrhizal ,Passive,0.86,No,Butterflies,Dry dehiscent or indehsicent without attractant or wing,Annual,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Moraceae,Commelina
Cler_trac,Lamiaceae,Clerodendrum,tracyanum  ,Tall tree,Phanerophyte,10,None,None,C3,,45540,,400,Mycorrhizal ,Endozoochory,19,Yes,Butterflies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,0,0,,Hypserpa
Comm_bart,Sterculiaceae,Commersonia,bartramia  ,Tall tree,Phanerophyte,25,None,None,C3,,12540,,413,Mycorrhizal ,Endozoochory,4.5,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Short persistent soil (1 to 5 years),1,1,1,1,1,0,0,1,,
Comm_ensi,Commelinaceae,Commelina,ensifolia  ,Semi basal,Chamaephyte,0.5,Clonal belowground,None,C3,,1440,,NA,Mycorrhizal ,Passive,2.2,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short persistent soil (1 to 5 years),0,0,0,0,1,0,1,1,Onagraceae,Diplocyclos
Conn_conc,Connaraceae,Connarus,conchocarpus ssp. conchocarpus,Liana,Phanerophyte,NA,None,None,C3,,14040,,NA,Mycorrhizal ,Endozoochory,180,Yes,Hymenoptera (bees),"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,0,Orchidaceae,Cyperus
Cord_cann,Dracaenaceae,Cordyline,cannifolia  ,Erect leafy,Phanerophyte,2,Clonal belowground,None,C3,,36000,,863,NA,Endozoochory,12,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),0,1,0,0,0,0,0,0,Rutaceae,Glochidion
Cord_dich,Boraginaceae,Cordia,dichotoma  ,Tall tree,Phanerophyte,20,None,None,C3,,13230,,437,Mycorrhizal ,Endozoochory,100,Yes,Flies,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,Meliaceae,Hippocratea
Cord_mann,Dracaenaceae,Cordyline,manners-suttoniae  ,Erect leafy,Phanerophyte,5,Clonal belowground,None,C3,,46800,,863,NA,Endozoochory,12,Yes,Hymenoptera (bees),"Fleshy (berry, pome, pepo, etc.)",Perennial,Short persistent soil (1 to 5 years),1,1,1,1,1,1,1,1,Sapindaceae,Homalanthus
Cory_vera,Orchidaceae,Corymborkis,veratrifolia  ,Epiphyte,Phanerophyte,1.6,None,None,CAM,,19200,,NA,Mycorrhizal ,Wind,0.001,No,hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),1,0,0,0,0,1,0,0,,Ailanthus
Cove_poec,Dryopteridaceae,Coveniella,poecilophlebia  ,Short basal,Phanerophyte,1,Clonal belowground,None,C3,,6210,,NA,Mycorrhizal ,Wind,0.001,Yes,None,Spore,Perennial,Short-lived (weeks),0,1,0,1,1,0,0,0,Sapotaceae,Macaranga
Cras_crep,Asteraceae,Crassocephalum,crepidioides  ,Erect leafy,Therophyte,1,None,None,C3,,12000,,NA,Mycorrhizal ,Wind,0.86,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,0,0,0,0,1,Flacourtiaceae,Neosepicaea
Crot_pall,Fabaceae,Crotalaria,pallida var. obovata,Erect leafy,Phanerophyte,3,None,None,C3,,3300,,NA,Nitrogen fixer,Passive,16,Yes,Hymenoptera (bees),Dry dehiscent or indehsicent without attractant or wing,Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,Endiandra
Cryp_clar,Lauraceae,Cryptocarya,clarksoniana  ,Tall tree,Phanerophyte,19,None,None,C3,,4500,,765,Mycorrhizal ,Endozoochory,320,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,1,1,0,1,0,,Entada
Cryp_hypo,Lauraceae,Cryptocarya,hypospodia  ,Tall tree,Phanerophyte,30,None,None,C3,,34545,,525,Mycorrhizal ,Endozoochory,420,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,,Mimosa
Cryp_laev,Lauraceae,Cryptocarya,laevigata  ,Short tree,Phanerophyte,7,None,None,C3,,5580,,725,Mycorrhizal ,Endozoochory,1200,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,0,0,,Pararchidendron
Cryp_mack,Lauraceae,Cryptocarya,mackinnoniana  ,Tall tree,Phanerophyte,25,None,None,C3,,17850,,717,Mycorrhizal ,Endozoochory,380,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,0,0,0,0,0,1,0,,Tetrasynandra
Cryp_murr,Lauraceae,Cryptocarya,murrayi  ,Tall tree,Phanerophyte,30,None,None,C3,,18900,,645,Mycorrhizal ,Endozoochory,390,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,0,0,,Ficus
Cryp_trip,Lauraceae,Cryptocarya,triplinervis var. riparia,Tall tree,Phanerophyte,20,None,None,C3,,4050,,637,Mycorrhizal ,Endozoochory,160,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,1,0,0,1,0,1,0,,Maclura
Cryp_vulg,Lauraceae,Cryptocarya,vulgaris  ,Tall tree,Phanerophyte,30,None,None,C3,,5040,,797,Mycorrhizal ,Endozoochory,2200,Yes,Beetles,"Fleshy (berry, pome, pepo, etc.)",Perennial,Short-lived (weeks),0,0,0,0,1,0,1,0,,Streblus
Cyan_cine,Asteraceae,Cyanthillium,cinereum  ,Erect leafy,Therophyte,1,None,None,C3,,2250,,NA,Mycorrhizal ,Wind,0.86,No,Hymenoptera (bees),"Dry dehiscent or indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Annual,Long persistent in soil (more than 5 years),0,0,0,1,1,0,0,0,Flagellariaceae,Pandorea
Cycl_mult,Rubiaceae,Cyclophyllum,multiflorum  ,Short tree,Phanerophyte,15,None,None,C3,,4680,,706,Mycorrhizal ,Endozoochory,80,Yes,Moths,"Fleshy (berry, pome, pepo, etc.)",Perennial,Intermediate (months to less than a year),0,1,0,0,0,0,0,0,,
Cype_arom,Cyperaceae,Cyperus,aromaticus  ,Tussock,Hemicryptophyte,0.5,Clonal belowground,None,C3,,450,,NA,Hairy root clusters,Passive,0.82,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),0,0,0,0,1,0,1,1,Polygonaceae,Elaeagnus
Cype_trin,Cyperaceae,Cyperus,trinervis  ,Tussock,Hemicryptophyte,0.4,Clonal belowground,None,C3,,600,,NA,Hairy root clusters,Passive,0.82,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,Intermediate (months to less than a year),0,1,0,1,0,1,1,1,Polypodiaceae,Elaeocarpus
Cyrt_oxyp,Poaceae,Cyrtococcum,oxyphyllum  ,Short basal,Hemicryptophyte,0.5,Clonal belowground,None,C3,,720,,NA,Mycorrhizal ,Passive,0.73,Yes,Wind,Dry dehiscent or indehsicent without attractant or wing,Perennial,NA,0,0,0,0,1,0,0,0,,Trichospermum
