sort,Species Code,Spp_Name,L.A (CM^2) ,Sheath (cm^2),Leaf Mass (g),Sheath mass (g),LMA (g/m^2),SLA(cm2/g)
326,Empmin1,Empodisma minus (green parts),1.96,,0.0533,,271.9,37
327,Empmin2,Empodisma minus (green parts),3.58,,0.1435,,400.8,25
328,Empmin3,Empodisma minus (green parts),4.29,,0.1577,,367.6,27
329,Empmin4,Empodisma minus (green parts),4.13,,0.1279,,309.7,32
330,Empmin5,Empodisma minus (green parts),4.5,,0.1328,,295.1,34
392,Epagla1,Epacris glacialis,1.14,,0.0157,,137.7,73
393,Epagla2,Epacris glacialis,1.04,,0.0102,,98.1,102
394,Epagla3,Epacris glacialis,1.32,,0.0142,,107.6,93
395,Epagla4,Epacris glacialis,1.11,,0.0183,,164.9,61
396,Epagla5,Epacris glacialis,1.16,,0.0158,,136.2,73
404,Epagun1,Epacris gunnii,1.19,,0.0127,,106.7,94
405,Epagun2,Epacris gunnii,0.9,,0.0098,,108.9,92
406,Epagun3,Epacris gunnii,0.88,,0.0117,,133,75
407,Epagun4,Epacris gunnii,1.19,,0.0139,,116.8,86
408,Epagun5,Epacris gunnii,1.2,,0.0116,,96.7,103
150,Eripal1,Erigeron paludicola,2.99,,0.0352,,117.7,85
151,Eripal2,Erigeron paludicola,4.11,,0.0427,,103.9,96
152,Eripal3,Erigeron paludicola,3.26,,0.0368,,112.9,89
153,Eripal4,Erigeron paludicola,5.12,,0.06,,117.2,85
154,Eripal5,Erigeron paludicola,3.96,,0.0487,,123,81
465,Eucpau1,Eucalyptus pauciflora,13.43,,0.3762,,280.1,36
466,Eucpau2,Eucalyptus pauciflora,14.67,,0.405,,276.1,36
467,Eucpau3,Eucalyptus pauciflora,14.71,,0.44,,299.1,33
468,Eucpau4,Eucalyptus pauciflora,13.8,,0.3568,,258.6,39
469,Eucpau5,Eucalyptus pauciflora,14.6,,0.5242,,359,28
156,Eucfor1,Euchiton fordianus,3.15,,0.0225,,71.4,140
157,Eucfor2,Euchiton fordianus,3.65,,0.026,,71.2,140
158,Eucfor3,Euchiton fordianus,4.65,,0.0288,,61.9,161
159,Eucfor4,Euchiton fordianus,5.01,,0.0398,,79.4,126
160,Eucfor5,Euchiton fordianus,3.6,,0.0277,,76.9,130
144,Ewanub1,Ewartia nubigena,0.93,,0.0051,,54.8,182
145,Ewanub2,Ewartia nubigena,0.86,,0.0051,,59.3,169
146,Ewanub3,Ewartia nubigena,0.71,,0.0036,,50.7,197
147,Ewanub4,Ewartia nubigena,0.46,,0.0023,,50,200
148,Ewanub5,Ewartia nubigena,0.81,,0.0044,,54.3,184
174,Gerpot1,Geranium potentilliodes,29.18,,0.1811,,62.1,161
175,Gerpot2,Geranium potentilliodes,28.02,,0.1618,,57.7,173
176,Gerpot3,Geranium potentilliodes,24.48,,0.1471,,60.1,
177,Gerpot4,Geranium potentilliodes,29.14,,0.1866,,64,
178,Gerpot5,Geranium potentilliodes,14.78,,0.0933,,63.1,
222,Goohed 1,Goodenia hederacea,4.69,,0.0449,,95.7,
223,Goohed 2,Goodenia hederacea,5.35,,0.0571,,106.7,
224,Goohed 3,Goodenia hederacea,4.21,,0.0411,,97.6,
225,Goohed 4,Goodenia hederacea,6.38,,0.0528,,82.8,
226,Goohed 5,Goodenia hederacea,5.07,,0.0513,,101.2,
314,Greaus1,Grevillea australis,2.36,,0.0551,,233.5,
315,Greaus2,Grevillea australis,1.93,,0.0376,,194.8,
316,Greaus3,Grevillea australis,1.76,,0.0358,,203.4,
317,Greaus4,Grevillea australis,2.42,,0.0484,,200,
318,Greaus5,Grevillea australis,1.69,,0.0376,,222.5,
101,Grevic1,Grevillea victoriae,19.85,,0.4596,,231.5,
102,Grevic2,Grevillea victoriae,22.35,,0.538,,240.7,
103,Grevic3,Grevillea victoriae,19.81,,0.4128,,208.4,
104,Grevic4,Grevillea victoriae,17.4,,0.3482,,200.1,
105,Grevic5,Grevillea victoriae,14.67,,0.3078,,209.8,
106,Grevic6,Grevillea victoriae,18.05,,0.3189,,176.7,
453,Hovmon1,Hovea montana ,2.35,,0.05,,212.8,
454,Hovmon2,Hovea montana ,3.76,,0.065,,172.9,
455,Hovmon3,Hovea montana ,2.65,,0.0471,,177.7,
456,Hovmon4,Hovea montana ,3.38,,0.0708,,209.5,
457,Hovmon5,Hovea montana ,3.48,,0.0704,,202.3,
302,Isogau1,Isolepis gaudichaudiana,0.81,,0.0039,,48.1,
303,Isogau2,Isolepis gaudichaudiana,2.4,,0.0109,,45.4,
304,Isogau3,Isolepis gaudichaudiana,1.89,,0.0088,,46.6,
305,Isogau4,Isolepis gaudichaudiana,1.77,,0.0076,,42.9,
306,Isogau5,Isolepis gaudichaudiana,1.85,,0.0062,,33.5,
368,Junart1,Juncus articulatus (leaf and sheath),3.05,,0.0381,<-whole mass,124.9,
369,Junart2,Juncus articulatus (leaf and sheath),3.01,,0.0332,<-whole mass,110.3,
370,Junart3,Juncus articulatus (leaf and sheath),2.54,,0.0281,<-whole mass,110.6,
372,Junart5,Juncus articulatus (leaf and sheath),2.23,0.91 (stem),0.024,0.0154,107.6,
371,Junart4,"Juncus articulatus (leaf, sheath and stem)",2.87,,0.0501,<-whole mass,174.6,
61,Kunzmue1,Kunzea muelleri,0.9,,0.01,,111.1,
62,Kunzmue2,Kunzea muelleri,0.85,,0.0058,,68.2,
63,Kunzmue3,Kunzea muelleri,0.29,,0.0027,,93.1,
64,Kunzmue4,Kunzea muelleri,0.36,,0.0054,,150,
65,Kunzmue5,Kunzea muelleri,0.64,,0.0052,,81.3,
362,leiphy1,Leionema phylicifolium,2.43,,0.0431,,177.4,
363,leiphy2,Leionema phylicifolium,1.89,,0.0278,,147.1,
364,leiphy3,Leionema phylicifolium,2.25,,0.0323,,143.6,
365,leiphy4,Leionema phylicifolium,2.58,,0.0335,,129.8,
366,leiphy5,Leionema phylicifolium,3.33,,0.0514,,154.4,
270,Lepsqu1,Leptorhynchos squamatus,2.85,,0.0197,,69.1,
271,Lepsqu2,Leptorhynchos squamatus,4.13,,0.0358,,86.7,
272,Lepsqu3,Leptorhynchos squamatus,2.61,,0.0171,,65.5,
273,Lepsqu4,Leptorhynchos squamatus,3.16,,0.0293,,92.7,
274,Lepsqu5,Leptorhynchos squamatus,2.64,,0.0189,,71.6,
168,Leualb1,Leucochrysum albicans,7.12,,0.0783,,110,
169,Leualb2,Leucochrysum albicans,6.86,,0.0688,,100.3,
170,Leualb3,Leucochrysum albicans,7.11,,0.0872,,122.6,
171,Leualb4,Leucochrysum albicans,7.59,,0.0797,,105,
172,Leualb5,Leucochrysum albicans,6,,0.0584,,97.3,
320,Leuhoo1,Leucopogon hookeri,1.14,,0.0127,,111.4,
321,Leuhoo2,Leucopogon hookeri,1.5,,0.0153,,102,
322,Leuhoo3,Leucopogon hookeri,1.9,,0.021,,110.5,
323,Leuhoo4,Leucopogon hookeri,2.46,,0.0333,,135.4,
324,Leuhoo5,Leucopogon hookeri,1.75,,0.0198,,113.1,
19,Micspg1,Microseris sp1,7.84,,0.0634,,80.9,
20,Micspg2,Microseris sp1,7.4,,0.073,,98.6,
21,Micspg3,Microseris sp1,3.96,,0.0411,,103.8,
22,Micspg4,Microseris sp1,5.09,,0.0468,,91.9,
23,Micspg5,Microseris sp1,8.85,,0.0698,,78.9,
24,Micspg6,Microseris sp1,9.9,,0.1007,,101.7,
25,Micspg7,Microseris sp1,10.36,,0.1031,,99.5,
26,Micspg8,Microseris sp1,8.84,,0.0839,,94.9,
27,Micspg9,Microseris sp1,3.38,,0.0249,,73.7,
28,Micspg10,Microseris sp1,4.2,,0.0383,,91.2,
282,Olebre1,Olearia brevipediunculata,6.08,,0.0836,,137.5,
283,Olebre2,Olearia brevipediunculata,6.59,,0.0756,,114.7,
284,Olebre3,Olearia brevipediunculata,4.22,,0.0477,,113,
285,Olebre4,Olearia brevipediunculata,5.77,,0.0751,,130.2,
286,Olebre5,Olearia brevipediunculata,4.93,,0.057,,115.6,
264,Olefro1,Olearia frostii,6.41,,0.0746,,116.4,
265,Olefro2,Olearia frostii,9.73,,0.1101,,113.2,
266,Olefro3,Olearia frostii,3.99,,0.0384,,96.2,
267,Olefro4,Olearia frostii,7.85,,0.0958,,122,
268,Olefro5,Olearia frostii,8.33,,0.09,,108,
54,Oreeri1,Oreomyrrhis eriopoda,7.35,,0.0441,,60,
55,oreeri2,Oreomyrrhis eriopoda,3.02,,0.0213,,70.5,
56,Oreeri3,Oreomyrrhis eriopoda,7.28,,0.0554,,76.1,
57,Oreeri4,Oreomyrrhis eriopoda,5.66,,0.062,,109.5,
58,Oreeri5,Oreomyrrhis eriopoda,4.59,,0.0336,,73.2,
59,Oreeri6,Oreomyrrhis eriopoda,4.35,,0.0277,,63.7,
290,Orilan1,Orites lancifolia,5,,0.1182,,236.4,
291,Orilan2,Orites lancifolia,6.55,,0.1551,,236.8,
292,Orilan3,Orites lancifolia,2.53,,0.0554,,219,
293,Orilan4,Orites lancifolia,4.33,,0.099,,228.6,
294,Orilan5,Orites lancifolia,3.78,,0.0934,,247.1,
423,Ozohoo2,Ozothamnus hookeri,1.73,,0.0528,,305.2,
424,Ozohoo3,Ozothamnus hookeri,1.25,,0.0408,,326.4,
425,Ozohoo4,Ozothamnus hookeri,1.49,,0.047,,315.4,
426,Ozohoo5,Ozothamnus hookeri,1.35,,0.0506,,374.8,
422,Ozohoo1,Ozothamnus hookeri (whole twigg reduced scale like leaves),0.66,,0.0241,,365.2,
126,Ozothy1,Ozothamthys/ second?,1.18,,0.0124,,105.1,
127,Ozothy2,Ozothamthys/ second?,1.09,,0.0112,,102.8,
128,Ozothy3,Ozothamthys/ second?,1.35,,0.0148,,109.6,
129,Ozothy4,Ozothamthys/ second?,1.05,,0.0116,,110.5,
130,Ozothy5,Ozothamthys/ second?,1.39,,0.0173,,124.5,
204,Peasp1.1,Pea species 1 (Flowering no fruit),2.55,,0.0309,,121.2,
205,Peasp1.2,Pea species 1 (Flowering no fruit),2.04,,0.0139,,68.1,
206,Peasp1.3,Pea species 1 (Flowering no fruit),2.24,,0.02,,89.3,
207,Peasp1.4,Pea species 1 (Flowering no fruit),4.18,,0.0291,,69.6,
208,Peasp1.5,Pea species 1 (Flowering no fruit),3.85,,0.035,,90.9,
48,Penpum1,Pentachondra pumila,1.64,,0.0086,,52.4,
49,Penpum2,Pentachondra pumila,1.39,,0.0116,,83.5,
50,Penpum3,Pentachondra pumila,0.92,,0.0079,,85.9,
51,Penpum4,Pentachondra pumila,1.55,,0.0124,,80,
52,Penpum5,Pentachondra pumila,0.75,,0.0061,,81.3,
344,Phesqu1,Phebalium squamulosum,2.57,,0.0439,,170.8,
345,Phesqu2,Phebalium squamulosum,2.82,,0.0423,,150,
346,Phesqu3,Phebalium squamulosum,2.32,,0.0357,,153.9,
347,Phesqu4,Phebalium squamulosum,2.33,,0.0368,,157.9,
348,Phesqu5,Phebalium squamulosum,2.33,,0.0387,,166.1,
296,Pimalp1,Pimelea alpina,1.9,,0.0151,,79.5,
297,Pimalp2,Pimelea alpina,1.44,,0.0132,,91.7,
298,Pimalp3,Pimelea alpina,1.71,,0.0178,,104.1,
299,Pimalp4,Pimelea alpina,1.44,,0.0152,,105.6,
300,Pimalp5,Pimelea alpina,0.76,,0.0079,,103.9,
308,Pimlig1,Pimelea ligustrina,10.45,,0.068,,65.1,
309,Pimlig2,Pimelea ligustrina,10.87,,0.0695,,63.9,
310,Pimlig3,Pimelea ligustrina,15.05,,0.0999,,66.4,
311,Pimlig4,Pimelea ligustrina,9.61,,0.0646,,67.2,
312,Pimlig5,Pimelea ligustrina,9.35,,0.056,,59.9,
1,Plaeuro1,Plantago europhylla,16.05,,0.2009,,125.2,
2,Plaeuro2,Plantago europhylla,14.94,,0.2134,,142.8,
3,Plaeuro3,Plantago europhylla,14.35,,0.1931,,134.6,
4,Plaeuro4,Plantago europhylla,13.27,,0.1187,,89.4,
5,Plaeuro5,Plantago europhylla,10.95,,0.088,,80.4,
6,Plaeuro6,Plantago europhylla,13.07,,0.1082,,82.8,
7,Plaeuro7,Plantago europhylla,10.46,,0.1179,,112.7,
8,Plaeuro8,Plantago europhylla,7.57,,0.0696,,91.9,
9,Plaeuro9,Plantago europhylla,11.91,,0.0878,,73.7,
10,Plaeuro10,Plantago europhylla,6.94,,0.0469,,67.6,
180,Poanot1,Poa nothamensis (Nelse),7.21,3.28,0.0974,0.0584,135.1,
181,Poanot2,Poa nothamensis (Nelse),6.16,3.6,0.0588,0.0389,95.5,
182,Poanot3,Poa nothamensis (Nelse),6.64,3.21,0.0978,0.0511,147.3,
183,Poanot4,Poa nothamensis (Nelse),5.95,1.71,0.088,0.023,147.9,
184,Poanot5,Poa nothamensis (Nelse),8.35,4.16,0.1153,0.067,138.1,
380,Poaphi1,Poa phillipsiana (curled. Basalt hill. Shute.)?,4.82,1.42,0.0752,0.0238,156,
381,Poaphi2,Poa phillipsiana (curled. Basalt hill. Shute.)?,3.15,2.14,0.0574,0.0286,182.2,
382,Poaphi3,Poa phillipsiana (curled. Basalt hill. Shute.)?,4.33,1.69,0.0761,0.0266,175.8,
383,Poaphi4,Poa phillipsiana (curled. Basalt hill. Shute.)?,2.91,2.36,0.0626,0.0413,215.1,
384,Poaphi5,Poa phillipsiana (curled. Basalt hill. Shute.)?,3.85,1.75,0.0659,0.0253,171.2,
192,Poasp1.1,"Poa sp1. (Tightly inrolled, not bluegreen, not red sheath, mod spikey)",2.59,1.97,0.0961,0.0374,371,
193,Poasp1.2,"Poa sp1. (Tightly inrolled, not bluegreen, not red sheath, mod spikey)",1.98,0.87,0.0569,0.0103,287.4,
194,Poasp1.3,"Poa sp1. (Tightly inrolled, not bluegreen, not red sheath, mod spikey)",3.03,1.47,0.09,0.0192,297,
195,Poasp1.4,"Poa sp1. (Tightly inrolled, not bluegreen, not red sheath, mod spikey)",3.03,0.92,0.0753,0.0189,248.5,
196,Poasp1.5,"Poa sp1. (Tightly inrolled, not bluegreen, not red sheath, mod spikey)",2.69,1.48,0.0741,0.0287,275.5,
186,Poasp2.1,Poa sp2 (red sheaths not rolled plants),3.25,1.63,0.0441,0.0162,135.7,
187,Poasp2.2,Poa sp2 (red sheaths not rolled plants),5.12,2.16,0.0555,0.0234,108.4,
188,Poasp2.3,Poa sp2 (red sheaths not rolled plants),2.76,1.6,0.0291,0.0129,105.4,
189,Poasp2.4,Poa sp2 (red sheaths not rolled plants),3.14,1.33,0.0191,0.007,60.8,
190,Poasp2.5,Poa sp2 (red sheaths not rolled plants),3.21,1.11,0.037,0.0135,115.3,
74,Podrob1,Podolepis robusta,38.48,,0.4554,,118.3,
75,Podrob2,Podolepis robusta,37.17,,0.4547,,122.3,
76,Podrob3,Podolepis robusta,37.61,,0.3933,,104.6,
77,Podrob4,Podolepis robusta,33.45,,0.2819,,84.3,
78,Podrob5,Podolepis robusta,37.19,,0.32,,86,
79,Podrob6,Podolepis robusta,54.45,,0.5105,,93.8,
80,Podrob7,Podolepis robusta,51.69,,0.3866,,74.8,
459,Procun1,Prostanthera cuneata,1.1,,0.0154,,140,
460,Procun2,Prostanthera cuneata,0.71,,0.009,,126.8,
461,Procun3,Prostanthera cuneata,0.83,,0.0096,,115.7,
462,Procun4,Prostanthera cuneata,0.89,,0.0141,,158.4,
463,Procun5,Prostanthera cuneata,1.48,,0.0208,,140.5,
95,Ranmue1,Ranunculus muelleri,3.83,,0.0236,,61.6,
96,Ranmue2,Ranunculus muelleri,4.09,,0.0288,,70.4,
97,Ranmue3,Ranunculus muelleri,3.75,,0.0244,,65.1,
98,Ranmue4,Ranunculus muelleri,3.42,,0.0215,,62.9,
99,Ranmue5,Ranunculus muelleri,3.05,,0.0188,,61.6,
276,Ranvic1,Ranunculus victoriensis,7.25,,0.0906,,125,
277,Ranvic2,Ranunculus victoriensis,3.81,,0.052,,136.5,
278,Ranvic3,Ranunculus victoriensis,5.93,,0.0788,,132.9,
279,Ranvic4,Ranunculus victoriensis,6.48,,0.0806,,124.4,
280,Ranvic5,Ranunculus victoriensis,7.48,,0.0894,,119.5,
398,Riccon1,Richea continentalis,1.91,,0.0236,,123.6,
399,Riccon2,Richea continentalis,1.81,,0.0241,,133.1,
400,Riccon3,Richea continentalis,2.03,,0.0257,,126.6,
401,Riccon4,Richea continentalis,2.12,,0.0281,,132.5,
402,Riccon5,Richea continentalis,2.32,,0.0311,,134.1,
234,Scahoo1,Scaevola hookeri,5,,0.0386,,77.2,
235,Scahoo2,Scaevola hookeri,2.85,,0.0237,,83.2,
236,Scahoo3,Scaevola hookeri,2.93,,0.0252,,86,
237,Scahoo4,Scaevola hookeri,3.18,,0.0263,,82.7,
238,Scahoo5,Scaevola hookeri,3.9,,0.0268,,68.7,
138,Senlin1,Senecio linearifolius (subalp basalt),21.42,,0.1686,,78.7,
139,Senlin2,Senecio linearifolius (subalp basalt),25.74,,0.1512,,58.7,
140,Senlin3,Senecio linearifolius (subalp basalt),18.49,,0.1166,,63.1,
141,Senlin4,Senecio linearifolius (subalp basalt),19.4,,0.1023,,52.7,
142,Senlin5,Senecio linearifolius (subalp basalt),35.5,,0.2431,,68.5,
228,Senpec1,Senecio pectinatus,4.76,,0.0244,,51.3,
229,Senpec2,Senecio pectinatus,4.67,,0.0337,,72.2,
230,Senpec3,Senecio pectinatus,3.62,,0.0283,,78.2,
231,Senpec4,Senecio pectinatus,3.39,,0.0259,,76.4,
232,Senpec5,Senecio pectinatus,4.66,,0.0317,,68,
216,Stapul1,Stackhousia pulvinaris (yellow in bogs),0.79,,0.0063,,79.7,
217,Stapul2,Stackhousia pulvinaris (yellow in bogs),0.58,,0.0067,,115.5,
218,Stapul3,Stackhousia pulvinaris (yellow in bogs),0.74,,0.006,,81.1,
