Date,Site,Position,Spp,Branchno,IndividualLeafnumber,Area,DryweightGroup,Date dryweight
24-Apr,F13N,Bottom,KuMue,2,39,4.304,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,40,3.09,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,41,4.415,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,42,2.538,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,43,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,44,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,45,2.649,,30-Apr
24-Apr,F13N,Bottom,KuMue,2,46,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,1,4.084,0.013,30-Apr
24-Apr,F13N,Bottom,KuMue,3,2,2.649,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,3,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,4,2.207,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,5,3.532,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,6,1.545,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,7,2.759,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,8,4.084,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,9,3.311,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,10,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,11,4.194,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,12,3.753,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,13,1.987,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,14,2.649,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,15,2.649,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,16,2.98,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,17,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,18,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,19,6.733,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,20,2.98,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,21,2.87,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,22,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,23,6.622,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,24,3.09,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,25,2.87,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,26,2.538,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,27,2.207,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,28,3.532,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,29,2.318,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,30,4.525,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,31,3.421,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,32,3.863,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,33,2.98,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,34,4.636,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,35,4.415,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,36,1.324,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,37,1.876,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,38,3.201,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,39,2.759,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,40,1.766,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,41,2.759,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,42,3.642,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,43,2.207,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,44,1.876,,30-Apr
24-Apr,F13N,Bottom,KuMue,3,45,3.421,,30-Apr
24-Apr,F20,Mid,OlFro,1,1,126.152,0.11,30-Apr
24-Apr,F20,Mid,OlFro,1,2,133.105,,30-Apr
24-Apr,F20,Mid,OlFro,1,3,137.52,,30-Apr
24-Apr,F20,Mid,OlFro,1,4,124.717,,30-Apr
24-Apr,F20,Mid,OlFro,1,5,122.841,,30-Apr
24-Apr,F20,Mid,OlFro,2,1,94.145,0.101,30-Apr
24-Apr,F20,Mid,OlFro,2,2,107.5,,30-Apr
24-Apr,F20,Mid,OlFro,2,3,102.754,,30-Apr
24-Apr,F20,Mid,OlFro,2,4,91.275,,30-Apr
24-Apr,F20,Mid,OlFro,2,5,117.874,,30-Apr
24-Apr,F20,Mid,OlFro,3,1,71.63,0.078,30-Apr
24-Apr,F20,Mid,OlFro,3,2,59.379,,30-Apr
24-Apr,F20,Mid,OlFro,3,3,75.713,,30-Apr
24-Apr,F20,Mid,OlFro,3,4,55.405,,30-Apr
24-Apr,F20,Mid,OlFro,3,5,67.325,,30-Apr
24-Apr,F20,Mid,OlFro,3,6,66.442,,30-Apr
24-Apr,F20S,Top,OlFro,1,1,69.533,0.085,30-Apr
24-Apr,F20S,Top,OlFro,1,2,61.365,,30-Apr
24-Apr,F20S,Top,OlFro,1,3,72.844,,30-Apr
24-Apr,F20S,Top,OlFro,1,4,59.158,,30-Apr
24-Apr,F20S,Top,OlFro,1,5,62.138,,30-Apr
24-Apr,F20S,Top,OlFro,1,6,65.449,,30-Apr
24-Apr,F20S,Top,OlFro,1,7,72.733,,30-Apr
24-Apr,F20S,Top,OlFro,2,1,85.315,0.135,30-Apr
24-Apr,F20S,Top,OlFro,2,2,118.095,,30-Apr
24-Apr,F20S,Top,OlFro,2,3,120.302,,30-Apr
24-Apr,F20S,Top,OlFro,2,4,129.794,,30-Apr
24-Apr,F20S,Top,OlFro,2,5,86.088,,30-Apr
24-Apr,F20S,Top,OlFro,2,6,96.352,,30-Apr
24-Apr,F20S,Top,OlFro,2,7,59.71,,30-Apr
24-Apr,F20S,Top,OlFro,2,8,54.522,,30-Apr
24-Apr,F20S,Top,OlFro,3,1,71.63,0.214,30-Apr
24-Apr,F20S,Top,OlFro,3,2,59.379,,30-Apr
24-Apr,F20S,Top,OlFro,3,3,75.713,,30-Apr
24-Apr,F20S,Top,OlFro,3,4,55.405,,30-Apr
24-Apr,F20S,Top,OlFro,3,5,67.325,,30-Apr
24-Apr,F20S,Top,OlFro,3,6,66.442,,30-Apr
24-Apr,F25N,Top,EpGun,1,1,11.147,0.019,30-Apr
24-Apr,F25N,Top,EpGun,1,2,11.81,,30-Apr
24-Apr,F25N,Top,EpGun,1,3,11.368,,30-Apr
24-Apr,F25N,Top,EpGun,1,4,11.368,,30-Apr
24-Apr,F25N,Top,EpGun,1,5,10.485,,30-Apr
24-Apr,F25N,Top,EpGun,1,6,11.258,,30-Apr
24-Apr,F25N,Top,EpGun,1,7,10.264,,30-Apr
24-Apr,F25N,Top,EpGun,1,8,10.595,,30-Apr
24-Apr,F25N,Top,EpGun,1,9,10.816,,30-Apr
24-Apr,F25N,Top,EpGun,1,10,11.699,,30-Apr
24-Apr,F25N,Top,EpGun,1,11,11.368,,30-Apr
24-Apr,F25N,Top,EpGun,1,12,11.037,,30-Apr
24-Apr,F25N,Top,EpGun,2,1,11.81,0.018,30-Apr
24-Apr,F25N,Top,EpGun,2,2,11.81,,30-Apr
24-Apr,F25N,Top,EpGun,2,3,12.803,,30-Apr
24-Apr,F25N,Top,EpGun,2,4,12.582,,30-Apr
24-Apr,F25N,Top,EpGun,2,5,11.478,,30-Apr
24-Apr,F25N,Top,EpGun,2,6,12.251,,30-Apr
24-Apr,F25N,Top,EpGun,2,7,12.361,,30-Apr
24-Apr,F25N,Top,EpGun,2,8,12.251,,30-Apr
24-Apr,F25N,Top,EpGun,2,9,12.361,,30-Apr
24-Apr,F25N,Top,EpGun,2,10,11.92,,30-Apr
24-Apr,F25N,Top,EpGun,2,11,12.141,,30-Apr
24-Apr,F25N,Top,EpGun,2,12,11.258,,30-Apr
24-Apr,F25N,Top,EpGun,3,1,7.505,0.01,30-Apr
24-Apr,F25N,Top,EpGun,3,2,8.83,,30-Apr
24-Apr,F25N,Top,EpGun,3,3,10.264,,30-Apr
24-Apr,F25N,Top,EpGun,3,4,8.498,,30-Apr
24-Apr,F25N,Top,EpGun,3,5,9.381,,30-Apr
24-Apr,F25N,Top,EpGun,3,6,9.05,,30-Apr
24-Apr,F25N,Top,EpGun,3,7,10.154,,30-Apr
24-Apr,F25N,Top,EpGun,3,8,7.284,,30-Apr
24-Apr,F25N,Top,EpGun,3,9,7.726,,30-Apr
24-Apr,F25N,Top,EpGun,3,10,8.83,,30-Apr
24-Apr,F13S,Top,BoFol,1,1,9.492,0.015,30-Apr
24-Apr,F13S,Top,BoFol,1,2,9.381,,30-Apr
24-Apr,F13S,Top,BoFol,1,3,10.816,,30-Apr
24-Apr,F13S,Top,BoFol,1,4,9.602,,30-Apr
24-Apr,F13S,Top,BoFol,1,5,8.057,,30-Apr
24-Apr,F13S,Top,BoFol,1,6,9.271,,30-Apr
24-Apr,F13S,Top,BoFol,1,7,8.057,,30-Apr
24-Apr,F13S,Top,BoFol,1,8,9.933,,30-Apr
24-Apr,F13S,Top,BoFol,1,9,9.823,,30-Apr
24-Apr,F13S,Top,BoFol,1,10,8.83,,30-Apr
24-Apr,F13S,Top,BoFol,1,11,9.381,,30-Apr
24-Apr,F13S,Top,BoFol,1,12,8.83,,30-Apr
24-Apr,F13S,Top,BoFol,1,13,8.94,,30-Apr
24-Apr,F13S,Top,BoFol,1,14,8.498,,30-Apr
24-Apr,F13S,Top,BoFol,2,1,9.933,0.01,30-Apr
24-Apr,F13S,Top,BoFol,2,2,9.05,,30-Apr
24-Apr,F13S,Top,BoFol,2,3,9.823,,30-Apr
24-Apr,F13S,Top,BoFol,2,4,9.161,,30-Apr
24-Apr,F13S,Top,BoFol,2,5,7.174,,30-Apr
24-Apr,F13S,Top,BoFol,2,6,8.719,,30-Apr
24-Apr,F13S,Top,BoFol,2,7,9.381,,30-Apr
24-Apr,F13S,Top,BoFol,2,8,10.706,,30-Apr
24-Apr,F13S,Top,BoFol,2,9,8.388,,30-Apr
24-Apr,F13S,Top,BoFol,2,10,8.167,,30-Apr
24-Apr,F13S,Top,BoFol,2,11,11.478,,30-Apr
24-Apr,F13S,Top,BoFol,3,1,8.057,0.013,30-Apr
24-Apr,F13S,Top,BoFol,3,2,9.271,,30-Apr
24-Apr,F13S,Top,BoFol,3,3,8.057,,30-Apr
24-Apr,F13S,Top,BoFol,3,4,6.622,,30-Apr
24-Apr,F13S,Top,BoFol,3,5,7.284,,30-Apr
24-Apr,F13S,Top,BoFol,3,6,9.823,,30-Apr
24-Apr,F13S,Top,BoFol,3,7,6.953,,30-Apr
24-Apr,F13S,Top,BoFol,3,8,8.388,,30-Apr
24-Apr,F13S,Top,BoFol,3,9,7.836,,30-Apr
24-Apr,F13S,Top,BoFol,3,10,7.064,,30-Apr
24-Apr,F13S,Top,BoFol,3,11,8.057,,30-Apr
24-Apr,F13S,Top,BoFol,3,12,8.609,,30-Apr
24-Apr,F13S,Top,BoFol,3,13,6.622,,30-Apr
24-Apr,F13S,Top,BoFol,3,14,8.719,,30-Apr
24-Apr,F13S,Top,BoFol,3,15,8.83,,30-Apr
24-Apr,F16S,Top,PoLaw,1,1,10.816,0.034,30-Apr
24-Apr,F16S,Top,PoLaw,1,2,11.699,,30-Apr
24-Apr,F16S,Top,PoLaw,1,3,14.127,,30-Apr
24-Apr,F16S,Top,PoLaw,1,4,15.231,,30-Apr
24-Apr,F16S,Top,PoLaw,1,5,10.706,,30-Apr
24-Apr,F16S,Top,PoLaw,1,6,8.278,,30-Apr
24-Apr,F16S,Top,PoLaw,1,7,8.498,,30-Apr
24-Apr,F16S,Top,PoLaw,1,8,8.719,,30-Apr
24-Apr,F16S,Top,PoLaw,1,9,10.485,,30-Apr
24-Apr,F16S,Top,PoLaw,1,10,9.271,,30-Apr
24-Apr,F16S,Top,PoLaw,1,11,11.037,,30-Apr
24-Apr,F16S,Top,PoLaw,1,12,14.789,,30-Apr
24-Apr,F16S,Top,PoLaw,1,13,9.712,,30-Apr
24-Apr,F16S,Top,PoLaw,1,14,11.699,,30-Apr
24-Apr,F16S,Top,PoLaw,1,15,1.324,,30-Apr
24-Apr,F16S,Top,PoLaw,1,16,9.05,,30-Apr
24-Apr,F16S,Top,PoLaw,1,17,13.024,,30-Apr
24-Apr,F16S,Top,PoLaw,2,1,13.796,0.034,30-Apr
24-Apr,F16S,Top,PoLaw,2,2,16.555,,30-Apr
24-Apr,F16S,Top,PoLaw,2,3,17.769,,30-Apr
24-Apr,F16S,Top,PoLaw,2,4,21.301,,30-Apr
24-Apr,F16S,Top,PoLaw,2,5,15.893,,30-Apr
24-Apr,F16S,Top,PoLaw,2,6,16.886,,30-Apr
24-Apr,F16S,Top,PoLaw,2,7,23.067,,30-Apr
24-Apr,F16S,Top,PoLaw,2,8,17.769,,30-Apr
24-Apr,F16S,Top,PoLaw,2,9,1.876,,30-Apr
24-Apr,F16S,Top,PoLaw,2,10,15.562,,30-Apr
24-Apr,F16S,Top,PoLaw,2,11,17.218,,30-Apr
24-Apr,F16S,Top,PoLaw,2,12,11.147,,30-Apr
24-Apr,F16S,Top,PoLaw,2,13,18.763,,30-Apr
24-Apr,F16S,Top,PoLaw,3,1,15.452,0.031,30-Apr
24-Apr,F16S,Top,PoLaw,3,2,18.542,,30-Apr
24-Apr,F16S,Top,PoLaw,3,3,11.147,,30-Apr
24-Apr,F16S,Top,PoLaw,3,4,15.231,,30-Apr
24-Apr,F16S,Top,PoLaw,3,5,17.107,,30-Apr
24-Apr,F16S,Top,PoLaw,3,6,11.589,,30-Apr
24-Apr,F16S,Top,PoLaw,3,7,12.692,,30-Apr
24-Apr,F16S,Top,PoLaw,3,8,15.893,,30-Apr
24-Apr,F16S,Top,PoLaw,3,9,14.9,,30-Apr
24-Apr,F16S,Top,PoLaw,3,10,15.341,,30-Apr
24-Apr,F16S,Top,PoLaw,3,11,15.341,,30-Apr
24-Apr,F16S,Mid,OlFla,1,1,200.651,0.141,30-Apr
24-Apr,F16S,Mid,OlFla,1,2,163.015,,30-Apr
24-Apr,F16S,Mid,OlFla,1,3,198.554,,30-Apr
24-Apr,F16S,Mid,OlFla,1,4,218.972,,30-Apr
24-Apr,F16S,Mid,OlFla,1,5,200.21,,30-Apr
24-Apr,F16S,Mid,OlFla,2,1,238.508,0.093,30-Apr
24-Apr,F16S,Mid,OlFla,2,2,87.081,,30-Apr
24-Apr,F16S,Mid,OlFla,2,3,86.64,,30-Apr
24-Apr,F16S,Mid,OlFla,2,4,101.981,,30-Apr
24-Apr,F16S,Mid,OlFla,2,5,106.617,,30-Apr
24-Apr,F16S,Mid,OlFla,2,6,82.998,,30-Apr
