Species,Conservation Code,Fire response,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Acacia veronica,P3,OSS,,,,,
Acrotriche dura,P2,,,,,,
Acrotriche parviflora,P4,,,,,,
Actinotus sp Walpole,P3,OSS,,,,,
Adenanthos cacomorphus,P2,RS,,,,,
Adenanthos gracilipes,P3,,,,,,
Adenanthos ileticos,P4,,,,,,
Adenanthos labillardierei,P4,OSS,,,,,
Adenanthos pungens ssp. effusus,R,,,,,,
Adenanthos pungens ssp. pungens,R,OSS,,,,,
Adenanthos velutinus,R,,,,,,
Adenanthos x cunninghamii,P4,OSS,,,,,
Agonis undulata,P3,,,,,,
Agrostocrinum scabrum ssp. littorale,P2,,,,,,
Allocasuarina hystricosa,P3,RS,,,,,
Amanita carneiphylla,P2,,,,,,
Amperea protensa,P3,RS,,,,,
Andersonia carinata,P3,OSS,,,,,
Andersonia depressa,P3,OSS,,,,,
Andersonia grandiflora,P3,OSS,,,,,
Andersonia setifolia,P3,OSS,,,,,
Angasomyrtus salina,P2,,,,,,
Anthocercis sylvicola,P2,RS,,,,,
Aotus franklandii,P2,?,,,,,
Aotus lanea,P1,,,,,,
Aotus prosacris,P1,,,,,,
Apodasmia ceramophila,P2,RS,,,,,
Asplenium aethiopicum,P4,FERN,,,,,
Asplenium obtusatum ssp. northlandicum,R,FERN,,,,,
Astartea sp. Esperance (A. Fairall 2431),P1,,,,,,
Astartea sp. Fitzgerald (K.R. Newbey 10844),P2,,,,,,
Astartea sp. Hopetoun area (A.S. George 10594),P3,OSS,,,,,
Astartea sp. Jerdacuttup (A. Strid 21898),P1,,,,,,
Astartea sp. Jyndabinbin Rocks (K.R. Newbey 7689),P2,,,,,,
Astartea sp.Fitzgerald(K.R.Newbey 10844),P2,,,,,,
Asteridea archeri,P2,OSS,,,,,
Asteridea gracilis,P3,,,,,,
Asterolasia sp. Kalgan River (S. Barrett 1522),P1,OSS,,,,,
Astroloma microphyllum,P3,,,,,,
Astroloma recurvum,P3,,,,,,
Astroloma sp. Grass Patch (A.J.G. Wilson 110),P2,,,,,,
Astroloma sp.Nannup(R.D.Royce 3978),P4,,,,,,
Astus duomilius,P1,,,,,,
Astus wittweri,P2,,,,,,
Atriplex muelleri,P1,,,,,,
Austrofestuca littoralis,P1,RS?,,,,,
Baeckea crispiflora ssp. Ongerup (A. Scougall & C. Garawanta E35),P1,,,,,,
Baeckea sp. Exclamation Lake (M.E. Trudgen 1524),P1,,,,,,
Baeckea sp. Gibson (K.R. Newbey 11084),P1,,,,,,
Baeckea sp. Hatter Hill (K.R. Newbey 3284),P3,,,,,,
Baeckea sp. Merredin (K.R. Newbey 2506),P3,,,,,,
Baeckea sp. Mt Gibbs (G.F. Craig 7031),P2,,,,,,
Baeckea sp. Mt Glasse (P.G. Wilson 5717),P2,,,,,,
Baeckea sp. Youndegin Hill (A.S. George 15772),P1,,,,,,
Banksia acuminata,P4,RS,,,,,
Banksia calophylla,P3,RS,,,,,
Banksia goodii,R,RS,,,,,
Banksia hirta,P3,OSC,,,,,
Banksia laevigata ssp. laevigata,P4,OSC,,,,,
Banksia lepidorhiza,P1,RS,,,,,
Banksia lullfitzii,P3,RS,,,,,
Banksia meganotia,P3,RS,,,,,
Banksia mucronulata ssp. retrorsa,R,OSC,,,,,
Banksia prolata ssp. archeos,P2,OSC,,,,,
Banksia prolata ssp. calcicola,P1,OSC,,,,,
Banksia prolata ssp. prolata,P3,OSC,,,,,
Banksia rufa ssp. chelomacarpa,P3,RS,,,,,
Banksia rufa ssp. flavescens,P3,RS,,,,,
Banksia sessilis var. cordata,P4,OSC,,,,,
Banksia sphaerocarpa var. dolichostyla,R,RS,,,,,
Banksia sphaerocarpa var.. latifolia,P2,RS,,,,,
Banksia subpinnatifida var.. imberbis,P2,OSC,,,,,
Banksia viscida,P3,OSC,,,,,
Banksia xylothemelia,P3,RS,,,,,
Bentleya diminuta,P2,RS?,,,,,
Bentleya spinescens,P4,,,,,,
Beyeria villosa,P4,OSS,,,,,
Beyeria cockertonii,R,OSS,,,,,
Billardiera drummondii,P4,OSS,,,,,
Boronia acanthoclada,P2,,,,,,
Boronia anceps,P3,,,,,,
Boronia baeckeacea ssp. patula,P1,,,,,,
Boronia clavata,R,OSS,,,,,
Boronia coriacea,P2,,,,,,
Boronia corynophylla,P2,,,,,,
Boronia crassipes,P3,OSS?,,,,,
Boronia crenulata var.. angustifolia,P4,,,,,,
Boronia oxyantha var.. brevicalyx,P3,OSS,,,,,
Boronia penicillata,P3,,,,,,
Boronia revoluta,R,OSS?,,,,,
Boronia scabra ssp. attenuata,P3,,,,,,
Borya longiscapa,P2,RS,,,,,
Bossiaea atrata,P3,,,,,,
Bossiaea concinna,P3,,,,,,
Bossiaea disticha,P3,,,,,,
Bossiaea divaricata,P4,,,,,,
Bossiaea flexuosa,P3,,,,,,
Bossiaea oxyclada,P2,,,,,,
Bossiaea simulata,P1,,,,,,
Bossiaea sp. Frankland (E.M. Sandiford EMS 896),P1,,,,,,
Bossiaea spinosa,P3,,,,,,
Brachyloma mogin,P3,,,,,,
Brachyloma nguba,P1,,,,,,
Caesia viscida,P2,GEO,,,,,
Caladenia abbreviata,P2,GEO,,,,,
Caladenia arrecta,P4,GEO,,,,,
Caladenia bryceana ssp. bryceana,R,GEO,,,,,
Caladenia christineae,R,GEO,,,,,
Caladenia cristata,P4,GEO,,,,,
Caladenia dorrienii,R,GEO,,,,,
Caladenia erythrochila,P2,GEO,,,,,
Caladenia evanescens,P1,GEO,,,,,
Caladenia exstans,P4,GEO,,,,,
Caladenia harringtoniae,R,GEO,,,,,
Caladenia integra,P4,GEO,,,,,
Caladenia interjacens,P4,GEO,,,,,
Caladenia longifimbriata,P1,GEO,,,,,
Caladenia luteola,P2,GEO,,,,,
Caladenia plicata,P4,GEO,,,,,
Caladenia startiorum,P2,GEO,,,,,
Caladenia voigtii,P4,GEO,,,,,
Caladenia x triangularis,P4,GEO,,,,,
Calectasia keigheryi,P2,RS,,,,,
Calectasia obtusa,P3,RS,,,,,
Calochilus sp. Hopetoun (H. Taylor s.n.),P2,GEO,,,,,
Calothamnus crassus,P4,RS/OSC,,,,,
Calothamnus macrocarpus,P2,RS,,,,,
Calothamnus robustus,P3,?OSC,,,,,
Calycopeplus marginatus,P3,?OSS,,,,,
Calytrix nematoclada,P3,,,,,,
Calytrix pulchella,P3,,,,,,
Carex tereticaulis,P1,,,,,,
Carpobrotus pulcher,P2,,,,,,
Caustis sp. Boyanup (G.S. McCutcheon 1706),P1,RS,,,,,
Centrolepis caespitosa,P4,OSS,,,,,
Centrolepis cephaloformis ssp. murrayi,P3,OSS,,,,,
Chamaescilla gibsonii,P3,GEO,,,,,
Chamelaucium floriferum ssp. diffusum,P2,OSS,,,,,
Chamelaucium forrestii ssp. forrestii,P2,OSS,,,,,
Chamelaucium forrestii ssp. orarium,P2,,,,,,
Chamelaucium juniperinum,P2,OSS,,,,,
Chordifex abortivus,R,OSS,,,,,
Chordifex gracilior,P3,OSS,,,,,
Chordifex isomorphus,P4,RS,,,,,
Chordifex leucoblepharus,P2,RS,,,,,
Chordifex ornatus,P2,OSS,,,,,
Chorizema carinatum,P3,,,,,,
Chorizema circinale,P1,OSS,,,,,
Chorizema ulotropis,P4,,,,,,
Chthonocephalus multiceps,P2,,,,,,
Coleanthera coelophylla,P1,,,,,,
Comesperma calcicola,P3,,,,,,
Comesperma lanceolatum,P2,,,,,,
Commersonia sp. Mt Groper (R. Cranfield & D. Kabay 9157),R,OSS,,,,,
Conospermum coerulescens ssp. coerulescens,P1,,,,,,
Conospermum quadripetalum,P2,OSS?,,,,,
Conospermum sigmoideum,P2,,,,,,
Conostephium marchantiorum,P3,,,,,,
Conostephium uncinatum,P1,,,,,,
Conostylis lepidospermoides,R,,,,,,
Conostylis misera,R,RS,,,,,
Conostylis seorsiflora ssp. Nyabing(A.Coates s.n.),P2,,,,,,
Coopernookia georgei,R,OSS,,,,,
Corybas limpidus,P4,GEO,,,,,
Cryptandra arbutiflora var.. pygmaea,P1,,,,,,
Cryptandra exserta,P1,,,,,,
Cryptandra inconspicua,P2,,,,,,
Cryptandra polyclada ssp. polyclada,P3,,,,,,
Cyathochaeta stipoides,P3,,,,,,
Cyathochaeta teretifolia,P3,,,,,,
Cyathostemon sp. Dowak (J.M. Fox 86/271),P1,,,,,,
Cyathostemon sp. Lake King (M.E. & M.E. Trudgen 1462),P2,,,,,,
Cyathostemon sp. Salmon Gums (B. Archer 769),P3,,,,,,
Cymbonotus preissianus,P3,,,,,,
Dampiera decurrens,P2,,,,,,
Dampiera fitzgeraldensis,P2,,,,,,
Dampiera orchardii,P2,,,,,,
Dampiera sericantha,P3,OSS,,,,,
Darwinia calothamnoides,R,,,,,,
Darwinia carnea,R,,,,,,
Darwinia luehmannii,P2,,,,,,
Darwinia polycephala,P4,,,,,,
Darwinia sp. Gibson (R.D. Royce 3569),P1,,,,,,
Darwinia sp. Mt Baring (K.R. Newbey 9775),P1,,,,,,
Darwinia sp. Mt Burdett (N.G. Marchant 80/42),P4,,,,,,
Darwinia sp. Mt Ney (M.A. Burgman & S. McNee 1274),P1,,,,,,
Darwinia sp. Peak Charles (A.S. George 10627),P2,,,,,,
Darwinia sp.Thumb Peak(K.R.Newbey 4847),P2,OSS?,,,,,
Daviesia campephylla,P2,,,,,,
Daviesia newbeyi,P2,,,,,,
Daviesia obovata,R,RS/ OSS,,,,,
Daviesia ovata,R,RS/ OSS,,,,,
Daviesia pauciflora,P2,,,,,,
Degelia flabellata,P2,Lichen,,,,,
Desmocladus biformis,P3,,,,,,
Deyeuxia inaequalis,P1,,,,,,
Dicrastylis archeri,P1,,,,,,
Dicrastylis capitellata,P1,,,,,,
Dicrastylis corymbosa,P3,,,,,,
Dicrastylis obovata,P2,,,,,,
Dillwynia acerosa,P1,,,,,,
Diuris drummondii,R,GEO,,,,,
Diuris heberlei,P2,GEO,,,,,
Dodonaea hexandra,P1,,,,,,
Drakaea micrantha,R,GEO,,,,,
Drepanocladus aduncus,P2,Moss,,,,,
Drosera gibsonii,P2,GEO?,,,,,
Drosera salina,P2,GEO?,,,,,
Eremophila biserrata,P4,OSS,,,,,
Eremophila chamaephila,P2,OSS,,,,,
Eremophila ciliata,R,OSS,,,,,
Eremophila compressa,P3,OSS,,,,,
Eremophila denticulata ssp. denticulata,R,OSS,,,,,
Eremophila glabra ssp. Scaddan (C. Turley s.n. 10/11/2005),P1,RS/OSS,,,,,
Eremophila oblonga,P1,RS/OSS,,,,,
Eremophila racemosa,P4,OSS,,,,,
Eremophila serpens,P4,OSS,,,,,
Eremophila subteretifolia,R,OSS,,,,,
Eremophila succinea,P3,OSS,,,,,
Eremophila veneta,P4,RS/OSS,,,,,
Eryngium ferox,P3,,,,,,
Eucalyptus acies,P4,RS,,,,,
Eucalyptus aquilina,P4,RS,,,,,
Eucalyptus arborella,P3,OSC,,,,,
Eucalyptus balanopelex,P1,RS,,,,,
Eucalyptus brandiana ms,P?,OSC,,,,,
Eucalyptus brevistylis,P4,RS/OSC,,,,,
Eucalyptus brockwayi,P3,OSC,,,,,
Eucalyptus buprestium x Eucalyptus erectifolia,P4,RS,,,,,
Eucalyptus buprestium x Eucalyptus ligulata,P4,RS,,,,,
Eucalyptus buprestium x Eucalyptus marginata,P4,RS,,,,,
Eucalyptus buprestium x Eucalyptus staeri,P4,RS,,,,,
Eucalyptus burdettiana,R,RS,,,,,
Eucalyptus calcicola ssp. calcicola,P4,RS,,,,,
Eucalyptus calcicola ssp. unita,P4,RS,,,,,
Eucalyptus calyerup,P1,OSC,,,,,
Eucalyptus coronata,R,RS,,,,,
Eucalyptus creta,P3,OSC,,,,,
Eucalyptus deflexa,P4,RS,,,,,
Eucalyptus desmondensis,P4,RS,,,,,
Eucalyptus dielsii x Eucalyptus platypus,P1,OSC,,,,,
Eucalyptus dolichorhyncha,P4,OSC,,,,,
Eucalyptus erectifolia,P4,RS,,,,,
Eucalyptus famelica,P3,RS,,,,,
Eucalyptus foliosa,P3,,,,,,
Eucalyptus fraseri ssp. melanobasis,P2,OSC,,,,,
Eucalyptus georgei ssp. fulgida,P4,OSC,,,,,
Eucalyptus georgei ssp. georgei,P4,OSC,,,,,
Eucalyptus goniantha ssp. goniantha,P4,RS,,,,,
Eucalyptus histophylla,P3,RS,,,,,
Eucalyptus insularis,R,RS,,,,,
Eucalyptus latens,P4,RS,,,,,
Eucalyptus ligulata ssp. ligulata,P4,RS,,,,,
Eucalyptus ligulata ssp. stirlingica,P4,RS,,,,,
Eucalyptus litorea,P2,RS,,,,,
Eucalyptus marginata x Eucalyptus pachyloma,P4,RS,,,,,
Eucalyptus mcquoidii,P2,OSC,,,,,
Eucalyptus melanophitra,P4,OSC,,,,,
Eucalyptus merrickiae,R,RS,,,,,
Eucalyptus microschema,P3,RS,,,,,
Eucalyptus misella,P1,,,,,,
Eucalyptus newbeyi,P3,OSC,,,,,
Eucalyptus nutans,R,OSC,,,,,
Eucalyptus praetermissa,P4,OSC,,,,,
Eucalyptus preissiana ssp. lobata,P4,RS,,,,,
Eucalyptus preissiana x Eucalyptus staeri,P4,RS,,,,,
Eucalyptus proxima,P4,RS,,,,,
Eucalyptus purpurata,R,OSC,,,,,
Eucalyptus quaerenda,P3,RS,,,,,
Eucalyptus retusa,P?,RS,,,,,
Eucalyptus rhomboidea,P4,OSC,,,,,
Eucalyptus rugulata,P4,OSC,,,,,
Eucalyptus semiglobosa,P3,RS,,,,,
Eucalyptus sinuosa,P2,RS,,,,,
Eucalyptus sp. Esperance (M.E. French 1579),P1,,,,,,
Eucalyptus sp. Fitzgerald River (M.I.H. Brooker 10923),P2,,,,,,
Eucalyptus steedmanii,R,OSC,,,,,
Eucalyptus stoatei,P4,OSC,,,,,
Eucalyptus sweedmaniana ms,P1,RS,,,,,
Eucalyptus varia ssp. salsuginosa,P4,RS,,,,,
Eucalyptus vesiculosa,P2,OSC,,,,,
Eucalyptus virginea,P4,RS/OSC,,,,,
Eucalyptus x bennettiae,P4,RS,,,,,
Eucalyptus x chrysantha,P2,RS,,,,,
Eucalyptus x erythrandra,P4,RS,,,,,
Eucalyptus x kalganensis,P4,RS,,,,,
Eucalyptus x missilis,P4,RS,,,,,
Eucalyptus x stoataptera,P2,RS/OSC,,,,,
Euryomyrtus leptospermoides,P3,,,,,,
Eutaxia acanthoclada,P3,,,,,,
Eutaxia actinophylla,P1,,,,,,
Eutaxia andocada,P1,,,,,,
Eutaxia nanophylla,P3,,,,,,
Fabronia hampeana,P2,,,,,,
Frankenia brachyphylla,P2,,,,,,
Frankenia drummondii,P3,,,,,,
Gahnia sclerioides,P3,RS,,,,,
Galium migrans,P3,OSS,,,,,
Gastrolobium acrocaroli,P2,?OSS,,,,,
Gastrolobium crenulatum,P2,OSS,,,,,
Gastrolobium cruciatum,P3,,,,,,
Gastrolobium elegans,P2,OSS,,,,,
Gastrolobium ferrugineum,P2,OSS,,,,,
Gastrolobium formosum,P3,,,,,,
Gastrolobium humile,P1,,,,,,
Gastrolobium involutum,P1,,,,,,
Gastrolobium lehmannii,R,,,,,,
Gastrolobium ovalifolium,P4,,,,,,
Gastrolobium pycnostachyum,P2,,,,,,
Gastrolobium stenophyllum,P3,OSS,,,,,
Gastrolobium aff bilobum Corackerup,,OSS,,,,,
Gastrolobium subcordatum,P4,,,,,,
Gastrolobium tergiversum,P2,,,,,,
Gnephosis intonsa,P1,,,,,,
Gonocarpus pycnostachyus,P3,OSS,,,,,
Goodenia filiformis,P3,OSS?,,,,,
Goodenia laevis ssp. laevis,P3,,,,,,
Goodenia phillipsiae,P4,OSS,,,,,
Goodenia quadrilocularis,P2,,,,,,
Goodenia scapigera ssp. graniticola,P2,,,,,,
Goodenia trichophylla,P3,,,,,,
Goodenia turleyae,P1,,,,,,
Grammosolen sp. Mt Ridley (W.R. Archer 1210911),P1,,,,,,
Gratiola pedunculata,P2,,,,,,
Grevillea acropogon,R,,,,,,
Grevillea aneura,P4,,,,,,
Grevillea baxteri,P4,,,,,,
Grevillea coccinea ssp. lanata,P3,,,,,,
Grevillea fastigiata,P3,OSS,,,,,
Grevillea fistulosa,P4,OSS,,,,,
Grevillea fulgens,P3,OSS,,,,,
Grevillea insignis ssp. elliotii,P3,,,,,,
Grevillea newbeyi,P3,,,,,,
Grevillea prostrata,P4,,,,,,
Grevillea ripicola,P4,,,,,,
Grevillea sp. Stirling Range (D.J. McGillivray 3488 & A.S. George),P2,0SS,,,,,
Grevillea sulcata,P1,,,,,,
Guichenotia asteriskos,P2,,,,,,
Gyrostemon ditrigynus,P4,,,,,,
Gyrostemon sp. Ravensthorpe (G. Cockerton & N. Evelegh 9467),P1,OSS,,,,,
Gyrostemon thesioides,P2,OSS,,,,,
Haegiela tatei,P2,OSS,,,,,
Hakea acuminata,P2,OSC,,,,,
Hakea brachyptera,P3,,,,,,
Hakea hookeriana,P4,OSC,,,,,
Hakea lasiocarpha,P3,OSC,,,,,
Hakea oldfieldii,P3,,,,,,
Hakea tuberculata,P3,OSC,,,,,
Halgania sp. Peak Eleanora (M.A. Burgman 3547 B),P2,,,,,,
Hemiandra australis,P2,OSS,,,,,
Hemigenia microphylla,P3,,,,,,
Hemigenia platyphylla,P4,,,,,,
Hemigenia rigida,P1,,,,,,
Hibbertia acrotrichion,P2,,,,,,
Hibbertia argentea,P3,OSS,,,,,
Hibbertia carinata,P1,,,,,,
Hibbertia charlesii,P2,,,,,,
Hibbertia fitzgeraldensis,P3,OSS,,,,,
Hibbertia hamata,P3,,,,,,
Hibbertia pachyphylla,P3,,,,,,
Hibbertia papillata,P2,,,,,,
Hibbertia porongurupensis,P4,OSS,,,,,
Hibbertia sp. Bandalup Hill (G.F. Craig 3479),P1,,,,,,
Hibbertia turleyana,P1,,,,,,
Hopkinsia adscendens,P3,RS,,,,,
Hybanthus volubilis,P2,,,,,,
Hydrocotyle coraginaensis,P2,,,,,,
Hydrocotyle decipiens,P2,OSS,,,,,
Hydrocotyle muriculata,P1,OSS,,,,,
Hydrocotyle sp. Truslove (M.A. Burgman 4419),P1,OSS,,,,,
Hydrocotyle vigintimilia,P1,OSS,,,,,
Hypocalymma melaleucoides,P2,OSS,,,,,
Hypocalymma cordifolium subsp minus,P4,,,,,,
Hypocalymma phillipsii,P3,RS,,,,,
Hypocalymma sp. Cascade (R. Bruhn 20896),P2,,,,,,
Isolepis australiensis,P2,OSS,,,,,
Isopogon alcicornis,P3,RS,,,,,
Jacksonia calycina,P4,OSS,,,,,
Jacksonia compressa,P4,OSS,,,,,
Jacksonia intricata,P2,OSS,,,,,
Juncus meianthus,P2,,,,,,
Kennedia beckxiana,P4,OSS,,,,,
Keraudrenia adenogyna,P2,,,,,,
Kunzea acicularis,P1,OSS,,,,,
Kunzea ericifolia ssp. subulata,P2,,,,,,
Kunzea micrantha ssp. hirtiflora,P2,,,,,,
Kunzea pauciflora,P4,OSS,,,,,
Kunzea similis ssp. mediterranea,R,OSS,,,,,
Kunzea similis ssp. similis,R,OSS,,,,,
Lambertia echinata ssp. echinata,R,OSC,,,,,
Lambertia rariflora ssp. lutea,P3,OSS,,,,,
Lasiopetalum dielsii,P2,,,,,,
Lasiopetalum fitzgibbonii,P3,,,,,,
Lasiopetalum maxwellii,P2,,,,,,
Lasiopetalum monticola,P3,,,,,,
Latrobea pinnacula,P2,OSS,,,,,
Latrobea recurva,P3,,,,,,
Lechenaultia acutiloba,P3,,,,,,
Lepidium aschersonii,R,OSS,,,,,
Lepidium desvauxii,P2,OSS,,,,,
Lepidium fasciculatum,P1,,,,,,
Lepidium pseudotasmanicum,P4,,,,,,
Lepidobolus spiralis,P2,RS,,,,,
Lepidosperma gahnioides,P2,,,,,,
Leptinella drummondii,P2,,,,,,
Leptospermum confertum,P2,OSC,,,,,
Lepyrodia fortunata,P2,OSS,,,,,
Leucopogon acicularis,P2,OSS,,,,,
Leucopogon alternifolius,P3,OSS,,,,,
Leucopogon altissimus,P3,OSS,,,,,
Leucopogon apiculatus,P3,OSS,,,,,
Leucopogon blepharolepis,P3,,,,,,
Leucopogon bossiaea,P2,,,,,,
Leucopogon bracteolaris,P2,,,,,,
Leucopogon cymbiformis,P2,,,,,,
Leucopogon denticulatus,P4,OSS,,,,,
Leucopogon florulentus,P3,,,,,,
Leucopogon interruptus,P2,OSS,,,,,
Leucopogon multiflorus,P2,OSS,,,,,
Leucopogon pogonocalyx,P4,OSS,,,,,
Leucopogon rotundifolius,P3,,,,,,
Leucopogon sp. Barren Range (A.S. George 10092),P2,OSS?,,,,,
Leucopogon sp. Bonnie Hill (K.R. Newbey 9831),P1,,,,,,
Leucopogon sp. Ironcaps (N. Gibson & K. Brown 3070),P3,,,,,,
Leucopogon sp. Ongerup (A.S. George 16682),P1,,,,,,
Leucopogon sp. Roberts Swamp (K.R. Newbey 8173),P1,,,,,,
Leucopogon sp. South Coast (K.R. Newbey 8213),P1,,,,,,
Leucopogon tamariscinus,P4,OSS,,,,,
Levenhookia octomaculata,P3,,,,,,
Levenhookia pulcherrima,P2,OSS,,,,,
Lissanthe pleurandroides,P3,,,,,,
Lissanthe synandra,P1,,,,,,
Lomandra ordii,P3,RS/OSS,,,,,
Lysinema lasianthum,P4,OSS,,,,,
Marianthus granulatus,P4,OSS,,,,,
Meeboldina crassipes,P3,RS,,,,,
Meeboldina thysanantha,P3,,,,,,
Melaleuca agathosmoides,P1,,,,,,
Melaleuca araucarioides,P4,,,,,,
Melaleuca dempta,P3,OSC,,,,,
Melaleuca diosmifolia,P3,,,,,,
Melaleuca eximia,P2,,,,,,
Melaleuca fissurata,P4,,,,,,
Melaleuca incana ssp. tenella,P3,OSC,,,,,
Melaleuca macronychia ssp. trygonoides,P3,,,,,,
Melaleuca micromera,P3,,,,,,
Melaleuca ordinifolia,P2,,,,,,
Melaleuca papillosa,P4,,,,,,
Melaleuca penicula,P2,,,,,,
Melaleuca polycephala,P3,,,,,,
Melaleuca pritzelii,P2,,,,,,
Melaleuca sculponeata,P3,,,,,,
Melaleuca similis,P1,RS,,,,,
Melaleuca sp. Kundip (G.F. Craig 6020),P1,OSC,,,,,
Melaleuca stramentosa,P3,OSC,,,,,
Melaleuca viminea ssp. appressa,P2,,,,,,
Meziella trifida,R,OSS,,,,,
Microcorys longiflora,P3,OSS,,,,,
Microcorys pimeleoides,P3,OSS?,,,,,
Microcorys sp. Boxwood (K.R. Newbey 4200),P1,OSS,,,,,
Microcorys sp. Stirling Range (S. Barrett 1392),P2,OSS?,,,,,
Microcybe pauciflora ssp. grandis,P3,,,,,,
Micromyrtus elobata ssp. scopula,P3,,,,,,
Micromyrtus navicularis,P3,OSS,,,,,
Microseris scapigera,P3,,,,,,
Microtis globula,R,GEO,,,,,
Microtis media ssp. quadrata,P4,,,,,,
Microtis pulchella,P4,GEO,,,,,
Mirbelia densiflora,P1,,,,,,
Mitreola minima,P3,OSS,,,,,
Monotoca aristata,P2,OSS,,,,,
Monotoca leucantha,P3,OSS,,,,,
Myoporum velutinum,P1,OSS,,,,,
Myriocephalus appendiculatus,P3,,,,,,
Myriocephalus biflorus,P2,,,,,,
Myriophyllum balladoniense,P4,,,,,,
Myriophyllum petraeum,P4,,,,,,
Olax scalariformis,P3,,,,,,
Olearia laciniifolia,P2,,,,,,
Opercularia hirsuta,P2,,,,,,
Opercularia rubioides,P2,,,,,,
Orthrosanthus muelleri,R,GEO,,,,,
Otion rigidum,P2,,,,,,
Paracaleana parvula,P2,,,,,,
Parmeliopsis macrospora,P3,,,,,,
Patersonia inaequalis,P2,,,,,,
Persoonia baeckeoides,P1,,,,,,
Persoonia brevirhachis,P3,,,,,,
Persoonia cymbifolia,P3,,,,,,
Persoonia micranthera,R,OSS,,,,,
Persoonia scabra,P3,,,,,,
Petrophile biternata,P3,,,,,,
Petrophile longifolia,P3,,,,,,
Philotheca apiculata,P2,,,,,,
Philotheca cymbiformis,P2,,,,,,
Philotheca gardneri ssp. globosa,P1,,,,,,
Philotheca gardneri ssp. Ravensthorpe (G.F. Craig 6902),P1,,,,,,
Phlegmatospermum eremaeum,P2,,,,,,
Pilostyles collina,P4,,,,,,
Pimelea halophila,P2,,,,,,
Pimelea longiflora ssp. eyrei,P2,,,,,,
Pimelea neokyrea,P2,,,,,,
Pimelea pelinos,P1,,,,,,
Pimelea physodes,P4,OSS,,,,,
Pimelea rosea ssp. annelsii,P3,,,,,,
Pityrodia chrysocalyx,P3,,,,,,
Pleurophascum occidentale,P4,MOSS,,,,,
Prasophyllum paulineae,P1,GEO,,,,,
Prostanthera carrickiana,P4,OSS,,,,,
Prostanthera splendens,P1,,,,,,
Prostanthera verticillaris,P1,OSS,,,,,
Pterostylis sp. Ongerup (K.R. Newbey 4874),P4,GEO,,,,,
Ptilotus halophilus,P4,,,,,,
Pultenaea adunca,P3,,,,,,
Pultenaea brachyphylla,P2,,,,,,
Pultenaea calycina ssp. calycina,P3,,,,,,
Pultenaea calycina ssp. proxena,P4,OSS,,,,,
Pultenaea indira ssp. monstrosita,P3,,,,,,
Pultenaea indira ssp. pudoides,P2,,,,,,
Pultenaea pinifolia,P3,,,,,,
Pultenaea sp. Kundip (G.F. Craig 6008),P1,OSS?,,,,,
Pultenaea wudjariensis,P1,,,,,,
Reedia spathacea,R,RS,,,,,
