tree_id,site_location_name,collection_date,genus,species,longitude,latitude,mean_dry_area,mean_dry_mass,mean_SLA,mean_fresh_area,mean_fresh_SLA,mean_shrinkage
Efas3,SATFLB0027,12/6/14,Eucalyptus,fasciculosa,138.6790056,-35.08308056,1559.3508,263.28,6.1386610644,NA,NA,NA
Efas4,SAAKAN0004,22/10/18,Eucalyptus,fasciculosa,136.973145,-35.722523,1625.0086,421.16,3.856597536,NA,NA,NA
Efas5,SAAKAN0003,21/10/18,Eucalyptus,fasciculosa,137.3340444,-35.74408333,1525.0746,403.28000000000003,3.8196710008,NA,NA,NA
Efas6,SATFLB0027,2/11/18,Eucalyptus,fasciculosa,138.6790056,-35.08308056,1898.4846,481.9,3.9948256069999997,NA,NA,NA
Efas7,SATFLB0026,9/11/18,Eucalyptus,fasciculosa,138.78705,-34.88775556,1499.578,387.4,3.8858251638,NA,NA,NA
Eint1,SATFLB0018,8/8/18,Eucalyptus,intertexta,139.3241306,-30.21904444,665.0784,175.9,3.7805744234,NA,NA,NA
Eint2,SATFLB0004,18/9/12,Eucalyptus,intertexta,138.5673306,-31.32773611,781.9964,252.46,3.1174588506,NA,NA,NA
Eint3,SATFLB0019,8/9/13,Eucalyptus,intertexta,139.2328694,-30.21953056,738.3648000000001,222.56,3.35320803,NA,NA,NA
Eint4,SATFLB0022,7/9/18,Eucalyptus,intertexta,139.2260583,-30.40600556,1104.2664,258.946,4.2802289508,NA,NA,NA
Eleu1,WAITECONRES,15/12/20,Eucalyptus,leucoxylon,138.64143,-34.9722,1286.1426000000001,419.14,3.0853754414,1447.2248,3.47350944,11.152800122
Eleu2,WAITECONRES,15/12/20,Eucalyptus,leucoxylon,138.64143,-34.9722,1991.5138,579.76,3.4908963564,2239.9808000000003,3.9254114074,11.084314522
Eleu3,WAITECONRES,15/12/20,Eucalyptus,leucoxylon,138.64143,-34.9722,2200.2814,661.7,3.33069081,2467.34,3.7342174312,10.7528866722
Eleu4,WAITECONRES,15/12/20,Eucalyptus,leucoxylon,138.64143,-34.9722,1350.6774,295,4.6473417172,1513.6288,5.202457627,10.6908819906
Eleu5,WAITECONRES,15/12/20,Eucalyptus,leucoxylon,138.64143,-34.9722,1198.5428000000002,349.94,3.4267148276,1335.1648,3.8184392076,10.2841762572
Emic1,WAITECONRES,15/12/20,Eucalyptus,microcarpa,138.64143,-34.9722,1030.5216,219.64,4.6613127306,1156.7523999999999,5.2424022522,11.067769522999999
Emic2,WAITECONRES,15/12/20,Eucalyptus,microcarpa,138.64143,-34.9722,987.9768,272.08,3.633686414,1097.3778,4.0386237676,10.0195823494
Emic3,WAITECONRES,15/12/20,Eucalyptus,microcarpa,138.64143,-34.9722,1443.7992,277.46,5.1779574706,1618.305,5.8012806764,10.6874791518
Emic4,WAITECONRES,15/12/20,Eucalyptus,microcarpa,138.64143,-34.9722,2149.3098,489.92,4.4186557126,2489.5632,5.1122037586,13.68591974
Emic5,WAITECONRES,15/12/20,Eucalyptus,microcarpa,138.64143,-34.9722,1406.1282,396.72,3.6466807646,1553.962,4.0467756989999994,9.633175768
Eobl1,SATFLB0015,22/11/12,Eucalyptus,obliqua,138.7269537,-34.93342691,1311.6704,292.46,4.4703373376,NA,NA,NA
Eobl2,SATFLB0002,14/8/12,Eucalyptus,obliqua,138.9086,-34.68309722,937.9432,238.12,3.9606443724,NA,NA,NA
Eobl3,SAAKAN0001,28/2/19,Eucalyptus,obliqua,137.3680278,-35.64864444,1607.0046,466.58,3.4181677702,NA,NA,NA
Eobl4,SATKAN0002,22/8/12,Eucalyptus,obliqua,138.690175,-35.27211111,835.0648,199.08,4.2575492374,NA,NA,NA
Eobl5,SATKAN0001,20/11/18,Eucalyptus,obliqua,138.261275,-35.60826944,2870.708,551.76,5.3596270808,NA,NA,NA
Eodo1,SATFLB0010,25/8/12,Eucalyptus,odorata,138.0326702,-32.82851134,582.4618,174.8,3.2925488442,NA,NA,NA
Eodo2,SAAKAN0011,29/10/18,Eucalyptus,odorata,138.061671,-35.783373,438.7854,126.53999999999999,3.5700124954,NA,NA,NA
Eodo3,SATFLB0014,20/11/12,Eucalyptus,odorata,138.9593701,-34.00513798,694.7752,220.36,3.1459022584,NA,NA,NA
Eodo4,SATFLB0028,14/9/18,Eucalyptus,odorata,138.3932722,-33.55308333,780.6634,249.2,3.150760516,NA,NA,NA
Esoc1,SATFLB0022,7/9/18,Eucalyptus,socialis,139.2260583,-30.40600556,889.6766,285.68,3.1111544582,NA,NA,NA
Esoc2,SATFLB0019,7/8/18,Eucalyptus,socialis,139.2328694,-30.21953056,783.0396,267.3,2.9340686838,NA,NA,NA
Esoc3,SATFLB0020,7/8/18,Eucalyptus,socialis,139.2272333,-30.25567778,615.7616,231.36,2.7133726394,NA,NA,NA
