genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f
Abutilon,Abutilon geranioides," shrub, (0.2-)0.9-2.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon halophilum," shrub, to 1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon indicum," upright shrub, 0.3-4 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon lepidum," spindly, erect shrub, 0.5-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect spindly,erect spindly,woody,
Abutilon,Abutilon leucopetalum," shrub, 0.3-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon macrum," herb or shrub, 0.5-1.2 m high. ",,,,,herb shrub,herb shrub,,,,,,,woody herbaceous,
Abutilon,Abutilon malvifolium," prostrate to upright perennial, herb or shrub, 0.03-0.3 m high. ",perennial,perennial,,,herb shrub,herb shrub,,,,,prostrate,prostrate,woody herbaceous,
Abutilon,Abutilon otocarpum," shrub, 0.15-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon oxycarpum," perennial, shrub or herb, 0.01-0.35(-0.6) m high. ",perennial,perennial,,,herb shrub,herb shrub,,,,,,,woody herbaceous,
Abutilon,Abutilon theophrasti," stout, erect annual, herb, 0.3-1 m high. ",annual,annual,,,herb,herb,,,,,erect,erect,herbaceous,
Abutilon,Abutilon cunninghamii," upright perennial, herb or shrub, 0.5-0.9 m high. ",perennial,perennial,,,herb shrub,herb shrub,,,,,,,woody herbaceous,
Abutilon,Abutilon indicum var. australiense," upright shrub, 0.3-4 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon trudgenii," herb, ca 0.6 m high. ",,,,,herb,herb,,,,,,,herbaceous,
Abutilon,Abutilon pritzelianum," shrub, 1-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon oxycarpum subsp. prostratum," prostrate or upright perennial, shrub or herb, 0.01-0.35(-0.6) m high, to 0.8 m wide. ",perennial,perennial,,,herb shrub,herb shrub,,,,,prostrate,prostrate,woody herbaceous,
Abutilon,Abutilon hannii," erect or straggly annual or perennial, herb or shrub, (0.1-)0.5-2.5(-4) m high. ",annual perennial,annual perennial,,,herb shrub,herb shrub,,,,,erect,erect,woody herbaceous,
Abutilon,Abutilon fraseri subsp. fraseri," spreading shrub, 0.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Abutilon,Abutilon uncinatum," prostrate perennial, herb, 0.2-1 m high, grey foliage, spined pods. ",perennial,perennial,,,herb,herb,,,,,prostrate,prostrate,herbaceous,
Abutilon,Abutilon dioicum," erect, dense shrub, 0.3-4 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect dense,erect dense,woody,
Abutilon,Abutilon grandifolium," erect, slender shrub, to 2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Abutilon,Abutilon sp. Hamelin (A.M. Ashby 2196)," shrub, 0.08-0.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Abutilon,Abutilon sp. Quobba (H. Demarz 3858)," erect shrub, 0.5-1.3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Abutilon,Abutilon sp. Cape Range (A.S. George 1312)," erect shrub, 0.8-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Abutilon,Abutilon sp. Warburton (A.S. George 8164)," many stemmed shrub, ca 0.8 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia drummondii subsp. affinis," erect shrub, 0.3-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Acacia,Acacia drummondii subsp. candolleana," erect shrub, (0.3-)0.6-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Acacia,Acacia leptospermoides subsp. psammophila," spreading shrub, 0.3-1.5 m high, phyllodes small, fleshy, thick, narrowly obovate. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia browniana var. obscura,"  branched shrub, (0.5-)1-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia browniana var. endlicheri," erect shrub, 0.25-0.7(-1) m high, ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Acacia,Acacia browniana var. intermedia," erect, open shrub, (0.3-)0.5-1(-1.5) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect open,erect open,woody,
Acacia,Acacia lineolata subsp. multilineata," dense, rounded shrub, 0.5-2 m high, phyllodes oblong-oblanceolate to oblong-elliptic. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,dense,dense,woody,
Acacia,Acacia ayersiana var. latifolia," dense shrub or tree, 2-7.5(-10) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,dense,dense,woody,
Acacia,Acacia congesta subsp. cliftoniana," spreading shrub, 0.5-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia ancistrophylla var. lissophylla," spreading shrub, (0.4-)1-3 m high, to 5 m wide. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia drummondii subsp. elegans Porongurup variant," shrub, 0.6-4 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia pulchella var. reflexa acuminate bracteole variant," shrub, 0.3-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia leioderma var. Fitzgerald River N.P. variant," shrub, 0.5-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia lateriticola var. Glabrous variant," shrub, 0.4-0.8 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia lasiocarpa var. lasiocarpa Cockleshell Gully variant," shrub, 0.35-0.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia lasiocarpa var. bracteolata long peduncle variant," shrub, 0.4-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia heteroneura var. jutsonii," dense, spreading shrub, 0.5-3 m high, to 3 m wide. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia pulchella var. goadbyi," divaricately branched, diffuse, occasionally spineless shrub, (0.3-)0.5-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia varia var. parviflora," erect, spreading or occasionally prostrate shrub, 0.2-0.6(-1.2) m high, ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect prostrate spreading,erect prostrate spreading,woody,
Acacia,Acacia lasiocarpa var. sedifolia," dense, spreading, divaricately branched, often spinescent shrub, 0.2-1(-1.5) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia eremophila var. Numerous-nerved variant," dense, spreading shrub, 1-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia alata var. platyptera," dense shrub, 0.5-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,dense,dense,woody,
Acacia,Acacia wickhamii subsp. cassitera," shrub, 0.25-0.8 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia wickhamii subsp. viscidula," shrub, 0.25-2.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia xerophila var. brevior," diffuse, spreading, pungent shrub, (0.15-)0.3-1 m high, phyllodes 1-2 cm long, branchlets & phyllodes usually puberulous. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia galioides var. glabriflora," spreading shrub, to 0.6 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia mutabilis subsp. Young River," shrub, 0.5-0.8 m high, phyllodes fleshy. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia longifolia subsp. sophorae," shrub (or prostrate shrub), 0.2-5 m high, phyllodes flat, 50-120 mm long; ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,prostrate,prostrate,woody,
Acacia,Acacia ramulosa var. linophylla," shrub or tree, to 3.5 m high, phyllodes terete, 7.5-13.5 cm long, 0.7-1.4mm diam.; ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia nilotica subsp. indica," dense, spreading shrub or tree, to 12 m high, bark smooth becoming rough and longitudinally fissured at base; ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia abrupta," spreading, resinous shrub, 0.6-3(-4) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia acanthoclada," rigid, spiny, divaricate shrub, 0.1-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia acellerata," rigid, spreading, domed shrub, 0.15-0.7 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia aciphylla," bushy, prickly shrub, 0.6-1.8 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,bushy,bushy,woody,
Acacia,Acacia acradenia," shrub or tree, 0.9-4 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia acuaria," rounded or diffuse to spreading, prickly shrub, (0.3-)0.6-2(-5) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia acuminata," shrub or tree, 1-7(-12) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia acutata," intricate, pungent shrub, 0.3-0.6(-1.2) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia adnata," erect shrub, phyllodes 4-5 mm long, 2-3 mm wide; ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Acacia,Acacia adoxa," shrub, 0.1-1.2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia adsurgens," erect, bushy shrub, 1.5-4(-7) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect bushy,erect bushy,woody,
Acacia,Acacia aestivalis," erect, bushy shrub or tree, 2-4(-8) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,erect bushy,erect bushy,woody,
Acacia,Acacia alata," shrub, 0.3-2.1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia amblyophylla," bushy, open shrub or tree, 1-4 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,bushy open,bushy open,woody,
Acacia,Acacia ampliceps," bushy, glabrous shrub or tree, (0.5-)1.5-8 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,bushy,bushy,woody,
Acacia,Acacia anarthros," erect or prostrate, spinose shrub, 0.1-0.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect prostrate,erect prostrate,woody,
Acacia,Acacia anastema," tree, to 6 m high, bark fibrous. ",perennial,inferred_from_growth_form,,,tree,tree,,,,,,,woody,
Acacia,Acacia anaticeps," glabrous shrub or tree, 1-4 m high, bark fissured & corky. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia anceps," bushy, spreading shrub, (0.5-)1-3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading bushy,spreading bushy,woody,
Acacia,Acacia ancistrocarpa," spreading shrub or tree (occasionally), (0.6-)1-3(-5) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,spreading,spreading,woody,
Acacia,Acacia ancistrophylla," shrub, 0.4-2.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia andrewsii," intricate, spreading, prickly shrub, 0.3-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia aneura," bushy shrub or tree, 1.2-10 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,bushy,bushy,woody,
Acacia,Acacia anfractuosa," diffuse, spindly, weeping shrub or tree, 1.3-4.5 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,spindly,spindly,woody,
Acacia,Acacia anomala," slender,  shrub, 0.2-0.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia aphylla," divaricately branched, spinescent, glaucous shrub, 0.9-2.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia argutifolia," low spreading, intricate shrub, 0.2-0.7 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia argyraea," silvery-grey shrub, 0.75-3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia arida," shrub, 0.9-3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia arrecta," low, dense, spreading shrub, 0.4-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia ashbyae," dense, spreading, rounded shrub, 1.5-2 m high, to 2 m wide. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia assimilis," rounded, dense, spreading shrub or tree, (0.5-)1-3(-4) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia ataxiphylla," shrub, 0.15-0.6 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia atkinsiana," open, spreading, rounded or infundibular shrub, 1.3-3.6 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading open,spreading open,woody,
Acacia,Acacia auricoma," erect. sparsely branched shrub, to 2.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Acacia,Acacia auronitens," spreading, procumbent to ascending, prickly shrub, 0.1-0.5 m high, to 1 m wide. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,decumbent prostrate spreading,ascending procumbent spreading,woody,
Acacia,Acacia ayersiana," shrub or tree, to 8(-10) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia barbinervis," spreading, pungent shrub, 0.1-0.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia basedowii," divaricate, spreading, spiny shrub, 0.5-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia baxteri," compact, pungent shrub, (0.1-)0.2-1(-2) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,compact,compact,woody,
Acacia,Acacia beauverdiana," rounded, multi-stemmed shrub or tree, 1-8 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia benthamii," shrub, ca 1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia bidentata," prostrate or domed shrub, 0.1-1(-1.5) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,prostrate,prostrate,woody,
Acacia,Acacia biflora," prostrate to ascending or erect, open or dense shrub, 0.1-0.6(-1) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect decumbent prostrate dense open,erect ascending prostrate dense open,woody,
Acacia,Acacia binata," dense, domed, spreading shrub, 0.25-1(-1.3) m high, 0.5-2.5 m wide. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia bivenosa," glabrous, bushy, rounded or spreading shrub, 0.5-3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading bushy,spreading bushy,woody,
Acacia,Acacia blakelyi," dense or occasionally slender shrub or tree, 1-3(-6) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,dense,dense,woody,
Acacia,Acacia botrydion," intricately branched, diffuse, spinose shrub, 0.3-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia brachyclada," commonly dense, rounded to spreading shrub, (0.15-)0.3-1.2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia brachyphylla," spreading to upright shrub, 0.2-0.3(-0.9) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia brachystachya," bushy shrub or tree, 2-6 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,bushy,bushy,woody,
Acacia,Acacia browniana," shrub, 0.2-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia burkittii," shrub or tree, 1-7 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia calcarata," spreading, prickly shrub, 0.5-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia calcicola," rounded shrub or tree, 1.5-4(-6) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia camptoclada," low spreading to erect shrub, 0.2-1(-2) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect spreading,erect spreading,woody,
Acacia,Acacia campylophylla," dense, rigid, spreading shrub, 0.1-0.6 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia cedroides," dense, prickly shrub, 0.3-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,dense,dense,woody,
Acacia,Acacia celastrifolia," bushy shrub or tree, 1-3(-4) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,bushy,bushy,woody,
Acacia,Acacia chippendalei," spreading, sprawling shrub, 0.2-0.5(-1) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,sprawling spreading,sprawling spreading,woody,
Acacia,Acacia chrysella," dense, bushy, rounded shrub, 0.7-3.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,dense bushy,dense bushy,woody,
Acacia,Acacia chrysocephala," dense, muchbranched, compact, spiny shrub, (0.1-)0.2-0.6 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,dense compact,dense compact,woody,
Acacia,Acacia chrysochaeta," erect, spindly shrub, to 1.3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect spindly,erect spindly,woody,
Acacia,Acacia chrysopoda," compact, densely branched shrub, (0.15-)0.3-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,compact,compact,woody,
Acacia,Acacia citrinoviridis," weeping tree or shrub (occasionally), 2-9 m high, bark grey & fissured. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia cochlearis," bushy, erect to sprawling, pungent shrub, (0.3-)0.5-3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect sprawling bushy,erect sprawling bushy,woody,
Acacia,Acacia cochlocarpa," sprawling shrub, 0.3-0.7(-1.5) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,sprawling,sprawling,woody,
Acacia,Acacia colletioides," rigid, spreading, dense to diffuse, prickly shrub, 0.5-3(-4) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia comans," low spreading or erect spindly shrub, 0.3-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect spreading spindly,erect spreading spindly,woody,
Acacia,Acacia congesta," spreading shrub, 0.5-2.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia conniana," dense, bushy shrub or tree, 1.2-5(-7) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,dense bushy,dense bushy,woody,
Acacia,Acacia coolgardiensis," shrub or tree, 1-7 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia coriacea," shrub or tree, 1-10 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia costata," spreading, prickly shrub, 0.2-0.5(-1) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia cowleana," erect, sometimes spindly shrub or tree, 1-7 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,erect spindly,erect spindly,woody,
Acacia,Acacia craspedocarpa," erect, blue-grey, broad-leaved shrub or tree (occasionally), 1.2-4(-8) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,erect,erect,woody,
Acacia,Acacia crassistipula," low, spreading shrub, 0.1-0.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia crassiuscula," erect, often spindly or straggly shrub, 1-2.5(-3.5) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect spindly,erect spindly,woody,
Acacia,Acacia crassuloides," dense, cus, spreading shrub, 0.15-0.5 m high, to 1 m wide. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading dense,spreading dense,woody,
Acacia,Acacia crispula," dense, low spreading or prostrate shrub, 0.1-0.3(-0.4) m high, 0.3-1.5 m wide. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,prostrate spreading dense,prostrate spreading dense,woody,
Acacia,Acacia curvata,"  branched, pungent shrub, 0.3-1.5 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia cuspidifolia," dense, bushy, muchbranched shrub or tree (gnarled), 1.8-7 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,dense bushy,dense bushy,woody,
Acacia,Acacia cuthbertsonii," bushy, often gnarled shrub or tree, 1-4(-5) m high, bark fissured, flaking off in brittle pieces. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,bushy,bushy,woody,
Acacia,Acacia cyclops," dense shrub or tree (rarely), 0.8-4(-7) m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,dense,dense,woody,
Acacia,Acacia cyperophylla," tree, 3.5-10(-15) m high, 'minni-ritchi' bark. ",perennial,inferred_from_growth_form,,,tree,tree,,,,,,,woody,
Acacia,Acacia dacrydioides," loose shrub, 1-3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia daviesioides," intricately branched, pungent shrub, 0.3-1 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia daweana," spreading shrub, 0.3-1.5(-2) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,spreading,spreading,woody,
Acacia,Acacia deflexa," prostrate to straggling or erect shrub, 0.15-2 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect prostrate,erect prostrate,woody,
Acacia,Acacia delibrata," slender tree, 2-8 m high, 'minni-ritchi' bark. ",perennial,inferred_from_growth_form,,,tree,tree,,,,,,,woody,
Acacia,Acacia delphina," diffuse, harsh shrub, 0.3-1(-1.3) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia deltoidea," shrub, 1.5-3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,,,woody,
Acacia,Acacia dempsteri," straggly, prickly shrub or tree, 1.2-4 m high. ",perennial,inferred_from_growth_form,,,shrub tree,shrub tree,,,,,,,woody,
Acacia,Acacia densiflora," dense, pungent shrub, (0.2-)0.4-1.2(-1.5) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,dense,dense,woody,
Acacia,Acacia denticulosa," erect, diffuse, spindly shrub, 1-4 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect spindly,erect spindly,woody,
Acacia,Acacia dentifera," erect, loose shrub, 0.6-3 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,erect,erect,woody,
Acacia,Acacia depressa," prostrate, dense, prickly shrub, 0.02-0.15 m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,prostrate dense,prostrate dense,woody,
Acacia,Acacia dermatophylla," open, often wispy & single-stemmed shrub, 0.2-1.2(-1.6) m high. ",perennial,inferred_from_growth_form,,,shrub,shrub,,,,,open,open,woody,
