genus_root,taxon_name,text,life_history_a,life_history_f,parasitic_a,parasitic_f,plant_growth_form_a,plant_growth_form_f,plant_growth_substrate_a,plant_growth_substrate_f,sex_type_a,sex_type_f,stem_growth_habit_a,stem_growth_habit_f,woodiness_a,woodiness_f,created_by
Acacia,Acacia baileyana,"small tree or sometimes shrub, to 6 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia binervia,"tree, to 16 m high;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia boormanii,"bushy shrub to 4 m high, readily coppicing;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,bushy,bushy,woody,NA,NA
Acacia,Acacia boormanii subsp. boormanii,shrubs commonly suckering from roots.,perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia boormanii subsp. gibba,"shrubs,",perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia brachybotrya,"rounded shrub, 1-3 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia brownii,"similar to ulicifolia but distinguished in the following ways. sprawling, commonly semi-prostrate shrub, less than 1 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,prostrate sprawling,prostrate sprawling,woody,NA,NA
Acacia,Acacia buxifolia,"2 subspecies, only subspecies buxifolia present in victoria. see buxifolia subsp buxifolia profile for description of victorian plants.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia,Acacia buxifolia subsp. buxifolia,shrub to 2(-4)m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia caerulescens,"tree to 10-15 m high, often more or less pyramidal;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia cardiophylla,spreading  shrub to circa 2.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia cineramis,spreading shrub to 2 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading,spreading,woody,NA,NA
Acacia,Acacia cognata,"shrub or tree, 3-10 m high, often viscid;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia colletioides,"rigid, diffuse to dense shrub or tree, 0.5-3 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,dense,dense,woody,NA,NA
Acacia,Acacia cultriformis,erect or spreading shrub to 4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,NA
Acacia,Acacia cupularis,"glabrous, open to subdense shrub, 1-2.5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,NA
Acacia,Acacia cyclops,"dense, bushy shrub or small tree, 1-6 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,dense bushy,dense bushy,woody,NA,NA
Acacia,Acacia dallachiana,"slender shrub to small tree, to circa 10 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia daviesii,"shrub to 2.5 m high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia dawsonii,"shrub or tree, 0.4-4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia dealbata,tree to 30 m high or spindly shrub;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spindly,spindly,woody,NA,NA
Acacia,Acacia dealbata subsp. dealbata,"description as for species but usually a tall shrub or tree to 30 m high. new growth variably waxy, but rarely strongly pruinose.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia dealbata subsp. subalpina,description as for species but usually a shrub to 5 (rarely to 10) m high. new growth conspicuously waxy and grey or white;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia deanei,"shrub or small tree, to circa 7 m tall;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia deanei subsp. deanei,diagnostic features as in key.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia,Acacia deanei subsp. paucijuga,diagnostic features as in key.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia,Acacia decora,shrub normally 1-3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia decurrens,tree 10-15 m tall;,perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia dictyocarpa,rounded shrub 1-3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia difformis,"irregularly formed shrub or rounded tree, usually 2-7 m high, sometimes forming thickets;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia dodonaeifolia,"viscid, glabrous shrub or tree, 2-6 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,NA
Acacia,Acacia doratoxylon,"small tree, 3-8 m tall;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia elata,"tree, 8-15 m tall;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia elongata,erect or spreading shrub 0.5-4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Andre Messina, 4 Mar. 2016"
Acacia,Acacia enterocarpa,"dense, rounded, sprawling shrub to 1.5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,sprawling dense,sprawling dense,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia euthycarpa,usually a shrub 2-4 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia euthycarpa subsp. euthycarpa,shrub or small tree to 5 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Andre Messina, 4 Mar. 2016"
Acacia,Acacia euthycarpa subsp. oblanceolata,shrub or tree to 10 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Andre Messina, 4 Mar. 2016"
Acacia,Acacia extensa,"spindly, erect or semi-weeping shrub to 3 m high, glabrous;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spindly,erect spindly,woody,NA,"Andre Messina, 7 Mar. 2016"
Acacia,Acacia exudans,"slightly aromatic, dense rounded shrub, 1-4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Andre Messina, 11 Mar. 2016"
Acacia,Acacia falciformis,"shrub or tree, to circa 12 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia farinosa,"rounded shrub, 1-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia fimbriata,erect or spreading shrub or tree to circa 6 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Andre Messina, 18 Mar. 2016"
Acacia,Acacia flexifolia,"bushy, spreading shrub, usually to 1.5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia floribunda,"spreading shrub or tree, 2-8 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,spreading,spreading,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia frigescens,"shrub or tree, to circa 25 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia genistifolia,"open, often straggly, glabrous shrub, usually 0.6-3 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,open,open,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia glandulicarpa,"dense, spreading, somewhat viscid shrub, 1-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading dense,spreading dense,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia gunnii,"diffuse shrub, prostrate or erect, to 1 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect prostrate,erect prostrate,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia hakeoides,"bushy shrub or tree, usually to circa 4 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,bushy,bushy,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia halliana,"bushy, spreading shrub to 2.5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia havilandiorum,"shrub 1.5-3 m high, occasionally a tree to 4 m;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia homalophylla,"shrub or tree, 5-10 m high,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia howittii,"graceful shrub or tree, 3-9 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia implexa,"shrub or small tree, 3-15 m high,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia infecunda,"shrub 0.3-0.6(-1.2) m high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Andre Messina, 21 Mar. 2016"
Acacia,Acacia irrorata subsp. irrorata,"tree 5-12 m tall; smooth or sometimes finely fissured, dark grey or black;",perennial,inferred_from_growth_form,NA,NA,tree,tree,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia iteaphylla,"bushy, spreading shrub 2-4 m high,",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Andre Messina, 22 Mar. 2016"
Acacia,Acacia kettlewelliae,"bushy shrub or tree, usually 2-10 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,bushy,bushy,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia kybeanensis,dense shrub 1-2.5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,dense,dense,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia lanigera,"rigid shrub, 1-2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia leprosa,"viscid, somewhat aromatic shrub, 1-5 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia leprosa var. crassipoda,spindly shrubs 1.5-3 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spindly,spindly,woody,NA,"Andre Messina, 18 Mar. 2016"
Acacia,Acacia leprosa var. graveolens,spindly shrubs (1-)2-6 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,spindly,spindly,woody,NA,"Andre Messina, 18 Mar. 2016"
Acacia,Acacia leprosa var. magna,"shrub to 3 m high, sometimes trees to 10 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub trees,NA,NA,NA,NA,NA,NA,woody,NA,"Andre Messina, 18 Mar. 2016"
Acacia,Acacia leprosa var. uninervia,bushy shrubs 2-5 m high;,perennial,inferred_from_growth_form,NA,NA,shrub,shrubs,NA,NA,NA,NA,bushy,bushy,woody,NA,"Andre Messina, 18 Mar. 2016"
Acacia,Acacia ligulata,"usually glabrous, dense shrub or tree, 2-3 m high;",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,dense,dense,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia linearifolia,erect spreading shrub or tree to 10 m high;,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Andre Messina, 22 Mar. 2016"
Acacia,Acacia lineata,"bushy, spreading shrub to 2 m high;",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,spreading bushy,spreading bushy,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia loderi,"shrubs or trees, 3-15 m high,",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrubs trees,NA,NA,NA,NA,NA,NA,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia longifolia,"spreading shrub or erect tree, 1.5-10 m high.",perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia longifolia subsp. longifolia,commonly an erect shrub or small tree to 10 m high.,perennial,inferred_from_growth_form,NA,NA,shrub tree,shrub tree,NA,NA,NA,NA,erect,erect,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
Acacia,Acacia longifolia subsp. sophorae,"spreading, tangled, rarely erect shrub to 5 m high and 15 m or more wide.",perennial,inferred_from_growth_form,NA,NA,shrub,shrub,NA,NA,NA,NA,erect spreading,erect spreading,woody,NA,"Entwisle, T.J.; Maslin, B.R.; Cowan, R.S.; Court, A.B. (1996). Mimosaceae. In: Walsh, N.G.; Entwisle, T.J., ‍Flora of Victoria Vol. 3, Dicotyledons Winteraceae to Myrtaceae‍, pp. 585 - 658. Inkata Press, Melbourne."
