sort,species,growth_form,growth_habit,height_max_low,height_max_cm,extreme_height,canopy_width_min_cm,canopy_width_max_cm,fire_status,leaf_type,leaf_shape,leaf_margins,leaf_length_min_mm,leaf_length_max_mm,leaf_width_min_mm,leaf_width_max_mm,fruit_length_min_mm,fruit_length_max_mm,fruit_width_min_mm,fruit_width_max_mm,seed_shape,seed_length_min_mm,seed_length_max_mm,seed_width_min_mm,seed_width_max_mm,seed_breadth_min_mm,seed_breadth_max_mm,dispersal_appendage,flowering month begin,flowering month end,fruiting month begin,fruiting month end,notes
35,Daviesia cardiophylla,shrub,,50,150,,,,,phyllode,cordate ovate,,6,13,3,6,10,15,7,10,ellipsoid,3.7,4.7,2.3,3,1.8,2.3,aril,5,6,8,9,
36,Daviesia umbonata,shrub,,,100,,,,,phyllode,narrowly_elliptical narrowly_ovate,,10,20,2,5,12,14,6,8,ellipsoid,3.8,4,2,2.4,1,1.4,aril,6,7,7,8,
37,Daviesia cunderdin,shrub,,,160,,,,,phyllode,ovate narrowly_ovate,,10,20,4,9,,14,,7,,,,,,,,,5,6,,,fruiting unknown
38,Daviesia euryloba,shrub,,,150,,,,,phyllode,ovate elliptical narrowly_elliptical,,7,18,3,7,6,7,5,6,ellipsoid,,3.9,2,2.6,1.7,1.9,aril,7,8,8,10,
39,Daviesia abnormis,shrub,,30,70,,,,,phyllode,narrowly_elliptical narrowly_ovate,,13,23,3,8,11,13,5.5,6.5,ellipsoid,3.5,4,,2.5,1.5,2,aril,3,4,,,fruiting unknown
40,Daviesia nudiflora,shrub,,,250,,,,,phyllode,ovate elliptical,,4,50,2,18,10,14,5,9,,4,5.5,2.5,3.5,1.7,2,aril,5,9,8,10,
41,Daviesia grahamii,shrub,,20,50,70,,100,,scale phyllode,narrowly_obovate narrowly_oblong narrowly_elliptical linear,recurved,0.1,50,0.1,3,6,8,4,6,,,,,,,,,7,10,11,11,"fruiting ""from November"""
42,Daviesia newbeyi,shrub,,20,150,,,,,phyllode,narrowly_oblong linear,,5,40,1.5,3.5,9,11,6,7,,,,,,,,,8,10,,,fruiting unknown
43,Daviesia alata,shrub,prostrate,,5,,,100,,scale,scale,,,,,,9,10,6,7,oblong ellipsoid unevenly_globose,2.5,2.7,1.4,1.8,1.1,1.2,aril,10,12,11,1,
44,Daviesia corymbosa,shrub,,,200,,,,,phyllode,obovate elliptical ovate linear,,20,120,5,25,8,11,5,8,compressed_ovoid,2.8,4.4,1.8,2.5,1,1.7,aril,9,11,11,12,
45,Daviesia flava,shrub,,,200,,,,,phyllode,linear narrowly_ovate narrowly_obovate,,30,130,2,17,8,10,5,6,oblong,2,2.2,,1,,,aril,3,11,5,11,
46,Daviesia suaveolens,shrub tree,,,600,,,,,phyllode,narrowly_obovate,,30,100,4,17,9,12,6,7,ellipsoid,3,3.5,1.5,2,,1.25,aril,9,11,1,2,
47,Daviesia buxifolia,shrub,,50,200,,,,,phyllode,ovate broadly_ovate,,3,30,3,21,6,7,5,6,obloid,,3.5,,2,,1,aril,10,11,11,12,
48,Daviesia mimosoides,shrub tree,,100,200,500,,,,phyllode,narrowly_elliptical,,15,200,4,30,6,10,4,7,compressed_ellipsoid,2.5,3,1.5,2,,1,aril,9,10,10,1,
49,Daviesia leptophylla,shrub,,,150,,,,,phyllode leafless,linear_obovate linear_elliptical,,0.1,90,0.1,6,5,10,3.5,6,compressed_elliptical-reniform,2.5,3.5,1.4,2.2,0.8,1.3,aril,8,12,11,1,
50,Daviesia ellipticala,shrub,,100,150,,,,,phyllode,elliptical,,6,50,3,25,7,9,5,6,compressed_ellipsoid,,2.9,,1.9,,0.6,aril,9,11,11,12,
51,Daviesia latifolia,shrub,,100,300,500,,,,phyllode,elliptical ovate,,20,150,5,70,6.5,11,4,7,compressed_ellipsoid,2.5,3.7,1.6,2.2,0.8,1.4,aril,9,12,11,2,
52,Daviesia laxiflora,shrub tree,,,1000,,,,,phyllode,narrowly_elliptical linear,,40,160,6,30,7,10,5,7,compressed_ellipsoid,2.4,3.3,1.6,1.9,1.3,1.4,aril,10,1,1,3,
53,Daviesia laevis,shrub,,200,400,,,,,phyllode,narrowly_elliptical linear,,40,150,5,20,7,10,5,6,compressed_ovoid,2.5,3.2,1.6,2.1,0.9,1.1,aril,10,11,1,1,
54,Daviesia arborea,shrub tree,,,1400,,,,,phyllode,linear_elliptical,,40,200,3,12,7,9,4,5.5,,,,,,,,,10,12,12,1,
55,Daviesia discolor,shrub,,,200,,,,,phyllode,linear_elliptical,,40,160,4,11,7,8.5,5.5,6,,,,,,,,,8,10,,,fruiting unknown
56,Daviesia squarrosa,shrub,,,150,,,,,phyllode,cordate ovate,,4,12,0.5,10,6,9,4,5.5,obovoid,3.1,3.4,1.7,2,,1.3,aril,7,10,9,11,
57,Daviesia villifera,shrub,,150,200,,,,,phyllode,ovate cordate,,5,10,2,6,9,11,5,7,compressed_obovoid,,3.6,,1.9,,0.9,aril,6,10,9,10,
58,Daviesia quoquoversus,shrub,,,200,,,,,phyllode,ovate broadly_ovate cordate,,6,9,2.5,6,9,10,6,7,,,,,,,,,7,9,9,9,"fruiting ""from September"""
59,Daviesia filipes,shrub,,,150,,,,,phyllode,narrowly_oblong,,9,19,1.5,6,7,9,4,5,globose fusiform,3.2,4,1.7,2.2,1,1.4,aril,4,11,4,11,
60,Daviesia pubigera,shrub,,70,200,,,,,phyllode,narrowly_ovate,,5,14,1,4.5,8,9,6,6.5,globose,4.6,5,,2.7,1.8,2,aril,10,12,10,12,
61,Daviesia nova-anglica,shrub,,50,100,,,,,phyllode,ovate narrowly_ovate,,5,14,2.5,7,6.5,8,5,6,,,,,,,,,8,10,11,11,
62,Daviesia umbellulata,shrub,,30,100,,,,,phyllode,ovate narrowly_ovate linear,,7,30,0.5,8,8,10,4,6,,,,,,,,,8,12,9,12,
63,Daviesia asperula,shrub,,,200,,,,,phyllode,narrowly_obovate,,5,25,1,4.5,10,14,7,10,ovoid-ellipsoid,3.3,4,2.4,3.3,,2.4,aril,8,10,9,12,
64,Daviesia oxylobium,shrub,,,100,,,,,phyllode,linear-clavate terete,,20,70,1,1.5,14,18,8,10,broadly_ellipsoid,,4,,3,,2.75,aril,7,8,9,10,
65,Daviesia pectinata,shrub,,50,250,,,,,phyllode,triangular narrowly_triangular,,8,70,2,9,8,10,5,6,ovoid,3.5,4,2,2.7,1.3,1.6,aril,9,10,10,12,
66,Daviesia eremaea,shrub,,90,200,,,,,phyllode,terete,,40,120,,1,7,8,6.5,7,,,,,,,,,8,10,8,10,
67,Daviesia argillacea,shrub,,,200,,,,,phyllode,narrowly_obovate,,7,22,3,6,5,7,3.5,4.5,,,,,,,,,7,10,11,11,
68,Daviesia scoparia,shrub,,,200,,,,,scale,scale,,,,,,6,7,,4,,,,,,,,,9,10,9,10,"fruiting ""from September"""
69,Daviesia nematophylla,shrub,,40,200,,,,,phyllode,terete,,12,80,1,1.5,5.5,7,3.5,5,,,,,,,,,9,11,9,12,
70,Daviesia subulata,shrub,,100,160,,150,200,,phyllode,straight,,4,12,1.5,4,,5,,7,ellipsoid obovoid,2.5,3,,2,,,aril,7,7,10,10,only one individual seen flowering
71,Daviesia purpurascens,shrub,,,100,,,,,phyllode,terete,,5,50,0.7,1.5,4,6,3,4,,,,,,,,aril,8,9,9,10,
72,Daviesia benthamii,shrub,,50,100,,,,,phyllode,terete,,10,80,0.8,1.8,5,7,4,6,,,,,,,,,7,9,1,2,
73,Daviesia schwarzenegger,shrub,hummocky,,130,,,300,,phyllode,terete,,10,25,1,2,5,7,4,6,reniform,,,,,,,aril,9,10,11,12,
74,Daviesia aphylla,shrub,,,200,300,,,,phyllode scale,scales,,0.1,15,1,1.75,5,7,4,6,compressed_ellipsoid,2,3,,2,,1,aril,8,10,10,1,
75,Daviesia campephylla,shrub,spreading,15,35,,30,100,,phyllode,sigmoid linear-clavate terete,,6,16,1,2,5,7,,3.5,ellipsoid,,3.25,,1.75,,0.75,aril,11,11,2,2,
76,Daviesia articulata,shrub,procumbent spreading erect,,100,,,200,,phyllode,subulate terete straight,,3,40,0.75,1.25,8,11,4.5,6,,,,,,,,,8,12,1,1,
77,Daviesia scabrella,shrub,procumbent spreading,,50,,,,,phyllode,subulate terete straight,,5,25,,1,6,7,4,4.5,,,,,,,,,10,10,,,fruiting unknown
78,Daviesia genistifolia,shrub,,60,200,,,,,phyllode,terete vertically_compressed,,5,30,0.5,1.25,8,11,4,8,compressed_ellipsoid,3,4.5,2,3.2,1.2,1.3,aril,8,10,10,12,
79,Daviesia devito,shrub,,30,100,150,50,150,,phyllode,terete,,5,30,1,1.75,5,7,4,6,reniform,,2.8,,2,,1.3,aril,9,10,12,1,
80,Daviesia horrida,shrub,,50,180,,,,,phyllode,narrowly_elliptical narrowly_obovate linear,,18,130,1.5,20,15,18,9,11,obloid,,5,,3,,2,aril,7,9,9,12,
81,Daviesia megacalyx,shrub,,,150,,,,,phyllode,narrowly_elliptical narrowly_obovate,,40,80,5,12,20,23,9,11,obloid,,5,,3,,2,aril,8,9,8,10,
82,Daviesia obovata,shrub,,,150,,,,,phyllode,obovate,,55,90,18,45,8.5,23,8.5,10,fusiform,,5,2,2.5,1.5,2,aril,10,10,10,10,"fruiting ""beginning October"""
83,Daviesia rubiginosa,shrub,,,200,,,,,phyllode,terete,,30,250,0.5,1,10,12,6,7,,,,,,,,,8,10,10,11,
84,Daviesia epiphyllum,shrub,,50,150,,,,,phyllode scale,oblong_triangular_lobes,,3,12,3,8,25,35,14,17,,3,4,2.2,3,1,1.5,aril,4,6,6,9,
85,Daviesia speciosa,shrub,low,30,80,,,100,resprouting,phyllode scale,scale terete,,15,80,,2,12,14,8,10,oblong-ellipsoid,,3.5,,2.25,,1.5,aril,8,10,9,10,
86,Daviesia major,shrub,,,70,,,100,,phyllode,terete,,0.1,200,0.8,1.5,12,14,8,10,oblong-ellipsoid,,3.5,,2.25,,1.5,aril,8,10,9,10,
87,Daviesia debilior,shrub,procumbent-weakly_ascending,,60,,,150,,scale,linear,,0.1,120,0.4,2,14,17,9,12,ovoid,,3.5,,2.5,,1.5,aril,5,7,9,11,
88,Daviesia gracilis,shrub,spreading diffuse,,50,,,,,scale,scale,,,,,,16,19,8,9,,,,,,,,,7,10,10,10,"fruiting ""beginning October"""
89,Daviesia triflora,shrub,,,60,,,,,scale,scale,,,,,,10,20,6,9,obloid,,4,,2.25,,1.25,aril,5,9,9,10,
90,Daviesia pseudaphylla,shrub,low spreading,,35,,,130,,phyllode,terete,,,300,0.75,1.5,14,17,9,10,,,,,,,,,7,9,,,fruiting unknown
91,Daviesia hakeoides,shrub,,30,100,,50,200,,phyllode,terete,,0.1,80,,1.5,14,17,10,11,,,,,,,,aril,5,7,8,11,
92,Daviesia smithiorum,shrub,,,50,,,,,phyllode,terete,,10,50,0.5,1,15,17,10,11,,,,,,,,,6,6,10,11,
93,Daviesia pteroclada,shrub,,,180,,,,,scale,scale,,,,,,10,12,7,8,ellipsoid,3.6,4.7,,2.5,,1.5,aril,7,8,8,10,
94,Daviesia sarissa,shrub,spreading sprawling,,50,,,80,,phyllode,terete,,10,80,1,2,7,8,5,6,,,,,,,,,7,9,,,fruiting unknown
95,Daviesia decurrens,shrub,,30,180,,50,150,,phyllode,narrowly_triangular subulate,,2,45,1,12,8,13,8,10,ovoid,4,4.6,2.5,2.8,1.5,2,aril,5,8,8,11,
96,Daviesia intricata,shrub,,,200,,,,,phyllode scale,terete subulate,,20,40,1.5,2,7,10,6,8,,,,,,,,,5,8,7,10,
97,Daviesia retrorsa,shrub,hummocky,,160,,,300,,phyllode,terete,,5,50,1,1.5,9,11,6,7,obloid,3.5,4,2.5,3,2,2.5,aril,8,11,8,11,
98,Daviesia flexuosa,shrub,spreading,,250,,,,,phyllode,terete,,5,43,1,2,17,22,9,11,compressed_obovoid,,4,,2,,1.5,aril,7,9,8,11,
99,Daviesia decipiens,shrub,,,180,,,,,phyllode,oblong deltoid subulate,,5,25,2,8,11,12,8,11,,,,,,,,,6,9,8,11,
100,Daviesia trigonophylla,shrub,,,100,,,,,phyllode,elliptical ovate,,3,15,2,7,11,13,8.5,9,,,,,,,,,8,10,9,10,
101,Daviesia dilatata,shrub,,,100,,,,,phyllode,sickle-shaped subulate,,7,50,2,8,7,8,,5,,,,,,,,,8,9,9,10,
102,Daviesia uncinata,shrub,,,70,,,,,phyllode,terete,,5,70,1,2,11,15,6.5,8,broadly_obovoid,,4,,3,,2.5,aril,10,1,7,2,
103,Daviesia daphnoides,shrub,,,150,,,,,phyllode,narrowly_elliptical narrowly_obovate,,25,68,4.5,9,15,21,6,11,globose,,,,,,,aril,4,7,8,10,
104,Daviesia emarginata,shrub,,30,170,,,,,phyllode,narrowly_obovate obovate,,24,50,3.5,9.5,18,21,9,9.5,,,,,,,,aril,1,5,10,10,only two speicmens found fruiting
105,Daviesia tortuosa,shrub,,,100,,,200,,phyllode,narrowly_elliptical narrowly_obovate,,10,35,4,12,18,20,8.5,9,globose,,4,,3,,2.5,aril,1,4,9,9,
106,Daviesia brevifolia,shrub,,,180,,,,,phyllode scale,terete,,2,8,1,1.5,9,15,8,12,obloid,2.9,4.2,1.7,3,1.5,2.5,aril,8,10,10,12,
107,Daviesia brachyphylla,shrub,,,80,,,,,phyllode,terete,,1.5,30,1,1.5,10,12,7,8,globose,3.7,4.5,2.8,3.5,2.4,3,aril,7,10,11,1,
108,Daviesia incrassata,shrub,,,100,,,,,phyllode,trigonous terete,,5,15,,,11,14,8,11,,,,,,,,,6,11,8,1,
109,Daviesia physodes,shrub,,,180,,,,,phyllode,,,,55,,10,11,16,9,11,ellipsoid,3.3,4.5,2,3.5,,1.5,aril,7,11,9,1,
110,Daviesia inflata,shrub,,,100,,,,,phyllode,terete,,5,80,0.5,1.5,15,18,11,15,ellipsoid,,5,,2.5,,2.25,aril,9,10,12,1,
111,Daviesia glossosema,shrub,,50,100,150,,,,phyllode,terete,,8,40,,0.75,14,20,10,12,,,,,,,,,9,11,10,12,
112,Daviesia podophylla,shrub,,,100,,,200,,phyllode,obliquely_quadrilateral triangular,,,25,,8,11,16,7,10,globular,,3,,3,,3,aril,6,8,9,11,
113,Daviesia quadrilatera,shrub,,,120,,,100,,phyllode,obliquely_quadrilateral triangular,,17,21,6,13,14,16,11,12,,,,,,,,,7,9,8,9,"fruiting ""from August"""
114,Daviesia ramosissima,shrub,,,120,,,,,phyllode,terete needle-like,,5,43,,1,12,15,9.5,12,,,,,,,,,7,9,9,9,1 specimen fruiting in September
115,Daviesia apiculata,shrub,,40,150,,,,,phyllode,terete,,25,60,1.25,1.5,14,15,6,8,ellipsoid,,5,,2.5,,1.5,aril,11,5,8,10,
116,Daviesia teretifolia,shrub,spreading,,120,,,,,phyllode,terete,,17,47,1.5,2,13,16,8,11.5,,,,,,,,,5,10,9,1,
117,Daviesia grossa,shrub,,,300,,,,,phyllode,linear-fusiform,,25,55,1.5,2.5,15,20,10,14,ellipsoid,4.7,6.3,3.2,3.5,2.3,3,aril,11,4,11,8,
118,Daviesia mesophylla,shrub,procumbent,,5,,,100,,phyllode,narrowly_obovate linear,,7,15,0.75,2,12,14.5,8,8.5,globose,3.5,4,2.7,3.2,2.5,3,aril,10,4,9,1,
119,Daviesia microphylla,shrub,sprawling,,60,,,100,,phyllode,ovate narrowly_ovate,,2.5,5,1,2,11,14,6.5,7.5,,,,,,,,,6,8,11,11,1 specimen fruiting in November
120,Daviesia oxyclada,shrub,divaricate,,60,,,,,phyllode,obtriangular,,5,10,1,4,9,12,7,8,,,,,,,,,5,8,8,9,
121,Daviesia dielsii,shrub,,,100,,,150,,phyllode,obovate broadly_obovate subulate,,2,4,1,2.5,11,13,7,9,,,,,,,,,3,8,10,11,
122,Daviesia polyphylla,shrub,spreading,,60,,,100,,phyllode,narrowly_elliptical narrowly_ovate,,5,20,1.5,2.5,9,13,8,10,obovoid,3.5,4,2.2,2.5,1.7,2,aril,7,9,9,10,
123,Daviesia angulata,shrub,,,120,,,200,,phyllode,subulate,,10,35,1,4,9,16,7,8,obloid,,4,,2.7,,2.7,aril,3,7,8,10,
124,Daviesia preissii,shrub,spreading,30,100,,,100,,phyllode,subulate narrowly_elliptical narrowly_obovate,,10,40,0.75,5,12,21,8.5,12,ellipsoid,,3.3,,1.9,,1.7,aril,1,12,7,1,
125,Daviesia spinosissima,shrub,,,180,,,,,phyllode,narrowly subulate,,7,15,1.5,3,10,13,7,8,,,,,,,,,10,3,1,10,
126,Daviesia striata,shrub,,,120,,,,,phyllode,oblong,,7,16,4,6.5,10,12,8,9,,,,,,,,,1,12,9,9,1 specimen fruiting in September
127,Daviesia chapmanii,shrub,,,80,,,150,,phyllode,oblong triangular,,10,15,2.5,4,12,14,9,10,globose obloid,,3,,2,,1.6,aril,4,5,9,10,
128,Daviesia crassa,shrub,,,180,,,,,phyllode,terete,,10,40,2,6,,20,,7,,,,,,,,,1,1,9,9,just 1 flowering and 1 fruiting specimen seen
129,Daviesia pachyphylla,shrub,,,150,,,,,phyllode,terete,,12,27,4,10,13,14,8.5,9,,,,,,,,,7,10,8,1,
130,Daviesia euphorbioides,subshrub,,,80,,,,,phyllode,spines,,0.5,2.5,1,1.5,13,16,10,12,,,,,,,,,7,9,9,1,
131,Daviesia rhizomata,shrub,low,,,,,,,phyllode,terete,,4,45,1,2,11,13,6,7,,,,,,,,,1,2,,,fruiting unknown
