Chronosequence stage,Plot,Latitude,Longitude,Easting,Northing,Cation exchange capacity (cmolc/kg),pH-CaCl2,Soil total N (g/kg),Soil carbonates content (%),Soil total P (mg/kg),Species (with common names),Species,Family,Leaf ash (% DW),Leaf total phenols (GAE g/kg DW),Leaf Si (g/kg DW),Leaf Ca (g/kg DW),Leaf Fe (mg/kg DW),Leaf K (g/kg DW),Leaf Mg (g/kg DW),Leaf Mn (mg/kg DW),Leaf P (g/kg DW),latitude (deg),longitude (deg)
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,Melaleuca systena,Melaleuca systena,Myrtaceae,7.84,47.61,0.17,18.1,56.86,7.29,6.31,7.84,4.71,-30.115,115.0064722
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,Clematis linearifolia,Clematis linearifolia,Ranunculaceae,11.8,43.91,0.21,29,65.54,11.31,7.85,7.49,4.48,-30.115,115.0064722
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,Spyridium globulosum,Spyridium globulosum,Rhamnaceae,6.93,48.83,0.11,19,61.39,9.82,2.67,5.94,0.49,-30.115,115.0064722
Stage 1,Q.Y.16,"30deg 6' 54.4"" S","115deg 0' 23.3"" E",307932,6666782,21.63,8.18,0.5,76.8,355.18,Myoporum insulare (Blueberry Tree),Myoporum insulare,Scrophulariaceae,14.02,44.82,0.12,29.2,68.18,9.17,5.45,9.47,3.71,-30.115,115.0064722
Stage 1,Q.Y.17,"30deg 2' 43.2"" S","114deg 57' 45.2"" E",303562,6674442,15.27,8.2,0.6,84.4,329.55,Olearia axillaris,Olearia axillaris,Asteraceae,8.6,50.03,0.34,14,154,16.2,1.78,8,2.92,-30.04527778,114.9625556
Stage 1,Q.Y.17,"30deg 2' 43.2"" S","114deg 57' 45.2"" E",303562,6674442,15.27,8.2,0.6,84.4,329.55,Ficinia nodosa,Ficinia nodosa,Cyperaceae,3.52,45.35,0.2,3,56.64,15.12,0.91,5.86,0.38,-30.04527778,114.9625556
Stage 1,Q.Y.17,"30deg 2' 43.2"" S","114deg 57' 45.2"" E",303562,6674442,15.27,8.2,0.6,84.4,329.55,Scaevola crassifolia,Scaevola crassifolia,Goodeniaceae,21.4,46.62,0.17,38,90,20.6,5.92,8,3.72,-30.04527778,114.9625556
Stage 1,Q.Y.17,"30deg 2' 43.2"" S","114deg 57' 45.2"" E",303562,6674442,15.27,8.2,0.6,84.4,329.55,Poa porphyroclados,Poa porphyroclados,Poaceae,4.4,31.56,3.06,5.8,116,8.96,1.91,10,1.77,-30.04527778,114.9625556
Stage 1,Q.Y.17,"30deg 2' 43.2"" S","114deg 57' 45.2"" E",303562,6674442,15.27,8.2,0.6,84.4,329.55,Spyridium globulosum,Spyridium globulosum,Rhamnaceae,7.28,51.62,0.25,19.5,107.28,10.88,2.95,7.66,0.54,-30.04527778,114.9625556
Stage 1,Q.Y.18,"30deg 13' 25.0"" S","115deg 0' 29.4"" E",308305,6654759,46.96,8.38,0.5,73,401.64,Olearia axillaris,Olearia axillaris,Asteraceae,6.39,46.08,0.4,8.3,117.76,12.26,1.84,9.98,2.51,-30.22361111,115.0081667
Stage 1,Q.Y.18,"30deg 13' 25.0"" S","115deg 0' 29.4"" E",308305,6654759,46.96,8.38,0.5,73,401.64,Ficinia nodosa,Ficinia nodosa,Cyperaceae,4.32,42.2,0.18,4.4,49.12,14.58,1.12,7.86,0.43,-30.22361111,115.0081667
Stage 1,Q.Y.18,"30deg 13' 25.0"" S","115deg 0' 29.4"" E",308305,6654759,46.96,8.38,0.5,73,401.64,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,7.06,50.19,0.64,19.5,83.97,6.28,4.43,5.73,0.39,-30.22361111,115.0081667
Stage 1,Q.Y.18,"30deg 13' 25.0"" S","115deg 0' 29.4"" E",308305,6654759,46.96,8.38,0.5,73,401.64,Acacia rostellifera (Summer-scented Wattle),Acacia rostellifera,Fabaceae,15.72,46.54,0.19,48.8,67.64,7.77,2.23,7.31,0.87,-30.22361111,115.0081667
Stage 1,Q.Y.18,"30deg 13' 25.0"" S","115deg 0' 29.4"" E",308305,6654759,46.96,8.38,0.5,73,401.64,Scaevola crassifolia,Scaevola crassifolia,Goodeniaceae,15.61,47.91,0.17,25.3,67.19,6.23,4.05,5.93,3.06,-30.22361111,115.0081667
Stage 1,Q.Y.18,"30deg 13' 25.0"" S","115deg 0' 29.4"" E",308305,6654759,46.96,8.38,0.5,73,401.64,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,4.6,42.85,1.47,6.5,78,16.1,1.07,78,0.42,-30.22361111,115.0081667
Stage 1,Q.Y.18,"30deg 13' 25.0"" S","115deg 0' 29.4"" E",308305,6654759,46.96,8.38,0.5,73,401.64,Hemiandra pungens (Snakebush),Hemiandra pungens,Lamiaceae,6.21,53.85,0.2,12.4,70.14,12.26,2.4,12.02,1.33,-30.22361111,115.0081667
Stage 1,Q.Y.18,"30deg 13' 25.0"" S","115deg 0' 29.4"" E",308305,6654759,46.96,8.38,0.5,73,401.64,Spyridium globulosum,Spyridium globulosum,Rhamnaceae,8.38,52.37,0.22,24.4,101.36,8.91,2.32,11.7,0.52,-30.22361111,115.0081667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,5.45,33.43,0.2,11.1,103.11,15.47,1.77,11.67,0.75,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Leucopogon insularis,Leucopogon insularis,Ericaceae,3.75,42.88,0.12,8.6,96.65,6.86,1.43,13.81,0.7,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Leucopogon parviflorus,Leucopogon parviflorus,Ericaceae,5.17,42.57,0.31,11,111.33,8.43,2.64,9.94,0.48,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,7.41,51.18,0.58,20.6,104.21,8.76,2.18,14.03,0.51,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Gastrolobium nervosum,Gastrolobium nervosum,Fabaceae,3.7,46.35,0.25,6.2,115.01,12.26,1.53,7.8,0.58,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,6.94,42.39,6.61,9.7,170.63,15.46,1.72,49.6,0.36,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,"Calothamnus quadrifidus subsp, quadrifidus",Calothamnus quadrifidus subsp. quadrifidus,Myrtaceae,7.53,48.99,0.27,17.5,114.88,9.57,7.66,20.72,3.58,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Melaleuca systena,Melaleuca systena,Myrtaceae,8.18,51.47,0.41,15.6,107.78,6.93,7.15,25.95,2.16,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Thryptomene baeckeacea,Thryptomene baeckeacea,Myrtaceae,7.31,60.8,0.23,19.5,92.89,9.76,2.75,7.91,1.22,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Austrostipa flavescens,Austrostipa flavescens,Poaceae,6.6,47.32,8.1,8.2,142,16.24,1.64,14,0.79,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Desmocladus asper,Desmocladus asper,Restionaceae,4.2,38.04,5.46,3.8,166,12.28,1.08,26,0.28,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,Cryptandra mutila,Cryptandra mutila,Rhamnaceae,10.16,59.67,0.73,29.5,133.47,8.94,3.27,29.88,0.77,-30.22416667,115.0106667
Stage 2,Q.M.25,"30deg 13' 27.3"" S","115deg 0' 38.4"" E",308547,6654692,13.53,7.75,1.3,65,405.99,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,7.16,43.18,0.2,16.1,365.81,15.77,1.84,19.88,0.7,-30.22416667,115.0106667
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,4.77,43.86,0.16,7.5,65.61,15.05,1.8,5.96,0.95,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,"Senecio pinnatifolius var, latilobus",Senecio pinnatifolius var. latilobus,Asteraceae,15.62,53.3,0.35,24.4,60.95,22.29,4.23,30.48,0.66,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Rhagodia baccata,Rhagodia baccata,Chenopodiaceae,14.32,72.53,0.28,15.9,59.47,23.79,9.01,28.63,0.34,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,2.88,45.58,3.24,3.1,42.23,10.58,0.92,13.44,0.26,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,4.57,65.5,0.89,10.4,53.33,10.36,2.46,7.62,0.74,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,3.17,42.23,1.46,5.1,52.14,9.48,1.41,39.11,0.39,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Melaleuca systena,Melaleuca systena,Myrtaceae,8.02,57.12,0.28,17.9,91.98,7.26,6.42,11.74,3.11,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Poa porphyroclados,Poa porphyroclados,Poaceae,3.79,43.07,5.59,4.7,71.86,12.59,1.7,13.97,0.72,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Desmocladus asper,Desmocladus asper,Restionaceae,3.94,51.94,5.16,3.7,69.89,10.16,1.19,8.96,0.32,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Cryptandra mutila,Cryptandra mutila,Rhamnaceae,8.81,51.94,0.62,24.3,63.22,9.52,3.95,5.75,0.58,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,"Stenanthemum notiale subsp, notiale",Stenanthemum notiale subsp. notiale,Rhamnaceae,8.13,42.22,0.17,19.3,55.56,14.98,3,27.78,1.11,-30.21388889,115.0103611
Stage 2,Q.M.26,"30deg 12' 50.6"" S","115deg 0' 37.3"" E",308498,6655821,7.39,7.93,0.9,80.1,423.12,Opercularia spermacocea,Opercularia spermacocea,Rubiaceae,11.89,48.68,0.2,26.7,79.92,7.37,5.89,7.8,0.88,-30.21388889,115.0103611
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,4.7,39.81,0.2,10.7,56.39,13.06,3.55,3.76,0.96,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Rhagodia baccata,Rhagodia baccata,Chenopodiaceae,21.1,44.94,0.2,23.1,45.36,18.99,9.98,31.56,0.55,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,1.73,43.56,3.21,3.9,36.47,9.81,0.94,19.19,0.24,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,6.42,54.12,0.64,14.7,54.47,13.97,3.54,7.78,0.92,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Acacia rostellifera (Summer-scented Wattle),Acacia rostellifera,Fabaceae,9.91,51.31,0.4,23.1,43.24,11.42,3.06,5.41,0.85,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,"Conostylis candicans subsp, calcicola",Conostylis candicans subsp. calcicola,Haemodoraceae,5.06,74.07,3.38,10.1,56.68,11.74,1.94,20.24,0.39,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Melaleuca systena,Melaleuca systena,Myrtaceae,5.23,53.04,0.21,7.8,46.51,9.73,4.13,5.81,1.25,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Thryptomene baeckeacea,Thryptomene baeckeacea,Myrtaceae,6.27,60.66,0.16,17.9,73.8,8.36,2.14,7.38,1.07,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Austrostipa flavescens,Austrostipa flavescens,Poaceae,4.66,43.34,4.12,6.6,67.04,16.61,1.42,7.45,0.96,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Poa porphyroclados,Poa porphyroclados,Poaceae,5.12,37,4.61,3.5,47.24,25.59,1.12,9.84,0.91,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Desmocladus asper,Desmocladus asper,Restionaceae,3.96,40.45,5.56,4.8,87.13,13.07,1.34,17.82,0.23,-30.09027778,114.9986111
Stage 2,Q.M.33,"30deg 5' 25.8"" S","114deg 59' 55.0"" E",307126,6669497,13.78,7.79,1.3,75.6,489.76,Opercularia spermacocea,Opercularia spermacocea,Rubiaceae,12.5,50.98,0.19,30.8,49.6,10.58,5,11.9,1.3,-30.09027778,114.9986111
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Carpobrotus virescens,Carpobrotus virescens,Aizoaceae,4.73,49.82,0.45,49.3,61.14,19.29,18.48,13.81,0.81,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,6.53,38.17,0.39,12.5,95.97,12.34,1.69,3.84,0.94,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Lomandra maritima,Lomandra maritima,Asparagaceae,7.6,37.3,0.34,13.6,64,10.42,1.19,4,0.42,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Lepidosperma calcicola,Lepidosperma calcicola,Cyperaceae,5.3,47.59,4.6,4.8,58.94,11.28,0.77,27.5,0.36,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Acacia rostellifera (Summer-scented Wattle),Acacia rostellifera,Fabaceae,9.33,51.53,0.76,32.8,55.97,9.93,3.81,3.73,0.84,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Melaleuca huegelii,Melaleuca huegelii,Myrtaceae,6.73,58.06,0.33,12.8,85.15,8.67,6.59,7.92,2.83,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Melaleuca systena,Melaleuca systena,Myrtaceae,6.5,51.02,0.23,12.8,53.15,5.57,6.95,5.91,3.25,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Poa porphyroclados,Poa porphyroclados,Poaceae,7.49,34.22,6.41,4.3,67.18,16.03,2.03,7.68,1.17,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Clematis linearifolia,Clematis linearifolia,Ranunculaceae,12.38,40.77,0.28,25.9,71.86,14.69,4.25,7.98,5.85,-30.27416667,115.047
Stage 2,Q.M.7,"30deg 16' 27.6"" S","115deg 2' 49.2"" E",312140,6649201,12.77,7.93,1.1,80.4,428.12,Desmocladus asper,Desmocladus asper,Restionaceae,4.96,40.4,5.42,4.6,77.38,8.83,1.78,15.87,0.3,-30.27416667,115.047
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Acanthocarpus preissii,Acanthocarpus preissii,Asparagaceae,4.76,39.17,0.18,8.2,70.48,16.02,1.49,1.9,0.94,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Lomandra maritima,Lomandra maritima,Asparagaceae,4.21,41.24,0.1,8.5,47.37,13.18,1.48,1.75,0.51,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,"Senecio pinnatifolius var, latilobus",Senecio pinnatifolius var. latilobus,Asteraceae,17.54,50.12,0.31,25.5,58.48,28.85,3.63,35.09,1.01,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Gahnia lanigera,Gahnia lanigera,Cyperaceae,2.55,38.92,5.12,3.1,54.9,8.31,0.72,33.33,0.25,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Leucopogon insularis,Leucopogon insularis,Ericaceae,2.34,43.39,0.35,6.2,62.5,7.38,1.38,3.91,0.48,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Beyeria cinerea,Beyeria cinerea,Euphorbiaceae,12.35,44.3,0.15,35.9,63.75,11.1,2.83,3.98,0.71,-30.22611111,115.0183889
Stage 2,Q.M.8,"30deg 13' 34.8"" S","115deg 1' 6.2"" E",309294,6654474,13.4,7.83,1.1,76.3,374.8,Acacia lasiocarpa,Acacia lasiocarpa,Fabaceae,5.57,54.49,0.92,12.7,69.58,10.08,2.31,5.96,0.77,-30.22611111,115.0183889
