Individual,Longitude,Latitude,Height (m),DBH (cm),Average leaf area (cm2)
156,151.0927954,-33.7089678,4.8,5,27.7
157,151.0923744,-33.7088518,5.3,12,29.2
158,151.0493035,-33.7910204,6.5,7,26.5
159,151.04896,-33.7909088,5.3,9,29.5
160,151.0486436,-33.7899994,9.2,9,37.9
161,151.043467,-33.7743406,7.3,7,32.3
162,151.0432041,-33.7746616,9.4,12,28.3
163,151.0422116,-33.7752859,5.8,10,22.9
164,151.129818,-33.7410069,4.7,4,20.4
165,151.1304617,-33.7410114,6,6,26.8
166,151.1312503,-33.7402887,3.7,2,26.1
167,151.1155716,-33.8145777,6,10,21.3
168,151.1148835,-33.8148953,3.7,11,24.0
169,151.1139366,-33.815058,5.9,6,22.3
170,151.0769445,-33.7077264,4.8,4,31.5
171,151.0762275,-33.7079503,5,9,29.2
172,151.0754227,-33.7085215,4.3,4,28.1
173,151.0079707,-33.7887377,4.1,4,26.1
174,151.0072946,-33.789081,5.9,5,21.4
175,151.0063452,-33.7895179,4.6,6,20.0
176,151.0258984,-33.7613369,3.8,6,21.4
177,151.0272932,-33.7582952,5.9,4,22.4
178,151.0238707,-33.7615153,5.2,7,19.0
179,151.00914,-33.7608463,4.4,3,24.8
180,151.0076165,-33.7606055,4.4,3,23.8
181,151.0073375,-33.7608285,6.3,7,25.4
182,151.1492483,-33.7916118,6.6,10,19.1
183,151.1482957,-33.7931269,3.9,6,26.2
184,151.1505729,-33.7924537,7.7,10,23.8
