species,sla.mean,sla.mean.site,sla.mean.multisite,sla.sd,individual.n,leaf.n,SLA_collection_Location Name,SLA_collection_Location Name_to_match,SLA_collection_Location.n,SLA_collection_QuadratName,SLA_collection_Latitude,SLA_collection_Longitude,SLA_collection_Additional Notes
Acacia melanoxylon,5.557414676,5.557414676,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Ackama paniculosa,10.25030836,10.25030836,,1.130101872,7,21,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Acronychia oblongifolia,14.54691571,14.54691571,,5.761711968,4,12,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Akania bidwillii,8.913022503,8.913022503,,2.221636537,2,2,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Argyrodendron actinophyllum,7.241325157,7.241325157,,1.019750389,6,15,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Atractocarpus benthamianus,11.42589928,11.42589928,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Beilschmiedia elliptica,10.99563313,10.99563313,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Cinnamomum virens,6.538322764,6.538322764,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Citronella moorei,16.27879392,16.27879392,,5.628320036,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Cryptocarya glaucescens,6.871527294,6.871527294,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Cryptocarya meisneriana,11.31622701,11.31622701,,1.107980434,14,42,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Daphnandra apetala,28.83878211,28.83878211,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Daphnandra melasmena,22.18956485,22.18956485,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Denhamia celastroides,7.756850846,7.756850846,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Doryphora sassafras,9.109954355,9.109954355,,1.885269768,21,61,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Ehretia acuminata,17.20599852,17.20599852,,6.088977279,2,5,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Elattostachys nervosa,10.40521687,10.40521687,,1.391933077,4,10,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Endiandra crassiflora,18.37679143,18.37679143,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Geissios benthami,9.511446095,9.511446095,,1.240582843,3,9,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Guilfolya monostylis,19.47149505,19.47149505,,1.006425572,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Helicia glabrifolia,8.084191288,8.084191288,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Ligustrum sinense,24.0642874,24.0642874,,5.050722625,3,9,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Melicope hayesii,15.31533932,15.31533932,,3.614611984,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Orites excelsus,12.20617249,12.20617249,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Pittosporum mulitflorum,12.54209589,12.54209589,,2.0094285,3,9,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Polyscias murrayi,12.95602164,12.95602164,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Sarcopteryx stipata,11.7341938,11.7341938,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Scolopia braunii,10.36113767,10.36113767,,1.94180675,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Sloenea woollsii,10.22323805,10.22323805,,2.16252331,3,7,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Solanum mauritianum,23.14809858,23.14809858,,5.34446216,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Synoum glandulosum,11.97975396,11.97975396,,NA,1,2,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Syzygium australe,12.01602923,12.01602923,,5.282323467,2,6,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Syzygium crebrinerve,10.32120367,10.32120367,,NA,1,3,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Wilkea huegeliana,8.705179582,8.705179582,,0.722052836,3,9,DorrigoNP,DorrigoNP,1,D,-30.359054,152.735787,
Acronychia parviflora,21.96664746,21.96664746,,NA,1,3,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Archidendron grandiflorum,12.85896911,12.85896911,,NA,1,2,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Cryptocarya erythroxylon,11.47782082,11.47782082,,1.146792926,3,9,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Diospyros pentamera,8.263723959,8.263723959,,NA,1,3,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Duboisia myoporoides,15.98619648,15.98619648,,1.861316576,2,6,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Dysoxylum rufum,17.83499345,17.83499345,,5.419284477,2,4,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Polyosma cunninghamii,11.43599081,11.43599081,,0.976002292,6,18,LamingtonNP,LamingtonNP,2,R,-28.196897,153.183639,
Alphitonia excelsa,19.9491074,19.9491074,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Anthocarapa nitidula,11.92879674,11.92879674,,0.703927025,2,4,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Aphananthe philippinensis,10.33038361,10.33038361,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Arytera distylis,12.8305294,12.8305294,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Brachychiton acerifolius,15.20269031,15.20269031,,3.494167296,5,12,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Cinnamomum oliveri,9.087197954,9.087197954,,0.996027944,2,6,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Drypetes deplanchei,8.187272303,8.187272303,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Endiandra virens,14.39504196,14.39504196,,4.588002795,2,4,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Euroschinis falcatus.var.falcatus,12.48392429,12.48392429,,NA,1,1,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Ficus coronata,18.66688111,18.66688111,,6.306951294,3,9,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Glochidion ferdinandi,16.43100795,16.43100795,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Gossia bidwilli,9.833148115,9.833148115,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Hedraianthera porphyropetala,11.91839322,11.91839322,,0.990419277,2,6,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Ligustrum lucidum,14.98215135,14.98215135,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Lophostemon confertus,12.48172567,12.48172567,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Mallotus phillipensis,10.678441,10.678441,,3.360712002,2,5,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Melicope elleryana,18.80488107,18.80488107,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Niemeyera chartacea,11.24480438,11.24480438,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Olea paniculata,25.66408873,25.66408873,,10.24552681,2,5,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Pilidiostigma glabrum,14.58314943,14.58314943,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Syzygium hodgkinsoniae,14.69177328,14.69177328,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Tabernaemontana pandacaqui,19.00814717,19.00814717,,NA,1,3,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Toona ciliata,9.458006385,9.458006385,,NA,1,1,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Wilkiea macrophylla,6.982889785,6.982889785,,0.895990548,4,11,MairyCairncross,MairyCairncross,4,M,-26.778623,152.882047,
Litsea leefeana,11.13269816,,11.13269816,3.280322772,5,15,MairyCairncross & CurtainFigNP & WooroonoranNP,Curtain FigNP,"4,5,6",M & CF & W,-17.283918,145.57121,Most leaf samples from location 5  & 6
Argyrodendron trifoliatum,9.62611358,,9.62611358,2.503357279,24,64,MairyCairncross & WooroonoranNP,MairyCairncross,"4,6",M & W,-26.778623,152.882047,
Codiaeum variegatum var moluccanum,12.90907406,12.90907406,,1.904017992,9,27,Quinkin,Quinkin,5,Q,-17.301913,145.580348,
Ficus copiosa,9.196521681,9.196521681,,NA,1,3,Quinkin,Quinkin,5,Q,-17.301913,145.580348,
Ficus fraserii,11.8577881,11.8577881,,NA,1,3,Quinkin,Quinkin,5,Q,-17.301913,145.580348,
Polycias elegens,7.563266119,7.563266119,,NA,1,3,Quinkin,Quinkin,5,Q,-17.301913,145.580348,
Ternstroemia cherryi,6.354626291,6.354626291,,NA,1,3,Quinkin,Quinkin,5,Q,-17.301913,145.580348,
Zanthoxylum ovatiflorum,12.71834372,12.71834372,,2.291507971,7,21,Quinkin,Quinkin,5,Q,-17.301913,145.580348,
Zanthoxylum venicum,12.30616931,12.30616931,,1.487371316,5,14,Quinkin,Quinkin,5,Q,-17.301913,145.580348,
Aceriatum sericoleopsis,26.57589582,26.57589582,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Acronychia vestita,16.00388733,16.00388733,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Aglaia australiensis,7.992086087,7.992086087,,4.139310537,40,42,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Aglaia tomentosa,14.88964825,14.88964825,,1.897806557,11,25,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Alangium villosum.polyosmoides,20.21478292,20.21478292,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Antidesma erostre,11.6491842,11.6491842,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Apodytes brachystylis,14.39884137,14.39884137,,1.93357045,18,54,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Ardisia brevipedata,10.35874358,10.35874358,,2.304990052,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Argyrodendron peratelum,8.225145342,8.225145342,,3.155298955,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Athertonia diversifolia,8.6086555,8.6086555,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Austromeullera trinervia,11.99928394,11.99928394,,1.695473477,3,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Beilschmiedia bancroftii,10.30425684,10.30425684,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Beilschmiedia tooram,9.265138438,9.265138438,,0.67929131,8,24,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Brombya platynema,23.48063503,23.48063503,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Cardwellia sublimis,6.469658859,6.469658859,,NA,1,1,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Citronella smythii,14.14342386,14.14342386,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Corynocarpus cribbianus,13.73270841,13.73270841,,0.313041614,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Cryptocarya grandis,12.7951905,12.7951905,,2.13462009,3,9,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Cryptocarya mackinnoniana,9.006800483,9.006800483,,1.343871889,5,13,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Cryptocarya pleurosperma,13.13218376,13.13218376,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Cupaniospsis flagelliformis,13.09941964,13.09941964,,0.359755247,2,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Delarbrea micheana,8.602241779,8.602241779,,2.743160884,3,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Diploglottis bracteata,7.937390595,7.937390595,,1.499730634,8,8,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Doryphora aromatica,14.01690211,14.01690211,,2.963979772,7,21,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Dysoxylum papuanum,15.86456783,15.86456783,,NA,1,2,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Emmenosperma alphitoniodes,11.62405223,11.62405223,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Endiandra bessaphila,7.286490353,7.286490353,,NA,1,2,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Endiandra sankeyana,10.05520124,10.05520124,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Endiandra wolfei,11.06538613,11.06538613,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Fontainea picrosperma,19.51886376,19.51886376,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Franciscodendron laurifolium,11.35169564,11.35169564,,1.187190474,9,21,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Garcinia gibbsiae,9.252553958,9.252553958,,0.744069735,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Haplostichanthus johnsonii,12.78876839,12.78876839,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Harpulia rhytocarpa,9.226280537,9.226280537,,NA,1,1,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Hylandea dockrillii,8.447363217,8.447363217,,1.527188437,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Irvingbaileya australis,12.6171256,12.6171256,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Medicosma fareana,16.51661379,16.51661379,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Mischocarpus lachnocarpus,11.66897457,11.66897457,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Myristica globosa,11.22220007,11.22220007,,0.595944472,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Niemeyera prunifera,12.93930881,12.93930881,,0.125463468,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Opisthiolepus heterophylla,12.67833407,12.67833407,,NA,1,2,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Pouteria brownlessiana,11.1146849,11.1146849,,1.146172291,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Pouteria xylocarpa,12.74311794,12.74311794,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Pseudavarius hylandia,15.10519193,15.10519193,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Rhodomyrtus trineura.ssp.capensis,8.48121217,8.48121217,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Rockinghamia angustifolia,12.12894021,12.12894021,,0.234436312,2,6,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Siphonodon membranaceous,9.150515746,9.150515746,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Sloenea langii,10.93329306,10.93329306,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Steganthera laxiflora,17.40920545,17.40920545,,2.201214465,3,9,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Symplocus hayesii,16.77359294,16.77359294,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Symplocus pauscistamenia,11.5555336,11.5555336,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Syzigium mulgraveana,9.453904273,9.453904273,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Syzygium gustavoides,7.36279939,7.36279939,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Toechima erythrocarpa,12.6550867,12.6550867,,1.854282407,2,4,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Vanroyena castanosperma,19.9308449,19.9308449,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Wilkea chordata,12.73978514,12.73978514,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
Xanthophyllum octandrum,16.09838875,16.09838875,,NA,1,3,WooroonoranNP,WooroonoranNP,6,W,-17.369926,145.739885,
