species_name,original_name,seed_length_min_Cooper_2013,seed_length_min_Kooyman_2011,seed_length_min_Sams_2017,seed_length_min_to_keep
Endiandra sankeyana,Endiandra sankeyana,17,17,17,omit
Endiandra virens,Endiandra virens,30,30,30,omit
Endiandra wolfei,Endiandra wolfei,17,17,17,omit
Eupomatia laurina,Eupomatia laurina,4,4,4,omit
Firmiana papuana,Firmiana papuana,6,6,6,omit
Flindersia brayleyana,Flindersia brayleyana,NA,25,65,keep
Flindersia schottiana,Flindersia schottiana,NA,15,45,keep
Fontainea picrosperma,Fontainea picrosperma,20,20,20,omit
Franciscodendron laurifolium,Franciscodendron laurifolium,15,12,15,omit
Garcinia gibbsiae,Garcinia gibbsiae,5,5,5,omit
Geijera salicifolia,Geijera salicifolia,5,NA,5,omit
Geissois benthamiana,Geissios benthami,NA,NA,4,keep
Glochidion ferdinandii,Glochidion ferdinandi,5,5,5,omit
Gmelina fasciculiflora,Gmelina fasciculiflora,15,8,15,omit
Guilfoylia monostylis,Guilfolya monostylis,NA,NA,12,keep
Guioa lasioneura,Guioa lasioneura,7,6,7,omit
Guioa semiglauca,Guioa semiglauca,6,5,6,omit
Haplostichanthus johnsonii,Haplostichanthus johnsonii,4,4,4,omit
Haplostichanthus submontanus,Haplosticanthus submontanus,NA,NA,7,keep
Harpullia rhyticarpa,Harpulia rhytocarpa,NA,NA,12,keep
Hedraianthera porphyropetala,Hedraianthera porphyropetala,8,8,8,omit
Hedycarya loxocarya,Hedycarya loxocarya?,NA,NA,5,keep
Helicia glabrifolia,Helicia glabrifolia,NA,NA,9,keep
Hylandia dockrillii,Hylandea dockrillii,NA,NA,12,keep
Irvingbaileya australis,Irvingbaileya australis,20,20,20,omit
Jagera pseudorhus,Jagera pseudorhus,NA,NA,7,keep
Kibara macrophylla,Wilkiea macrophylla,18,8,18,omit
Ligustrum lucidum,Ligustrum lucidum,7,NA,7,omit
Ligustrum sinense,Ligustrum sinense,4,NA,4,omit
Litsea leefeana,Litsea leefeana,10,10,10,omit
Litsea reticulata,Litsea reticulata,11,9,11,omit
Lophostemon confertus,Lophostemon confertus,2,2,2,omit
Macaranga inamoena,Macaranga inoemena,NA,NA,3,keep
Mallotus philippensis,Mallotus phillipensis,NA,NA,3,keep
Mallotus polyadenos,Mallotsus polyadenos,NA,NA,3,keep
Maytenus disperma,Maytenus disperma,6,5,6,omit
Medicosma fareana,Medicosma fareana,5,4,5,omit
Melia azedarach,Melia azedarch,NA,NA,6,keep
Melicope elleryana,Melicope elleryana,2,2,2,omit
Melicope vitiflora,Melicope vitaflora,NA,NA,3,keep
Mischocarpus lachnocarpus,Mischocarpus lachnocarpus,7,7,7,omit
Myristica globosa,Myristica globosa,10,10,10,omit
Myristica insipida,Myristica insipida,20,20,20,omit
Neolitsea australiensis,Neolitsia australiensis,NA,NA,5,keep
Neolitsea dealbata,Neolitsea dealbata,5,5,6,keep
Niemeyera chartacea,Niemeyera chartacea,NA,13,15,keep
Niemeyera prunifera,Niemeyera prunifera,16,16,16,omit
Notelaea longifolia,Notolea longifolia,NA,NA,6,keep
Olea paniculata,Olea paniculata,NA,7,10,keep
Opisthiolepis heterophylla,Opisthiolepus heterophylla,NA,NA,80,keep
Orites excelsus,Orites excelsus,22,8,22,omit
Pilidiostigma glabrum,Pilidiostigma glabrum,NA,4,5,keep
Pilidiostigma tropicum,Pilidiostigma tropicum,5,5,4,keep
Pittosporum multiflorum,Pittosporum mulitflorum,NA,NA,3,keep
Pittosporum rubiginosum,Pittosporum rubiginosum,6,6,6,omit
Planchonella australis,Pouteria australis,20,15,20,omit
Planchonella myrsinodendron,Planchonella myrsinoidendron,NA,NA,12,keep
Planchonella xylocarpa,Pouteria xylocarpa,20,NA,20,omit
Polyalthia nitidissima,Polyalthia nitidissima,6,6,6,omit
Polyscias elegans,Polycias elegens,NA,NA,2,keep
Polyscias murrayi,Polyscias murrayi,4,4,4,omit
Prunus turneriana,Prunus turneriana,14,14,14,omit
Pseudomorus brunoniana,Streblus brunonianus,4,4,4,omit
Pseuduvaria hylandii,Pseudavarius hylandia,NA,NA,8,keep
Psydrax odorata,Psydrax odorata,NA,NA,5,keep
Rapanea variablis,Myrsine variabilis,NA,4,4,omit
Rhodomyrtus trineura subsp. capensis,Rhodomyrtus trineura.ssp.capensis,NA,NA,9,keep
Rockinghamia angustifolia,Rockinghamia angustifolia,6,6,6,omit
Sarcopteryx stipitata,Sarcopteryx stipata,5,5,5,omit
Schistocarpaea johnsonii,Schistocarpaea johnsonii,NA,6,7,keep
Scolopia braunii,Scolopia braunii,3,3,3,omit
Siphonodon australis,Siphonodon australia,NA,NA,15,keep
Siphonodon membranaceus,Siphonodon membranaceous,NA,NA,8,keep
Sloanea australis,Sloenea australis,NA,NA,9,keep
Sloanea langii,Sloenea langii,NA,NA,7,keep
Sloanea macbrydei,Sloenea macbriddii,NA,NA,11,keep
Sloanea woollsii,Sloenea woollsii,NA,NA,6,keep
Solanum corifolium,Solanum corifolum,NA,NA,3,keep
Solanum mauritianum,Solanum mauritianum,2,NA,2,omit
Steganthera laxiflora,Steganthera laxiflora,NA,NA,11,keep
Symplocos hayesii,Symplocus hayesii,NA,NA,12,keep
Symplocos paucistaminea,Symplocus pauscistamenia,NA,NA,5,keep
Synoum glandulosum,Synoum glandulosum,11,NA,11,omit
Syzygium australe,Syzygium australe,7,7,7,omit
Syzygium crebrinerve,Syzygium crebrinerve,5,5,5,omit
Syzygium gustavioides,Syzygium gustavoides,NA,NA,50,keep
Syzygium hemilamprum,Syzygium hemilamprum,NA,NA,7,keep
Syzygium smithii,Syzygium smithii,NA,5,5,omit
Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,4,4,4,omit
Tarenna dallachiana,Tarrenia dallachania,NA,NA,3,keep
Ternstroemia cherryi,Ternstroemia cherryi,15,15,15,omit
Toechima erythrocarpum,Toechima erythrocarpa,NA,NA,15,keep
Toona ciliata,Toona ciliata,12,4,12,omit
Van-royena castanosperma,Vanroyena castanosperma,NA,25,25,omit
Wilkiea hugeliana,Wilkea huegeliana,NA,NA,18,keep
Wilkiea longipes,Wilkea longipes,NA,NA,13,keep
Xanthophyllum octandrum,Xanthophyllum octandrum,10,10,10,omit
Zanthoxylum ovalifolium,Zanthoxylum ovatiflorum,NA,NA,5,keep
Zanthoxylum venificum,Zanthoxylum venicum,NA,NA,5,keep
