species,sla.mean,sla.sd,individual.n,leaf.n,Location Name,Location.n,QuadratName,Latitude,Longitude,Additional Notes
Argyrodenon.actinophyllum,7.241325157,1.019750389,6,15,DoigoNP,1,D,-30.359054,152.735787,
Argyrodenon.peralatum,8.225145342,3.155298955,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
Argyrodenon.sp.Boonjee,5.428362179,0.136208259,3,7,Curtain FigNP & Quinkin & WooroonoranNP,"5,6",CF & Q & W,see lats for each individual location,see longs for each individual location,
Argyrodenon.trifoliolatum,9.62611358,2.503357279,24,64,MairyCairncross & WooroonoranNP,"4,6",M & W,see lats for each individual location,see longs for each individual location,
Arytera.distylis,12.8305294,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Arytera.divaricata,10.68406497,3.590685941,3,7,Curtain FigNP,5,CF,-17.283918,145.57121,
Athertonia.diversifolia,8.6086555,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Atractocarpus.benthamianus,11.42589928,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Atractocarpus.merikin,9.909365845,NA,1,3,Curtain FigNP,5,CF,-17.283918,145.57121,
Austromeullera.trinervia,11.99928394,1.695473477,3,3,WooroonoranNP,6,W,-17.369926,145.739885,
Baloghia.inophylla,7.319783929,0.616638802,4,12,BunyaMtNP,3,B,-26.886047,151.605447,
Beilschmiedia.bancroftii,10.30425684,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Beilschmiedia.elliptica,10.99563313,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Beilschmiedia.tooram,9.265138438,0.67929131,8,24,WooroonoranNP,6,W,-17.369926,145.739885,
achychiton.acerifolius,15.20269031,3.494167296,5,12,MairyCairncross,4,M,-26.778623,152.882047,
achychiton.discolor,13.09738172,7.482702652,2,5,BunyaMtNP,3,B,-26.886047,151.605447,
idelia.leichhardtii,6.136991576,NA,1,3,BunyaMtNP,3,B,-26.886047,151.605447,
ombya.platynema,23.48063503,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Capparis.arborea,7.926260451,1.620957713,7,21,BunyaMtNP,3,B,-26.886047,151.605447,
Cardwellia.sublimis,6.469658859,NA,1,1,WooroonoranNP,6,W,-17.369926,145.739885,
Castanospermum.australe,13.09597317,2.17241982,58,64,Curtain FigNP & Quinkin,5,CF & Q,see lats for each individual location,see longs for each individual location,
Castanospora.alphandii,8.238192025,0.940302843,16,16,Curtain FigNP & Quinkin & WooroonoranNP,"5,6",CF & Q & W,see lats for each individual location,see longs for each individual location,
Celtis.paniculata,14.74438082,NA,1,3,Curtain FigNP,5,CF,-17.283918,145.57121,
Cinnamomum.oliveri,9.087197954,0.996027944,2,6,MairyCairncross,4,M,-26.778623,152.882047,
Cinnamomum.virens,6.538322764,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Citronella.moorei,16.27879392,5.628320036,2,6,DoigoNP,1,D,-30.359054,152.735787,
Citronella.smythii,14.14342386,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Claoxylon.australe,18.05188448,6.062449884,21,62,DoigoNP & BunyaMtNP,"1,3",D & B,see lats for each individual location,see longs for each individual location,
Codiaeum.variegatum,12.90907406,1.904017992,9,27,Quinkin,5,Q,-17.301913,145.580348,
Corynocarpus.cribbianus,13.73270841,0.313041614,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
Croton.triacros,13.55626998,NA,1,3,Curtain FigNP,5,CF,-17.283918,145.57121,
Cryptocarya.erythroxylon,11.47782082,1.146792926,3,9,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Cryptocarya.glaucescens,6.871527294,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Cryptocarya.grandis,12.7951905,2.13462009,3,9,WooroonoranNP,6,W,-17.369926,145.739885,
Cryptocarya.mackinnoniana,9.006800483,1.343871889,5,13,WooroonoranNP,6,W,-17.369926,145.739885,
Cryptocarya.meisneriana,11.31622701,1.107980434,14,42,DoigoNP,1,D,-30.359054,152.735787,
Cryptocarya.obovata,9.370726494,2.334863871,6,18,DoigoNP & BunyaMtNP & MairyCairncross,"1,3,4",D & B & M,see lats for each individual location,see longs for each individual location,
Cryptocarya.pleurosperma,13.13218376,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Cryptocarya.putida,7.671685194,NA,1,3,Curtain FigNP,5,CF,-17.283918,145.57121,
Cryptocarya.triplonervis.var.pubens,11.39271358,1.29503776,4,11,BunyaMtNP,3,B,-26.886047,151.605447,
Cupaniopsis.flagelliformis,13.09941964,0.359755247,2,3,WooroonoranNP,6,W,-17.369926,145.739885,
Daphnana.apatela,28.83878211,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Daphnana.melasmena,22.18956485,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Daphnana.repandula,20.21471258,2.927180771,7,21,Curtain FigNP & Quinkin & WooroonoranNP,"5,6",CF & Q & W,see lats for each individual location,see longs for each individual location,
Delarea.micheana,8.602241779,2.743160884,3,3,WooroonoranNP,6,W,-17.369926,145.739885,
Denocnide.excelsa,13.06425001,2.590939772,2,3,BunyaMtNP,3,B,-26.886047,151.605447,
Denhamia.celastroides,7.756850846,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Diospyros.australis,5.300853682,2.266675833,4,12,BunyaMtNP,3,B,-26.886047,151.605447,
Diospyros.cupulosa,7.578984399,NA,1,3,Curtain FigNP,5,CF,-17.283918,145.57121,
Diospyros.pentamera,8.263723959,NA,1,3,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Diploglottis.australis,7.790233991,1.528299024,5,5,BunyaMtNP,3,B,-26.886047,151.605447,
Diploglottis.acteata,7.937390595,1.499730634,8,8,WooroonoranNP,6,W,-17.369926,145.739885,
Diploglottis.diphyllostegia,7.545068634,0.563154405,2,2,Curtain FigNP,5,CF,-17.283918,145.57121,
Doryphora.aromatica,14.01690211,2.963979772,7,21,WooroonoranNP,6,W,-17.369926,145.739885,
Doryphora.sassafras,9.109954355,1.885269768,21,61,DoigoNP,1,D,-30.359054,152.735787,
ypetes.deplanchei,8.187272303,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Duboisia.myoporoides,15.98619648,1.861316576,2,6,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Dysoxylum.papuanum,15.86456783,NA,1,2,WooroonoranNP,6,W,-17.369926,145.739885,
Dysoxylum.parasiticum,11.90766806,NA,1,1,Curtain FigNP,5,CF,-17.283918,145.57121,
Dysoxylum.pettigrewianum,14.98044774,5.783098383,3,4,Curtain FigNP,5,CF,-17.283918,145.57121,
Dysoxylum.rufum,17.83499345,5.419284477,2,4,LamingtonNP,2,R,-28.196897,153.183639,"These samples were taken from nearby in Lamington National Park, rather than the border Border Ranges close to the Binna Bua area rather than R Kooymans plots. The Lats and Longs are approximate. We used these to fill missing SLA from the Border Randes plots"
Ehretia.acuminata,17.20599852,6.088977279,2,5,DoigoNP,1,D,-30.359054,152.735787,
Elaeocarpus.kirtonii,9.423923255,NA,1,3,BunyaMtNP,3,B,-26.886047,151.605447,
Elaeodenon.australe,9.228352391,0.320696919,3,9,BunyaMtNP,3,B,-26.886047,151.605447,
Elattostachys.nervosa,10.40521687,1.391933077,4,10,DoigoNP,1,D,-30.359054,152.735787,
Elattostachys.xylocarpa,10.9805381,0.445291301,2,6,BunyaMtNP,3,B,-26.886047,151.605447,
Emmenosperma.alphitoniodes,11.62405223,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Endiana.bessaphila,7.286490353,NA,1,2,WooroonoranNP,6,W,-17.369926,145.739885,
Endiana.cowleyana,24.23039849,NA,1,3,Curtain FigNP,5,CF,-17.283918,145.57121,
Endiana.crassiflora,18.37679143,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Endiana.insignis,14.35150305,NA,1,1,Curtain FigNP,5,CF,-17.283918,145.57121,
Endiana.monothyra,12.73838168,2.814143276,8,22,Curtain FigNP & WooroonoranNP,"5,6",CF & W,see lats for each individual location,see longs for each individual location,
Endiana.sankeyana,10.05520124,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Endiana.virens,14.39504196,4.588002795,2,4,MairyCairncross,4,M,-26.778623,152.882047,
Endiana.wolfei,11.06538613,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Euroschinis.falcatus.var.falcatus,12.48392429,NA,1,1,MairyCairncross,4,M,-26.778623,152.882047,
Ficus.copiosa,9.196521681,NA,1,3,Quinkin,5,Q,-17.301913,145.580348,
Ficus.coronata,18.66688111,6.306951294,3,9,MairyCairncross,4,M,-26.778623,152.882047,
Ficus.fraserii,11.8577881,NA,1,3,Quinkin,5,Q,-17.301913,145.580348,
Ficus.leptoclada,48.95843748,NA,1,3,Curtain FigNP,5,CF,-17.283918,145.57121,
Fontainea.picrosperma,19.51886376,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Franciscodenon.laurifolium,11.35169564,1.187190474,9,21,WooroonoranNP,6,W,-17.369926,145.739885,
Garcinia.gibbsiae,9.252553958,0.744069735,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
Geijera.salicifolia,12.67832542,5.629083604,2,6,BunyaMtNP,3,B,-26.886047,151.605447,
Geissois.benthamiana,9.511446095,1.240582843,3,9,DoigoNP,1,D,-30.359054,152.735787,
Glochidion.ferdinandi,16.43100795,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Gossia.bidwilli,9.833148115,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Gossia.dallachania,15.47501013,2.872295485,3,9,Curtain FigNP & WooroonoranNP,"5,6",CF & W,see lats for each individual location,see longs for each individual location,
Guilfolya.monostylis,19.47149505,1.006425572,2,6,DoigoNP,1,D,-30.359054,152.735787,
Guioa.semiglauca,10.05781159,1.928917254,31,79,BunyaMtNP & MairyCairncross,"3,4",B & M,see lats for each individual location,see longs for each individual location,Most leaf samples from location 3
Haplostichanthus.johnsonii,12.78876839,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Haplostichanthus.submontanus,12.71753415,2.18639595,3,9,Curtain FigNP,5,CF,-17.283918,145.57121,
Harpullia.rhyticarpa,9.226280537,NA,1,1,WooroonoranNP,6,W,-17.369926,145.739885,
Heaianthera.porphyropetala,11.91839322,0.990419277,2,6,MairyCairncross,4,M,-26.778623,152.882047,
Helicia.glaifolia,8.084191288,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Hodgkinsonia.ovatiflora,11.90558694,NA,1,3,BunyaMtNP,3,B,-26.886047,151.605447,
Hylandia.dockrillii,8.447363217,1.527188437,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
Irvingbaileya.australis,12.6171256,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Ligustrum.lucidum,14.98215135,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Ligustrum.sinense,24.0642874,5.050722625,3,9,DoigoNP,1,D,-30.359054,152.735787,
Litsea.leefeana,11.13269816,3.280322772,5,15,MairyCairncross & CurtainFigNP & WooroonoranNP,"4,5,6",M & CF & W,see lats for each individual location,see longs for each individual location,Most leaf samples from location 5  & 6
Litsea.reticulata,9.819987697,3.335289073,2,6,DoigoNP & BunyaMtNP & MairyCairncross,"1,3,4",D & B & M,see lats for each individual location,see longs for each individual location,
Lophostemon.confertus,12.48172567,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Macaranga.inamoena,15.04528826,1.024139945,3,9,Curtain FigNP & WooroonoranNP,"5,6",CF & W,see lats for each individual location,see longs for each individual location,
Mallotus.phillipensis,10.678441,3.360712002,2,5,MairyCairncross,4,M,-26.778623,152.882047,
Mallotus.polyadenos,13.44645706,NA,1,3,Curtain FigNP,5,CF,-17.283918,145.57121,
Medicosma.fareana,16.51661379,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Melicope.elleryana,18.80488107,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Melicope.hayesii,15.31533932,3.614611984,2,6,DoigoNP,1,D,-30.359054,152.735787,
Melicope.micrococca,10.00923694,3.082660835,4,12,BunyaMtNP,3,B,-26.886047,151.605447,
Melicope.vitiflora,15.79955147,3.424389579,4,9,Curtain FigNP & WooroonoranNP,"5,6",CF & W,see lats for each individual location,see longs for each individual location,
Mischocarpus.lachnocarpus,11.66897457,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Myristica.globosa,11.22220007,0.595944472,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
Myrsine.variabilis,11.06930643,1.150736574,2,6,DoigoNP & BunyaMtNP,"1,3",D & B,see lats for each individual location,see longs for each individual location,
Neolitsea.australiensis,10.38519373,0.737090855,7,21,BunyaMtNP,3,B,-26.886047,151.605447,
Neolitsea.dealbata,12.1210047,1.880060271,21,63,DoigoNP & MairyCairncross & Quinkin & WooroonoranNP,"1,4,5,6",D & B & M & Q & W,see lats for each individual location,see longs for each individual location,
Niemeyera.chartacea,11.24480438,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Niemeyera.prunifera,12.93930881,0.125463468,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
Olea.paniculata,25.66408873,10.24552681,2,5,MairyCairncross,4,M,-26.778623,152.882047,
Opisthiolepis.heterophylla,12.67833407,NA,1,2,WooroonoranNP,6,W,-17.369926,145.739885,
Orites.excelsus,12.20617249,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Pilidiostigma.glaum,14.58314943,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Pilidiostigma.tropicum,16.3658592,3.3173174,5,15,Curtain FigNP & WooroonoranNP,"5,6",CF & W,see lats for each individual location,see longs for each individual location,
Pittosporum.multiflorum,12.54209589,2.0094285,3,9,DoigoNP,1,D,-30.359054,152.735787,
Polyalthia.nitidissima,12.95510903,0.434799682,3,9,Curtain FigNP,5,CF,-17.283918,145.57121,
Polyosma.cunninghamii,11.43599081,0.976002292,6,18,LamingtonNP,2,R,-28.196897,153.183639,
Polyscias.elegans,7.563266119,NA,1,3,Quinkin,5,Q,-17.301913,145.580348,
Polyscias.muayi,12.95602164,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Pouteria.australis,10.14816725,2.519619566,6,17,DoigoNP& MairyCairncross,"1,4",D & M,see lats for each individual location,see longs for each individual location,
Pouteria.ownlessiana,11.1146849,1.146172291,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
Pouteria.xerocarpa,12.74311794,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Pseuduvaria.hylandii,15.10519193,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Psyax.odorata,24.12015944,NA,1,2,BunyaMtNP,3,B,-26.886047,151.605447,
Rhodomyrtus.trineura.ssp.capensis,8.48121217,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Rockinghamia.angustifolia,12.12894021,0.234436312,2,6,WooroonoranNP,6,W,-17.369926,145.739885,
Sarcopteryx.stipata,11.7341938,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Scolopia.aunii,10.36113767,1.94180675,2,6,DoigoNP,1,D,-30.359054,152.735787,
Siphonodon.memanaceous,9.150515746,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Sloanea.australis,10.64399393,1.376811451,4,10,DoigoNP & WooroonoranNP,"1,6",D  & W,see lats for each individual location,see longs for each individual location,Most leaf samples from location 1
Sloanea.langii,10.93329306,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Sloanea.woollsii,10.22323805,2.16252331,3,7,DoigoNP,1,D,-30.359054,152.735787,
Solanum.corifolium,12.79226752,NA,1,1,BunyaMtNP,3,B,-26.886047,151.605447,
Solanum.mauritianum,23.14809858,5.34446216,2,6,DoigoNP,1,D,-30.359054,152.735787,
Steganthera.laxiflora,17.40920545,2.201214465,3,9,WooroonoranNP,6,W,-17.369926,145.739885,
Streblus.unonianus,15.2170433,1.622856077,7,21,BunyaMtNP,3,B,-26.886047,151.605447,
Symplocos.hayesii,16.77359294,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Symplocos.paucistaminea,11.5555336,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Symplocos.thwaitesii,7.359823549,NA,1,3,BunyaMtNP,3,B,-26.886047,151.605447,
Synoum.glandulosum,11.97975396,NA,1,2,DoigoNP,1,D,-30.359054,152.735787,
Syzygium.australe,12.01602923,5.282323467,2,6,DoigoNP,1,D,-30.359054,152.735787,
Syzygium.creinerve,10.32120367,NA,1,3,DoigoNP,1,D,-30.359054,152.735787,
Syzygium.gustavoides,7.36279939,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Syzygium.hodgkinsoniae,14.69177328,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Syzygium.mulgraveanum,9.453904273,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Syzygium.smithii,10.80971406,1.244329376,7,19,DoigoNP & BunyaMtNP,"1,3",D & B,see lats for each individual location,see longs for each individual location,
Tabernaemontana.pandacaqui,19.00814717,NA,1,3,MairyCairncross,4,M,-26.778623,152.882047,
Tarenna.dallachiana,24.00320029,3.846571332,3,9,Curtain FigNP,5,CF,-17.283918,145.57121,
Ternstroemia.cheyi,6.354626291,NA,1,3,Quinkin,5,Q,-17.301913,145.580348,
Toechima.erythrocarpum,12.6550867,1.854282407,2,4,WooroonoranNP,6,W,-17.369926,145.739885,
Toona.ciliata,9.458006385,NA,1,1,MairyCairncross,4,M,-26.778623,152.882047,
Vanroyena.castanosperma,19.9308449,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Wilkiea.cordata,12.73978514,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Wilkiea.huegeliana,8.705179582,0.722052836,3,9,DoigoNP,1,D,-30.359054,152.735787,
Wilkiea.longipes,14.86939338,3.378964137,59,174,Curtain FigNP & Quinkin,5,CF & Q,see lats for each individual location,see longs for each individual location,
Wilkiea.macrophylla,6.982889785,0.895990548,4,11,MairyCairncross,4,M,-26.778623,152.882047,
Xanthophyllum.octanum,16.09838875,NA,1,3,WooroonoranNP,6,W,-17.369926,145.739885,
Zanthoxylum.ovaliflorum,12.71834372,2.291507971,7,21,Quinkin,5,Q,-17.301913,145.580348,
Zanthoxylum.veneficum,12.30616931,1.487371316,5,14,Quinkin,5,Q,-17.301913,145.580348,
