species_name,original_name,plant_height_Cooper_2013,plant_height_Kooyman_2011,plant_height_Metcalfe_2020_2,plant_height_Sams_2017,plant_height_to_keep
Atractocarpus benthamianus,Atractocarpus benthamianus,NA,15.5,NA,15.5,omit
Atractocarpus merikin,Attractocarpus merikin,NA,NA,NA,5,keep
Austromuellera trinervia,Austromeullera trinervia,NA,NA,NA,18,keep
Baloghia inophylla,Baloghia inophylla,24,24,NA,24,omit
Beccariella brownlessiana,Pouteria brownlessiana,30,30,NA,30,omit
Beilschmiedia bancroftii,Beilschmiedia bancroftii,30,30,NA,30,omit
Beilschmiedia brunnea,Beilschmedia brunnea,NA,NA,NA,35,keep
Beilschmiedia elliptica,Beilschmiedia elliptica,30,45,NA,45,omit
Beilschmiedia tooram,Beilschmiedia tooram,30,30,NA,30,omit
Brachychiton acerifolius,Brachychiton acerifolius,45,45,NA,45,omit
Brachychiton discolor,Brachychiton discolor,35,35,NA,35,omit
Bridelia leichhardtii,Bridiella leichhardtii,NA,NA,NA,15,keep
Caldcluvia paniculosa,Ackama paniculosa,NA,NA,NA,45,keep
Capparis arborea,Capparis arborea,10,10,NA,10,omit
Cardwellia sublimis,Cardwellia sublimis,35,35,NA,35,omit
Cassine australis,Elaeodendron australe,10,NA,NA,12,keep
Castanospermum australe,Castanospermum australe,35,35,NA,35,omit
Castanospora alphandi,Castanospora alphandii,45,45,NA,45,omit
Celtis paniculata,Celtis paniculata,39,20,NA,20,omit
Cinnamomum oliveri,Cinnamomum oliveri,25,25,NA,25,omit
Cinnamomum virens,Cinnamomum virens,30,45,NA,45,omit
Citronella moorei,Citronella moorei,50,40,NA,40,omit
Citronella smythii,Citronella smythii,25,25,NA,25,omit
Claoxylon australe,Cloaxylon australe,NA,NA,NA,20,keep
Codiaeum variegatum,Codiaeum variegatum var moluccanum,NA,NA,NA,5,keep
Corynocarpus cribbianus,Corynocarpus cribbianus,25,25,NA,25,omit
Croton triacros,Croton triacros,8,8,NA,8,omit
Cryptocarya erythroxylon,Cryptocarya erythroxylon,35,45,NA,45,omit
Cryptocarya glaucescens,Cryptocarya glaucescens,30,45,NA,45,omit
Cryptocarya grandis,Cryptocarya grandis,35,35,NA,35,omit
Cryptocarya mackinnoniana,Cryptocarya mackinnoniana,25,25,NA,25,omit
Cryptocarya meisneriana,Cryptocarya meisneriana,NA,NA,NA,12,keep
Cryptocarya obovata,Cryptocarya obovata,NA,45,NA,45,omit
Cryptocarya pleurosperma,Cryptocarya pleurosperma,30,30,NA,30,omit
Cryptocarya putida,Cryptocarya putida,25,25,NA,25,omit
Cryptocarya triplinervis var. pubens,Cryptocarya triplonervis.var.pubens,NA,NA,NA,30,keep
Cupaniopsis flagelliformis,Cupaniospsis flagelliformis,NA,NA,NA,40,keep
Daphnandra apatela,Daphnandra apetala,NA,NA,NA,35,keep
Daphnandra melasmena,Daphnandra melasmena,NA,20,NA,20,omit
Daphnandra repandula,Daphnandra rapandula,NA,NA,NA,30,keep
Darlingia ferruginea,Darlingia ferrugenia,NA,NA,NA,30,keep
Delarbrea michieana,Delarbrea micheana,NA,NA,NA,8,keep
Dendrocnide excelsa,Dendrocnide excelsa,40,45,NA,45,omit
Dendrocnide photiniphylla,Dendrocnide photinophylla,30,30,NA,30,omit
Denhamia celastroides,Denhamia celastroides,8,15,NA,15,omit
Diospyros australis,Diospyros australis,20,20,NA,20,omit
Diospyros cupulosa,Diospyros cupulosa,12,12,NA,12,omit
Diospyros pentamera,Diospyros pentamera,20,20,NA,20,omit
Diploglottis bracteata,Diploglottis bracteata,23,23,NA,25,keep
Diploglottis cunninghamii,Diploglottis australis,36,45,NA,45,omit
Diploglottis diphyllostegia,Diploglottis diphyllostegia,30,30,NA,30,omit
Doryphora aromatica,Doryphora aromatica,40,40,NA,40,omit
Doryphora sassafras,Doryphora sassafras,50,45,NA,45,omit
Drypetes deplanchei,Drypetes deplanchei,25,25,NA,25,omit
Duboisia myoporoides,Duboisia myoporoides,24,24,NA,24,omit
Dysoxylum fraserianum,Dysoxylum fraserianum,57,45,NA,45,omit
Dysoxylum papuanum,Dysoxylum papuanum,40,40,NA,40,omit
Dysoxylum parasiticum,Dysoxylum parasiticum,27,27,NA,27,omit
Dysoxylum pettigrewianum,Dysoxylum pettigrewianum,35,35,NA,35,omit
Dysoxylum rufum,Dysoxylum rufum,30,30,NA,30,omit
Ehretia acuminata,Ehretia acuminata,30,30,NA,30,omit
Elaeocarpus angustifolius,Elaeocarpus grandis,35,NA,NA,35,omit
Elaeocarpus kirtonii,Elaeocarpus kirtonii,45,45,NA,45,omit
Elattostachys nervosa,Elattostachys nervosa,29,40,NA,40,omit
Elattostachys xylocarpa,Elattostachys xylocarpa,NA,25,NA,25,omit
Emmenosperma alphitonoides,Emmenosperma alphitoniodes,NA,NA,NA,35,keep
Endiandra bessaphila,Endiandra bessaphila,35,35,NA,35,omit
Endiandra compressa,Endiandra compressa,20,20,NA,20,omit
Endiandra cowleyana,Endiandra cowleyana,30,30,NA,30,omit
Endiandra crassiflora,Endiandra crassiflora,20,40,NA,40,omit
Endiandra insignis,Endiandra insignis,25,25,NA,25,omit
Endiandra monothyra,Endiandra monothyra,NA,NA,NA,35,keep
Endiandra palmerstonii,Endiandra palmerstonii,30,30,NA,30,omit
Endiandra sankeyana,Endiandra sankeyana,30,30,NA,30,omit
Endiandra virens,Endiandra virens,10,10,NA,10,omit
Endiandra wolfei,Endiandra wolfei,25,25,NA,26,keep
Erythroxylon sp.,Erythroxylon sp,NA,NA,NA,25,keep
Eupomatia laurina,Eupomatia laurina,10,10,NA,10,omit
Euroschinus falcatus var. falcatus,Euroschinis falcatus.var.falcatus,NA,NA,NA,30,keep
Ficus congesta,Ficus congesta,6,6,NA,6,omit
Ficus copiosa,Ficus copiosa,10,10,NA,10,omit
Ficus coronata,Ficus coronata,15,20,NA,20,omit
Ficus fraseri,Ficus fraserii,NA,NA,NA,35,keep
Ficus leptoclada,Ficus leptoclada,15,15,NA,15,omit
Firmiana papuana,Firmiana papuana,25,25,NA,25,omit
Flindersia brayleyana,Flindersia brayleyana,NA,35,NA,35,omit
Flindersia schottiana,Flindersia schottiana,NA,45,NA,45,omit
Fontainea picrosperma,Fontainea picrosperma,25,25,NA,25,omit
Franciscodendron laurifolium,Franciscodendron laurifolium,30,30,NA,30,omit
Garcinia gibbsiae,Garcinia gibbsiae,12,12,NA,12,omit
Geijera salicifolia,Geijera salicifolia,35,NA,NA,35,omit
Geissois benthamiana,Geissios benthami,NA,NA,NA,45,keep
Glochidion ferdinandii,Glochidion ferdinandi,15,35,NA,35,omit
Glochidion hylandii,Glochidian hylandii,NA,NA,NA,15,keep
Gmelina fasciculiflora,Gmelina fasciculiflora,30,30,NA,30,omit
Gossia bidwillii,Gossia bidwilli,NA,NA,NA,25,keep
Gossia dallachyana,Gossia dallachania,NA,NA,NA,16,keep
Gossia shepherdii,Gossia shepherdii,20,20,NA,20,omit
Guilfoylia monostylis,Guilfolya monostylis,NA,NA,NA,20,keep
Guioa lasioneura,Guioa lasioneura,15,15,NA,15,omit
Guioa semiglauca,Guioa semiglauca,25,40,NA,40,omit
Haplostichanthus johnsonii,Haplostichanthus johnsonii,4,4,NA,5,keep
Haplostichanthus submontanus,Haplosticanthus submontanus,NA,NA,NA,4,keep
Harpullia rhyticarpa,Harpulia rhytocarpa,NA,NA,NA,6,keep
Hedraianthera porphyropetala,Hedraianthera porphyropetala,6,6,NA,6,omit
Hedycarya loxocarya,Hedycarya loxocarya?,NA,NA,NA,25,keep
Helicia glabrifolia,Helicia glabrifolia,NA,NA,NA,30,keep
Heritiera actinophylla,Argyrodendron actinophyllum,47,NA,NA,45,keep
Hodgkinsonia ovatiflora,Hodgkinsonia ovatiflora,25,35,NA,35,omit
Hylandia dockrillii,Hylandea dockrillii,NA,NA,NA,30,keep
Irvingbaileya australis,Irvingbaileya australis,20,20,NA,20,omit
Jagera pseudorhus,Jagera pseudorhus,NA,NA,NA,15,keep
Kibara macrophylla,Wilkiea macrophylla,10,10,NA,10,omit
Ligustrum lucidum,Ligustrum lucidum,20,NA,NA,15,keep
Ligustrum sinense,Ligustrum sinense,5,NA,NA,5,omit
Linospadix monostachyos,Linospadix monostachya,NA,NA,NA,6,keep
Litsea leefeana,Litsea leefeana,30,30,NA,30,omit
Litsea reticulata,Litsea reticulata,40,45,NA,45,omit
Lophostemon confertus,Lophostemon confertus,40,40,NA,40,omit
Macaranga inamoena,Macaranga inoemena,NA,NA,NA,10,keep
Mallotus philippensis,Mallotus phillipensis,NA,NA,NA,25,keep
Mallotus polyadenos,Mallotsus polyadenos,NA,NA,NA,28,keep
Maytenus disperma,Maytenus disperma,15,15,NA,15,omit
Medicosma fareana,Medicosma fareana,10,10,NA,10,omit
Melia azedarach,Melia azedarch,NA,NA,NA,45,keep
Melicope elleryana,Melicope elleryana,35,35,NA,35,omit
Melicope hayesii,Melicope hayesii,NA,10,NA,10,omit
Melicope micrococca,Melicope micrococca,NA,35,NA,35,omit
Melicope platynema,Brombya platynema,20,20,NA,20,omit
Melicope vitiflora,Melicope vitaflora,NA,NA,NA,40,keep
Mischocarpus lachnocarpus,Mischocarpus lachnocarpus,20,20,NA,20,omit
Myristica globosa,Myristica globosa,30,30,NA,30,omit
Myristica insipida,Myristica insipida,25,25,NA,25,omit
Neolitsea australiensis,Neolitsia australiensis,NA,NA,NA,30,keep
Neolitsea dealbata,Neolitsea dealbata,15,15,NA,15,omit
Niemeyera chartacea,Niemeyera chartacea,NA,20,NA,20,omit
Niemeyera prunifera,Niemeyera prunifera,16,16,NA,16,omit
Notelaea longifolia,Notolea longifolia,NA,NA,NA,9,keep
Olea paniculata,Olea paniculata,NA,30,NA,30,omit
Opisthiolepis heterophylla,Opisthiolepus heterophylla,NA,NA,NA,30,keep
Oraniopsis appendiculata,Oraniopsis appendiculata,NA,NA,NA,30,keep
Orites excelsus,Orites excelsus,30,30,NA,30,omit
Pilidiostigma glabrum,Pilidiostigma glabrum,5,12,NA,12,omit
Pilidiostigma tropicum,Pilidiostigma tropicum,20,20,NA,20,omit
Pittosporum multiflorum,Pittosporum mulitflorum,NA,NA,NA,4.2,keep
Pittosporum rubiginosum,Pittosporum rubiginosum,2,2,NA,2,omit
Planchonella australis,Pouteria australis,30,40,NA,40,omit
Planchonella myrsinodendron,Planchonella myrsinoidendron,NA,NA,NA,25,keep
Planchonella xylocarpa,Pouteria xylocarpa,30,NA,NA,15,keep
Polyalthia nitidissima,Polyalthia nitidissima,18,18,NA,18,omit
Polyosma cunninghamii,Polyosma cunninghamii,15,25,NA,25,omit
Polyscias elegans,Polycias elegens,NA,NA,NA,30,keep
Polyscias murrayi,Polyscias murrayi,30,30,NA,30,omit
Prunus turneriana,Prunus turneriana,30,30,NA,30,omit
Pseudomorus brunoniana,Streblus brunonianus,30,30,NA,30,omit
Pseuduvaria hylandii,Pseudavarius hylandia,NA,NA,NA,13,keep
Psydrax odorata,Psydrax odorata,NA,NA,NA,15,keep
Quintinia verdonii,Quintinia verdonii,17,22,NA,22,omit
Rapanea variablis,Myrsine variabilis,NA,10,NA,10,omit
Rhodomyrtus trineura subsp. capensis,Rhodomyrtus trineura.ssp.capensis,NA,NA,NA,6,keep
Rockinghamia angustifolia,Rockinghamia angustifolia,20,20,NA,20,omit
Sarcopteryx stipitata,Sarcopteryx stipata,40,40,NA,40,omit
Schistocarpaea johnsonii,Schistocarpaea johnsonii,NA,7,NA,7,omit
Scolopia braunii,Scolopia braunii,30,30,NA,30,omit
Siphonodon australis,Siphonodon australia,NA,NA,NA,30,keep
Siphonodon membranaceus,Siphonodon membranaceous,NA,NA,NA,25,keep
Sloanea australis,Sloenea australis,NA,NA,NA,45,keep
Sloanea langii,Sloenea langii,NA,NA,NA,25,keep
Sloanea macbrydei,Sloenea macbriddii,NA,NA,NA,35,keep
Sloanea woollsii,Sloenea woollsii,NA,NA,NA,45,keep
Solanum corifolium,Solanum corifolum,NA,NA,NA,1.5,keep
Solanum mauritianum,Solanum mauritianum,4,NA,NA,4,omit
Steganthera laxiflora,Steganthera laxiflora,NA,NA,NA,20,keep
Symplocos hayesii,Symplocus hayesii,NA,NA,NA,3,keep
Symplocos paucistaminea,Symplocus pauscistamenia,NA,NA,NA,18,keep
Symplocos thwaitesii,Symplocos thwaitesii,18,8,NA,8,omit
Synoum glandulosum,Synoum glandulosum,20,NA,NA,20,omit
Syzygium australe,Syzygium australe,24,24,NA,24,omit
Syzygium crebrinerve,Syzygium crebrinerve,40,45,NA,45,omit
Syzygium gustavioides,Syzygium gustavoides,NA,NA,NA,40,keep
Syzygium hemilamprum,Syzygium hemilamprum,NA,NA,NA,30,keep
Syzygium hodgkinsoniae,Syzygium hodgkinsoniae,11,25,NA,25,omit
Syzygium ingens,Syzygium ingens,NA,45,NA,45,omit
Syzygium mulgraveanum,Syzigium mulgraveana,NA,NA,NA,25,keep
Syzygium smithii,Syzygium smithii,NA,20,NA,20,omit
Tabernaemontana pandacaqui,Tabernaemontana pandacaqui,4,4,NA,4,omit
Tarenna dallachiana,Tarrenia dallachania,NA,NA,NA,20,keep
Ternstroemia cherryi,Ternstroemia cherryi,20,20,NA,20,omit
Toechima erythrocarpum,Toechima erythrocarpa,NA,NA,NA,20,keep
Toona ciliata,Toona ciliata,45,45,NA,45,omit
Van-royena castanosperma,Vanroyena castanosperma,NA,20,NA,20,omit
Wilkiea cordata,Wilkea chordata,NA,NA,NA,4,keep
Wilkiea hugeliana,Wilkea huegeliana,NA,NA,NA,13.5,keep
Wilkiea longipes,Wilkea longipes,NA,NA,NA,15,keep
Xanthophyllum octandrum,Xanthophyllum octandrum,25,25,NA,25,omit
Zanthoxylum ovalifolium,Zanthoxylum ovatiflorum,NA,NA,NA,6,keep
Zanthoxylum venificum,Zanthoxylum venicum,NA,NA,NA,25,keep
