context,measurement PAR (uml m-2 s-1),measurement PAR description,growing temperature (C),growing temperature description,growing CO2 (ppm),growing CO2 description,growth period,growth period description,type,context columns
Amb_Temp_and_400_ppm_CO2_and_measured_at_1000_PAR,1000,Gas exchange measurements made at 1000 umolm-2 s-1 radiation,Amb,"Grown at ambient temperature, 26/18 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Amb_Temp_and_640_ppm_CO2_and_measured_at_1000_PAR,1000,Gas exchange measurements made at 1000 umolm-2 s-1 radiation,Amb,"Grown at ambient temperature, 26/18 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",NA,NA,treatment,"growing CO2, growing temperature, PAR"
Amb_Temp_and_640_ppm_CO2,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",NA,NA,treatment,"growing CO2, growing temperature"
Amb_Temp_and_280_ppm_CO2,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature"
Elv_Temp_and_280_ppm_CO2,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature"
Elv_Temp_and_400_ppm_CO2,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature"
Amb_Temp_and_400_ppm_CO2,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",NA,NA,treatment,"growing CO2, growing temperature"
Amb_Temp_and_280_ppm_CO2_at_growth_period_T1,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",T1,"growth period T1, with measurements made in February 2009 after 91 treatment days",treatment,"growing CO2, growing temperature, growth period"
Amb_Temp_and_280_ppm_CO2_at_growth_period_T2,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",T2,"growth period T2, with measurements made in April 2009 after 144 treatment days",treatment,"growing CO2, growing temperature, growth period"
Amb_Temp_and_280_ppm_CO2_at_growth_period_T3,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",T3,"growth period T3, with measurements made in June 2009 after 205 treatment days",treatment,"growing CO2, growing temperature, growth period"
Amb_Temp_and_400_ppm_CO2_at_growth_period_T1,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",T1,"growth period T1, with measurements made in February 2009 after 91 treatment days",treatment,"growing CO2, growing temperature, growth period"
Amb_Temp_and_400_ppm_CO2_at_growth_period_T2,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",T2,"growth period T2, with measurements made in April 2009 after 144 treatment days",treatment,"growing CO2, growing temperature, growth period"
Amb_Temp_and_400_ppm_CO2_at_growth_period_T3,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",T3,"growth period T3, with measurements made in June 2009 after 205 treatment days",treatment,"growing CO2, growing temperature, growth period"
Amb_Temp_and_640_ppm_CO2_at_growth_period_T1,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",T1,"growth period T1, with measurements made in February 2009 after 91 treatment days",treatment,"growing CO2, growing temperature, growth period"
Amb_Temp_and_640_ppm_CO2_at_growth_period_T2,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",T2,"growth period T2, with measurements made in April 2009 after 144 treatment days",treatment,"growing CO2, growing temperature, growth period"
Amb_Temp_and_640_ppm_CO2_at_growth_period_T3,NA,NA,Amb,"Grown at ambient temperature, 26/18 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",T3,"growth period T3, with measurements made in June 2009 after 205 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_280_ppm_CO2_at_growth_period_T1,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",T1,"growth period T1, with measurements made in February 2009 after 91 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_280_ppm_CO2_at_growth_period_T2,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",T2,"growth period T2, with measurements made in April 2009 after 144 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_280_ppm_CO2_at_growth_period_T3,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",280,"Grown at 280 ppm CO2, sub-ambient CO2 levels",T3,"growth period T3, with measurements made in June 2009 after 205 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_400_ppm_CO2_at_growth_period_T1,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",T1,"growth period T1, with measurements made in February 2009 after 91 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_400_ppm_CO2_at_growth_period_T2,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",T2,"growth period T2, with measurements made in April 2009 after 144 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_400_ppm_CO2_at_growth_period_T3,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",400,"Grown at 400 ppm CO2, ambient CO2 levels",T3,"growth period T3, with measurements made in June 2009 after 205 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_640_ppm_CO2_at_growth_period_T1,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",T1,"growth period T1, with measurements made in February 2009 after 91 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_640_ppm_CO2_at_growth_period_T2,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",T2,"growth period T2, with measurements made in April 2009 after 144 treatment days",treatment,"growing CO2, growing temperature, growth period"
Elv_Temp_and_640_ppm_CO2_at_growth_period_T3,NA,NA,Elv,"Grown at elevated temperature, 30/22 (day/night)",640,"Grown at 640 ppm CO2, elevated CO2 levels",T3,"growth period T3, with measurements made in June 2009 after 205 treatment days",treatment,"growing CO2, growing temperature, growth period"
