taxon_name,entity_type,entity_context,location_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,error_type,error_value,n,context,source_section,notes
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,stigma_anther_pore_distance,ranged from 0.2 to 0.6 mm,,0.2,minimum,mm,,,,,"Discussion, p.253","Candidate trait, not in config/traits.yml. Two rows (min/max) for the stated range"
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,stigma_anther_pore_distance,ranged from 0.2 to 0.6 mm,,0.6,maximum,mm,,,,,"Discussion, p.253","Candidate trait, not in config/traits.yml"
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,bee_visit_frequency,0.2,,0.2,minimum,bees/half hour,,,,October 2010 observation period,"Results, Bee community and behaviour, p.251","Candidate trait, not in config/traits.yml. 'frequencies were slightly higher in 2011 from 3.2-14.8 bees per half hour than in 2010 (0.2-11.8 bees per half hour)'"
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,bee_visit_frequency,11.8,,11.8,maximum,bees/half hour,,,,October 2010 observation period,"Results, Bee community and behaviour, p.251","Candidate trait, not in config/traits.yml"
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,bee_visit_frequency,3.2,,3.2,minimum,bees/half hour,,,,October 2011 observation period,"Results, Bee community and behaviour, p.251","Candidate trait, not in config/traits.yml"
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,bee_visit_frequency,14.8,,14.8,maximum,bees/half hour,,,,October 2011 observation period,"Results, Bee community and behaviour, p.251","Candidate trait, not in config/traits.yml"
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,bee_flowers_visited_per_plant_single_visit,up to 48 flowers on the same plant visited by one bee on one observation occasion,,48,maximum,{count},,,,,"Discussion, p.253","Candidate trait, not in config/traits.yml. Most first visits to plants were to flowers on the outer perimeter of plants; most plants had only one or two flowers visited before the bee moved on or was lost from sight"
Tetratheca paynterae subsp. paynterae,population,,Windarling Range,bee_visits_outer_canopy_proportion,68.6,,68.6,raw,%,,,,October 2011,"Discussion, p.253","Candidate trait, not in config/traits.yml. 'After this the bee might alight on a flower of an adjacent plant but more often was lost from sight. Of the visits to plants in October 2011 68.6% were to flowers on the outside of the plant rather than within the inner canopy'"
Tetratheca paynterae subsp. paynterae,species,,Windarling Range,buzz_pollination,buzz pollinated,,buzz_pollinated,mode,,,,,,"Abstract, p.248; Introduction, p.249; Methods, p.250","Candidate trait, not in config/traits.yml — there is no dedicated buzz-pollination/sonication trait in the current vocabulary (checked 'buzz', 'sonicat', 'vibrat', 'poricidal', 'pollination_mechanism' as of 2026-08). Kept separate from the pollination_system=bee row for this taxon so it can be mapped on its own once such a trait exists (e.g. a floral pollen-release-mechanism or buzz-pollination categorical trait). Source: 'The Tetratheca species are buzz pollinated' (Abstract, p.248); 'Tetratheca has a relatively specialised pollination system (buzz pollination)' (Introduction, p.249); pollen is extracted from the anthers either by native bees sonicating and vibrating pollen loose from the anthers or by bees raking the anthers with their front legs (Methods, p.250, citing McNee 2003). See also the mapped 'flower_anther_dehiscence' = poricidal rows for the same four taxa, which capture the anther mechanism that buzz pollination acts on."
Tetratheca paynterae subsp. cremnobata,species,,Diehardy Range,buzz_pollination,buzz pollinated,,buzz_pollinated,mode,,,,,,"Abstract, p.248; Introduction, p.249; Methods, p.250","Candidate trait, not in config/traits.yml — there is no dedicated buzz-pollination/sonication trait in the current vocabulary (checked 'buzz', 'sonicat', 'vibrat', 'poricidal', 'pollination_mechanism' as of 2026-08). Kept separate from the pollination_system=bee row for this taxon so it can be mapped on its own once such a trait exists (e.g. a floral pollen-release-mechanism or buzz-pollination categorical trait). Source: 'The Tetratheca species are buzz pollinated' (Abstract, p.248); 'Tetratheca has a relatively specialised pollination system (buzz pollination)' (Introduction, p.249); pollen is extracted from the anthers either by native bees sonicating and vibrating pollen loose from the anthers or by bees raking the anthers with their front legs (Methods, p.250, citing McNee 2003). Floral morphology and bee behaviour at flowers are described as similar for all four taxa (Methods, p.250). See also the mapped 'flower_anther_dehiscence' = poricidal rows for the same four taxa, which capture the anther mechanism that buzz pollination acts on."
Tetratheca aphylla,species,,Helena and Aurora Ranges,buzz_pollination,buzz pollinated,,buzz_pollinated,mode,,,,,,"Abstract, p.248; Introduction, p.249; Methods, p.250","Candidate trait, not in config/traits.yml — there is no dedicated buzz-pollination/sonication trait in the current vocabulary (checked 'buzz', 'sonicat', 'vibrat', 'poricidal', 'pollination_mechanism' as of 2026-08). Kept separate from the pollination_system=bee row for this taxon so it can be mapped on its own once such a trait exists (e.g. a floral pollen-release-mechanism or buzz-pollination categorical trait). Source: 'The Tetratheca species are buzz pollinated' (Abstract, p.248); 'Tetratheca has a relatively specialised pollination system (buzz pollination)' (Introduction, p.249); pollen is extracted from the anthers either by native bees sonicating and vibrating pollen loose from the anthers or by bees raking the anthers with their front legs (Methods, p.250, citing McNee 2003). Floral morphology and bee behaviour at flowers are described as similar for all four taxa (Methods, p.250). See also the mapped 'flower_anther_dehiscence' = poricidal rows for the same four taxa, which capture the anther mechanism that buzz pollination acts on."
Tetratheca harperi,species,,Jackson Range,buzz_pollination,buzz pollinated,,buzz_pollinated,mode,,,,,,"Abstract, p.248; Introduction, p.249; Methods, p.250","Candidate trait, not in config/traits.yml — there is no dedicated buzz-pollination/sonication trait in the current vocabulary (checked 'buzz', 'sonicat', 'vibrat', 'poricidal', 'pollination_mechanism' as of 2026-08). Kept separate from the pollination_system=bee row for this taxon so it can be mapped on its own once such a trait exists (e.g. a floral pollen-release-mechanism or buzz-pollination categorical trait). Source: 'The Tetratheca species are buzz pollinated' (Abstract, p.248); 'Tetratheca has a relatively specialised pollination system (buzz pollination)' (Introduction, p.249); pollen is extracted from the anthers either by native bees sonicating and vibrating pollen loose from the anthers or by bees raking the anthers with their front legs (Methods, p.250, citing McNee 2003). Floral morphology and bee behaviour at flowers are described as similar for all four taxa (Methods, p.250). See also the mapped 'flower_anther_dehiscence' = poricidal rows for the same four taxa, which capture the anther mechanism that buzz pollination acts on."
Tetratheca paynterae subsp. cremnobata,species,,Diehardy Range,flower_anther_dehiscence,pollen is held within tubular poricidal anthers that form a ring surrounding the flower style,poricidal,poricidal,mode,,,,,,"Methods, Study species and area, p.250",Not individually described for this taxon; generalised from the T. paynterae subsp. paynterae description on the strength of the Methods statement that 'floral morphology and bee behaviour at flowers are similar for the four taxa' (p.250). Poricidal anther dehiscence is also the mechanism underlying the buzz-pollination trait proposed separately (see the 'buzz_pollination' candidate-trait rows) — the two are closely related aspects of the same pollen-release mechanism.
Tetratheca aphylla,species,,Helena and Aurora Ranges,flower_anther_dehiscence,pollen is held within tubular poricidal anthers that form a ring surrounding the flower style,poricidal,poricidal,mode,,,,,,"Methods, Study species and area, p.250",Not individually described for this taxon; generalised from the T. paynterae subsp. paynterae description on the strength of the Methods statement that 'floral morphology and bee behaviour at flowers are similar for the four taxa' (p.250). Poricidal anther dehiscence is also the mechanism underlying the buzz-pollination trait proposed separately (see the 'buzz_pollination' candidate-trait rows) — the two are closely related aspects of the same pollen-release mechanism.
Tetratheca harperi,species,,Jackson Range,flower_anther_dehiscence,pollen is held within tubular poricidal anthers that form a ring surrounding the flower style,poricidal,poricidal,mode,,,,,,"Methods, Study species and area, p.250",Not individually described for this taxon; generalised from the T. paynterae subsp. paynterae description on the strength of the Methods statement that 'floral morphology and bee behaviour at flowers are similar for the four taxa' (p.250). Poricidal anther dehiscence is also the mechanism underlying the buzz-pollination trait proposed separately (see the 'buzz_pollination' candidate-trait rows) — the two are closely related aspects of the same pollen-release mechanism.
