Genus_Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes 
Actinobole_condensatum,Asteraceae,C3,,C3,TERN SIA,,
Actinobole_uliginosum,Asteraceae,C3,,C3,TERN SIA,,
Actinotus_helianthi,Apiaceae,C3,,C3,TRY,,
Actinotus_minor,Apiaceae,C3,,C3,TRY,,
Adansonia_gregorii,Malvaceae,C3,,C3,TRY,,
Adenanthos_cuneatus,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Adenanthos_cygnorum,Proteaceae,C3,,C3,TRY,,
Adenanthos_obovatus,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Adiantum_aethiopicum,Pteridaceae,C3,,C3,TERN SIA,,
Aerva_javanica,Amaranthaceae,C4,,C4,Sage et al 2007,,
Aeschynomene_indica,Fabaceae,C3,,C3,TRY,,
Agonis_theiformis,Myrtaceae,C3,,C3,TERN SIA,,
Agrostis_bettyae,Poaceae,U,C3,C3,Metcalfe 1960; Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Agrostis_capillaris,Poaceae,U,C3,C3,Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Agrostis_venusta,Poaceae,U,C3,C3,Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Agrostocrinum_scabrum,Hemerocallidaceae,U,,C3,TRY,,
Aira_cupaniana,Poaceae,C3,,C3,TRY,,
Aira_elegantissima,Poaceae,C3,,C3,TRY,,
Ajuga_iva,Lamiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Albizia_lebbeck,Fabaceae,C3,,C3,TRY,,
Alectryon_oleifolius,Sapindaceae,C3,,C3,TRY,,
Allocasuarina_acutivalvis,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_campestris,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_corniculata,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_decaisneana,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_fraseriana,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_humilis,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_littoralis,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_muelleriana,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_nana,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_spinosissima,Casuarinaceae,C3,,C3,TERN SIA,,
Allocasuarina_striata,Casuarinaceae,C3,,C3,TRY,,
Allocasuarina_verticillata,Casuarinaceae,C3,,C3,TRY,,
Allopterigeron_filifolius,Asteraceae,C3,,C3,TERN SIA,,
Alloteropsis_semialata,Poaceae,C4,,C4,TRY,,
Alphitonia_excelsa,Rhamnaceae,C3,,C3,TRY,,
Alternanthera_denticulata,Amaranthaceae,C3-C4,,C3-C4,TRY,,
Alternanthera_nana,Amaranthaceae,C3-C4,,C3-C4,TRY,,
Alternanthera_nodiflora,Amaranthaceae,C4,,C4,Sage et al 2007,,
Aluta_maisonneuvei,Myrtaceae,C3,,C3,TERN SIA,,
Alyogyne_pinoniana,Malvaceae,C3,,C3,TRY,,
Alyxia_buxifolia,Apocynaceae,C3,,C3,TERN SIA,,"C3 and CAM are in this family, numerous genera untested; further testing of anatomy justified as isotope values may not be comprehensive  "
Amaranthus_mitchellii,Amaranthaceae,C4,,C4,Sage et al 2007,,
Ampelocissus_frutescens,Vitaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Tree; No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Amperea_xiphoclada,Euphorbiaceae,C3,,C3,TRY,,
Amphipogon_caricinus,Poaceae,C3,,C3,TRY,,
Amphipogon_strictus,Poaceae,C3,,C3,TERN SIA,,
Amphipogon_turbinatus,Poaceae,C3,,C3,TRY,,
Amyema_fitzgeraldii,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Amyema_hilliana,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Amyema_maidenii,Loranthaceae,C3,,C3,TRY,,
Amyema_miquelii,Loranthaceae,C3,,C3,TRY,,
Amyema_miraculosa,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,AusTraits,
Amyema_quandang,Loranthaceae,C3,,C3,TRY,,
Amyema_villiflora,Loranthaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Anagallis_arvensis,Primulaceae,C3,,C3,TRY,,
Anarthria_prolifera,Anarthriaceae,U,C3,C3,Sage 2016 (and references therein);Ehleringer and Monson 1993,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Anarthria_scabra,Anarthriaceae,U,C3,C3,Sage 2016 (and references therein);Ehleringer and Monson 1993,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Androcalva_loxophylla,Malvaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Anemocarpa_podolepidium,Asteraceae,C3,,C3,TERN SIA,,
Angianthus_conocephalus,Asteraceae,C3,,C3,TERN SIA,,
Angianthus_tomentosus,Asteraceae,C3,,C3,TERN SIA,,
Angophora_costata,Myrtaceae,C3,,C3,TRY,,
Angophora_hispida,Myrtaceae,C3,,C3,TRY,,
Anigozanthos_humilis,Haemodoraceae,C3,,C3,TRY,,
Anisomeles_inodora,Lamiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Anisopogon_avenaceus,Poaceae,C3,,C3,TRY,,
Anthobolus_leptomerioides,Santalaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Anthoxanthum_odoratum,Poaceae,C3,,C3,Metcalfe 1960; Watson and Dallwitz 1992 onwards,,
Antidesma_ghaesembilla,Phyllanthaceae,C3,,C3,TRY,,
Aphanes_arvensis,Rosaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,
Aphyllodium_biarticulatum,Fabaceae,C3,,C3,TERN SIA,,
Apophyllum_anomalum,Capparaceae,C3,,C3,TRY,,
Arabidella_nasturtium,Brassicaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards; Pate et al 1998,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Archidendropsis_basaltica,Fabaceae,C3,,C3,TRY,,
Argyrotegium_fordianum,Asteraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Argyrotegium_nitidulum,Asteraceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Aristida_anthoxanthoides,Poaceae,C4,,C4,TERN SIA,,
Aristida_arida,Poaceae,C4,,C4,TRY,,
Aristida_biglandulosa,Poaceae,C4,,C4,TRY,,
Aristida_calycina,Poaceae,C4,,C4,TRY,,
Aristida_contorta,Poaceae,C4,,C4,TRY,,
Aristida_dominii,Poaceae,C4,,C4,TERN SIA,,
Aristida_holathera,Poaceae,C4,,C4,TRY,,
Aristida_inaequiglumis,Poaceae,C4,,C4,TRY,,
Aristida_ingrata,Poaceae,C4,,C4,TERN SIA,,
Aristida_jerichoensis,Poaceae,C4,,C4,TRY,,
Aristida_latifolia,Poaceae,C4,,C4,TRY,,
Aristida_longicollis,Poaceae,C4,,C4,TERN SIA,,
Aristida_nitidula,Poaceae,C4,,C4,TRY,,
Aristida_obscura,Poaceae,C4,,C4,TRY,,
Aristida_perniciosa,Poaceae,C3,,C3,TERN SIA,,
Aristida_pruinosa,Poaceae,C4,,C4,TRY,,
Aristida_ramosa,Poaceae,C4,,C4,TRY,,
Aristida_utilis,Poaceae,C4,,C4,TERN SIA,,
Arrhenechthites_mixtus,Asteraceae,C3,,C3,TERN SIA,,
Arthropodium_fimbriatum,Asparagaceae,C3,,C3,TRY,,
Arthropodium_strictum,Asparagaceae,C3,,C3,TRY,,
Arthrostylis_aphylla,Cyperaceae,C3,,C3,TRY,,
Arundinella_nepalensis,Poaceae,C4,,C4,TRY,,
Arundinella_setosa,Poaceae,C4,,C4,TRY,,
Asparagus_asparagoides,Asparagaceae,C3,,C3,TRY,,
Asperula_gunnii,Rubiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Asperula_pusilla,Rubiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
Asphodelus_fistulosus,Asphodelaceae,C3,,C3,TRY,,
Astelia_alpina,Asteliaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,
