Current Scientific Name,Species Code,Legal Status,Exotic,2010 Update,Notes on Name / Synonym as used in source reference,Family,Group,Life form,Fireresponse,Comments on regeneration,Resprout location,Seed storage,Seed dispersal mechanism,Seed dispersal distance,Seed weight / size,Seed viability,Dormancy,Germination cue,Fecundity,Seed predation,Post-fire recruitment,Establishment,Post-fire flowering,Flowering time,flowering_time_edited,fruiting_time_edited,Primary juvenile period,Secondary juvenile period,Seed set,Seed-bank developed,Fire tolerance,Life span,Seed-bank longevity,"""Maturity"" (from source)","""Extinction"" (from source)","""Rec. min fire interval"" (from source)","""Rec. max fire interval"" (from source)",NC,CC,SC,NT,CT,ST,NWS,CWS,SWS,NWP,SWP,NFWP,SFWP,Distribution: extra NSW,Vegetation,Rainforest,Wet Sclerophyll Forest (Shrubby),Wet Sclerophyll Forest (Grassy),Grassy Woodland,Grassland,Dry Sclerophyll Forest (Shrub/Grass),Dry Sclerophyll Forest (Shrubby),Heathland,Alpine Complex,Freshwater Wetland,Forested Wetlands,Saline Wetland,Semi-arid Woodland,Arid & Semi-arid Shrubland,NFRR data,Additional fire response data,Other data,VA group,Sensitivity: frequent,Sensitivity: infrequent,Minimum maturity,Maximum maturity,Lifespan > than,Lifespan < than,Lifespan + seed-bank,VA Data,Establishment Data,Maturity Data,Lifespan Data,Lifespan 2 Data,Seedbank Data,time_to_flowering_min,time_to_flowering_max,time_to_flowering_mean,peak_flowering_min,peak_flowering_max,peak_flowering_mean,time_to_fruiting_min,time_to_fruiting_max,time_to_fruiting_mean
Acacia baileyana,3710,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T or S,S,NA,NA,a-persistent soil,ant,NA,NA,96%,hard seed coat,heat,NA,NA,NA,T,NA,Jun-Sep,Jun-Sep,NA,3,NA,NA,NA,NA,20-30,NA,NA,NA,NA,NA,-,1,-,1,1,1,1,1,1,1,1,-,-,-,Mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8BF,II-38d,1; 38; 93b,ST,3,3,3,NA,20,30,60,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia barringtonensis,3712,NA,NA,n,NA,Fabaceae: Mimosoideae,D,S,R,NA,root buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sep-Nov,Sep-Nov,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,1,-,-,-,-,-,-,-,-,-,NA,DSF W,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,IV,NA,VI,2,1,3,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,3,NA,NA,NA,NA,NA,NA
Acacia baueri subsp. baueri,7060,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,I,NA,Feb-Mar,Feb-Mar,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,1,1,-,-,-,-,-,-,-,-,-,-,-,Q,H,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2BW 8B,VIII-39,9; 35,SI,2,1,2,5,NA,NA,NA,1,1,1,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia beadleana,11039,NA,NA,n,NA,Fabaceae: Mimosoideae,D,S,R,NA,basal buds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"All year, peak Jan-Feb",all year,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,-,-,-,-,-,-,-,-,-,NA,DSF W H,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,V,NA,VI,2,1,3,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,3,NA,NA,NA,NA,NA,NA
Acacia betchei,3715,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,scarification,NA,NA,NA,NA,NA,Nov-Feb,Nov-Feb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,-,-,1,-,-,-,-,-,-,Q,DSF H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,II-100,93,SI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia binervata,3716,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T,Sr,Resprouting form in northern tablelands (134),basal buds,persistent soil,a-ant,NA,NA,NA,hard seed coat,heat,NA,NA,prolific,I,NA,Aug-Nov,Aug-Nov,NA,5,NA,6,10,NA,20,NA,NA,50,NA,NA,1,1,1,1,1,-,-,-,-,-,-,-,-,Q,WSF RF,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2BF,VIII-35; II-105; V-134,1; 35; 55; 93b; 98; 105,SI,2,1,5,6,20,NA,>50,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia binervia,3717,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T,S,"Has no protected vegetative buds or insulated bark; Mortality 100% after high intensity (100% scorch), 25% after low intensity fire (103)",NA,persistent soil,NA,NA,NA,NA,hard seed coat,heat,NA,NA,NA,I,NA,Aug-Oct,Aug-Oct,NA,2,NA,NA,NA,minimum stem circumference to survive low intensity fire is 25cm (no survial after high intensity),50-100,NA,NA,NA,NA,NA,1,1,1,-,1,1,-,1,-,-,-,-,-,-,DSF H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2BF,VIII-39; VIII-76; VIII-103; VIII-R41,1; 93b; 103,SI,2,1,2,NA,50,100,130,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia blakei subsp. diphylla,10788,NA,NA,c,Acacia diphylla,Fabaceae: Mimosoideae,D,T or S,S,NA,NA,a-persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Sep-Nov,Sep-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-,1,1,-,-,-,-,-,-,-,-,-,DSF RF (dry),1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,VIII-74; II-134,NA,SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia blakei subsp. diphylla,10788,NA,NA,nR,Acacia diphylla,Fabaceae: Mimosoideae,D,S,S,NA,NA,soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Aug-Nov,Aug-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-,1,1,-,-,-,-,-,-,-,-,Q,"dry sclerophyll forest and dry rainforest, on steep slopes",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,II,NA,SI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia blayana,8381,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,heat,NA,NA,NA,I,NA,Sep-Oct,Sep-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,1,-,-,-,-,-,-,-,-,-,-,-,TOF,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,II-R35,93b; R35,SI,2,1,NA,NA,NA,NA,NA,1,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia brownii,3723,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,Rs,Variable (39),basal,a-persistent soil,NA,NA,NA,good,hard seed coat,heat,NA,NA,NA,NA,NA,Aug-Nov,Aug-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,-,-,-,-,-,Q V,DSF OW H S,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,9BN,VIII&IX-39; V-134,1; 93a,VSI,2,1,NA,NA,NA,NA,NA,3,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia brunioides subsp. brunioides,6498,NA,NA,n,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,soil,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,1,-,-,-,-,-,-,-,-,-,Q,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,II,NA,SI,2,1,4,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia bulgaensis,8601,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S or T,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Sep-Dec; seed drop Dec-Feb,Sep-Dec,Dec-Feb,NA,NA,5-Mar,NA,NA,c. 20-40,NA,NA,NA,8-10 (mod-high intensity),NA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,OF,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,II-66,71,SI,2,1,3,10,20,40,70,1,2,2,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia burbidgeae,3725,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,persistent soil,ant,NA,NA,76%,hard seed coat,heat,NA,NA,abundant,NA,NA,June-Sep; seed mature by Dec,Jun-Sep,Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,20,-,-,-,1,-,-,1,-,-,-,-,-,-,Q,OF W,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,II-69; II-100; II-134,69; 93b,SI,2,1,NA,5,NA,20,50,1,2,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia burkittii,8242,NA,NA,NA,Acacia acuminata subsp. burkittii,Fabaceae: Mimosoideae,D,S,R,NA,NA,a-persistent soil,NA,NA,NA,good,hard seed coat,heat,NA,NA,NA,NA,NA,any time of year,all year,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,1,1,1,Q SA WA NT,Mulga H,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9CH,NA,93a,VSI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia buxifolia,3727,NA,NA,NA,subsp. unspecified,Fabaceae: Mimosoideae,D,S,Rs,Post-fire abundance increase (P),root suckers,a-persistent soil,NA,NA,NA,good,hard seed coat,heat,NA,NA,yes,NA,NA,Jul-Nov,Jul-Nov,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,-,1,1,1,1,1,1,1,1,-,-,Q V,DSF W H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,9P 5PU 4PU,II-69,87; 93a; P,VSI,2,1,2,NA,NA,NA,NA,3,2,1,4,5,4,NA,NA,2,NA,NA,NA,NA,NA,NA
Acacia buxifolia subsp. pubiflora,9282,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,R,NA,basal buds,a-persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,<1 seedling per adult,NA,NA,Jul-Nov,Jul-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,-,-,1,-,-,-,-,-,-,Q,DSF W H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,IX-100; V-134,100,VSI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia calamifolia,3730,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,a-persistent soil,NA,NA,22 sd/g,NA,hard seed coat,heat,NA,NA,NA,NA,NA,Oct-Nov,Oct-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,1,1,1,-,1,1,-,V SA,swamp OH W,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,8CH,NA,"93a,b",SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia calcicola,7524,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T,S,NA,NA,a-persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Aug-Dec,Aug-Dec,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,1,-,Q SA WA NT,Mulga Belah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,8PL,NA,NA,SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia capitata,n/a,NA,?,NA,Not in PlantNet,Fabaceae: Mimosoideae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,-,-,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,II-66,NA,E,5,5,NA,NA,NA,NA,NA,5,4,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cheelii,3738,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Aug-Nov,Aug-Nov,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,1,1,-,1,1,-,1,-,-,-,-,DSF,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,II-66,NA,SI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia chrysotricha,3739,E1,NA,NA,NA,Fabaceae: Mimosoideae,D,T,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,heat,NA,NA,NA,NA,NA,Jul-Aug,Jul-Aug,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,RF WSF,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,II-R36,93b,SI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cognata,3742,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T,R,NA,basal,a-persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Jul-Oct,Jul-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,1,1,-,-,1,-,-,-,-,-,-,-,V,OF W RF WSF,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,V-38a,NA,VSI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia colletioides,3743,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,a-persistent soil,NA,NA,NA,83.70%,hard seed coat,heat,NA,NA,NA,NA,NA,Jul-Oct,Jul-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,1,-,1,1,1,1,V SA WA,W,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,8C,NA,"93a,b",SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia constablei,3747,V,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,I (R35) / even aged stands indicate post fire recruitment; though some recruitment in absence of fire (R15),NA,June-Aug (a few specimens in Feb-Mar),Jun-Aug,NA,NA,NA,NA,NA,NA,short?,NA,NA,NA,15,NA,-,-,1,-,-,-,-,-,-,-,-,-,-,-,LS,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,II-R15; II-R35,R15; R35,SI,2,1,NA,15,S,NA,35,1,1,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia costiniana,3750,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,persistent soil,NA,NA,75.9-77.2 sd/g,NA,hard seed coat,heat,NA,NA,NA,I,NA,Aug-Oct,Aug-Oct,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,-,DSF W H,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,II-R35,93b; R35,SI,2,1,NA,NA,NA,NA,NA,1,1,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia courtii,555,V,NA,NA,NA,Fabaceae: Mimosoideae,D,T,S,NA,NA,persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Nov-Jan,Nov-Jan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-,-,-,-,-,-,-,-,-,-,-,-,-,DSF,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,II-R36,NA,SI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia cowleana,3752,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,S,S,NA,NA,a-persistent soil,NA,NA,NA,89%,hard seed coat,heat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,-,-,-,NT Q WA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8WI 8FO(1) 8PL,NA,93b,SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia curranii,3755,V,NA,NA,NA,Fabaceae: Mimosoideae,D,S,R,NA,root suckers,a-persistent soil,NA,NA,NA,NA,hard seed coat,no seedlings have been recorded from any site and attempts to germinate seeds after pre-sowing treatment have been largely unsuccessful,NA,NA,post-fire pulse,NA,NA,Aug-Sep,Aug-Sep,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,-,-,-,-,1,1,-,-,Q,Acacia-S Mallee,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,IV-72,72,VSI,2,1,NA,NA,NA,NA,NA,1,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia dallachiana,3756,NA,NA,NA,NA,Fabaceae: Mimosoideae,D,T,S,NA,NA,a-persistent soil,NA,NA,NA,NA,hard seed coat,a-heat,NA,NA,NA,NA,NA,Oct-Mar,Oct-Mar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-,-,-,-,-,1,-,-,-,-,-,-,-,V,subalpine-F montane-F,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8CE,NA,NA,SI,2,1,NA,NA,NA,NA,NA,2,2,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
