trait_name,label,units,type,min_value,max_value,description
leaf_cell_wall_fraction_SE,Leaf cell wall fraction (fraction of cell wall material recovered from total leaf biomass) standard error,dimensionless,numeric,0,0.3,NA
leaf_cell_wall_N,Leaf cell wall nitrogen concentration,mmol/g,numeric,1.1,16.1,NA
leaf_cell_wall_N_SE,Leaf cell wall nitrogen concentration standard error,mmol/g,numeric,0.1,4.1,NA
leaf_cell_wall_N_fraction,Leaf cell wall nitrogen fraction,dimensionless,numeric,0.7,3.1,NA
leaf_cell_wall_N_fraction_SE,Leaf cell wall nitrogen fraction standard error,dimensionless,numeric,0,0.7,NA
leaf_chlorophyll_per_dry_mass,Leaf chlorophyll content per leaf dry mass,umol/g,numeric,24.7,79.6,NA
leaf_CN_ratio,Leaf carbon/nitrogen (C/N) ratio,g/g,numeric,165.1,1044,NA
leaf_dark_respiration_per_area,Leaf respiration rate per leaf area,umolCO2/m2/s,numeric,-20.9,11000,NA
leaf_dark_respiration_per_dry_mass,Leaf respiration rate per leaf dry mass,umolCO2/g/s,numeric,0.5,418.1,NA
leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),per mille,numeric,-350.4,-122,NA
leaf_delta15N,Leaf nitrogen (C) isotope signature (delta 15N),per mille,numeric,-63.08727591,510.4,NA
leaf_dry_mass,Leaf dry mass,mg,numeric,0,52550,NA
leaf_elastic_modulus,Leaf elastic modulus,mmol/m2/s,numeric,6.72,113.1242267,NA
leaf_fracture_force,Leaf force of fracture,N,numeric,0.001,10,NA
leaf_K_per_area,Leaf potassium (K) content per leaf area,g/m2,numeric,8.1,292.2,NA
leaf_K_per_dry_mass,Leaf potassium (K) content per dry mass,mg/g,numeric,8,267,NA
leaf_length,Leaf length,mm,numeric,100,2500,NA
leaf_length_max,Leaf length maximum,mm,numeric,0,3000000,NA
leaf_length_max_extreme,Leaf length extreme maximum,mm,numeric,26,2750,NA
leaf_length_min,Leaf length minimum,mm,numeric,0,12200,NA
leaf_length_min_extreme,Leaf length extreme minimum,mm,numeric,8,680,NA
leaf_length_range,Leaf length range,mm,numeric,200,3900,NA
leaf_lifespan,Leaf lifespan (longevity),month,numeric,33,110,NA
leaf_lobed,Leaf lobed,NA,character,NA,NA,NA
leaf_N_per_area,Leaf nitrogen (N) content per leaf area,g/m2,numeric,6.2,448.9,NA
leaf_N_per_dry_mass,Leaf nitrogen (N) content per leaf dry mass,mg/g,numeric,24.8,283995.3802,NA
leaf_N_per_dry_mass_SE,Leaf nitrogen (N) content per leaf dry mass standard error,mg/g,numeric,0.1,3.5,NA
leaf_P_per_area,Leaf phosphorus (P) content per leaf area,g/m2,numeric,0.1,59.9,NA
leaf_P_per_dry_mass,Leaf phosphorus (P) content per leaf dry mass,mg/g,numeric,0.7,51.09192895,NA
leaf_photosynthetic_nitrogen_use_efficiency,"Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency, PNUE)",umolCO2/s/gN,numeric,14.98,63.04,NA
leaf_photosynthetic_water_use_efficiency,Leaf photosynthesis rate per leaf transpiration (water use effinciency: WUE),umolCO2/umolH2O,numeric,0.44,2.31,NA
leaf_shape,Leaf shape,NA,character,NA,NA,NA
leaf_specific_conductivity,Leaf area-specific conductivity / leaf specific conductivity,10^4 x kg/m/s/MPa,numeric,8.1,298,NA
leaf_thickness,Leaf thickness,mm,numeric,0.00109,13270,NA
leaf_thickness_SE,Leaf thickness standard error,mm,numeric,2010,13270,NA
leaf_toughness,Leaf toughness,N/m,numeric,1010,62300,NA
leaf_type,LeafType,NA,character,NA,NA,NA
leaf_water_content_per_area,Leaf water content per area,g/m2,numeric,0.001,10000,NA
leaf_water_content_per_area_SE,Leaf water content per area standard error,g/m2,numeric,0.001,10000,NA
leaf_water_content_per_mass,Leaf water content per mass,g/g,numeric,5,7.2,NA
leaf_width,Leaf width,mm,numeric,3,800,NA
leaf_width_max,Leaf width maximum,mm,numeric,0,15000,NA
leaf_width_max_extreme,Leaf width extreme maximum,mm,numeric,9.5,660,NA
leaf_width_min,Leaf width minimum,mm,numeric,0,10000,NA
leaf_width_min_extreme,Leaf width extreme minimum,mm,numeric,2,450,NA
leaf_width_range,Leaf width range,mm,numeric,3,700,NA
leaf_area_per_sapwood_area,Leaf area per sapwood area,m2/m2,numeric,0.000001,1000000,NA
leaf_compoundness,Leaf compoundness,NA,character,NA,NA,NA
leaf_phenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",NA,character,NA,NA,NA
life_history,"Life history (annual, biennial, perennial, ephemeral)",NA,character,NA,NA,NA
lifespan,Life span (years),year,numeric,990,990,NA
lignotuber,Lignotuber,NA,character,NA,NA,NA
lineage,"Lineage (dicot, monocot)",NA,character,NA,NA,NA
leaf_mass_per_area,leaf dry mass per area,mm2/mg,numeric,1,10000,NA
leaf_mass_per_area_SE,leaf dry mass per area standard error,mm2/mg,numeric,0,300,NA
leaf_mass_fraction,Leaf mass fraction,g/g,numeric,1.94,6.68,NA
nitrogen_fixing,Plant nitrogen fixation capacity,NA,character,NA,NA,NA
northing,,degrees,numeric,NA,NA,NA
origin,"Origin (native, alien)",NA,character,NA,NA,NA
photosynthetic_pathway,Photosynthetic pathway,NA,character,NA,NA,NA
photosynthetic_rate_per_area,Leaf photosynthesis rate per leaf area,umolCO2/m2/s,numeric,23.14,1282,NA
photosynthetic_rate_per_dry_mass,Leaf photosynthesis rate per leaf dry mass,umolCO2/g/s,numeric,0.410470085,3162.9,NA
plant_height,Plant height,m,numeric,0,996,NA
plant_height_max,Plant height maximum,m,numeric,0.001,2000,NA
plant_height_max_extreme,Plant height maximum extreme,m,numeric,5,130,NA
plant_height_min,Plant height minimum,m,numeric,0.005,800,NA
plant_height_min_extreme,Plant height minimum extreme,m,numeric,1.5,3.5,NA
plant_growth_form,Plant Growth Form,NA,character,NA,NA,NA
regen_strategy,Regeneration strategy,NA,character,NA,NA,NA
root_structure,Root structure,NA,character,NA,NA,NA
root_wood_density,Root wood density,mg/mm3,numeric,5.3,9.6,NA
sapwood_specific_conductivity,Sapwood specific conductivity / stem specific conductivity,kg/m/s/MPa,numeric,0.5,119.1,NA
seed_breadth,Seed breadth,mm,numeric,0.1,320,NA
seed_breadth_max,Seed breadth maximum,mm,numeric,2,2000,NA
seed_breadth_min,Seed breadth min,mm,numeric,2,1700,NA
seed_breadth_range,Seed breadth range,mm,numeric,0.00001,10000000,NA
seed_depth_range,Seed depth range,mm,numeric,0.00001,10000000,NA
seed_diameter,seed diameter,mm,numeric,0.00001,10000000,NA
seed_length,Seed length,mm,numeric,0.1,375,NA
seed_length_range,Seed length (range),mm,numeric,3,400,NA
seed_length_max,Seed length (max),mm,numeric,2,7000,NA
seed_length_min,Seed length (min),mm,numeric,2,4500,NA
seed_mass,Seed dry mass,mg,numeric,0,833330,NA
seed_mass_reserve,Seed dry mass reserve,mg,numeric,0,3725,NA
seed_mass_reserve_percent,Seed dry mass reserve percent,%,numeric,130,890,NA
seed_provenance,Seed provenance,NA,character,NA,NA,NA
seed_shape,Seed shape,NA,character,NA,NA,NA
seed_size_less_than_10mm,Seed size less than 10mm,NA,character,NA,NA,NA
seed_size_over_10mm,Seed size over 10mm,NA,character,NA,NA,NA
seed_volume,Seed volume,mm3,numeric,0.01,935385.685,NA
seed_width,Seed width,mm,numeric,0.1,105,NA
seed_width_max,Seed width maximum,mm,numeric,2,5000,NA
seed_width_min,Seed width minimum,mm,numeric,2,4500,NA
serotiny,Serotiny,NA,character,NA,NA,NA
specific_leaf_area,"Leaf area per leaf dry mass (specific leaf area, SLA)",mm2/mg,numeric,4.6,213812.7,NA
stem_cross_section_area,Stem cross-sectional area,mm2,numeric,48.7488786,4245.2,NA
stomatal_conductance_per_area,Stomatal conductance,mmolH2O/m2/s,numeric,0.248,5169000,NA
succulent,Succulent,NA,character,NA,NA,NA
water_use_efficiency,Water use efficiency,mmolCO2/molH2O/m2/s,numeric,0.000001,100000000,NA
wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",mg/mm3,numeric,1.64,12.27,NA
wood_density_genus,Genus of species,NA,character,NA,NA,NA
wood_density_family,Family of species,NA,character,NA,NA,NA
wood_density_SD,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",mg/mm3,numeric,0.1,1.5,NA
woodiness,woodiness,NA,character,NA,NA,NA
fire_response,Binary - resprouts or is killed by fire,NA,charater,NA,NA,NA
bark_mass_area,Bark mass area,g/cm2,numeric,0.0001,10,NA
seed_P_concentration,Seed phosphorus concentration,mg/g,numeric,0.00001,1000,NA
storage_organ_present,Storage organ present (binary),NA,character,NA,NA,NA
diaspore_mass,Mass of entire diaspore,NA,character,NA,NA,NA
flowering_month,Species flowers during this month,NA,character,NA,NA,NA
branch_mass_fraction,Fraction of plant dry mass comprised of branch material,NA,numeric,0.00001,100,NA
stem_tissue_density,Stem tissue density,mg/mm3,numeric,0.0001,10,NA



