taxon_name,trait,trait_value_raw,trait_value,trait_value_clean,value_type,unit,source_section,notes,basis_of_record
Richea victoriana,flower_filament_length,2-3.5,,3.5,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Erica coarctata,flower_filament_length,0.5,,0.5,raw,mm,"Table 1, p.60","additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica labialis,flower_filament_length,4-4.5,,4,minimum,mm,"Table 1, p.60","additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica labialis,flower_filament_length,4-4.5,,4.5,maximum,mm,"Table 1, p.60","additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea acerosa,flower_anther_length,1,,1,raw,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea milliganii,flower_anther_length,2,,2,raw,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea sprengelioides,flower_anther_length,2,,2,raw,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_release_mechanism, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea procera,flower_anther_length,2.3-2.8,,2.3,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea procera,flower_anther_length,2.3-2.8,,2.8,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea scoparia,flower_anther_length,1,,1,raw,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea pandanifolia,flower_anther_length,1,,1,raw,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea continentis,flower_anther_length,1,,1,raw,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea victoriana,flower_anther_length,1-1.5,,1,minimum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Richea victoriana,flower_anther_length,1-1.5,,1.5,maximum,mm,"Table 1, p.60","Value taken by this source from Menadue & Crowden (2000) 'Taxonomic revision of Richea (Epacridaceae)', not an original measurement of this paper (Table 1 footnote, p.60).; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",literature
Erica coarctata,flower_anther_length,.5,,0.5,raw,mm,"Table 1, p.60","additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica labialis,flower_anther_length,1.2,,1.2,raw,mm,"Table 1, p.60","additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea acerosa,flower_ovules_per_functional_carpel_count,23.5,,23.5,mean,{count},"Table 2, p.60","'Ovules/loculus' in source; mean of counts from >=6 flowers per species (Methods, p.59). Assumes 1 loculus = 1 functional carpel in this syncarpous family.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea acerosa,flower_pollen_ovule_ratio,1884,,1884,raw,{count}/{count},"Table 2, p.60","Pollen count per flower calculated from a mean of 6 digestion counts (Methods, p.59); ovule count from >=6 flowers.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea continentis,flower_ovules_per_functional_carpel_count,43,,43,mean,{count},"Table 2, p.60","'Ovules/loculus' in source; mean of counts from >=6 flowers per species (Methods, p.59). Assumes 1 loculus = 1 functional carpel in this syncarpous family.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea continentis,flower_pollen_ovule_ratio,6265,,6265,raw,{count}/{count},"Table 2, p.60","Pollen count per flower calculated from a mean of 6 digestion counts (Methods, p.59); ovule count from >=6 flowers.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea scoparia,flower_ovules_per_functional_carpel_count,37.0,,37.0,mean,{count},"Table 2, p.60","'Ovules/loculus' in source; mean of counts from >=6 flowers per species (Methods, p.59). Assumes 1 loculus = 1 functional carpel in this syncarpous family.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea scoparia,flower_pollen_ovule_ratio,6858,,6858,raw,{count}/{count},"Table 2, p.60","Pollen count per flower calculated from a mean of 6 digestion counts (Methods, p.59); ovule count from >=6 flowers.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea sprengelioides,flower_ovules_per_functional_carpel_count,34.6,,34.6,mean,{count},"Table 2, p.60","'Ovules/loculus' in source; mean of counts from >=6 flowers per species (Methods, p.59). Assumes 1 loculus = 1 functional carpel in this syncarpous family.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_release_mechanism, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea sprengelioides,flower_pollen_ovule_ratio,12165,,12165,raw,{count}/{count},"Table 2, p.60","Pollen count per flower calculated from a mean of 6 digestion counts (Methods, p.59); ovule count from >=6 flowers.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_release_mechanism, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea milliganii,flower_ovules_per_functional_carpel_count,40.9,,40.9,mean,{count},"Table 2, p.60","'Ovules/loculus' in source; mean of counts from >=6 flowers per species (Methods, p.59). Assumes 1 loculus = 1 functional carpel in this syncarpous family.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea milliganii,flower_pollen_ovule_ratio,18649,,18649,raw,{count}/{count},"Table 2, p.60","Pollen count per flower calculated from a mean of 6 digestion counts (Methods, p.59); ovule count from >=6 flowers.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea victoriana,flower_ovules_per_functional_carpel_count,9.8,,9.8,mean,{count},"Table 2, p.60","'Ovules/loculus' in source; mean of counts from >=6 flowers per species (Methods, p.59). Assumes 1 loculus = 1 functional carpel in this syncarpous family.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea victoriana,flower_pollen_ovule_ratio,49700,,49700,raw,{count}/{count},"Table 2, p.60","Pollen count per flower calculated from a mean of 6 digestion counts (Methods, p.59); ovule count from >=6 flowers.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica labialis,flower_ovules_per_functional_carpel_count,1.0,,1.0,mean,{count},"Table 2, p.60","'Ovules/loculus' in source; mean of counts from >=6 flowers per species (Methods, p.59). Assumes 1 loculus = 1 functional carpel in this syncarpous family.; additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica labialis,flower_pollen_ovule_ratio,18574,,18574,raw,{count}/{count},"Table 2, p.60","Pollen count per flower calculated from a mean of 6 digestion counts (Methods, p.59); ovule count from >=6 flowers.; additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica coarctata,flower_ovules_per_functional_carpel_count,8.9,,8.9,mean,{count},"Table 2, p.60","'Ovules/loculus' in source; mean of counts from >=6 flowers per species (Methods, p.59). Assumes 1 loculus = 1 functional carpel in this syncarpous family.; additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica coarctata,flower_pollen_ovule_ratio,23484,,23484,raw,{count}/{count},"Table 2, p.60","Pollen count per flower calculated from a mean of 6 digestion counts (Methods, p.59); ovule count from >=6 flowers.; additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea procera,flower_scent_production,absent,scent_absent,scent_absent,mode,,"Table 3, p.64","Only reported in Table 3 for this subset of species (those discussed as candidates for wind pollination); scent not reported one way or the other for R. acerosa, R. scoparia, R. pandanifolia or R. continentis, so not assumed for them.; additional trait data not mapped in, corolla_dehiscence_type, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea sprengelioides,flower_scent_production,absent,scent_absent,scent_absent,mode,,"Table 3, p.64","Only reported in Table 3 for this subset of species (those discussed as candidates for wind pollination); scent not reported one way or the other for R. acerosa, R. scoparia, R. pandanifolia or R. continentis, so not assumed for them.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_release_mechanism, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea victoriana,flower_scent_production,absent,scent_absent,scent_absent,mode,,"Table 3, p.64","Only reported in Table 3 for this subset of species (those discussed as candidates for wind pollination); scent not reported one way or the other for R. acerosa, R. scoparia, R. pandanifolia or R. continentis, so not assumed for them.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea milliganii,flower_scent_production,absent,scent_absent,scent_absent,mode,,"Table 3, p.64","Only reported in Table 3 for this subset of species (those discussed as candidates for wind pollination); scent not reported one way or the other for R. acerosa, R. scoparia, R. pandanifolia or R. continentis, so not assumed for them.; additional trait data not mapped in, corolla_dehiscence_type, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica coarctata,flower_scent_production,absent,scent_absent,scent_absent,mode,,"Table 3, p.64","Only reported in Table 3 for this subset of species (those discussed as candidates for wind pollination); scent not reported one way or the other for R. acerosa, R. scoparia, R. pandanifolia or R. continentis, so not assumed for them.; additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Erica labialis,flower_scent_production,absent,scent_absent,scent_absent,mode,,"Table 3, p.64","Only reported in Table 3 for this subset of species (those discussed as candidates for wind pollination); scent not reported one way or the other for R. acerosa, R. scoparia, R. pandanifolia or R. continentis, so not assumed for them.; additional trait data not mapped in, ovary_locule_number, pollen_aggregation_type, pollen_tackiness, stigma_shape, style_filament_length_ratio_category",field preserved_specimen
Richea sprengelioides,pollination_syndrome,attributes that seem to support the idea of a wind pollination syndrome,wind,wind,mode,,"Discussion, p.62-63","'The attributes that seem to support the idea of a wind pollination syndrome in R. sprengelioides are the smooth, dry monad pollen which is readily released as a pollen cloud from the terminal inflorescence, lack of nectaries and both the anthers and stigma are well exerted from the perianth, as the perianth falls off at anthesis.'",field preserved_specimen
Richea procera,pollination_syndrome,morphology and attributes ... support a similar situation [to R. sprengelioides],wind,wind,mode,,"Discussion, p.62",'The morphology and attributes of R. procera which could be measured in this study support a similar situation' (i.e. the wind-pollination syndrome described for R. sprengelioides in the same paragraph).,field preserved_specimen
Richea victoriana,pollination_syndrome,a number of attributes that indicate it is likely to be wind-pollinated,wind,wind,mode,,"Discussion, p.63","'The Victorian species R. victoriana also has a number of attributes that indicate it is likely to be wind-pollinated, particularly the very high pollen:ovule ratio.'",field preserved_specimen
Richea milliganii,pollination_syndrome,"grouped with the other possibly wind-pollinated richeas in Table 3, but flagged as unstudied/uncertain",wind,wind,mode,,"Table 3, p.64; Discussion, p.65","Most speculative of the four Richea candidates: 'Richea milliganii has monad pollen but is different from the other possibly wind-pollinated richeas in several other characteristics -- namely, the large pollen, presence of nectar and the pendulous, rather than erect, flowers. Unfortunately this species has not been studied in any detail and there are no observations on how it might be pollinated.' The source also raises an alternative hypothesis: 'Could R. milliganii be an example of an ambophilous (sensu Linder 1998) taxon with flowers initially receptive to buzz pollination with wind pollination as a fall back position?' Included here because Table 3 groups it with the other wind-pollination candidates, but this is the lowest-confidence call of the four -- flag for review.",field preserved_specimen
Erica coarctata,pollination_syndrome,considered to be definitely wind-pollinated (Schumann et al. 1992),wind,wind,mode,,"Discussion, p.63","'Erica coarctata is considered to be definitely wind-pollinated (Schumann et al. 1992).' This conclusion is attributed by Ladd (2006) to Schumann, Kirsten & Oliver (1992), not derived from this paper's own analysis -- E. coarctata is used throughout as this paper's known-wind-pollinated reference standard for comparison, not a novel finding.",literature
Erica labialis,pollination_syndrome,characteristics which could be interpreted as ambophilous -- freely shed pollen from well exerted anthers while still producing nectar,wind biotic,wind biotic,mode,,"Discussion, p.65","Source describes E. labialis as ambophilous, not purely wind-pollinated: 'Similarly E. labialis has characteristics which could be interpreted as ambophilous -- freely shed pollen from well exerted anthers while still producing nectar' (also Abstract: 'E. labialis can produce abundant pollen when the plant is shaken but also produces nectar'). Recorded as the compound value 'wind biotic' since AusTraits' pollination_syndrome has no dedicated ambophilous/mixed-strategy term -- a modelling judgement call, flag for review.",field preserved_specimen
Richea sprengelioides,pollination_vector_possible,tapping the stem would produce a cloud of pollen,wind,wind,mode,,"Results, p.59-60","'Field observation of flowering Richea sprengelioides showed that tapping the stem would produce a cloud of pollen.' Distinguished from the pollination_syndrome row above because this is a direct field observation (pollen visibly released under mechanical disturbance), not a floral-morphology inference -- though tapping is used here as a proxy for wind-induced stem movement, not literal observation of wind itself dispersing the pollen, hence 'possible' rather than 'known' vector.",field
