taxon_name,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type,partially_woody
Aspleniaceae,fern epiphyte,NA,NA,NA,NA,terrestrial epiphyte,NA,NA
Asplenium,fern epiphyte,NA,NA,NA,NA,terrestrial epiphyte,NA,NA
Asplenium aethiopicum,NA,NA,NA,NA,rhizome,NA,NA,NA
Asplenium attenuatum,NA,tufted erect,NA,NA,rhizome,NA,NA,NA
Asplenium attenuatum var. attenuatum,NA,tufted erect,NA,NA,rhizome,NA,NA,NA
Asplenium attenuatum var. indivisum,NA,tufted erect,NA,NA,rhizome,NA,NA,NA
Asplenium australasicum,NA,erect rosette,NA,NA,rhizome,NA,NA,NA
Asplenium decurrens,fern,tufted erect,NA,NA,NA,NA,NA,NA
Asplenium difforme,NA,erect,NA,NA,rhizome,NA,NA,NA
Asplenium flabellifolium,NA,erect,NA,NA,rhizome,NA,NA,NA
Asplenium flaccidum,NA,NA,NA,NA,rhizome,NA,NA,NA
Asplenium flaccidum subsp. flaccidum,NA,NA,NA,NA,rhizome,NA,NA,NA
Asplenium goudeyi,lithophyte epiphyte,erect dense rosette,NA,NA,rhizome,epiphyte lithophyte,NA,woody_root
Asplenium gracillimum,NA,tufted,NA,NA,rhizome,NA,NA,NA
Asplenium harmanii,NA,erect rosette,NA,NA,rhizome,NA,NA,NA
Asplenium hookerianum,NA,erect,NA,NA,rhizome,NA,NA,NA
Asplenium milnei,fern,NA,NA,NA,NA,terrestrial,NA,NA
Asplenium polyodon,NA,NA,NA,NA,rhizome,NA,NA,NA
Asplenium pteridoides,fern,NA,NA,NA,NA,terrestrial,NA,NA
Asplenium surrogatum,fern epiphyte,NA,NA,NA,NA,terrestrial epiphyte,NA,NA
Asplenium trichomanes,NA,erect,NA,NA,rhizome,NA,NA,NA
Pleurosorus,fern,NA,NA,NA,NA,terrestrial,NA,NA
Pleurosorus rutifolius,NA,NA,NA,NA,rhizome,NA,NA,NA
Pleurosorus subglandulosus,NA,NA,NA,NA,rhizome,NA,NA,NA
Asteliaceae,tree shrub herb,tufted,NA,NA,rhizome,NA,NA,NA
Astelia,herb,tufted,NA,perennial,rhizome,NA,dioecious,NA
Astelia alpina,herb,mat_forming,NA,NA,NA,NA,NA,NA
Astelia alpina var. novae-hollandiae,herb,mat_forming,NA,NA,NA,NA,NA,NA
Astelia psychrocharis,herb,mat_forming,NA,NA,NA,NA,NA,NA
Neoastelia,herb,tufted,NA,perennial,rhizome,NA,NA,NA
Neoastelia spectabilis,herb,tufted,NA,NA,NA,NA,NA,NA
Asteraceae,shrub herb climber,NA,NA,annual biennial perennial,NA,NA,NA,NA
Abrotanella,herb,tufted decumbent,NA,perennial,NA,NA,NA,NA
Abrotanella nivigena,herb,tufted dense,NA,perennial,NA,NA,NA,NA
Acanthocladium,shrub,NA,NA,NA,NA,NA,NA,NA
Acanthocladium dockeri,shrub,NA,NA,NA,NA,NA,NA,NA
Acanthospermum,herb,NA,NA,annual,NA,NA,NA,NA
Acanthospermum australe,herb,prostrate,NA,NA,NA,NA,NA,NA
Acanthospermum hispidum,herb,erect,NA,NA,NA,NA,NA,NA
Achillea,herb,NA,NA,perennial,rhizome,NA,NA,NA
Achillea distans,herb,erect,NA,NA,NA,NA,NA,NA
Achillea filipendulina,herb,NA,NA,NA,rhizome,NA,NA,NA
Achillea millefolium,herb,stoloniferous erect,NA,perennial,stolon,NA,NA,NA
Acmella,herb,NA,NA,annual perennial,NA,NA,NA,NA
Acmella grandiflora,herb,NA,NA,NA,NA,NA,NA,NA
Acmella grandiflora var. brachyglossa,herb,NA,NA,NA,NA,NA,NA,NA
Acomis,herb,erect,NA,annual perennial,NA,NA,NA,NA
Acomis acoma,herb,NA,NA,annual perennial,NA,NA,NA,NA
Actinobole,herb,NA,NA,annual,NA,NA,NA,NA
Actinobole uliginosum,herb,prostrate,NA,annual,NA,NA,NA,NA
Actites,herb,NA,NA,perennial,rhizome,NA,NA,NA
Actites megalocarpus,herb,NA,NA,perennial,NA,NA,NA,NA
Adenostemma,herb,NA,NA,annual perennial,NA,NA,NA,NA
Adenostemma lavenia,herb,prostrate erect,NA,annual,NA,NA,NA,NA
Adenostemma lavenia var. lavenia,herb,prostrate erect,NA,annual,NA,NA,NA,NA
Ageratina,subshrub herb,NA,NA,perennial,NA,NA,NA,NA
Ageratina adenophora,herb,NA,NA,NA,NA,NA,NA,NA
Ageratina riparia,herb,erect decumbent,NA,NA,NA,NA,NA,NA
Ageratum,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Ageratum conyzoides,herb,NA,NA,NA,NA,NA,NA,NA
Ageratum conyzoides subsp. conyzoides,herb,NA,NA,NA,NA,NA,NA,NA
Ageratum houstonianum,herb,decumbent,NA,NA,NA,NA,NA,NA
Allittia,herb,tufted,NA,perennial,rhizome,NA,NA,NA
Allittia cardiocarpa,herb,erect,NA,perennial,NA,NA,NA,NA
Ambrosia,herb,NA,NA,annual perennial,NA,NA,NA,NA
Ambrosia artemisiifolia,NA,NA,NA,annual,NA,NA,NA,NA
Ambrosia confertiflora,NA,erect,NA,perennial,NA,NA,NA,NA
Ambrosia psilostachya,herb,erect,NA,perennial,NA,NA,NA,NA
Ambrosia tenuifolia,herb,erect,NA,perennial,NA,NA,NA,NA
Ammobium,herb,NA,NA,perennial,NA,NA,NA,NA
Ammobium alatum,NA,NA,NA,annual perennial,NA,NA,NA,NA
Ammobium craspedioides,NA,NA,NA,perennial,NA,NA,NA,NA
Anemocarpa,herb,NA,NA,perennial,NA,NA,NA,NA
Anemocarpa podolepidium,NA,bushy,NA,perennial,NA,NA,NA,NA
Anemocarpa saxatilis,herb,NA,NA,perennial,NA,NA,NA,NA
Angianthus,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Angianthus brachypappus,herb,NA,NA,annual,NA,NA,NA,NA
Angianthus tomentosus,herb,NA,NA,annual,NA,NA,NA,NA
Anthemis,herb,NA,NA,annual,NA,NA,NA,NA
Anthemis arvensis,NA,decumbent,NA,annual biennial,NA,NA,NA,NA
Anthemis cotula,NA,erect,NA,annual,NA,NA,NA,NA
Apalochlamys,herb,NA,NA,biennial,NA,NA,NA,NA
Apalochlamys spectabilis,herb,NA,NA,biennial,NA,NA,NA,NA
Apowollastonia,subshrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Apowollastonia spilanthoides,herb,NA,NA,perennial,NA,NA,NA,NA
Arctium,herb,erect,NA,biennial,NA,NA,NA,NA
Arctium lappa,herb,NA,NA,biennial,NA,NA,NA,NA
Arctium minus,herb,NA,NA,biennial,NA,NA,NA,NA
Arctotheca,herb,NA,NA,annual perennial,NA,NA,NA,NA
Arctotheca calendula,herb,NA,NA,annual,NA,NA,NA,NA
Arctotheca populifolia,herb,NA,NA,perennial,NA,NA,NA,NA
Arctotis,herb,prostrate rosette,NA,annual perennial,NA,NA,NA,NA
Arctotis stoechadifolia,herb,spreading,NA,perennial,NA,NA,NA,NA
Argentipallium,herb,NA,NA,perennial,NA,NA,NA,NA
Argentipallium obtusifolium,NA,NA,NA,perennial,NA,NA,NA,NA
Argyrotegium,herb,mat_forming,NA,perennial,NA,NA,NA,NA
Argyrotegium fordianum,herb,tufted erect,NA,perennial,NA,NA,NA,NA
Argyrotegium mackayi,NA,NA,NA,perennial,NA,NA,NA,NA
Argyrotegium nitidulum,NA,cushion-forming,NA,perennial,rhizome,NA,NA,NA
Argyrotegium poliochlorum,NA,erect,NA,perennial,rhizome,NA,NA,NA
Arrhenechthites,herb,NA,NA,perennial,NA,NA,NA,woody_base
Arrhenechthites mixtus,herb,NA,NA,perennial,NA,NA,NA,NA
Artemisia,shrub herb,NA,NA,annual biennial perennial,NA,NA,NA,NA
Artemisia absinthium,herb,NA,NA,annual perennial,NA,NA,NA,NA
Artemisia arborescens,shrub,NA,NA,perennial,NA,NA,NA,NA
Artemisia verlotiorum,herb,NA,NA,perennial,NA,NA,NA,NA
Aster,herb,rosette,NA,perennial,NA,NA,NA,NA
Aster novi-belgii,NA,erect,NA,perennial,rhizome,NA,NA,NA
Aster subulatus,NA,erect,NA,short_lived_perennial annual biennial,NA,NA,NA,NA
Baccharis,tree shrub,NA,NA,NA,NA,NA,dioecious,NA
Baccharis halimifolia,shrub,NA,NA,perennial,NA,NA,NA,NA
Bedfordia,tree shrub,NA,NA,NA,NA,NA,NA,NA
Bedfordia arborescens,tree shrub,NA,NA,NA,NA,NA,NA,NA
Bellis,herb,NA,NA,annual perennial,NA,NA,NA,NA
Bellis perennis,herb,stoloniferous rosette,NA,perennial,stolon,NA,NA,NA
Bidens,herb,NA,NA,annual perennial,NA,NA,NA,NA
Bidens aurea,herb,erect,NA,annual perennial,NA,NA,NA,NA
Bidens bipinnata,herb,NA,NA,NA,NA,NA,NA,NA
Bidens pilosa,herb,NA,NA,NA,NA,NA,NA,NA
Bidens pilosa var. minor,NA,NA,NA,ephemeral,NA,NA,NA,NA
Bidens pilosa var. pilosa,NA,NA,NA,NA,NA,NA,NA,NA
Bidens subalternans,herb,NA,NA,NA,NA,NA,NA,NA
Bidens tripartita,herb,NA,NA,NA,NA,NA,NA,NA
Blumea,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Blumea axillaris,herb,NA,NA,annual,NA,NA,NA,NA
Blumea lacera,herb,NA,NA,annual,NA,NA,NA,NA
Brachyscome,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Brachyscome abercrombiensis,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome aculeata,herb,erect,NA,perennial,NA,NA,NA,NA
Brachyscome ascendens,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA
Brachyscome barkerae,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA
Brachyscome brownii,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome casstiana,herb,NA,NA,annual,NA,NA,NA,NA
Brachyscome chrysoglossa,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome ciliaris,herb,erect shrubby,NA,perennial,NA,NA,NA,NA
Brachyscome curvicarpa,NA,erect,NA,annual,NA,NA,NA,NA
Brachyscome dalbyensis,subshrub,NA,NA,perennial,NA,NA,NA,NA
Brachyscome debilis,herb,NA,NA,annual ephemeral,NA,NA,NA,NA
Brachyscome decipiens,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome dentata,herb,erect,NA,perennial,NA,NA,NA,NA
Brachyscome dichromosomatica,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome dichromosomatica var. alba,herb,erect,NA,annual,NA,NA,NA,NA
Brachyscome dissectifolia,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA
Brachyscome diversifolia,NA,NA,NA,perennial,NA,NA,NA,NA
Brachyscome eriogona,herb,NA,NA,annual,NA,NA,NA,NA
Brachyscome exilis,herb,erect,NA,annual,NA,NA,NA,NA
Brachyscome foliosa,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA
Brachyscome formosa,NA,NA,NA,perennial,rhizome,NA,NA,NA
Brachyscome gracilis,herb,decumbent,NA,annual,NA,NA,NA,NA
Brachyscome gracilis subsp. gracilis,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome graminea,herb,stoloniferous erect,NA,perennial,stolon,NA,NA,NA
Brachyscome kaputarensis,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome lineariloba,herb,rosette,NA,annual,NA,NA,NA,NA
Brachyscome melanocarpa,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome microcarpa,NA,erect,NA,perennial,NA,NA,NA,NA
Brachyscome mittagongensis,herb,prostrate,NA,perennial,rhizome,NA,NA,NA
Brachyscome muelleroides,herb,NA,NA,annual,NA,NA,NA,NA
Brachyscome multifida,NA,NA,NA,annual,NA,NA,NA,NA
Brachyscome multifida var. dilatata,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome multifida var. multifida,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome nivalis,herb,tufted,NA,perennial,NA,NA,NA,NA
Brachyscome nodosa,herb,decumbent,NA,annual,NA,NA,NA,NA
Brachyscome nova-anglica,NA,NA,NA,perennial,NA,NA,NA,NA
Brachyscome obovata,herb,NA,NA,perennial,rhizome,NA,NA,NA
Brachyscome paludicola,herb,NA,NA,perennial,rhizome,NA,NA,NA
Brachyscome papillosa,NA,NA,NA,perennial,NA,NA,NA,NA
Brachyscome perpusilla,herb,NA,NA,annual,NA,NA,NA,NA
Brachyscome petrophila,herb,NA,NA,perennial,rhizome,NA,NA,NA
Brachyscome procumbens,herb,prostrate erect,NA,perennial,rhizome,NA,NA,NA
Brachyscome procumbens subsp. procumbens,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome procumbens subsp. wombelongensis,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome ptychocarpa,NA,NA,NA,annual,NA,NA,NA,NA
Brachyscome radicans,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA
Brachyscome readeri,herb,NA,NA,annual,NA,NA,NA,NA
Brachyscome rigidula,NA,NA,NA,perennial,NA,NA,NA,NA
Brachyscome salkiniae,herb,prostrate,NA,perennial,NA,NA,NA,NA
Brachyscome scapigera,herb,erect,NA,perennial,NA,NA,NA,NA
Brachyscome segmentosa,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome sieberi,herb,sprawling,NA,perennial,rhizome,NA,NA,NA
Brachyscome smithwhitei,herb,NA,NA,annual,NA,NA,NA,NA
Brachyscome sp. Paroo Darling NP (G.P.Phillips 187),NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome spathulata,herb,tufted erect,NA,perennial,NA,NA,NA,NA
Brachyscome staceae,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA
Brachyscome stolonifera,herb,stoloniferous tufted erect,NA,perennial,stolon,NA,NA,NA
Brachyscome stuartii,NA,tufted erect,NA,perennial,NA,NA,NA,NA
Brachyscome tadgellii,herb,stoloniferous tufted erect,NA,perennial,stolon,NA,NA,NA
Brachyscome tamworthensis,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome trachycarpa,subshrub herb,erect,NA,perennial,NA,NA,NA,NA
Brachyscome triloba,herb,erect procumbent,NA,perennial,rhizome,NA,NA,NA
Brachyscome trisecta,herb,NA,NA,perennial,NA,NA,NA,NA
Brachyscome watanabei,herb,erect,NA,annual,NA,NA,NA,NA
Brachyscome whitei,herb,NA,NA,annual,NA,NA,NA,NA
Brachyscome whitei subsp. lophoptera,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome whitei subsp. whitei,NA,NA,NA,NA,NA,NA,NA,NA
Brachyscome willisii,herb,NA,NA,perennial,rhizome,NA,NA,NA
Calendula,herb,NA,NA,annual perennial,NA,NA,NA,NA
Calendula arvensis,herb,erect,NA,annual,NA,NA,NA,NA
Calendula officinalis,herb,erect procumbent,NA,annual,NA,NA,NA,NA
Calendula palaestina,herb,erect,NA,annual,NA,NA,NA,NA
Calocephalus,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Calocephalus citreus,herb,NA,NA,perennial,NA,NA,NA,NA
Calocephalus lacteus,NA,NA,NA,perennial,NA,NA,NA,NA
Calocephalus platycephalus,herb,NA,NA,annual,NA,NA,NA,NA
Calocephalus sonderi,herb,NA,NA,annual,NA,NA,NA,NA
Calomeria,herb,NA,NA,biennial,NA,NA,NA,NA
Calomeria amaranthoides,herb,NA,NA,biennial,NA,NA,NA,NA
Calotis,shrub herb,NA,NA,annual perennial,NA,NA,NA,NA
Calotis ancyrocarpa,herb,erect,NA,annual,NA,NA,NA,NA
Calotis anthemoides,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA
Calotis cuneata,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA
Calotis cuneifolia,herb,prostrate erect,NA,perennial,NA,NA,NA,woody_base
Calotis cymbacantha,herb,NA,NA,annual perennial,NA,NA,NA,NA
Calotis dentex,shrub,NA,NA,perennial,NA,NA,NA,NA
Calotis erinacea,shrub,erect decumbent,NA,perennial,NA,NA,NA,NA
Calotis glandulosa,herb,NA,NA,NA,NA,NA,NA,woody_base
Calotis hispidula,herb,prostrate,NA,annual,NA,NA,NA,NA
Calotis inermis,herb,NA,NA,annual,NA,NA,NA,NA
Calotis lappulacea,shrub herb,erect,NA,perennial,NA,NA,NA,NA
Calotis latiuscula,herb,erect,NA,perennial,NA,NA,NA,woody_base
Calotis moorei,herb,NA,NA,perennial,NA,NA,NA,NA
Calotis plumulifera,herb,erect,NA,annual,NA,NA,NA,NA
Calotis porphyroglossa,herb,erect,NA,annual,NA,NA,NA,NA
Calotis pubescens,NA,stoloniferous,NA,perennial,stolon,NA,NA,NA
Calotis scabiosifolia,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA
Calotis scabiosifolia var. integrifolia,NA,NA,NA,NA,NA,NA,NA,NA
Calotis scabiosifolia var. scabiosifolia,NA,NA,NA,NA,NA,NA,NA,NA
Calotis scapigera,herb,stoloniferous,NA,perennial,stolon,NA,NA,NA
Calotis squamigera,NA,decumbent,NA,annual,NA,NA,NA,NA
Calyptocarpus,herb,prostrate procumbent,NA,annual perennial,NA,NA,NA,NA
Calyptocarpus vialis,herb,trailing,NA,short_lived_perennial annual,NA,NA,NA,NA
Camptacra,NA,NA,NA,perennial,NA,NA,NA,NA
Camptacra barbata,herb,erect decumbent,NA,NA,NA,NA,NA,NA
Carduus,herb,erect,NA,annual perennial,NA,NA,NA,NA
Carduus nutans,herb,NA,NA,biennial,NA,NA,NA,NA
Carduus nutans subsp. nutans,herb,NA,NA,biennial,NA,NA,NA,NA
Carduus pycnocephalus,herb,NA,NA,annual,NA,NA,NA,NA
Carduus tenuiflorus,herb,NA,NA,annual,NA,NA,NA,NA
Carpesium,herb,erect,NA,annual biennial perennial,NA,NA,NA,NA
Carpesium cernuum,herb,NA,NA,annual,NA,NA,NA,NA
Carthamus,herb,NA,NA,annual perennial,NA,NA,NA,NA
Carthamus dentatus,herb,NA,NA,NA,NA,NA,NA,NA
Carthamus lanatus,herb,NA,NA,annual,NA,NA,NA,NA
Carthamus tinctorius,herb,NA,NA,NA,NA,NA,NA,NA
Cassinia,shrub,NA,NA,perennial,NA,NA,NA,NA
Cassinia accipitrum,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia aculeata,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia aculeata subsp. aculeata,tree shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia aculeata subsp. nova-anglica,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia aureonitens,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia compacta,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia copensis,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia cunninghamii,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia decipiens,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia denticulata,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia furtiva,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia heleniae,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia hewsoniae,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia laevis,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia lepschii,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Cassinia leptocephala,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia leptocephala subsp. everettiae,NA,NA,NA,NA,NA,NA,NA,NA
Cassinia leptocephala subsp. leptocephala,NA,NA,NA,NA,NA,NA,NA,NA
Cassinia longifolia,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia macrocephala,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia macrocephala subsp. macrocephala,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia macrocephala subsp. petrapendula,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia macrocephala subsp. storyi,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia macrocephala subsp. tenuis,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia maritima,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia monticola,shrub,spreading,NA,NA,NA,NA,NA,NA
Cassinia ochracea,shrub,erect spreading,NA,NA,NA,NA,NA,NA
Cassinia quinquefaria,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia sifton,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia straminea,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia subtropica,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia telfordii,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia tenuifolia,shrub,bushy dense,NA,NA,NA,NA,NA,NA
Cassinia theodorii,shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia theresae,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia thinicola,shrub,compact,NA,NA,NA,NA,NA,NA
Cassinia trinerva,tree shrub,NA,NA,NA,NA,NA,NA,NA
Cassinia uncata,shrub,erect,NA,NA,NA,NA,NA,NA
Cassinia venusta,shrub,erect,NA,NA,NA,NA,NA,NA
Celmisia,subshrub herb,NA,NA,perennial,NA,NA,NA,NA
Celmisia costiniana,herb,erect rosette,NA,NA,rhizome,NA,NA,NA
Celmisia longifolia,herb,tufted dense,NA,perennial,NA,NA,NA,NA
Celmisia pugioniformis,herb,erect rosette,NA,NA,rhizome,NA,NA,NA
Celmisia tomentella,herb,spreading,NA,NA,rhizome,NA,NA,NA
