ID,Plot,Reg,Species,soil_N,soil_P,soil_Ptot,dbh,Height,WD,Bark_thickn.br,Bark_thickn.st,SLA,HV,Diam.br,d_max.br,dh_mean.br,VD.br,Alum.br,Ks.br,Frac_fib.br,Frac_con.br,Frac_ray.br,Frac_axi.br,d_max.st,dh_mean.st,VD.st,Alum.st,Ks.st,Frac_fib.st,Frac_con.st,Frac_ray.st,Frac_axi.st,BAI,relBAI,N.st,N.leaf,N.lit,N.br,N.bark,N.br.bark,N.hr,N.recy.st,N.recy.br,P.st,P.leaf,P.lit,P.br,P.bark,P.br.bark,P.hr,P.recy.st,P.recy.br,lifespan,lifespan_birth,species,lat_individual_tree,lon_individual_tree,ele_individual_tree,time_GPS_measurement
BS_1,LowP_2,Low,Banksia_serrata,0.74,3.16,48.72,14.73,7.5,0.66,0.89,3.4,51.68,2.98,6.45,54.86,NA,NA,NA,NA,NA,NA,NA,NA,94.05,80.78,13.98,4.87,8.09,49.7,8.6,29.2,12.5,3.958799443,2.319950144,1.9552,6.615735,3.837305,3.451785,2.07607,3.69358,0.72871,6.272964403,4.199729886,0.03000843,0.206214205,0.085769099,0.088787996,0.125127802,0.119899996,0.008856806,0.704856069,0.584077639,NA,NA,Banksia serrata,-33.372235,151.321169,149.791641,2017-04-06T02:33:19Z
BS_2,LowP_2,Low,Banksia_serrata,0.74,3.16,48.72,17.99,6.4,0.56,0.79,3.89,47.15,2.72,4.57,38.8,29.85,238.34,12.83,3.03,28.7,15,29.1,27.2,79.01,82.79,22.95,8.18,14.23,44.3,19.1,20.5,16.1,NA,NA,1.41469,6.921025,3.234245,2.104675,1.3413,3.408825,0.67268,5.245036015,5.326927731,0.030391492,0.240672007,0.047495439,0.10904603,0.095678846,0.081814367,0.008303712,0.726775112,0.80265491,NA,NA,Banksia serrata,-33.37058502,151.317994,164.380569,2017-05-18T01:20:13Z
BS_3,LowP_3,Low,Banksia_serrata,0.69,1.67,45.11,9.7,5.5,0.6,1.01,1.29,50.87,3,5.69,50.5,33.69,154.04,9.78,2.75,48.7,16.4,23.4,11.1,97.29,67.28,74.1,17.84,19.55,37.5,10.3,32.6,19.6,NA,NA,1.51824,7.28194,5.44176,2.27681,3.31785,4.1965,1.0597,3.020207609,2.527046364,0.028763518,0.208033544,0.183876298,0.087866682,0.149870836,0.129137846,0.009848378,0.657608711,0.116121881,NA,NA,Banksia serrata,-33.37225403,151.321239,142.714722,2017-03-17T01:17:19Z
BS_4,LowP_5,Low,Banksia_serrata,0.71,0.65,15.91,13.66,6.7,0.57,1.2,1.68,50.44,4.02,5.93,55.32,29.41,188.24,9.55,2.14,39.8,13.2,28.6,18.4,91.35,63.47,40.58,10.06,10.69,36.3,14.2,31.8,17.6,0.214492238,0.146573817,1.50172,6.06567,2.438805,3.383125,1.7299,4.23431,0.42409,7.175971553,5.97933122,0.010593526,0.162117996,0.019189265,0.061176875,0.090480423,0.106990946,0.008310457,0.215515495,0.881633961,NA,NA,Banksia serrata,-33.37188598,151.321112,146.534714,2017-03-17T01:43:47Z
BS_5,LowP_5,Low,Banksia_serrata,0.71,0.65,15.91,14.59,5.6,NA,1.51,2.11,47.44,2.38,5.11,44.79,27.09,161.54,7.08,1.37,47.8,12.1,24.8,15.3,NA,73.91,52.24,14.2,18.64,24.5,25.7,28.3,21.5,NA,NA,2.01071,7.18995,2.00581,4.47728,1.89815,3.94709,0.52946,7.366800782,7.210258764,0.033130282,0.213879656,0.024489846,0.147699495,0.12047465,0.179293247,0.008296914,0.749567058,0.885497076,NA,NA,Banksia serrata,-33.37113596,151.320739,155.779907,2017-03-17T02:10:22Z
BS_7,LowP_6,Low,Banksia_serrata,0.78,2.57,44.22,NA,6,NA,1.44,NA,47.15,2.51,5.77,48.29,31.55,257.09,13.13,3.26,25,24.1,31.5,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28406,7.3763,2.177415,1.883755,2.05563,2.62283,0.68593,4.658115664,7.048093217,0.020925451,0.199605707,0.015490949,0.089288617,0.08900393,0.055806047,0.00830032,0.603338537,0.922392254,NA,NA,Banksia serrata,-33.371186,151.320723,154.833542,2017-03-17T02:11:48Z
CA_1,HighP_1,High,Ceratopetalum_apetalum,3.23,9.9,50.47,16.93,13.8,0.54,0.66,0.35,97.91,1.71,6.29,31.54,26.3,309.28,13.03,2.41,62.3,15.7,11,11,77.35,60.01,70.49,15.26,15.01,58.3,19.9,11.8,9.8,1.332427984,0.591189963,1.00446,11.724295,6.88289,1.893315,3.24594,5.09082,0.67218,3.308046114,4.129378355,0.05438665,0.433580761,0.136108877,0.098481412,0.140936895,0.171976778,0.00830032,0.847383135,0.686081835,NA,NA,Callicoma serratifolia,-33.37093798,151.316327,111.010284,2017-03-17T03:45:17Z
CA_2,HighP_2,High,Ceratopetalum_apetalum,3.57,5.03,140.82,21.14,23.1,0.51,0.73,0.33,118.12,1.1,5.42,29.38,25.55,270.04,10.58,1.84,62.2,11.9,16.7,9.3,72.99,55.41,73.02,13.98,11.6,63.4,16.7,11.8,8.1,4.321967553,1.23602345,0.87881,10.359195,7.703905,2.239945,2.86042,4.779355,0.4675,4.680306323,2.563220405,0.031623726,0.393699058,0.214171885,0.143954379,0.11306736,0.204118677,0.009210086,0.708760252,0.456001022,NA,NA,Callicoma serratifolia,-33.37465301,151.320671,65.615578,2017-03-17T04:55:44Z
CA_3,HighP_1,High,Ceratopetalum_apetalum,3.23,9.9,50.47,14.04,11.7,0.48,0.92,0.38,109.58,1.5,6.13,34.99,25.43,408.04,15.83,2.73,53.2,18.8,16.3,11.6,54.56,43.89,143.05,17.79,9.29,48.1,29.6,13.2,9,3.102951064,2.004245095,0.6762,10.92576,9.199885,1.815685,2.50668,4.77209,0.76954,-1.38036084,1.579638396,0.046355878,0.377944114,0.288360397,0.112846834,0.153795419,0.14329367,0.023191131,0.499715419,0.237029005,NA,NA,Callicoma serratifolia,-33.37465301,151.320671,65.615578,2017-03-17T04:55:44Z
CA_4,HighP_1,High,Ceratopetalum_apetalum,3.23,9.9,50.47,12.89,10.5,0.59,0.82,0.38,129.24,1.83,6.18,24.52,24.78,238.61,9.2,1.52,56.8,13.3,15.9,14,64.44,50.02,93.1,14.92,10.34,66.1,14.5,11,8.3,0.607662559,0.466381023,0.65206,10.65773,7.464325,3.257405,3.08858,5.908885,0.63471,0.266079809,2.996327548,0.043876621,0.366164616,0.130492902,0.114786303,0.172620312,0.18895785,0.027594541,0.371087828,0.643622304,NA,NA,Callicoma serratifolia,-33.371055,151.316296,101.261002,2017-04-07T00:28:31Z
CA_5,HighP_2,High,Ceratopetalum_apetalum,3.57,5.03,140.82,10.14,13.5,NA,0.7,0.31,108.78,1.7,6.23,36.97,31.24,200.59,11.01,2.85,67.4,15.2,11.8,5.1,62.06,44.18,103.3,12.95,6.91,52.2,15.4,14.8,17.6,0.476658145,0.594941672,1.6469800000000001,10.02966,6.68995,2.227865,3.70823,5.158525,0.69432,5.784283962,3.329833713,0.011785224,0.531728454,0.245367173,0.14635346,0.20268875,0.242656383,0.009970693,0.153966611,0.538547973,NA,NA,Callicoma serratifolia,-33.37100797,151.316415,102.880913,2017-04-07T00:46:56Z
CS_1,HighP_6,High,Callicoma_serratifolia,3.01,5.12,123.6,14.69,11,0.45,0.46,0.53,113.77,0.96,6.04,30.79,30.61,369.41,22,5.68,43.6,26.1,19.9,8.9,87.17,47.67,113.82,17.41,10.78,44.9,25.7,16.8,12.6,3.483633554,2.049827136,0.76301,10.390655,6.16725,1.722435,2.54301,4.36913,0.67419,1.164073865,4.06461864,0.036273996,0.332708121,0.178023993,0.087636129,0.133960737,0.146195466,0.024384502,0.327769072,0.464924414,NA,NA,Ceratopetalum apetalum,-33.37176704,151.318746,71.114967,2017-04-19T02:38:30Z
CS_2,HighP_6,High,Callicoma_serratifolia,3.01,5.12,123.6,10.35,8.5,NA,0.67,0.39,112.96,1.66,5.08,29.8,26.73,319.04,14.7,2.9,53.6,20.8,17.9,7.1,61.32,48.22,134.44,20.92,13.38,52,21.3,18.2,8.4,0.325783158,0.38647307,0.73848,11.386085,6.164385,1.733955,2.63275,4.72568,0.45076,3.896110931,4.586036377,0.038983128,0.507494981,0.134146449,0.119213149,0.121990371,0.179511438,0.00830032,0.787079169,0.735669407,NA,NA,Ceratopetalum apetalum,-33.37172203,151.318742,71.681839,2017-04-19T02:37:55Z
CS_3,HighP_6,High,Callicoma_serratifolia,3.01,5.12,123.6,13.84,9.5,0.45,0.66,0.45,121.96,0.75,5.22,25.84,24.89,362.42,14.45,2.44,54.9,16.9,21,6.1,63.77,51.26,142.47,25.44,18.7,43.6,28,18.6,9.9,3.721137958,2.469939658,0.73371,9.993805,3.98608,1.421385,2.63613,3.40764,0.67841,0.753703779,6.011449093,0.030650595,0.322223632,0.092480814,0.069233178,0.137852874,0.128514998,0.018362119,0.400921287,0.712991833,NA,NA,Ceratopetalum apetalum,-33.37171499,151.318797,49.385361,2017-04-19T02:25:51Z
CS_4,HighP_6,High,Callicoma_serratifolia,3.01,5.12,123.6,11.82,10,0.45,0.56,0.39,137.42,1.12,5.41,36.97,28.57,363.53,19.12,4.33,52,20.7,18.3,7.4,57.78,49.46,128.21,21.89,15.02,49,21.9,15,14,0.18386171,0.171013222,0.98567,11.247005,5.778705,2.18702,2.65819,4.81726,0.74436,2.448182455,4.862005485,0.023396541,0.42824658,0.134017297,0.122548485,0.14173352,0.206656653,0.022984876,0.017595122,0.687055769,NA,NA,Ceratopetalum apetalum,-33.37174701,151.318789,58.539085,2017-04-19T02:30:30Z
CS_5,HighP_6,High,Callicoma_serratifolia,3.01,5.12,123.6,13.88,9,0.45,0.61,0.44,108.06,0.73,5.6,36.71,27.15,365.25,17.69,3.57,61.7,13.1,20.1,5.1,76.26,49.39,128.24,21.82,15.15,56.4,22.7,14.3,6.6,0.865822935,0.5822404,0.63278,9.617025,5.64382,1.659425,2.46342,5.06182,1.14327,-8.067416796,4.131428378,0.018788746,0.411416078,0.154269163,0.129160986,0.107191654,0.177209524,0.037125756,-0.975957097,0.625028842,NA,NA,Ceratopetalum apetalum,-33.37173703,151.318822,68.697632,2017-04-19T02:36:24Z
EH_1,LowP_6,Low,Eucalyptus_haemastoma,0.78,2.57,44.22,22.06,7.2,0.6,0.73,0.97,30.08,2.56,6.64,54.51,47.3,49.04,6.24,3.78,53.1,7.1,21.7,17.2,165.84,139.11,20.32,20.64,107.63,39.5,12.3,32.9,15.3,0.693349499,0.181405858,1.61479,9.575995,3.660145,1.7844,1.94368,4.962915,0.85082,4.731079583,6.177791446,0.015920934,0.223567642,0.038079315,0.103415785,0.088911273,0.143369182,0.008320474,0.477387822,0.829674303,NA,NA,Eucalyptus haemastoma,-33.37086397,151.317803,152.434311,2017-03-17T03:17:27Z
EH_2,LowP_6,Low,Eucalyptus_haemastoma,0.78,2.57,44.22,16.41,7.5,0.64,0.79,0.63,31.79,3.2,5.68,73.74,51.1,76.1,10.42,7.24,54.9,15.5,13.9,15,179.58,198.64,12.97,21.54,225.64,46.7,11.7,25.9,15.7,0.774952368,0.365519037,0.90988,8.20696,3.466435,1.621645,1.87375,4.184755,0.77607,1.47063349,5.776225301,0.012501874,0.250139443,0.041707225,0.066720617,0.082753294,0.098416033,0.008307091,0.335532337,0.833264103,NA,NA,Eucalyptus haemastoma,-33.37075802,151.31786,155.049988,2017-03-17T03:22:05Z
EH_3,LowP_6,Low,Eucalyptus_haemastoma,0.78,2.57,44.22,22.11,7.6,0.67,0.69,0.9,29.25,3.27,5.96,58.4,53.29,57.41,8.75,6.68,61.9,13.5,15.4,8.4,182.56,227.43,9.24,22.22,314.11,53.7,13.4,20.9,12,1.390468908,0.362154525,1.3655,7.71157,3.10304,1.010085,1.05561,3.820855,0.9786,2.833394361,5.976124187,0.015595244,0.226115082,0.05340704,0.05291586,0.075509641,0.080226556,0.00788597,0.49433494,0.763805936,NA,NA,Eucalyptus haemastoma,-33.37072802,151.317989,154.822418,2017-03-17T03:23:18Z
EH_4,LowP_6,Low,Eucalyptus_haemastoma,0.78,2.57,44.22,14.85,10.3,0.64,0.71,1.19,32.92,2.11,5.9,59.06,48.05,73.91,10.01,6.3,68.3,10.4,11.3,10,132.13,196.15,9.8,19.5,201.34,52.2,9.6,25.6,12.6,0.205852859,0.152730027,1.68862,8.816645,5.29012,1.88176,2.19413,5.3181,0.69942,5.858037924,3.999849149,0.056910988,0.246682087,0.122583055,0.090328469,0.095779737,0.171126907,0.008317148,0.853856904,0.503072733,NA,NA,Eucalyptus haemastoma,-33.37070899,151.317958,156.322296,2017-03-17T03:24:02Z
EH_5,LowP_6,Low,Eucalyptus_haemastoma,0.78,2.57,44.22,12.34,6.5,NA,0.76,0.9,34.06,2.31,5.87,46.17,44.37,66.64,7.19,3.75,62.6,9.2,15.8,11.6,140.95,217.34,7.12,15.94,199.98,57.1,8.8,20.8,12.5,2.531102661,2.119794329,3.23105,8.01714,3.936855,1.045745,1.60722,3.80825,0.61334,8.101731635,5.089452099,0.029151591,0.271326769,0.017982733,0.081029452,0.06380106,0.165234981,0.008313809,0.71480771,0.93372297,NA,NA,Eucalyptus haemastoma,-33.37062802,151.318066,156.398453,2017-03-17T03:26:27Z
EP_1,LowP_2,Low,Eucalyptus_piperita,0.74,3.16,48.72,29.14,16.5,0.6,0.74,1.01,53.04,0.91,6.54,80.54,54.53,78.57,12.39,10.01,46.8,18.2,16.8,17.1,138.7,159.21,8.04,10.69,71.96,48.9,14.9,19.5,16.7,23.55652565,3.52975236,1.39175,9.251275,5.38958,2.448865,3.3191,5.128965,0.62561,5.5048679720000004,4.174230039,0.031925322,0.320068493,0.112118939,0.1044376,0.184183014,0.168603117,0.008303712,0.739902013,0.649703293,NA,NA,Eucalyptus piperita,-33.37248604,151.321219,136.041183,2017-03-17T00:44:43Z
EP_3,LowP_5,Low,Eucalyptus_piperita,0.71,0.65,15.91,44.49,15,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197.31,6.45,15.03,160.84,48.4,15.6,25,10.5,18.15369315,1.176726694,1.58784,11.67503,7.87035,2.8713,2.86368,3.3974,0.80363,4.938847743,3.258818179,0.042767944,0.501852537,0.198964769,0.082439603,0.085775794,0.179824405,0.008310457,0.805684907,0.603539378,NA,NA,Eucalyptus piperita,-33.37134702,151.320876,154.793701,2017-03-17T02:18:03Z
EP_5,LowP_5,Low,Eucalyptus_piperita,0.71,0.65,15.91,21.32,17.5,0.55,0.89,1.59,64.49,1.32,5.64,72.02,64.49,52.55,12.3,14.12,49.2,17.9,15.6,16.6,145.96,140.83,5.94,7.15,39.26,57.5,8,24.6,9.5,30.25377287,8.981098572,1.47667,10.589305,5.60161,1.52173,2.7463,4.31453,0.77781,4.732675547,4.71012498,0.010594428,0.364182328,0.116014508,0.064607199,0.128263733,0.129261862,0.008303712,0.216218941,0.681438392,NA,NA,Eucalyptus piperita,-33.37165296,151.320839,150.924194,2017-03-17T02:36:19Z
EP_6,LowP_5,Low,Eucalyptus_piperita,0.71,0.65,15.91,30,12,0.72,0.82,0.67,39.69,2.23,5.93,63.19,50.17,98.62,13.29,9.01,54.2,17.4,16.3,12.1,101.57,138.92,10.23,11.14,57.63,53.5,13.8,18.1,14.2,NA,NA,0.96402,8.538325,4.16251,1.87632,3.20173,3.80941,0.9004,0.659944814,5.124910331,0.008310457,0.296338724,0.07484295,0.157306722,0.081245432,0.127088001,0.00830032,0.001219789,0.747441209,NA,NA,Eucalyptus piperita,-33.37153796,151.320759,156.362915,2017-04-12T04:00:20Z
EP_7,LowP_5,Low,Eucalyptus_piperita,0.71,0.65,15.91,15.4,8,NA,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.53,5.68,7.14,41.72,59.3,11.1,21.6,7.9,NA,NA,1.48456,NA,NA,NA,2.08718,NA,1.6864,-1.359594762,NA,0.042710666,NA,NA,NA,0.082987351,NA,0.008293494,0.805821478,NA,NA,NA,Eucalyptus piperita,-33.37157803,151.320813,152.045715,2017-03-17T02:32:59Z
ES_1,HighP_1,High,Cryptocarya macrocarpa,3.23,9.9,50.47,16.23,13.9,0.43,0.85,0.49,108.12,0.88,6.04,16.25,30.91,182.65,9.71,2.43,47.8,13.3,25.3,8.1,115.71,66.06,46.12,11.66,13.32,45.3,13.9,31,9.8,1.788430158,0.864460321,2.18322,14.749065,10.187075,5.19243,8.41145,9.9322,5.3213,-14.37363161,3.093070645,0.057527688,0.619055839,0.291844506,0.161618045,0.269643319,0.323991111,0.079255765,-0.377697727,0.528565135,NA,NA,Endiandra sieberi,-33.37100596,151.316348,107.156029,2017-03-17T04:06:06Z
ES_3,HighP_4,High,Cryptocarya macrocarpa,3.68,6.27,198.93,12.56,11.3,0.48,0.59,0.5,120.09,1.08,5.42,15.01,32.49,169.52,9.92,2.7,60,14.7,17.6,7.8,98.87,57.89,55.86,11.93,10.68,54.8,15.5,16.4,13.1,0.592582914,0.478277516,2.21873,15.33708,12.245575,5.10885,7.66019,10.508395,3.12539,-4.086391765,2.01570638,0.034698131,0.746026972,0.441059709,0.234394625,0.205172335,0.497287617,0.059637837,-0.71876223,0.408788522,NA,NA,Endiandra sieberi,-33.37884396,151.323947,60.166424,2017-03-29T23:35:39Z
ES_4,HighP_4,High,Cryptocarya macrocarpa,3.68,6.27,198.93,NA,NA,0.52,0.56,NA,105.13,0.99,4.11,NA,29.76,183.46,8.83,2.01,53.1,13.8,16.4,13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85428,16.075585,9.06172,4.640305,7.7375,9.588155,2.55573,-3.782869901,4.363054284,0.076867856,0.851624087,0.231529249,0.23842573,0.293058784,0.41619434,0.060580627,0.211886084,0.728132104,NA,NA,Endiandra sieberi,-33.37905703,151.323972,55.849018,2017-03-29T23:49:21Z
ES_5,HighP_4,High,Cryptocarya macrocarpa,3.68,6.27,198.93,9.57,9.2,0.5,0.66,0.22,111.1,1.44,4.51,17.95,22.78,139.63,4.81,0.69,59.8,13.3,13.9,11.7,74.2,53.89,42.76,8.13,6.5,59.6,12.9,17,10.5,2.119946723,2.94721073,1.5872,16.77376,9.96555,5.170215,7.24569,10.519275,2.61603,-6.482043851,4.058845482,0.075171315,0.725795418,0.339616474,0.239280736,0.262843329,0.499325563,0.05102626,0.321200381,0.532076856,NA,NA,Endiandra sieberi,-33.37904999,151.324035,51.734657,2017-03-29T23:54:42Z
ES_6,HighP_4,High,Cryptocarya macrocarpa,3.68,6.27,198.93,10.21,9.9,0.42,0.73,0.24,133.52,1.33,5.23,13.25,30.41,133.7,7.07,1.72,59.7,12.5,17.3,9.7,114.92,64.8,56.78,14.47,16.11,43.6,26.4,13.6,16.1,0.32075661,0.39254133,2.17838,15.73793,9.555075,5.160245,8.17088,10.774565,3.0208,-3.867185707,3.928632927,0.053739321,1.053230985,0.255769276,0.241352908,0.225790522,0.538440737,0.047858636,0.109429834,0.757157471,NA,NA,Endiandra sieberi,-33.37588901,151.322696,39.936672,2017-05-29T04:55:48Z
ES_7,HighP_4,High,Cryptocarya macrocarpa,3.68,6.27,198.93,12.3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.11,68.48,42.72,11.14,13.26,48.6,17.6,23.7,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LP_1,LowP_2,Low,Leptospermum_poligalifolium,0.74,3.16,48.72,7.08,6.7,0.7,0.5,NA,103.1,0.98,3.63,58.91,38.18,137.39,12.25,4.96,53.1,18.6,20.3,7.8,107.65,74.18,25.18,9.42,14.58,55.5,14.1,18.5,11.9,0.893468951,2.275887318,0.84133,13.53252,9.20634,2.288075,2.07392,5.884155,1.70193,-10.22904211,3.196876857,0.008303712,0.444168522,0.132947686,0.106265269,0.033493921,0.195044849,0.008310457,-8.12e-4,0.700681882,NA,NA,Leptospermum polygalifolium,-33.37247699,151.321234,136.603577,2017-03-17T00:46:30Z
LP_2,LowP_2,Low,Leptospermum_poligalifolium,0.74,3.16,48.72,9.91,6.4,0.73,0.85,0.77,107.11,2.75,4.7,50.93,43.29,181.93,16.37,7.76,43.3,22.4,20.6,13.1,96.32,NA,NA,NA,NA,53.1,19.3,17,10.2,0.311645991,0.404039993,0.50419,12.55862,11.009695,1.764145,2.61286,4.57832,1.11398,-12.09444852,1.233356053,0.023867813,0.606996018,0.01,0.074685007,0.067905534,0.139867404,0.008296914,0.652380635,0.983525427,NA,NA,Leptospermum polygalifolium,-33.37221899,151.321108,140.584366,2017-03-17T01:22:22Z
