taxon_name,unit,original_name,observation_id,leaf_length_minimum,leaf_length_maximum,leaf_width_minimum,leaf_width_maximum,leaf_entity,leaf remove,plant_height_maximum,height_entity,height notes,seed_height_minimum,seed_height_maximum,seed_length_minimum,seed_length_maximum,seed_width_minimum,seed_width_maximum,leaf,seed_entity,seed notes,seed,form,,
Ficus scobina,mm,Ficus scobina,295,25,212,10,120,leaf,good; missed due to wording,,,,,,,,,,"petiole absent, or 1-38 mm long, 0.8-1.8 mm in diameter, periderm persistent. leaves opposite or alternate, occasionally in whorls or pseudo-whorls of 3, obovate, rarely pentagonal, rarely elliptic, narrowly linear in coppice growth, with some individuals showing transition from narrow linear leaves to the more typical obovate leaves, rarely shallowly trilobed at base; apex obtuse, rarely acute; base rounded and often narrowed, 25-212 mm long, 10-120 mm wide, strongly scabrid, cystoliths indistinct or as visible raised dots on the lower lamina surface, waxy gland present at base of midvein at junction with petiole, or on in axils of basal veins, chartaceous;",,,,"tree to 8 m, dioecious, rarely deciduous.",,
Grevillea heliosperma,mm,Grevillea heliosperma,342,55,130,6,14,leaf lobes,lobe dimensions,,,,,,,,,,"leaves cauline; petioles linear, 4-12 mm long and excentrically attached to the lamina; lamina circular, 1-3 mm diam., marginal glandular hairs yellowish;",,remove duplicate min/max,"seed orbicular, circa 15 mm diam. with wing to 4 mm broad.","small tree to 7 m. indumentum on branchlets and leaves of ferruginous, medifixed hairs, leaf blades glabrescent or glabrous.",,
Grevillea longicuspis,mm,Grevillea longicuspis,343,35,65,25,60,leaf,changed,,,,,,,,,,"petiole 5-14 mm long. leaf blades ovate, 35-65 mmlong, 25-60 mm wide, l/w 1-1.7, coarsely dentate; lobes spinose.",,,seed not seen.,"shrub to 1 m. indumentum on branchlets, leaves and peduncle of medifixed and septate glandular hairs.",,
Grevillea parallela,mm,Grevillea parallela,346,115,,1.5,9,leaf lobes,lobe dimensions,,,,,,,,,,"leaves cauline; petioles linear, 4-12 mm long and excentrically attached to the lamina; lamina circular, 1-3 mm diam., marginal glandular hairs yellowish;",,remove duplicate min/max,"seed orbicular, circa 17 mm diam., wing circa 4 mm broad.",small tree to 6 m.,,
Grevillea pteridifolia,mm,Grevillea pteridifolia,347,180,,1.5,4,leaf lobes,lobe dimensions,,,,,,,,,,"petiole 45-90 mm long. leaf blades silvery, discolorous, to 40 mm long, 1-pinnate with 7-11 pairs of lobes, dissected to midrib, sometimes lower lobes further divided 1-2 times; lobes linear, to 180 mm long, 1.5-4 mm wide, margin recurved.",,,"seed narrowly oblong, 12-17 mm long, wing circa 2.5 mm broad.",small tree to 6 m.,,
Grevillea refracta,mm,Grevillea refracta,349,50,,4,21,leaf lobes,lobe dimensions,,,,,,,,,,"leaves cauline; petioles linear, 4-12 mm long and excentrically attached to the lamina; lamina circular, 1-3 mm diam., marginal glandular hairs yellowish;",,remove duplicate min/max,"seeds elliptic, circa 19 mm long, wing circa 4 mm broad.","shrub to 5 m. indumentum on branchlets, leaves, inflorescence and perianth of dense silvery or ferruginous, medifixed hairs.",,
Indigastrum parviflorum,mm,Indigofera parviflora,384,,,,,leaf,removed,,,,,,,,,,"leaflets (1,3) 5-11, linear, 1-6 mm wide; leaflets lacking vesicular glands.",,,,"erect, annual herb to 0.75 (1.5) m high.",,
Lumnitzera racemosa,mm,Lumnitzera racemosa,406,22,97,10,25,leaf,changed,,,,,,,,,,"leaves obovate, 2.2-9.7 x 1- 2.5 cm, apex retuse, base cuneate; petiole 1-10 mm long.",,,,"shrub or small tree to 4â€“5 m, pneumatophores rare, forming dense mats or banks of twining, narrow roots.",,
Nelumbo nucifera,mm,Nelumbo nucifera,445,180,700,,,leaf,changed,,,,,,,,,,"petioles 0.5-3.5 m long or more, with scattered short prickles. blades floating or emergent, orbicular to somewhat reniform, 18-70 cm diam., discolorous, glaucous with scattered stout papillae above, otherwise glabrous; margins entire; nerves 18-23.",,,,,,
Pisonia aculeata,mm,Pisonia aculeata,480,,,,,leaf,remove duplicate min,,,,,,,,,,"leaves with petioles to 25 mm long; lamina opposite or almost so, elliptic, ovate or broadly ovate, to 100 mm long, 70 mm wide, base [xxxxxxx] , margin entire, apex rounded to acute.",,,,"climber to 20 m tall, glabrous or with a puberulous or tomentose indumentum.",,
Polycarpaea arida,mm,Polycarpaea arida,488,3,16,0.7,1.6,leaf,retain; leaf dimensions no longer in NT eflora; same as ABRS_2023,,,,,,0.5,0.6,,,,,good - in Darwin flora pdf,,a greyish prostrate to erect annual or short-lived perennial herb to 15 cm high with whorled leaves and hairy internodes.,,
Polycarpaea corymbosa,mm,Polycarpaea corymbosa,490,2,28,0.5,2,leaf,retain; leaf dimensions no longer in NT eflora; same as ABRS_2023,,,,,,0.3,0.7,,,"leaves green to grey-green, stems white;",,good - in Darwin flora pdf,,an erect annual or short-lived perennial herb or subshrub to about 20 cm high with whorled leaves and hairy internodes.,,
Polycarpaea involucrata,mm,Polycarpaea involucrata,493,2.5,12,0.7,2.5,leaf,retain; leaf dimensions no longer in NT eflora; same as ABRS_2023,,,,,,,0.4,,,,,good - in Darwin flora pdf,,a compact erect or spreading annual herb to about 15 cm high with whorled leaves and hairy internodes.,,
Poranthera microphylla,mm,Poranthera microphylla,502,,,,,leaf,remove; leaf dimensions no long in NT eflora; not same as any other values in AusTraits,,,,,,,0.6,,,,,changed - in Darwin flora,,annual herb.,,
Sersalisia sericea,mm,Pouteria sericea,505,20,150,14,65,leaf,good,,,,,,,,,,,,,"seeds 1 (2 or 3), ellipsoid, 14-19 mm long, 10-13 mm diam., smooth, uniformly pale brown or with whitish or pale yellow-brown mottling.","(15) cm long, (1.4) 3.5-5 (6.5) cm wide, discolorous, dark green and glabrescent above apart from the midrib, paler and sparsely to densely silky hairy below, apex obtuse or occasionally emarginate.",,
Rotala rosea,mm,Rotala rosea,519,,,,,leaf,remove duplicate min,,,,,,,,,,"leaves decussate, sessile; blades linear-lanceolate to elliptic, to 20 mm long.",,,,annual erect herb.,,
Sesuvium portulacastrum,mm,Sesuvium portulacastrum,540,25,70,5,15,leaf,changed,,,,,,,1.5,,,"leaves opposite, linear, lanceolate or oblanceolate, fleshy, 25-70 x 5-15 mm, apex blunt, base connate.",,good,"seeds several, pea-shaped, 1.5 mm diameter, smooth, black.","spreading or prostrate perennial herb, succulent, glabrous;",,
Stenocarpus cunninghamii,mm,Stenocarpus cunninghamii,548,25,110,4,18,leaf,good; missed due to wording,,,,,,,,,,"petioles 4-7 mm long. leaf blades concolorous, dull, coriaceous; juveniles elliptic or ovate in outline, simply lobed to deeply bipinnately lobed, lobes linear;",,,seeds not seen.,tree to 10 m;,,
Templetonia hookeri,mm,Templetonia hookeri,567,10,60,,,leaflet,good,,,,,,,,,,"leaves cauline; petioles linear, 4-12 mm long and excentrically attached to the lamina; lamina circular, 1-3 mm diam., marginal glandular hairs yellowish;",,remove duplicate min/max,"seeds 2-5, transverse in pod, brown, flattened- obovoid, circa 6 mm long, 4.5 mm wide;",evergreen b shrub to 3 m.,,
Tephrosia porrecta,mm,Tephrosia porrecta,579,6,37,2,6,leaflet,changed,,,,,,,,,,"leaves cauline; petioles linear, 4-12 mm long and excentrically attached to the lamina; lamina circular, 1-3 mm diam., marginal glandular hairs yellowish;",,remove duplicate min/max,"seeds 5-6, centres < pod width apart, brown to olivaceous, elliptic, circa 4 mm long, 3 mm wide; ecarunculate.","a prostrate or erect multistemmed perennial subshrub, with annual above ground parts and many narrowly ellipsoid tubers to 60 mm long and 20 mm diam. sparsely adpressed to pilose on vegetative parts, pilose on floral parts and pod.",,
Vachellia farnesiana,mm,Acacia farnesiana,009,,,,,x,removed,,,,,,,,,,"leaves bipinnate. pulvinus 1-3 mm long, glabrous. leaf rachis 5-55 mm long,1-4 pairs of pinnae per leaf, hairy on grooved upper surface, jugary glands present, interjugary glands absent; pinnae 6-32 mm long, 5-14 pairs of leaflets spaced, not anastomosing or only sparsely so in broader phyllodes, apex acute, mucro straight, oblique or slightly hooked. glands inconspicuous, 1, at pulvinus.",,remove - numbers don't make sense,"seeds oblique in pod, brown, narrowly oblong to ellipsoid, 5 mm long, 2.2-2.5 mm wide.","shrub, 1.5-4 m high.",,
Bossiaea bossiaeoides,mm,Bossiaea bossiaeoides,084,,,15,55,leaf,good,,,,,,,,,,,,remove duplicate min/max,"seeds 6-8, longitudinal in pod, brown to olivaceous, dark spotted, + ellipsoid, circa 4 mm long, 2.5 mm wide;",a shrub to 2 m.,,
Cucumis melo,mm,Cucumis melo subsp. agrestis,169,,,,,x,removed,,,,1.5,2,,,,,"leaves with petioles circa 1.5-8 cm long; lamina somewhat ovate in outline, to circa 4-10 cm long, with 3 (5) mostly shallow lobes, the divisions usually extending much less than ½ the distance to the midrib, the resultant primary lobes wide, apically obtuse and their margins minutely to coarsely denticulate; basally hastate-cordate.",,"good, probably","seeds elliptic, 3.1-5 mm long, 2.3-3.2 mm wide, compressed, smooth, pale.","annual climbing or trailing herb, monoecious, generally hispid throughout;",,
Grevillea decurrens,mm,Grevillea decurrens,335,,,10,45,leaf lobes,leaf lobes; same with old length value,,,,,,,,,,"petiole 70-110 mm long. leaf blades grey-green, discolorous, 170-330 mm long, 1-pinnate with 4-6 pairs of lobes, dissected to midrib;",,,"seed orbicular, 23- 25 mm diam. with wing to 10 mm broad.","small tree to 4 m. indumentum on branchlets, leaves and inflorescence of dense, medifixed, ferruginous becoming hyaline hairs, leaves glabrescent.",,
Grevillea formosa,mm,Grevillea formosa,339,,,1,1,leaf lobes,leaf lobes; same with old length value,,,,,,,,,,"petiole 7-15 mm long. leaf blades grey-green, 45-150 mm long, 1-pinnate with 8-11 pairs of lobes, dissected to midrib, sometimes lower lobes further divided 1-3 times; lobes filiform, 45-80 mm long, circa 1 mm wide.",,,"seed ellipsoid to oblong, 9-11 mm long, flattened, wing vestigial and modified into an elaiosome, protruding at one end.","sprawling shrub, branches trailing to several metres long. indumentum on branchlets, leaves, inflorescence, pedicels and outside of perianth of closely sericeous medifixed hairs.",,
Grevillea pyramidalis,mm,Grevillea pyramidalid,348,,,1,4,leaf lobes,leaf lobes; same with old length value; changed,,,,,,,,,,"petiole 50-140 mm long. leaf blades 270-500 mm long, entire or 1-pinnate with 4-7 pairs of lobes, dissected to midrib, sometimes lower lobes further divided 1-3 times; lobes linear, to 390 mm long, 1-4(8) mm wide.",,,seed not seen.,"small tree to 7 m. indumentum of fine, ferruginous or silvery, medifixed hairs on branchlets and leaves, otherwise glabrous.",,
Hypertelis cerviana,mm,Mollugo cerviana,433,,,0.2,1,leaf,good,,,,,,0.35,0.4,,,"leaves 5-13 per whorl, sessile, mostly linear, 5-15 mm long, 0.2-1 mm, in some large plants basal leaves linear-oblanceolate, all leaves greenish or somewhat glaucous, apically blunt or with a very small, soft mucro.",,good,"seeds subreniform, longest axis 0.35-0.4 mm, brown.","annual or ephemeral herb 3-18 cm tall, glabrous, branches slender and often pinkish.",,
Polycarpaea multicaulis,mm,Polycarpaea multicaulis,496,,,,,leaf,remove duplicate min,,,,,,,,,,"cauline leaves in 1-2 pairs at nodes, linear, usually 1.5-5 mm long, circa 0.3 mm wide, thinly pubescent.",,,"seeds circa 8, brown, subreniform, 0.5-0.6 mm long.",compact perennial herb to 30 cm tall.,,
Polycarpaea tenax,mm,Polycarpaea tenax,499,,,,,leaf,remove duplicate min,,,,,,,,,,"leaves cauline; petioles linear, 4-12 mm long and excentrically attached to the lamina; lamina circular, 1-3 mm diam., marginal glandular hairs yellowish;",,remove duplicate min/max,"seeds circa 30, pale brown, dimidiate, circa 0.4 mm long.",bushy perennial herb to 10 cm tall.,,
Tephrosia nematophylla,mm,Tephrosia nematophylla,575,,,,,leaf,remove duplicate min,,,,,,,,,,"leaves obovate in outline; rachis to basal leaflets 2-8 mm, 35-60(135) mm overall; leaflets in (3)5-9(20) pairs, filiform, canaliculate above (rarely linear and flattened in lower leaves), 20-63 mm long, circa 0.5 mm wide, l/w 40-120, veins obscure.",,,"seeds 5-9, centres > pod width apart, dull, olivaceous, oblong to orbicular, 2.2-3 mm long, 2-2.2 mm wide; ecarunculate.","an erect, perennial shrub to 1.2 m tall, often with annual above ground parts. vegetative and inflorescence parts with sparse adpressed to erect white hairs, sometimes dense on inflorescence.",,
Verticordia cunninghamii,mm,Vertcordia cunninghamii,618,,,,,leaf,remove duplicate min,,,,,,,,,,"leaves decussate, ascending, adaxial surface grooved, + semicircular in cross section, 10-15 mm long, circa 0.5 mm wide.",,,,"shrub to 4 m, glabrous.",,
Verticordia decussata,mm,Vertcordia decussata,619,,,,,leaf,remove duplicate min,,,,,,,,,,"leaves decussate, closely imbricate on short axillary shoots, ascending, semicircular in cross section, the adaxial surface grooved, 1.5-2.5 mm long, circa 0.5 mm wide.",,,,shrub to 5 m.,,
Verticordia verticillata,mm,Vertcordia verticillata,620,,,,,leaf,remove duplicate min,,,,,,,,,,"leaves whorled, 4 per whorl, curved, triquetrous with midrib raised on the adaxial surface, 11-30 mm long, circa 0.5 mm wide.",,,,shrub to 6 m.,,
Calophyllum soulattri,m,Calophyllum soulattri,101,,,,,,,20,,good,,,,,,,"petioles channelled above, 8-30 mm, glabrescent. lamina elliptic or ovate to lanceolate, 9.5-26.2 cm long, 2.6-8.5 cm wide, base obtuse to cuneate, apex acute to obtuse, glabrous or glabrescent with scattered hairs around midrib on upper and lower surface, midrib on upper surface raised throughout.",,,,"tree to 20 m, bark with longitudinal fissures or smooth, yellow.",,
Ceratophyllum demersum,m,Ceratophyllum demersum,123,,,,,,,0.6,branch_length,remove,,,,,,,"leaves whorled, 1.5-3.5 cm long, mostly (1) 2- or 3 (4)-times dichotomous, the filiform or more or less cylindrical segments with a few to many, variously conspicuous, marginal teeth.",,,,"herbs, free-floating or loosely attached to sediment;",,
Arivela linophylla,m,Cleome linophylla,136,,,,,,,0.3,branch_length,remove,,,,,,,,,,,,,
Cycas armstrongii,m,Cycas armstrongii,172,,,,,,,6,,good,,,,,,,"leaves 44-94 cm long, with 84-156 pinnae, flat to slightly keeled in cross-section, rachis terminated by a spine. petiole 12-30 cm long unarmed or 5-84% spinescent, base orange-grey tomentose, grey tomentose along petiole, glabrescent. basal pinnae not gradually reducing to spines although the basal 2-4 pinnae may be shorter than the preceding pinnae. basal pinnae spaced at 7.5-17.7 mm along rachis. median pinnae 74-182 mm long, 3.6-8.8 mm wide, shiny, abaxial surface glabrous or orange-brown pubescent, glabrescent, pinnae midrib to rachis angle 56 °-70 °, flat to very slightly keeled in cross-section, margins flat, bases narrowed to 2.3-4 mm, slightly decurrent for 1.5-6 mm, apex pungent, midrib equally prominent above and below, pinnae spaced at 2.8-7 mm along rachis. cataphylls hard, pungent, to 11 cm long, densely orange tomentose, glabrescent. pollencones ovoid, 12-23 cm long, 7-9 cm diam., lamina 20-27 mm long, 12-20 mm wide, apical spine 11-17 mm long, sharply upturned.",,,"seeds 29-43 mm long, 26-38 mm diam., not pruinose.",,,
Cycas calcicola,m,Cycas calcicola,173,,,,,,,3,,good,,,,,,,"leaves 58-135 cm long, with 198-504 pinnae, flat in cross-section, rachis terminated either by a spine or pinnae. petiole 10-33 cm long, 6-82% spinescent, base orange woolly, grey tomentose extending a short way up the petiole, glabrescent. basal pinnae gradually or not gradually reducing to spines although the basal 2-4 pinnae may be shorter than the preceding pinnae. basal pinnae spaced at 2-6.8 mm along rachis. median pinnae 55-140 mm long, 1.7-3.7 mm wide, abaxial surface light grey-orange tomentose, pinnae midrib to rachis angle 60 °-74 °, keeled in cross-section, margins revolute, bases narrowed to 1.8-3 mm, slightly decurrent for 0.5-1.5 mm, apex pungent, midrib slightly depressed, flush, or occasionally raised above, raised and prominent below, pinnae spaced at 1.4-4.2 mm along rachis. cataphylls soft, not pungent, densely orange woolly. pollencones fusiform, 20-29 cm long, 4-7 cm diam., lamina 18.5-25 mm long, 12-16 mm wide, apical spine 2.5-9 mm long, sharply upturned.",,,"seeds 30-38 mm long, 26-32 mm diam., pruinose.",,,
Cycas canalis,m,Cycas canalis,174,,,,,,,5,,good,,,,,,,"leaves 65-93 cm long, with 86-146 pinnae, flat to slightly keeled in cross-section, rachis terminated by a spine, rarely a pair of leaflets. petiole 19-27 cm long unarmed or 45-82 % spinescent, base orange-grey tomentose, grey tomentose along petiole, glabrescent, glaucous. basal pinnae not gradually reducing to spines although the basal 2-4 pinnae may be shorter than the preceding pinnae. basal pinnae spaced at 9.7-19.7 mm along rachis. median pinnae 88-243 mm long, 5-7.4 mm wide, glabrous with a few scattered hairs at base, pinnae midrib to rachis angle 44 °-69 °, flat to very slightly keeled in cross-section, margins flat, bases narrowed to 2-3.4 mm, decurrent for 2-5 mm, apex pungent, midrib equally prominent above and below, or slightly sunken on adaxial surface, pinnae spaced at 2.9-8 mm along rachis. cataphylls hard, pungent to 80 mm long, densely orange woolly. pollencones ovoid, 11.8-22.5 cm long, 6.4-10.5 cm diam., lamina 26-35 mm long, 8-20 mm wide, apical spine 9-13 mm long, sharply upturned.",,,"seeds 33-42 mm long, 28-34 mm diam., slightly pruinose/glaucous.",,,
Cycas conferta,m,Cycas conferta,175,,,,,,,6,,good,,,,,,,"leaves 71-91 cm long, with 124-192 pinnae, flat in cross-section, rachis terminated by a spine. petiole 24-34 cm long unarmed or 0.1-62% spinescent, base orange tomentose extending a short way up the petiole, glabrescent. basal pinnae not gradually reducing to spines although the basal 1-4 pinnae may be shorter than the preceding pinnae. basal pinnae overlapping or spaced at 0.4-6.6 mm along rachis. median pinnae 49-100 mm long, 4.6-6.6 mm wide, abaxial surface scattered orange pubescent, glabrescent, bluish, pinnae midrib to rachis angle 68 °-80 °, flat to slightly keeled in cross-section, margins flat, bases narrowed to 3.6-5.4 mm, slightly decurrent for 0.5-2 mm, apex pungent, midrib slightly depressed to equally prominent above and below, pinnae overlapping or spaced at 0.8-2.4 mm along rachis. cataphylls hard, pungent, to 9.3 cm long, densely orange tomentose.",,,"seeds 35-42 mm long, 27-31 mm diam., pruinose.",,,
Cycas maconochiei,m,Cycas maconochiei,176,,,,,,,3.5,,good,,,,,,,"leaves 62-128 cm long, with 152-288 pinnae, flat in cross-section, rachis terminated by a spine or pinnae. petiole 16-30 cm long unarmed or 2-79% spinescent, base light orange-brown velvety, orange-grey tomentum extending along the petiole, glabrescent. basal pinnae not gradually reducing to spines although the basal 2-4 pinnae may be shorter than the preceding pinnae. basal pinnae spaced at 4.4-11 mm along rachis. median pinnae 51-157 mm long, 3.4-6 mm wide, abaxial surface orange-brown pubescent or with scattered grey hairs, glabrescent, pinnae midrib to rachis angle 61 °-85 °, keeled in cross-section, margins slightly to distinctly recurved, bases narrowed to 2.5-3.8 mm, slightly decurrent for 0.5-2.5 mm, apex pungent, midrib depressed or flush above and raised and prominent below, pinnae occasionally overlapping or spaced at 1.5-3.9 mm along rachis. cataphylls soft, not pungent, to 13 cm long, densely orange-brown woolly. pollencones ovoid, 15-27 cm long, 9-11 cm diam., lamina 38-41 mm long, 14-15 mm wide, apical spine to 11 mm long, sharply upturned.",,,"seeds 27-40 mm long, 26-35 mm diam., pruinose.",,,
Cycas maconochiei,m,Cycas maconochiei,176,,,,,,,,,remove-duplicate,,,,,,,"leaves 62-111 cm long, with 152-288 pinnae, rachis terminated by a spine or pinnae. petiole 16-28 cm long unarmed or 4-79% spinescent, base light orange-brown velvety, orange-grey tomentum extending along the petiole, glabrescent. median pinnae with abaxial surface orange-brown pubescent, glabrescent, margins slightly to distinctly recurved, pinnae occasionally overlapping or spaced at 1.5-3.4 mm along rachis.",,,,,,
Cycas maconochiei,m,Cycas maconochiei,176,,,,,,,,,remove-duplicate,,,,,,,"leaves 82-128 cm long, with 208-242 pinnae, rachis terminated by a spine. petiole 16-29 cm long, 4-21% spinescent, base light orange-brown-grey velvety remainder glabrous or with scattered grey hairs, glabrescent. median pinnae with abaxial surface with scattered grey hairs, glabrescent, margins slightly recurved, pinnae spaced at 2.0-3.9 mm along rachis.",,,,,,
Drosera banksii,m,Drosera banksii,214,,,,,,,0.15,,good,,,,,,,"leaves cauline; petioles linear, 4-12 mm long and excentrically attached to the lamina; lamina circular, 1-3 mm diam., marginal glandular hairs yellowish;",,,"seeds ellipsoidal, circa 0.8 mm long, with slight ridges.",herb lacking tuber;,,
Drosera finlaysoniana,m,Drosera indica,221,,,,,,,0.7,,"good-in range, but no longer on website",,,,,,,,,,,annual herb.,,
Elatine gratioloides,m,Elatine gratioloides,230,,,,,,,0.4,,"good-in range, but no longer on website",,,,,,,"leaves more or less sessile, ovate to lanceolate or more or less linear, 5-20 mm long, 1-4.5 mm wide; nerves terminating at the leaf margin in a small gland.",,,"seeds 20-45 or more, curved-cylindrical, circa 0.5 mm long, longitudinal and transverse ridges producing a reticulated surface.","prostrate, mat-forming herbs or when submerged stems ascending;",,
Macarthuria vertex,m,Macarthuria vertex,411,,,,,,,1,,changed,,,,,,,"leaves decreasing in size along the branches, sessile or obscurely petiolate. basal leaves of young plants with the lamina linear-oblanceolate or spathulate, to 55 mm long, 5 mm wide but the cauline leaves of both young and old plants mostly linear, 2-20 mm long, 0.3-0.5 mm wide.",,,"seeds broadly comma-shaped, 1.5-2 mm long, shiny, felty black, tuberculate, with a conspicuous, whitish or translucent, somewhat papery caruncle.","subshrub or shrub with prostrate to erect branches, 15-100 (200) cm tall, glabrous or with short, rigid hairs mostly 0.1-0.2 mm but in some specimens 0.3 mm long.",,
Melaleuca argentea,m,Melaleuca argentea,421,,,,,,,20,,good,,,,,,,"petioles circa 5 mm long. leaf blades narrowly elliptic, tapering equally to each end from the middle, silvery sericeous, becoming glabrous, 60-130 mm long, 6-22 mm wide.",,,,"broadly spreading tree to 20 m, sometimes taller;",,
Trigastrotheca molluginea,m,Mollugo molluginis,434,,,,,,,0.2,branch_length,remove,,,,,,,"leaves 2 or 3 per fascicle, sessile, linear or linear-elliptic or linear-oblanceolate, 15-45 mm long, 1-2.5 mm wide, glabrous, acute.",,,"seeds subreniform, longest axis 1-1.2 mm, dark red-brown, minutely papillate.","perennial herb, somewhat sprawling and cus to erect, branches to 20 cm long.",,
Omegandra kanisii,m,Omegandra kanisii,452,,,,,,,0.8,branch_length,remove,,,,,,,"leaves subpetiolate; petiole circa 1 mm long; lamina elliptic or obovate to oblanceolate, 0.5-2.5 cm long, 0.3-0.7 cm wide; midvein raised on lower surface.",,,"seeds more or less obovoid to slightly reniform, 0.8-1 mm long, circa 0.6 mm diam., dark brown to black, shiny.","perennial, prostrate to decumbent herbs;",,
Planchonia careya,m,Planchonia careya,484,,,,,,,6,,good,,,,,,,"leaves essentially elliptic to broadly elliptic or almost circular but basally more or less abruptly tapering to form a winged-petiole and the whole leaf sometimes more or less spathulate, 3.5-20 cm long, 2-11.5 cm wide, margins crenulate, commonly apically acuminate, glabrous.",,,"seeds compressed-oval, circa 5 mm long, embedded in pulp. cocky apple.","tree commonly 4-6 m but may be much taller, deciduous.",,
Millettia pinnata,m,Pongamia pinnata,501,,,,,,,10,,good,,,,,,,"leaves imparipinnate; rachis to basal leaflets 15-47 mm, 67-130 mm overall; stipels absent; leaflets in 2-3 pairs, elliptic, ovate or rarely obovate, 55-125 mm long, 35-94 mm wide, l/w 1.3-1.9, base rounded, apex obtuse or shortly acuminate.",,,"seeds 1-2, light to dark brown, elliptic, circa 18 mm long, 11 mm wide;","a deciduous tree to 10 m, sometimes taller, f lowering with the flush of new leaves;",,
Poranthera microphylla,m,Poranthera microphylla,502,,,,,,,0.07,,good,,,,,,,,,,,annual herb.,,
Sersalisia sericea,m,Pouteria sericea,505,,,,,,,15,,good,,,,,,,,,,"seeds 1 (2 or 3), ellipsoid, 14-19 mm long, 10-13 mm diam., smooth, uniformly pale brown or with whitish or pale yellow-brown mottling.","(15) cm long, (1.4) 3.5-5 (6.5) cm wide, discolorous, dark green and glabrescent above apart from the midrib, paler and sparsely to densely silky hairy below, apex obtuse or occasionally emarginate.",,
