IDmerg1,ID_all,species_name,species_abb,site_name,site_details,siteold,site_data_old,spp_old,SLA_cm2_g_new,leaf_area_mm2_new,PSIpd,PSImd,Kh,Ks,Kl,LL,Gs,Amass,Aarea,RD_MASS,leaf_N_mass_new,leaf_P_mass_new,Cmass,leaf_N_area_g_m2_new,leaf_P_area_g_m2_new,max_ht,ci,ca_ci,wue,Aarea_gs,trans,trans_es,d15N,d13C,max_height_m,SPo,TLP,H2OTLP,symH2O,elast_mod,shootH20,ci_ca,SWCsap,SWCstem,SWCbark,BarkThick,n(bark),Wshear(Jm01),Toughness(Jm-2),leaf thickness
83,98,Hakea teretifolia,hakter,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Hakter,4.68,138.15,-0.55,-1.22,NA,NA,NA,1.75,272,34.9,14.1,4.1,0.52,0.021,47.94,1.11,0.045,3,263,99,3.86,0.052,3.66,271.8,-1.6731,-28.1708,3,-2.3,-3.14,85.55,58.25,18.66,57.66,0.01010101,97.28,106.98,149.307,0.81,10,1.16,2946,0.4
84,99,Hibbertia bracteata,hibbra,Kuring-gai NP lowP,hiRloP,sydloP,syd_loP,Hibbra,9.08,92.45,-0.99,-1.18,NA,NA,NA,0.92,218,53.9,6.7,7.4,1.04,0.027,43.3,1.15,0.03,1.3,303,62,2.11,0.031,3.19,218.1,-7.1328,-28.9422,1.3,-1.61,-2.54,76.37,64.05,23.09,63.5,0.016129032,83.45,91.7,129.456,0.525,7,0.33,1193,0.28
87,103,Lambertia formosa,lamfor,Kuring-gai NP lowP,hiRloP,"sydloP,glp",syd_loP,Lamfor,4.51,125.17,-0.59,-1.16,1.57E-05,1.29,5.37E-04,2.48,220,37.2,9.3,3.7,0.6,0.023,50.11,1.34,0.051,3,288,82,3.04,0.042,3.07,220.3,-3.8407,-28.6484,3,-2.12,-2.65,87.46,62.4,12.86,48.19,0.012195122,95.97,92.66,120.495,0.425,2,1.26,2485,0.51
92,110,Leptospermum trinervium,leptri,Kuring-gai NP lowP,hiRloP,"sydloP,glp",syd_loP,Leptri,7.78,28.83,-0.79,-1.51,1.50E-05,0.184,7.42E-04,1.85,105,36.8,4.5,10,0.85,0.025,54.21,1.1,0.032,4.5,279,102,2.13,0.043,2.11,104.5,-5.0151,-30.9491,4.5,-2.23,-2.78,86.79,66.4,6.87,49.36,0.009803922,69.25,87.6,141.005,0.9,2,0.31,1213,0.25
101,120,Persoonia levis,perlev,Kuring-gai NP lowP,hiRloP,"sydloP,glp",syd_loP,Perlev_syd,5.48,3309.84,-0.59,-1.17,7.98E-06,0.602,2.12E-04,3.79,169,45.7,8.2,2.5,0.59,0.024,48.81,1.08,0.044,4.4,268,93,4.93,0.048,1.66,169.3,0.9868,-29.045,4.4,-1.22,-1.85,85.31,47.45,15.03,62.77,0.010752688,121.68,117.31,108.327,0.94,10,0.8,1567,0.51
105,125,Phyllota phylicoides,phyphy,Kuring-gai NP lowP,hiRloP,"sydloP,glp",syd_loP,Phyphy,8.38,15.01,-0.79,-1.1,1.08E-05,0.49,0.00124,1.87,225,50.7,8.4,10.8,1.24,0.018,54.2,1.48,0.021,1.8,282,76,2.82,0.037,2.97,225.4,-2.2863,-29.5472,1.8,-1.56,-1.8,91.66,66.5,22.1,57.29,0.013157895,66.65,74.8,115.126,0.775,8,0.14,366,0.37
106,128,Pimelea linifolia,pimlin,Kuring-gai NP lowP,hiRloP,"sydloP,myall",syd_loP,PimLin,17.56,26.07,NA,NA,NA,NA,NA,1.06,240,106.3,7.9,16.6,1.48,0.053,43.69,0.85,0.03,1.2,303,67,2.24,0.033,3.52,240.3,-5.1377,-29.9421,1.2,NA,NA,NA,NA,NA,NA,0.014925373,,,,,,0.08,335,0.24
113,136,Acacia doratoxylon,acador,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Acador,4.57,1035.1,-2.01,-3.11,NA,NA,NA,1.64,140,67,14.6,6.7,2.01,0.083,50.05,4.39,0.182,12,153,181,4.82,0.104,3.02,252.7,-0.4,-26.4971,12,-2.48,-3.25,82.81,73.93,14.72,54.66,0.005524862,48.838,59.854,87.016,1.0175,10,1.14,2161,0.53
116,139,Acacia oswaldii,acaosw,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Acaosw,3.79,153.92,-2.64,-3.73,NA,NA,NA,1.75,126,41,13.1,4.4,1.84,0.067,51.84,4.86,0.177,6.5,183,177,4.35,0.103,3.01,227.6,-1.0893,-27.6891,6.5,-2.99,-3.86,81.76,83.13,17.08,52.7,0.005649718,46.986,56.995,79.082,1.015,10,1.54,2601,0.59
118,141,Atriplex stipitata,atrsti,Round Hill woodland,loRhiP,RHW,wnsw_hiP,AtrSti,12.01,58.12,NA,NA,NA,NA,NA,0.53,112,227.3,19.4,38.7,2.9,0.132,42.3,2.41,0.11,0.9,79,284,6.15,0.173,3.15,202,4.8849,-16.548,0.9,NA,NA,NA,NA,NA,NA,0.003521127,,,,,,0.05,212,0.25
120,143,Brachychiton populneus,brapop,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Brapop,7.66,1334.42,-1.01,-1.21,6.43E-06,0.948,1.19E-04,1.1,94,75.9,9.8,5.4,1.79,0.096,50.3,2.34,0.125,8.3,166,181,4.12,0.104,2.37,169.3,4.659,-24.1325,8.3,-1.75,-2.41,84.65,56.52,11.77,57.83,0.005524862,106.11,127.399,141.092,2.1125,6,0.38,1384,0.27
121,144,Callitris glaucophylla,calgla,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Calgla,4.24,NA,-2.58,-3.25,NA,NA,NA,2.58,88,26.9,6.3,4.2,1.2,0.087,52.64,2.83,0.205,12.1,232,133,2.81,0.072,2.25,158.6,2.9349,-25.869,12.1,-1.63,-2.74,77.05,56.75,6.57,49.87,0.007518797,80.287,90.684,102.964,1.4275,10,0.2,272,0.73
122,145,Dodonaea viscosa ssp angustissima,dodvia,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Dodvian,5.95,39.31,-3.85,-4.8,3.98E-06,0.875,3.29E-04,0.66,239,75.7,12.2,20,1.86,0.113,47.43,3.12,0.19,4,263,100,2.28,0.051,5.34,429.8,2.3766,-27.5298,4,-2.12,-2.95,76.62,83.54,11.56,61.05,0.01,40.659,62.564,122.24,1.1575,10,0.12,344,0.37
123,146,Dodonaea viscosa ssp cuneata,dodvic,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Dodvicu,8.81,51.87,-4.38,-4.58,NA,NA,NA,0.82,103,94.6,10,18.2,1.98,0.097,51.13,2.24,0.11,2.2,189,181,3.96,0.098,2.54,184.6,-0.1611,-25.6237,2.2,-2.29,-3.19,78.27,76.62,10.07,53.49,0.005524862,52.045,66.874,113.879,0.9275,10,0.09,418,0.22
124,147,Dodonaea viscosa ssp spatulata,dodvis,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Dodvisp,7.58,265.52,-3.15,-4.12,NA,NA,NA,0.86,107,102.1,12.8,15.5,1.98,0.115,50.46,2.62,0.152,4,155,207,4.96,0.119,2.59,193.3,3.7328,-27.156,4,-2.33,-3.31,74.93,86.02,9.4,56.93,0.004830918,51.226,64.611,116.78,0.725,10,0.26,1079,0.24
126,149,Eremophila glabra,eregla,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Eregla,6.12,139.23,-4.56,-6.02,NA,NA,NA,1.46,294,91.8,15.2,10,1.69,0.135,48.33,2.75,0.22,1.9,262,109,2.72,0.052,5.6,528.6,2.9271,-26.9103,1.9,-1.87,-2.67,78.03,73.53,7.96,65.31,0.009174312,47.34,72.484,162.678,0.92,10,0.24,620,0.38
127,150,Eremophila longifolia,erelon,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Erelon,3.72,261.75,-2.99,-3.59,5.92E-06,1.14,3.32E-04,1.26,NA,NA,NA,NA,1.46,0.1,50.08,3.94,0.269,3.5,NA,NA,NA,NA,NA,NA,4.1569,-26.2632,3.5,-2.45,-3.43,75.47,85.78,9.71,58.77,NA,57.696,82.556,131.735,1.1375,10,0.17,353,0.48
128,151,Eremophila mitchelli,eremit,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Eremit,5.58,72.96,-3.12,-3.97,NA,NA,NA,1.18,105,53.4,9.2,10.9,1.86,0.094,50.49,3.33,0.168,4,211,166,3.59,0.088,2.55,188.6,1.957,-26.8133,4,-2.38,-3.45,74.1,83.99,8.3,54.55,0.006024096,58.989,67.863,98.939,0.76944,9,0.1,340,0.27
129,152,Eucalyptus intertexta,eucint,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Eucint,5.55,1028.36,-2.58,-3.02,NA,NA,NA,1.31,171,79.6,18.1,5.5,1.47,0.103,50.98,2.65,0.186,16.9,154,183,5.33,0.106,3.4,307.3,3.379,-27.4093,16.9,-2.54,-3.29,85.49,65.69,17.88,49.73,0.005464481,57.541,83.032,151.272,0.9875,10,0.8,1835,0.44
130,153,Exocarpos aphyllus,exoaph,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Exoaph,2.99,NA,NA,NA,NA,NA,NA,2.83,114,8.8,4.1,11.5,1.07,0.11,52.09,3.56,0.367,NA,311,73,1.33,0.036,3.09,205.3,1.9041,-26.4853,NA,NA,NA,NA,NA,NA,NA,0.01369863,,,,,,4.64,3522,1.31
131,154,Geijera parviflora,geipar,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Geipar,5.31,671.5,-2.88,-3.44,6.23E-06,0.637,4.70E-04,2.46,128,55.2,10.4,5.7,1.7,0.105,47.5,3.2,0.198,10.3,201,156,3.67,0.081,2.82,230.5,3.5874,-27.2386,10.3,-3.2,-4.42,75.68,88.38,13.05,61.65,0.006410256,60.52,89.865,140.221,1.54,10,0.25,624,0.4
132,155,Hakea tephrosperma,haktep,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Haktep,3.12,110.79,-1.76,-2.2,7.83E-06,0.478,6.75E-04,3.4,92,22.2,12.2,2.4,0.73,0.03,48.4,2.34,0.096,8.3,142,230,4.68,0.132,2.61,166,1.5785,-24.7403,8.3,-3.12,-4.72,80.98,56.02,14.24,40.81,0.004347826,56.346,60.82,73.388,0.665,10,3.37,3144,1.07
133,156,Helichrysum apiculatum,helapi,Round Hill woodland,loRhiP,RHW,wnsw_hiP,helapi,26.13,NA,NA,NA,NA,NA,NA,NA,133,260.6,10.1,35.7,NA,NA,NA,1.03,NA,NA,216,145,3.31,0.076,3.06,239.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006896552,,,,,,,,
134,157,Melaleuca uncinata,melunc,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Melunc,5.58,56.82,-3.39,-3.68,NA,NA,NA,1.46,225,52.4,14.3,10.8,1.27,0.092,53.3,2.28,0.165,6.5,242,122,2.79,0.064,5.14,405,2.8842,-27.7373,6.5,-2.89,-4.18,77.99,71.74,13.07,45.9,0.008196721,53.429,60.889,80.352,0.9125,10,0.49,695,0.7
135,158,Olearia pimelioides,olepim,Round Hill woodland,loRhiP,RHW,wnsw_hiP,OlePim_w,8.43,7.44,NA,NA,NA,NA,NA,1.15,64,49.4,5.8,16.6,2.45,0.135,49.31,2.91,0.16,0.5,216,157,3.21,0.09,1.79,115.7,-0.702,-28.8834,0.5,NA,NA,NA,NA,NA,NA,0.006369427,,,,,,0.08,297,0.28
136,159,Philotheca difformis,phidif,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Phidif,3.64,7.12,-2.45,-3.53,3.01E-06,0.676,3.25E-04,1.6,168,39,10.6,13.3,1.48,0.069,48.54,4.06,0.189,2,248,114,2.62,0.063,4.04,303.1,4.3141,-25.2784,2,-1.55,-2.67,67.79,77.25,4.97,64.2,0.00877193,47.446,73.408,166.418,1.03333,9,0.26,344,0.77
137,160,Pimelea microcephala,pimmic,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Pimmic,12.44,44.85,-3.72,-4.36,NA,NA,NA,0.63,99,132.7,10.6,26.6,3.08,0.194,44.28,2.48,0.156,3,186,186,3.83,0.108,2.78,177.9,1.2577,-26.9047,3,-1.79,-3.56,56.46,87.8,4.87,66.72,0.005376344,60.099,104.372,206.207,1.28611,9,0.06,278,0.24
138,162,Senna artemisioides var 1lft,senar1,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Senart1,4.5,180.87,-2.93,-3.46,NA,NA,NA,1.62,152,32.4,12.8,14.3,1.99,0.079,52.02,4.41,0.176,2.5,206,167,3.74,0.084,3.43,272.9,-1.436,-25.3029,2.5,-2.16,-3.61,68.96,77.96,7.3,56.45,0.005988024,44.282,54.991,87.267,0.8925,10,0.13,217,0.58
139,163,Senna artemisioides var 3lft,senar3,Round Hill woodland,loRhiP,RHW,wnsw_hiP,Senart3,5.56,317.99,-3.19,-4.22,6.48E-06,0.332,6.10E-04,1.72,258,50.2,14,12.3,1.73,0.085,50.49,3.11,0.153,2.7,241,128,2.77,0.054,5.08,465,2.0939,-26.3267,2.7,-2.11,-2.92,79.3,74.92,10.15,59.23,0.0078125,41.5,55.225,103.506,0.8275,10,0.13,210,0.62
140,164,Solanum ferocissium,solfer,Round Hill woodland,loRhiP,RHW,wnsw_hiP,SolFer,13.29,67.74,NA,NA,NA,NA,NA,0.54,114,143.4,9.5,26.1,3.27,0.13,45.24,2.46,0.098,1.5,213,158,3.15,0.083,3.02,206,7.1899,-29.271,1.5,NA,NA,NA,NA,NA,NA,0.006329114,,,,,,0.08,451,0.18
141,165,Spartothamnella puberula,spapub,Round Hill woodland,loRhiP,RHW,wnsw_hiP,SpaPub,10.83,66.61,NA,NA,NA,NA,NA,0.79,149,122,13.3,33,2.96,0.12,48.26,2.74,0.111,0.4,207,169,3.58,0.089,3.7,267.8,0.8469,-29.0794,0.4,NA,NA,NA,NA,NA,NA,0.00591716,,,,,,0.08,363,0.23
143,167,Acacia colletioides,acacol,Round Hill mallee,loRloP,RHM,wnsw_loP,Acacol,4.33,38.1,-2.5,-4.49,NA,NA,NA,3.13,134,25.6,8.4,5.8,1.79,0.048,50.93,4.12,0.111,2.6,244,134,3.19,0.063,2.65,240.5,-1.8126,-25.9401,2.6,-3.07,-4.19,78.73,79.73,14.48,43.54,0.007462687,46.512,53.832,70.351,0.9775,10,1,1388,0.72
