mulga_sites,vegetation_type,Tree_ID,Species,Hard_Soft,Family,delta13C,delta15N,plant_growth_form,life_history,plant_succulence,photosynthetic_pathway,nitrogen_fixing
Western mulga,Ephemerals (non-succulent),W_ephem_Aira caryophyllea,Aira caryophyllea,Soft,Poaceae,-27.91,14.02,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Western mulga,Ephemerals (non-succulent),W_ephem_Brachycome ciliocarpa,Brachycome ciliocarpa,Soft/Hard,Asteraceae,-30.01,10.95,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Western mulga,Ephemerals (non-succulent),W_ephem_Cephalipterum drummondii,Cephalipterum drummondii,Hard,Asteraceae,-28.84,7.99,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Western mulga,Ephemerals (non-succulent),W_ephem_Erodium botrys,Erodium botrys,Soft/Hard,Geraniaceae,-26.99,13.65,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Western mulga,Ephemerals (non-succulent),W_ephem_Nicotiana sp.,Nicotiana sp.,Soft/Hard,Solanaceae,-26.74,14.12,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Western mulga,Ephemerals (non-succulent),W_ephem_Podolepis canescens,Podolepis canescens,Soft,Asteraceae,-29.34,15.1,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Western mulga,Ephemerals (non-succulent),W_ephem_Velleia rosea ,Velleia rosea ,Soft,Goodeniaceae,-27.27,15.49,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Western mulga,Ephemerals (non-succulent),W_ephem_Waitzia acuminata,Waitzia acuminata,Soft,Asteraceae,-29.71,14.97,herb,ephemeral,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,C3/CAM succulent ephemerals or perennials,E_C3_Asclepias sp.,Asclepias sp.,Hard,Asciepiaceae,-11.88,8.98,herb,,succulent,c3-cam,non_nitrogen_fixer
Eastern mulga,C3/CAM succulent ephemerals or perennials,E_C3_Calandrinia ptychosperma,Calandrinia ptychosperma,Soft,Portulacaceae,-22.61,9.23,herb,,succulent,c3-cam,non_nitrogen_fixer
Eastern mulga,C3/CAM succulent ephemerals or perennials,E_C3_Dysphania myriocephala,Dysphania myriocephala,Soft,Chenopodiaceae,-25.58,10.04,herb,,succulent,c3-cam,non_nitrogen_fixer
Eastern mulga,C3/CAM succulent ephemerals or perennials,E_C3_Dysphania sp.,Dysphania sp.,Soft,Chenopodiaceae,-26.98,7.38,herb,,succulent,c3-cam,non_nitrogen_fixer
Western mulga,C3/CAM succulent ephemerals or perennials,W_C3_Calandrinia sp.,Calandrinia sp.,Soft,Portulacaceae,-26.54,16.9,herb,,succulent,c3-cam,non_nitrogen_fixer
Western mulga,C3/CAM succulent ephemerals or perennials,W_C3_Dysphania kalpari,Dysphania kalpari,Soft/Hard,Chenopodiaceae,-25.19,16.12,herb,,succulent,c3-cam,non_nitrogen_fixer
Western mulga,C3/CAM succulent ephemerals or perennials,W_C3_Zygophyllum aurantiacum,Zygophyllum aurantiacum,Hard,Zygophyllaceae,-26.85,12.72,herb,,succulent,c3-cam,non_nitrogen_fixer
Western mulga,C4 Ephemerals or herbaceous perennials,W_C4_Eragrostis dielsii,Eragrostis dielsii,Soft,Poaceae,-15.08,14.32,herb,,,c4,non_nitrogen_fixer
Western mulga,C4 Ephemerals or herbaceous perennials,W_C4_Euphorbia drummondi,Euphorbia drummondi,Hard,Euphorbiaceae,-15.6,8.7,herb,,,c4,non_nitrogen_fixer
Western mulga,C4 Ephemerals or herbaceous perennials,W_C4_Salsola kali,Salsola kali,Hard,Chenopodiaceae,-13.8,13.24,herb,,,c4,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Abutilon oxycarpum,Abutilon oxycarpum,Soft/Hard,Malvaceae,-26.77,9.17,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Calotis cuneifolia,Calotis cuneifolia,Hard,Asteraceae,-27.86,14.2,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Chenopodiaceae sp.,Chenopodiaceae sp.,Soft,Chenopodiaceae,-26.27,11.88,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Dissocarpus biflorus,Dissocarpus biflorus,Hard,Chenopodiaceae,-26.43,16.26,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Goodenia lunata,Goodenia lunata,Soft,Goodeniaceae,-25.25,9.01,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Sida sp.,Sida sp.,Hard,Malvaceae,-27.07,9.26,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Solanum sp 1.,Solanum sp 1.,Soft,Solanaceae,-27.91,11.72,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Solanum sp 2.,Solanum sp 2.,Hard,Solanaceae,-25.6,14.88,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Solanum sp 3.,Solanum sp 3.,Hard,Solanaceae,-28.36,9.66,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Herbaceous perennials (non-succulent),E_herb_Thyridolepis mitchelliana,Thyridolepis mitchelliana,Hard,Poaceae,-27.66,8.66,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Western mulga,Herbaceous perennials (non-succulent),W_herb_Amaranthus sp.,Amaranthus sp.,Hard,Amaranthaceae,-27,8.84,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Western mulga,Herbaceous perennials (non-succulent),W_herb_Asteraceae sp.,Asteraceae sp.,Soft,Asteraceae,-28.24,11.44,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Western mulga,Herbaceous perennials (non-succulent),W_herb_Maireana camosa,Maireana camosa,wind-blown sand,Chenopodiaceae,-26.01,21.69,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Western mulga,Herbaceous perennials (non-succulent),W_herb_Ptilotus aervoides,Ptilotus aervoides,Hard,Amaranthaceae,-24.59,9.41,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Western mulga,Herbaceous perennials (non-succulent),W_herb_Rhagodia eremaea,Rhagodia eremaea,Hard,Chenopodiaceae,-28.41,8.02,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Western mulga,Herbaceous perennials (non-succulent),W_herb_Solanum lasiophyllum,Solanum lasiophyllum,Hard,Solanaceae,-26.89,9,herb,perennial,not_succulent,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Abutilon sp.,Abutilon sp.,Soft/Hard,Malvaceae,-27.63,9.37,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Dodonaea attenuata,Dodonaea attenuata,Soft,Sapindaceae,-25.41,3.24,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Dodonaea petiolaris,Dodonaea petiolaris,Hard,Sapindaceae,-24.99,11.85,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Dodonaea sp.,Dodonaea sp.,Hard,Sapindaceae,-22.79,9.2,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Eremophila bomanii,Eremophila bomanii,Hard,Myoporaceae,-25.12,13.07,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Eremophila latrobel,Eremophila latrobel,Soft,Myoporaceae,-25.9,7.55,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Eremophila longifolia,Eremophila longifolia,Soft/Hard,Myoporaceae,-26.15,9.73,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Eremophila sp. 2,Eremophila sp. 2,Soft,Myoporaceae,-24.36,7.83,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Eremophila sp. 3,Eremophila sp. 3,Hard,Myoporaceae,-24.68,11.93,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Eremophila sturtii,Eremophila sturtii,Hard,Myoporaceae,-24.6,14.03,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Grevillea striata,Grevillea striata,Soft,Proteaceae,-25.12,6.93,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Hakea leucoptera,Hakea leucoptera,Soft,Proteaceae,-24.86,8.92,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Senna artemisioides subsp. Artemisioides,Senna artemisioides subsp. Artemisioides,Hard,Caesalpiniaceae,-26.88,10.18,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Senna artemisioides subsp. Circinnata,Senna artemisioides subsp. Circinnata,Soft,Caesalpiniaceae,-26.99,4.15,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_S.artemisioides subsp. Oligophylla,S.artemisioides subsp. Oligophylla,Hard,Caesalpiniaceae,-24.78,12.33,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Senna sp. 1,Senna sp. 1,Hard,Caesalpiniaceae,-26.14,7.91,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Senna sp. 2,Senna sp. 2,Hard,Caesalpiniaceae,-23.76,11.9,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Senna sp. 3,Senna sp. 3,Hard,Caesalpiniaceae,-23.57,10.05,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody shrubs,E_woodysh_Ventilago viminalis,Ventilago viminalis,Hard,Rhamnaceae,-27.69,11.59,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Comesperma sp.,Comesperma sp.,Hard,Polygalaceae,-27.46,7.34,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Dodonaea viscosa,Dodonaea viscosa,Hard,Sapindaceae,-24.87,6.35,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Eremophila linearis,Eremophila linearis,Hard,Myoporaceae,-26.04,7.95,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Hakea preissii,Hakea preissii,Hard,Proteaceae,-24.69,4.62,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Ptilotus obovatus,Ptilotus obovatus,Hard,Amaranthaceae,-26.39,15.29,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Santalum spicatum,Santalum spicatum,Hard,Santalaceae,-27.41,8.62,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Scaevola tomentosa,Scaevola tomentosa,Hard,Goodeniaceae,-26.28,5.55,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Senna artemisioides,Senna artemisioides,Hard,Caesalpiniaceae,-25.52,6.68,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Senna desolata,Senna desolata,Hard,Caesalpiniaceae,-27.68,7.84,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Senna nemophila,Senna nemophila,Hard,Caesalpiniaceae,-25.36,6.09,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Sida calyxhymenia,Sida calyxhymenia,Hard,Malvaceae,-26.42,10.71,shrub,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody shrubs,W_woodysh_Solanum orbiculatum,Solanum orbiculatum,Soft,Solanaceae,-27.37,15.49,shrub,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Acacia aneura,Acacia aneura,Soft/Hard,Mimosaceae,-25.88,7.89,tree,perennial,,c3,nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Acacia farnesii,Acacia farnesii,Hard,Mimosaceae,-26.09,8.98,tree,perennial,,c3,nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Acacia sp. 3,Acacia sp. 3,Soft,Mimosaceae,-26.02,11.59,tree,perennial,,c3,nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Acacia sp. 4,Acacia sp. 4,Hard,Mimosaceae,-26.61,9.4,tree,perennial,,c3,nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Acacia tetragonophylla,Acacia tetragonophylla,Hard,Mimosaceae,-27.65,12.09,tree,perennial,,c3,nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Eucalyptus melanophloia,Eucalyptus melanophloia,Hard,Myrtaceae,-25.13,11.99,tree,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Eucalyptus populnea,Eucalyptus populnea,Soft/Hard,Myrtaceae,-25.69,9.91,tree,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Eucalyptus terminalis,Eucalyptus terminalis,Hard,Myrtaceae,-26.34,7.7,tree,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Owenia acidula,Owenia acidula,Hard,Meliaceae,-25.15,11.41,tree,perennial,,c3,non_nitrogen_fixer
Eastern mulga,Woody trees,E_woodytr_Santalum lanceolatum,Santalum lanceolatum,Soft,Santalaceae,-27.19,3.45,tree,perennial,,c3,non_nitrogen_fixer
Western mulga,Woody trees,W_woodytr_Acacia acuminata,Acacia acuminata,Hard,Mimosaceae,-25.88,7.38,tree,perennial,,c3,nitrogen_fixer
Western mulga,Woody trees,W_woodytr_Acacia aneura,Acacia aneura,Soft/Hard,Mimosaceae,-26.89,9.62,tree,perennial,,c3,nitrogen_fixer
Western mulga,Woody trees,W_woodytr_Acacia grasbyi,Acacia grasbyi,Hard,Mimosaceae,-26.77,7.95,tree,perennial,,c3,nitrogen_fixer
Western mulga,Woody trees,W_woodytr_Brachychiton gregorii,Brachychiton gregorii,Hard,Sterculiaceae,-24.94,6.38,tree,perennial,,c3,non_nitrogen_fixer
Lake Mongers,Ephemerals,LM_ephem_Erodium botyris,Erodium botyris,wind-blown sand,Geraniaceae,-27.23,9.78,herb,ephemeral,,c3,non_nitrogen_fixer
Lake Mongers,Ephemerals,LM_ephem_Helipterum craspedioides,Helipterum craspedioides,wind-blown sand,Asteraceae,-29.31,9.09,herb,ephemeral,,c3,non_nitrogen_fixer
Lake Mongers,Ephemerals,LM_ephem_Schoenia cassiniana,Schoenia cassiniana,wind-blown sand,Asteraceae,-30.17,9.94,herb,ephemeral,,c3,non_nitrogen_fixer
Lake Mongers,C4 ephemeral,LM_C4_Eragrostis dielsii,Eragrostis dielsii,wind-blown sand,Poaceae,-15.45,9.1,herb,ephemeral,,c4,non_nitrogen_fixer
Lake Mongers,Herbaceous perennials,LM_herb_Swainsona sp.,Swainsona sp.,wind-blown sand,Fabaceae,-26.07,2.16,herb,perennial,,c3,nitrogen_fixer
Lake Mongers,Woody shrubs,LM_woodysh_Comesperma sp.,Comesperma sp.,wind-blown sand,Polygalaceae,-25.55,6.43,shrub,perennial,,c3,non_nitrogen_fixer
Lake Mongers,Woody shrubs,LM_woodysh_Eremophila margarethae,Eremophila margarethae,wind-blown sand,Myoporaceae,-26.14,10.61,shrub,perennial,,c3,non_nitrogen_fixer
Lake Mongers,Woody shrubs,LM_woodysh_Jacksonia sp.,Jacksonia sp.,wind-blown sand,Fabaceae,-25.38,1.95,shrub,perennial,,c3,nitrogen_fixer
Lake Mongers,Woody shrubs,LM_woodysh_Scaevola tomentosa,Scaevola tomentosa,wind-blown sand,Goodeniaceae,-25.93,10.7,shrub,perennial,,c3,non_nitrogen_fixer
Lake Mongers,Woody trees,LM_woodytr_Acacia acuminata,Acacia acuminata,wind-blown sand,Mimosaceae,-26.76,3.03,tree,perennial,,c3,nitrogen_fixer
Lake Mongers,Woody trees,LM_woodytr_Acacia aneura,Acacia aneura,wind-blown sand,Mimosaceae,-26.74,2.31,tree,perennial,,c3,nitrogen_fixer
Lake Mongers,Woody trees,LM_woodytr_Acacia brachystachya,Acacia brachystachya,wind-blown sand,Mimosaceae,-26.32,9.76,tree,perennial,,c3,nitrogen_fixer
Lake Mongers,Woody trees,LM_woodytr_Melaleuca sp.,Melaleuca sp.,wind-blown sand,Myrtaceae,-25.69,8.76,tree,perennial,,c3,non_nitrogen_fixer
,,,Acacia quadrimarginata,,,,7,,,,,nitrogen_fixer
