species_name,genus,species,intr rank,longevity,GF,leaf longevity,max height (m),glacous,leaf type,leaf shape,leaf length (mm),leaf width (mm),seed shape,seed length (mm),seed diameter (mm),seed depth (mm),flowering time,fruiting,dispersal appendage,aquatic,succulent
Cleome linophylla,CLEOME,linophylla,,annual ,herb,e,0.3,,s,linear,Feb-40,0.3-1.8,suborbicular,1.15-1.3,0.9-1.2,,jan-feb,jan-feb,elaiasome,,
Cleome lophosperma,CLEOME,lophosperma,,annual ,herb,e,0.4,,c,linear-oblanceolate,Apr-35,0.3-2,suborbicular,1.6-2.3,1.3-1.8,,dec-mar,dec-mar,elaiasome,,
Cleome microaustralica,CLEOME,microaustralica,,,herb,e,1,,c,elliptic,Oct-50,3-Sep,suborbicular,1.1-1.5,0.95-1.2,,jan-jul,jan-jul,elaiasome,,
Cleome oxalidea,CLEOME,oxalidea,,annual ,herb,e,,,c,obovate,Apr-15,3-Oct,suborbicular,,1,1,feb-jun,feb-jun,,,
Cleome tetrandra,CLEOME,tetrandra,,annual,herb,e,,,c,linear,Jan-35,0.5-3,orbicular,1.6-2,,,dec-may,dec-may,elaiasome,,
Cleome uncifera subsp. microphylla,CLEOME,uncifera,subsp. microphylla,perennial,herb,e,0.5,,c,obovate,2.5-9,1-Apr,comma shaped,2,,,jan-jul,jan-jul,elaiasome,,
Cleome viscosa,CLEOME,viscosa,,annual,herb,e,1,,c,elliptic,Sep-55,Feb-14,suborbicular,,1-1.5,1-1.5,feb-sep,feb-sep,,,
Crateva religiosa,CRATEVA,religiosa,,perennial,tree,e,30,,c,ovate,Jun-17,2-Jun,,,,,jul-aug,jul-aug,,,
Polycarpaea arida,POLYCARPAEA,arida,,annual,herb,e,0.15,,s,oblanceolate,Mar-16,0.7-1.6,reniform,0.5-0.6,,,mar-nov,mar-nov,,,
Polycarpaea breviflora,POLYCARPAEA,breviflora,,annual,herb,e,0.25,,s,linear,Sep-28,0.5-1.2,reniform,0.4-0.5,,,mar-sept,mar-sept,,,
Polycarpaea corymbosa,POLYCARPAEA,corymbosa,,annual,herb,e,0.4,,s,linear,Feb-28,0.5-2,reniform,0.3-0.7,,,feb-jul,feb-jul,,,
Polycarpaea holtzei,POLYCARPAEA,holtzei,,annual,herb,e,0.1,,s,linear,2-Dec,,suborbicular,0.5-1,,,feb-jul,feb-jul,,,
Polycarpaea incana,POLYCARPAEA,incana,,perennial,herb,e,0.15,,s,oblanceolate,2-May,0.5-0.7,,0.4,0.3,,mar-may,mar-may,,,
Polycarpaea involucrata,POLYCARPAEA,involucrata,,annual,herb,e,0.2,,s,oblanceolate,2.5-12,0.7-2.5,ellipsoid,0.4,,,apr-jul,apr-jul,,,
Polycarpaea longiflora,POLYCARPAEA,longiflora,,annual,herb,e,0.9,,s,linear,May-52,0.8-3,suborbicular,,0.6-1,,feb-jul,feb-jul,,,
Polycarpaea microceps,POLYCARPAEA,microceps,,perennial,herb,e,0.15,,s,oblanceolate,2.3-9,0.7-1.3,ellipsoid,0.4,,,feb-jul,feb-jul,,,
Polycarpaea multicaulis,POLYCARPAEA,multicaulis,,perennial,herb,e,0.3,,s,linear,1.5-5,0.3,reniform,0.5-0.6,,,apr-aug,apr-aug,,,
Polycarpaea spirostylis,POLYCARPAEA,spirostylis,,perennial,herb,e,0.5,,s,linear,3.5-40,0.5-1,reniform,0.5-0.7,,,jan-jul,jan-jul,,,
Polycarpaea staminodina,POLYCARPAEA,staminodina,,annual,herb,e,0.35,,s,linear,Apr-18,0.5-1.5,subcylindrical,0.4-0.5,,,feb-jun,feb-jun,,,
Polycarpaea tenax,POLYCARPAEA,tenax,,perennial,herb,e,0.1,,s,linear,2-Mar,0.3,,0.4,,,feb-jul,feb-jul,,,
Polycarpaea violacea,POLYCARPAEA,violacea,,annual,herb,e,0.75,,s,linear,Apr-25,0.5-1.5,suborbicular,,0.5-0.9,,feb-jul,feb-jul,,,
Casuarina cunninghamiana subsp. miodon,CASUARINA,cunninghamiana,subsp. miodon,perennial,tree,e,20,,articles,branchlets with articles,2-Jul,0.5-0.7,,,,,,all year,samara,,
#VALUE!,,equisetifolia,subsp. equisetifolia ,perennial,tree,e,20,,articles,branchlets with articles,5-Aug,0.5-0.7,,,,,,jan-sep,samara,,
Ceratophyllum demersum,CERATOPHYLLUM,demersum,,,herb,e,0.6,,s,filiform,,,,,,,all year,all year,,yes,
Salsola australis,SALSOLA,australis,,annual,subshrub,e,0.6,,s,linear,May-50,1-Feb,,,,,,,,,
Suaeda arbusculoides,SUAEDA,arbusculoides,,perennial,subshrub,e,0.5,,s,oblanceolate,Oct-20,2-Mar,circular,,2-Mar,,mar-jun,mar-jun,,,
Tecticornia australasica,TECTICORNIA,australasica,,annual,herb,e,0.4,y,s,articles,Jul-15,,ovate,1.5,,,feb-jul,feb-jul,,,y
Tecticornia halocnemoides subsp. tenuis,TECTICORNIA,halocnemoides,subsp. tenuis,perennial,shrub,e,0.5,,s,articles,5,2,discoidal,1,,,apr-aug,apr-aug,,,
Tecticornia indica subsp. julacea,TECTICORNIA,indica,subsp. julacea,perennial,shrub,e,,,s,articles,4-Oct,,subcircular,,1.5,,may-nov,may-nov,,,
Maranthes corymbosa,MARANTHES,corymbosa,,perennial,tree,e,25,,s,elliptic,45-176,16-65,,,,,apr-nov,may-dec,,,
Parinari nonda,PARINARI,nonda,,perennial,tree,e,12,,s,elliptic,25-100,19-52,,,,,jul-oct,,,,
Cucumis maderaspatanus,CUCUMIS,maderaspatanus,,perennial,vine,e,,,s,triangular,30-45,25-50,ovate,4-5.5,2-3.5,1.2,all year,all year,,,
Cucumis melo subsp. agrestis,CUCUMIS,melo,subsp. agrestis,annual,vine,,,,s,palmately lobed,30-55,25-45,ellipsoid,5-Aug,2.5-3,1.5-2,feb-sep,feb-sep,,,
Cucumis sp. Gunlom,CUCUMIS,sp. Gunlom,,,vine,e,,,s,ovate,15-25,15-30,,4,2.5-3,2,jan-may,jan-may,,,
Diplocyclos palmatus,DIPLOCYCLOS,palmatus,,perennial,vine,e,,,s,palmately lobed,65-110,80-120,obovate,5-Jul,3-May,1.5-2.5,feb-jul,feb-jul,,,
Luffa aegyptiaca,LUFFA,aegyptiaca,,annual,vine,,,,s,palmately lobed,60-185,55-145,,8-Dec,5-6.5,1.5-2,all year,all year,,,
Luffa graveolens,LUFFA,graveolens,,annual,vine,,,,s,ovate,40-105,40-130,,6-Aug,4-May,1.5-2,all year,all year,,,
Muellerargia timorensis,MUELLERARGIA,timorensis,,annual,vine,,,,s,ovate,90-98,85-90,,8.5,3.5-4,2,june,june,,,
Trichosanthes cucumerina var. cucumerina,TRICHOSANTHES,cucumerina,var. cucumerina,annual,vine,,,,s,ovate,45-100,50-110,obovoid,7-Sep,4-May,2-Mar,jan-may,jan-may,,,
Trichosanthes holtzei,TRICHOSANTHES,holtzei,,annual,vine,,,,s,palmately lobed,60-125,50-120,ovate,7,,,oct-mar,oct-mar,,,
Trichosanthes sp. Fine Leaf,TRICHOSANTHES,sp. Fine Leaf,,,vine,,,,s,ovate,45-85,40-100,ovate,6.5-10,4-Jun,2.5-4,jan-jun,feb-jul,,,
Trichosanthes sp. Kakadu,TRICHOSANTHES,sp. Kakadu,,,vine,,,,s,ovate,105-170,95-135,,,,,,feb,,,
Calophyllum inophyllum,CALOPHYLLUM,inophyllum,,perennial,tree,e,20,,s,elliptic,66-194,36-102,,,,,all year,all year,,,
Calophyllum sil,CALOPHYLLUM,sil,,perennial,tree,e,30,,s,elliptic,40-160,19-60,,,,,all year,all year,,,
Calophyllum soulattri,CALOPHYLLUM,soulattri,,perennial,tree,e,20,,s,elliptic,95-262,26-85,,,,,all year,all year,,,
Garcinia warrenii,GARCINIA,warrenii,,perennial,tree,e,15,,s,elliptic,70-160,30-80,,,,,,,,,
Hypericum gramineum,HYPERICUM,gramineum,,perennial,herb,e,0.5,,s,elliptic,15-28,2-Aug,cylindrical,0.4-0.5,,,all year,all year,,,
Dillenia alata,DILLENIA,alata,,perennial,tree,e,0.6,,s,ovate,80-280,50-150,obovoid,4,3,3,jun-feb,sep-oct,,,
Hibbertia angulata,HIBBERTIA,angulata,,perennial,subshrub,e,0.5,,s,linear,Aug-35,0.8-2,globular,2-Mar,2-Mar,2-Mar,nov-jan,nov-jan,,,
Hibbertia brevipedunculata,HIBBERTIA,brevipedunculata,,perennial,subshrub,e,0.7,,s,linear-oblanceolate,83-64,1-Oct,globular,3,3,3,,,,,
Hibbertia caudice,HIBBERTIA,caudice,,perennial,subshrub,e,,,s,oblanceolate,Aug-76,Apr-27,obovoid,2.8-3.1,2.6-2.9,2.6-2.9,nov-apr,nov-apr,,,
Hibbertia ciliolata,HIBBERTIA,ciliolata,,perennial,shrub,e,1.5,,s,linear,18-74,2-Oct,globular,2.5-2.65,2.4-2.5,2.4-2.5,nov-jun,nov-jun,,,
Hibbertia cistifolia,HIBBERTIA,cistifolia,,perennial,subshrub,e,0.3,,s,obovate,Oct-57,5-15.5,globular,2,2,2,dec-jun,jul,,,
Hibbertia fractiflexa subsp. serotina,HIBBERTIA,fractiflexa,subsp. serotina,perennial,subshrub,e,,,s,oblanceolate,15-50,2-5.7,globular,4,4,4,dec,,,,
Hibbertia lepidota,HIBBERTIA,lepidota,,perennial,shrub,e,1.3,,s,oblanceolate,Jun-51,0.5-2.2,globular,2.4-2.6,2.4-2.5,2.4-2.5,all year,all year,,,
Hibbertia tasmanica,HIBBERTIA,tasmanica,,perennial,subshrub,e,,,s,ovate,28-76,Oct-50,globular,5,5,5,nov-apr,nov-apr,,,
Hibbertia complanata,HIBBERTIA,complanata,,perennial,subshrub,e,1.5,,s,elliptic,15-25,,spheroidal,4.8,4.8,4.8,mar-sept,mar-sept,,,
Hibbertia cravenii,HIBBERTIA,cravenii,,perennial,subshrub,e,1.5,,s,,,,spheroidal,3.6-3.7,3.6-3.7,3.6-3.7,apr-aug,apr-aug,,,
Hibbertia goyderi,HIBBERTIA,goyderi,,perennial,subshrub,e,0.5,,,,,,globular,3,3,3,aug-mar,aug-mar,,,
Hibbertia dilatata,HIBBERTIA,dilatata,,perennial,subshrub,e,1,,,,,,spheroidal,4,4,4,all year,all year,,,
Hibbertia haplostemona,HIBBERTIA,haplostemona,,perennial,subshrub,e,0.3,,s,ovate,20-50,Aug-23,spheroidal,2.8-3,2.8-3,2.8-3,feb-may,feb-may,,,
Hibbertia juncea,HIBBERTIA,juncea,,perennial,subshrub,e,1.5,,,,,,spheroidal,4-4.8,4-4.8,4-4.8,nov-aug,nov-aug,,,
Hibbertia praestans,HIBBERTIA,praestans,,perennial,subshrub,e,2,,,,,,spheroidal,2.1-2.8,2.1-2.8,2.1-2.8,dec-aug,dec-aug,,,
Hibbertia sphenandra,HIBBERTIA,sphenandra,,perennial,subshrub,e,0.25,,s,obovate,20-40,Aug-25,spheroidal,3-Apr,3-Apr,3-Apr,dec-jun,dec-jun,,,
Diospyros calycantha,DIOSPYROS,calycantha,,perennial,shrub,e,15,,s,elliptic,20-152,Dec-66,segment shaped,Oct-14,3-Aug,,all year,all year,,,
Diospyros compacta,DIOSPYROS,compacta,,perennial,shrub,e,15,,s,elliptic,18-120,18-65,segment shaped,5-Jul,4-May,,nov-mar,nov-mar,,,
Diospyros humilis,DIOSPYROS,humilis,,perennial,shrub,e,15,,s,elliptic,Dec-54,Oct-32,segment shaped,7.5,5.5,,,all year,,,
Diospyros littorea,DIOSPYROS,littorea,,perennial,shrub,e,15,,s,elliptic,25-115,Dec-55,segment shaped,7-Oct,4,,jun-dec,all year,,,
Diospyros maritima,DIOSPYROS,maritima,,perennial,tree,e,13,,s,ovate,59-210,23-95,segment shaped,10.4-13,5.3-7.5,,nov-feb,all year,,,
Diospyros rugosula,DIOSPYROS,rugosula,,perennial,shrub,d,7,,s,elliptic,10-110,Oct-50,segment shaped,Aug-15,3-May,,oct-dec,all year,,,
Drosera indica,DROSERA,indica,,,herb,e,0.7,,s,linear,20-150,0.5-1.5,obovoid,0.3-0.7,0.2-0.5,,apr-aug,apr-aug,,,
Drosera banksii,DROSERA,banksii,,,herb,e,0.15,,s,circular,1-Mar,1-Mar,ellipsoid,0.8,,,apr-jul,jun-jul,,,
Drosera brevicornis,DROSERA,brevicornis,,,herb,e,,,s,circular,3.5-6.5,3.5-5,,,,,nov-apr,,,,
Drosera darwinensis,DROSERA,darwinensis,,,herb,e,,,s,circular,2.5-4,2.2-3.9,,,,,nov-dec,,,,
Drosera dilatatopetiolaris,DROSERA,dilatatopetiolaris,,,herb,e,,,s,linear,Dec-35,1.5-2,ellipsoid,,,,oct-feb,,,,
Drosera falconeri,DROSERA,falconeri,,,herb,e,,,s,elliptic,May-13,3.5-16,,,,,nov-feb,,,,
Drosera fulva,DROSERA,fulva,,,herb,e,,,s,circular,2.3-4,2.1-4,,,,,nov-apr,,,,
Drosera burmanni,DROSERA,burmanni,,,herb,e,,,s,obovate,5.5-25,2.5-11,,0.3,0.3,0.3,all year,all year,,,
Dubouzetia australiensis,DUBOUZETIA,australiensis,,perennial,shrub,e,2.5,,s,lanceolate,36-130,Dec-55,,9-Oct,,,aug-jan,,,,
Elaeocarpus angustifolius,ELAEOCARPUS,angustifolius,,perennial,tree,e,40,,s,elliptic,60-180,25-50,,,,,mar-may,all year,,,
Elaeocarpus arnhemicus,ELAEOCARPUS,arnhemicus,,perennial,tree,e,15,,s,elliptic,50-122,20-53,,,,,all year,all year,,,
Elaeocarpus culminicola,ELAEOCARPUS,culminicola,,perennial,tree,e,20,,s,elliptic,67-137,24-47,,,,,jul-sep,oct-nov,,,
Elaeocarpus miegei,ELAEOCARPUS,miegei,,perennial,tree,e,35,,s,oblanceolate,40-170,20-75,,,,,jan-jul,all year,,,
Bergia pedicellaris,BERGIA,pedicellaris,,annual,herb,,0.35,,s,elliptic,Oct-35,3-Nov,ellipsoid,0.25-0.3,0.1-0.15,0.1-0.15,all year,all year,,,
Bergia pusilla,BERGIA,pusilla,,annual,herb,,0.06,,s,elliptic,3-Sep,1.5-2.5,ellipsoid,0.3,0.1,0.1,apr-jun,jul,,,
Elatine gratioloides,ELATINE,gratioloides,,annual,herb,,0.4,,s,ovate,Feb-20,0.8-5,cylindrical,0.4-0.6,0.2,0.2,,,,,
Elatine macrocalyx,ELATINE,macrocalyx,,annual,herb,,,,s,obovate,3-Jul,1-Mar,cylindrical,0.4-0.6,0.2,0.2,may-oct,may-oct,,,
Leucopogon acuminatus,LEUCOPOGON,acuminatus,,perennial,shrub,e,2,,s,elliptic,May-17,1-2.5,,,,,sep-mar,dec-jun,,,
Callitris intratropica,CALLITRIS,intratropica,,perennial,tree,e,24,,s,articles,2,,,4,,,,,wings,,
Cycas armstrongii,CYCAS,armstrongii,,perennial,shrub,e,6,,,,,,round,29-43,26-38,,,,,,
Cycas calcicola,CYCAS,calcicola,,perennial,shrub,e,3,,,,,,round,30-38,26-32,,,,,,
Cycas canalis,CYCAS,canalis,,perennial,shrub,e,5,,,,,,round,33-42,28-34,,,,,,
Cycas conferta,CYCAS,conferta,,perennial,shrub,e,6,,,,,,round,35-42,27-31,,,,,,
Cycas maconochiei,CYCAS,maconochiei,,perennial,shrub,e,3.5,,,,,,round,27-40,26-35,,,,,,
Cassytha candida,CASSYTHA,candida,,perennial,vine,e,,,s,ovate,1-1.8,,globular,4.5-5,4.5-5,4.5-5,feb-jul,feb-jul,,,
Cassytha capillaris,CASSYTHA,capillaris,,perennial,vine,e,,,s,ovate,1-1.6,,ovoid,,,,all year,all year,,,
Cassytha filiformis,CASSYTHA,filiformis,,perennial,vine,e,,,s,ovate,1-2.3,,globular,,,,all year,all year,,,
Cryptocarya cunninghamii,CRYPTOCARYA,cunninghamii,,perennial,tree,e,25,,s,elliptic,57-187,18-67,,,,,may-oct,jul-may,,,
Cryptocarya exfoliata,CRYPTOCARYA,exfoliata,,perennial,shrub,e,20,,s,elliptic,41-170,11.5-53,,,,,all year,all year,,,
Cryptocarya hypospodia,CRYPTOCARYA,hypospodia,,perennial,tree,e,30,,s,elliptic,65-245,25-135,,,,,,,,,
Endiandra limnophila,ENDIANDRA,limnophila,,perennial,tree,e,20,,s,elliptic,80-140,35-60,,,,,dec,,,,
Litsea breviumbellata,LITSEA,breviumbellata,,perennial,tree,e,20,,s,elliptic,85-180,40-72,,,,,mar-jul,nov,,,
Litsea glutinosa,LITSEA,glutinosa,,perennial,tree,e,15,,s,elliptic,70-314,30-122,,,,,nov-mar,feb-jun,,,
Neolitsea brassii,NEOLITSEA,brassii,,perennial,tree,e,25,,s,elliptic,47-204,17-129,,,,,jan-apr,may-jun,,,
Barringtonia acutangula subsp. Acutangula,BARRINGTONIA,acutangula,subsp. Acutangula,perennial,shrub,d,5,,s,obovate,35-210,Oct-95,,,,,all year,all year,,,
Barringtonia asiatica,BARRINGTONIA,asiatica,,perennial,tree,d,15,,s,obovate,70-400,40-200,,,,,,,,,
Planchonia careya,PLANCHONIA,careya,,perennial,tree,d,6,,s,elliptic,35-20,20-115,,,,,,,,,
Gyrocarpus americanus,GYROCARPUS,americanus,,perennial,tree,d,12,,s,ovate,45-175,60-210,,,,,nov-mar,mar-jul,,,
Hernandia nymphaeifolia,HERNANDIA,nymphaeifolia,,perennial,tree,d,20,,s,ovate,60-350,55-220,,,,,mar,jul,,,
Hypserpa decumbens,HYPSERPA,decumbens,,perennial,liana,e,,,s,ovate,50-130,20-80,,,,,aug-mar,jan-feb,,,
Hypserpa polyandra var. polyandra,HYPSERPA,polyandra,var. polyandra,perennial,liana,e,,,s,ovate,80-140,40-75,,,,,jan,,,,
Pachygone ovata,PACHYGONE,ovata,,perennial,liana,e,,,s,ovate,50-150,30-100,,,,,jun-aug,sep-nov,,,
Stephania japonica var. japonica,STEPHANIA,japonica,var. japonica,perennial,vine,e,,,s,ovate,40-170,40-140,,,,,nov-feb,,,,
Stephania japonica var. timoriensis,STEPHANIA,japonica,var. timoriensis,perennial,vine,e,,,s,ovate,40-170,40-140,,,,,apr-sep,mar-jul,,,
Tiliacora australiana,TILIACORA,australiana,,perennial,shrub,e,,,s,ovate,50-120,20-65,,,,,,,,,
Tinospora esiangkara,TINOSPORA,esiangkara,,perennial,liana,e,,,s,triangular,35-110,Mar-27,,,,,nov-may,,,,
Tinospora smilacina,TINOSPORA,smilacina,,perennial,liana,e,,,s,,65-150,55-140,,,,,all year,all year,,,
Glinus lotoides,GLINUS,lotoides,,perennial,herb,e,,,s,obovate,Aug-23,Jul-14,reniform,0.4,,,all year,all year,,,
Glinus oppositifolius,GLINUS,oppositifolius,,annual,herb,e,,,s,elliptic,Oct-35,Apr-13,reniform,0.5,,,all year,all year,,,
