sort,Species,Site,WP-TLP (MPa),WP-full turgor (MPa),e(MPa),Yleafmin,s.e. Yleafmin,DYleaf,s.e. Dyleaf,Yleafmax,s.e. Yleafmax,gs min,s.e. gs min,gs max,s.e. gs max,DYP100,s.e. DYP100,Demax,s.e. Demax,KL-NO Ks,s.e. KL-NO Ks,conduit diam,s.e. conduit diam,max % embolism,s.e. max % embolism,ln HV,s.e. ln HV,KS,s.e. KS,density,s.e. density,SLA,s.e. SLA,D13C,s.e. D13C,stem:root,s.e. stem:root,locality,latitude,longitude,soil
11,Banksia sphaerocarpa,heath,0.331306991,0.833333333,-2.842423873,-2,0.1014,0.6667,0.0514,-0.75,0.05,0.6046,0.306,39.547,19.2054,-0.4786,-0.4309,-5.4927,2.9092,0.3446,1.8086,0.0139,0.366,16.4333,2.8869,-5.9744,-0.0528,0.3446,0.09,0.7861,0.0099,2.663,0.137,-24.94,0.0358,0.3126,0.1371,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
12,Hakea cygna,heath,-0.592705167,-0.136363636,-3.751514782,-4.4167,0.318,3.8167,0.3013,-0.4167,0.0167,1.6262,0.2728,73.266,2.6339,1.1163,-0.1826,4.035,0.9688,0.1194,16.2729,0.0218,0.3254,11.6991,4.5814,-5.5261,-0.2459,0.1194,0.0216,0.7458,0.0346,2.063,0.0422,-25.4367,0.0521,0.3898,0.0844,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
13,Santalum acuminatum,heath,-0.276595745,-0.060606061,-0.933332963,-5.6667,0.6489,0.0333,0.4823,-2.4333,0.1667,34.5531,0.6731,61.7494,2.365,0.6871,-0.2777,0.1965,0.8521,1.7193,7.938,0.032,0.1248,85.491,1.8289,-5.5755,-0.2251,1.7193,0.4512,0.9131,0.0123,1.6204,0.1514,-27.4567,0.1342,0.321,0.1768,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand of 0.1- to 0.2-m depth over laterite
14,Eucalyptus capillosa subsp. capillosa,woodland,-0.300911854,-0.045454545,-0.024242054,-4.35,0.1453,1.1167,0.0195,-2.35,0.1258,29.899,0.1113,110.4665,2.0406,1.1788,-0.3949,11.2573,1.8536,1.857,2.8322,0.0333,0.2101,71.0077,4.4294,-6.0748,-0.2628,1.857,0.3039,0.8708,0.0137,3.1894,0.0883,-25.0533,0.0521,1.6787,0.0218,Corrigin Nature Reserve,-32.31667,117.8667,sandy loam of 0.1 m over deep clay
15,Eucalyptus salmonophloia,woodland,-0.738601824,-0.575757576,6.793939764,-4.2667,0.0882,0.9667,0.0016,-2.4,0.0866,27.038,0.2667,172.5977,16.8819,-0.3958,-0.2898,-7.1259,0.7421,2.5642,1.5606,0.0321,0.2007,82.7542,5.6568,-6.9629,-0.2821,3.0626,0.5521,0.7925,0.0217,3.3575,0.1912,-26.1233,0.0555,1.5757,0.0682,Corrigin Nature Reserve,-32.31667,117.8667,sandy loam of 0.1 m over deep clay
16,Grevillea patentiloba,woodland,-2.246200608,-1.696969697,1.339394309,-5.15,0.1528,2,0.095,-1.8,0.0577,51.921,0.4075,87.49,11.23,0.5959,-0.2181,-2.7137,1.2904,0.5405,3.6822,0.0174,0.1649,18.5838,4.6106,-4.058,-0.0454,0.5405,0.0419,0.9768,0.0231,1.2445,0.0766,-23.63,0.0304,4.431,0.3543,Corrigin Nature Reserve,-32.31667,117.8667,sandy loam of 0.1 m over deep clay
17,Olearia axillaris,woodland,-0.90881459,-0.606060606,1.884848855,-6.5,0.1856,5.1667,0.1689,-0.7667,0.0167,9.26,0.1371,129.91,1.8601,1.3851,-0.3925,6.8722,1.9098,0.4797,0.7225,0.0169,0.1466,14.7198,2.7971,-6.7216,-0.0821,0.4797,0.0486,0.9461,0.0365,1.5157,0.5203,-28.63,0.1479,5.65,0.3536,Corrigin Nature Reserve,-32.31667,117.8667,sandy loam of 0.1 m over deep clay
18,Actinostrobus arenarius,mallee,,,,-6.9333,0.0764,5.3667,0.0597,-0.4833,0.0167,0.8573,0.2864,35.2741,6.6802,NA,NA,NA,NA,0.4123,10.0431,0.0099,0.267,10.333,2.3456,-4.9544,-0.0669,0.4123,0.213,1.1672,0.0121,1.7842,0.073,-24.9633,0.0413,1.1554,0.0653,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand 0.8- to 1-m depth over gravel/clay
19,Eucalyptus albida,mallee,-0.191489362,-0.727272727,6.339394309,-3.5667,0.1667,1.3167,0.1667,-0.85,0,19.7163,0.1267,126.6505,3.3654,-0.7878,-0.258,-2.8257,1.4145,2.0323,3.4655,0.0318,0.1145,83.8878,6.2885,-5.7954,-0.0925,2.0323,0.9014,0.9523,0.04,4.235,0.0631,-25.95,0.0164,1.2361,0.0172,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand 0.8- to 1-m depth over gravel/clay
20,Dryandra sessilis,mallee,-0.118541033,0.227272727,-7.751514782,-2.9167,0.1323,1.9833,0.0656,-0.4667,0.0667,2.357,0.1495,126.8646,1.4267,0.1742,-0.2166,-3.6962,1.1648,0.6,9.4056,0.023,0.1944,25.1893,6.446,-5.4204,-0.2394,0.6,0.1141,0.7711,0.0112,3.1989,0.1129,-23.7133,0.0427,1.912,0.8746,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand 0.8- to 1-m depth over gravel/clay
21,Nuytsia floribunda,mallee,-0.106382979,-0.03030303,10.88484885,-2.7667,0.0577,1.2333,0.0244,-1.4667,0.0333,3.997,4.4844,78.6317,15.6488,0.0552,-0.3469,-0.8935,1.9219,0.5798,11.4216,0.0272,0.1123,60.22,8.6457,-4.3651,-0.2251,0.5798,0.1354,0.6322,0.0412,2.2129,0.0938,-26.98,0.0467,0.2322,1.9517,Corrigin Nature Reserve,-32.31667,117.8667,coarse sand 0.8- to 1-m depth over gravel/clay
