species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),abaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")",site_name,leaf_lamina_division,leaf_compoundness,leaf_margin,leaf_shape
Xylomelum pyriforme,HO528955,eNSW,"North Head, Sydney",-33.165214,151.500856,80,"simple,entire",hypostomatic,dry and wet sclerophyll,woody,perennial,33.81,11.441,184.22,226.706,NA,226.706,n,n,n,0,0,0,359.04,24.95742472,18.223,NA,NA,31.7,"simple,entire",NA,hypostomatic,0,15,0,0,0,7,0,0,0,0,3,0,0,1,0,NA,NA,open,hypo,dry and wet sclerophyll in eNSW,entire,simple,entire,NA
Banksia ericifolia,HO528961,eNSW,"Cultivated.  University of Tasmania Latitude: 42� 54� 20� S, longitude: 147� 19� 55� E.","42� 54' 20"" S","147� 19' 55"" E.",NA,NA,hypostomatic,"swampy woodland, sclerophylls, heaths, 800-1100mm",woody,perennial,28.6,NA,213.6,NA,NA,NA,y,y,n,0,0,0,265,NA,NA,NA,NA,0.1086,NA,NA,hypostomatic,1,7,0,0,0,1,0,0,0,0,0,0,13,1,0,NA,NA,open,hypo,"swampy woodland, sclerophylls, heaths, 800-1100mm in eNSW",NA,NA,NA,NA
Hakea teretifolia,NA,"eNSW, Vic, Tas",NA,NA,NA,NA,terete,amphistomatic,heathlands,woody,perennial,65.81,NA,NA,NA,NA,NA,n,n,n,0,1,0,NA,NA,NA,NA,NA,NA,terete,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,A2,teretifolia,open,terete,"heathlands in eNSW, Vic, Tas",NA,NA,NA,terete
Grevillea decora,NA,eQld,NA,NA,NA,NA,"simple, entire",hypostomatic,"open woodlands, heath",woody,perennial,23.93,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"open woodlands, heath in eQld",entire,simple,entire,NA
Grevillea banksii,NA,eQld,NA,NA,NA,NA,"simple, pinnatipartite",hypostomatic,open woodlands,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, pinnatipartite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,open woodlands in eQld,pinnatipartite,simple,lobed,NA
Banksia robur,NA,eQld,NA,NA,NA,NA,NA,hypostomatic,"swampy woodlands, 800-1000mm",woody,perennial,28.6,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"swampy woodlands, 800-1000mm in eQld",NA,NA,NA,NA
Stenocarpus salignus,HO528930,"eQld, eNSW","Cultivated, Royal Tasmanian Botanic Gardens",42� 52'S,47� 20' E,NA,NA,hypostomatic,variety of forests,woody,perennial,32.4,NA,136.16,NA,NA,NA,n,n,n,0,0,0,319,NA,NA,NA,NA,30.213,NA,NA,hypostomatic,1,7,0,0,0,5,0,0,0,0,3,0,6,0,2,NA,NA,both,hypo,"variety of forests in eQld, eNSW",NA,NA,NA,NA
Eidothea hardeniana,NSW497582,ne NSW,"Cultivated, Sydney Botanic Garden",NA,NA,NA,"simple, toothed",hypostomatic,rainforest,woody,perennial,32.3,8.278926977,204.038,128.9390048,NA,128.9390048,n,n,n,0,0,0,250,28.08501714,20.866,NA,NA,19.6900252,"simple, toothed",NA,hypostomatic,0,7,0,0,0,3,1,0,0,0,3,0,0,0,0,NA,NA,closed,hypo,rainforest in ne NSW,toothed,simple,toothed,NA
Persoonia media,NA,"ne NSW, se QLD",NA,NA,NA,NA,"simple, entire",uneven amphistomatic,dry sclerophyll to rainforest,woody,perennial,54.2,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,amphi,"dry sclerophyll to rainforest in ne NSW, se QLD",entire,simple,entire,NA
Carnarvonia araliifolia,HO528937,ne Qld,"State forest 143. 15km along Mt Lewis road, Mt Lewis",-16.583323,145.298069,940,"compound, palmate",hypostomatic,rainforest,woody,perennial,41.31,6.332922523,136.978,144.5250383,NA,144.5250383,n,n,n,0,0,0,361.8,40.83983727,21.188,NA,NA,399.6710718,"compound, palmate",NA,hypostomatic,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,NA,NA,closed,hypo,rainforest in ne Qld,palmately_compound,compound,NA,NA
Eidothea zoexylocarya,NA,ne Qld,NA,NA,NA,NA,"simple, entire",hypostomatic,rainforest,woody,perennial,31.47578125,NA,NA,NA,NA,NA,n,n,n,0,0,0,291,22.63,24.5,NA,NA,NA,"simple, entire",NA,hypostomatic,1,3,0,0,1,3,0,0,0,0,3,0,12,0,0,NA,NA,closed,hypo,rainforest in ne Qld,entire,simple,entire,NA
Placospermum coriaceum,HO528951,ne Qld,"cultivated, CSIRO Arboretum, Atherton",17� 15' S,145� 29' E,NA,"simple, lobed (pinnatifid) & entire",hypostomatic,rainforest,woody,perennial,62.65306667,3.183286099,110.6,43.184,NA,43.184,n,n,n,0,0,0,611,85.65745967,30.702,NA,NA,249.325,"simple, lobed (pinnatifid) & entire",NA,hypostomatic,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,closed,hypo,rainforest in ne Qld,pinnatifid entire,simple,entire lobed,NA
Athertonia diversifolia,QRS117319,ne Qld,"cultivated, CSIRO Arboretum, Atherton",17� 15' S,145� 29' E,NA,"simple, lobed, toothed",hypostomatic,rainforest,woody,perennial,19.4,7.133123585,94.08,266.8518,NA,266.8518,n,n,n,0,0,0,175.8,18.78199565,22.148,NA,NA,660.1045293,"simple, lobed, toothed",NA,hypostomatic,0,2,0,0,0,2,0,0,0,0,3,0,0,2,0,NA,NA,closed,hypo,rainforest in ne Qld,lobed toothed,simple,lobed toothed,NA
Cardwellia sublimis,HO528938,ne Qld,"Malanda road, Milla Milla",-17.315264,145.664734,740,NA,hypostomatic,rainforest,woody,perennial,26.5,9.120039805,130.43,247.9596,NA,247.9596,n,n,n,0,0,0,222.4,21.01871621,17.214,NA,NA,86.2,NA,NA,hypostomatic,0,4,0,0,0,2,0,0,0,0,3,0,0,2,0,NA,NA,closed,hypo,rainforest in ne Qld,NA,NA,NA,NA
Persoonia virgata,NA,ne Qld to ne NSW,NA,NA,NA,NA,"simple, entire",amphistomatic,heath to dry sclerophyll,woody,perennial,75,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,amphi,heath to dry sclerophyll in ne Qld to ne NSW,entire,simple,entire,NA
Telopea aspera,NA,neNSW,NA,NA,NA,NA,"simple,toothed",hypostomatic,dry sclerophyll,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple,toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,dry sclerophyll in neNSW,toothed,simple,toothed,NA
Grevillea hilliana,HO528928,"neNSW, eQld","Cultivated.  University of Tasmania Latitude: 42� 54� 20� S, longitude: 147� 19� 55� E.","42� 54' 20"" S","147� 19' 55"" E.",NA,"simple, lobed, entire",hypostomatic,rainforests,woody,perennial,23.15,7.620773279,162.86,245.5981,NA,245.5981,y,n,n,0,0,0,337.5,21.80327507,17.233,NA,NA,67.85,"simple, lobed, entire",NA,hypostomatic,0,5,0,0,0,1,0,0,0,0,3,0,0,1,0,NA,NA,closed,hypo,"rainforests in neNSW, eQld",lobed entire,simple,entire lobed,NA
Stenocarpus sinuatus,HO528953,"neNSW, Qld, PNG","cultivated, CSIRO Arboretum, Atherton",17� 15' S,145� 29' E,NA,"lobed, entire",hypostomatic,rainforests,woody,perennial,31.34453333,6.337536745,201.864,196.006,NA,196.006,n,n,n,0,0,0,328.75,22.51343992,16.803,NA,NA,154.4607376,"lobed, entire",NA,hypostomatic,1,2,0,0,0,2,1,0,0,0,3,0,1,3,0,NA,NA,closed,hypo,"rainforests in neNSW, Qld, PNG",entire,simple,entire,NA
Floydia praealta,NSW427627,"neNSW, seQld","Cultivated, Royal Botanic Gardens Sydney (bed 100).","33� 52'  30"" S","151� 12' 3"" E.",NA,"simple, entire",hypostomatic,rainforest,woody,perennial,27.75,12.44056943,110.3,325.8898,NA,325.8898,n,n,n,0,0,0,246,16.33006827,12.29,NA,NA,58.75,"simple, entire",NA,hypostomatic,0,3.5,0,0,0,2,1,0,0,0,3,1,0,1,0,NA,NA,closed,hypo,"rainforest in neNSW, seQld",entire,simple,entire,NA
Macadamia integrifolia,NA,"neNSW, seQld",NA,NA,NA,NA,NA,hypostomatic,rainforest,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,n,0,0,0,265,NA,NA,NA,NA,NA,NA,NA,hypostomatic,0,7,0,0,0,3,1,0,0,0,3,1,0,1,0,NA,NA,closed,hypo,"rainforest in neNSW, seQld",NA,NA,NA,NA
Macadamia tetraphylla,NA,"neNSW, seQld",NA,NA,NA,NA,NA,hypostomatic,rainforest,woody,perennial,26.86,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,hypostomatic,0,4,0,0,0,2,1,0,0,0,3,0,0,1,0,NA,NA,closed,hypo,"rainforest in neNSW, seQld",NA,NA,NA,NA
Austromuellera trinervia,HO528940,neQld,"Malanda road, Milla Milla","17� 21' 30"" S","145� 41' 00"" E",760m,"compound imparipinnate, entire",hypostomatic,rainforest,woody,perennial,22.65,12.80455209,149.66,520.870306,NA,520.870306,n,n,n,0,0,0,196.25,16.67654301,14.704,NA,NA,429.07,"compound imparipinnate, entire",NA,hypostomatic,0,2,0,0,0,2,1,0,0,0,3,0,0,2,0,NA,NA,closed,hypo,rainforest in neQld,pinnate entire,compound,entire toothed,NA
Stenocarpus davallioides,NA,neQld,NA,NA,NA,NA,"pinnately lobed,entire",hypostomatic,rainforest,woody,perennial,34.4,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"pinnately lobed,entire",NA,unevenly amphi,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,NA,NA,closed,uneven amphi,rainforest in neQld,entire pinnately_lobed,simple,entire lobed,NA
Sphalmium racemosum,HO528952,neQld,"15.5km along Mt Lewis road, Mt Lewis",-16.581934,145.267515,NA,"simple or lobed to compound, entire",hypostomatic,rainforest,woody,perennial,59.60966667,3.524587679,190.524,45.07702137,NA,45.07702137,n,n,n,0,0,0,452,67.97705364,27.764,NA,NA,13.903763,"simple or lobed to compound, entire",NA,hypostomatic,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,NA,NA,closed,hypo,rainforest in neQld,entire lobed compound,compound,entire lobed,NA
Catalepidia heyana,HO528936,neQld,Mt Bartle Frere Track near Bobbin Bobbin Falls,-17.376374,145.800566,700,"simple, entire",hypostomatic,rainforest,woody,perennial,26.6,7.578670282,198.03,340.0589,NA,340.0589,n,n,n,0,0,0,307,20.08792627,24.078,NA,NA,43.44,"simple, entire",NA,hypostomatic,0,10,0,0,0,3.5,0,0,0,0,3,0,0,2,0,NA,NA,closed,hypo,rainforest in neQld,entire,simple,entire,NA
Grevillea coriacea,NA,neQld,NA,NA,NA,NA,"simple, entire",hypostomatic,open woodlands,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,open woodlands in neQld,entire,simple,entire,NA
Hollandaea riparia,NA,neQld,NA,NA,NA,NA,"simple, entire",hypostomatic,rainforest,woody,perennial,32.95,NA,NA,NA,NA,189.8913892,n,n,n,0,0,0,NA,NA,NA,1307.056151,12.68054119,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,entire,simple,entire,NA
Musgravea stenostachya,NA,neQld,NA,NA,NA,NA,"simple, entire",hypostomatic,rainforest,woody,perennial,22.49,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,entire,simple,entire,NA
Helicia grayi,NA,neQld,NA,NA,NA,NA,"simple, entire or rare teeth",hypostomatic,rainforest,woody,perennial,26.27,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire or rare teeth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,entire,simple,entire,NA
Helicia lamingtoniana,NA,neQld,NA,NA,NA,NA,"simple, entire or rare teeth",hypostomatic,rainforest,woody,perennial,NA,NA,NA,NA,NA,NA,y,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, entire or rare teeth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,entire,simple,entire,NA
Helicia blakei,NA,neQld,NA,NA,NA,NA,"simple, entire to toothed",hypostomatic,rainforest,woody,perennial,22.69,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, entire to toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,entire toothed,simple,entire toothed,NA
Darlingia darlingiana,NA,neQld,NA,NA,NA,NA,"simple, lobed, entire",hypostomatic,rainforest,woody,perennial,36.01,NA,NA,NA,NA,126.8900405,n,n,n,0,0,0,255,24.77,NA,1065.698871,10.64512986,NA,"simple, lobed, entire",NA,hypostomatic,0,5,0,0,0,1,0,0,0,0,3,0,0,1,2,NA,NA,closed,hypo,rainforest in neQld,entire lobed,simple,entire lobed,NA
Darlingia ferruginea,QRS127631,neQld,"cultivated, CSIRO Arboretum, Atherton",17� 15' S,145� 29' E,NA,"simple, lobed, entire",hypostomatic,rainforest,woody,perennial,38.19,10.80143767,234,177.114,NA,177.114,y,n,n,0,0,0,244,31.72776703,13.54,NA,NA,99.43,"simple, lobed, entire",NA,hypostomatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,entire lobed,simple,entire lobed,NA
Megahertzia amplexicaulis,QRS95537,neQld,"cultivated, CSIRO Arboretum, Atherton",17� 15' S,145� 29' E,NA,"simple, lobed, toothed to entire",hypostomatic,rainforest,woody,perennial,23.22,12.79354373,113.74,302.865,NA,302.865,n,n,n,0,0,0,291.25,17.28730677,19.123,NA,NA,150.1867,"simple, lobed, toothed to entire",NA,hypostomatic,0,5,0,0,0,4,0,0,0,0,3,0,0,2,0,NA,NA,closed,hypo,rainforest in neQld,entire lobed toothed,simple,entire lobed toothed,NA
Musgravea heterophylla,QRS500725,neQld,"cultivated, CSIRO Arboretum, Atherton",17� 15' S,145� 29' E,NA,"simple, sometimes pinnately lobed, entire",hypostomatic,rainforest,woody,perennial,19.08,13.20758175,147.444,443.9685,NA,443.9685,y,n,n,0,0,0,218,17.28145773,18.589,NA,NA,259.25,"simple, sometimes pinnately lobed, entire",NA,hypostomatic,0,4,0,0,0,1.5,1,0,0,0,3,0,0,2,0,NA,NA,closed,hypo,rainforest in neQld,entire pinnately_lobed,simple,entire lobed,NA
Helicia lewisensis,NA,neQld,NA,NA,NA,NA,"simple, toothed",hypostomatic,rainforest,woody,perennial,24.98,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple, toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,toothed,simple,toothed,NA
Helicia nortoniana,NA,neQld,NA,NA,NA,NA,"simple, toothed",hypostomatic,rainforest,woody,perennial,NA,NA,NA,NA,NA,NA,n,n,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"simple, toothed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,toothed,simple,toothed,NA
Hollandaea sayeriana,HO529249,neQld,"cultivated, CSIRO Arboretum, Atherton",17� 15' S,145� 29' E,NA,"simple, toothed",hypostomatic,rainforest,woody,perennial,28.57,5.212092897,201.67,188.9216,NA,188.9216,n,n,n,0,0,0,397.75,24.14,39.92,NA,NA,122.53,"simple, toothed",NA,hypostomatic,0,2,0,0,0,2,0,0,0,0,3,1,0,1,1,NA,NA,closed,hypo,rainforest in neQld,toothed,simple,toothed,NA
Triunia montana,HO528954,neQld,"Mt Bartle Frere, NW peak. Bellenden Ker National Park",-17.381929,145.800844,1400,"simple,entire",hypostomatic,rainforest,woody,perennial,33.6995,6.661279101,92.3937,137.4404776,NA,137.4404776,n,n,n,0,0,0,269.25,31.54853084,23.74,NA,NA,30.45957633,"simple,entire",NA,hypostomatic,0,2,0,0,0,1,0,0,0,0,3,0,0,1,0,NA,NA,closed,hypo,rainforest in neQld,entire,simple,entire,NA
Triunia erythrocarpa,NA,neQld,NA,NA,NA,NA,"simple,entire (juvenile toothed)",hypostomatic,rainforest,woody,perennial,25.43,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"simple,entire (juvenile toothed)",NA,hypostomatic,0,5,0,0,0,2,0,0,0,0,3,0,0,0,0,NA,NA,closed,hypo,rainforest in neQld,entire,simple,entire,NA
Austromuellera valida,NA,neQld,NA,NA,NA,NA,"usually simple, sometimes trifoliate or compound pinnate",hypostomatic,rainforest,woody,perennial,25.32,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,"usually simple, sometimes trifoliate or compound pinnate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,trifoliate bipinnate,compound,NA,NA
Alloxylon brachycarpum,NA,neQld,NA,NA,NA,NA,NA,hypostomatic,rainforest,woody,perennial,31.2,NA,NA,NA,NA,NA,n,n,n,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,closed,hypo,rainforest in neQld,NA,NA,NA,NA
Alloxylon flammeum,NA,neQld,NA,NA,NA,NA,NA,hypostomatic,rainforest,woody,perennial,28.76,NA,NA,NA,NA,NA,n,n,n,0,0,0,343,26.06,21.34,NA,NA,NA,NA,NA,hypostomatic,0,3,0,0,0,1,0,0,0,0,3,0,0,1,3,NA,NA,closed,hypo,rainforest in neQld,NA,NA,NA,NA
Alloxylon wickhamii,HO528941,neQld,"cultivated Tolga, garden of Gary Sankowsky","17� 14' 00"" S","145� 29' 00""E",NA,NA,hypostomatic,rainforest,woody,perennial,31.9,4.886303,135.7785731,NA,NA,NA,n,n,n,0,0,0,485,30.19,18.47,NA,NA,45.478457,NA,NA,hypostomatic,0,2,0,0,0,2,0,0,0,0,3,0,0,1,3,NA,NA,closed,hypo,rainforest in neQld,NA,NA,NA,NA
Banksia aquilonia,NA,neQld,NA,NA,NA,NA,NA,hypostomatic,"sclerophyll forest, woodland, 1000-4000mm",woody,perennial,25.5,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"sclerophyll forest, woodland, 1000-4000mm in neQld",NA,NA,NA,NA
Banksia plagiocarpa,NA,neQld,NA,NA,NA,NA,NA,hypostomatic,"shrublands, 2400mm",woody,perennial,32.6,NA,NA,NA,NA,NA,y,n,n,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,open,hypo,"shrublands, 2400mm in neQld",NA,NA,NA,NA
