species,SLA(mm2/mg),Height (cm),Leaf Size (mm2),Seed mass (mg),"GrowthForm 1=tree; 2=shrub; 3=subshrub; 4=forb; 5=grass; 8=fern; 10=climber; 11=orchid, epiphyte.","Seed Dispersal syndrome 1=unassisted; 2=ant (elaiosome); 3=vertebrate ingestion (fleshy); 4=adhesion (hooks etc); 5=wind (wing, pappus); 6=ballistic+ant; 7=ba llistic; 8=vertebrate."
Baeckea imbricata,10.48,100,8.1,0.0,2,1
Baeckea ramosissima,5.87,100,3.7,0.2,2,2
Brachyloma daphnoides,5.09,100,16,2.9,1,3
Carex appressa,14.14,100,3600,1.0,4,1
Citriobatus pauciflorus,17.23,100,50,7.5,2,3
Comesperma volubile,13.20,100,82,1.6,10,5
Dillwynia rudis,4.11,100,13,3.1,2,2
Epacris microphylla,7.69,100,4.1,0.0,2,1
Eriostemon buxifolius,4.10,100,32,11.5,2,6
Gahnia melanocarpa,26.66,100,15000,4.2,4,1
Gompholobium grandiflorum,5.63,100,15,3.7,2,2
Goodenia ovata,16.76,100,408,0.7,4,2
Grevillea speciosa,6.52,100,133,27.4,2,2
Guioa semiglauca,10.72,100,960,27.2,1,3
Helichrysum elatum,25.45,100,2000,0.5,4,5
Hibbertia bracteata,9.21,100,93,3.7,3,2
Hibbertia cistiflora,7.04,100,8.3,,3,2
Hibbertia nitida,9.39,100,74,3.4,2,2
Hovea linearis,7.51,100,120,18.9,2,2
Lepidosperma flexulosum,6.70,100,40,5.0,4,2
Lepidosperma laterale,2.51,100,1600,2.8,4,2
Leptocarpus tenax,26.29,100,,1.5,4,1
Lepyrodia scariosa,2.59,100,,0.2,4,1
Leucopogon lanceolatus,8.49,100,11,3.2,2,3
Microlaena stipoides,14.55,100,,6.4,5,1
Monotoca scoparia,4.59,100,7.2,1.5,2,3
Opercularia aspera,8.73,100,83,0.5,4,2
Paspalidium sp.,,100,550,0.7,5,1
Phyllota phylicoides,6.05,100,8.3,3.0,2,2
Pimelea linifolia,12.69,100,70,2.8,2,2
Platylobium formosum,10.67,100,327,5.3,2,2
Pultenaea elliptica,9.75,100,13,2.2,2,2
Pultenaea linophylla,7.82,100,20,7.3,2,2
Schoenus melanostachys,,100,,0.5,4,1
Styphelia tubiflora,5.36,100,7.7,20.2,2,0
Boronia ledifolia,5.36,150,40,9.1,2,6
Boronia pinnata,5.18,150,20,1.7,2,6
Boronia serrulata,7.23,150,40,0.9,2,6
Bossiaea heterophylla,7.03,150,30,15.5,2,2
Correa reflexa,7.11,150,167,10.3,2,6
Epacris obtusifolia,10.14,150,5.0,0.0,2,1
Glycine clandestina,40.81,150,117,4.2,10,1
Hibbertia dentata,12.60,150,620,6.9,10,2
Kunzea capitata,7.07,150,10,0.1,2,1
Lepidosperma urophorum,,150,,6.0,4,2
Lomatia silaifolia,5.30,150,,14.0,2,5
Macrozamia communis,3.53,150,,7473.9,2,3
Morinda jasminoides,26.12,150,333,5.4,10,3
Persoonia laurina,7.22,150,1200,165.5,2,3
Philotheca salsifolia,4.86,150,4.3,7.5,2,6
Platysace linearifolia,7.68,150,20,0.6,2,2
Acacia suaveolens,4.02,200,560,28.5,2,2
Acacia ulicifolia,4.33,200,7.3,13.3,2,1
Aotus ericoides,5.40,200,5.4,3.6,2,2
Banksia oblongifolia,3.48,200,875,16.8,2,5
Banksia spinulosa,3.79,200,55,11.3,2,5
Bauera rubioides,10.88,200,8.5,0.4,2,2
Breynia oblongifolia,15.76,200,120,7.8,2,2
Calytrix tetragona,7.22,200,2.0,1.2,2,5
Caustis pentandra,4.34,200,,15.1,4,1
Cayratia clematidea,18.52,200,270,12.3,10,3
Cordyline stricta,,200,21330,6.6,2,3
Darwinia fascicularis,5.51,200,17,1.9,2,1
Empodisma minus,,200,,2.7,4,1
Epacris longiflora,7.36,200,24,0.1,2,1
Epacris pulchella,9.17,200,8.3,0.1,2,1
Eriostemon australasius,6.47,200,70,20.2,2,6
Gahnia erythrocarpa,6.96,200,13330,16.7,4,1
Grevillea buxifolia,7.61,200,56,59.4,2,2
Grevillea oleoides,3.76,200,700,26.4,2,2
Hakea dactyloides,3.71,200,700,20.0,2,5
Hakea teretifolia,2.32,200,82,14.4,2,5
Helichrysum diosmifolium,,200,15,0.1,2,5
Hibbertia linearis,5.59,200,26,5.5,2,2
Hibbertia scandens,13.93,200,1008,7.8,10,3
Isopogon anemonifolius,3.79,200,187,4.1,2,1
Lambertia formosa,4.21,200,107,25.1,2,1
Ochna serrulata,20.31,200,326,83.8,2,3
Persoonia lanceolata,4.65,200,500,102.3,2,3
Phebalium squamulosum,5.08,200,12,1.3,2,6
Pomaderris sp.,11.41,200,,0.6,2,2
Pultenaea stipularis,9.55,200,107,9.3,2,2
Ricinocarpos pinifolius,3.24,200,60,48.2,2,2
Tylophora barbata,23.35,200,467,10.2,10,5
Woollsia pungens,13.04,200,27,0.2,2,1
Xanthorrhoea arborea,2.51,200,7500,15.3,2,1
Xanthorrhoea media,2.19,200,1330,8.9,2,1
Xanthorrhoea resinosa,,200,2170,11.5,2,1
Zieria smithii,11.61,200,187,1.4,2,6
Angophora hispida,4.04,250,1750,28.5,2,1
Astrotricha floccosa,14.65,300,4500,3.3,2,0
Bursaria spinosa,18.47,300,54,1.5,2,5
Casuarina distyla,1.69,300,,3.3,2,5
Clematis aristata,30.88,300,90,3.0,10,5
Clematis glycinoides,11.14,300,90,3.2,10,5
Clerodendrum tomentosum,10.71,300,1708,23.4,2,3
Dillwynia retorta,7.20,300,8.5,5.5,2,2
Eustrephus latifolius,24.37,300,1071,24.7,10,3
Geitonoplesium cymosum,40.14,300,282,3.8,10,3
Grevillea sericea,6.12,300,300,21.7,2,2
Haemodorum corymbosum,2.34,300,667,9.9,4,5
Hakea gibbosa,2.43,300,240,59.3,2,5
Hakea sericea,3.05,300,27,28.1,2,5
Isopogon anethifolius,4.42,300,100,2.8,2,1
Lantana camara,20.82,300,1008,23.0,2,3
Lasiopetalum ferrugineum,6.58,300,563,1.2,2,2
Leptospermum juniperinum,6.36,300,5.4,0.2,2,1
Ligustrum lucidum,12.01,300,4800,21.4,2,3
Ligustrum sinense,8.96,300,1307,22.5,2,3
Maytenus silvestris,9.47,300,233,13.9,2,2
Petrophile pulchella,3.82,300,,8.0,2,1
Pittosporum revolutum,12.05,300,1630,17.1,2,8
Polyscias sambucifolia,13.21,300,,3.7,2,3
Rapanea variabilis,9.21,300,403,27.2,2,3
Acronychia oblongifolia,18.09,400,40,2.2,1,3
Banksia ericifolia,4.78,400,10,22.3,2,5
Banksia marginata,4.66,400,173,10.5,2,5
Banksia serrata,4.51,400,2400,62.0,2,5
Canthium coprosmoides,8.44,400,750,,2,3
Ceratopetalum gummiferum,7.79,400,111,17.5,2,5
Claoxylon australe,19.70,400,2430,10.0,1,3
Doryanthes excelsa,,400,66670,43.1,4,1
Elaeodendron australe,9.21,400,563,462.9,2,3
Eucalyptus obtusiflora,2.74,400,12000,2.2,1,1
Eupomatia laurina,13.33,400,2407,8.2,2,0
Leptospermum attenuatum,5.99,400,19,0.2,2,1
Leptospermum flavescens,,400,292,0.1,2,1
Persoonia pinifolia,5.73,400,107,174.4,2,3
Psychotria loniceroides,13.36,400,2130,12.0,2,3
Pultenaea flexilis,8.39,400,27,5.9,2,2
Synoum glandulosum,13.10,400,,226.9,2,3
Telopea speciosissima,5.88,400,2500,64.9,2,5
Trochocarpa laurina,9.85,400,833,28.2,2,3
Wilkiea heugliana,9.84,400,3000,169.5,2,3
Passiflora edulis,21.60,500,,11.5,10,3
Persoonia levis,4.86,500,2920,225.9,2,3
Persoonia linearis,6.55,500,120,179.3,2,3
Pittosporum undulatum,10.95,500,2410,5.9,1,8
Polyosma cunninghamii,16.21,500,1875,,1,3
Rapanea howittiana,9.90,500,1500,,1,3
Glochidion ferdinandi,11.87,600,1070,15.8,1,1
Acacia floribunda,7.23,800,397,7.0,1,2
Alectryon subcinereus,13.30,800,1080,,1,3
Notelaea venosa,,800,2333,130.8,1,3
Olea africana,8.94,800,750,162.8,1,3
Backhousia myrtifolia,8.55,1000,403,13.0,1,5
Cryptocarya glaucescens,10.87,1000,2400,324.0,1,3
Cryptocarya microneura,10.43,1000,1417,442.2,1,3
Euodia micrococca,18.14,1000,140,7.0,2,6
Parsonsia straminea,26.87,1000,2530,10.3,10,5
Acacia cf irrorata,17.38,1200,2.0,10.8,1,2
Casuarina littoralis,4.57,1200,,3.1,1,5
Grevillea sphacelata,5.28,1200,15,29.0,2,2
Brachychiton sp.,,1500,,315.4,2,1
Eucalyptus globoidea,3.92,1500,1667,1.4,1,1
Eucalyptus haemostoma,4.04,1500,1667,1.8,1,1
Livistona australis,9.48,1500,784000,841.3,1,3
Acmena smithii,13.49,2000,300,12.0,1,3
Angophora floribunda,9.94,2000,1417,12.7,1,1
Casuarina torulosa,7.48,2000,,3.1,1,5
Diospyros australis,6.71,2000,1127,242.3,2,3
Doryphora sassafras,10.91,2000,653,7.7,1,5
Eucalyptus piperita,5.05,2000,900,1.1,1,1
Eucalyptus sieberi,3.49,2000,1935,1.8,1,1
Eucalyptus umbra,2.94,2000,1917,0.8,1,1
Schizomeria ovata,5.27,2000,3220,201.6,1,3
Syncarpia glomulifera,9.51,2000,3840,0.5,1,1
Angophora costata,4.71,2500,2115,15.1,1,1
Ceratopetalum apetalum,12.97,2500,3840,17.1,1,5
Eucalyptus gummifera,4.24,3000,3033,7.3,1,1
Eucalyptus pellita,,3000,2083,0.8,1,1
Eucalyptus paniculata,11.40,4000,1500,,1,1
Eucalyptus pilularis,1.26,4000,2200,2.1,1,1
Eucalyptus saligna,7.98,6000,2250,0.4,1,1
