,SPP,SLA,SD,SD_MASS,N,Yrs,Ht,Length,Width,Diam
810,EucGreen,2.55,0.84,0.58,0.97,0,0.1,0.1,0.1,NA
811,EucGreen,2.55,0.84,0.58,0.97,8,85,90,100,18.29
812,EucGreen,2.55,0.84,0.58,0.97,8,340,540,450,61.53
813,EucGreen,2.55,0.84,0.58,0.97,33,480,660,650,126.08
814,EucGreen,2.55,0.84,0.58,0.97,13,300,410,280,61
815,EucGreen,2.55,0.84,0.58,0.97,36,460,580,500,102.55
816,EucGreen,2.55,0.84,0.58,0.97,41,350,730,610,74
817,EucGreen,2.55,0.84,0.58,0.97,2,160,290,260,25.54
818,EucGreen,2.55,0.84,0.58,0.97,8,300,400,430,56
819,EucGreen,2.55,0.84,0.58,0.97,4,150,270,265,17.87
820,EucGreen,2.55,0.84,0.58,0.97,2,120,270,250,21.91
821,EucGreen,2.55,0.84,0.58,0.97,8,260,320,400,32
822,EucGreen,2.55,0.84,0.58,0.97,6,250,230,250,37.92
823,EucGreen,2.55,0.84,0.58,0.97,6,220,333,490,34.35
824,EucGreen,2.55,0.84,0.58,0.97,13,440,400,560,94
825,EucGreen,2.55,0.84,0.58,0.97,1,50,155,170,9.3
826,Halcya,4.49,0.71,5.79,1.87,6,40,55,50,4
827,Halcya,4.49,0.71,5.79,1.87,4,55,95,90,13.03
828,Halcya,4.49,0.71,5.79,1.87,26,42,57,45,0.2
829,Halcya,4.49,0.71,5.79,1.87,13,35,70,65,2
830,Halcya,4.49,0.71,5.79,1.87,2,55,60,60,4
831,Halcya,4.49,0.71,5.79,1.87,2,30,60,65,3
832,Halcya,4.49,0.71,5.79,1.87,36,40,65,65,NA
833,Halcya,4.49,0.71,5.79,1.87,4,48,70,58,0.3
834,Halcya,4.49,0.71,5.79,1.87,13,48,70,65,4
835,Halcya,4.49,0.71,5.79,1.87,2,55,65,65,35
836,Halcya,4.49,0.71,5.79,1.87,6,45,55,55,7
837,Halcya,4.49,0.71,5.79,1.87,6,20,25,40,2
838,Halcya,4.49,0.71,5.79,1.87,8,30,50,40,4.42
839,Halcya,4.49,0.71,5.79,1.87,28,30,50,40,2
840,Halcya,4.49,0.71,5.79,1.87,6,50,50,60,3
841,Halcya,4.49,0.71,5.79,1.87,8,35,50,55,2
842,Halcya,4.49,0.71,5.79,1.87,6,30,60,75,4
843,Halcya,4.49,0.71,5.79,1.87,2,40,40,40,3
844,Halcya,4.49,0.71,5.79,1.87,13,30,40,40,2
845,Halcya,4.49,0.71,5.79,1.87,6,35,70,70,5
846,Halcya,4.49,0.71,5.79,1.87,4,45,44,57,0.6
847,Halcya,4.49,0.71,5.79,1.87,33,40,65,55,10
848,Halcya,4.49,0.71,5.79,1.87,2,35,45,40,0.3
849,Halcya,4.49,0.71,5.79,1.87,33,47,65,65,10
850,Halcya,4.49,0.71,5.79,1.87,2,50,80,80,10
851,Halcya,4.49,0.71,5.79,1.87,2,45,75,70,3
852,Halcya,4.49,0.71,5.79,1.87,6,40,55,50,3
853,Halcya,4.49,0.71,5.79,1.87,2,40,60,45,3
854,Halcya,4.49,0.71,5.79,1.87,6,40,65,60,4
855,Halcya,4.49,0.71,5.79,1.87,13,40,55,40,3
856,Halcya,4.49,0.71,5.79,1.87,1,11,10,6,NA
857,Halcya,4.49,0.71,5.79,1.87,6,25,50,50,2
858,Halcya,4.49,0.71,5.79,1.87,8,30,45,40,4.68
859,Halcya,4.49,0.71,5.79,1.87,8,50,100,90,3
860,Halcya,4.49,0.71,5.79,1.87,2,30,38,52,0.4
861,Halcya,4.49,0.71,5.79,1.87,28,35,75,50,2
862,Halcya,4.49,0.71,5.79,1.87,13,35,35,40,3
863,Halcya,4.49,0.71,5.79,1.87,4,35,45,40,5.8
864,Halcya,4.49,0.71,5.79,1.87,4,44,68,60,6.52
865,Halcya,4.49,0.71,5.79,1.87,2,45,70,50,3
866,Halcya,4.49,0.71,5.79,1.87,4,50,75,65,8.03
867,Halcya,4.49,0.71,5.79,1.87,33,30,40,45,3
868,Halcya,4.49,0.71,5.79,1.87,33,35,30,40,4
869,Halcya,4.49,0.71,5.79,1.87,1,12,5,5,NA
870,Halcya,4.49,0.71,5.79,1.87,8,40,65,60,9.21
871,Halcya,4.49,0.71,5.79,1.87,8,27,48,42,4.19
872,Halcya,4.49,0.71,5.79,1.87,28,28,30,35,2
873,Halcya,4.49,0.71,5.79,1.87,2,45,60,60,2
874,Halcya,4.49,0.71,5.79,1.87,8,40,70,60,4
875,Halcya,4.49,0.71,5.79,1.87,4,42,80,80,9.37
876,Halcya,4.49,0.71,5.79,1.87,26,30,45,32,0.2
877,Halcya,4.49,0.71,5.79,1.87,4,45,80,80,21.33
878,Halcya,4.49,0.71,5.79,1.87,4,45,60,60,5.87
879,Halcya,4.49,0.71,5.79,1.87,8,24,43,38,8.26
880,Halcya,4.49,0.71,5.79,1.87,36,38,65,65,2
881,Halcya,4.49,0.71,5.79,1.87,36,40,60,55,5
882,Halcya,4.49,0.71,5.79,1.87,8,29,43,42,4.5
883,Halcya,4.49,0.71,5.79,1.87,6,50,65,70,4
884,Halcya,4.49,0.71,5.79,1.87,6,35,50,55,3
885,Halcya,4.49,0.71,5.79,1.87,8,60,80,75,3
886,Halcya,4.49,0.71,5.79,1.87,2,45,60,70,4
887,Halcya,4.49,0.71,5.79,1.87,8,60,90,100,7
888,Halcya,4.49,0.71,5.79,1.87,4,40,50,50,5.8
889,Halcya,4.49,0.71,5.79,1.87,8,28,40,26,5.52
890,Halcya,4.49,0.71,5.79,1.87,26,27,45,38,0.3
891,Halcya,4.49,0.71,5.79,1.87,33,30,25,25,3
892,Halcya,4.49,0.71,5.79,1.87,4,50,65,70,7.48
893,Halcya,4.49,0.71,5.79,1.87,13,45,65,60,2
894,Halcya,4.49,0.71,5.79,1.87,8,30,50,50,3
895,Halcya,4.49,0.71,5.79,1.87,13,40,55,40,3
896,Halcya,4.49,0.71,5.79,1.87,2,42,65,70,0.4
897,Halcya,4.49,0.71,5.79,1.87,4,40,50,55,0.4
898,Halcya,4.49,0.71,5.79,1.87,2,40,70,70,7
899,Halcya,4.49,0.71,5.79,1.87,2,35,45,50,3
900,Halcya,4.49,0.71,5.79,1.87,4,55,80,65,11.58
901,Halcya,4.49,0.71,5.79,1.87,8,30,50,40,2
902,Halcya,4.49,0.71,5.79,1.87,13,45,55,50,2
903,Halcya,4.49,0.71,5.79,1.87,6,50,75,60,3
904,Halcya,4.49,0.71,5.79,1.87,0,0.1,0.1,0.1,NA
905,Mellan,2.26,0.77,0.35,1.34,1,10,10,5,1
906,Mellan,2.26,0.77,0.35,1.34,33,250,250,250,46.3
907,Mellan,2.26,0.77,0.35,1.34,1,8,NA,NA,NA
908,Mellan,2.26,0.77,0.35,1.34,1,18,NA,NA,NA
909,Mellan,2.26,0.77,0.35,1.34,41,320,400,400,120
910,Mellan,2.26,0.77,0.35,1.34,8,150,230,280,37.38
911,Mellan,2.26,0.77,0.35,1.34,4,150,145,110,19.46
912,Mellan,2.26,0.77,0.35,1.34,15,170,240,240,30
913,Mellan,2.26,0.77,0.35,1.34,15,150,200,20,24.31
914,Mellan,2.26,0.77,0.35,1.34,15,150,345,360,25.48
915,Mellan,2.26,0.77,0.35,1.34,4,128,164,148,1.2
916,Mellan,2.26,0.77,0.35,1.34,15,180,220,200,30
917,Mellan,2.26,0.77,0.35,1.34,33,250,380,360,106.4
918,Mellan,2.26,0.77,0.35,1.34,13,230,210,230,31
919,Mellan,2.26,0.77,0.35,1.34,2,110,150,140,13.29
920,Mellan,2.26,0.77,0.35,1.34,1,7,NA,NA,NA
921,Mellan,2.26,0.77,0.35,1.34,8,160,210,235,19.77
922,Mellan,2.26,0.77,0.35,1.34,2,142,105,115,1.4
923,Mellan,2.26,0.77,0.35,1.34,2,130,260,225,23.26
924,Mellan,2.26,0.77,0.35,1.34,41,220,480,480,127
925,Mellan,2.26,0.77,0.35,1.34,13,200,240,150,30
926,Mellan,2.26,0.77,0.35,1.34,1,15,45,20,1
927,Mellan,2.26,0.77,0.35,1.34,41,400,640,540,104.95
928,Mellan,2.26,0.77,0.35,1.34,1,10,30,40,1
929,Mellan,2.26,0.77,0.35,1.34,0,0.1,0.1,0.1,NA
930,Mellan,2.26,0.77,0.35,1.34,6,145,240,20,12.98
931,Mellan,2.26,0.77,0.35,1.34,1,11,NA,NA,NA
932,Mellan,2.26,0.77,0.35,1.34,8,130,110,95,31.7
933,Mellan,2.26,0.77,0.35,1.34,36,300,350,360,8
934,Mellan,2.26,0.77,0.35,1.34,8,130,282,365,16.72
935,Mellan,2.26,0.77,0.35,1.34,41,300,320,400,102
936,Mellan,2.26,0.77,0.35,1.34,13,160,200,220,20
937,Mellan,2.26,0.77,0.35,1.34,41,400,760,500,143.32
938,Mellan,2.26,0.77,0.35,1.34,8,100,260,300,21
939,Mellan,2.26,0.77,0.35,1.34,41,250,500,530,104
940,Mellan,2.26,0.77,0.35,1.34,8,180,350,420,42.42
941,Mellan,2.26,0.77,0.35,1.34,2,127,120,100,1
942,Mellan,2.26,0.77,0.35,1.34,36,280,500,620,143.21
943,Mellan,2.26,0.77,0.35,1.34,41,330,600,550,128
944,Mellan,2.26,0.77,0.35,1.34,15,150,230,200,30
945,Mellan,2.26,0.77,0.35,1.34,13,180,200,220,20
946,Mellan,2.26,0.77,0.35,1.34,41,300,370,500,93.31
947,Mellan,2.26,0.77,0.35,1.34,15,230,250,100,30
948,Mellan,2.26,0.77,0.35,1.34,15,200,250,310,32
949,Mellan,2.26,0.77,0.35,1.34,8,180,220,180,22
950,Mellan,2.26,0.77,0.35,1.34,8,150,315,850,13.9
951,Mellan,2.26,0.77,0.35,1.34,4,95,200,220,0.8
952,Mellan,2.26,0.77,0.35,1.34,13,230,210,230,31
953,Mellan,2.26,0.77,0.35,1.34,41,200,400,200,130
954,Mellan,2.26,0.77,0.35,1.34,8,260,410,430,50.82
955,Mellan,2.26,0.77,0.35,1.34,8,320,660,550,53.05
956,Mellan,2.26,0.77,0.35,1.34,2,85,100,115,9.71
957,Mellan,2.26,0.77,0.35,1.34,28,310,540,630,215.41
958,Mellan,2.26,0.77,0.35,1.34,28,230,350,270,50.06
959,Mellan,2.26,0.77,0.35,1.34,8,160,160,130,14
960,Mellan,2.26,0.77,0.35,1.34,4,142,165,137,0.5
961,Mellan,2.26,0.77,0.35,1.34,2,145,172,219,1
962,Mellan,2.26,0.77,0.35,1.34,6,190,580,440,20.33
963,Mellan,2.26,0.77,0.35,1.34,28,260,430,360,66.53
964,Mellan,2.26,0.77,0.35,1.34,13,200,240,150,30
965,Mellan,2.26,0.77,0.35,1.34,8,160,220,310,43.07
966,Mellan,2.26,0.77,0.35,1.34,8,260,440,620,66.86
967,Olemul,4.36,0.87,0.86,1.67,15,70,110,100,10
968,Olemul,4.36,0.87,0.86,1.67,28,60,60,70,8.69
969,Olemul,4.36,0.87,0.86,1.67,33,60,80,60,22.61
970,Olemul,4.36,0.87,0.86,1.67,13,50,60,60,3
971,Olemul,4.36,0.87,0.86,1.67,8,41,50,43,6.2
972,Olemul,4.36,0.87,0.86,1.67,8,55,43,41,15.59
973,Olemul,4.36,0.87,0.86,1.67,6,40,45,40,5
974,Olemul,4.36,0.87,0.86,1.67,6,40,55,55,5
975,Olemul,4.36,0.87,0.86,1.67,33,65,95,80,13.1
976,Olemul,4.36,0.87,0.86,1.67,15,60,90,75,10.72
977,Olemul,4.36,0.87,0.86,1.67,8,50,45,30,5.92
978,Olemul,4.36,0.87,0.86,1.67,13,60,80,90,7
979,Olemul,4.36,0.87,0.86,1.67,13,65,75,55,5
980,Olemul,4.36,0.87,0.86,1.67,8,48,60,53,13.37
981,Olemul,4.36,0.87,0.86,1.67,41,80,110,120,10
982,Olemul,4.36,0.87,0.86,1.67,15,85,90,90,15
983,Olemul,4.36,0.87,0.86,1.67,33,55,90,60,41.21
984,Olemul,4.36,0.87,0.86,1.67,4,45,50,40,3
985,Olemul,4.36,0.87,0.86,1.67,41,60,90,90,11.47
986,Olemul,4.36,0.87,0.86,1.67,36,60,80,80,2
987,Olemul,4.36,0.87,0.86,1.67,6,40,35,40,5
988,Olemul,4.36,0.87,0.86,1.67,8,60,70,90,6
989,Olemul,4.36,0.87,0.86,1.67,15,50,60,65,6.3
990,Olemul,4.36,0.87,0.86,1.67,41,70,100,60,14.55
991,Olemul,4.36,0.87,0.86,1.67,6,35,50,50,3
992,Olemul,4.36,0.87,0.86,1.67,33,70,85,80,15
993,Olemul,4.36,0.87,0.86,1.67,41,80,110,75,9
994,Olemul,4.36,0.87,0.86,1.67,36,55,70,80,1
995,Olemul,4.36,0.87,0.86,1.67,13,65,90,95,7
996,Olemul,4.36,0.87,0.86,1.67,41,65,110,65,8.29
997,Olemul,4.36,0.87,0.86,1.67,15,55,73,90,8.8
998,Olemul,4.36,0.87,0.86,1.67,8,40,40,30,9.57
999,Olemul,4.36,0.87,0.86,1.67,13,60,90,90,10
1000,Olemul,4.36,0.87,0.86,1.67,0,0.1,0.1,0.1,NA
1001,Olemul,4.36,0.87,0.86,1.67,33,65,140,100,20
1002,Olemul,4.36,0.87,0.86,1.67,15,70,70,60,10
1003,Olemul,4.36,0.87,0.86,1.67,41,70,92,91,1.5
1004,Olemul,4.36,0.87,0.86,1.67,8,35,50,40,2
1005,Olemul,4.36,0.87,0.86,1.67,8,50,65,70,5
1006,Olemul,4.36,0.87,0.86,1.67,8,37,30,20,7.39
1007,Olemul,4.36,0.87,0.86,1.67,8,70,100,90,7
1008,Olemul,4.36,0.87,0.86,1.67,33,60,90,100,12
1009,Olemul,4.36,0.87,0.86,1.67,36,72,80,130,2
1010,Olemul,4.36,0.87,0.86,1.67,13,70,70,80,10
1011,Olemul,4.36,0.87,0.86,1.67,15,65,75,80,10
1012,Olemul,4.36,0.87,0.86,1.67,8,55,90,60,15
1013,Olemul,4.36,0.87,0.86,1.67,8,55,90,80,13
1014,Olemul,4.36,0.87,0.86,1.67,41,65,100,100,2
1015,Olemul,4.36,0.87,0.86,1.67,8,65,65,30,12.39
1016,Olemul,4.36,0.87,0.86,1.67,8,45,30,30,8.98
1017,Olemul,4.36,0.87,0.86,1.67,13,50,60,60,13
1018,Olemul,4.36,0.87,0.86,1.67,41,45,75,50,7
1019,Olemul,4.36,0.87,0.86,1.67,33,70,140,100,10
1020,Olemul,4.36,0.87,0.86,1.67,33,85,130,150,20
1021,Olemul,4.36,0.87,0.86,1.67,41,60,100,800,8
1022,Olemul,4.36,0.87,0.86,1.67,33,65,95,105,20
1023,Olemul,4.36,0.87,0.86,1.67,33,80,120,110,25
1024,Olemul,4.36,0.87,0.86,1.67,15,65,85,90,9.11
1025,Olemul,4.36,0.87,0.86,1.67,8,60,100,100,8
1026,Olemul,4.36,0.87,0.86,1.67,13,50,90,50,10
1027,Olemul,4.36,0.87,0.86,1.67,15,55,70,58,7.54
1028,Olemul,4.36,0.87,0.86,1.67,15,70,100,87,20.74
1029,Olemul,4.36,0.87,0.86,1.67,41,53,108,104,1.4
1030,Olemul,4.36,0.87,0.86,1.67,41,60,125,130,10
1031,Olemul,4.36,0.87,0.86,1.67,41,74,88,75,1
1032,Olepim,6.53,0.85,0.77,2.91,13,70,110,70,13
1033,Olepim,6.53,0.85,0.77,2.91,41,95,140,120,24
1034,Olepim,6.53,0.85,0.77,2.91,6,90,100,85,10
1035,Olepim,6.53,0.85,0.77,2.91,4,60,70,60,4
1036,Olepim,6.53,0.85,0.77,2.91,33,105,110,60,23
1037,Olepim,6.53,0.85,0.77,2.91,6,85,100,80,10
1038,Olepim,6.53,0.85,0.77,2.91,6,90,80,105,10
1039,Olepim,6.53,0.85,0.77,2.91,13,65,95,75,12
1040,Olepim,6.53,0.85,0.77,2.91,6,105,130,130,18.7
1041,Olepim,6.53,0.85,0.77,2.91,13,65,70,75,10
1042,Olepim,6.53,0.85,0.77,2.91,8,95,105,105,20
1043,Olepim,6.53,0.85,0.77,2.91,6,80,80,90,13
1044,Olepim,6.53,0.85,0.77,2.91,8,55,130,130,6
1045,Olepim,6.53,0.85,0.77,2.91,41,80,80,70,16.06
1046,Olepim,6.53,0.85,0.77,2.91,36,140,270,210,35
1047,Olepim,6.53,0.85,0.77,2.91,6,85,105,110,40.1
1048,Olepim,6.53,0.85,0.77,2.91,41,70,100,80,15.32
1049,Olepim,6.53,0.85,0.77,2.91,4,75,70,50,4
1050,Olepim,6.53,0.85,0.77,2.91,13,60,70,60,7
1051,Olepim,6.53,0.85,0.77,2.91,33,110,185,220,20
1052,Olepim,6.53,0.85,0.77,2.91,33,85,65,50,14.63
1053,Olepim,6.53,0.85,0.77,2.91,36,73,95,100,1.5
1054,Olepim,6.53,0.85,0.77,2.91,6,75,90,100,10
1055,Olepim,6.53,0.85,0.77,2.91,36,65,100,80,1.2
1056,Olepim,6.53,0.85,0.77,2.91,6,70,75,75,23
1057,Olepim,6.53,0.85,0.77,2.91,41,70,78,69,1.5
1058,Olepim,6.53,0.85,0.77,2.91,13,60,70,65,4
1059,Olepim,6.53,0.85,0.77,2.91,36,120,140,110,25
1060,Olepim,6.53,0.85,0.77,2.91,2,60,65,50,2
1061,Olepim,6.53,0.85,0.77,2.91,0,0.1,0.1,0.1,NA
1062,Olepim,6.53,0.85,0.77,2.91,36,65,68,80,0.5
1063,Olepim,6.53,0.85,0.77,2.91,41,80,115,80,20
1064,Olepim,6.53,0.85,0.77,2.91,4,70,60,50,6
1065,Olepim,6.53,0.85,0.77,2.91,2,70,90,90,3
1066,Olepim,6.53,0.85,0.77,2.91,15,65,90,100,7
1067,Olepim,6.53,0.85,0.77,2.91,4,80,90,65,4.3
1068,Olepim,6.53,0.85,0.77,2.91,15,90,120,80,20
1069,Olepim,6.53,0.85,0.77,2.91,36,110,170,125,21.6
1070,Olepim,6.53,0.85,0.77,2.91,36,110,190,240,25
1071,Olepim,6.53,0.85,0.77,2.91,15,60,90,80,13
1072,Olepim,6.53,0.85,0.77,2.91,41,75,100,100,25
1073,Olepim,6.53,0.85,0.77,2.91,36,87,145,140,11.5
1074,Olepim,6.53,0.85,0.77,2.91,41,100,120,100,15
1075,Olepim,6.53,0.85,0.77,2.91,2,60,45,40,2
1076,Olepim,6.53,0.85,0.77,2.91,2,65,50,80,4
1077,Olepim,6.53,0.85,0.77,2.91,33,95,140,110,16.3
1078,Olepim,6.53,0.85,0.77,2.91,13,85,95,105,13
1079,Olepim,6.53,0.85,0.77,2.91,33,105,80,70,25
1080,Olepim,6.53,0.85,0.77,2.91,2,60,30,30,2
1081,Olepim,6.53,0.85,0.77,2.91,41,90,120,110,18.56
1082,Olepim,6.53,0.85,0.77,2.91,33,85,95,85,22.88
1083,Olepim,6.53,0.85,0.77,2.91,41,85,90,60,13.68
1084,Olepim,6.53,0.85,0.77,2.91,15,85,100,90,20
1085,Olepim,6.53,0.85,0.77,2.91,41,75,80,82,1
1086,Olepim,6.53,0.85,0.77,2.91,8,85,60,65,10
1087,Olepim,6.53,0.85,0.77,2.91,36,115,140,135,14.8
1088,Olepim,6.53,0.85,0.77,2.91,41,100,130,110,25
1089,Olepim,6.53,0.85,0.77,2.91,4,48,55,50,4.76
1090,Olepim,6.53,0.85,0.77,2.91,6,80,105,90,12.6
1091,Olepim,6.53,0.85,0.77,2.91,4,60,80,65,16.58
1092,Olesub,35.21,0.82,0.8,2.09,0,0.1,0.1,0.1,NA
1093,Olesub,35.21,0.82,0.8,2.09,2,50,60,50,22
1094,Olesub,35.21,0.82,0.8,2.09,6,100,95,70,15
1095,Olesub,35.21,0.82,0.8,2.09,2,45,70,60,14
1096,Olesub,35.21,0.82,0.8,2.09,2,105,120,120,10
1097,Olesub,35.21,0.82,0.8,2.09,8,70,80,64,18
1098,Olesub,35.21,0.82,0.8,2.09,2,60,70,80,18
1099,Olesub,35.21,0.82,0.8,2.09,4,65,80,70,13
1100,Olesub,35.21,0.82,0.8,2.09,6,100,110,110,10
1101,Olesub,35.21,0.82,0.8,2.09,6,110,105,97,32
1102,Olesub,35.21,0.82,0.8,2.09,8,105,110,115,17.16
1103,Olesub,35.21,0.82,0.8,2.09,4,70,70,60,20
1104,Olesub,35.21,0.82,0.8,2.09,2,85,125,130,10
1105,Olesub,35.21,0.82,0.8,2.09,4,65,70,70,11.5
1106,Olesub,35.21,0.82,0.8,2.09,13,90,90,70,15
1107,Olesub,35.21,0.82,0.8,2.09,8,70,98,95,12.36
1108,Olesub,35.21,0.82,0.8,2.09,2,80,115,105,10
1109,Olesub,35.21,0.82,0.8,2.09,4,55,60,55,10.4
1110,Olesub,35.21,0.82,0.8,2.09,13,70,100,90,22
1111,Olesub,35.21,0.82,0.8,2.09,6,105,140,125,34.6
1112,Olesub,35.21,0.82,0.8,2.09,2,80,140,125,36.16
1113,Olesub,35.21,0.82,0.8,2.09,13,80,70,80,3
1114,Olesub,35.21,0.82,0.8,2.09,6,85,120,110,22.9
1115,Olesub,35.21,0.82,0.8,2.09,2,75,74,73,19.75
1116,Olesub,35.21,0.82,0.8,2.09,13,80,95,60,18
1117,Olesub,35.21,0.82,0.8,2.09,13,80,90,80,19
1118,Olesub,35.21,0.82,0.8,2.09,8,80,135,120,10
1119,Olesub,35.21,0.82,0.8,2.09,8,80,115,100,14.61
1120,Olesub,35.21,0.82,0.8,2.09,15,70,95,70,10
1121,Olesub,35.21,0.82,0.8,2.09,8,50,75,70,10
1122,Olesub,35.21,0.82,0.8,2.09,8,75,90,60,15
1123,Olesub,35.21,0.82,0.8,2.09,13,80,80,80,29
1124,Olesub,35.21,0.82,0.8,2.09,2,78,104,104,12.71
1125,Phebalium,3.09,0.83,1.143,1.76,0,0.1,0.1,0.1,NA
1126,Phebalium,3.09,0.83,1.143,1.76,15,45,50,60,3
1127,Phebalium,3.09,0.83,1.143,1.76,28,90,100,120,19.02
1128,Phebalium,3.09,0.83,1.143,1.76,15,95,65,65,14
1129,Phebalium,3.09,0.83,1.143,1.76,6,50,40,40,5
1130,Phebalium,3.09,0.83,1.143,1.76,28,70,90,70,16.98
1131,Phebalium,3.09,0.83,1.143,1.76,8,65,110,90,15
1132,Phebalium,3.09,0.83,1.143,1.76,28,95,120,110,19.01
1133,Phebalium,3.09,0.83,1.143,1.76,8,60,90,80,5
1134,Phebalium,3.09,0.83,1.143,1.76,8,60,80,70,8
1135,Phebalium,3.09,0.83,1.143,1.76,8,35,45,55,4
1136,Phebalium,3.09,0.83,1.143,1.76,4,30,30,25,3
1137,Phebalium,3.09,0.83,1.143,1.76,6,30,30,30,6
1138,Phebalium,3.09,0.83,1.143,1.76,4,35,23,20,2
1139,Phebalium,3.09,0.83,1.143,1.76,6,50,30,30,5
1140,Phebalium,3.09,0.83,1.143,1.76,6,50,55,55,2
1141,Phebalium,3.09,0.83,1.143,1.76,6,50,35,40,4
1142,Phebalium,3.09,0.83,1.143,1.76,4,40,30,20,6
1143,Phebalium,3.09,0.83,1.143,1.76,15,80,80,80,3
1144,Phebalium,3.09,0.83,1.143,1.76,4,40,30,20,2
1145,Phebalium,3.09,0.83,1.143,1.76,15,70,65,60,3
1146,Phebalium,3.09,0.83,1.143,1.76,15,60,70,65,3
1147,Phebalium,3.09,0.83,1.143,1.76,4,40,30,20,3
1148,Senart,1.68,0.87,12.15,1.59,0,0.1,0.1,0.1,NA
1149,Senart,1.68,0.87,12.15,1.59,33,170,200,220,20
1150,Senart,1.68,0.87,12.15,1.59,4,80,95,90,10.28
1151,Senart,1.68,0.87,12.15,1.59,41,240,240,220,46.86
1152,Senart,1.68,0.87,12.15,1.59,41,200,200,200,50
1153,Senart,1.68,0.87,12.15,1.59,41,200,300,310,50
1154,Senart,1.68,0.87,12.15,1.59,13,100,90,70,10
1155,Senart,1.68,0.87,12.15,1.59,41,180,230,190,24.44
1156,Senart,1.68,0.87,12.15,1.59,13,160,110,120,20
1157,Senart,1.68,0.87,12.15,1.59,4,145,140,150,34.01
1158,Senart,1.68,0.87,12.15,1.59,8,95,90,80,16.89
1159,Senart,1.68,0.87,12.15,1.59,33,150,220,200,60
1160,Senart,1.68,0.87,12.15,1.59,36,190,260,275,67.83
1161,Senart,1.68,0.87,12.15,1.59,8,75,80,70,5.81
1162,Senart,1.68,0.87,12.15,1.59,13,110,110,110,20
1163,Senart,1.68,0.87,12.15,1.59,41,170,200,200,26.58
1164,Senart,1.68,0.87,12.15,1.59,33,160,230,200,25
1165,Senart,1.68,0.87,12.15,1.59,41,160,180,160,42
1166,Senart,1.68,0.87,12.15,1.59,6,100,150,130,10
1167,Senart,1.68,0.87,12.15,1.59,36,180,330,330,88.9
1168,Senart,1.68,0.87,12.15,1.59,36,170,290,310,50
1169,Senart,1.68,0.87,12.15,1.59,41,250,200,200,70
1170,Senart,1.68,0.87,12.15,1.59,41,240,300,220,58.28
1171,Senart,1.68,0.87,12.15,1.59,6,95,85,108,20.54
1172,Senart,1.68,0.87,12.15,1.59,6,130,200,120,10
1173,Senart,1.68,0.87,12.15,1.59,4,90,75,85,19.8
1174,Senart,1.68,0.87,12.15,1.59,6,115,130,130,15
1175,Senart,1.68,0.87,12.15,1.59,15,60,80,75,8.97
1176,Senart,1.68,0.87,12.15,1.59,15,160,170,150,30
1177,Senart,1.68,0.87,12.15,1.59,33,180,140,120,34.07
1178,Senart,1.68,0.87,12.15,1.59,8,95,95,100,20
1179,Senart,1.68,0.87,12.15,1.59,8,75,90,80,6.84
1180,Senart,1.68,0.87,12.15,1.59,41,130,220,200,70
1181,Senart,1.68,0.87,12.15,1.59,15,145,150,140,27.19
1182,Senart,1.68,0.87,12.15,1.59,6,70,60,55,5
1183,Senart,1.68,0.87,12.15,1.59,41,150,200,180,48
1184,Senart,1.68,0.87,12.15,1.59,15,50,58,68,5.87
1185,Senart,1.68,0.87,12.15,1.59,41,165,220,200,6
1186,Senart,1.68,0.87,12.15,1.59,33,190,150,160,53.03
1187,Wesrig,3.01,0.87,1.25,1.68,13,25,45,35,1
1188,Wesrig,3.01,0.87,1.25,1.68,6,41,40,36,6
1189,Wesrig,3.01,0.87,1.25,1.68,41,80,90,90,9.92
1190,Wesrig,3.01,0.87,1.25,1.68,33,65,105,105,9.35
1191,Wesrig,3.01,0.87,1.25,1.68,28,65,120,100,10
1192,Wesrig,3.01,0.87,1.25,1.68,13,55,70,60,1
1193,Wesrig,3.01,0.87,1.25,1.68,33,80,170,180,10
1194,Wesrig,3.01,0.87,1.25,1.68,2,25,45,35,2
1195,Wesrig,3.01,0.87,1.25,1.68,13,115,60,50,1
1196,Wesrig,3.01,0.87,1.25,1.68,41,50,95,100,9.56
1197,Wesrig,3.01,0.87,1.25,1.68,8,80,150,150,10
1198,Wesrig,3.01,0.87,1.25,1.68,15,65,110,85,22.15
1199,Wesrig,3.01,0.87,1.25,1.68,33,70,90,110,11.39
1200,Wesrig,3.01,0.87,1.25,1.68,8,70,130,110,10
1201,Wesrig,3.01,0.87,1.25,1.68,2,30,30,40,2
1202,Wesrig,3.01,0.87,1.25,1.68,2,20,25,27,1
1203,Wesrig,3.01,0.87,1.25,1.68,4,40,77,90,5.29
1204,Wesrig,3.01,0.87,1.25,1.68,2,25,25,20,2
1205,Wesrig,3.01,0.87,1.25,1.68,33,60,100,85,8.78
1206,Wesrig,3.01,0.87,1.25,1.68,36,110,200,200,14
1207,Wesrig,3.01,0.87,1.25,1.68,15,55,95,95,7.65
1208,Wesrig,3.01,0.87,1.25,1.68,2,25,30,40,2
1209,Wesrig,3.01,0.87,1.25,1.68,6,55,85,40,3
1210,Wesrig,3.01,0.87,1.25,1.68,6,55,60,70,3
1211,Wesrig,3.01,0.87,1.25,1.68,2,30,35,30,3
1212,Wesrig,3.01,0.87,1.25,1.68,28,75,120,130,10
1213,Wesrig,3.01,0.87,1.25,1.68,8,30,35,30,8.05
