item_ID,ITEM_ACTION_ID,TRIALID,trait,STARTDATE,DURATION,detailed_description,trait_2,value_numeric,units,value_2,units_2,treatment_3,value_3,unts_3,unts_2,value_categorical,value,species_name,gathering_date,site_name,site_name_shorter,locality,collector,latitude (deg),longitude (deg)
1147529,1417243,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 9, Wt of sample: 0.0116, Total wt: 0.0116",TSW,1.2889,gm,,NA,,,,,NA,1.2889,Thomasia   ,10/31/1998,site_at_-34.9847_degS_and_118.0267_degE,site_at_-34.9847_degS_and_118.0267_degE,1.9 km W along Mt Richards Road from Nanarup Road.,"Donaldson, S.",-34.9847,118.0267
1147568,1417244,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0998, Total wt: 0.1413",TSW,0.998,gm,,NA,,,,,NA,0.998,Dampiera wellsiana  ,10/24/1998,site_at_-28.4906_degS_and_115.7558_degE,site_at_-28.4906_degS_and_115.7558_degE,26 km E of Mullewa toward Pindar on Mt Margaret Road.,"Donaldson, S.",-28.4906,115.7558
1148014,1417249,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 32, Wt of sample: 0.0384, Total wt: 0.0384",TSW,1.2,gm,,NA,,,,,NA,1.2,Thomasia tenuivestita  ,10/25/1998,site_at_-30.8667_degS_and_116.9758_degE,site_at_-30.8667_degS_and_116.9758_degE,"Dingo Rock, 9.5 km W of Manmanning on Wongan Hills - Manmanning Road.","Donaldson, S.",-30.8667,116.9758
1153217,1417412,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.3385, Total wt: 1.6231",TSW,3.385,gm,,NA,,,,,NA,3.385,Pelargonium littorale  ,2/11/1998,site_at_-33.8_degS_and_121.9667_degE,site_at_-33.8_degS_and_121.9667_degE,"Great Coastal Drive, c. 10 km N of Esperance.","Cayzer, L.W.",-33.8,121.9667
1153602,1417417,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 3, Wt of sample: 0.0538, Total wt: 0.0538",TSW,17.9333,gm,,NA,,,,,NA,17.9333,Daviesia horrida  ,2/18/1998,site_at_-34.5833_degS_and_117.9931_degE,site_at_-34.5833_degS_and_117.9931_degE,200 m along Woogenilup Road from Chester Pass Road.,"Chandler, G.T.",-34.5833,117.9931
1153744,1417419,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 37, Wt of sample: 0.237, Total wt: 0.237",TSW,6.4054,gm,,NA,,,,,NA,6.4054,Gastrolobium nudifolium  ,2/16/1998,site_at_-34.5914_degS_and_118.7294_degE,site_at_-34.5914_degS_and_118.7294_degE,"1.7 km from Cape Riche towards Wellstead, on Sandalwood Road.","Chandler, G.T.",-34.5914,118.7294
1153859,1417420,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 7, Wt of sample: 0.0035, Total wt: 0.0035",TSW,0.5,gm,,NA,,,,,NA,0.5,Hypocalymma strictum subsp. strictum,2/16/1998,site_at_-34.6672_degS_and_118.3306_degE,site_at_-34.6672_degS_and_118.3306_degE,32 km from Cape Riche turnoff at Wellstead towards Albany along South Coast Highway.,"Chandler, G.T.",-34.6672,118.3306
1154079,1417424,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 2, Wt of sample: 0.0288, Total wt: 0.0288",TSW,14.4,gm,,NA,,,,,NA,14.4,Isopogon longifolius  ,2/18/1998,site_at_-34.55_degS_and_118.1433_degE,site_at_-34.55_degS_and_118.1433_degE,11.5 km along Chillinup Road from Chester Pass Road.,"Chandler, G.T.",-34.55,118.1433
1154453,1417430,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 1.0118, Total wt: 13.3592",TSW,10.118,gm,,NA,,,,,NA,10.118,Allocasuarina pinaster  ,2/18/1998,site_at_-33.2239_degS_and_118.8397_degE,site_at_-33.2239_degS_and_118.8397_degE,8 km along Burngup Road from Newdegate Road.,"Chandler, G.T.",-33.2239,118.8397
1154726,1417433,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 8, Wt of sample: 0.0524, Total wt: 0.0524",TSW,6.55,gm,,NA,,,,,NA,6.55,Gastrolobium parviflorum  ,2/19/1998,site_at_-33.2978_degS_and_117.3239_degE,site_at_-33.2978_degS_and_117.3239_degE,"1.7 km from turnoff to Narrogin, from Wagin towards Narrogin.","Chandler, G.T.",-33.2978,117.3239
1154903,1417439,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 8, Wt of sample: 0.0348, Total wt: 0.0348",TSW,4.35,gm,,NA,,,,,NA,4.35,Gastrolobium parviflorum  ,2/12/1998,site_at_-33.5992_degS_and_120.1781_degE,site_at_-33.5992_degS_and_120.1781_degE,"13.5 km E of Ravensthorpe, near turnoff to Mt Desmond.","Chandler, G.T.",-33.5992,120.1781
1154980,1417445,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0332, Total wt: 0.0528",TSW,0.332,gm,,NA,,,,,NA,0.332,Beaufortia orbifolia  ,2/12/1998,site_at_-33.6092_degS_and_120.1692_degE,site_at_-33.6092_degS_and_120.1692_degE,1.4 km along Elverdton Road from South Coast Highway (turnoff c. 14 km E of Ravensthorpe).,"Chandler, G.T.",-33.6092,120.1692
1155145,1417454,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 1.4383, Total wt: 1.9819",TSW,14.383,gm,,NA,,,,,NA,14.383,Banksia obovata  ,2/10/1998,site_at_-33.4467_degS_and_123.4725_degE,site_at_-33.4467_degS_and_123.4725_degE,Upper slopes of Mt Ragged.,"Chandler, G.T.",-33.4467,123.4725
1155361,1417459,NA,Seed Sample,03-DEC-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.0759, Total wt: 0.3518",TSW,0.759,gm,,NA,,,,,NA,0.759,Eucalyptus phenax subsp. phenax,2/10/1998,site_at_-33.5528_degS_and_123.5364_degE,site_at_-33.5528_degS_and_123.5364_degE,14.7 km along track to Israelite Bay from intersection with Balladonia-Esperance road (which is just past the Mt Ragged turnoff).,"Chandler, G.T.",-33.5528,123.5364
1155431,1417465,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 15, Wt of sample: 0.0006, Total wt: 2.7353",TSW,0.04,gm,,NA,,,,,NA,0.04,Melaleuca lanceolata  ,10/6/1997,site_at_-33.7722_degS_and_140.5356_degE,site_at_-33.7722_degS_and_140.5356_degE,"Bookmark Biosphere Reserve, Calperum, c. 3 km direct S of Hideaway Hut.","Lyne, A.M.",-33.7722,140.5356
1155447,1417469,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1456, Total wt: 0.5387",TSW,1.456,gm,,NA,,,,,NA,1.456,Bursaria calcicola  ,3/11/1995,site_at_-34.3167_degS_and_149.975_degE,site_at_-34.3167_degS_and_149.975_degE,"Wombeyan Caves, 30 m past turn-off to Fig Tree Cave on Junction Cave track.","Cayzer, L.W.",-34.3167,149.975
1155486,1417473,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1733, Total wt: 3.3963",TSW,1.733,gm,,NA,,,,,NA,1.733,Marianthus ringens  ,10/4/1995,site_at_-31.9667_degS_and_115.9667_degE,site_at_-31.9667_degS_and_115.9667_degE,"Perth Herbarium, in grounds climbing on Douglas Street side fence.","Cayzer, L.W.",-31.9667,115.9667
1156014,1417488,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 28, Wt of sample: 0.3915, Total wt: 0.3915",TSW,13.9821,gm,,NA,,,,,NA,13.9821,Banksia plumosa subsp. plumosa,9/22/1997,site_at_-34.3867_degS_and_119.2889_degE,site_at_-34.3867_degS_and_119.2889_degE,2 km N along Swamp Road from Bremer Bay Road.,"Donaldson, S.",-34.3867,119.2889
1156085,1417493,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.686, Total wt: 2.693",TSW,6.86,gm,,NA,,,,,NA,6.86,Isopogon trilobus  ,9/22/1997,site_at_-34.4439_degS_and_119.2708_degE,site_at_-34.4439_degS_and_119.2708_degE,4.2 km S towards Dillon Bay along Dillon Bay Road from Bremer Bay intersection.,"Donaldson, S.",-34.4439,119.2708
1156469,1417502,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 93, Wt of sample: 0.4432, Total wt: 0.4432",TSW,4.7656,gm,,NA,,,,,NA,4.7656,Banksia cirsioides  ,9/20/1997,site_at_-33.9544_degS_and_118.8378_degE,site_at_-33.9544_degS_and_118.8378_degE,23 km E towards Jerramungup along Gnowangerup - Jerramungup Road from Gleeson Road.,"Donaldson, S.",-33.9544,118.8378
1156472,1417503,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.3914, Total wt: 1.1943",TSW,3.914,gm,,NA,,,,,NA,3.914,Petrophile seminuda  ,9/20/1997,site_at_-33.7783_degS_and_118.5408_degE,site_at_-33.7783_degS_and_118.5408_degE,"7.2 km SE along 2nd Rabbit Fence Road towards Jerramungup, from Ongarup - Pingrup Road.","Donaldson, S.",-33.7783,118.5408
1156800,1417519,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 74, Wt of sample: 4.27, Total wt: 4.27",TSW,57.7027,gm,,NA,,,,,NA,57.7027,Hakea incrassata  ,9/13/1997,site_at_-30.1481_degS_and_115.3858_degE,site_at_-30.1481_degS_and_115.3858_degE,"2.1 km along Tootbardie Road, where gas pipeline and high voltage lines cross road (off Brand Highway).","Flowers, G.",-30.1481,115.3858
1156812,1417522,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 13.0965, Total wt: 41.0502",TSW,130.965,gm,,NA,,,,,NA,130.965,Banksia chamaephyton  ,9/13/1997,site_at_-30.1481_degS_and_115.3858_degE,site_at_-30.1481_degS_and_115.3858_degE,"2.1 km along Tootbardie Road, where gas pipeline and high voltage lines cross road (off Brand Highway).","Flowers, G.",-30.1481,115.3858
1156815,1417523,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 73, Wt of sample: 0.4248, Total wt: 0.4248",TSW,5.8192,gm,,NA,,,,,NA,5.8192,Hakea lissocarpha  ,9/19/1997,site_at_-33.9539_degS_and_118.9078_degE,site_at_-33.9539_degS_and_118.9078_degE,"Below high voltage powerline to east of Jerramungup Sporting Complex, 100 m from cleared paddocks to north.","Flowers, G.",-33.9539,118.9078
1156835,1417526,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 7.4998, Total wt: 13.173",TSW,74.998,gm,,NA,,,,,NA,74.998,Banksia caleyi  ,9/19/1997,site_at_-33.9494_degS_and_118.9178_degE,site_at_-33.9494_degS_and_118.9178_degE,300 m E along powerline track off the road to Jerramungup Sporting Complex.,"Flowers, G.",-33.9494,118.9178
1156905,1417533,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 62, Wt of sample: 0.7576, Total wt: 0.7576",TSW,12.2194,gm,,NA,,,,,NA,12.2194,Banksia biterax  ,9/19/1997,site_at_-34.9083_degS_and_117.8033_degE,site_at_-34.9083_degS_and_117.8033_degE,"1 km along Hazzard Road, 2.6 km N of Albany airport, along Albany Highway.","Flowers, G.",-34.9083,117.8033
1157255,1417545,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 1.0381, Total wt: 2.6614",TSW,10.381,gm,,NA,,,,,NA,10.381,Banksia plumosa subsp. plumosa,9/19/1997,site_at_-34.155_degS_and_118.9364_degE,site_at_-34.155_degS_and_118.9364_degE,24.5 km S of Jerramungup on Hassell Road.,"Flowers, G.",-34.155,118.9364
1157322,1417548,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.683, Total wt: 11.0225",TSW,6.83,gm,,NA,,,,,NA,6.83,Petrophile prostrata  ,9/19/1997,site_at_-33.8153_degS_and_119.3072_degE,site_at_-33.8153_degS_and_119.3072_degE,"On South Coast Highway, 4.8 km E of Fitzgerald River crossing.","Flowers, G.",-33.8153,119.3072
1157421,1417561,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 62, Wt of sample: 0.9082, Total wt: 0.9082",TSW,14.6484,gm,,NA,,,,,NA,14.6484,Banksia fraseri var. fraseri,9/17/1997,site_at_-32.5806_degS_and_116.5078_degE,site_at_-32.5806_degS_and_116.5078_degE,"300 m along dirt track on N side of Wandering Road, 6 km E of North Bannister.","Flowers, G.",-32.5806,116.5078
1158043,1417565,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 49, Wt of sample: 0.005, Total wt: 0.005",TSW,0.102,gm,,NA,,,,,NA,0.102,Beaufortia micrantha  ,9/19/1997,site_at_-33.9494_degS_and_118.9178_degE,site_at_-33.9494_degS_and_118.9178_degE,300 m E along powerline track off the road to Jerramungup Sporting Complex.,"Flowers, G.",-33.9494,118.9178
1158915,1417589,NA,Seed Sample,10-AUG-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 15, Wt of sample: 0.05689, Total wt: 0.057",TSW,3.7927,gm,,NA,,,,,NA,3.7927,Conospermum huegelii  ,9/16/1997,site_at_-32.3306_degS_and_116.1128_degE,site_at_-32.3306_degS_and_116.1128_degE,10 km W along Jarrahdale Road from Albany Highway towards Jarrahdale.,"Donaldson, S.",-32.3306,116.1128
1158950,1417591,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 89, Wt of sample: 1.5007, Total wt: 1.5007",TSW,16.8618,gm,,NA,,,,,NA,16.8618,Hakea undulata  ,9/16/1997,site_at_-32.2897_degS_and_116.1908_degE,site_at_-32.2897_degS_and_116.1908_degE,2 km N of Jarrahdale turnoff on Albany Highway. Gleneagle Rest Area.,"Donaldson, S.",-32.2897,116.1908
1159089,1417601,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 34, Wt of sample: 1.1453, Total wt: 1.1453",TSW,33.6853,gm,,NA,,,,,NA,33.6853,Hakea amplexicaulis  ,9/18/1997,site_at_-34.6183_degS_and_116.1003_degE,site_at_-34.6183_degS_and_116.1003_degE,1 km NW of Northcliffe on Pemberton-Northcliffe road.,"Donaldson, S.",-34.6183,116.1003
1159093,1417603,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 85, Wt of sample: 1.32, Total wt: 1.32",TSW,15.5294,gm,,NA,,,,,NA,15.5294,Banksia quercifolia  ,9/18/1997,site_at_-34.5908_degS_and_116.0714_degE,site_at_-34.5908_degS_and_116.0714_degE,100m SW along Rifle Range Road from Pemberton-Northcliffe road intersection towards Warren Beach.,"Donaldson, S.",-34.5908,116.0714
1159360,1417607,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1594, Total wt: 1.2331",TSW,1.594,gm,,NA,,,,,NA,1.594,Solanum lasiophyllum  ,9/2/1997,site_at_-28.3531_degS_and_116.7228_degE,site_at_-28.3531_degS_and_116.7228_degE,46 km E of Yalgoo on Geraldton Mt Magnet Road.,"Flowers, G.",-28.3531,116.7228
1149213,1417266,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 44, Wt of sample: 2.9505, Total wt: 2.9505",TSW,67.0568,gm,,NA,,,,,NA,67.0568,Banksia sphaerocarpa var. sphaerocarpa,9/13/1997,site_at_-30.1481_degS_and_115.3858_degE,site_at_-30.1481_degS_and_115.3858_degE,"2.1 km along Tootbardie Road, where gas pipeline and high voltage lines cross road (off Brand Highway).","Flowers, G.",-30.1481,115.3858
1149278,1417274,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 5, Wt of sample: 0.0281, Total wt: 0.0281",TSW,5.62,gm,,NA,,,,,NA,5.62,Drummondita hassellii  ,8/30/1997,site_at_-30.9831_degS_and_118.9194_degE,site_at_-30.9831_degS_and_118.9194_degE,3.5 km W along Corintha East Road toward Koorda-Southern Cross Road.,"Donaldson, S.",-30.9831,118.9194
1149286,1417276,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 78, Wt of sample: 4.0635, Total wt: 4.0635",TSW,52.0962,gm,,NA,,,,,NA,52.0962,Banksia shuttleworthiana  ,9/12/1997,site_at_-29.8306_degS_and_115.2564_degE,site_at_-29.8306_degS_and_115.2564_degE,"200 m S of Lake Indoon turnoff, Brand Highway, 2.8 km S of Eneabba.","Donaldson, S.",-29.8306,115.2564
1149589,1417287,NA,Seed Sample,01-FEB-04,NA,"Thousand seed weight calculated from one sample. Loaded from Excel file. No in sample: 100, Wt of sample: 0.1295, Total wt: 2.9912",TSW,1.295,gm,,NA,,,,,NA,1.295,Cephalipterum drummondii  ,9/2/1997,site_at_-28.3531_degS_and_116.7228_degE,site_at_-28.3531_degS_and_116.7228_degE,46 km E of Yalgoo on Geraldton Mt Magnet Road.,"Flowers, G.",-28.3531,116.7228
