sample,tree,taxon,locality,collector,sla_mm2_per_mg,leaf_area_cm2,leaf_mass_g,fruit_mass_mg,fruit_mass_total_mg,number_of_fruits,seed_mass_mg,seed_mass_total_mg,number_of_seeds
E. cyanophylla_Shearer Quarters_2_2_fruit,E. cyanophylla_Shearer Quarters_2_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,275,275,1,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_2_leaf,E. cyanophylla_Shearer Quarters_2_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.81333333333333,13.6,0.75,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_3_fruit,E. cyanophylla_Shearer Quarters_2_fruit,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,NA,NA,NA,243,243,1,NA,NA,NA
E. cyanophylla_Shearer Quarters_2_3_leaf,E. cyanophylla_Shearer Quarters_2_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.85753803596127,13.43,0.723,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_3_1_leaf,E. cyanophylla_Shearer Quarters_3_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.77155172413793,8.22,0.464,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_3_2_leaf,E. cyanophylla_Shearer Quarters_3_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.05333333333333,20.02,0.975,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_3_3_leaf,E. cyanophylla_Shearer Quarters_3_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.05444126074499,21.51,1.047,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_4_1_leaf,E. cyanophylla_Shearer Quarters_4_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.93684210526316,18.4,0.95,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_4_2_leaf,E. cyanophylla_Shearer Quarters_4_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.12742099898063,20.87,0.981,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_4_3_leaf,E. cyanophylla_Shearer Quarters_4_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,2.29469122426869,21.18,0.923,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_5_1_leaf,E. cyanophylla_Shearer Quarters_5_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.64316239316239,7.69,0.468,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_5_2_leaf,E. cyanophylla_Shearer Quarters_5_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.66490765171504,12.62,0.758,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_5_3_leaf,E. cyanophylla_Shearer Quarters_5_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.70975056689342,7.54,0.441,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_6_1_leaf,E. cyanophylla_Shearer Quarters_6_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.75728155339806,10.86,0.618,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_6_2_leaf,E. cyanophylla_Shearer Quarters_6_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.82981220657277,15.59,0.852,NA,NA,NA,NA,NA,NA
E. cyanophylla_Shearer Quarters_6_3_leaf,E. cyanophylla_Shearer Quarters_6_leaf,Eucalyptus cyanophylla,Shearer Quarters,L.J. Pollock,1.84419551934827,18.11,0.982,NA,NA,NA,NA,NA,NA
E. dumosa_Boinka FFG_1_1_fruit,E. dumosa_Boinka FFG_1_fruit,Eucalyptus dumosa,Boinka FFG,L.J. Pollock,NA,NA,NA,259,518,2,1.4,7,5
E. dumosa_Crest Top_1_1_leaf,E. dumosa_Crest Top_1_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.40307692307692,7.81,0.325,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_1_2_leaf,E. dumosa_Crest Top_1_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.67336683417085,5.32,0.199,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_1_3_leaf,E. dumosa_Crest Top_1_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.69924812030075,7.18,0.266,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_2_1_leaf,E. dumosa_Crest Top_2_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.19270833333333,8.42,0.384,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_2_2_leaf,E. dumosa_Crest Top_2_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.50793650793651,4.74,0.189,NA,NA,NA,NA,NA,NA
E. dumosa_Crest Top_2_3_leaf,E. dumosa_Crest Top_2_leaf,Eucalyptus dumosa,Crest Top,L.J. Pollock,2.53684210526316,4.82,0.19,NA,NA,NA,NA,NA,NA
E. dumosa_GS_1_1_fruit,E. dumosa_GS_1_fruit,Eucalyptus dumosa,GS,L.J. Pollock,NA,NA,NA,95.6,478,5,0.4,4,10
E. dumosa_GS_1_1_leaf,E. dumosa_GS_1_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.24871134020619,17.45,0.776,NA,NA,NA,NA,NA,NA
E. dumosa_GS_1_2_leaf,E. dumosa_GS_1_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.67241379310345,12.4,0.464,NA,NA,NA,NA,NA,NA
E. dumosa_GS_1_3_leaf,E. dumosa_GS_1_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.75531914893617,10.36,0.376,NA,NA,NA,NA,NA,NA
E. dumosa_GS_2_1_leaf,E. dumosa_GS_2_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.289972899729,8.45,0.369,NA,NA,NA,NA,NA,NA
E. dumosa_GS_2_2_leaf,E. dumosa_GS_2_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.63509749303621,9.46,0.359,NA,NA,NA,NA,NA,NA
E. dumosa_GS_2_3_leaf,E. dumosa_GS_2_leaf,Eucalyptus dumosa,GS,L.J. Pollock,2.88513513513514,8.54,0.296,NA,NA,NA,NA,NA,NA
E. dumosa_M08502_1_1_fruit,E. dumosa_M08502_1_fruit,Eucalyptus dumosa,M08502,L.J. Pollock,NA,NA,NA,210,630,3,NA,NA,NA
E. dumosa_M08502_1_1_leaf,E. dumosa_M08502_1_leaf,Eucalyptus dumosa,M08502,L.J. Pollock,2.75510204081633,10.8,0.392,NA,NA,NA,NA,NA,NA
E. dumosa_M08502_1_2_leaf,E. dumosa_M08502_1_leaf,Eucalyptus dumosa,M08502,L.J. Pollock,2.84886649874055,11.31,0.397,NA,NA,NA,NA,NA,NA
E. dumosa_M08502_1_3_leaf,E. dumosa_M08502_1_leaf,Eucalyptus dumosa,M08502,L.J. Pollock,2.91625615763547,11.84,0.406,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_1_fruit,E. dumosa_M0901_1_fruit,Eucalyptus dumosa,M0901,L.J. Pollock,NA,NA,NA,106,212,2,1,10,10
E. dumosa_M0901_1_1_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.62078651685393,9.33,0.356,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_2_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.66782006920415,7.71,0.289,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_3_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.75625,4.41,0.16,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_4_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,3.02564102564103,5.9,0.195,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_5_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,3.23636363636364,8.9,0.275,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_1_6_leaf,E. dumosa_M0901_1_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,3.34117647058823,5.68,0.17,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_2_1_leaf,E. dumosa_M0901_2_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.36391437308869,7.73,0.327,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_2_2_leaf,E. dumosa_M0901_2_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.51704545454545,8.86,0.352,NA,NA,NA,NA,NA,NA
E. dumosa_M0901_2_3_leaf,E. dumosa_M0901_2_leaf,Eucalyptus dumosa,M0901,L.J. Pollock,2.71341463414634,8.9,0.328,NA,NA,NA,NA,NA,NA
E. gracilis_M08501_1_1_fruit,E. gracilis_M08501_1_fruit,Eucalyptus gracilis,M08501,L.J. Pollock,NA,NA,NA,34.8,174,5,0.625,5,8
E. gracilis_M08501_1_1_leaf,E. gracilis_M08501_1_leaf,Eucalyptus gracilis,M08501,L.J. Pollock,2.53296703296703,4.61,0.182,NA,NA,NA,NA,NA,NA
E. gracilis_M08501_1_2_leaf,E. gracilis_M08501_1_leaf,Eucalyptus gracilis,M08501,L.J. Pollock,2.7020202020202,5.35,0.198,NA,NA,NA,NA,NA,NA
E. gracilis_M08501_1_3_leaf,E. gracilis_M08501_1_leaf,Eucalyptus gracilis,M08501,L.J. Pollock,2.92207792207792,4.5,0.154,NA,NA,NA,NA,NA,NA
E. incrassata_Hattah_1_1_fruit,E. incrassata_Hattah_1_fruit,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,NA,NA,NA,226,226,1,1.7,17,10
E. incrassata_Hattah_1_1_leaf,E. incrassata_Hattah_1_leaf,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,2.39145299145299,13.99,0.585,NA,NA,NA,NA,NA,NA
E. incrassata_Hattah_1_2_leaf,E. incrassata_Hattah_1_leaf,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,2.49666666666667,7.49,0.3,NA,NA,NA,NA,NA,NA
E. incrassata_Hattah_1_3_leaf,E. incrassata_Hattah_1_leaf,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,2.63793103448276,7.65,0.29,NA,NA,NA,NA,NA,NA
E. incrassata_Hattah_1_4_leaf,E. incrassata_Hattah_1_leaf,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,2.6710182767624,10.23,0.383,NA,NA,NA,NA,NA,NA
E. incrassata_Hattah_1_5_leaf,E. incrassata_Hattah_1_leaf,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,2.73417721518987,8.64,0.316,NA,NA,NA,NA,NA,NA
E. incrassata_Hattah_1_6_leaf,E. incrassata_Hattah_1_leaf,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,2.86021505376344,7.98,0.279,NA,NA,NA,NA,NA,NA
E. incrassata_Hattah_2_1_fruit,E. incrassata_Hattah_2_fruit,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,NA,NA,NA,240,240,1,NA,NA,NA
E. incrassata_Hattah_3_1_fruit,E. incrassata_Hattah_3_fruit,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,NA,NA,NA,241,241,1,NA,NA,NA
E. incrassata_Hattah_4_1_fruit,E. incrassata_Hattah_4_fruit,Eucalyptus costata subsp. murrayana,Hattah,L.J. Pollock,NA,NA,NA,263,263,1,NA,NA,NA
E. incrassata_Little Desert N_1_1_fruit,E. incrassata_Little Desert N_1_fruit,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,NA,NA,NA,422.5,1690,4,1.2,12,10
E. incrassata_Little Desert N_1_1_leaf,E. incrassata_Little Desert N_1_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,1.87193460490463,6.87,0.367,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_1_2_leaf,E. incrassata_Little Desert N_1_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.6301775147929,8.89,0.338,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_1_3_leaf,E. incrassata_Little Desert N_1_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,3.14736842105263,8.97,0.285,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_2_1_leaf,E. incrassata_Little Desert N_2_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.45705521472393,8.01,0.326,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_2_2_leaf,E. incrassata_Little Desert N_2_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.73684210526316,6.24,0.228,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_2_3_leaf,E. incrassata_Little Desert N_2_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.75714285714286,5.79,0.21,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_3_1_leaf,E. incrassata_Little Desert N_3_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.86507936507936,7.22,0.252,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_3_2_leaf,E. incrassata_Little Desert N_3_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.92664092664093,7.58,0.259,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_3_3_leaf,E. incrassata_Little Desert N_3_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,3.19369369369369,7.09,0.222,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_4_1_leaf,E. incrassata_Little Desert N_4_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.28649386084584,16.76,0.733,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_4_2_leaf,E. incrassata_Little Desert N_4_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.40292275574113,11.51,0.479,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_4_3_leaf,E. incrassata_Little Desert N_4_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.4965034965035,10.71,0.429,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_5_1_leaf,E. incrassata_Little Desert N_5_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.12068965517241,4.92,0.232,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_5_2_leaf,E. incrassata_Little Desert N_5_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.35103626943005,18.15,0.772,NA,NA,NA,NA,NA,NA
E. incrassata_Little Desert N_5_3_leaf,E. incrassata_Little Desert N_5_leaf,Eucalyptus costata subsp. murrayana,Little Desert N,L.J. Pollock,2.4380664652568,8.07,0.331,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_1_1_fruit,E. incrassata_M08501_1_fruit,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,NA,NA,NA,627,1881,3,1.6,8,5
E. incrassata_M08501_1_1_leaf,E. incrassata_M08501_1_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.06707317073171,6.78,0.328,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_1_2_leaf,E. incrassata_M08501_1_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.18965517241379,5.08,0.232,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_1_3_leaf,E. incrassata_M08501_1_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.34131736526946,3.91,0.167,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_2_1_leaf,E. incrassata_M08501_2_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.3806146572104,10.07,0.423,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_2_2_leaf,E. incrassata_M08501_2_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.39840637450199,6.02,0.251,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_2_3_leaf,E. incrassata_M08501_2_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.41860465116279,12.48,0.516,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_3_1_leaf,E. incrassata_M08501_3_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.27147766323024,13.22,0.582,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_3_2_leaf,E. incrassata_M08501_3_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.28063241106719,11.54,0.506,NA,NA,NA,NA,NA,NA
E. incrassata_M08501_3_3_leaf,E. incrassata_M08501_3_leaf,Eucalyptus costata subsp. murrayana,M08501,L.J. Pollock,2.28624535315985,12.3,0.538,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_1_1_fruit,E. incrassata_Murrayville S Rd_1_fruit,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,NA,NA,NA,149.25,597,4,NA,NA,NA
E. incrassata_Murrayville S Rd_1_1_leaf,E. incrassata_Murrayville S Rd_1_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.07636363636364,5.71,0.275,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_1_2_leaf,E. incrassata_Murrayville S Rd_1_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.29433962264151,6.08,0.265,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_1_3_leaf,E. incrassata_Murrayville S Rd_1_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.58474576271186,6.1,0.236,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_2_1_leaf,E. incrassata_Murrayville S Rd_2_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.30639730639731,6.85,0.297,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_2_2_leaf,E. incrassata_Murrayville S Rd_2_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.36996336996337,6.47,0.273,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_2_3_leaf,E. incrassata_Murrayville S Rd_2_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.42164179104478,6.49,0.268,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_3_1_leaf,E. incrassata_Murrayville S Rd_3_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.28571428571429,8.96,0.392,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_3_2_leaf,E. incrassata_Murrayville S Rd_3_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.31988472622478,8.05,0.347,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_3_3_leaf,E. incrassata_Murrayville S Rd_3_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.42561983471074,5.87,0.242,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_4_1_leaf,E. incrassata_Murrayville S Rd_4_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.1587982832618,15.09,0.699,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_4_2_leaf,E. incrassata_Murrayville S Rd_4_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.65242165242165,9.31,0.351,NA,NA,NA,NA,NA,NA
E. incrassata_Murrayville S Rd_4_3_leaf,E. incrassata_Murrayville S Rd_4_leaf,Eucalyptus costata subsp. murrayana,Murrayville S Rd,L.J. Pollock,2.7013422818792,8.05,0.298,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_1_1_fruit,E. largiflorens_Dodgeshuns Rd_1_fruit,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,NA,NA,NA,22.2,111,5,0.4,4,10
E. largiflorens_Dodgeshuns Rd_1_1_leaf,E. largiflorens_Dodgeshuns Rd_1_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.25813953488372,14.01,0.43,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_1_2_leaf,E. largiflorens_Dodgeshuns Rd_1_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.26019690576653,23.18,0.711,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_1_3_leaf,E. largiflorens_Dodgeshuns Rd_1_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.52186588921283,12.08,0.343,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_1_4_leaf,E. largiflorens_Dodgeshuns Rd_1_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,3.71681415929204,4.2,0.113,NA,NA,NA,NA,NA,NA
E. largiflorens_Dodgeshuns Rd_1_5_leaf,E. largiflorens_Dodgeshuns Rd_1_leaf,Eucalyptus largiflorens,Dodgeshuns Rd,L.J. Pollock,4.16161616161616,4.12,0.099,NA,NA,NA,NA,NA,NA
