Family,taxa,percentgerm,presowtreat,germmedium,germcond,germnotes,refdesc
AMARANTHACEAE,Achyranthes aspera,75 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 119 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,75 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 42 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,75 % germination (seeds sown: 20),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 70 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,76 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 35°C; 98 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,85 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 25°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,85 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 30/25°C (Therm 8/16); 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,86 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 35°C; 98 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,88 % germination (seeds sown: 17),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,94 % germination (seeds sown: 18),,germination medium: 1% agar,germination conditions: light 8/16; 35/20°C (Therm 8/16); 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,94 % germination (seeds sown: 50),,germination medium: 1% agar,germination conditions: light 12/12; 31°C,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,95 % germination (seeds sown: 19),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,95 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 30°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Achyranthes aspera,97 % germination (seeds sown: 100),,germination medium: 1% agar,germination conditions: light 12/12; 21/11°C (Therm 12/12),,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Alternanthera angustifolia,100 % germination (seeds sown: 19),,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 12/12; 36°C,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Alternanthera angustifolia,68 % germination (seeds sown: 19),,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 168 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Alternanthera angustifolia,80 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 133 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus cochleitepalus,100 % germination (seeds sown: 19),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 35°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus cochleitepalus,63 % germination (seeds sown: 19),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 30°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus cochleitepalus,79 % germination (seeds sown: 19),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus cochleitepalus,95 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 30°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus interruptus,100 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 30°C; 14 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus interruptus,65 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus interruptus,68 % germination (seeds sown: 19),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 30°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus interruptus,95 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 35°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus macrocarpus,94 % germination (seeds sown: 17),,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 35 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus macrocarpus,94 % germination (seeds sown: 18),,germination medium: 1% agar,germination conditions: light 8/16; 30°C; 35 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus undulatus,85 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 30°C; 35 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus undulatus,85 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 35°C; 35 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus undulatus,89 % germination (seeds sown: 19),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 35°C; 35 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus undulatus,95 % germination (seeds sown: 20),pre-sowing treatments: surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 8/16; 30°C; 35 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Amaranthus undulatus,97 % germination (seeds sown: 41),,germination medium: 1% agar with 250mg/l Gibberellic acid (GA3),germination conditions: light 12/12; 33/19°C (Therm 12/12),,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex angulata,50 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 21 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex angulata,65 % germination (seeds sown: 17),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 23/9°C (Therm 12/12); 42 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex angulata,72 % germination (seeds sown: 18),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 21°C; 42 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex angulata,78 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 28 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex angulata,79 % germination (seeds sown: 19),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 49 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex angulata,85 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure partly removed),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 49 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex bunburyana,93 % germination (seeds sown: 48),,germination medium: 1% agar,germination conditions: light 12/12; 16°C,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex crassipes,100 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 6°C,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex eardleyae,93 % germination (seeds sown: 47),,germination medium: 1% agar,germination conditions: light 12/12; 21°C,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex eichleri,100 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex eichleri,100 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 25°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex eichleri,100 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. chipped covering structure),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex elachophylla,55 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 15°C; 42 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex elachophylla,75 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 12/12; 16°C,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex elachophylla,85 % germination (seeds sown: 20),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 12/12; 23/9°C (Therm 12/12),,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex fissivalvis,100 % germination (seeds sown: 19),,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 63 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex fissivalvis,100 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed with scalpel),germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex fissivalvis,80 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 84 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex fissivalvis,90 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 42 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex fissivalvis,92 % germination (seeds sown: 50),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 56 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,100 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 15°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,100 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 30°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,100 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 5°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,66 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 10°C; 105 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,74 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 10°C; 105 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,80 % germination (seeds sown: 49),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 5°C; 105 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,80 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 5°C; 105 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,90 % germination (seeds sown: 49),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 105 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,94 % germination (seeds sown: 47),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 15°C; 105 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex holocarpa,95 % germination (seeds sown: 20),,germination medium: 1% agar,germination conditions: light 8/16; 20°C; 7 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex humifusa,100 % germination (seeds sown: 44),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 84 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex humifusa,100 % germination (seeds sown: 50),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 15°C; 5 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex humifusa,100 % germination (seeds sown: 50),pre-sowing treatments: 1. mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed); 2. surgical (seed coat partially removed with scalpel. seed coat chipped),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 25/10°C (Therm 8/16); 5 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex humifusa,100 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed. coat chipped),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 5 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex humifusa,67 % germination (seeds sown: 49),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 15°C; 84 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex humifusa,78 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar,germination conditions: light 8/16; 25/10°C (Therm 8/16); 84 days,,"RBG Kew, Wakehurst Place."
AMARANTHACEAE,Atriplex humifusa,86 % germination (seeds sown: 50),pre-sowing treatments: mechanical manipulation (other covering structure (not seed coat) removed or partially removed. covering structure removed),germination medium: 1% agar with 101mg/l Potassium Nitrate (KNO3),germination conditions: light 8/16; 15°C; 84 days,,"RBG Kew, Wakehurst Place."
