Species,family,Photosynthetic.pathway (confirmed using data from literature or TERN stable isotope analysis),Photosyntehtic.pathway (inferred from lineage),Photosynthetic pathway (combined),Source,Justification for inference based on lineage,Notes,longitude (deg),latitude (deg),site_name
Acacia chrysocephala,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia citrinoviridis,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia cochlearis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia colei,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia colletioides,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia consanguinea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia continua,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia coolgardiensis,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia cowleana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia cupularis,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,138.690175,-35.27211111,site_at_-35.272_deg_lat_138.69_deg_long
Acacia cyclops,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia cylindrica,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia dawsonii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia decora,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia dentifera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia desertorum,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia dictyophleba,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia difficilis,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia dimidiata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia duriuscula,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia effusifolia,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,120.9661222,-28.143125,site_at_-28.143_deg_lat_120.966_deg_long
Acacia enervia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia erinacea,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia estrophiolata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia euthycarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia excelsa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia fragilis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia galioides,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia georginae,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia gibbosa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia gonocarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia gonoclada,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,133.4835667,-17.45584722,site_at_-17.456_deg_lat_133.484_deg_long
Acacia hakeoides,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia hamersleyensis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia hammondii,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,135.8300389,-16.82389444,site_at_-16.824_deg_lat_135.83_deg_long
Acacia harpophylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia havilandiorum,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia hemignosta,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia hemiteles,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia hemsleyi,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia heteroneura,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia hilliana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,NA,NA,136.8470722,-18.77869167,site_at_-18.779_deg_lat_136.847_deg_long
Acacia holosericea,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia hopperiana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia inaequilatera,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia inaequiloba,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Acacia incurvaneura,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,130.4504778,-29.34649167,site_at_-29.346_deg_lat_130.45_deg_long
Acacia iteaphylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia jamesiana,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia jennerae,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia julifera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia kempeana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia lamprocarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia lasiocalyx,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia lasiocarpa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia leucolobia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia ligulata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia limbata,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia lineata,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia linifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia loderi,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia longispinea,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia lycopodiifolia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia lysiphloia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia macraneura,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,119.6314389,-22.76692778,site_at_-22.767_deg_lat_119.631_deg_long
Acacia maitlandii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia marramamba,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia melleodora,Fabaceae,C3,NA,C3,TRY,NA,NA,133.612075,-22.29108056,site_at_-22.291_deg_lat_133.612_deg_long
Acacia merrallii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia mimica,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia mimula,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia monticola,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia murrayana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia myrtifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia neurocarpa,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia neurophylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia nyssophylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia obtusifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia oldfieldii,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia oncinocarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia orthotricha,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia oswaldii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia pachyacra,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia papyrocarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia paradoxa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia paraneura,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,133.4521833,-24.63118889,site_at_-24.631_deg_lat_133.452_deg_long
Acacia phlebocarpa,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,137.0723639,-17.89570556,site_at_-17.896_deg_lat_137.072_deg_long
Acacia platycarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia plautella,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia plectocarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia prainii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia pruinocarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia pteraneura,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,NA,NA,NA,NA,no site data
Acacia pulchella,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia pycnantha,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia pyrifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia ramulosa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia resinimarginea,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia rhodophloia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia rivalis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia rothii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia sclerosperma,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia sericophylla,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia sessilis,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia shirleyi,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia sibina,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia sibirica,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,133.8965944,-25.89989167,site_at_-25.9_deg_lat_133.897_deg_long
Acacia stellaticeps,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia stenophylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia stenoptera,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia stereophylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia stipuligera,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia stowardii,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia suaveolens,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia subcontorta,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia subternata,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,135.8932111,-16.82600278,site_at_-16.826_deg_lat_135.893_deg_long
Acacia synchronicia,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia tenuissima,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia tephrina,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia terminalis,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia tetragonophylla,Fabaceae,C3,NA,C3,TRY;Pate et al 1998,NA,NA,NA,NA,no site data
Acacia thomsonii,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,137.0692639,-18.90550556,site_at_-18.906_deg_lat_137.069_deg_long
Acacia torulosa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia trachycarpa,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia translucens,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia tumida,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia ulicifolia,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia uncinella,Fabaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acacia victoriae,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia wanyu,Fabaceae,C3,NA,C3,TERN SIA,NA,NA,120.7239639,-25.09664444,site_at_-25.097_deg_lat_120.724_deg_long
Acacia wattsiana,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia xiphophylla,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acacia yorkrakinensis,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acaena echinata,Rosaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acaena novae-zelandiae,Rosaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Acetosa vesicaria,Polygonaceae,C3,NA,C3,TERN SIA,NA,NA,118.268075,-22.72358889,site_at_-22.724_deg_lat_118.268_deg_long
Acetosella vulgaris,Polygonaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,Non C4 anatomy recorded in Rumex sp,"Name not current, more recently known as Rumex acetosella",NA,NA,no site data
Achyranthes aspera,Amaranthaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Acrothamnus hookeri,Eriaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Acrotriche affinis,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are  C3,NA,NA,NA,no site data
Acrotriche depressa,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acrotriche fasciculiflora,Ericaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Acrotriche serrulata,Ericaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Actinobole condensatum,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,114.6921583,-27.60539444,site_at_-27.605_deg_lat_114.692_deg_long
Actinobole uliginosum,Asteraceae,C3,NA,C3,TERN SIA,NA,NA,138.5795583,-30.76085556,site_at_-30.761_deg_lat_138.58_deg_long
Actinotus helianthi,Apiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Actinotus minor,Apiaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Adansonia gregorii,Malvaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Adenanthos cuneatus,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Adenanthos cygnorum,Proteaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Adenanthos obovatus,Proteaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Adiantum aethiopicum,Pteridaceae,C3,NA,C3,TERN SIA,NA,NA,138.78705,-34.88775556,site_at_-34.888_deg_lat_138.787_deg_long
Aerva javanica,Amaranthaceae,C4,NA,C4,Sage et al 2007,NA,NA,NA,NA,no site data
Aeschynomene indica,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Agonis theiformis,Myrtaceae,C3,NA,C3,TERN SIA,NA,NA,117.1554361,-34.61917222,site_at_-34.619_deg_lat_117.155_deg_long
Agrostis bettyae,Poaceae,U,C3,C3,Metcalfe 1960; Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Agrostis capillaris,Poaceae,U,C3,C3,Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Agrostis venusta,Poaceae,U,C3,C3,Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,no site data
Agrostocrinum scabrum,Hemerocallidaceae,U,NA,C3,TRY,NA,NA,NA,NA,no site data
Aira cupaniana,Poaceae,C3,NA,C3,TRY,NA,NA,138.6040389,-35.46094167,site_at_-35.461_deg_lat_138.604_deg_long
Aira elegantissima,Poaceae,C3,NA,C3,TRY,NA,NA,138.6790056,-35.08308056,site_at_-35.083_deg_lat_138.679_deg_long
Ajuga iva,Lamiaceae,U,C3,C3,Sage 2016 (and references therein); Watson and Dallwitz 1992 onwards,No evidence of a C4 species in this lineage; Other known species in this lineage (family) are C3,NA,NA,NA,no site data
Albizia lebbeck,Fabaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Alectryon oleifolius,Sapindaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina acutivalvis,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina campestris,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina corniculata,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina decaisneana,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina fraseriana,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina humilis,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina littoralis,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina muelleriana,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina nana,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina spinosissima,Casuarinaceae,C3,NA,C3,TERN SIA,NA,NA,NA,NA,no site data
Allocasuarina striata,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
Allocasuarina verticillata,Casuarinaceae,C3,NA,C3,TRY,NA,NA,NA,NA,no site data
