species,herbarium voucher,native to,voucher location,lat,long,alt,leaf type,stomatal distribution,habitat,woodiness,habit,Guard cell length,Total vein density (mm/mm2),leaf mass per unit area gm-2,total stomatal density (mm-2),adaxial stomatal density (mm-2),adaxial stomatal density (mm-2),dense hairs covering the stomata,tightly revolute leaves (1=linear leaves with revolute margins appressed to either midrib or other margin,deep longitudinal grooves etc (n=none;g=grooves;(g) grooves but stomata not restricted to grooves),Banksia-type pits,hakea-type pits,telopea-type papillae,lamina thickness (microns),epidermal width (microns),palisade width (microns),epidermal cell density,stomatal index,leaf area (cm2),adult leaf type,juvenile leaf type,leaf form,adaxial hypodermis,adaxial cuticle thickness (microns),ad papillae5,ad trichomes,ab hypo,ab cut thick,bundle sheath extensions,lignified margins,sclereids at vein endings,sclereids protruding from bundle sheaths,bundle sheaths 1= large parenchyma-like cells; 3=bundles sheaths surrounded by sclereids; 4= bundles embedded in a lignified core,crystals in mesophyll,hypodermal structures (0=no specialised structure; 1 = lignified adaxial hypodermis; 2 = lignified abaxial hypodermis; 3 = hypodermis of extension of bundle sheath extensions; 4=Orites milliganii upper type; 5 = Orites milliganii lower type; 6 = ideosclereids extending under adaxial hypodermis),compound midribs,ideosclereids (0=absent; 1=ordinary; 2= branched; 3=asterosclereids; 4=osteosclereids;5=dense clusters of sclereids),clade,group,veg type,"stomatal distribution (amphistomatic, hypostomatic or unevenly amphistomatic [=""functionally hypostomatic"")"
Xylomelum pyriforme,HO528955,eNSW,"North Head, Sydney",-33.165214,151.500856,80,"simple,entire",hypostomatic,dry and wet sclerophyll,woody,perennial,33.81,11.441,184.22,226.706,,226.706,n,n,n,0,0,0,359.04,24.95742472,18.223,,,31.7,"simple,entire",,hypostomatic,0,15,0,0,0,7,0,0,0,0,3,0,0,1,0,,,open,hypo
Banksia ericifolia,HO528961,eNSW,"Cultivated.  University of Tasmania Latitude: 42° 54’ 20” S, longitude: 147° 19’ 55” E. ","42° 54' 20"" S","147° 19' 55"" E. ",,,hypostomatic,"swampy woodland, sclerophylls, heaths, 800-1100mm",woody,perennial,28.6,,213.6,,,,y,y,n,0,0,0,265,,,,,0.1086,,,hypostomatic,1,7,0,0,0,1,0,0,0,0,0,0,"1,3",1,0,,,open,hypo
Hakea teretifolia,,"eNSW, Vic, Tas",,,,,terete,amphistomatic,heathlands,woody,perennial,65.81,,,,,,n,n,n,0,1,0,,,,,,,terete,,,,,,,,,,,,,,,,,,A2,teretifolia,open,terete
Grevillea decora,,eQld,,,,,"simple, entire",hypostomatic,"open woodlands, heath",woody,perennial,23.93,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea banksii,,eQld,,,,,"simple, pinnatipartite",hypostomatic,open woodlands,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, pinnatipartite",,,,,,,,,,,,,,,,,,,,open,hypo
Banksia robur,,eQld,,,,,,hypostomatic,"swampy woodlands, 800-1000mm",woody,perennial,28.6,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Stenocarpus salignus,HO528930,"eQld, eNSW","Cultivated, Royal Tasmanian Botanic Gardens",42° 52'S,47° 20' E,,,hypostomatic,variety of forests,woody,perennial,32.4,,136.16,,,,n,n,n,0,0,0,319,,,,,30.213,,,hypostomatic,1,7,0,0,0,5,0,0,0,0,3,0,6,0,2,,,both,hypo
Eidothea hardeniana,NSW497582,ne NSW ,"Cultivated, Sydney Botanic Garden",,,,"simple, toothed",hypostomatic,rainforest,woody,perennial,32.3,8.278926977,204.038,128.9390048,,128.9390048,n,n,n,0,0,0,250,28.08501714,20.866,,,19.6900252,"simple, toothed",,hypostomatic,0,7,0,0,0,3,1,0,0,0,3,0,0,0,0,,,closed,hypo
Persoonia media,,"ne NSW, se QLD",,,,,"simple, entire",uneven amphistomatic,dry sclerophyll to rainforest,woody,perennial,54.2,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Carnarvonia araliifolia,HO528937,ne Qld,"State forest 143. 15km along Mt Lewis road, Mt Lewis",-16.583323,145.298069,940,"compound, palmate",hypostomatic,rainforest,woody,perennial,41.31,6.332922523,136.978,144.5250383,,144.5250383,n,n,n,0,0,0,361.8,40.83983727,21.188,,,399.6710718,"compound, palmate",,hypostomatic,0,1,0,0,0,1,0,0,0,0,3,0,0,1,0,,,closed,hypo
Eidothea zoexylocarya,,ne Qld,,,,,"simple, entire",hypostomatic,rainforest,woody,perennial,31.47578125,,,,,,n,n,n,0,0,0,291,22.63,24.5,,,,"simple, entire",,hypostomatic,1,3,0,0,1,3,0,0,0,0,3,0,"1,2",0,0,,,closed,hypo
Placospermum coriaceum,HO528951,ne Qld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,"simple, lobed (pinnatifid) & entire",hypostomatic,rainforest  ,woody,perennial,62.65306667,3.183286099,110.6,43.184,,43.184,n,n,n,0,0,0,611,85.65745967,30.702,,,249.325,"simple, lobed (pinnatifid) & entire",,hypostomatic,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,,,closed,hypo
Athertonia diversifolia,QRS117319,ne Qld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,"simple, lobed, toothed",hypostomatic,rainforest,woody,perennial,19.4,7.133123585,94.08,266.8518,,266.8518,n,n,n,0,0,0,175.8,18.78199565,22.148,,,660.1045293,"simple, lobed, toothed",,hypostomatic,0,2,0,0,0,2,0,0,0,0,3,0,0,2,0,,,closed,hypo
Cardwellia sublimis,HO528938,ne Qld,"Malanda road, Milla Milla",-17.315264,145.664734,740,,hypostomatic,rainforest,woody,perennial,26.5,9.120039805,130.43,247.9596,,247.9596,n,n,n,0,0,0,222.4,21.01871621,17.214,,,86.2,,,hypostomatic,0,4,0,0,0,2,0,0,0,0,3,0,0,2,0,,,closed,hypo
Persoonia virgata,,ne Qld to ne NSW,,,,,"simple, entire",amphistomatic,heath to dry sclerophyll,woody,perennial,75,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Telopea aspera,,neNSW,,,,,"simple,toothed",hypostomatic,dry sclerophyll,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple,toothed",,,,,,,,,,,,,,,,,,,,open,hypo
Grevillea hilliana,HO528928,"neNSW, eQld","Cultivated.  University of Tasmania Latitude: 42° 54’ 20” S, longitude: 147° 19’ 55” E. ","42° 54' 20"" S","147° 19' 55"" E. ",,"simple, lobed, entire",hypostomatic,rainforests,woody,perennial,23.15,7.620773279,162.86,245.5981,,245.5981,y,n,n,0,0,0,337.5,21.80327507,17.233,,,67.85,"simple, lobed, entire",,hypostomatic,0,5,0,0,0,1,0,0,0,0,3,0,0,1,0,,,closed,hypo
Stenocarpus sinuatus,HO528953,"neNSW, Qld, PNG","cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,"lobed, entire",hypostomatic,rainforests,woody,perennial,31.34453333,6.337536745,201.864,196.006,,196.006,n,n,n,0,0,0,328.75,22.51343992,16.803,,,154.4607376,"lobed, entire",,hypostomatic,1,2,0,0,0,2,1,0,0,0,3,0,1,3,0,,,closed,hypo
Floydia praealta,NSW427627,"neNSW, seQld","Cultivated, Royal Botanic Gardens Sydney (bed 100).","33° 52'  30"" S","151° 12' 3"" E.",,"simple, entire",hypostomatic,rainforest,woody,perennial,27.75,12.44056943,110.3,325.8898,,325.8898,n,n,n,0,0,0,246,16.33006827,12.29,,,58.75,"simple, entire",,hypostomatic,0,3.5,0,0,0,2,1,0,0,0,3,1,0,1,0,,,closed,hypo
Macadamia integrifolia,,"neNSW, seQld",,,,,,hypostomatic,rainforest,woody,perennial,,,,,,,n,n,n,0,0,0,265,,,,,,,,hypostomatic,0,7,0,0,0,3,1,0,0,0,3,1,0,1,0,,,closed,hypo
Macadamia tetraphylla,,"neNSW, seQld",,,,,,hypostomatic,rainforest,woody,perennial,26.86,,,,,,n,n,n,0,0,0,,,,,,,,,hypostomatic,0,4,0,0,0,2,1,0,0,0,3,0,0,1,0,,,closed,hypo
Austromuellera trinervia,HO528940,neQld,"Malanda road, Milla Milla","17° 21' 30"" S","145° 41' 00"" E",760m,"compound imparipinnate, entire",hypostomatic,rainforest,woody,perennial,22.65,12.80455209,149.66,520.870306,,520.870306,n,n,n,0,0,0,196.25,16.67654301,14.704,,,429.07,"compound imparipinnate, entire",,hypostomatic,0,2,0,0,0,2,1,0,0,0,3,0,0,2,0,,,closed,hypo
Stenocarpus davallioides,,neQld,,,,,"pinnately lobed,entire",hypostomatic,rainforest,woody,perennial,34.4,,,,,,n,n,n,0,0,0,,,,,,,"pinnately lobed,entire",,unevenly amphi,0,2,0,0,0,2,0,0,0,0,1,0,0,0,0,,,closed,uneven amphi
Sphalmium racemosum,HO528952,neQld,"15.5km along Mt Lewis road, Mt Lewis",-16.581934,145.267515,,"simple or lobed to compound, entire",hypostomatic,rainforest,woody,perennial,59.60966667,3.524587679,190.524,45.07702137,,45.07702137,n,n,n,0,0,0,452,67.97705364,27.764,,,13.903763,"simple or lobed to compound, entire",,hypostomatic,0,3,0,0,0,2,0,0,0,0,1,0,0,0,0,,,closed,hypo
Catalepidia heyana,HO528936,neQld,Mt Bartle Frere Track near Bobbin Bobbin Falls,-17.376374,145.800566,700,"simple, entire",hypostomatic,rainforest,woody,perennial,26.6,7.578670282,198.03,340.0589,,340.0589,n,n,n,0,0,0,307,20.08792627,24.078,,,43.44,"simple, entire",,hypostomatic,0,10,0,0,0,3.5,0,0,0,0,3,0,0,2,0,,,closed,hypo
Grevillea coriacea,,neQld,,,,,"simple, entire",hypostomatic,open woodlands,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
Hollandaea riparia,,neQld,,,,,"simple, entire",hypostomatic,rainforest,woody,perennial,32.95,,,,,189.8913892,n,n,n,0,0,0,,,,1307.056151,12.68054119,,"simple, entire",,,,,,,,,,,,,,,,,,,,closed,hypo
Musgravea stenostachya,,neQld,,,,,"simple, entire",hypostomatic,rainforest,woody,perennial,22.49,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,closed,hypo
Helicia grayi,,neQld,,,,,"simple, entire or rare teeth",hypostomatic,rainforest,woody,perennial,26.27,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire or rare teeth",,,,,,,,,,,,,,,,,,,,closed,hypo
Helicia lamingtoniana,,neQld,,,,,"simple, entire or rare teeth",hypostomatic,rainforest,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, entire or rare teeth",,,,,,,,,,,,,,,,,,,,closed,hypo
Helicia blakei,,neQld,,,,,"simple, entire to toothed",hypostomatic,rainforest,woody,perennial,22.69,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire to toothed",,,,,,,,,,,,,,,,,,,,closed,hypo
Darlingia darlingiana,,neQld,,,,,"simple, lobed, entire",hypostomatic,rainforest,woody,perennial,36.01,,,,,126.8900405,n,n,n,0,0,0,255,24.77,,1065.698871,10.64512986,,"simple, lobed, entire",,hypostomatic,0,5,0,0,0,1,0,0,0,0,3,0,0,1,2,,,closed,hypo
Darlingia ferruginea,QRS127631,neQld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,"simple, lobed, entire",hypostomatic,rainforest,woody,perennial,38.19,10.80143767,234,177.114,,177.114,y,n,n,0,0,0,244,31.72776703,13.54,,,99.43,"simple, lobed, entire",,hypostomatic,,,,,,,,,,,,,,,,,,closed,hypo
Megahertzia amplexicaulis,QRS95537,neQld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,"simple, lobed, toothed to entire",hypostomatic,rainforest,woody,perennial,23.22,12.79354373,113.74,302.865,,302.865,n,n,n,0,0,0,291.25,17.28730677,19.123,,,150.1867,"simple, lobed, toothed to entire",,hypostomatic,0,5,0,0,0,4,0,0,0,0,3,0,0,2,0,,,closed,hypo
Musgravea heterophylla,QRS500725,neQld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,"simple, sometimes pinnately lobed, entire",hypostomatic,rainforest,woody,perennial,19.08,13.20758175,147.444,443.9685,,443.9685,y,n,n,0,0,0,218,17.28145773,18.589,,,259.25,"simple, sometimes pinnately lobed, entire",,hypostomatic,0,4,0,0,0,1.5,1,0,0,0,3,0,0,2,0,,,closed,hypo
Helicia lewisensis,,neQld,,,,,"simple, toothed",hypostomatic,rainforest,woody,perennial,24.98,,,,,,n,n,n,0,0,0,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,closed,hypo
Helicia nortoniana,,neQld,,,,,"simple, toothed",hypostomatic,rainforest,woody,perennial,,,,,,,n,n,,,,,,,,,,,"simple, toothed",,,,,,,,,,,,,,,,,,,,closed,hypo
Hollandaea sayeriana,HO529249,neQld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,"simple, toothed",hypostomatic,rainforest,woody,perennial,28.57,5.212092897,201.67,188.9216,,188.9216,n,n,n,0,0,0,397.75,24.14,39.92,,,122.53,"simple, toothed",,hypostomatic,0,2,0,0,0,2,0,0,0,0,3,1,0,1,1,,,closed,hypo
Triunia montana,HO528954,neQld,"Mt Bartle Frere, NW peak. Bellenden Ker National Park",-17.381929,145.800844,1400,"simple,entire",hypostomatic,rainforest,woody,perennial,33.6995,6.661279101,92.3937,137.4404776,,137.4404776,n,n,n,0,0,0,269.25,31.54853084,23.74,,,30.45957633,"simple,entire",,hypostomatic,0,2,0,0,0,1,0,0,0,0,3,0,0,1,0,,,closed,hypo
Triunia erythrocarpa,,neQld,,,,,"simple,entire (juvenile toothed)",hypostomatic,rainforest,woody,perennial,25.43,,,,,,n,n,n,0,0,0,,,,,,,"simple,entire (juvenile toothed)",,hypostomatic,0,5,0,0,0,2,0,0,0,0,3,0,0,0,0,,,closed,hypo
Austromuellera valida,,neQld,,,,,"usually simple, sometimes trifoliate or compound pinnate",hypostomatic,rainforest,woody,perennial,25.32,,,,,,n,n,n,0,0,0,,,,,,,"usually simple, sometimes trifoliate or compound pinnate",,,,,,,,,,,,,,,,,,,,closed,hypo
Alloxylon brachycarpum,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,31.2,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Alloxylon flammeum,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,28.76,,,,,,n,n,n,0,0,0,343,26.06,21.34,,,,,,hypostomatic,0,3,0,0,0,1,0,0,0,0,3,0,0,1,3,,,closed,hypo
Alloxylon wickhamii,HO528941,neQld,"cultivated Tolga, garden of Gary Sankowsky","17° 14' 00"" S","145° 29' 00""E",,,hypostomatic,rainforest,woody,perennial,31.9,4.886303,135.7785731,,,,n,n,n,0,0,0,485,30.19,18.47,,,45.478457,,,hypostomatic,0,2,0,0,0,2,0,0,0,0,3,0,0,1,3,,,closed,hypo
Banksia aquilonia,,neQld,,,,,,hypostomatic,"sclerophyll forest, woodland, 1000-4000mm ",woody,perennial,25.5,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Banksia plagiocarpa,,neQld,,,,,,hypostomatic,"shrublands, 2400mm",woody,perennial,32.6,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Bleasdalea bleasdalei,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,28,,,,,,n,n,n,0,0,0,,,,,,,,,hypostomatic,0,4,0,0,0,1,0,0,0,0,3,0,0,2,0,,,closed,hypo
Buckinghamia celsissima,HO529252,neQld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,,hypostomatic,rainforest,woody,perennial,22.42,8.511318092,156.31,311.7207,,311.7207,n,n,n,0,0,1,289,18.9479112,14.796,,,39.15,,,hypostomatic,0,6,0,0,0,2,0,0,0,0,3,0,0,2,2,,,closed,hypo
Buckinghamia ferruginiflora,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,23.98,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Hicksbeachia pilosa,HO528945,neQld,"cultivated Tolga, garden of Gary Sankowsky","17° 14' 00"" S","145° 29' 00""E",,,hypostomatic,rainforest,woody,perennial,31.15,6.251609593,150.93,106.48,,106.48,n,n,n,0,0,0,270,39.61091503,41.651,,,560.0086933,,,hypostomatic,,,,,,,,,,,,,,,,,,closed,hypo
Lasjia claudiensis,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,30.5,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Lasjia grandis,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,27,,,,143.7495563,711.6490381,n,n,n,0,0,0,212,,,9.480812641,,,,,hypostomatic,1,1,0,0,0,1,0,0,0,0,3,0,1,2,0,,,closed,hypo
Lasjia whelanii,HO529245,neQld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,,hypostomatic,rainforest,woody,perennial,25.6,11.46128427,109.45,358.9510755,,358.9510755,n,n,n,0,0,0,338,19.81712371,20.68,,,19.07,,,hypostomatic,0,3,0,0,0,2,1,0,0,0,3,0,0,2,2,,,closed,hypo
Lomatia fraxinifolia,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,29,,,,,181.0179598,y,n,n,0,0,0,309,,,576.7729112,23.93906899,,,,hypostomatic,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,,,closed,hypo
Neorites kevedianus,QRS119661,neQld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,,hypostomatic,rainforest,woody,perennial,35.02,6.630776172,82.55,196.0062,,196.0062,n,n,n,0,0,0,221.25,24.62272261,18.35,,,368,,,hypostomatic,0,2,0,0,0,2,0,0,0,0,3,0,0,2,0,,,closed,hypo
Nothorites megacarpus,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,28.6,,,,,,n,n,n,0,0,0,320,,,,,,,,hypostomatic,0,13,0,0,0,8,0,0,0,0,3,0,0,1,0,,,closed,hypo
Opisthiolepis heterophylla,HO529251,neQld,"cultivated, CSIRO Arboretum, Atherton",17° 15' S,145° 29' E,,,hypostomatic,rainforest,woody,perennial,21,5.878315982,89.49,250.3211448,,250.3211448,n,n,n,0,0,0,270,20.82843806,14.475,,,435.168,,,hypostomatic,0,2,0,0,0,1,0,0,0,0,1,0,0,1,2,,,closed,hypo
Stenocarpus angustifolius,,neQld,,,,,,amphistomatic,sclerophyll woodland,woody,perennial,34.6,,,,,,n,n,n,0,0,0,342,,,,,,,,amphistomatic,1,4,0,0,0,4,0,0,0,0,1,0,6,0,2,,,open,amphi
Stenocarpus cryptocarpus,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,34.3,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Stenocarpus reticulatus,,neQld,,,,,,hypostomatic,rainforest,woody,perennial,35.7,,,,,,n,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,closed,hypo
Banksia spinulosa,HO528956,"neQld, NSW, Vic","Cultivated, Royal Tasmanian Botanic Gardens",42° 52'S,47° 20' E,,,hypostomatic,"woodlands, shrublands, heaths, 600-1400mm",woody,perennial,27.2,13.5805,149.78,,,,y,n,n,0,0,0,228,,,,,2.0102,,,hypostomatic,1,5,0,0,0,1.5,0,0,0,0,0,0,1,1,0,,,open,hypo
Grevillea glauca,,"neQld, PNG",,,,,"simple, entire",amphistomatic,open woodland,woody,perennial,28.1,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Grevillea baileyana,,"neQld, PNG",,,,,"simple, lobed, entire",hypostomatic,rainforests,woody,perennial,28.37,,,,,,y,n,n,0,0,0,,,,,,,"simple, lobed, entire",,,,,,,,,,,,,,,,,,,,closed,hypo
Petrophile sessilis,,NSW,,,,,simple divaricately divided,amphistomatic,heath to dry sclerophyll,woody,perennial,,,,,,,n,n,,,,,,,,,,,simple divaricately divided,,,,,,,,,,,,,,,,,,,,open,terete
Isopogon anemonifolius,,NSW,,,,,simple to 2-3 lobed to pinnatisect,unevenly amphistomatic,"heath, dry to wet sclerophyll",woody,perennial,36.50291176,,,,,,n,n,n,0,0,0,486,,,,,,simple to 2-3 lobed to pinnatisect,,amphistomatic,0,7,0,0,0,4,0,0,0,0,1,0,0,0,1,,,open,amphi
Grevillea acanthifolia,,NSW,,,,,"simple, deeply bipinnatifid to bipinnatisect",hypostomatic,montane swamps,woody,perennial,,,,,,,y,n,,,,,,,,,,,"simple, deeply bipinnatifid to bipinnatisect",,,,,,,,,,,,,,,,,,,,open,hypo
Conospermum longifolium,,NSW,,,,,"simple, entire",amphistomatic,open forest,woody,perennial,25.2,7.948,173.7248423,292.2316083,142.5664324,149.6651759,n,n,n,0,0,0,590,32.94477935,23.071,,,8.671183582,"simple,entire",,amphistomatic,0,5.4,0,0,0,4.6,0,0,0,0,3,0,0,0,0,,,open,amphi
Persoonia hirsuta,,NSW,,,,,"simple, entire",amphistomatic,dry sclerophyll to forest,woody,perennial,68.2,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia lanceolata,,NSW,,,,,"simple, entire",amphistomatic,heath to dry sclerophyll,woody,perennial,68.6,4.029,133.5638919,50.03923422,23.33883669,26.70039753,n,n,n,0,0,,405,92.3853963,25.33,,,5.238691313,"simple, entire",,amphistomatic,,,,,,,,,,,,,,,,,,open,
Symphionema montanum,HO500688,NSW,"Wentworth Falls, Blue Mountains. Valley Road, near junction with Great Western Highway",-33.716667,150.35,,"simple, pinnatisect",hypostomatic,moist heath or open forest,woody,perennial,41,,63,,,207.638248,n,n,n,0,0,0,267,,,459.6436431,31.15565032,3.86,"simple, pinnatisect",,hypostomatic,0,,0,0,0,,,,0,0,0,,0,0,0,,,open,hypo
Symphionema paludosum,,NSW,,,,,"simple, pinnatisect",amphistomatic,heath or open woodland,woody,perennial,50,,,,,89.62163697,n,n,n,0,0,0,,,,284.3934124,23.95697568,,"simple, pinnatisect",,,,,,,,,,,,,,,,,,,,open,amphi
Telopea speciosissima,,NSW,,,,,"simple,toothed",hypostomatic,sclerophyll woodland,woody,perennial,38.2,,,,,,n,n,n,0,0,0,492,,,,,,"simple,toothed",,hypostomatic,0,10,0,0,0,5,0,0,0,0,1,0,0,1,2,,,open,hypo
Banksia integrifolia,,NSW,,,,,,hypostomatic,"sclerophyll forest, woodland",woody,perennial,30.6,,,,,,y,n,n,0,0,0,263,,,,,,,,hypostomatic,1,5,0,0,0,0.5,1,0,0,0,3,0,"1,3",1,0,,,open,hypo
Banksia paludosa,,NSW,,,,,,hypostomatic,"swampy woodlands, 800-1000mm",woody,perennial,32.4,,,,,,y,n,n,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,open,hypo
Persoonia levis,,"NSW, Vic",,,,,"simple, entire",amphistomatic,heath to dry sclerophyll,woody,perennial,67.4,,,,,,n,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia linearis,,"NSW, Vic",,,,,"simple, entire",amphistomatic,"sclerophyll forest, woodland",woody,perennial,60,,,,,58.56463406,n,n,n,0,0,0,,,,358.9302194,14.04961923,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,amphi
Persoonia silvatica,,"NSW, Vic",,,,,"simple, entire",hypostomatic,dry to wet sclerophyll,woody,perennial,70.8157619,,,,,,y,n,n,0,0,0,,,,,,,"simple, entire",,,,,,,,,,,,,,,,,,,,open,hypo
