Species,Long,Lat,log_LA.SA,Sample,basis_of_record,entity_type,value_type,Height,Alpha,MI,References,location_name,source_id
Eucalyptus gomphocelia,116.15,-32.15,3.899629455,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.869666232,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.772113295,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.954677021,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.756961951,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.91721463,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.732828272,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.896196279,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.847711656,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.694648631,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.718966633,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.504455662,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.838631998,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.860120914,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.826813732,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.512861625,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.974694135,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.772113295,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.850780887,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.844663963,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus gomphocelia,116.15,-32.15,3.821023053,branch sample,field,individual,raw,,0.476803907,0.523414345,Drake et al. 2011,lat_-32.15_lon_116.15,Drake_2011
Eucalyptus miniata and Eucalyptus tetrodonta,130.75,-12.05,3.517126416,trunk sample,field,individual,raw,,,,Eamus et al. 2000 ,lat_-12.05_lon_130.75,Eamus_2000 
Eucalyptus miniata and Eucalyptus tetrodonta,130.75,-12.05,3.305394801,trunk sample,field,individual,raw,,,,Eamus et al. 2000 ,lat_-12.05_lon_130.75,Eamus_2000 
Eucalyptus miniata and Eucalyptus tetrodonta,132.65,-14.06666667,3.665546249,trunk sample,field,individual,raw,,0.475587781,0.566883526,Eamus et al. 2000 ,lat_-14.07_lon_132.65,Eamus_2000 
Eucalyptus miniata and Eucalyptus tetrodonta,132.65,-14.06666667,3.28567024,trunk sample,field,individual,raw,,0.46911471,0.715429989,Eamus et al. 2000 ,lat_-14.07_lon_132.65,Eamus_2000 
Eucalyptus miniata and Eucalyptus tetrodonta,133.7666667,-17.11666667,3.91721463,trunk sample,field,individual,raw,,0.25952414,0.268446874,Eamus et al. 2000 ,lat_-17.12_lon_133.77,Eamus_2000 
Eucalyptus miniata and Eucalyptus tetrodonta,133.7666667,-17.11666667,3.504455662,trunk sample,field,individual,raw,,0.195948825,0.195999887,Eamus et al. 2000 ,lat_-17.12_lon_133.77,Eamus_2000 
Eucalyptus camaldulensis,140.8666667,-33.98333333,3.663540266,trunk sample,field,individual,raw,28.55,0.238728902,0.297369508,Eldridge et al. 1993 ,lat_-33.98_lon_140.87,Eldridge_1993 
Eucalyptus largiflorens ,140.8666667,-33.98333333,3.586700236,trunk sample,field,individual,raw,7.56,0.238728902,0.297369508,Eldridge et al. 1993 ,lat_-33.98_lon_140.87,Eldridge_1993 
Eucalyptus largiflorens ,140.8666667,-33.98333333,3.562249437,trunk sample,field,individual,raw,9.675,0.238728902,0.297369508,Eldridge et al. 1993 ,lat_-33.98_lon_140.87,Eldridge_1993 
Eucalyptus largiflorens ,140.8666667,-33.98333333,3.488116639,trunk sample,field,individual,raw,11.2,0.238728902,0.297369508,Eldridge et al. 1993 ,lat_-33.98_lon_140.87,Eldridge_1993 
Eucalyptus largiflorens ,140.8666667,-33.98333333,3.393618635,trunk sample,field,individual,raw,8.875,0.238728902,0.297369508,Eldridge et al. 1993 ,lat_-33.98_lon_140.87,Eldridge_1993 
Eucalyptus largiflorens ,140.8666667,-33.98333333,3.478861916,trunk sample,field,individual,raw,6.52,0.238728902,0.297369508,Eldridge et al. 1993 ,lat_-33.98_lon_140.87,Eldridge_1993 
Eucalyptus globulus ,143.7877778,-37.68777778,3.829738285,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.829738285,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.8569852,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.841637508,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.8569852,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.64,-37.6125,3.617982957,trunk sample,captive_cultivated,individual,raw,,0.543542811,0.672743735,Forrester et al. 2010,lat_-37.61_lon_143.64,Forrester_2010
Eucalyptus globulus ,143.64,-37.6125,3.634512015,trunk sample,captive_cultivated,individual,raw,,0.543542811,0.672743735,Forrester et al. 2010,lat_-37.61_lon_143.64,Forrester_2010
Eucalyptus globulus ,143.64,-37.6125,3.59345982,trunk sample,captive_cultivated,individual,raw,,0.543542811,0.672743735,Forrester et al. 2010,lat_-37.61_lon_143.64,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.490797478,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.542118103,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.559090918,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.580044252,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.568636236,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.64,-37.6125,3.440093375,trunk sample,captive_cultivated,individual,raw,,0.543542811,0.672743735,Forrester et al. 2010,lat_-37.61_lon_143.64,Forrester_2010
Eucalyptus globulus ,143.64,-37.6125,3.504455662,trunk sample,captive_cultivated,individual,raw,,0.543542811,0.672743735,Forrester et al. 2010,lat_-37.61_lon_143.64,Forrester_2010
Eucalyptus globulus ,143.64,-37.6125,3.527243551,trunk sample,captive_cultivated,individual,raw,,0.543542811,0.672743735,Forrester et al. 2010,lat_-37.61_lon_143.64,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.504455662,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.490797478,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.585026652,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.543633967,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,143.7877778,-37.68777778,3.455931956,trunk sample,captive_cultivated,individual,raw,,0.55289778,0.692251441,Forrester et al. 2010,lat_-37.69_lon_143.79,Forrester_2010
Eucalyptus globulus ,144.0305556,-37.61111111,3.524328812,trunk sample,captive_cultivated,individual,raw,,0.5949556,0.758617039,Forrester et al. 2010,lat_-37.61_lon_144.03,Forrester_2010
Eucalyptus globulus ,144.0305556,-37.61111111,3.473660723,trunk sample,captive_cultivated,individual,raw,,0.5949556,0.758617039,Forrester et al. 2010,lat_-37.61_lon_144.03,Forrester_2010
Eucalyptus globulus ,144.0305556,-37.61111111,3.48148606,trunk sample,captive_cultivated,individual,raw,,0.5949556,0.758617039,Forrester et al. 2010,lat_-37.61_lon_144.03,Forrester_2010
Acacia mearnsii ,149.0166667,-37.58333333,3.400116928,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.293282218,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.375717904,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.401209493,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.344861565,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.354577731,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.40560745,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.567030709,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.452225295,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.366531544,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.3400838,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Acacia mearnsii ,149.0166667,-37.58333333,3.358525889,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.277366077,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.590066877,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.354577731,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.163675884,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.338187314,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.355561411,trunk sample,captive_cultivated,individual,raw,,0.71471003,0.939638996,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.312471039,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
Eucalyptus globulus ,149.0166667,-37.58333333,3.251037139,trunk sample,captive_cultivated,individual,raw,,0.694352336,0.68376656,Forrester et al. 2010_2,lat_-37.58_lon_149.02,Forrester_2010_2
