speciesName,genus,speciesEpithet,family,speciesNameComments,photosyntheticPathway_confirmed,photosyntheticPathway_inferred,photosyntheticPathway_combined,source,justification,notes,d13C_perMil,d13CReplicate_perMil,ternVegetationBarcode,ternPrimaryGeneticBarcode,plantMaterialType,ternPlot,latitude,longitude,dateSurveyed,d13CAdditionalSample_perMil,ternPlotAdditionalSample,ternPrimaryGeneticBarcodeAdditionalSample,plantMaterialTypeAdditionalSample,latitudeAdditionalSample,longitudeOfAdditionalSample,dateSurveyedAdditionalSample,facilityYear,species_name,taxon_name,old_pathway,photosyntheticPathway_combined2
Acacia_bivenosa,Acacia,bivenosa,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia bivenosa,Acacia bivenosa,c3,NA
Acacia_brachystachya,Acacia,brachystachya,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia brachystachya,Acacia brachystachya,c3,NA
Acacia_browniana,Acacia,browniana,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia browniana,Acacia browniana,c3,NA
Acacia_brownii,Acacia,brownii,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia brownii,Acacia brownii,c3,NA
Acacia_burkittii,Acacia,burkittii,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia burkittii,Acacia burkittii,c3,NA
Acacia_buxifolia,Acacia,buxifolia,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia buxifolia,Acacia buxifolia,c3,NA
Acacia_caesaneura,Acacia,caesaneura,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia caesaneura,Acacia caesaneura,c3,NA
Acacia_calamifolia,Acacia,calamifolia,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia calamifolia,Acacia calamifolia,c3,NA
Acacia_calligera,Acacia,calligera,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia calligera,Acacia calligera,c3,NA
Acacia_calyculata,Acacia,calyculata,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia calyculata,Acacia calyculata,NA,C3
Acacia_cambagei,Acacia,cambagei,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia cambagei,Acacia cambagei,c3,NA
Acacia_carneorum,Acacia,carneorum,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia carneorum,Acacia carneorum,NA,C3
Acacia_catenulata,Acacia,catenulata,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia catenulata,Acacia catenulata,c3,NA
Acacia_chippendalei,Acacia,chippendalei,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia chippendalei,Acacia chippendalei,NA,C3
Acacia_chrysocephala,Acacia,chrysocephala,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia chrysocephala,Acacia chrysocephala,c3,NA
Acacia_citrinoviridis,Acacia,citrinoviridis,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia citrinoviridis,Acacia citrinoviridis,c3,NA
Acacia_cochlearis,Acacia,cochlearis,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia cochlearis,Acacia cochlearis,c3,NA
Acacia_colei,Acacia,colei,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia colei,Acacia colei,c3,NA
Acacia_colletioides,Acacia,colletioides,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia colletioides,Acacia colletioides,c3,NA
Acacia_consanguinea,Acacia,consanguinea,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia consanguinea,Acacia consanguinea,c3,NA
Acacia_continua,Acacia,continua,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia continua,Acacia continua,c3,NA
Acacia_coolgardiensis,Acacia,coolgardiensis,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia coolgardiensis,Acacia coolgardiensis,c3,NA
Acacia_coriacea,Acacia,coriacea,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia coriacea,Acacia coriacea,NA,C3
Acacia_cowleana,Acacia,cowleana,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia cowleana,Acacia cowleana,c3,NA
Acacia_crassicarpa,Acacia,crassicarpa,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia crassicarpa,Acacia crassicarpa,NA,C3
Acacia_crombiei,Acacia,crombiei,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia crombiei,Acacia crombiei,NA,C3
Acacia_cupularis,Acacia,cupularis,Fabaceae,NA,C3,NA,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",NA,NA,-26.83,NA,NA,SAT004909,leaves,SATKAN0002-53689,-35.27211111,138.690175,22/08/2012,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Acacia cupularis,Acacia cupularis,c3,NA
Acacia_cuthbertsonii,Acacia,cuthbertsonii,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia cuthbertsonii,Acacia cuthbertsonii,NA,C3
Acacia_cyclops,Acacia,cyclops,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia cyclops,Acacia cyclops,c3,NA
Acacia_cylindrica,Acacia,cylindrica,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia cylindrica,Acacia cylindrica,c3,NA
Acacia_dawsonii,Acacia,dawsonii,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia dawsonii,Acacia dawsonii,c3,NA
Acacia_dealbata,Acacia,dealbata,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia dealbata,Acacia dealbata,NA,C3
Acacia_deanei,Acacia,deanei,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia deanei,Acacia deanei,NA,C3
Acacia_decora,Acacia,decora,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia decora,Acacia decora,c3,NA
Acacia_dentifera,Acacia,dentifera,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia dentifera,Acacia dentifera,c3,NA
Acacia_desertorum,Acacia,desertorum,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia desertorum,Acacia desertorum,c3,NA
Acacia_dictyophleba,Acacia,dictyophleba,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia dictyophleba,Acacia dictyophleba,c3,NA
Acacia_didyma,Acacia,didyma,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia didyma,Acacia didyma,NA,C3
Acacia_difficilis,Acacia,difficilis,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia difficilis,Acacia difficilis,c3,NA
Acacia_dimidiata,Acacia,dimidiata,Fabaceae,NA,C3,NA,C3,"Kattge et al., 2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia dimidiata,Acacia dimidiata,c3,NA
Acacia_distans,Acacia,distans,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia distans,Acacia distans,NA,C3
Acacia_dunnii,Acacia,dunnii,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia dunnii,Acacia dunnii,NA,C3
Acacia_duriuscula,Acacia,duriuscula,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia duriuscula,Acacia duriuscula,c3,NA
Acacia_effusifolia,Acacia,effusifolia,Fabaceae,NA,C3,NA,C3,"TERN SIA;Sage, 2016; Watson & Dallwitz, 1992 onwards",NA,NA,-29.21,-29.23,NA,WAA013316,leaves,WAAMUR0002-58510,-28.143125,120.9661222,1/10/2016,NA,NA,NA,NA,NA,NA,NA,CSIRO-2019,Acacia effusifolia,Acacia effusifolia,c3,NA
Acacia_enervia,Acacia,enervia,Fabaceae,NA,U,C3,C3,"Sage, 2016; Watson & Dallwitz, 1992 onwards",No evidence of a C4 species in this lineage; Other known species in this lineage (genus) are C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Acacia enervia,Acacia enervia,c3,NA
