Spp Name,Order,Family,Genus,Species_Code,Plant_height_(m),Leaf_Area_cm2,Seed_Mass_g,"Plant_height_interpolated_(1=Y,0=N)","Leaf_Area_interpolated_(1=Y,0=N)","Seed_Mass_interpolated_(1=Y,0=N)"
Athrotaxis cupressoides,Pinales,Cupressaceae,Athrotaxis,157,20,0.141372,0.00189,0,0,0
Athrotaxis laxifolia,Pinales,Cupressaceae,Athrotaxis,158,20,0.0282743,0.0015952,0,0,1
Athrotaxis selaginoides,Pinales,Cupressaceae,Athrotaxis,159,30,0.565487,0.0013004,0,0,0
Atriplex cinerea,Caryophyllales,Chenopodiaceae,Atriplex,163,2,15.708,0.011962,0,0,0
Atriplex paludosa,Caryophyllales,Chenopodiaceae,Atriplex,164,1,4.71239,0.011962,0,0,1
Atriplex prostrata,Caryophyllales,Chenopodiaceae,Atriplex,166,0.8,32.9867,0.011962,0,0,1
Australina pusilla,Rosales,Urticaceae,Australina,168,0.6,15.708,0.0002516,0,0,0
Australopyrum pectinatum,Poales,Poaceae,Australopyrum,169,0.9,0.19635,0.0026128,0,1,0
Australopyrum velutinum,Poales,Poaceae,Australopyrum,170,0.5,0.19635,0.0026128,0,0,1
Austrodanthonia caespitosa,Poales,Poaceae,Austrodanthonia,172,0.9,8.18651,0.00120732,0,1,1
Austrodanthonia carphoides,Poales,Poaceae,Austrodanthonia,173,0.15,8.18651,0.00120732,0,1,1
Austrodanthonia diemenica,Poales,Poaceae,Austrodanthonia,174,0.35,8.18651,0.00120732,0,1,1
Austrodanthonia induta,Poales,Poaceae,Austrodanthonia,176,1.2,8.18651,0.00120732,0,1,1
Austrodanthonia laevis,Poales,Poaceae,Austrodanthonia,177,0.6,8.18651,0.00120732,0,1,1
Austrodanthonia penicillata,Poales,Poaceae,Austrodanthonia,178,0.3,8.18651,0.00120732,0,1,1
Austrodanthonia pilosa,Poales,Poaceae,Austrodanthonia,179,0.5,8.18651,0.00120732,0,1,1
Austrodanthonia racemosa,Poales,Poaceae,Austrodanthonia,181,0.6,8.18651,0.00120732,0,1,1
Austrodanthonia setacea,Poales,Poaceae,Austrodanthonia,183,0.5,8.18651,0.00120732,0,1,1
Austrodanthonia tenuior,Poales,Poaceae,Austrodanthonia,184,1.2,8.18651,0.00120732,0,1,1
Austrofestuca littoralis,Poales,Poaceae,Austrofestuca,186,0.3,8.18651,0.00120732,0,1,1
Austrostipa aphylla,Poales,Poaceae,Austrostipa,187,0.9,8.18651,0.00473928,0,1,1
Austrostipa bigeniculata,Poales,Poaceae,Austrostipa,188,1,8.18651,0.0044888,0,1,0
Austrostipa flavescens,Poales,Poaceae,Austrostipa,190,1.2,8.18651,0.0035844,0,1,0
Austrostipa mollis,Poales,Poaceae,Austrostipa,191,0.3,8.18651,0.0045172,0,1,0
Austrostipa nodosa,Poales,Poaceae,Austrostipa,192,1,8.18651,0.00473928,0,1,1
Austrostipa pubinodis,Poales,Poaceae,Austrostipa,193,1,8.18651,0.00473928,0,1,1
Austrostipa rudis,Poales,Poaceae,Austrostipa,194,1.2,8.18651,0.00473928,0,1,1
Austrostipa scabra,Poales,Poaceae,Austrostipa,195,0.6,8.18651,0.00473928,0,1,1
Austrostipa semibarbata,Poales,Poaceae,Austrostipa,196,1,8.18651,0.00473928,0,1,1
Austrostipa stipoides,Poales,Poaceae,Austrostipa,197,1.2,8.18651,0.0037016,0,1,0
Austrostipa stuposa,Poales,Poaceae,Austrostipa,198,1,8.18651,0.0074044,0,1,0
Azolla filiculoides,Salviniales,Salviniaceae,Azolla,200,0.2,3.14159,0.0033,0,0,1
Baeckea gunniana,Myrtales,Myrtaceae,Baeckea,201,1,0.0314159,0.0001084,0,0,0
Baeckea leptocaulis,Myrtales,Myrtaceae,Baeckea,202,2,0.0314159,0.0001152,0,0,0
Baeckea ramosissima,Myrtales,Myrtaceae,Baeckea,203,0.2,0.306305,0.0001118,0,0,1
Baloskion australe,Poales,Restionaceae,Baloskion,204,0.7,0.549779,0.000244,0,0,0
Baloskion tetraphyllum,Poales,Restionaceae,Baloskion,205,1.6,0.628319,0.000244,0,0,1
Banksia marginata,Poales,Proteaceae,Banksia,207,12,9.42478,0.0061528,0,0,0
Batrachium trichophyllum,Ranunculales,Ranunculaceae,Batrachium,210,1.28333,0.019635,0.00166745,1,0,1
Bauera rubioides,Oxalidales,Cunoniaceae,Bauera,211,2,0.353429,0.001068,0,0,1
Baumea acuta,Poales,Cyperaceae,Baumea,212,0.3,5.89049,0.0015528,0,0,0
Baumea arthrophylla,Poales,Cyperaceae,Baumea,213,1,19.635,0.0021119,0,0,1
Baumea gunnii,Poales,Cyperaceae,Baumea,215,0.7,9.34624,0.0017132,0,0,0
Baumea juncea,Poales,Cyperaceae,Baumea,216,1.2,11.6239,0.0042392,0,1,0
Baumea rubiginosa,Poales,Cyperaceae,Baumea,217,0.8,11.6239,0.0021119,1,1,1
Baumea tetragona,Poales,Cyperaceae,Baumea,218,0.8,11.6239,0.0009424,1,1,0
Bedfordia linearis,Asterales,Asteraceae,Bedfordia,220,5,41.2334,0.000834,0,0,0
Bedfordia salicina,Asterales,Asteraceae,Bedfordia,221,5,8.4823,0.0005392,0,0,0
Bellendena montana,Proteales,Proteaceae,Bellendena,222,0.6,4.90874,0.013476,0,0,0
Beyeria lechenaultii,Malpighiales,Euphorbiaceae,Beyeria,224,1.5,0.942478,0.0133616,0,0,0
Beyeria viscosa,Malpighiales,Euphorbiaceae,Beyeria,225,4,5.89049,0.0321416,0,0,0
Billardiera longiflora,Apiales,Pittosporaceae,Billardiera,226,2.4,3.92699,0.0026088,0,0,0
Billardiera mutabilis,Apiales,Pittosporaceae,Billardiera,228,2.5,9.89602,0.0026088,0,0,1
Billardiera nesophila,Apiales,Pittosporaceae,Billardiera,229,1.8,4.71239,0.0026088,1,0,1
Billardiera scandens,Apiales,Pittosporaceae,Billardiera,232,0.5,9.89602,0.0026088,0,0,1
Blandfordia punicea,Asparagales,Asphodelaceae,Blandfordia,234,0.45,19.2423,0.0014464,0,1,0
Blechnum chambersii,Polypodiales,Blechnaceae,Blechnum,236,0.2,11.781,0.0033,0,1,1
Blechnum fluviatile,Polypodiales,Blechnaceae,Blechnum,237,0.5,11.781,0.0033,0,0,1
Blechnum minus,Polypodiales,Blechnaceae,Blechnum,238,0.7,11.781,0.0033,0,1,1
Blechnum nudum,Polypodiales,Blechnaceae,Blechnum,239,0.466667,11.781,0.0033,1,1,1
Blechnum patersonii,Polypodiales,Blechnaceae,Blechnum,240,0.466667,11.781,0.0033,1,1,1
Blechnum penna-marina,Polypodiales,Blechnaceae,Blechnum,241,0.466667,11.781,0.0033,1,1,1
Blechnum wattsii,Polypodiales,Blechnaceae,Blechnum,244,0.466667,11.781,0.0033,1,1,1
Bolboschoenus caldwellii,Poales,Cyperaceae,Bolboschoenus,245,0.9,13.7445,0.0041704,0,0,0
Boronia anemonifolia,Sapindales,Rutaceae,Boronia,247,2,0.106029,0.000701825,0,0,0
Boronia citriodora,Sapindales,Rutaceae,Boronia,248,1,0.176715,0.000716075,0,0,1
Boronia gunnii,Sapindales,Rutaceae,Boronia,250,1.2,0.490874,0.000716075,0,0,1
Boronia nana,Sapindales,Rutaceae,Boronia,253,25,0.392699,0.000716075,0,0,1
Boronia parviflora,Sapindales,Rutaceae,Boronia,254,1,1.5708,0.0005196,0,0,0
Boronia pilosa,Sapindales,Rutaceae,Boronia,255,1,0.691805,0.000716075,0,1,1
Boronia rhomboidea,Sapindales,Rutaceae,Boronia,256,0.5,1.41372,0.0009268,0,0,0
Bossiaea cinerea,Sapindales,Fabaceae,Bossiaea,258,1,0.785398,0.0137392,0,0,0
Bossiaea cordigera,Sapindales,Fabaceae,Bossiaea,259,2,0.329867,0.002338,0,0,0
Bossiaea prostrata,Sapindales,Fabaceae,Bossiaea,261,1.5,1.88496,0.0028876,0,0,0
Bossiaea riparia,Sapindales,Fabaceae,Bossiaea,262,1,0.00785398,0.0016248,0,0,0
Brachyloma ciliatum,Ericales,Epacridaceae,Brachyloma,265,0.2,0.362854,0.0010399,0,0,1
Brachyscome aculeata,Asterales,Asteraceae,Brachyscome,268,0.6,15.708,0.000396,0,0,0
Brachyscome cardiocarpa,Asterales,Asteraceae,Brachyscome,270,0.3,13.8544,0.0003323,0,1,1
Brachyscome ciliaris var ciliaris,Asterales,Asteraceae,Brachyscome,271,0.45,13.8544,0.0003323,0,1,1
Brachyscome decipiens,Asterales,Asteraceae,Brachyscome,272,0.2,15.708,0.0003323,0,0,1
Brachyscome graminea,Asterales,Asteraceae,Brachyscome,274,0.7,7.6969,0.0003844,0,0,0
Brachyscome sieberi var gunnii,Asterales,Asteraceae,Brachyscome,280,0.444286,13.8544,0.0003323,1,1,1
Brachyscome spathulata,Asterales,Asteraceae,Brachyscome,281,0.6,16.0221,0.0003284,0,0,0
Brachyscome tenuiscapa,Asterales,Asteraceae,Brachyscome,282,0.26,14.1372,0.0002204,0,0,0
Bracteantha bracteata,Asterales,Asteraceae,Bracteantha,283,0.8,15.708,0.000401868,0,0,1
Bracteantha subundulata,Asterales,Asteraceae,Bracteantha,285,0.6,15.708,0.000401868,0,1,1
Bromus catharticus,Poales,Poaceae,Bromus,288,1,18.8496,0.00120732,0,0,1
Brunonia australis,Asterales,Goodeniaceae,Brunonia,290,0.5,20.8196,0.0014416,0,1,0
Bulbine bulbosa,Asparagales,Asphodelaceae,Bulbine,292,0.3,11.781,0.0017954,0,0,1
Bulbine glauca,Asparagales,Asphodelaceae,Bulbine,294,1.1,35.3429,0.0024152,0,0,0
Bulbine semibarbata,Asparagales,Asphodelaceae,Bulbine,295,0.5,10.6029,0.0011756,0,0,0
Burchardia umbellata,Liliales,Colchicaceae,Burchardia,299,0.6,18.8496,0.0007352,0,0,1
Bursaria spinosa subsp spinosa,Apiales,Pittosporaceae,Bursaria,301,10,3.03949,0.00136,0,0,0
Caesia alpina,Asparagales,Anthericaceae,Caesia,302,0.15,2.35619,0.00151515,0,0,1
Caesia calliantha,Asparagales,Anthericaceae,Caesia,303,0.5,58.9049,0.0021952,0,0,0
Caesia parviflora,Asparagales,Anthericaceae,Caesia,304,0.4,25.1327,0.0008351,0,0,0
Caladenia alpina,Asparagales,Orchidacae,Caladenia,306,0.22,20.7345,3.67E-06,0,0,1
Caladenia angustata,Asparagales,Orchidacae,Caladenia,307,0.1,16.4835,3.67E-06,0,1,1
Caladenia carnea,Asparagales,Orchidacae,Caladenia,315,0.3,4.71239,5.20E-06,0,0,0
Caladenia catenata,Asparagales,Orchidacae,Caladenia,316,0.2,37.6991,3.67E-06,0,0,1
Caladenia caudata,Asparagales,Orchidacae,Caladenia,317,0.15,14.1372,4.00E-06,0,0,0
Caladenia clavigera,Asparagales,Orchidacae,Caladenia,318,0.4,14.1372,3.67E-06,0,0,1
Caladenia congesta,Asparagales,Orchidacae,Caladenia,320,0.6,8.4823,3.67E-06,0,0,1
Caladenia cucullata,Asparagales,Orchidacae,Caladenia,322,0.25,7.85398,3.67E-06,0,0,1
Caladenia deformis,Asparagales,Orchidacae,Caladenia,323,0.15,16.4835,3.67E-06,0,1,1
Caladenia echidnachila,Asparagales,Orchidacae,Caladenia,326,0.4,16.4835,3.67E-06,0,1,1
Caladenia filamentosa,Asparagales,Orchidacae,Caladenia,327,0.4,4.24115,3.67E-06,0,0,1
Caladenia gracilis,Asparagales,Orchidacae,Caladenia,329,0.4,14.1372,3.67E-06,0,0,1
Caladenia latifolia,Asparagales,Orchidacae,Caladenia,332,0.4,47.1239,3.88E-06,0,0,0
Caladenia minor,Asparagales,Orchidacae,Caladenia,337,0.30125,16.4835,3.67E-06,1,1,1
Caladenia patersonii,Asparagales,Orchidacae,Caladenia,339,0.35,17.6715,3.67E-06,0,0,1
Caladenia pusilla,Asparagales,Orchidacae,Caladenia,341,0.15,16.4835,3.67E-06,0,1,1
Caladenia tonellii,Asparagales,Orchidacae,Caladenia,344,0.35,6.87223,1.60E-06,0,0,0
Calandrinia calyptrata,Caryophyllales,Portulacaceae,Calandrinia,347,0.2,1.92423,0.0001008,0,0,0
Caleana major,Asparagales,Orchidacae,Caleana,351,0.5,7.53982,1.24E-05,0,0,1
Callistemon pallidus,Myrtales,Myrtaceae,Callistemon,353,5,8.24668,0.000736163,0,0,1
Callistemon viridiflorus,Myrtales,Myrtaceae,Callistemon,355,2.5,3.92699,0.000736163,0,0,1
Callitris oblonga subsp oblonga,Pinales,Cupressaceae,Callitris,359,5,0.0314159,0.004544,0,0,0
Callitris rhomboidea,Pinales,Cupressaceae,Callitris,360,6,0.0235619,0.007898,0,0,0
Calocephalus citreus,Asterales,Asteraceae,Calocephalus,362,0.6,0.314159,6.36E-05,0,0,0
Calochilus herbaceus,Asparagales,Orchidacae,Calochilus,365,0.4,18.8496,3.20E-06,0,1,0
Calochilus paludosus,Asparagales,Orchidacae,Calochilus,367,0.35,7.06858,3.20E-06,0,0,1
Calochilus robertsonii,Asparagales,Orchidacae,Calochilus,369,0.46,30.6305,3.20E-06,0,0,1
Calochlaena dubia,Polypodiales,Dickconiaceae,Calochlaena,370,1.5,1.374446786,0.0033,0,1,1
Calorophus elongatus,Poales,Restionaceae,Calorophus,371,2.5,6.02139,0.0014557,0,1,1
Calorophus erostris,Poales,Restionaceae,Calorophus,372,2.5,6.02139,0.0014557,1,1,1
Caltha phylloptera,Ranunculales,Ranunculaceae,Caltha,373,0.08,4.71239,0.00166745,0,0,1
Calytrix tetragona,Myrtales,Myrtaceae,Calytrix,377,2,0.0942478,0.0016356,0,0,0
Campynema lineare,Liliales,Liliaceae,Campynema,378,0.3,56.5487,0.00277133,0,1,1
Cardamine gunnii,Brassicales,Brassicaceae,Cardamine,382,0.25,0.785398,0.000657467,0,1,1
Cardamine lilacina,Brassicales,Brassicaceae,Cardamine,383,0.5,0.785398,0.000657467,0,1,1
Cardamine paucijuga,Brassicales,Brassicaceae,Cardamine,385,0.4,0.785398,0.000657467,0,1,1
Carex appressa,Poales,Cyperaceae,Carex,387,0.45,0.424115,0.00071324,0,0,0
Carex archeri,Poales,Cyperaceae,Carex,388,0.65,4.39593,0.00143,1,1,1
Carex breviculmis,Poales,Cyperaceae,Carex,391,0.2,0.0015708,0.00143,0,0,1
Carex demissa,Poales,Cyperaceae,Carex,397,0.05,4.39593,0.00143,0,1,1
Carex diandra,Poales,Cyperaceae,Carex,398,0.05,4.39593,0.00143,0,1,1
Carex fascicularis,Poales,Cyperaceae,Carex,399,1,2.74889,0.0015076,0,0,0
Carex gaudichaudiana,Poales,Cyperaceae,Carex,401,0.9,0.706858,0.0011184,0,0,0
Carex gunniana,Poales,Cyperaceae,Carex,402,0.7,43.9823,0.0031976,0,0,0
Carex inversa,Poales,Cyperaceae,Carex,404,0.5,0.785398,0.0007792,0,0,0
Carex iynx,Poales,Cyperaceae,Carex,405,1,1.33518,0.0022432,0,0,0
Carex lepidocarpa,Poales,Cyperaceae,Carex,406,1.2,0.942478,0.00143,0,0,1
Carex longebrachiata,Poales,Cyperaceae,Carex,407,0.8,0.816814,0.0015556,0,0,0
Carex polyantha,Poales,Cyperaceae,Carex,408,0.8,1.5708,0.00143,0,0,1
Carex raleighii,Poales,Cyperaceae,Carex,410,0.4,2.19911,0.0006308,0,0,0
Carex tasmanica,Poales,Cyperaceae,Carex,411,0.5,1.25664,0.0012832,0,0,0
Carex tereticaulis,Poales,Cyperaceae,Carex,412,1.2,0.376991,0.0012712,0,0,0
Carpha alpina,Poales,Cyperaceae,Carpha,414,0.1,1.1781,0.0014532,0,0,0
Carpha curvata,Poales,Cyperaceae,Carpha,415,0.45,1.1781,0.0018232,0,1,0
Carpha rodwayi,Poales,Cyperaceae,Carpha,416,0.06,1.1781,0.001546,0,1,0
Carpobrotus rossii,Caryophyllales,Aizoaceae,Carpobrotus,417,0.1,7.85398,0.032975,0,0,1
Cassinia aculeata,Asterales,Asteraceae,Cassinia,418,2.5,0.471239,8.04E-05,0,0,0
Cassytha glabella,Laurales,Lauraaceae,Cassytha,421,0.075,0.950332,0.005264,1,1,0
Cassytha melantha,Laurales,Lauraaceae,Cassytha,422,0.075,0.950332,0.0729716,1,1,0
Cassytha pubescens,Laurales,Lauraaceae,Cassytha,424,0.075,0.950332,0.02369,1,1,0
Catapodium rigidum,Poales,Gramineae,Catapodium,425,0.4,1.09956,0.00108805,0,0,1
Celmisia asteliifolia,Asterales,Asteraceae,Celmisia,427,0.3,5.49779,0.0008332,0,0,1
Celmisia saxifraga,Asterales,Asteraceae,Celmisia,428,0.3,3.14159,0.0008332,0,0,0
Cenarrhenes nitida,Proteales,Proteaceae,Cenarrhenes,429,10,28.2743,0.235299,0,0,0
Centaurium tenuiflorum,Gentianales,Gentianaceae,Centaurium,431,0.4,4.71239,8.84E-05,0,0,1
Centella cordifolia,Apiales,Apiaceae,Centella,432,0.1,20.6717,0.0012588,0,1,1
Centipeda elatinoides,Asterales,Asteraceae,Centipeda,434,0.3,0.471239,0.0001412,0,0,0
Centipeda minima,Asterales,Asteraceae,Centipeda,435,0.2,0.471239,0.0001412,0,1,1
Centrolepis aristata,Laurales,Centrolepidaceae,Centrolepis,436,0.1,1.1781,8.47E-05,0,0,1
Centrolepis fascicularis,Laurales,Centrolepidaceae,Centrolepis,437,0.05,2.82743,0.0001368,0,0,0
Centrolepis monogyna,Laurales,Centrolepidaceae,Centrolepis,439,0.05,0.0942478,8.04E-05,0,0,0
Centrolepis muscoides,Laurales,Centrolepidaceae,Centrolepis,440,0.07,0.753982,8.47E-05,0,0,1
Centrolepis polygyna,Laurales,Centrolepidaceae,Centrolepis,443,0.07,0.753982,8.75E-05,0,0,0
