species_name,plant_height_max_Barlow_1981,plant_height_max_CPBR_2002,plant_height_max_GrassBase_2014,plant_height_max_Mokany_2015,plant_height_max_RBGSYD_2014_2,plant_height_max_SAH_2014,plant_height_max_TMAG_2009,plant_height_max_WAH_1998,plant_height_to_keep_max,plant_height_unique,original_name
Acaena novae-zelandiae,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Acaena novae-zelandiae
Acaena ovina,NA,NA,NA,0.5,0.6,NA,NA,NA,keep,plant_height_to_keep,Acaena ovina
Acaena pallida,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Acaena pallida
Acianthus caudatus,NA,NA,NA,0.25,NA,0.15,NA,NA,keep,plant_height_to_keep,Acianthus caudatus
Acianthus caudatus,NA,NA,NA,0.25,NA,0.15,NA,NA,keep,plant_height_to_keep,Nemacianthus caudatus
Acianthus exsertus,NA,NA,NA,0.24,NA,0.16,NA,NA,keep,plant_height_to_keep,Acianthus exsertus
Acianthus exsertus,NA,NA,NA,0.24,NA,0.16,NA,NA,keep,plant_height_to_keep,Acianthus pusillus
Acrothamnus hookeri,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Acrothamnus hookeri
Acrothamnus hookeri,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Leucopogon hookeri
Acrothamnus montanus,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Lissanthe montana
Acrotriche serrulata,NA,NA,NA,0.6,0.6,NA,NA,NA,omit,NA,Acrotriche serrulata
Actinotus bellidioides,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Actinotus bellidioides
Actinotus moorei,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Actinotus moorei
Actinotus suffocata,NA,NA,NA,0.1,NA,NA,NA,NA,keep,plant_height_to_keep,Actinotus suffocatus
Actites megalocarpus,NA,NA,NA,0.4,NA,NA,NA,0.4,omit,NA,Actites megalocarpus
Adiantum chilense,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Adiantum aethiopicum
Agastachys odorata,9,NA,NA,8,NA,NA,NA,NA,keep,plant_height_to_keep,Agastachys odorata
Agropyron brownei,NA,NA,NA,0.9,0.9,NA,NA,NA,omit,NA,Australopyrum pectinatum
Agropyron velutinum,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Australopyrum velutinum
Agrostis aemula,NA,NA,NA,0.65,0.6,0.6,NA,NA,keep,plant_height_to_keep,Agrostis aemula
Agrostis aemula,NA,NA,NA,0.65,0.6,0.6,NA,NA,keep,plant_height_to_keep,Lachnagrostis aemula
Agrostis aemula,NA,NA,NA,0.65,0.6,0.6,NA,NA,keep,plant_height_to_keep,Lachnagrostis punicea
Agrostis aff. scabra,NA,NA,NA,0.35,NA,NA,NA,NA,keep,plant_height_to_keep,Agrostis aff scabra
Agrostis avenacea,NA,NA,NA,0.7,0.7,0.7,NA,NA,omit,NA,Agrostis avenacea
Agrostis avenacea,NA,NA,NA,0.7,0.7,0.7,NA,NA,omit,NA,Lachnagrostis filiformis
Agrostis billardierei,NA,NA,0.2,0.75,0.5,0.6,NA,NA,keep,plant_height_to_keep,Agrostis billardierei
Agrostis billardierei,NA,NA,0.2,0.75,0.5,0.6,NA,NA,keep,plant_height_to_keep,Lachnagrostis billardierei
Agrostis parviflora,NA,NA,NA,0.35,0.4,NA,NA,NA,keep,plant_height_to_keep,Agrostis aff parviflora
Agrostis pilosula,NA,NA,NA,0.75,NA,NA,NA,NA,keep,plant_height_to_keep,Lachnagrostis scabra subsp scabra
Agrostis venusta,NA,NA,NA,0.4,0.4,NA,NA,NA,omit,NA,Agrostis venusta
Ajuga australis,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Ajuga australis
Allittia cardiocarpa,NA,NA,NA,0.3,0.45,0.45,NA,NA,keep,plant_height_to_keep,Brachyscome cardiocarpa
Allocasuarina littoralis,15,NA,NA,15,15,NA,10,NA,omit,NA,Allocasuarina littoralis
Allocasuarina monilifera,4,NA,NA,4,NA,NA,5,NA,omit,NA,Allocasuarina monilifera
Allocasuarina verticillata,10,NA,NA,10,10,9,9,NA,omit,NA,Allocasuarina verticillata
Allocasuarina zephyrea,2,NA,NA,6,NA,NA,2,NA,keep,plant_height_to_keep,Allocasuarina zephyrea
Almaleea subumbellata,NA,NA,NA,1.2,1.2,NA,NA,NA,omit,NA,Almaleea subumbellata
Alternanthera sessilis,NA,NA,NA,0.4,NA,NA,0.9,1,keep,plant_height_to_keep,Alternanthera denticulata
Alyxia buxifolia,NA,NA,NA,2,0.5,2,NA,3,omit,NA,Alyxia buxifolia
Ammophila arenaria,NA,NA,NA,1.2,1.2,1.2,NA,NA,omit,NA,Ammophila arenaria
Amperea xiphoclada,NA,NA,NA,0.6,0.6,0.6,NA,NA,omit,NA,Amperea xiphoclada var xiphoclada
Amphibromus archeri,NA,NA,NA,1.2,NA,1.2,NA,NA,omit,NA,Amphibromus archeri
Anemone crassifolia,0.35,NA,NA,0.35,NA,NA,0.35,NA,omit,NA,Anemone crassifolia
Anodopetalum biglandulosum,NA,NA,NA,15,NA,NA,15,NA,omit,NA,Anodopetalum biglandulosum
Anopterus glandulosus,NA,NA,NA,10,NA,NA,10,NA,omit,NA,Anopterus glandulosus
Aotus ericoides,NA,NA,NA,2,2,NA,NA,NA,omit,NA,Aotus ericoides
Apalochlamys spectabilis,NA,NA,NA,2,2,2,NA,NA,omit,NA,Apalochlamys spectabilis
Aphanes australiana,NA,NA,NA,0.1,0.09,NA,NA,NA,keep,plant_height_to_keep,Aphanes australiana
Aphelia gracilis,NA,NA,NA,0.04,NA,0.04,NA,NA,omit,NA,Aphelia gracilis
Aphelia pumilio,NA,NA,NA,0.03,NA,NA,NA,NA,keep,plant_height_to_keep,Aphelia pumilio
Apium insulare,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Apium insulare
Apium prostratum,NA,NA,NA,1,NA,NA,NA,1,omit,NA,Apium prostratum
Apodasmia brownii,NA,NA,NA,1.5,NA,1,NA,NA,keep,plant_height_to_keep,Apodasmia brownii
Apodasmia brownii,NA,NA,NA,1.5,NA,1,NA,NA,keep,plant_height_to_keep,Leptocarpus brownii
Apteropteris applanata,NA,NA,NA,0.14,NA,NA,NA,NA,keep,plant_height_to_keep,Apteropteris applanata
Archeria comberi,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Archeria comberi
Archeria eriocarpa,NA,NA,NA,4,NA,NA,NA,NA,keep,plant_height_to_keep,Archeria eriocarpa
Archeria hirtella,NA,NA,NA,5,NA,NA,NA,NA,keep,plant_height_to_keep,Archeria hirtella
Archeria serpyllifolia,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Archeria serpyllifolia
Argentipallium dealbatum,NA,NA,NA,0.9,NA,NA,NA,NA,keep,plant_height_to_keep,Argentipallium dealbatum
Argentipallium dealbatum,NA,NA,NA,0.9,NA,NA,NA,NA,keep,plant_height_to_keep,Helichrysum dealbatum
Argyrotegium fordianum,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Argyrotegium fordianum
Argyrotegium mackayi,NA,NA,NA,0.06,0.06,NA,NA,NA,omit,NA,Gnaphalium argentifolium
Argyrotegium poliochlorum,NA,NA,NA,0.12,NA,NA,NA,NA,keep,plant_height_to_keep,Argyrotegium poliochlorum
Aristotelia peduncularis,NA,NA,NA,4,NA,NA,4,NA,omit,NA,Aristotelia peduncularis
Arrhenatherum elatius,NA,NA,NA,1.5,1.5,1,NA,NA,omit,NA,Arrhenatherum elatius
Arthropodium milleflorum,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Arthropodium milleflorum
Arthropodium minus,NA,NA,NA,55,NA,0.3,NA,NA,keep,plant_height_to_keep,Arthropodium minus
Asperula conferta,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Asperula conferta
Asperula gunnii,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Asperula gunnii
Asperula pusilla,NA,NA,NA,0.1,0.09,0.05,NA,NA,keep,plant_height_to_keep,Asperula pusilla
Asplenium appendiculatum,NA,NA,NA,0.51,NA,NA,NA,NA,keep,plant_height_to_keep,Asplenium appendiculatum
Asplenium bulbiferum,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Asplenium bulbiferum
Asplenium flabellifolium,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Asplenium flabellifolium
Asplenium flaccidum,NA,NA,NA,0.9,NA,NA,NA,NA,keep,plant_height_to_keep,Asplenium flaccidum
Asplenium obtusatum,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Asplenium obtusatum
Asplenium terrestre,NA,NA,NA,0.51,NA,NA,NA,NA,keep,plant_height_to_keep,Asplenium terrestre
Asplenium trichomanes,NA,NA,NA,0.25,NA,NA,NA,NA,keep,plant_height_to_keep,Asplenium trichomanes
Astelia alpina,0.3,NA,NA,0.3,NA,NA,NA,NA,omit,NA,Astelia alpina
Asterotrichion discolor,NA,NA,NA,4,NA,NA,NA,NA,keep,plant_height_to_keep,Asterotrichion discolor
Astroloma humifusum,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Astroloma humifusum
Astroloma pinifolium,NA,NA,NA,1,1,NA,NA,NA,omit,NA,Astroloma pinifolium
Atherosperma moschatum,30,NA,NA,15,NA,NA,30,NA,keep,plant_height_to_keep,Atherosperma moschatum subsp moschatum
Athrotaxis cupressoides,15,NA,NA,20,NA,NA,NA,NA,keep,plant_height_to_keep,Athrotaxis cupressoides
Athrotaxis laxifolia,NA,NA,NA,20,NA,NA,NA,NA,keep,plant_height_to_keep,Athrotaxis laxifolia
Athrotaxis selaginoides,40,NA,NA,30,NA,NA,NA,NA,keep,plant_height_to_keep,Athrotaxis selaginoides
Atriplex cinerea,NA,NA,NA,2,NA,1.5,1.5,NA,keep,plant_height_to_keep,Atriplex cinerea
Atriplex paludosa,NA,NA,NA,1,NA,1,NA,NA,omit,NA,Atriplex paludosa
Atriplex prostrata,NA,NA,NA,0.8,0.8,0.5,NA,NA,omit,NA,Atriplex prostrata
Australina pusilla,0.5,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Australina pusilla
Austrofestuca littoralis,NA,NA,NA,0.3,0.6,NA,NA,NA,keep,plant_height_to_keep,Austrofestuca littoralis
Austrolycopodium fastigiatum,NA,NA,NA,0.1,0.15,NA,NA,NA,keep,plant_height_to_keep,Lycopodium fastigiatum
Azolla filiculoides,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Azolla filiculoides
Baeckea gunniana,NA,NA,NA,1,1,NA,NA,NA,omit,NA,Baeckea gunniana
Baeckea leptocaulis,NA,NA,NA,2,NA,NA,NA,NA,keep,plant_height_to_keep,Baeckea leptocaulis
Balantium antarcticum,NA,NA,NA,4.5,15,NA,NA,NA,keep,plant_height_to_keep,Dicksonia antarctica
Baloskion australe,NA,NA,NA,1.4,1,NA,NA,NA,keep,plant_height_to_keep,Baloskion australe
Baloskion australe,NA,NA,NA,1.4,1,NA,NA,NA,keep,plant_height_to_keep,Restio australis
Baloskion tetraphyllum,NA,NA,NA,1.6,NA,NA,NA,NA,keep,plant_height_to_keep,Baloskion tetraphyllum
Baloskion tetraphyllum,NA,NA,NA,1.6,NA,NA,NA,NA,keep,plant_height_to_keep,Restio tetraphyllus
Banksia marginata,12,NA,NA,12,12,10,NA,NA,omit,NA,Banksia marginata
Bauera rubioides,NA,NA,NA,2,2,2,6,NA,omit,NA,Bauera rubioides
Bedfordia linearis,NA,NA,NA,5,NA,NA,NA,NA,keep,plant_height_to_keep,Bedfordia linearis
Bedfordia salicina,NA,NA,NA,5,NA,NA,NA,NA,keep,plant_height_to_keep,Bedfordia salicina
Bellendena montana,1.8,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Bellendena montana
Beyeria lechenaultii,NA,NA,NA,1.5,1.5,1.5,NA,2,omit,NA,Beyeria lechenaultii
Beyeria viscosa,NA,NA,NA,4,4,NA,NA,3,omit,NA,Beyeria viscosa
Billardiera longiflora,NA,NA,NA,2.4,NA,NA,NA,NA,keep,plant_height_to_keep,Billardiera longiflora
Billardiera mutabilis,NA,NA,NA,2.5,NA,NA,NA,NA,keep,plant_height_to_keep,Billardiera mutabilis
Billardiera nesophila,NA,NA,NA,1.8,NA,NA,NA,NA,keep,plant_height_to_keep,Billardiera nesophila
Billardiera scandens,NA,NA,NA,0.5,NA,3,NA,NA,keep,plant_height_to_keep,Billardiera scandens
Blandfordia punicea,NA,NA,NA,0.45,NA,NA,NA,NA,keep,plant_height_to_keep,Blandfordia punicea
Blechnum chambersii,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Blechnum chambersii
Blechnum fluviatile,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Blechnum fluviatile
Blechnum medium,NA,NA,NA,0.6,NA,NA,NA,NA,keep,plant_height_to_keep,Doodia media
Blechnum minus,NA,NA,NA,0.7,NA,NA,NA,NA,keep,plant_height_to_keep,Blechnum minus
Blechnum nudum,NA,NA,NA,0.47,1,NA,NA,NA,keep,plant_height_to_keep,Blechnum nudum
Blechnum patersonii,NA,NA,NA,0.47,NA,NA,NA,NA,keep,plant_height_to_keep,Blechnum patersonii
Blechnum penna-marina,NA,NA,NA,0.47,NA,NA,NA,NA,keep,plant_height_to_keep,Blechnum penna-marina
Blechnum wattsii,NA,NA,NA,0.47,NA,NA,NA,NA,keep,plant_height_to_keep,Blechnum wattsii
Bolboschoenus caldwellii,NA,NA,NA,0.9,0.9,0.9,NA,1.2,omit,NA,Bolboschoenus caldwellii
Boronia anemonifolia,NA,NA,NA,2,2,NA,NA,NA,omit,NA,Boronia anemonifolia
Boronia citriodora,NA,NA,NA,1,NA,NA,3,NA,keep,plant_height_to_keep,Boronia citriodora
Boronia gunnii,NA,NA,NA,1.2,NA,NA,1.2,NA,omit,NA,Boronia gunnii
Boronia nana,NA,NA,NA,25,0.25,0.25,1,NA,keep,plant_height_to_keep,Boronia nana
Boronia parviflora,NA,NA,NA,1,1,0.3,0.5,NA,omit,NA,Boronia parviflora
Boronia pilosa,NA,NA,NA,1,NA,0.5,3,NA,keep,plant_height_to_keep,Boronia pilosa
Boronia rhomboidea,NA,NA,NA,0.5,0.5,NA,1,NA,omit,NA,Boronia rhomboidea
Bossiaea cinerea,NA,NA,NA,1,1,1,NA,NA,omit,NA,Bossiaea cinerea
Bossiaea cordigera,NA,NA,NA,2,NA,NA,NA,NA,keep,plant_height_to_keep,Bossiaea cordigera
Bossiaea prostrata,NA,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Bossiaea prostrata
Bossiaea riparia,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Bossiaea riparia
Brachyloma ciliatum,NA,NA,NA,0.2,NA,0.2,NA,NA,omit,NA,Brachyloma ciliatum
Brachyscome aculeata,NA,NA,NA,0.6,0.6,NA,NA,NA,omit,NA,Brachyscome aculeata
Brachyscome ciliaris,NA,NA,NA,0.45,0.45,NA,NA,0.4,omit,NA,Brachyscome ciliaris var ciliaris
Brachyscome decipiens,NA,NA,NA,0.2,0.2,NA,NA,NA,omit,NA,Brachyscome decipiens
Brachyscome sieberi var. gunnii,NA,NA,NA,0.44,NA,NA,NA,NA,keep,plant_height_to_keep,Brachyscome sieberi var gunnii
Brachyscome spathulata,NA,NA,NA,0.6,0.6,NA,NA,NA,omit,NA,Brachyscome spathulata
Brachyscome tenuiscapa,NA,NA,NA,0.26,0.26,NA,NA,NA,omit,NA,Brachyscome tenuiscapa
Bromus catharticus,NA,NA,NA,1,1,NA,NA,NA,omit,NA,Bromus catharticus
Brunonia australis,0.35,NA,NA,0.5,0.3,NA,NA,0.4,keep,plant_height_to_keep,Brunonia australis
Bulbine bulbosa,NA,NA,NA,0.3,0.75,0.5,NA,NA,keep,plant_height_to_keep,Bulbine bulbosa
Bulbine glauca,NA,NA,NA,1.1,0.25,NA,NA,NA,keep,plant_height_to_keep,Bulbine glauca
Bulbine semibarbata,NA,NA,NA,0.5,0.5,0.3,NA,0.45,omit,NA,Bulbine semibarbata
Burchardia umbellata,0.65,NA,NA,0.6,NA,0.5,NA,NA,keep,plant_height_to_keep,Burchardia umbellata
Bursaria spinosa,NA,NA,NA,10,8,12,NA,NA,keep,plant_height_to_keep,Bursaria spinosa subsp spinosa
Caesia alpina,NA,NA,NA,0.15,NA,NA,NA,NA,keep,plant_height_to_keep,Caesia alpina
Caesia calliantha,0.7,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Caesia calliantha
Caesia parviflora,0.75,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Caesia parviflora
Caladenia carnea,NA,NA,NA,0.3,NA,0.6,NA,NA,keep,plant_height_to_keep,Caladenia carnea
Caladenia carnea,NA,NA,NA,0.3,NA,0.6,NA,NA,keep,plant_height_to_keep,Petalochilus carneus
Caladenia catenata,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Caladenia catenata
Caladenia caudata,NA,NA,NA,0.15,NA,NA,NA,NA,keep,plant_height_to_keep,Caladenia caudata
Caladenia clavigera,NA,NA,NA,0.4,NA,0.3,NA,NA,keep,plant_height_to_keep,Caladenia clavigera
Caladenia congesta,NA,NA,NA,0.6,NA,0.6,NA,NA,omit,NA,Caladenia congesta
Caladenia cucullata,NA,NA,NA,0.25,NA,0.25,NA,NA,omit,NA,Caladenia cucullata
Caladenia dilatata,NA,NA,NA,0.35,NA,0.5,NA,NA,keep,plant_height_to_keep,Arachnorchis dilatata
Caladenia echidnachila,NA,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Caladenia echidnachila
Caladenia filamentosa,NA,NA,NA,0.4,NA,0.3,NA,NA,keep,plant_height_to_keep,Caladenia filamentosa
Caladenia fuscata,NA,NA,NA,0.15,NA,NA,NA,NA,keep,plant_height_to_keep,Petalochilus fuscatus
Caladenia gracilis,NA,NA,NA,0.4,NA,0.45,NA,NA,keep,plant_height_to_keep,Caladenia angustata
Caladenia gracilis,NA,NA,NA,0.4,NA,0.45,NA,NA,keep,plant_height_to_keep,Caladenia gracilis
Caladenia latifolia,NA,NA,NA,0.4,NA,0.3,NA,0.45,keep,plant_height_to_keep,Caladenia latifolia
Caladenia lyallii,NA,NA,NA,0.27,NA,NA,NA,NA,keep,plant_height_to_keep,Caladenia alpina
Caladenia lyallii,NA,NA,NA,0.27,NA,NA,NA,NA,keep,plant_height_to_keep,Stegostyla alpina
Caladenia minor,NA,NA,NA,0.3,NA,0.25,NA,NA,keep,plant_height_to_keep,Caladenia minor
Caladenia patersonii,NA,NA,NA,0.35,NA,0.5,NA,NA,keep,plant_height_to_keep,Caladenia patersonii
Caladenia pusilla,NA,NA,NA,0.15,NA,0.09,NA,NA,keep,plant_height_to_keep,Caladenia pusilla
Caladenia tonellii,NA,NA,NA,0.35,NA,NA,NA,NA,keep,plant_height_to_keep,Caladenia tonellii
Calamagrostis austrodensa,NA,NA,0.9,0.9,NA,1,NA,NA,omit,NA,Deyeuxia densa
Calamagrostis carinata,NA,NA,0.55,0.5,0.5,NA,NA,NA,omit,NA,Deyeuxia carinata
Calamagrostis frigida,NA,NA,1.5,1.5,1.5,NA,NA,NA,omit,NA,Deyeuxia frigida
Calamagrostis gunniana,NA,NA,0.4,0.4,0.4,NA,NA,NA,omit,NA,Deyeuxia gunniana
Calamagrostis minor,NA,NA,0.45,0.62,NA,NA,NA,NA,keep,plant_height_to_keep,Deyeuxia minor
Calamagrostis neocontracta,NA,NA,1.1,0.9,0.9,NA,NA,NA,omit,NA,Deyeuxia contracta
Calamagrostis quadriseta,NA,NA,1.2,1.2,1.2,1,NA,NA,omit,NA,Deyeuxia quadriseta
Calandrinia calyptrata,NA,NA,NA,0.2,NA,NA,0.25,0.05,keep,plant_height_to_keep,Calandrinia calyptrata
Caleana major,NA,NA,NA,0.5,NA,0.3,NA,NA,keep,plant_height_to_keep,Caleana major
Callistemon pallidus,NA,NA,NA,5,5,NA,NA,NA,omit,NA,Callistemon pallidus
Callistemon viridiflorus,NA,NA,NA,2.5,NA,NA,NA,NA,keep,plant_height_to_keep,Callistemon viridiflorus
Callitris oblonga,5,NA,NA,5,NA,NA,NA,NA,omit,NA,Callitris oblonga subsp oblonga
Callitris rhomboidea,15,NA,NA,6,NA,6,NA,NA,omit,NA,Callitris rhomboidea
Calocephalus citreus,NA,NA,NA,0.6,0.6,NA,NA,NA,omit,NA,Calocephalus citreus
Calochilus herbaceus,NA,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Calochilus herbaceus
Calochilus paludosus,NA,NA,NA,0.35,NA,0.5,NA,NA,keep,plant_height_to_keep,Calochilus paludosus
Calochilus robertsonii,NA,NA,NA,0.46,NA,0.45,NA,NA,keep,plant_height_to_keep,Calochilus robertsonii
Calochlaena dubia,NA,NA,NA,1.5,NA,NA,NA,NA,keep,plant_height_to_keep,Calochlaena dubia
Calorophus elongatus,NA,NA,NA,2.5,NA,NA,NA,NA,keep,plant_height_to_keep,Calorophus elongatus
Calorophus erostris,NA,NA,NA,2.5,NA,NA,NA,NA,keep,plant_height_to_keep,Calorophus erostris
Calytrix tetragona,NA,NA,NA,2,2,3,NA,1.5,omit,NA,Calytrix tetragona
Campynema lineare,0.25,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Campynema lineare
Cardamine gunnii,NA,NA,NA,0.25,NA,NA,NA,NA,keep,plant_height_to_keep,Cardamine gunnii
Cardamine lilacina,NA,NA,NA,0.5,0.5,NA,NA,NA,omit,NA,Cardamine lilacina
Cardamine paucijuga,NA,NA,NA,0.4,0.4,0.4,NA,0.4,omit,NA,Cardamine paucijuga
Carex appressa,NA,NA,NA,0.45,NA,1,NA,2,keep,plant_height_to_keep,Carex appressa
Carex archeri,NA,NA,NA,0.65,NA,NA,NA,NA,keep,plant_height_to_keep,Carex archeri
Carex breviculmis,NA,NA,NA,0.2,NA,NA,NA,NA,keep,plant_height_to_keep,Carex breviculmis
Carex diandra,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Carex diandra
Carex gaudichaudiana,NA,NA,NA,0.9,NA,0.6,NA,NA,keep,plant_height_to_keep,Carex gaudichaudiana
Carex gunniana,NA,NA,NA,0.7,NA,NA,NA,NA,keep,plant_height_to_keep,Carex gunniana
Carex inversa,NA,NA,NA,0.5,NA,0.6,NA,0.75,keep,plant_height_to_keep,Carex inversa
Carex iynx,NA,NA,NA,1,NA,NA,NA,NA,keep,plant_height_to_keep,Carex iynx
Carex longibrachiata,NA,NA,NA,0.8,NA,NA,NA,NA,keep,plant_height_to_keep,Carex longebrachiata
Carex polyantha,NA,NA,NA,0.8,NA,NA,NA,NA,keep,plant_height_to_keep,Carex polyantha
Carex pseudocyperus,NA,NA,NA,1,NA,0.5,NA,1.5,keep,plant_height_to_keep,Carex fascicularis
Carex raleighii,NA,NA,NA,0.4,NA,NA,NA,NA,keep,plant_height_to_keep,Carex raleighii
Carex tasmanica,NA,NA,NA,0.5,NA,NA,NA,NA,keep,plant_height_to_keep,Carex tasmanica
Carex tereticaulis,NA,NA,NA,1.2,NA,1,NA,0.7,keep,plant_height_to_keep,Carex tereticaulis
Carex viridula subsp. brachyrhyncha,NA,NA,NA,1.2,NA,NA,NA,NA,keep,plant_height_to_keep,Carex lepidocarpa
Carex viridula subsp. oedocarpa,NA,NA,NA,0.05,NA,NA,NA,NA,keep,plant_height_to_keep,Carex demissa
Carpha alpina,NA,NA,NA,0.1,0.09,NA,NA,NA,keep,plant_height_to_keep,Carpha alpina
Carpha curvata,NA,NA,NA,0.45,NA,NA,NA,NA,keep,plant_height_to_keep,Carpha curvata
Carpha rodwayi,NA,NA,NA,0.06,NA,NA,NA,NA,keep,plant_height_to_keep,Carpha rodwayi
Carpobrotus rossii,NA,NA,NA,0.1,NA,NA,0.3,1,keep,plant_height_to_keep,Carpobrotus rossii
Cassinia aculeata,NA,NA,NA,2.5,2.5,NA,NA,NA,omit,NA,Cassinia aculeata
Cassytha glabella,NA,NA,NA,0.08,NA,NA,NA,NA,keep,plant_height_to_keep,Cassytha glabella
Cassytha melantha,NA,NA,NA,0.08,NA,NA,NA,NA,keep,plant_height_to_keep,Cassytha melantha
Cassytha pubescens,NA,NA,NA,0.08,NA,NA,NA,NA,keep,plant_height_to_keep,Cassytha pubescens
Catapodium rigidum,NA,NA,NA,0.4,0.3,0.2,NA,NA,keep,plant_height_to_keep,Catapodium rigidum
Celmisia asteliifolia,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Celmisia asteliifolia
Celmisia saxifraga,NA,NA,NA,0.3,NA,NA,NA,NA,keep,plant_height_to_keep,Celmisia saxifraga
