Species_name,Family,Synonyms,Resprouter,Location,Citation code,Notes,life.history,bud.position,dim.1,dim.2
Aristida superpendens,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Aristida vagans,Poaceae,NA,Yes,Australia,OEH 2004,NA,Perennial,C,NA,NA
Aristida warburgii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Arthraxon hispidus,Poaceae,NA,No,Australia,Clayton 2006,NA,Annual,NA,NA,NA
Arundinella nepalensis,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Arundo donax,Poaceae,NA,Yes,"Australia, North America",Crowley 2007,NA,Perennial,R,2.069291938,-1.206372965
Astrebla elymoides,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Astrebla lappacea,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,0.602322707,-0.511268852
Astrebla pectinata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Astrebla squarrosa,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Avena fatua,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Axonopus fissifolius,Poaceae,NA,Yes,Australia,Brown 2009,NA,Perennial,R+S,0.158321443,0.511958713
Bambusa arnhemica,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Bothriochloa bladhii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Bothriochloa ewartiana,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Bothriochloa macra,Poaceae,NA,Yes,Australia,Moore 2018,NA,Perennial,C,NA,NA
Brachiaria gilesii,Poaceae,Urochloa gilesii,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Brachiaria holosericea,Poaceae,Urochloa holosericea,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Brachiaria piligera,Poaceae,Urochloa piligera,No,Australia,Crowley 2007,NA,Annual,S,NA,NA
Brachiaria polyphylla,Poaceae,Urochloa polyphylla,No,Australia,Crowley 2007,NA,Annual,S,NA,NA
Brachiaria praetervisa,Poaceae,Urochloa praetervisa,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Brachiaria pubigera,Poaceae,Urochloa pubigera,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Brachiaria subquadripara,Poaceae,Urochloa subquadripara,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Brachyachne convergens,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Brachypodium distachyon,Poaceae,NA,No,Australia,Brown 2009,NA,Annual,NA,NA,NA
Bromus diandrus,Poaceae,NA,No,"Australia, North America",Crowley 2007,NA,Annual,NA,NA,NA
Capillipedium parviflorum,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Cenchrus echinatus,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Cenchrus setigerus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Chionachne cyathopoda,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Chloris gayana,Poaceae,NA,Yes,Australia,Tooth 2013,NA,Perennial,S,NA,NA
Chloris pectinata,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Chloris truncata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,S,NA,NA
Chloris ventricosa,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,S,NA,NA
Chloris virgata,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,1.907648701,0.05031281
Chrysopogon benthamianus,Poaceae,Chrysopogon fallax,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Chrysopogon elongatus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Chrysopogon latifolius,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Chrysopogon oliganthus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Chrysopogon pallidus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Chrysopogon setifolius,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Coelorachis rottboellioides,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Cortaderia selloana,Poaceae,NA,Yes,Australia,Brown 2009,NA,Perennial,C,NA,NA
Cymbopogon ambiguus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Cymbopogon bombycinus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Cymbopogon obtectus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Cymbopogon procerus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Cymbopogon refractus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Cynodon dactylon,Poaceae,NA,Yes,"Europe, North America, Oceania",Paula 2009,NA,Perennial,R+S,1.954570327,-0.484119554
Cynodon radiatus,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,S,NA,NA
Dactyloctenium aegyptium,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,S,1.43794149,0.135695028
Dactyloctenium radulans,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,2.187611784,0.320550715
Deschampsia cespitosa,Poaceae,NA,Yes,"North America, Australia",FEIS,NA,Perennial,C,1.794335687,2.057519741
Deyeuxia quadriseta,Poaceae,NA,Yes,Oceania,Moore 2018,NA,NA,NA,NA,NA
Dichanthium annulatum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Dichanthium sericeum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,-0.632435588,1.141671449
Dichelachne crinita,Poaceae,NA,Yes,Australia,Morgan 1999,NA,Perennial,C,NA,NA
Dichelachne micrantha,Poaceae,NA,Yes,Australia,Benson 2005,NA,Perennial,C,NA,NA
Dichelachne rara,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Dichelachne sieberiana,Poaceae,NA,No,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Digitaria ammophila,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Digitaria bicornis,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Digitaria breviglumis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Digitaria brownii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Digitaria ciliaris,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Digitaria coenicola,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Digitaria ctenantha,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Digitaria didactyla,Poaceae,NA,Yes,Oceania,Cook 2005,NA,Perennial,R+S,NA,NA
Digitaria diffusa,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Digitaria divaricatissima,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Digitaria gibbosa,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Digitaria longiflora,Poaceae,NA,No,Australia,Crowley 2007,NA,Both,S,NA,NA
Digitaria parviflora,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Distichlis distichophylla,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,R,NA,NA
Dryopoa dives,Poaceae,NA,No,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Echinochloa colona,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,2.277983871,-0.234948763
Echinopogon caespitosus,Poaceae,NA,Yes,Australia,Kubiak 2009,NA,Perennial,C,NA,NA
Echinopogon ovatus,Poaceae,NA,No,Australia,Moore 2018,NA,Perennial,R,NA,NA
Ectrosia leporina,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Ectrosia schultzii,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Ehrharta erecta,Poaceae,NA,Yes,Australia,Kubiak 2009,NA,Perennial,C,NA,NA
Ehrharta juncea,Poaceae,NA,Yes,Australia,Wapstra 2003,NA,Perennial,S,NA,NA
Ehrharta stipoides,Poaceae,Microlaena stipoides,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Elymus scabrus,Poaceae,NA,Yes,Australia,Morgan 1999,NA,Perennial,C,NA,NA
Elytrophorus spicatus,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Enneapogon avenaceus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Both,NA,NA,NA
Enneapogon cylindricus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Enneapogon eremophilus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Enneapogon gracilis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Both,NA,NA,NA
Enneapogon lindleyanus,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Enneapogon nigricans,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,NA,NA,NA
Enneapogon oblongus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,NA,NA,NA,NA
Enneapogon polyphyllus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Both,NA,NA,NA
Enneapogon purpurascens,Poaceae,NA,No,Australia,Crowley 2007,NA,Both,NA,NA,NA
Enneapogon robustissimus,Poaceae,Enneapogon clelandii,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Enteropogon acicularis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Enteropogon ramosus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Entolasia marginata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Entolasia stricta,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Eragrostis australasica,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Eragrostis brownii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eragrostis confertiflora,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Eragrostis cumingii,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Eragrostis curvula,Poaceae,NA,Yes,"North America, Australia",FEIS,NA,Perennial,C,-1.434875197,0.044264923
Eragrostis desertorum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,S,NA,NA
Eragrostis dielsii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eragrostis eriopoda,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eragrostis falcata,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eragrostis infecunda,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R+S,NA,NA
Eragrostis lanicaulis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Eragrostis laniflora,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Eragrostis leptocarpa,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Eragrostis leptostachya,Poaceae,NA,Yes,Australia,Kubiak 2009,NA,Perennial,C,NA,NA
Eragrostis olida,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eragrostis setifolia,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eragrostis spartinoides,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eragrostis sterilis,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eragrostis tenellula,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Eragrostis xerophila,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Eriachne agrostidea,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Eriachne aristidea,Poaceae,NA,No,Australia,Crowley 2007,NA,Both,C,NA,NA
Eriachne armitii,Poaceae,NA,No,Australia,Crowley 2007,NA,Both,NA,NA,NA
Eriachne avenacea,Poaceae,NA,No,Australia,Crowley 2007,NA,Both,C,NA,NA
Eriachne basedowii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eriachne burkittii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Eriachne capillaris,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Eriachne ciliata,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Eriachne fastigiata,Poaceae,NA,No,Australia,Crowley 2007,NA,Both,C,NA,NA
Eriachne filiformis,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Eriachne glabrata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eriachne glauca,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Eriachne helmsii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eriachne mucronata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eriachne obtusa,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eriachne pallescens,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eriachne pulchella,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Eriachne sulcata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eriachne triseta,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Eriochloa procera,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Eulalia aurea,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Eulalia contorta,Poaceae,Pseudopogonatherum contortum,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Eulalia irritans,Poaceae,Pseudopogonatherum irritans,Yes,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Eulalia mackinlayi,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Germainia grandiflora,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Germainia truncatiglumis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Glyceria australis,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,NA,NA,NA
Hemarthria uncinata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Heteropholis formosa,Poaceae,Mnesithea formosa,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Heteropogon contortus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,-0.133468622,0.532515754
Heteropogon triticeus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Holcus lanatus,Poaceae,NA,Yes,"Australia, North America",Crowley 2007; Paula 2009,NA,Perennial,C,NA,NA
Hymenachne amplexicaulis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Hyparrhenia rufa,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Imperata cylindrica,Poaceae,NA,Yes,"North America, Oceania",FEIS; Crowley 2007,NA,Perennial,R,-0.624284869,0.739465956
Isachne confusa,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Ischaemum decumbens,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Iseilema dolichotrichum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Iseilema eremaeum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Iseilema membranaceum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Iseilema vaginiflorum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Leersia hexandra,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,R,1.005499351,0.195503154
Leptochloa digitata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Leptochloa fusca,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,0.357185252,1.801395601
Leptochloa neesii,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Both,C,NA,NA
Lolium rigidum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Melinis repens,Poaceae,NA,Yes,"Australia, North America",Crowley 2007,NA,Both,C,NA,NA
Micraira dentata,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Micraira tenuis,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Monachather paradoxus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Nassella neesiana,Poaceae,NA,Yes,Australia,Tooth 2013,NA,Perennial,C,-0.52960542,-0.90177127
Neurachne munroi,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Neurachne tenuifolia,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Ophiuros exaltatus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Oplismenus burmannii,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Oplismenus compositus,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Oplismenus hirtellus,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Oryza australiensis,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Panicum decompositum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Panicum effusum,Poaceae,Panicum simile,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Panicum maximum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Both,R,3.152746178,1.534876013
Panicum mindanaense,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Panicum seminudum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Panicum trachyrhachis,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Panicum trichoides,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Paraneurachne muelleri,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,S,NA,NA
Paspalidium basicladum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Paspalidium clementii,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Paspalidium constrictum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
Paspalidium jubiflorum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,NA,NA
Paspalidium rarum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Paspalum scrobiculatum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,NA,-1.371256491,0.866701534
Pennisetum clandestinum,Poaceae,NA,Yes,Australia,Kubiak 2009,NA,Perennial,R+S,NA,NA
Pennisetum pedicellatum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Pentapogon quadrifidus,Poaceae,NA,Yes,Australia,Morgan 1999,NA,Perennial,NA,NA,NA
Perotis rara,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Phragmites australis,Poaceae,NA,Yes,"Australia, North America",Crowley 2007,NA,Perennial,R,2.101710632,-1.066192424
Phragmites vallatorius,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,R,0.202653187,-0.827644417
Plagiosetum refractum,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Poa clivicola,Poaceae,NA,Yes,Australia,Walsh 2004,NA,Perennial,C,NA,NA
Poa costiniana,Poaceae,NA,Yes,Australia,Tolsma 2002,NA,Perennial,C,NA,NA
Poa ensiformis,Poaceae,NA,Yes,Australia,Walsh 2004,NA,Perennial,R,NA,NA
Poa fawcettiae,Poaceae,NA,Yes,Australia,Tolsma 2002,NA,Perennial,C,NA,NA
Poa hiemata,Poaceae,NA,Yes,Australia,Walsh 2004,NA,Perennial,C,-0.139830485,0.817749334
Poa hookeri,Poaceae,NA,Yes,Australia,Walsh 2004,NA,Perennial,C,NA,NA
Poa labillardieri,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,-0.762095413,-0.709886047
Poa phillipsiana,Poaceae,NA,Yes,Australia,Walsh 2004,NA,Perennial,C,NA,NA
Poa saxicola,Poaceae,NA,Yes,Australia,Walsh 2004,NA,Perennial,C,NA,NA
Polypogon monspeliensis,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Pseudoraphis spinescens,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,S,0.655963716,0.393392803
Rytidosperma bipartitum,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma caespitosum,Poaceae,NA,Yes,Australia,Lunt 1990,NA,Perennial,C,NA,NA
Rytidosperma carphoides,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma duttonianum,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma erianthum,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma fulvum,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma geniculatum,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma indutum,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma laeve,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma nudiflorum,Poaceae,NA,Yes,Australia,Tolsma 2002,NA,Perennial,C,NA,NA
Rytidosperma pallidum,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma pilosum,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma semiannulare,Poaceae,NA,Yes,Oceania,Moore 2018,NA,Perennial,C,NA,NA
Rytidosperma setaceum,Poaceae,NA,Yes,Australia,Lunt 1990,NA,Perennial,C,NA,NA
Sacciolepis myosuroides,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Annual,C,NA,NA
Schismus barbatus,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Schizachyrium fragile,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Schizachyrium pseudeulalia,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Sehima nervosum,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,-0.867850178,0.342342357
Setaria apiculata,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,C,NA,NA
Setaria sphacelata,Poaceae,NA,Yes,Australia,Kubiak 2009,NA,Perennial,R,1.196788856,-0.511725454
Setaria surgens,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Sorghum intrans,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Sorghum plumosum,Poaceae,NA,No,Australia,Crowley 2007,NA,Perennial,R,NA,NA
Sorghum timorense,Poaceae,NA,No,Australia,Crowley 2007,NA,Annual,NA,NA,NA
Sporobolus actinocladus,Poaceae,NA,Yes,Australia,Crowley 2007,NA,Perennial,C,NA,NA
