taxon_name,trait_name,value_type,value,unit,notes,,observation_id,original_name,value_original,leaf,form,original_text
Ailanthus altissima,plant_height,maximum,10,m,good,,48,Ailanthus altissima,10,"leaves constricted towards the ends of the branches, 35-70 cm long, with up to 15 pairs of leaflets; leaflets somewhat falcate and asymmetrical at the base, ovate or ovate-lanceolate, acuminate, entire but usually with 1 or 2 teeth on either side towards the base, shortly stalked, minutely but densely pubescent at least when young, 85-130 x 25-35 mm; petiole expanded at the base.",,"Description: Erect shady trees usually under 10 m high, suckering prolifically; bark smooth, yellow-grey; leaves constricted towards the ends of the branches, 35-70 cm long, with up to 15 pairs of leaflets; leaflets somewhat falcate and asymmetrical at the base, ovate or ovate-lanceolate, acuminate, entire but usually with 1 or 2 teeth on either side towards the base, shortly stalked, minutely but densely pubescent at least when young, 85-130 x 25-35 mm; petiole expanded at the base.Panicles many-flowered; sepals c. 1 mm long; petals 3-4 mm long, caducous; styles c. 2-3 mm long.samaras greenish becoming reddish, 30-45 x 7-15 mm."
Allium ampeloprasum,plant_height,maximum,2,m,good,,56,Allium ampeloprasum,2,"leaves broad-linear, flat, 1-3 cm broad, scabrous-tuberculate on edges and keel.",,"Description: Stem stout, solid, cylindrical, 60-200 cm high, leafy to the middle; bulb surrounded by few or many bulbils; leaves broad-linear, flat, 1-3 cm broad, scabrous-tuberculate on edges and keel.Spathe caducous, usually of 1 broad bract, long-pointed but shorter than the flowers; flowers urn-shaped, purplish, very numerous, on long unequal slender pedicels (2-4 cm long), forming a rather dense globular umbel; perianth-segments acute, c. 5 mm long, usually tuberculate on the back; stamens and style protruding, the 3 inner stamens with 3-fid filaments, whose lateral points are much longer than the central anther-bearing part; strong smell of onion/garlic."
Allium neapolitanum,plant_height,maximum,0.6,m,good,,57,Allium neapolitanum,0.6,sheathed near the base by 2 leaves whose blades are flat broad-linear and to 12 mm broad;,,"Description: Stem rather stout but hollow, plano-convex, 30-60 cm high, the flat side with 2 acute angles, the other side rounded; sheathed near the base by 2 leaves whose blades are flat broad-linear and to 12 mm broad; bulb small, brown, ovoid, sometimes with a few bulbils.Spathe of 1 ovate acuminate bract shorter than the flowers; flowers saucer-shaped, a pure white and c. 25 in a spreading many-flowered umbel; pedicels almost equal, 25-30 mm long; perianth-segments ovate, obtuse, 8-10 mm long; stamens enclosed, with all the filaments simple."
Allium paniculatum,plant_height,maximum,0.8,m,good,,58,Allium paniculatum,0.8,"leaf blades almost terete, channelled above, hollow;",,"Description: Stem hollow, 30-80 cm high, leafy to the middle, with a simple ovoid bulb; leaf blades almost terete, channelled above, hollow; spathe of 2 bracts tapering into a long point much exceeding the flowers.Flowers campanulate, pink or whitish in a loose many-flowered umbel; pedicels very unequal, 1-4 cm long; perianth-segments obtuse, 4-5 mm long and as long as the stamens; filaments all simple; no onion smell."
Allium scorodoprasum,plant_height,maximum,0.8,m,good,,60,Allium scorodoprasum,0.8,"leaf blades g, flat, 7-15 mm broad, scabrid on the margins and the keel;",,"Description: Stem 30-80 cm high, rigid, leafy to the middle; leaf blades grass-like, flat, 7-15 mm broad, scabrid on the margins and the keel; bulb ovoid, surrounded by numerous black bulbils.Spathe 2-valved, shorter than the few or numerous flowers; flowers ovoid, dark- or reddish-purple in a dense globular or loose head, with or without bulbils; pedicels hidden or exposed; perianth-segments 5-8 mm long; stamens enclosed; lateral lobes of the inner filaments much longer than the central lobe."
Allium triquetrum,plant_height,maximum,0.4,m,good,,61,Allium triquetrum,0.4,"leaves 2 or 3, near the base of the stem, the sheaths flat or slightly channelled, weak, 5-10 mm broad, about as long as the stem;",,"Description: Stem 20-40 cm high, with 3 acute angles; leaves 2 or 3, near the base of the stem, the sheaths flat or slightly channelled, weak, 5-10 mm broad, about as long as the stem; bulb small, white, ovoid.Spathe of 2 linear-lanceolate membranous bracts slightly shorter than the flowers; flowers campanulate, white, 4-8, drooping in a loose umbel, on pedicels which are rarely longer than the flowers; perianth-segments oblong, acute, 12-14 mm long; stamens enclosed, all with simple filaments; stigma of 3 short recurved branches (in our other species the stigma is a minute terminal point); strong onion smell."
Allium vineale,leaf_width,maximum,1.5,mm,good,,62,Allium vineale,1.5,"leaves almost terete, hollow, slightly channelled, circa 1.5 mm broad.",,"Description: Stem 30-80 cm high, almost filled with pith and sheathed up to the middle; basal bulb surrounded by numerous bulbils; leaves almost terete, hollow, slightly channelled, c. 1.5 mm broad.Flowers campanulate, few, pale-pink or white, with numerous bulbils, in a dense head which often consists only of bulbils; spathe of 1 broad bract, which is abruptly contracted into a stiff green point longer or shorter than the head (in our specimens it is 10-25 mm long); pedicel much longer than the perianth which is 3-4 mm long; stamens slightly exceeding the perianth, the inner filaments 3-fid, the lateral points exceeding the anther; plant with onion smell."
Allium vineale,plant_height,maximum,0.8,m,good,,62,Allium vineale,0.8,"leaves almost terete, hollow, slightly channelled, circa 1.5 mm broad.",,"Description: Stem 30-80 cm high, almost filled with pith and sheathed up to the middle; basal bulb surrounded by numerous bulbils; leaves almost terete, hollow, slightly channelled, c. 1.5 mm broad.Flowers campanulate, few, pale-pink or white, with numerous bulbils, in a dense head which often consists only of bulbils; spathe of 1 broad bract, which is abruptly contracted into a stiff green point longer or shorter than the head (in our specimens it is 10-25 mm long); pedicel much longer than the perianth which is 3-4 mm long; stamens slightly exceeding the perianth, the inner filaments 3-fid, the lateral points exceeding the anther; plant with onion smell."
Amaranthus caudatus,leaf_length,maximum,120,mm,good,,88,Amaranthus caudatus,120,"leaves reddish, ovate to elliptic, to circa 12 cm or more long (incl. petiole).","erect annual to circa 1.5 m high, young parts pubescent;","Description: Erect annual to c. 1.5 m high, young parts pubescent; leaves reddish, ovate to elliptic, to c. 12 cm or more long (incl. petiole).Flowers in drooping many-branched cylindrical spikes in leaf axils and terminal to c. 12 cm or more long, reddish; bracts and bracteoles ovate, with a long mucro, c. 2 mm long; perianth-segments 5, obovate, not attenuate, not greatly exceeding the bracts and bracteoles.Fruit smooth, about as long as the perianth, circumsciss."
Amaranthus graecizans,plant_height,maximum,0.7,m,good,,91,Amaranthus graecizans,0.7,"leaves elliptic to ovate, acute or obtuse, 2-4 cm long, petiolate.",usually glabrous muchbranched erect annual;,"Description: Usually glabrous much-branched erect annual; stems to c. 70 cm high; leaves elliptic to ovate, acute or obtuse, 2-4 cm long, petiolate.Flowers in small axillary cymose clusters; bracts and bracteoles shorter than the perianth, ovate, mucronulate but not pungent; perianth-segments 3, ovatelanceolate, acute, c. 1.5-2 mm long.Fruit rugulose, longer than the perianth, globular-ellipsoid, circumsciss; seeds lenticular, black, shining, 1-1.5 mm diam."
Amaranthus interruptus,plant_height,maximum,0.5,m,good,,94,Amaranthus interruptus,0.5,"leaves ovate or elliptic, pungent-pointed, the blade 0.6-4 cm long, petiolate, sometimes reddish.","erect to decumbent annuals with lightly pubescent often reddish branches, usually under 50 cm high;","Description: Erect to decumbent annuals with lightly pubescent often reddish branches, usually under 50 cm high; leaves ovate or elliptic, pungent-pointed, the blade 0.6-4 cm long, petiolate, sometimes reddish.Flowers in axillary clusters and sometimes in long dense or interrupted terminal spikes, green to brown; bracts and bracteoles usually lanceolate or elliptic, subacute, 1-1.5 mm long; perianth-segments 5, narrow-spathulate, acute, mucronate, 1.5-2 mm long, erect, the centre dark but fading with age; styles 2 or 3.Fruit wrinkled, ovoid to ellipsoid, usually a little shorter than the perianth, indehiscent or breaking irregularly; seeds black, loose within the pericarp, nearly 1.5 mm diam."
Amaranthus mitchellii,plant_height,maximum,0.5,m,good,,96,Amaranthus mitchellii,0.5,"leaves ovate or lanceolate to oblong, 2-5 cm long (incl. petiole), obtuse to emarginate, often mucronate.","glabrous annual with erect or ascending branches, to circa 50 cm or more high;","Description: Glabrous annual with erect or ascending branches, to c. 50 cm or more high; leaves ovate or lanceolate to oblong, 2-5 cm long (incl. petiole), obtuse to emarginate, often mucronate.Flowers whitish-green, in axillary sessile or stalked globular clusters, or sometimes in short terminal spikes with a few small leaves; bracts and bracteoles narrow, acuminate, shorter than the female perianth; perianth-segments 5, 2-2.5 mm long, broadly spathulate, with long narrow claws so that the ripe fruit is visible between them, and broad scarious mucronate laminas which spread from above the middle; styles 3, thick at the base.Fruit longitudinally wrinkled so as to appear ribbed, with a thick smooth summit, only the styles usually exceeding the perianth, indehiscent or breaking unevenly."
Amperea xiphoclada,plant_height,maximum,0.6,m,good,,108,Amperea xiphoclada,0.6,"the lower leaves on the stem cuneate-oblong, margins often toothed, 5-15 mm long, the upper ones linear-lanceolate, entire, usually less than 1 cm long;","monoecious or almost dioecious; base hard, woody;","Description: Monoecious or almost dioecious; base hard, woody; stems erect, occasionally procumbent, 20-60 cm tall, 3-angled or compressed and furrowed, greyish, glabrous, almost leafless when flowering; the lower leaves on the stem cuneate-oblong, margins often toothed, 5-15 mm long, the upper ones linear-lanceolate, entire, usually less than 1 cm long; stipules small, deeply fringed, reddish-brown.Flowers lateral, subsessile, few in small sessile clusters in the axils of small distant scales, surrounded by ovate 1-2 mm long brown more or less deeply fringed bracts; male calyx c. 2 mm long, 4- or 5lobed; stamens 6-9, free; the anther-cells distinct and divergent, the connective gland-tipped; the female often solitary among several males, calyx c. 3 mm long, campanulate, the 5 lobes triangular, subacute, with hyaline margins; ovary crowned by 6 acute dorsal teeth or appendages, glabrous; styles short, brown-red, papillate.Capsule 2-4 mm long; seed ovoid, 1.5-2.5 mm long, shiny, black."
Amphibolis antarctica,leaf_length,minimum,18,mm,good,http://www.flora.sa.gov.au/efsa/Marine_Benthic_Flora_SA/Part_I/Amphibolis_antarctica.shtml,109,Amphibolis antarctica,18,,,
Amphibolis antarctica,leaf_length,maximum,30,mm,changed,,109,Amphibolis antarctica,50,,,
Amphibolis antarctica,leaf_width,minimum,3.5,mm,changed,,109,Amphibolis antarctica,2,,,
Amphibolis antarctica,leaf_width,maximum,6,mm,changed,,109,Amphibolis antarctica,10,,,
Amphibolis antarctica,plant_height,maximum,1,m,changed,,109,Amphibolis antarctica,1.5,,,
Amphibolis griffithii,leaf_length,minimum,50,mm,good,Marine_Benthic_Flora_SA/Part_I/Amphibolis_griffithii.shtml,110,Amphibolis griffithii,50,,,
Amphibolis griffithii,leaf_length,maximum,100,mm,good,,110,Amphibolis griffithii,100,,,
Amphibolis griffithii,leaf_width,minimum,3,mm,good,,110,Amphibolis griffithii,3,,,
Amphibolis griffithii,leaf_width,maximum,7,mm,good,,110,Amphibolis griffithii,7,,,
Amphibolis griffithii,plant_height,maximum,1,m,good,,110,Amphibolis griffithii,1,,,
Amphibromus nervosus,plant_height,maximum,1.25,m,good,,113,Amphibromus nervosus,1.25,"leaf blades to 30 cm long, 1.5-3.5 mm wide, glabrous to scabrous; ligule acute, 10-20 mm long.","caespitose perennial (occasionally rooting at the nodes), to 1.25 m tall;","Description: Caespitose perennial (occasionally rooting at the nodes), to 1.25 m tall; culms erect; leaf blades to 30 cm long, 1.5-3.5 mm wide, glabrous to scabrous; ligule acute, 10-20 mm long.Panicle erect, contracted, incompletely exserted, to 40 cm long; spikelets 10-16 mm long, with 4-6 bisexual florets; glumes unequal to subequal, glabrous, acute; lemma scabrous, 5-7.2 mm long; apex 2-toothed, usually with 2 smaller lateral teeth/notches, some- times 4-toothed; inner teeth 0.3-0.7 mm long; awn arising 40-55% of the lemma length from the lemma tip, bent, twisted, scabrous, 12-22 mm long, pale, rarely a dark purple-brown.grain yellow-brown, glabrous, 1.36-2.15 mm long."
Amphipogon caricinus,plant_height,maximum,0.6,m,good,,115,Amphipogon caricinus,0.6,leaf blades usually 8-15 cm long.,,"Description: Plants tufted or with very short more or less oblique rhizomes, to 60 cm high; leaf blades usually 8-15 cm long.Panicle oblong to narrow-cylindrical, 2-4 cm long, less than 1 cm broad; spikelets 9-10 mm long; lemma 6-8 mm long (including the awns), the cilia continuing (without reduction) right to the awn-tips; anthers c. 3 mm long."
Amphipogon strictus,plant_height,maximum,0.5,m,good,,116,Amphipogon strictus,0.5,leaf blades less than 8 cm long (usually.less than 5 cm).,,"Description: Plants with contracted horizontal rhizomes, to 50 cm high; leaf blades less than 8 cm long (usually.less than 5 cm).Panicle capitate, ovoid to broadly oblong, to 2 cm long, but c. 1 cm broad or more; spikelets c. 9-12 mm long; lemma 8-12 mm long (including the awns), the cilia diminishing toward the scabrous awn-tips; anthers c. 4 mm long."
Amsinckia calycina,leaf_length,minimum,25,mm,good,,117,Amsinckia calycina,25,"leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 2.5-10 x 0.2-2.5 cm, with cuneate base on the lower parts becoming subcordate below the inflorescence.","annual erect herbs rarely exceeding 50 cm high, moderately branched, with each branch ending in an inflorescence, with a distinct tap root, covered with spreading long coarse hairs with a broad base as well as short fine ones;","Description: Annual erect herbs rarely exceeding 50 cm high, moderately branched, with each branch ending in an inflorescence, with a distinct tap root, covered with spreading long coarse hairs with a broad base as well as short fine ones; leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 2.5-10 x 0.2-2.5 cm, with cuneate base on the lower parts becoming subcordate below the inflorescence.Inflorescence with one to few terminal monochasia with sessile flowers arranged in 2 rows; sepals scarcely connate basally, 3-5 mm long or to 7 mm long when fruiting; corolla narrowly tubular, usually pale-yellow, 5-8 mm long, glabrous outside and inside, without nectaries or protrusions, lobes oblong to almost square, 1-1.5 mm long, rounded; stamens with filaments connate to almost the whole corolla tube, with anthers sessile in the throat, narrowly elliptic, c. 1 mm long, without appendage; ovary 4-lobed, with style inserted at about the middle, c. 4 mm long, glabrous, terminating in a capitate stigma which is slightly bilobed.mericarps ovoid, with a dorsal ridge covered with pointed tubercles, muricate to rugose with pointed tubercles on the sides, pale-brown."
Amsinckia calycina,leaf_length,maximum,100,mm,good,,117,Amsinckia calycina,100,"leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 2.5-10 x 0.2-2.5 cm, with cuneate base on the lower parts becoming subcordate below the inflorescence.","annual erect herbs rarely exceeding 50 cm high, moderately branched, with each branch ending in an inflorescence, with a distinct tap root, covered with spreading long coarse hairs with a broad base as well as short fine ones;","Description: Annual erect herbs rarely exceeding 50 cm high, moderately branched, with each branch ending in an inflorescence, with a distinct tap root, covered with spreading long coarse hairs with a broad base as well as short fine ones; leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 2.5-10 x 0.2-2.5 cm, with cuneate base on the lower parts becoming subcordate below the inflorescence.Inflorescence with one to few terminal monochasia with sessile flowers arranged in 2 rows; sepals scarcely connate basally, 3-5 mm long or to 7 mm long when fruiting; corolla narrowly tubular, usually pale-yellow, 5-8 mm long, glabrous outside and inside, without nectaries or protrusions, lobes oblong to almost square, 1-1.5 mm long, rounded; stamens with filaments connate to almost the whole corolla tube, with anthers sessile in the throat, narrowly elliptic, c. 1 mm long, without appendage; ovary 4-lobed, with style inserted at about the middle, c. 4 mm long, glabrous, terminating in a capitate stigma which is slightly bilobed.mericarps ovoid, with a dorsal ridge covered with pointed tubercles, muricate to rugose with pointed tubercles on the sides, pale-brown."
Amsinckia calycina,leaf_width,minimum,2,mm,good,,117,Amsinckia calycina,2,"leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 2.5-10 x 0.2-2.5 cm, with cuneate base on the lower parts becoming subcordate below the inflorescence.","annual erect herbs rarely exceeding 50 cm high, moderately branched, with each branch ending in an inflorescence, with a distinct tap root, covered with spreading long coarse hairs with a broad base as well as short fine ones;","Description: Annual erect herbs rarely exceeding 50 cm high, moderately branched, with each branch ending in an inflorescence, with a distinct tap root, covered with spreading long coarse hairs with a broad base as well as short fine ones; leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 2.5-10 x 0.2-2.5 cm, with cuneate base on the lower parts becoming subcordate below the inflorescence.Inflorescence with one to few terminal monochasia with sessile flowers arranged in 2 rows; sepals scarcely connate basally, 3-5 mm long or to 7 mm long when fruiting; corolla narrowly tubular, usually pale-yellow, 5-8 mm long, glabrous outside and inside, without nectaries or protrusions, lobes oblong to almost square, 1-1.5 mm long, rounded; stamens with filaments connate to almost the whole corolla tube, with anthers sessile in the throat, narrowly elliptic, c. 1 mm long, without appendage; ovary 4-lobed, with style inserted at about the middle, c. 4 mm long, glabrous, terminating in a capitate stigma which is slightly bilobed.mericarps ovoid, with a dorsal ridge covered with pointed tubercles, muricate to rugose with pointed tubercles on the sides, pale-brown."
Amsinckia calycina,leaf_width,maximum,25,mm,good,,117,Amsinckia calycina,25,"leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 2.5-10 x 0.2-2.5 cm, with cuneate base on the lower parts becoming subcordate below the inflorescence.","annual erect herbs rarely exceeding 50 cm high, moderately branched, with each branch ending in an inflorescence, with a distinct tap root, covered with spreading long coarse hairs with a broad base as well as short fine ones;","Description: Annual erect herbs rarely exceeding 50 cm high, moderately branched, with each branch ending in an inflorescence, with a distinct tap root, covered with spreading long coarse hairs with a broad base as well as short fine ones; leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 2.5-10 x 0.2-2.5 cm, with cuneate base on the lower parts becoming subcordate below the inflorescence.Inflorescence with one to few terminal monochasia with sessile flowers arranged in 2 rows; sepals scarcely connate basally, 3-5 mm long or to 7 mm long when fruiting; corolla narrowly tubular, usually pale-yellow, 5-8 mm long, glabrous outside and inside, without nectaries or protrusions, lobes oblong to almost square, 1-1.5 mm long, rounded; stamens with filaments connate to almost the whole corolla tube, with anthers sessile in the throat, narrowly elliptic, c. 1 mm long, without appendage; ovary 4-lobed, with style inserted at about the middle, c. 4 mm long, glabrous, terminating in a capitate stigma which is slightly bilobed.mericarps ovoid, with a dorsal ridge covered with pointed tubercles, muricate to rugose with pointed tubercles on the sides, pale-brown."
Amsinckia lycopsoides,leaf_length,minimum,3,mm,good,,118,Amsinckia lycopsoides,3,"leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 3-9 x 0.5-2 mm, with a cuneate base on the lower parts becoming subcordate below the inflorescence.","annual herbs to 50 cm high, moderately branched with branches erect to decumbent, each terminating in an inflorescence, covered with spreading long coarse hairs with a broad base as well as short fine ones;","Description: Annual herbs to 50 cm high, moderately branched with branches erect to decumbent, each terminating in an inflorescence, covered with spreading long coarse hairs with a broad base as well as short fine ones; leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 3-9 x 0.5-2 mm, with a cuneate base on the lower parts becoming subcordate below the inflorescence.Inflorescence with 1-3 terminal monochasia with sessile flowers arranged in 2 rows; sepals scarcely connate basally, 4-5 mm or to 8 mm long when fruiting; corolla narrowly tubular, bright-yellow to orange in the throat, 6-8 mm long, glabrous outside and inside except for hairy pouches in the throat; lobes square to transversely oblong, c. 1.5 mm long, rounded; stamens with filaments connate to one-third or half the corolla tube, with anthers sessile, narrowly elliptic, c. 1 mm long, without appendage; ovary 4-lobed, with a style inserted at about the middle, 3-4 mm long, glabrous, terminating in a scarcely lobed capitate stigma.Mericarp ovoid, with dorsal ridge covered with pointed tubercles, rugose with pointed tubercles but in parts muricate."
Amsinckia lycopsoides,leaf_length,maximum,9,mm,good,,118,Amsinckia lycopsoides,9,"leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 3-9 x 0.5-2 mm, with a cuneate base on the lower parts becoming subcordate below the inflorescence.","annual herbs to 50 cm high, moderately branched with branches erect to decumbent, each terminating in an inflorescence, covered with spreading long coarse hairs with a broad base as well as short fine ones;","Description: Annual herbs to 50 cm high, moderately branched with branches erect to decumbent, each terminating in an inflorescence, covered with spreading long coarse hairs with a broad base as well as short fine ones; leaves sessile, densely clustered at the base, linear-oblanceolate to linear-lanceolate, 3-9 x 0.5-2 mm, with a cuneate base on the lower parts becoming subcordate below the inflorescence.Inflorescence with 1-3 terminal monochasia with sessile flowers arranged in 2 rows; sepals scarcely connate basally, 4-5 mm or to 8 mm long when fruiting; corolla narrowly tubular, bright-yellow to orange in the throat, 6-8 mm long, glabrous outside and inside except for hairy pouches in the throat; lobes square to transversely oblong, c. 1.5 mm long, rounded; stamens with filaments connate to one-third or half the corolla tube, with anthers sessile, narrowly elliptic, c. 1 mm long, without appendage; ovary 4-lobed, with a style inserted at about the middle, 3-4 mm long, glabrous, terminating in a scarcely lobed capitate stigma.Mericarp ovoid, with dorsal ridge covered with pointed tubercles, rugose with pointed tubercles but in parts muricate."
