Site,Family,Species,No.,Season,LMA g/m2,Leaf N concentration mg/g DW,Leaf N P ratio,Leaf P concentration mg/g DW,Leaf P concentration per leaf area mg/m2,Photosynthetic rate (leaf area basis) umol CO2/m2/s,Photosynthetic rate (dry mass basis) umol CO2/g DW/s,PPUE  umol CO2/g P/s,PNUE umol CO2/g N/s,Lipid P concentration mg/g DW,Nucleic acid P concentration mg/g DW,Residual P concentration mg/g DW,Pi concentration mg/g DW,Metabolite P concentration mg/g DW,Pre-dawn leaf waterpotential Mpa
BD,Proteaceae,Stirlingia latifolia,Q32,Summer,337.9461034,6.14,40.93125446,0.150007618,50.69449012,7.265807861,21.49990128,143.3253958,3.501612586,0.034614806,0.05124873,0.007233524,0.055609472,0.01069705,-1.5
BD,Proteaceae,Stirlingia latifolia,Q33,Summer,290.2472557,6.27,28.2061752,0.222291748,64.51956993,,,,,0.042671602,0.059055318,0.008196614,0.058734406,0.053888693,-0.6
BD,Myrtaceae,Melaleuca seriata,Q4,Summer,238.3316783,7.47,26.16575224,0.285487684,68.0407588,8.160349782,34.23946763,119.9332566,4.583596737,0.068314932,0.094819496,0.011010977,0.06072964,0.040011823,-1.5
BD,Myrtaceae,Melaleuca seriata,Q6,Summer,285.7363503,7.59,37.1925088,0.204073354,58.31117525,12.80204445,44.80369556,219.5470147,5.902990192,0.042788031,0.070190249,0.007483928,0.041165682,0.028332195,-1.6
BD,Myrtaceae,Melaleuca seriata,Q9,Summer,283.435235,7.28,26.06337886,0.279319118,79.1688799,12.9970079,45.8553006,164.1681418,6.298805027,0.061389334,0.086109612,0.008514503,0.048045708,0.075259961,-1.3
BD,Myrtaceae,Melaleuca seriata,Q10,Summer,256.8493151,8.24,33.60614447,0.245193256,62.97771999,,,,,0.057858855,0.08931541,0.010577281,0.068407347,0.023874946,-1.2
BD,Myrtaceae,Melaleuca seriata,Q22,Summer,241.3557899,6.19,24.03340647,0.257558162,62.16315367,,,,,0.089235874,0.077542586,0.007830443,0.047534979,0.03541428,-1.3
BD,Myrtaceae,Scholtzia involucrata,C6,Summer,137.6536148,8.9,24.13493433,0.368760067,50.76115621,22.06021994,160.2589222,434.5886026,18.00662047,0.105537901,0.091298293,0.022065392,0.077167097,0.03103888,-2.6
BD,Myrtaceae,Scholtzia involucrata,C7,Summer,144.2359135,9.65,21.31566607,0.45271867,65.29829098,26.3427914,182.6368397,403.4223716,18.92609737,0.122091192,0.114982434,0.043206218,0.09914955,0.055096646,-2
BD,Myrtaceae,Scholtzia involucrata,C8,Summer,104.6587927,9.06,29.1437594,0.310872728,32.53556444,15.66950407,149.7199009,481.6115639,16.52537538,0.077491545,0.076045275,0.034881889,0.057860913,0.053794772,-1.2
BD,Myrtaceae,Scholtzia involucrata,C9,Summer,137.7526273,9.99,29.10617206,0.343226171,47.28030686,16.801146,121.9660657,355.3518814,12.20881539,0.076136353,0.11304773,0.025456141,0.09173422,0.021159123,-2.5
BD,Myrtaceae,Scholtzia involucrata,C10,Summer,138.7940287,8.26,38.98259552,0.211889431,29.40898783,8.123782593,58.5312111,276.2346886,7.086103039,0.038720525,0.055464948,0.020922135,0.071093148,0.026154926,-2.7
BD,Myrtaceae,Eremaea pauciflora,SL26,Summer,204.7005307,7.6,35.32071707,0.21517117,44.04565259,14.79428173,72.27280595,335.8851751,9.50957973,0.03436129,0.073004054,0.009250096,0.04986097,0.039051134,-1.4
BD,Myrtaceae,Eremaea pauciflora,SL27,Summer,188.8217523,6.76,27.20890763,0.248448048,46.91239585,5.18125627,27.4399332,110.4453562,4.059161716,0.055695791,0.092309813,0.015199867,0.04040978,0.073716816,-1
BD,Myrtaceae,Eremaea pauciflora,SL28,Summer,216.2209867,7.8,27.44590162,0.284195437,61.44901777,,,,,0.056359611,0.080685953,0.014446209,0.0393125,0.093391164,-1.2
BD,Myrtaceae,Eremaea pauciflora,SL29,Summer,201.2903226,8.75,30.48800336,0.286998132,57.76994649,8.729529682,43.36785579,151.1084952,4.956326376,0.055151686,0.092930703,0.012135522,0.050272004,0.067158864,-1.1
BD,Myrtaceae,Eremaea pauciflora,SL30,Summer,198.0358081,8.68,32.79563877,0.264669338,52.41400622,12.74516354,64.35787377,243.1633156,7.414501586,0.061133505,0.077050998,0.004686338,0.077716246,0.044082252,-1.1
BD,Fabaceae,Daviesia physodes,SL71,Summer,304.3535795,11.49,52.49739574,0.218868,66.61325918,26.05890831,85.62050874,391.1970175,7.451741405,0.049104983,0.053753181,0.003217226,0.072179129,0.051910315,-1.7
BD,Fabaceae,Daviesia physodes,Q39,Summer,243.3628319,14.19,58.66986854,0.2418618,58.86017253,9.325515093,38.31938929,158.4350622,2.700450267,0.034673963,0.068277573,0.003797359,0.094928301,0.034895017,-1.4
BD,Fabaceae,Daviesia physodes,Q40,Summer,252.8901734,14.31,57.13506499,0.250459153,63.3386587,17.55112817,69.40217541,277.0997766,4.849907436,0.038051316,0.094612161,0.012299522,0.100646843,0.018856967,-1.3
BD,Fabaceae,Daviesia physodes,Q41,Summer,228.1947262,11.35,60.42221619,0.187844815,42.86519604,4.448754243,19.4954297,103.7847637,1.717659005,0.019348204,0.043026687,0.010956137,0.037611023,0.06844865,-1.4
BD,Fabaceae,Daviesia physodes,Q42,Summer,258.3144979,11.87,45.14121604,0.262952597,67.92446813,2.898957935,11.22259091,42.67914074,0.945458375,0.05910669,0.049445157,0.010200564,0.056473883,0.083770179,-2.4
BD,Fabaceae,Acacia huegelii,C1,Summer,131.1794563,13.59,45.55254958,0.298336759,39.13565383,13.79608539,105.1695576,352.5196091,7.738745962,0.070315456,0.083251706,0.018460436,0.125252734,0.000353251,-2.1
BD,Fabaceae,Acacia huegelii,C2,Summer,121.7499725,13.76,38.11339158,0.36102796,43.95514417,7.52643376,61.81877175,171.2298731,4.492643295,0.07846486,0.070190801,0.015666548,0.118790941,0.045662961,-1.9
BD,Fabaceae,Acacia huegelii,C3,Summer,160.115886,11.68,32.60609951,0.358215186,57.35594188,12.1124461,75.6479972,211.1803189,6.476712089,0.066520527,0.087355287,0.020919774,0.119317104,0.036346463,-2.2
BD,Fabaceae,Acacia huegelii,C4,Summer,149.3068954,11.95,39.01287902,0.3063091,45.73406129,10.61725409,71.11027294,232.1520063,5.950650455,0.046070164,0.075440031,0.0170808,0.145443609,0.005659758,-2.1
BD,Fabaceae,Acacia huegelii,C5,Summer,178.452695,14.24,36.06617221,0.394829812,70.45844404,14.75602355,82.68871227,209.4287456,5.806791592,0.073908744,0.116452094,0.024553296,0.134233553,0.017654986,-2.5
BD,Fabaceae,Jacksonia floribunda,C21,Summer,239.2981083,16.18,28.34467676,0.570830288,136.5986081,23.89754754,99.86517532,174.9472258,6.172136917,0.086220499,0.163186695,0.036166895,0.152879998,0.07975498,0
BD,Fabaceae,Jacksonia floribunda,C22,Summer,248.7455874,14.88,31.40165777,0.473860333,117.8706668,9.316629055,37.45444956,79.04111608,2.517100105,0.064486052,0.143733898,0.029728633,0.077180125,0.122070243,-2.6
BD,Fabaceae,Jacksonia floribunda,C23,Summer,304.4533079,13.06,37.62522799,0.347107531,105.6780361,18.84721417,61.90510558,178.3456134,4.740054026,0.059139312,0.114017478,0.02334339,0.061654593,0.085794155,-1.2
BD,Fabaceae,Jacksonia floribunda,C24,Summer,308.1215826,13.36,27.20877912,0.491017989,151.2932398,8.191463426,26.58516601,54.14295733,1.989907636,0.069459633,0.139480314,0.028166481,0.099018979,0.109527435,-2.1
BD,Fabaceae,Jacksonia floribunda,C25,Summer,257.910415,14.71,36.61911167,0.401702808,103.603338,15.76714034,61.13417458,152.1875708,4.155960203,0.056472271,0.11484609,0.028526811,0.09388541,0.085319215,-1.4
BD,Proteaceae,Petrophile linearis,SL46,Winter,482.7834966,6.37,43.19815151,0.1475,71.19126087,15.78021595,32.68590592,221.6594531,5.13122542,0.02946067,0.051482607,0.001036185,0.030553974,0.063053814,-0.3
BD,Proteaceae,Petrophile linearis,SL47,Winter,463.0080905,5.42,36.35415275,0.1491,69.0293587,16.02686917,34.61466333,232.1746786,6.386469248,0.031581341,0.04393478,0.003040454,0.038727182,0.056813379,-0.25
BD,Proteaceae,Petrophile linearis,SL48,Winter,496.5434583,6.41,34.66079628,0.1849,91.82834526,19.88471503,40.04627328,216.542234,6.247468531,0.039936576,0.050356832,0.003083935,0.054342249,0.05888675,-0.25
BD,Proteaceae,Petrophile linearis,SL49,Winter,466.2484144,5.95,27.58777415,0.2157,100.5582419,23.24704419,49.85978177,231.1798989,8.379795255,0.044137279,0.046755124,0.001792518,0.046618108,0.058404488,-0.28
BD,Proteaceae,Petrophile linearis,SL50,Winter,512.2300806,7.69,30.22123962,0.2545,130.3404284,18.75735349,36.61900034,143.9104791,4.761898613,0.047637773,0.047505688,0.004948342,0.043023466,0.09828609,-0.35
BD,Proteaceae,Banksia attenuata,SL51,Winter,205.0973529,8.694119453,32.59692797,0.2667,54.70272804,20.37403408,99.3383571,359.4306223,11.42592503,0.045092159,0.092002405,0.020489436,0.044898364,0.04474557,-0.07
BD,Proteaceae,Banksia attenuata,SL52,Winter,224.1852585,8.611326814,31.66225277,0.272,60.97268384,21.00451407,93.69266384,339.0031147,10.88016584,0.040344028,0.089486008,0.024288541,0.038715011,0.058638446,-0.15
BD,Proteaceae,Banksia attenuata,SL53,Winter,220.6297814,6.798676848,26.21488732,0.2593,57.21903621,19.53708133,88.55142403,320.4008439,13.02480262,0.044205124,0.097621385,0.021089765,0.039267886,0.037056519,-0.15
BD,Proteaceae,Banksia attenuata,SL54,Winter,244.8522725,9.164034128,29.80426311,0.3075,75.2856923,22.49780816,91.88319118,332.4559974,10.02650033,0.052018067,0.108821819,0.031235055,0.08582752,0.052429848,-0.05
BD,Proteaceae,Banksia attenuata,SL55,Winter,254.1361963,,,,,17.62860859,69.36677595,,,,,,,0,-0.05
BD,Proteaceae,Stirlingia latifolia,Q29,Winter,339.9602926,9.21,36.21963774,0.254281947,86.44576506,2.718836149,7.99751091,31.45135157,0.868350805,0.02947948,0.088008694,0.014683992,0.053235231,0.052819593,0
BD,Proteaceae,Stirlingia latifolia,Q30,Winter,331.9451989,7.66,33.5117802,0.228576338,75.87481801,8.635577115,26.01506858,113.8134804,3.396223053,0.030301478,0.08045733,0.014405947,0.057009757,0.043881376,0
BD,Proteaceae,Stirlingia latifolia,Q31,Winter,265.5355542,8.54,27.44362118,0.311183424,82.63026289,9.539763318,35.92650087,115.4512038,4.206850219,0.042717943,0.113561803,0.019064884,0.051970901,0.06769612,0
BD,Proteaceae,Stirlingia latifolia,Q32,Winter,272.4209621,6.64,26.00904046,0.255295846,69.54794011,1.806416834,6.630975899,25.97369284,0.998640949,0.045779506,0.089518041,0.012879619,0.067642248,0.051161198,0
BD,Proteaceae,Stirlingia latifolia,Q33,Winter,279.8982188,8.46,32.98433951,0.256485354,71.78979377,7.973053313,28.48554502,111.0610979,3.3670857,0.04280511,0.096864671,0.014005335,0.05533496,0.065065082,0
BD,Myrtaceae,Melaleuca seriata,Q4,Winter,265.0845746,9.953888059,26.8039533,0.371358954,98.44153034,3.877139972,14.62604898,39.38520621,1.469380497,0.084195139,0.148668501,0.022623743,0.06078502,0.099512584,-0.15
BD,Myrtaceae,Melaleuca seriata,Q6,Winter,317.551963,9.158004522,32.64529493,0.280530611,89.08304609,6.553745859,20.63834151,73.56894657,2.253584987,0.078845415,0.117654006,0.022813877,0.060930509,0.056227518,-0.2
BD,Myrtaceae,Melaleuca seriata,Q9,Winter,328.7360665,8.285313249,33.84808424,0.244779385,80.46781224,5.620396076,17.09698645,69.84651278,2.063529276,0.062240944,0.113241538,0.023489822,0.050684093,0.028141226,-0.38
BD,Myrtaceae,Melaleuca seriata,Q10,Winter,300.3766261,11.46651864,29.00266665,0.39536084,118.7571551,4.973703771,16.55822504,41.88129773,1.444049895,0.076684498,0.146598914,0.02990454,0.067678992,0.114811421,-0.25
BD,Myrtaceae,Melaleuca seriata,Q22,Winter,274.0749969,8.393497467,36.00891145,0.233095007,63.88551333,0.828915234,3.024410265,12.97501093,0.360327775,0.04945191,0.102621157,0.013730642,0.024158934,0.044309528,-0.1
BD,Myrtaceae,Scholtzia involucrata,C6,Winter,140.9159537,15.49,32.62206852,0.4748,66.91139532,6.056737101,42.98120221,90.51876846,2.774770963,0.092027841,0.195904493,0.033891917,0.147977,0.050291115,0
BD,Myrtaceae,Scholtzia involucrata,C7,Winter,184.8532377,13.56,24.88327045,0.5449,100.734745,15.90719999,86.05313159,157.9117512,6.34610115,0.11725011,0.196233456,0.042329205,0.219345379,0.042184687,-0.3
BD,Myrtaceae,Scholtzia involucrata,C8,Winter,119.9616123,14.74,38.69368476,0.3809,45.69826255,13.99052255,116.624996,,7.912143552,,,,,,-0.05
BD,Myrtaceae,Scholtzia involucrata,C9,Winter,176.9203227,14.01,30.84697297,0.4542,80.35322375,15.68399315,88.65003698,195.188101,6.327625766,0.089170854,0.168690596,0.031932399,0.134574204,0.073618504,-0.3
BD,Myrtaceae,Scholtzia involucrata,C10,Winter,153.9454735,11.81,34.22140747,0.345105619,53.12744789,22.54559855,146.4518445,424.3681834,12.40066423,0.068112117,0.126542771,0.028316096,0.100156034,0.06978694,0
BD,Myrtaceae,Eremaea pauciflora,SL26,Winter,219.610865,10.87,21.08220453,0.515600728,113.2315218,7.300209593,33.24156842,64.47153122,3.05810197,0.069673728,0.161277262,0.032874658,0.140050501,0.102932142,-0.07
BD,Myrtaceae,Eremaea pauciflora,SL27,Winter,198.2941272,8.63,22.38376907,0.385547223,76.45175004,6.761274731,34.09720109,88.43845596,3.951008237,0.072875481,0.14579843,0.025475242,0.088172791,0.102023246,0
BD,Myrtaceae,Eremaea pauciflora,SL28,Winter,216.1982372,9.1,24.93549369,0.364941642,78.89973958,5.781976669,26.74386593,73.28258244,2.938886366,0.054025651,0.12524207,0.024219184,0.06864946,0.08734317,-0.05
BD,Myrtaceae,Eremaea pauciflora,SL29,Winter,184.5719559,8.4,23.03532176,0.364657377,67.30552522,3.001304873,16.26089325,44.59225097,1.935820625,0.07235724,0.133756326,0.021406719,0.068586232,0.1110665,-0.05
BD,Myrtaceae,Eremaea pauciflora,SL30,Winter,203.7804792,7.87,24.26347659,0.324355826,66.09738573,3.920508992,19.23888396,59.31413094,2.444585001,0.059930451,0.117337455,0.016894205,0.061843951,0.091859567,-0.08
BD,Fabaceae,Daviesia physodes,SL71,Winter,213.1018153,15.24,36.70077404,0.415250098,88.49054958,11.35503965,53.28457493,128.3192352,3.496363185,0.063831427,0.144372905,0.035725474,0.076764748,0.10395248,0
BD,Fabaceae,Daviesia physodes,Q39,Winter,194.0639269,16.69,44.16313707,0.377916994,73.34005587,21.50126036,110.7947299,293.1721295,6.638390045,0.098046854,0.129185494,0.02770146,0.09412342,0.060682724,-0.38
BD,Fabaceae,Daviesia physodes,Q40,Winter,251.7834662,19.22,53.58044601,0.358712953,90.31799063,21.12674889,83.90840435,233.9151784,4.365681808,0.060575055,0.132747471,0.025936649,0.096329863,0.070362193,-0.2
BD,Fabaceae,Daviesia physodes,Q41,Winter,285.986654,15.3,46.5407129,0.328744427,94.01651874,18.32400126,64.07292442,194.9019333,4.187772838,0.048830512,0.121763855,0.032347806,0.075279057,0.081396357,-0.1
BD,Fabaceae,Daviesia physodes,Q42,Winter,284.9453855,16.19,38.45585242,0.42100224,119.9626455,17.62258434,61.8454807,146.9005978,3.819980278,0.064769506,0.134488529,0.025271653,0.101316586,0.072272472,-0.05
BD,Fabaceae,Acacia huegelii,C1,Winter,189.4230277,19.24,47.55015004,0.4046,76.64537441,21.75128338,114.8291401,283.7912079,5.968250523,0.073602845,0.147426206,0.03335533,0.106864105,0.042295359,
BD,Fabaceae,Acacia huegelii,C2,Winter,144.3661972,21.45,48.08044247,0.4461,64.40570783,6.055572425,41.94591631,94.02229446,1.955520574,0.121489735,0.168550396,0.03600474,0.13682756,0.033973693,-1.05
BD,Fabaceae,Acacia huegelii,C3,Winter,135.3850218,16.43,44.27245849,0.3711,50.24288201,13.99593524,103.3787568,278.5655337,6.292072843,0.083866593,0.111677506,0.024915598,0.082357355,0.055697002,-0.8
BD,Fabaceae,Acacia huegelii,C4,Winter,165.505459,15.41,40.49974947,0.3805,62.97419506,9.467223924,57.20188313,150.3349731,3.711997608,0.061733079,0.100942813,0.025075182,0.121400749,0.074245833,-0.05
BD,Fabaceae,Acacia huegelii,C5,Winter,179.734891,21.01,44.04208365,0.477,85.74140337,18.95354334,105.4527768,221.0547366,5.019170717,0.077900941,0.167379123,0.035801505,0.140348296,0.09869172,0
BD,Fabaceae,Jacksonia floribunda,C21,Winter,362.7021309,20.35,40.30411396,0.5049,183.1323812,19.84030829,54.70138332,108.3386136,2.688028664,0.08036261,0.138772867,0.032427663,0.140489362,0.087351599,-0.2
BD,Fabaceae,Jacksonia floribunda,C22,Winter,551.3591002,18.37,44.95932113,0.4086,225.2806852,8.888791814,16.12160171,39.45651979,0.877604884,0.069255955,0.127867257,0.033912739,0.113173452,0.088269543,
BD,Fabaceae,Jacksonia floribunda,C23,Winter,481.9514114,15.74,44.95035274,0.3502,168.7620842,15.15582137,31.44678283,89.80584374,1.997889633,0.062543151,0.130175706,0.023026247,0.098527223,0.117877874,-0.4
BD,Fabaceae,Jacksonia floribunda,C24,Winter,442.9605633,18.6,36.87869356,0.5044,223.4099336,11.95854698,26.99686603,53.52737362,1.45144441,0.137797503,0.152292414,0.042053409,0.097897031,0.045879304,-0.15
BD,Fabaceae,Jacksonia floribunda,C25,Winter,484.3096928,15.6,40.97567487,0.3807,184.3833257,7.872740894,16.25559226,42.69768355,1.042025145,0.077638489,0.117565839,0.033336087,0.100138002,0.042768766,-0.7
WF,Proteaceae,Grevillea thelemanniana,SL1,Summer,227.302247,6.35,14.6930579,0.432176885,98.23477716,1.873311789,8.241501406,19.06974131,1.297874237,0.07604786,0.121314671,0.028433557,0.051004376,0.086342842,-4.6
WF,Proteaceae,Grevillea thelemanniana,SL2,Summer,211.6585704,7.6,18.32889989,0.414645726,87.76332158,2.648082038,12.51110235,30.17299243,1.646197678,0.074711516,0.151351745,0.04080568,0.059750176,0.054235921,-4.4
WF,Proteaceae,Grevillea thelemanniana,SL3,Summer,250.2546561,6.19,15.88410254,0.389697812,97.52369186,2.40475536,9.609233239,24.65816576,1.552380168,0.071367089,0.097392876,0.020847383,0.044270126,0.059429941,-2.5
WF,Proteaceae,Grevillea thelemanniana,SL4,Summer,255.2667999,6.71,15.95348904,0.42059765,107.3646162,8.166667043,31.99267216,76.06479054,4.767909412,0.102639411,0.109110269,0.038192127,0.054175021,0.051779823,-2.4
WF,Proteaceae,Grevillea thelemanniana,SL5,Summer,254.1661971,5.97,15.31416348,0.389835201,99.08293056,,,,,0.079339718,0.110182571,0.02856263,0.038132885,0.053576502,-2.3
WF,Proteaceae,Banksia telmatiaea,SL6,Summer,265.3456817,6.794903278,25.98487918,0.261494511,69.38643933,1.733079274,6.531401841,24.97720434,0.961220723,0.062956605,0.101832706,0.028200136,0.030177324,0.050205195,-2.9
WF,Proteaceae,Banksia telmatiaea,SL7,Summer,242.5851337,7.404276729,23.84007923,0.310581045,75.3423444,,,,,0.077682861,0.115150004,0.028899924,0.038164144,0.062356045,-3
WF,Proteaceae,Banksia telmatiaea,SL8,Summer,241.641876,6.566050649,25.96704233,0.252860937,61.10179113,5.473347675,22.65065876,89.5775324,3.44966251,0.056897379,0.086536728,0.021984789,0.02492089,0.051974381,-2.6
WF,Proteaceae,Banksia telmatiaea,SL9,Summer,286.3157895,7.777751684,21.93634339,0.354560081,101.5161494,10.76926857,37.6132542,106.0842894,4.836006051,0.062384429,0.128347148,0.033846085,0.026649099,0.080640641,-2.3
WF,Proteaceae,Banksia telmatiaea,SL10,Summer,251.9701235,6.614774466,18.29070357,0.361646803,91.12418953,4.095670321,16.25458711,44.94602741,2.457315392,0.058040313,0.120779231,0.029991385,0.040105527,0.083959087,-2.4
WF,Proteaceae,Hakea ceratophylla,SL11,Summer,365.9540946,4.3,26.29350797,0.163538468,59.84757183,,,,,0.03023952,0.052095366,0,0.033074376,0.053705972,-2
WF,Proteaceae,Hakea ceratophylla,SL12,Summer,441.7405953,5.15,21.23864015,0.242482568,107.1143938,3.987089993,9.025862771,37.22272844,1.752594713,0.046973507,0.087588669,0,0.042345817,0.043399908,-1.25
WF,Proteaceae,Hakea ceratophylla,SL13,Summer,388.1557699,5.17,23.73686756,0.217804645,84.54212948,6.168432968,15.89164312,72.96282938,3.073818785,0.029492656,0.070488451,0,0.035646234,0.03464918,-1.4
WF,Proteaceae,Hakea ceratophylla,SL14,Summer,402.4196706,4.73,20.06370901,0.235749033,94.87004824,11.38702288,28.29638735,120.0275861,5.982322908,0.049304153,0.067982306,0,0.036662326,0.039498444,-1.8
WF,Proteaceae,Hakea ceratophylla,SL15,Summer,396.652309,3.55,19.57362441,0.181366513,71.93944605,12.00356634,30.26218698,166.85653,8.524559712,0.033439286,0.060386603,0,0.02819505,0.040578636,-1.35
WF,Myrtaceae,Beaufortia squarrosa,SL16,Summer,147.8958455,7.52,33.10750446,0.227138835,33.59289009,5.318409141,35.96050399,158.3194875,4.781981914,0.031501326,0.072126782,0.008124682,0.063121552,0.023568703,-1.9
WF,Myrtaceae,Beaufortia squarrosa,SL17,Summer,153.0729738,7.57,27.96061473,0.270737967,41.4426658,3.147395331,20.56140449,75.94577401,2.716169682,0.049131518,0.099151514,0.003422829,0.052306434,0.078072484,-2.2
WF,Myrtaceae,Beaufortia squarrosa,SL18,Summer,131.1215843,7.12,26.99072258,0.263794346,34.58913253,5.504842162,41.98273068,159.1494715,5.896450939,0.037243174,0.090301133,0.006254529,0.054903009,0.032396304,-2.2
WF,Myrtaceae,Beaufortia squarrosa,SL19,Summer,143.8580103,6.5,19.11171976,0.340105447,48.92689295,4.011812951,27.88731015,81.99607025,4.290355408,0.056017708,0.109196465,0.012965356,0.050936055,0.050787914,-1.5
WF,Myrtaceae,Beaufortia squarrosa,SL20,Summer,125.8178158,8.79,20.74239014,0.423769871,53.31779961,,,,,0.063834067,0.118588598,0.024449935,0.05440932,0.06961824,-3.1
WF,Myrtaceae,Calothamnus hirsutus,SL21,Summer,211.3519009,5.21,26.74863178,0.194776318,41.16634499,12.38143603,58.58208974,300.7659783,11.2441631,0.022195051,0.059980653,0.009260403,0.057333036,0.033045464,-2.5
WF,Myrtaceae,Calothamnus hirsutus,SL22,Summer,197.5755449,6.05,27.85870339,0.217167322,42.90695191,12.38143603,62.66684488,288.5648006,10.35815618,0.017235403,0.067980887,0.015801825,0.059874208,0.036699185,-3
WF,Myrtaceae,Calothamnus hirsutus,SL23,Summer,215.4590007,5.73,25.29708819,0.226508283,48.80324821,2.836063524,13.16289185,58.11218778,2.297188804,0.014400922,0.058669888,0.009087217,0.054141785,0.045044667,-2.8
WF,Myrtaceae,Calothamnus hirsutus,SL24,Summer,201.3737552,6.3,22.29815492,0.282534587,56.89505083,0.735491077,3.652368089,12.92715389,0.579740967,0.02958009,0.076278627,0.009998608,0.067446942,0.072697596,-2.8
WF,Myrtaceae,Calothamnus hirsutus,SL25,Summer,205.6073353,6.04,19.66784031,0.307100317,63.14207791,5.833407549,28.37159258,92.38542255,4.697283539,0.020156315,0.076519151,0.012655939,0.052465904,0.068601509,-2.5
WF,Myrtaceae,Melaleuca rhaphiophylla,SL66,Summer,184.8776361,14.09569144,25.61638876,0.550260678,101.7308933,6.768468807,36.61053306,66.53307158,2.597285363,0.117599428,0.136155721,0.025619784,0.123280075,0.237930776,-3.6
WF,Myrtaceae,Melaleuca rhaphiophylla,SL67,Summer,171.9534821,14.11138296,16.34205386,0.86350119,148.4820365,3.734660789,21.7190181,25.15227349,1.539113364,0.146314432,0.142863781,0.018552662,0.161880461,0.308516958,-2.6
WF,Myrtaceae,Melaleuca rhaphiophylla,SL68,Summer,189.4814678,15.25734186,19.9291917,0.765577555,145.0627589,3.800211457,20.05584768,26.19701628,1.314504706,0.133449292,0.180070089,0.01946396,0.14842282,0.248883155,-2.4
WF,Myrtaceae,Melaleuca rhaphiophylla,SL69,Summer,177.1004942,12.8422606,24.89213287,0.515916441,91.36905667,1.709157331,9.650776741,18.70608489,0.75148582,0.108491224,0.148233343,0.026601072,0.077166207,0.132094477,-3.9
