taxon_name,growth_form_icons,plant_growth_form,growth_habit,parasitic,life_history,regen_strategy,growth_medium,sex_type
Acrothamnus spathaceus,shrub,,,,,,,
Acrotriche aggregata,shrub,,,,,,,
Acrotriche baileyana,shrub,,,,,,,
Actephila bella,shrub,tree subshrub,,,,,,
Actephila championiae,shrub tree,tree shrub,,,,,,
Actephila foetida,shrub,,,,,,,
Actephila forsteri,shrub,,,,,,,
Actephila latifolia,shrub,,,,,,,
Actephila lindleyi,shrub tree,tree shrub,,,,,,
Actephila petiolaris subsp. jagonis,shrub tree,shrub,,,,,,
Actephila petiolaris subsp. petiolaris,shrub tree,tree,,,,,,
Actephila plicata,shrub,tree shrub,,,,,,
Actephila sessilifolia,shrub,,,,,,,
Actephila traceyi,shrub,shrub,,,,,,
Actephila venusta,shrub,,,,,,,
Actephila vernicosa,shrub,,,,,,,
Adansonia gregorii,tree,tree,,,,,,
Adenanthera pavonina,tree,,,,,,,
Adenia heterophylla subsp. australis,climber_vine,climber_vine,,,,,,
Adenia heterophylla subsp. heterophylla,climber_vine,climber_vine,,,,,,
Adenostemma lavenia,herb,,,,annual,,,
Adenostemma macrophyllum,herb shrub,,,,,,,
Aeschynomene americana,herb shrub,,,,,,,
Afrohybanthus enneaspermus,herb,herb,,,perennial,,,
Afrohybanthus stellarioides,herb,herb,,,annual,,,
Agathis atropurpurea,tree,tree,,,,,,
Agathis microstachya,tree,,,,,,,
Agathis robusta,tree,,,,,,,
Ageratina riparia,herb shrub,,,,,,,
Ageratum conyzoides subsp. conyzoides,herb shrub,,,,,,,
Aglaia argentea,tree,,,,,,,
Aglaia australiensis,shrub tree,,,,,,,
Aglaia brassii,shrub tree,tree,,,,,,
Aglaia brownii,shrub tree,,,,,,,
Aglaia cooperae,shrub,tree,,,,,,
Aglaia elaeagnoidea,shrub tree,tree,,,,,,
Aglaia euryanthera,shrub tree,tree,,,,,,
Aglaia ferruginea,shrub tree,tree,,,,,,
Aglaia meridionalis,shrub tree,tree,,,,,,
Aglaia sapindina,shrub tree,,,,,,,
Aglaia silvestris,tree,tree,,,,,,
Aglaia spectabilis,shrub tree,,,,,,,
Aidia cowleyi,shrub tree,tree,,,,,,
Aidia racemosa,shrub tree,,,,,,,
Ailanthus integrifolia subsp. integrifolia,tree,,,,,,,
Ailanthus triphysa,tree,,,,,,,
Alangium polyosmoides subsp. polyosmoides,tree,,,,,,,
Alangium polyosmoides subsp. tomentosum,tree,,,,,,,
Alangium solomonense,tree,,,,,,,
Albizia canescens,shrub tree,tree,,,,,,
Albizia lebbeck,tree,,,,,,,
Albizia procera,tree,tree,,,,,,
Albizia retusa,tree,,,,,,,
Albizia sp  sir charles hardy is b.hyland 25849rfk,shrub tree,tree,,,,,,
Albizia sp  windsor tableland b.gray 2181,tree,,,,,,,
Alchornea ilicifolia,shrub tree,tree,,,,,,
Alchornea rugosa,shrub tree,tree,,,,,,
Alchornea thozetiana,shrub,tree,,,,,,
Alectryon connatus,shrub tree,tree,,,,,,
Alectryon diversifolius,shrub,tree shrub,,,,,,
Alectryon kimberleyanus,tree,tree,,,,,,
Alectryon oleifolius subsp. elongatus,shrub tree,tree shrub,,,,,,
Alectryon reticulatus,shrub tree,tree,,,,,,
Alectryon semicinereus,tree,tree,,,,,,
Alectryon subdentatus,shrub tree,tree shrub,,,,,,
Alectryon tomentosus,tree,tree,,,,,,
Alectryon tropicus,tree,tree,,,,,,
Aleurites moluccanus,tree,tree,,,,,,
Aleurites rockinghamensis,tree,,,,,,,
Allamanda cathartica,shrub climber_vine climber_vine_herbaceous,tree,,,,,,
Allocasuarina torulosa,shrub tree,,,,,,,
Allophylus cobbe,shrub tree climber_vine,tree,,,,,,
Allosyncarpia ternata,tree,tree,,,,,,
Alloxylon flammeum,tree,,,,,,,
Alloxylon wickhamii,tree,,,,,,,
Alocasia brisbanensis,herb shrub,herb,,,,,,
Alphitonia excelsa,shrub tree,tree,,,,,,
Alphitonia oblata,tree,tree,,,,,,
Alphitonia petriei,shrub tree,,,,,,,
Alphitonia whitei,tree,,,,,,,
Alpinia arctiflora,herb shrub,,,,,,,
Alpinia caerulea,herb shrub,,,,,,,
Alpinia hylandii,herb shrub,,,,,,,
Alpinia modesta,herb shrub,,,,,,,
Alstonia actinophylla,tree,,,,,,,
Alstonia constricta,tree,tree shrub,,,,,,
Alstonia linearis,tree,,,,,,,
Alstonia muelleriana,tree,,,,,,,
Alstonia scholaris,tree,tree,,,,,,
Alstonia spectabilis subsp. ophioxyloides,tree,,,,,,,
Alstonia spectabilis subsp. spectabilis,tree,,,,,,,
Alternanthera ficoidea,herb shrub,,,,,,,
Alternanthera nana,herb,herb,prostrate erect,,,,,
Alyxia grandis,climber_vine,tree climber_vine,,,,,,
Alyxia ilicifolia,shrub,,,,,,,
Alyxia magnifolia,shrub,shrub,,,,,,
Alyxia oblongata,shrub,,,,,,,
Alyxia orophila,shrub tree,tree,,,,,,
Alyxia ruscifolia,shrub,,,,,,,
Alyxia spicata,shrub climber_vine,climber_vine,,,,,,
Alyxia stellata,shrub climber_vine_herbaceous,shrub climber,,,,,,
Amaracarpus nematopodus,herb shrub,,,,,,,
Amaranthus hybridus,herb shrub,,,,,,,
Amaranthus interruptus,herb,herb,erect decumbent,,,,,
Amaranthus rhombeus,herb,,erect decumbent,,,,,
Amaranthus spinosus,herb shrub,,,,,,,
Amomum queenslandicum,herb shrub,,,,,,,
Amorphophallus galbra,herb shrub,herb,,,,,,
Amorphophallus paeoniifolius,herb,,,,,,,
Amorphospermum antilogum,tree,,,,,,,
Ampelocissus acetosa,climber_vine,climber_vine,,,,,,
Ampelocissus gardineri,climber_vine_herbaceous,climber_vine,,,,,,
Amyema bifurcata,epiphyte,shrub,,stem_parasitic,,,,
Amyema congener subsp. congener,epiphyte,shrub,,stem_parasitic,,,,
Amyema congener subsp. divergens,epiphyte,shrub,,stem_parasitic,,,,
Amyema conspicua subsp. conspicua,epiphyte,shrub,,stem_parasitic,,,,
Amyema dolichopoda,epiphyte,shrub,,stem_parasitic,,,,
Amyema friesiana,,shrub,,stem_parasitic,,,,
Amyema glabra,,shrub,,stem_parasitic,,,,
Amyema plicatula,,shrub,,stem_parasitic,,,,
Amyema quandang,,,,,,,,
Amyema quaternifolia,,shrub,,stem_parasitic,,,,
Amyema queenslandica,,shrub,,stem_parasitic,,,,
Amyema seemeniana,,shrub,,stem_parasitic,,,,
Amyema villiflora subsp. tomentilla,,shrub,,stem_parasitic,,,,
Amyema villiflora subsp. villiflora,,shrub,,stem_parasitic,,,,
Amyema whitei,,shrub,,stem_parasitic,,,,
Amylotheca dictyophleba,,shrub,,stem_parasitic,,,,
Anacolosa papuana,shrub,,,,,,,
Ancistrachne uncinulata,shrub,,,,,,,
Aneilema acuminatum,herb,herb,,,,,,
Aneilema papuanum,herb,,,,,,,
Aneilema siliculosum,herb,herb,erect scandent,,,,,
Anisomeles inodora,herb shrub,shrub herb,,,,,,
Anisomeles macdonaldii,herb shrub,shrub herb,,,,,,
Anisomeles moschata,herb shrub,shrub herb,,,,,,
Annona glabra,shrub tree,,,,,,,
Annona squamosa,shrub tree,tree,,,,,,
Anredera cordifolia,climber_vine,climber_vine,,,,,,
Anthobolus filifolius,herb shrub,,,,,,,
Anthocarapa nitidula,tree,,,,,,,
Antiaris toxicaria subsp. macrophylla,tree,,,,,,,
Antidesma bunius,shrub tree,,,,,,,
Antidesma erostre,shrub tree,,,,,,,
Antidesma ghaesembilla,shrub tree,,,,,,,
Antidesma hylandii,shrub tree,tree,,,,,,
Antidesma parvifolium,shrub tree,,,,,,,
Antirhea ovatifolia,herb shrub,,,,,,,
Antirhea putaminosa,shrub,tree,,,,,,
Antirhea sp  mt lewis b.gray 5733,shrub tree,tree,,,,,,
Antirhea tenuiflora,shrub tree,,,,,,,
Aphananthe philippinensis,tree,tree,,,,,,
Aphyllorchis anomala,herb,,,,,,,
Aphyllorchis queenslandica,herb,,,,,,,
Apodytes brachystylis,shrub tree,,,,,,,
Apowollastonia longipes,herb shrub,shrub herb,erect,,annual perennial,,,
Araucaria bidwillii,tree,,,,,,,
Araucaria cunninghamii var. cunninghamii,tree,,,,,,,
Archidendron grandiflorum,shrub tree,tree,,,,,,
Archidendron hendersonii,shrub tree,tree,,,,,,
Archidendron hirsutum,tree,,,,,,,
Archidendron kanisii,shrub tree,tree,,,,,,
Archidendron lucyi,shrub tree,,,,,,,
Archidendron ramiflorum,shrub tree,tree,,,,,,
Archidendron vaillantii,tree,,,,,,,
Archidendron whitei,tree,tree,,,,,,
Archidendropsis thozetiana,tree,tree,,,,,,
Archidendropsis xanthoxylon,tree,,,,,,,
Archirhodomyrtus beckleri,shrub tree,tree,,,,,,
Archontophoenix alexandrae,tree,palm,,,,,,
Archontophoenix cunninghamiana,tree,palm,,,,,,
Archontophoenix maxima,tree,palm,,,,,,
Archontophoenix myolensis,shrub tree,palm,,,,,,
Archontophoenix purpurea,tree,palm,,,,,,
Archontophoenix tuckeri,tree,palm,,,,,,
Ardisia brevipedata,shrub,tree,,,,,,
Ardisia crenata,herb shrub,,,,,,,
Ardisia elliptica,herb shrub,,,,,,,
Ardisia fasciculata,shrub tree,tree shrub,,,,,,
Ardisia hylandii,herb shrub,,,,,,,
Ardisia pachyrrhachis,herb shrub tree,,,,,,,
Arenga australasica,tree,palm,,,,,,
Arenga microcarpa,shrub tree,palm,,,,,,
Argophyllum cryptophlebum,herb shrub,shrub,decumbent,,,,,
Argophyllum curtum,shrub,shrub,,,,,,
Argophyllum ferrugineum,shrub,shrub,,,,,,
Argophyllum heterodontum,shrub tree,tree shrub,,,,,,
Argophyllum iridescens,shrub,shrub,,,,,,
Argophyllum jagonis,shrub,shrub,,,,,,
Argophyllum lejourdanii,shrub,tree shrub,,,,,,
Argophyllum loxotrichum,shrub,tree shrub,,,,,,
Argophyllum nullumense,shrub tree,tree shrub,,,,,,
Argophyllum verae,herb shrub,shrub,,,,,,
Argyreia nervosa,climber_vine,climber_vine,,,,,,
Argyrodendron actinophyllum subsp. diversifolium,tree,,,,,,,
Argyrodendron peralatum,tree,,,,,,,
Argyrodendron polyandrum,tree,,,,,,,
Argyrodendron sp  boonjee b.hyland 2139rfk,tree,,,,,,,
Argyrodendron sp  mt haig  l s.smith 14307,tree,,,,,,,
Argyrodendron sp  penta tulip oak b.hyland 2565rfk,tree,,,,,,,
Argyrodendron sp  whitsundays w j.mcdonald 5831,tree,tree,,,,,,
Argyrodendron sp  whyanbeel b.hyland 1106rfk,tree,,,,,,,
Argyrodendron trifoliolatum,tree,,,,,,,
Aristida exserta,,,tufted caespitose,,perennial,,,
Aristida queenslandica var. dissimilis,,,,,perennial,,,
Aristida superpendens,,,tufted,,perennial,,,
Aristolochia acuminata,climber_vine,climber_vine,,,,,,
Aristolochia australopithecurus,climber_vine_herbaceous,climber_vine,,,,,,
Aristolochia chalmersii,climber_vine_herbaceous,climber_vine,,,,,,
Aristolochia deltantha,climber_vine,climber_vine,,,,,,
Aristolochia elegans,climber_vine,climber_vine,,,,,,
Aristolochia indica,climber_vine_herbaceous,climber_vine,,,,,,
Aristolochia peninsulensis,climber_vine_herbaceous,climber_vine,,,,,,
Aristolochia praevenosa,climber_vine,climber_vine,,,,,,
Aristolochia pubera var. aromatica,climber_vine_herbaceous,climber_vine,erect trailing,,,,,
Aristolochia pubera var. pubera,climber_vine_herbaceous,climber_vine,,,,,,
Aristolochia sparusifolia,climber_vine_herbaceous,climber_vine,,,,,,
Aristolochia thozetii,climber_vine_herbaceous,climber_vine,,,,,,
Artabotrys carnosipetalus,climber_vine,tree climber_vine,,,,,,
Artanema fimbriatum,herb shrub,,,,,,,
Arthragrostis deschampsioides,,,,,annual,,,
Arthrostylis aphylla,,herb,tufted,,perennial,rhizome,,
Artocarpus glaucus,tree,,,,,,,
Artocarpus heterophyllus,tree,tree,,,,,,
Arundinella nepalensis,,,caespitose,,perennial,,,
Arytera bifoliolata,shrub tree,,,,,,,
Arytera divaricata,tree,,,,,,,
Arytera pauciflora,shrub tree,,,,,,,
Arytera pseudofoveolata,tree,tree,,,,,,
Arytera sp  dryander creek p r.sharpe 4184,shrub tree,tree,,,,,,
Asclepias curassavica,herb shrub,,,,,,,
Asparagus aethiopicus,herb shrub,shrub herb,scandent sprawling,,,,,
Asparagus plumosus,herb shrub climber_vine_herbaceous,climber_vine,,,,,,
Asparagus racemosus,herb shrub climber_vine_herbaceous,climber_vine,,,,,,
Asteromyrtus angustifolia,shrub tree,,,,,,,
Asteromyrtus brassii,shrub tree,tree,,,,,,
Asystasia australasica,herb,herb,erect spreading,,,,,
Asystasia sp  newcastle bay l j.brass 18671,herb,,,,,,,
Atalaya angustifolia,herb shrub tree,tree,,,,,,
Atalaya australiana,shrub tree,tree,,,,,,
Atalaya calcicola,shrub tree,tree,,,,,,
Atalaya hemiglauca,shrub tree,tree,,,,,,
Atalaya multiflora,tree,tree,,,,,,
Atalaya rigida,shrub tree,tree,,,,,,
Atalaya salicifolia,shrub tree,tree,,,,,,
Atalaya sericopetala,shrub tree,tree,,,,,,
Atalaya variifolia,shrub,,,,,,,
Athertonia diversifolia,tree,,,,,,,
Atractocarpus fitzalanii subsp. fitzalanii,shrub tree,tree,,,,,,
Atractocarpus fitzalanii subsp. tenuipes,shrub tree,tree,,,,,,
Atractocarpus hirtus,herb shrub,,,,,,,
Atractocarpus merikin,herb shrub,,,,,,,
Atractocarpus sessilis,shrub tree,,,,,,,
Auranticarpa edentata,tree,tree,,,,,,
Auranticarpa ilicifolia,tree,tree,,,,,,
Auranticarpa papyracea,tree,,,,,,,
Auranticarpa rhombifolia,tree,tree,,,,,,
Austrobaileya scandens,climber_vine,climber_vine,,,,,,
Austrobuxus megacarpus,shrub tree,tree,,,,,,
Austrocallerya australis,climber_vine,climber_vine,,,,,,
Austrocallerya pilipes,climber_vine,climber_vine,,,,,,
Austromatthaea elegans,shrub,,,,,,,
Austromuellera trinervia,tree,,,,,,,
Austromuellera valida,tree,,,,,,,
Austrosteenisia blackii,climber_vine,climber_vine,,,,,,
Austrosteenisia mollitricha,climber_vine,climber_vine,,,,,,
Austrosteenisia stipularis,climber_vine,climber_vine,,,,,,
Axonopus compressus,,,stoloniferous mat_forming,,,stolon,,
Axonopus fissifolius,,,,,perennial,,,
Azanza thespesioides,shrub,,,,,,,
Backhousia angustifolia,tree,tree,,,,,,
Backhousia bancroftii,tree,,,,,,,
Backhousia citriodora,shrub tree,tree shrub,,,,,,
Backhousia enata,shrub tree,tree shrub,,,,,,
Backhousia gundarara,shrub tree,tree shrub,,,,,,
Backhousia hughesii,tree,,,,,,,
Backhousia kingii,tree,tree,,,,,,
Backhousia tetraptera,shrub tree,tree,,,,,,
Baileyoxylon lanceolatum,tree,tree,,,,,,
Balanophora fungosa subsp. fungosa,herb,,,,,,,
Balanophora fungosa subsp. indica,herb,,,,,,,
Balanops australiana,shrub tree,,,,,,,
Baloghia inophylla,shrub tree,,,,,,,
Baloghia parviflora,shrub tree,,,,,,,
Banksia aquilonia,shrub tree,,,,,,,
Banksia integrifolia subsp. compar,shrub tree,tree shrub,,,,,,
Barleria cristata,herb,,,,,,,
Barleria strigosa,herb shrub,,,,,,,
Barongia lophandra,tree,,,,,,,
Barringtonia acutangula subsp. acutangula,shrub tree,,,,,,,
Barringtonia asiatica,tree,tree,,,,,,
Barringtonia calyptrata,tree,tree,,,,,,
Barringtonia racemosa,tree,tree,,,,,,
Basilicum polystachyon,herb shrub,,,,,,,
Bauhinia binata,shrub climber_vine,climber_vine,,,,,,
Bauhinia cunninghamii,shrub tree,,,,,,,
Bauhinia hookeri,shrub tree,tree,,,,,,
Bauhinia malabarica,shrub tree,tree,,,,,,
Bauhinia monandra,shrub tree,tree,,,,,,
Begonia hirtella,herb,,,,,,,
Beilschmiedia bancroftii,tree,,,,,,,
Beilschmiedia brunnea,tree,,,,,,,
Beilschmiedia castrisinensis,tree,,,,,,,
Beilschmiedia collina,tree,,,,,,,
Beilschmiedia obtusifolia,tree,,,,,,,
Beilschmiedia oligandra,tree,,,,,,,
Beilschmiedia peninsularis,tree,,,,,,,
Beilschmiedia recurva,tree,,,,,,,
Beilschmiedia tooram,tree,,,,,,,
Beilschmiedia volckii,tree,,,,,,,
Benstonea lauterbachii,shrub tree,tree,,,,,,
Benstonea monticola,shrub tree,tree,,,,,,
Berrya javanica,tree,,,,,,,
Bertya polystigma,shrub,,,,,,,
Biancaea decapetala,climber_vine,climber_vine,,,,,,
Bidens alba var. radiata,herb shrub,shrub herb,,,,,,
Bidens bipinnata,herb shrub,shrub herb,,,annual,,,
Bidens pilosa,herb shrub,shrub herb,,,annual,,,
Bidens subalternans,herb shrub,shrub herb,,,annual,,,
Biophytum petersianum,herb,herb,erect,,annual,,,
Bischofia javanica,tree,,,,,,,
Blainvillea cunninghamii,herb shrub,shrub,spreading,,,,,
Bleasdalea bleasdalei,tree,,,,,,,
Blepharocarya involucrigera,tree,tree,,,,,,
Blumea riparia,climber_vine climber_vine_herbaceous,climber_vine,,,,,,
Blumea sylvatica,herb shrub,,,,,,,
Bobea myrtoides,shrub tree,,,,,,,
Boea hygroscopica,herb,,,,,,,
Boea kinnearii,herb,herb,,,perennial,,,
Boerhavia dominii,herb,herb,prostrate trailing,,,,,
Bombax ceiba var. leiocarpum,tree,,,,,,,
Bonamia dietrichiana,climber_vine_herbaceous,climber,twining,,,,,
Boronia alulata,herb shrub,,,,,,,
Boronia excelsa,herb shrub,,,,,,,
Boronia lanceolata,herb,shrub,,,,,,
Bosistoa medicinalis,tree,,,,,,,
Bosistoa pentacocca,tree,tree,,,,,,
Bossiaea arenicola,shrub tree,,,,,,,
Bothriochloa pertusa,,,stoloniferous,,,stolon,,
Bouchardatia neurococca,shrub tree,tree,,,,,,
Bowenia serrulata,herb shrub,,shrubby,,,,,
Bowenia spectabilis,herb shrub,,shrubby,,,,,
Brachychiton acerifolius,tree,,,,,,,
Brachychiton albidus,shrub tree,tree,,,,,,
Brachychiton australis,tree,,,,,,,
Brachychiton bidwillii,shrub,shrub,,,,,,
Brachychiton chillagoensis,shrub tree,,,,,,,
Brachychiton compactus,shrub tree,tree,,,,,,
Brachychiton discolor,tree,tree,,,,,,
Brachychiton diversifolius subsp. diversifolius,tree,,,,,,,
Brachychiton garrawayae,tree,,,,,,,
Brachychiton grandiflorus,tree,,,,,,,
Brachychiton paradoxus,herb shrub,tree,,,,,,
Brachychiton rupestris,tree,tree,,,,,,
Brachychiton tridentatus,shrub tree,tree shrub,,,,,,
Brachychiton velutinosus,tree,,,,,,,
Brachychiton viridiflorus,tree,tree shrub,,,,,,
Brachychiton xanthophyllus,shrub tree,,,,,,,
Brackenridgea australiana,herb shrub tree,,,,,,,
Brassiantha hedraiantheroides,shrub tree,tree,,,,,,
Breynia cernua,shrub,,,,,,,
Breynia macrantha,herb shrub,,,,,,,
Breynia oblongifolia,shrub,,,,,,,
Breynia sp  black mountain b.hyland 25658rfk,shrub tree,tree,,,,,,
Breynia stipitata,shrub tree,,,,,,,
Bridelia insulana,shrub tree,,,,,,,
Bridelia leichhardtii,shrub tree,,,,,,,
Bridelia tomentosa,shrub,,,,,,,
Brillantaisia lamium,herb shrub,,,,,,,
Brombya platynema,shrub tree,,,,,,,
Brombya smithii,shrub,,,,,,,
Brucea javanica,herb shrub tree,tree,,,,,,
Bryophyllum pinnatum,herb,,,,,,,
Bubbia queenslandiana subsp. australis,shrub tree,tree,,,,,,
Bubbia queenslandiana subsp. queenslandiana,shrub tree,tree,,,,,,
Bubbia semecarpoides,shrub tree,,,,,,,
Bubbia whiteana,shrub tree,tree,,,,,,
Buchanania arborescens,tree,,,,,,,
Buchanania mangoides,tree,tree,,,,,,
Buchanania obovata,tree,tree,open,,,,,
Buckinghamia celsissima,shrub tree,,,,,,,
Buckinghamia ferruginiflora,tree,,,,,,,
Bulbostylis barbata,,,tufted,,,,,
Bursaria incana,shrub,tree,,,,,,
Bursaria spinosa subsp. spinosa,shrub tree,,,,,,,
Bursaria tenuifolia,shrub tree,,,,,,,
Cadaba capparoides,shrub,,,,,,,
Cadellia pentastylis,tree,tree,,,,,,
Caesalpinia crista,climber_vine,climber_vine,,,,,,
Caesalpinia major,climber_vine,climber_vine,,,,,,
Caesalpinia robusta,climber_vine,climber_vine,,,,,,
Cajanus acutifolius,herb shrub,,,,,,,
Cajanus reticulatus,herb shrub,,,,,,,
Calamus aruensis,climber_vine,,,,,,,
Calamus australis,climber_vine,climber_vine,,,,,,
Calamus caryotoides,climber_vine,climber_vine,,,,,,
Calamus moti,climber_vine,climber_vine,,,,,,
Calamus radicalis,climber_vine,climber_vine,,,,,,
Calamus vitiensis,climber_vine,,,,,,,
Calamus warburgii,tree climber_vine,climber_vine,,,,,,
Calanthe triplicata,herb shrub,,,,,,,
Callicarpa candicans,herb shrub tree,tree,,,,,,
Callicarpa caudata,shrub,,,,,,,
Callicarpa longifolia,shrub,,,,,,,
Callicarpa pedunculata,herb shrub,,,,,,,
Callitriche muelleri,herb,herb,mat_forming,,,,,
Callitris intratropica,shrub tree,tree,,,,,,
Callitris macleayana,tree,,,,,,,
Calophyllum australianum,tree,,,,,,,
Calophyllum bicolor,shrub tree,tree,,,,,,
Calophyllum costatum,tree,,,,,,,
Calophyllum inophyllum,tree,,,,,,,
Calophyllum sil,tree,,,,,,,
Calophyllum soulattri,tree,,,,,,,
Calopogonium mucunoides,climber_vine_herbaceous,climber_vine,,,,,,
Calotropis procera,shrub,,,,,,,
Calyptocarpus vialis,herb,,,,,,,
Camellia sinensis,shrub,tree,,,,,,
Camonea pilosa,climber_vine_herbaceous,climber_vine,,,,,,
Cananga odorata,tree,,,,,,,
Canarium acutifolium,tree,,,,,,,
Canarium australasicum,tree,,,,,,,
Canarium australianum,shrub tree,,,,,,,
Canarium muelleri,tree,,,,,,,
Canarium vitiense,tree,,,,,,,
Canavalia cathartica,climber_vine_herbaceous,climber_vine,,,,,,
Canavalia papuana,climber_vine_herbaceous,climber_vine,,,,,,
Canavalia rosea,climber_vine_herbaceous,climber_vine,,,,,,
Canna indica,herb shrub,,,,,,,
Canscora diffusa,herb,herb,erect,,annual,,,
Cansjera leptostachya,shrub climber_vine,climber_vine,,,,,,
Capparis arborea,shrub tree,tree climber_vine,,,,,,
Capparis batianoffii,shrub climber_vine,climber_shrub,scandent,,,,,
Capparis jacobsii,shrub,tree,,,,,,
Capparis lanceolaris,climber_vine,climber_vine,,,,,,
Capparis lasiantha,climber_vine,climber_vine,,,,,,
Capparis lucida,shrub,tree,scandent,,,,,
Capparis ornans,shrub climber_vine,tree climber_vine,,,,,,
Capparis quiniflora,shrub climber_vine,tree climber_vine,,,,,,
Capparis sepiaria,shrub climber_vine,climber_vine,,,,,,
Capparis shanesiana,shrub tree,tree shrub,,,,,,
Capparis sp  iron range b.hyland 16395,climber_vine,tree climber_vine,,,,,,
Capsicum annuum var. glabriusculum,herb shrub,,,,,,,
Carallia brachiata,tree,,,,,,,
Cardamine flexuosa,herb,herb,erect,,annual,,,
Cardiopteris moluccana,climber_vine,climber_vine,,,,,,
Cardiospermum grandiflorum,climber_vine_herbaceous,climber_vine,,,,,,
Cardiospermum halicacabum var. halicacabum,climber_vine_herbaceous,climber_vine,,,,,,
Cardwellia sublimis,tree,,,,,,,
Carex brunnea,,,tufted erect,,,,,
Carex cryptostachys,,,tufted,,,rhizome,,
Carex horsfieldii,,,tufted,,,,,
Carex maculata,,,tufted,,,rhizome,,
Carex rafflesiana,,,tufted,,,rhizome,,
Carissa lanceolata,shrub,,,,,,,
Carissa laxiflora,shrub climber_vine,climber_vine,,,,,,
Carissa ovata,shrub climber_vine,,,,,,,
Carissa scabra,herb shrub,shrub,scrambling,,,,,
Carnarvonia araliifolia var. araliifolia,tree,,,,,,,
Carnarvonia araliifolia var. montana,tree,,,,,,,
Carpentaria acuminata,tree,palm,,,,,,
Carronia pedicellata,climber_vine,climber_vine,,,,,,
Carronia protensa,climber_vine,climber_vine,,,,,,
Caryota albertii,tree,,,,,,,
Cascabela thevetia,shrub,,,,,,,
Casearia costulata,shrub tree,tree,,,,,,
Casearia dallachii,herb shrub tree,tree,,,,,,
Casearia grayi,shrub tree,tree,,,,,,
Casearia grewiifolia var. gelonioides,tree,,,,,,,
Casearia sp  mission beach b p.hyland 773,tree,,,,,,,
Cassia brewsteri,shrub tree,tree,,,,,,
Cassia queenslandica,tree,,,,,,,
Cassia sp  kalpowar d g.fell df2769,shrub tree,tree,,,,,,
Cassia sp  paluma range g.sankowsky 450,shrub tree,tree,,,,,,
Cassinia subtropica,herb shrub,,,,,,,
Cassytha capillaris,climber_vine_herbaceous,climber_vine,,parasitic,,,,
Cassytha filiformis,climber_vine_herbaceous,climber_vine,,parasitic,,,,
Castanospermum australe,tree,,,,,,,
